,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27064658,致所有我曾爱过的男孩,d57910f1f45c6405e4279271ca274d23,7e0d7f8a5d96c24ffcc840f31bce72b2,5.0,2018-08-18 21:27:34,这是一部关于少女怀春的故事，亚裔女主角就像我和其他无数曾经或正在青春期的少女一样，有了砰然心动的感觉，却无处安放(不确定现在和我那时候是不是一样哈）。女主角在不同场合内心激发出的对五个不同男孩子心动的涟漪，默默掩盖在平静的外表之下，托付在五封小小的从未寄出也不会寄出的情书里。我不禁想，在我心里有多少封没有动笔的情书，有多少句没有说出口的情愫，如今都已经埋进我的中年尘埃里。 电影中的人生齿轮的转向源于女主角妹妹私自将五封信全部寄出，曾经被掩藏的单恋被送达对方的手中，故事由此拉开。我不知道，在千千万万私藏心事的女孩子的想象中，倘若自己的心事被男孩子知道，世间将有多么可怕的事情发生，但是，我能理解每个收到信的男孩子都来和女主角谈一谈时，女主角感觉有多么尴尬和羞耻。 第一个男孩子来和女主角谈，当女主角发现自己的信竟然在他手上，当场晕倒。 此时，又看到第二个男孩子（姐姐的前男友）跑来，为了躲避尴尬的场面，女主角只好利用第一个男孩子，当场强吻他。 看到第二个男孩子走开，女主角慌张地躲进女厕所，却听到有人敲门，原来第三个男孩子也拿着信来找她。 隔着屏幕，我都能感受到女主角如同世界末日般失控的感受，而令我感动的是没有一个男孩子来嘲讽她，来取笑他，每个男孩子带着对女主角的尊重、主动澄清自己的感受，虽然有波折，但是却为其后恢复成朋友、或成为恋人、或成为朋友开启了可能。我想，对于千千万怀春不语的女孩子而言，不语的背后恰恰是我们不相信自己能被如此温柔地对待吧，电影中我们不禁看到来自男孩子的尊重，还看到家庭里面姐妹的支持和父亲的理解……而在我的年少时光，我只以为，也许所有人都只想让我把这种感情当成一个错，改掉，当成一个毛病，变好，当成一个笑话，开掉。虽然，到了大学，再也没有人禁止我谈恋爱，但是我的心已经习惯了怀春不语，好像心中有一扇门被贴上了封条，从来没有主动推开。 真如影片结尾所说，“你为什么写下这些信，并且装上信封写好地址？是否因为你内心的某个部分也渴望将信发出去，而不仅仅是止于幻想？”(Can you admit that some part of you doesn’t want everything in your life to be a fantasy?“)有时候你需要将你的感受讲出来”。(You’ve gotta tell people how you feel when you feel it.)如今，我发现我的内心已经长大到在很多事情上可以不再hidden自己了，只是，岁月的流逝让我已经错过了在年轻时可能发生的选择和可能发生的事。,196.0,2.0,15
1,1,27064658,致所有我曾爱过的男孩,829f68a06742b37aed89bcb80ed2bab4,fa63997cb7548e3b8825b40d5b3766b1,4.0,2018-09-03 16:19:10,"本文首发公众号bbmovie  英文中有一个单词叫作crush，作家刘瑜曾在自己的随笔《送你一颗子弹》中单独为这个词语写过一篇文章。 cursh作为名词，还有一层意思：就是“短暂地、热烈地但又是羞涩地爱恋”。比如，“I had a crush on him”，就是“我曾经短暂地、热烈地、但又羞涩地喜欢过他”。 这种感觉与心动相似，但区别于想要与其长相厮守的确切的喜欢，现实中，crush的结局往往是无疾而终。 每个女孩子在少女时期都一定有过crush的经历。在不谙世事、情窦初开的年纪，对一个男孩子产生莫名的好感是再自然不过的事了。 而对于拍摄青春浪漫喜剧早已驾轻就熟的Netflix，此次把crush主题拍成了电影《致所有我曾爱过的男孩》。  《致所有我曾爱过的男孩》     区别于其他北美主流青春片，女主角角色设定是一名亚裔女孩儿。 高中生活、青涩爱情，没有跌宕起伏的情节和出人意料的大反转，但轻松、浪漫又讨巧的少女成长故事还是令人在观影时既小鹿乱撞又感动满满。     该片烂番茄新鲜度为93%，影评人与观众都给予其很高评价。毕竟crush可是全人类的共有青春记忆啊。 16岁的高中女孩Lara Jean（Lana Condor饰演）成长于一个温馨的美式家庭。与姐姐Margot与妹妹Kitty虽时有拌嘴，但感情很深。妈妈早逝，但父亲给予她悉心的呵护与宠爱。     不过Lara Jean一直有一种自卑感，她在学校没有很多朋友，时常感觉自己是一个隐形人。 Lara Jean本来以为自己的人生就会这样以平淡的不能再平淡的方式度过，直到有一天，她发现自己从没打算寄出的情书被寄了出去。     这就意味着自己从小到大暗恋过的五个对象都将知道她曾偷偷喜欢过他们的秘密。 暗恋对象拿着情书来询问自己什么状况的场景想想就令人尴尬到想找个地洞钻下去。 当Peter来找她的时候，正在田径场跑步的Lara Jean当时直接昏了过去。     Peter是她七年级的初吻对象。那时一群人正在玩游戏，Peter被选中要亲吻Lara Jean。     这种亲密的身体接触对于Lara Jean来说是第一次。在那个当下，她为Peter心动了。回家后的她给Peter写了一封情书。但她知道Peter当时正在约会她的朋友Gen，因此这份喜欢也不了了之。     当然这还不算最糟糕的，当Josh也拿着信向她走来时，她感到了真正的天旋地转，     情急之下，她吻住了Peter，因为Josh是她更不知道如何开口解释的人。     Josh是Lara Jean青梅竹马的玩伴，也是她第一个喜欢的男孩子。然而她还没来得及梳理自己对Josh的情愫，Josh就与自己的姐姐Margot走到了一起。
 看着两人出双入对，那么亲昵, Lara Jean只能偷偷将心事记在情书上。     虽然Margot因为要去苏格兰求学的原因而选择与Josh分手，但无论如何Lara Jean也不能将这份心意说出口。她那么爱Margot，她不希望Margot受到任何伤害。
 面临这种窘迫的境地，Lara Jean除了逃避，不知道该作何回应。 Peter知道了Lara Jean的经历后，发出了 “假装情侣”的邀请。Peter希望借此挽回背叛他的前女友Gen的心，而Lara Jean可以不必费心力与Josh解释。     《致所有我曾爱过的男孩》的剧情设计有些类似于上半年大火的《爱你，西蒙》。 同样是猜男友的套路，但却依旧看得津津有味。 返校舞会的黑人小哥Lucas是半公开出柜的gay，自然被排除在外，Peter与Josh真是令人难以抉择，我一度还站错了CP。 Peter是外人眼中的花花公子，看起来玩世不恭，很容易会被人归类为不靠谱行列。     然而在与Peter相处的过程中，Lara Jean却发现了Peter善良、孩子气的一面。Peter与妹妹Kitty相处融洽，也逐渐令Lara Jean敞开心扉，拥有了真正的开心。     一次深入的交谈，两人向对方袒露了自己脆弱的一面。 Lara Jean她不敢去认识新的人，因为她担心生命中最重要的人会离开。     而Peter的父亲与母亲离婚后迅速组建了新的家庭。他假装不在乎，事实上他一直一直想念着他。 一方面Lara Jean与Peter的感情一直在升温，而另一方面她心里也一直记挂着Josh。     如果说对于其他的男孩子们的迷恋是出于幻想，那么对于Josh，是基于日常生活的相处。     Josh与Margot交往期间，频繁出现在Lara Jean的生活圈之中，然而她只能偷偷地喜欢藏在心底，然后以写信的方式记录自己的感情。 当Margot离开，Josh也对自己示出好感，Lara Jean 会看清自己的本心，做出正确的抉择么？ 其实最终女主角爱谁，选择谁并不是最重要的。最重要的是她在跌跌撞撞去爱别人，接受别人爱的同时学会了成长。         本片最打动人心之处就是对羞涩的，难以对外人倾诉的少女心事的细腻描绘。女孩子总是那么敏感、脆弱，但也更渴望被爱。 就像Lara Jean一样，当她强烈地喜欢一个人的时候，她就会为他写一封信。 “重读这些信会让我想起自己的情感是多么强烈，多么不顾一切”。     这种看上去很抓马，很戏剧化的做法其实是青春期再正常不过的情感宣泄方式。
 影片除了对爱情的描绘外，对于姐妹亲情的呈现方式也很自然真挚。 Lara Jean因为无法处理对Josh的情感而拒绝于远在苏格兰读书的Margot视频聊天的请求，这令Margot一度以为妹妹与自己就此疏远，再也不爱自己了。 而当一切误会解除，三姐妹紧紧拥抱在了一起。无论发生什么，家人永远是家人。     看惯了满屏的宫斗，发现这种美式校园小甜片简直如获至宝。 我们总是会因为害怕失去，担心对方无法给到同等回应而错过了表白的最佳时机。 但事实上就算被拒绝又怎样？至少你已经知道确切答案，也可以大方把这一页翻过去，去寻找新的爱情了。     勇敢说爱，而不是躲在自己的小房间里，写着那些永远寄不出去的情书。 本文系【电影通缉令】独家稿件 未经授权，禁止转载",46.0,2.0,3
2,2,27064658,致所有我曾爱过的男孩,76786dbb564da3698865d5e9254d80ed,9352843bee21b8be31785d5595fdaf14,4.0,2019-04-03 01:00:54,女主选了亚裔，这个过程非常不容易。 小说的作者就是韩裔，小说大卖后很多人去买她的电影权。她提了一个要求，所有制作公司就都跑了。她说女主必须是亚裔。别人就说，故事的核心没变，种族有什么关系呢？他们想用白人。作者说，故事的核心就是Asian American。 最后的唯一一个，非常小的制作公司答应了她的要求。拍出来后Netflix就买了下来。 不能完全说是producer种族歧视，他们是投资人，是看风险和收益的。过去没有亚裔主角的片子，他们就觉得这是高风险，谁知道能卖钱呢？那越来越多的好剧本用亚裔来演（如Searching），一样收获高票房，他们才会继续用亚裔。进入一个良性循环。 作者选producer的时候完全可以妥协，为了钱，但她没有。这是她的一小步，是亚裔演员们的一大步。 亚裔移民在美国真的很艰辛了。做得好的（成绩、学校、精英行业），白人视你为竞争对手，各种打压。做得不好的（NBA，好莱坞），那可以光明正大地嘲笑你了。 国内的观众sensitive一点吧。作为主流人群（汉族）长大的，体会不到这里程碑式的一年。,66.0,3.0,15
3,3,27064658,致所有我曾爱过的男孩,d229a2bb89bbd6865161168529fdb4f5,79ace0b21a1375feb4657e01e2b0f7ca,4.0,2018-08-24 21:37:37,"小鸡电影可能是 NETFLIX 电影的突破口。   我说这句话完全不打算负担一点点责任，但过去几年，和他家发展得轰轰烈烈、把无线公共台打得满找牙、气势直逼有线台的电视剧作品相比，NETFLIX 的原创电影作品简直就已经不能用简单一个”烂“来形容，更何况数量还多得惊人。
 A Netflix Original Film 这句话差点成为了新一代烂片代名词，极容易让人产生他家的原创电影都是用来洗黑钱用的。   但上周突然放出的《致所有我曾爱过的男孩》似乎让人看到了一点点的曙光。并不是说这个电影有多好，而是之前大家的期待太低，反而让一部正常发挥的小鸡电影，在过往的烂片垃圾堆里闪闪发光。  





 IMDb评分竟然达到8 分，一水儿的评论都是 ""Pleasantly Surprised"" ""Best YA book to film adaptation"" ""Not bad, not bad...at all"" ......虽然一些词儿夸得有点儿过分，但从一个侧面也看得出来大家对 NETFLIX 原创电影恨铁不成钢的放弃治疗心态。 可以放心地说 NETFLIX 这次试水是成功的，但《致所有我曾经爱过的男孩》的成功又隐隐地预示着一个新的潮流，某一类片可能要在未来数年不断冲击着好莱坞。 Hollywood Asian Movie Chick Movie 相对来说是一个非常好的切入口，制作成本低，票房扑街了损失也不大；但若能反票房拿下了，其他后续的就什么都好谈，《摘金奇缘》的爆冷大热就是其中一个佐证。  将今年称之为是少数群体的影视黄金年毫不为过，可能是大家（甚至白人自己）对白人主流文化的厌倦已经到达了一个临界点。 《爱你，西蒙》主打 LGBT，《黑豹》主打黑人，《摘金奇缘》主打亚裔，可以算是 2018 年少数群体商业潜力爆发的三座大碑，少数群体吸金力前所未有地高🔝。 《致所有我曾经爱过的男孩》根据美国 YA （Young Adult）和儿童作家 Jenny Han 的同名小说（第一部）改编，虽然由于电影时长的关系删除了一部分角色，但总体来说剧情和人物塑造都非常忠于原著，难得的也没有被原著粉丝口水淹没。 看似大妈的 Jenny Han 其实是个 80 后 讲述的是高中生 Lara Jean 所写的五封私密情书全部被神秘人寄出去，自己曾经秘密地一手打造的爱情小天地突然全部曝光在所有人的目光之下。   一直以为自己是小透明的 Lara Jean在这突如其来的困窘当中慢慢地也意识到，其实自己并没有过往想像中的那样透明。那个曾经暗恋、大胆为他写下情书的男生，在自己发现之前，早就已经将目光落在自己身上。   故事的开始好像和之前大热的《爱你，西蒙》有异曲同工之处，但整体剧情走向相对后者来说更为简单和直白。但同样是青春片和以少数群体作为主角的作品，《致》和《爱》相似的地方可能比你想像中要更多。 《爱你，西蒙》能够大热可以说是碰上了好时机，LGBT 题材正在进入一个常态化的节点，而青春片又是最能收获观众票房的一种类型片，要求不高，演员演技在线，剧情逻辑到位，颜值有担当，这些因素叠加在一起，爆红就是必然的。
 当年的《出柜第四格》就没有这么幸运，默默地就这样冷掉了。
     《致所有我曾经爱过的男孩》处在一个潮流变幻的风口上，就是继 LGBT 群体之后，好莱坞的大佬们已经开始嗅到了亚裔群体的消费力和影响力了。     《致》出现得非常及时，尤其是在《摘金奇缘》口碑不断攀升的黄金阶段，不能不说亚裔主角这一元素大大提升了本片的关注度。     但真正让《致》能够收获好口碑的，演员的选择和表现可能占据了非常重要的一环。     《爱你，西蒙》里的 Nick Robinson 在预告片中萌到爆炸，但正片看下来，“直”气太重，表演痕迹也很明显，就好像他对这个似深还浅的柜中基佬角色总有着一点点的不自然，最后摩天轮的高潮也是看到有一丝丝的尴尬（但为了他的颜值，我选择性忽略哈哈哈哈）。
     扮演女主角的陈东兰Lana Conor和男一Noah Centieo绝对是属于越看越顺眼型。两人虽然都不是新人，但基本属人路人甲乙丙丁，过往的作品连混个脸熟的程度都达不到。     Lana Conor 最为人的熟知的角色是《X战警：天启》里的 Jubilee，但没查 IMDb 我也真的没有办法把她想起来。  《天启》剧照    Noah Centineo 就更不用说了，专门打酱油的，连 INS 也是今年才开的，但人家已经有 100 万的粉丝了好伐。     而且两人化学反应超级强烈，画面相当和谐，订立假恋爱合同的那个场景让我瞬间回到《怦然心动》的感觉（当然了，它和《怦然心动》肯定不在一个档次）。
     两人之间的化学反应如此容易地让人有代入感，也让观众对整个电影胜似白开水的剧情选择性原谅了，这和大家被 Nick Robinson 颜值花了眼给《爱你，西蒙》打个四星，完全是一个道理。     更何况，一个四肢发达、粗线条却又专一、还可以为了你做一些他不明白、但他知道你会喜欢的事情的男友，即使是“假”的，谁又能够忍住不继续看下去呢？     Noah Centineo 绝对是将原著中 cocky 但又带着谜之 charm 的 Peter 100% 在电影中还原了。     《爱你，西蒙》还保留着究竟谁是神秘人的高潮放到最后，《致》在剧情上真的是完全没有在 care 节奏和悬念这件事，所以角色之间的互动成为了整个电影的主要推动力。     如果说这种题材、这种选角、这种级别的制作能够成功的机率只有 0.1% 的话，那它真的是撞到那千分之一的可能性了。     导演 Susan Johnson聪明之处在于，她并没有对这部作品有着超出 chick movie 更多的期待，没有试图挖掘深度、制造悬疑，单单是完美呈现出青少年之间的萌动就已经足够吸引观众了，更何况原著有着那么庞大的一群忠实读者，而电影版剧情对原著剧情的最大限度保留（虽然因为电影时长问题删除了一些角色），就是一个定海神针。     片尾还暗示了续集的可能性非常大，本来 Jenny 所写的这个系列就有三部曲，另外两部是： P.S. I Still Love You 备注：我还爱你 Always and Forever, Lara Jean 以前以后都是，Lara Jean 敲门的那个男生就是 Lara Jean 所写的五封情书的其中一个对象，John Ambrose，也是书的第二个系列里的主要人物。   全文首发于“一个”APP，更多电影内容分享，欢迎移步到公众号 DramaMatters。",86.0,9.0,21
4,4,27064658,致所有我曾爱过的男孩,e304afba6062f99df5dd4da851e0c87e,391690d2a835beb0c3cb24d2b3476e09,4.0,2018-08-26 23:13:42,"爱情，是人于世间，最向往也最憧憬的情感之一。  爱情电影也常常是陷于蜜糖中的爱侣们，常常会选择观看的电影类型。  或者约几个朋友，带点零食，一起窝在家看一部甜到掉牙的爱情片，想想就美滋滋。 这部爱情片年度爆款，真心值得四星推荐 女主科维喜欢把自己感情偷偷藏起来的，写下的情书也从来没有送出去过。  多亏妹妹神助攻一下子把五封信都送到对方手上。  科维的生活从此天翻地覆。  一只透明的丑小鸭，一个运动场上的风云男孩。  这部爱情片年度爆款，真心值得四星推荐 本来是一场合约恋爱，却愈演愈真，无法自拔。  剧情俗套，但也没有像普通高中网剧那样小白。  本以为不会喜欢并且看完，看到最后却还意犹未尽。  本部电影改编自珍妮·汉同名青春小说。  这部爱情片年度爆款，真心值得四星推荐 原著里女主傻里傻气的心理活动描写十分形象动人，让人捧腹大笑。  对比起来，电影里没拍他们在室外滑雪和两个人一起做蛋糕的场景。  还有圣诞节男二情不自禁亲了科维被男主Peter看见了也没拍，这是一大遗憾。  演员来说，男二Josh(布罗萨德饰）颜值超高，即使充当配角也相当出彩。  这部爱情片年度爆款，真心值得四星推荐 就像他说的那样，你不能坐在房间里写着那些永远不会寄出去的情书，你得告诉别人。  青春时期恋爱的酸甜苦辣，差点就以为那是我们的全部。  谈恋爱果然就跟电影里女主学开车一样。  想象总是很美好的，上了路才知道一路磕磕绊绊有多艰辛。  但谁又会知道路上会不会遇见那个让你不顾自己蹩脚的技术还是要飞奔而去的那个人呢？  这部爱情片年度爆款，真心值得四星推荐 最佳片段是Peter在学校走廊上大吼维护自己喜欢的人，然后又跑去找她解释那段。  毕竟在任何的一段恋爱里，互相沟通最为重要。  亚裔女主角陈东兰越看越可爱，在电影里完成了成长的跨越。  大势所趋，青春片越来越喜欢剖析人物的成长，而不是着眼于美少女之间的撕逼大战。  这部爱情片年度爆款，真心值得四星推荐 从导演角度来说，本部影片确实和love Simon的剧情配乐风格都有些相似。  暗恋期的纠结，戳穿后的尴尬，返校季的不知所措。  这部电影就像是拍给大部分的中国女生一样，是一部觉得自己没人爱其实全世界都爱你的超级玛丽苏片子。  演员还算养眼，表演稍微不足，导演甚至有刻意去戏剧化理性处理。  成功之本是把高中生们拍的更为成熟，网飞深刻地抓住了这一点。  当你明明知道有些东西很俗却还是笑得那么开心，这证明你的心依然青春富有活力。  这部爱情片年度爆款，真心值得四星推荐 我们再来看看亲情这一条线。  一家三姐妹，妈妈过世，爸爸一人陪着女儿们。  两姐妹一起躺在沙发上看电视的时候那段确实扎心。  小小年纪的妹妹因不想让姐姐在家寂寞而取消了约会。  三姐妹互诉衷肠，敞开心扉然后各自坦白。  说我们之间不许有秘密，这一定是所有好姐妹们最心领神会的契约了吧  最后神助攻妹妹把Peter写的小纸条细心收集起来送给姐姐也很是感人。  这部爱情片年度爆款，真心值得四星推荐 踟蹰岁月，人生的齿轮不断转动着。  青春时期隐藏得好好的单恋却突然被赤裸裸交到对方手中。  还有什么比这更让人掩面跳脚的呢？  幸好每个收到信的男孩都带着尊重来和女主沟通摊牌。  他们之中，或恢复成朋友，或进阶成恋人。  这部爱情片年度爆款，真心值得四星推荐 你也一定收到过情书吧。  ""你今天穿的裙子真好看""，""和你聊天好开心""，""下课了一起去小卖部买零食吧""。  传递了大半个教室送过来的小小纸条，每一句话语都透漏着浓浓的欢喜。  青春期荷尔蒙带来的小小冲动一直困扰着那时候的我们，说来竟有一些怀念。  看完电影就像做了一个多小时的梦，那是一场又回到了17岁时候的梦。  哪个女孩没有在少女时代幻想过甜甜的爱恋，一想起来心里就粉红泡泡直冒。  美好的青春恋歌，令我深神往之。",21.0,1.0,1
5,5,27064658,致所有我曾爱过的男孩,bb7fd7508ff50f37c6aeae0d7ce8862c,84ba6d8da3d49c1557ee416666df8dca,3.0,2018-08-20 00:12:24,"行吧   期待值太高的确不是什么好事[发抖] 姑且三星好了  亚裔小姐姐是好看的   共鸣很少的情况下通常习惯试着去理解  

关于  是否应该躲在自己的房间里  写永远不会寄出的情书  电影很大胆  将所有情书寄了出去  并且也很大胆的为女主获得了两个双向箭头  在我看来  独自收藏一封封没有邮票的信才是更为浪漫  不是每一份情愫都希望被公开处刑  不是每一封信的主人公都有回应这份情愫的义务  同时  也不是每个主人公都会尊重这份小心思  静置的单向箭头里  所有的小幻想都是彩虹色的  一旦箭头被动射出却又反弹回来时  扎向的并非仅仅只是幻想那么简单  受伤  困顿  无所适从等等的情绪堆积  是很难排解的  是对自己的处刑

关于  你为什么从来没有过男朋友   是这样的  真的很难觉得会有人那样喜欢自己  与是否自信无关   书里的  电影里的甚至想象中的任何感情  我们都站在上帝视角  自然厘的一清二楚  但现实不是  它往往错综复杂  当局者迷  前段时间听歌  有句歌词翻译的很好  一厢情愿  两情才相悦   一度很是认同  不过  一厢情愿的那一方总会多几分期待吧  那那份患得又患失的情绪也会多几分吧  在一份感情未确认之前  也是无异于为自己上刑吧

在乱糟糟的情绪到来之时   趁着周遭一切还尚未变得更糟糕  及时整理自己  把情感嚼碎了咽肚子里自我消化  某种程度上也是自我救赎吧

以上",29.0,4.0,2
6,6,27064658,致所有我曾爱过的男孩,e7f0b324ed645032882395b1365cd374,935d383e98f3633551f3de9a6090e00e,4.0,2018-09-28 12:15:34,"虽然是很套路的美国青春片了，还是一次次被这些真实的情感打动啊。 开头有点心不在焉，误以为姐姐Margot是妈妈…发现之后也没深究，草草过去了。 后来看到快片尾Josh和LaraJean的对话，一下子被戳到了。 LJ：Did you stop loving Margot after she broke up with you?   Margot和你分手后你就不再爱她了吗？ J：No. Not at first. At some point it changed, though. The longer she was gone, the more I understood why she ended it.  不，一开始还是爱的。但就在某个时刻我的感觉变了，她离开的时间越长，我就越明白她提出分手的原因。  我就赶紧回到开头。姐姐和Josh交往两年了，Josh早上都会去她们家，我觉得感情应该不错。但姐姐要去苏格兰上大学了，两人肯定就要异地恋了。片头早餐，Josh告诉姐姐一个惊喜，拿出了自己去苏格兰的机票，并说“既然你感恩节不能回家，那就让我给你家的气息。” 还说自从知道姐姐要去苏格兰就设置了航班提醒。woc？这么暖的！！！但是姐姐拿着Josh的机票，听到Josh的惊喜立刻变脸，之后就提分手了。 我瞬间被扎了心，这对好让人难受。姐姐心知肚明不分手未来会很艰难，异地恋对双方都不好，好在后来Josh也明白了。 其实我觉得这对很暖，是另一种爱情。而且即使分手了，暂时都没有新的伴侣，心里肯定还有彼此的位置，只是现实暂时还没有办法在一起。 我暗戳戳地认为他们说不定还有可能，毕竟不是因为彼此本身的不适合分开，姐姐在误会LJ喜欢Josh的时候那个醋意真的是还爱的，Josh也是。 真的希望所有人都能收获真爱啊…",5.0,,10
7,7,27064658,致所有我曾爱过的男孩,ce85621d182782aa8d877d9feddbc098,1134466965c68784f940629a18e0c77b,3.0,2018-08-31 20:53:59,知道这个电影是在某个公众号看到了一句，你有没有过喜欢过某个人，却没告诉他的经历，然后我默默地想了想，嗯，我没有。       然后看完电影，我发现一直勇敢表达喜欢的我与写信的简其实并没有任何不同，我相信若是真的喜欢，即使没有那封信，故事还是会有的。      也许有人看完电影以后，觉得喜欢就要说出来，此刻我却觉得也许有的不合时宜的喜欢真的只适合埋在心底，然后在一个午后晒着太阳拿起来回忆，会是更美好的事情。       我从来都怕后悔，所以喜欢每个人都告诉他，不想辜负自己的任何一份心意。        但是不后悔就会快乐吗？我还是不快乐，我没有遗憾，我不后悔自己做出的任何决定，但是我并不因此而幸福。         也许比起把爱意一股脑地倾泻给你喜欢的人，给别人造成不必要的困扰，是时候学会自己接受自己的满腔热血，然后写成一封信。现在开始，当我喜欢上一个人，我不会告诉任何人，但是我会给他写一封不寄出的信。,8.0,1.0,9
8,8,27064658,致所有我曾爱过的男孩,24ef657b1dbb2df99e00932ed05f4f7a,3f33cebff833cee551e000c94f98f3c4,4.0,2018-09-16 12:05:06,虽然套路 但是真的好甜 有两个镜头真的少女心爆棚 part1是男主在party将女主的皮筋绑在手上 仿佛昭告全世界she is absolutely my girlfriend！ part2是在浴池 男主：“如果我跨越整个城市去买你喜欢的东西 这意味着...” oh 太撩了叭！！片中最喜欢的一句话大概就是 i had a crush on u.翻译大概就是我曾经热烈却羞涩爱过你 可以说无敌贴切了,8.0,,1
9,9,27064658,致所有我曾爱过的男孩,846500db7db07ea06f48c084541a465e,2b4d18ffa16b25f67139e2ed4af42a66,5.0,2018-08-30 02:47:57,"女主长得像一个曾经的同学，亚裔的日本人。现在想想”啊原来别人的高中生活是这样的啊”。 说实话我觉得豆友们很多都get不到这部电影为什么“应该五颗星”。作为北美亚裔青少年专家（hhhhh），我要给这个⭐️⭐️⭐️⭐️⭐️电影说句公道话： ❓为什么女主角用亚裔的setting为这部电影添彩？ ✅首先，亚裔（不是留学生）正在北美社会舞台中逐渐成长起来，人们对于亚洲人的开始越来越了解，接受并以友好的平等的眼光对待。 ✅亚裔女孩在北美的一大苦恼大概就是要逃脱“asian stereotype”。就是她们绝对绝对绝对不想要被一说起来就是“成绩好，乖乖女，弹钢琴 ”等等。这是很社会对亚裔女孩的“第一印象”。所以我遇见的很多亚裔女孩为此可以说是“刻意地明显地”划清了一道界限。 ✅然而这部电影里的女主就是那种“学习好”的亚裔。她的朋友很固定，喜欢一个人看书，在学校也不是很popular，甚至形容自己“隐形人”。让观众站在这样一个视角，一个经常被人们忽视不了解的亚裔普通女高中生的视角上，他们会发现实际上大部分人都能够有共鸣。看着看着就有那种“aha moment”。发现女主的更多品质，她勇敢有趣仗义sweet。 总之，喜欢这部电影喜欢这部电影的一大原因是有一点点代入感，然后给予我启发某种意义上。 🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆🔆 如果说我会对十一年级十六岁的自己说什么改变什么，那还真没有。There's not a single thing I could and would change. 只是过了这么多年了，才跨过了前十四年里所筑起的culture束缚，才领悟到其精髓。总之，就是要勇敢吧。 我希望在成长中的少女们一定要记得去勇敢的探索,不要被别人被生活被学校被老师被体制束缚。一定要勇敢。 总之，我的高中生活 late teenage 大概就是那个学校组织的ski trip which i have never gone, that boy who i never dated. 以下全是草稿 心里面怎么想的直接放到了键盘上。 Thinking back there’s no way I could have done any of this. 以前完全不是现在的mindset 究竟从什么时候开始变得“cool”了大概是感谢朋友。but anyways this is a really good and healthy way of thinking of relationships. 所以我真的有的时候羡慕cbc朋友们这么正直又充满爱地长大了。然而我以十四年的completely东方文化经历there’s a lot of cultural shock.  Thinking back again, what was I doing in high school? 九年起十年级我在jf，nothing special. 甚至可以说是memories i want to run away from. （hmmm 为什么总是runaway from things）but what I did in g11...making new friends? Getting to a fixed circle, eating with same friends. Ah I’m getting better at this. Wasn’t paying much attention in class. Was drawing a lot I guess.  Now thinking about it, next year I’ll have spent one third of my life in a different culture. Let’s hope that this current situation end. And I will meet a green eyed cutie soon!",23.0,2.0,7
