,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27075198,深红累之渊,132251514ee4a8e90233d6f3d2fac286,de1a7b0ccb19c0ce91f51fb7d4eb679b,4.0,2019-04-21 06:05:33,"这篇影评可能有剧透 

                        （手机编辑图文功能太难用了！抽打一分钟豆瓣） 一不留神写得很长，关于演员和剧情的一些感想，如果哪里不对欢迎指正。 -------------- 一个很有趣的现象，zmz发布的《累》微博转发次数超过5.9k（截止4.21），目前为本月转发量榜首，而在日本创下9亿票房的《code blue》转发量...

                         ( 展开 )",41.0,1.0,23
1,1,27075198,深红累之渊,927d290340a8f97d72fc4a41179560c8,d1c54276ffc4f59aa91dea62d519281e,5.0,2019-04-28 01:03:27,"这篇影评可能有剧透 

                        前言： 电影和漫画的设定是完全一致的。 情节大体是一致的，有改动和浓缩，不过都是符合原著精神的。 1.累长得非常丑，即使没有嘴上那道疤也是。不过电影无论是成年演员还是儿童时期演员都和""丑""字没啥联系，很容易让人误解称累被人歧视是因为脸上的疤.......本剧最大遗憾。 2....

                         ( 展开 )",27.0,1.0,9
2,2,27075198,深红累之渊,ac298b7a6892b419e5fe1aefae7a58e8,c9b6d2dd1ed0adb9535dc0bef50dcc90,3.0,2019-05-22 15:05:33,"我对日本漫改电影向来信心不足，这部“深红累之渊”也不例外。只是因为挺喜欢原作漫画，不免对真人版有几分好奇，于是几乎不抱什么希望地找了来看。 话虽这么说，“深红累之渊”其实算得上是漫改电影里比较优秀的一部作品了。如果我之前没有看过原作的话，这部悬念与反转迭出的...

                         ( 展开 )",4.0,,0
3,3,27075198,深红累之渊,c1358079cbfe90dd6b669b86a8276fe2,62445b5a3fc1479cc739b29e3396c458,4.0,2019-05-04 23:53:35,"这篇影评可能有剧透 

                        其实总体，始终觉得，渊累在给妮娜下药后的那五个月，享尽美貌带来的一切之后，整个人都变得很开朗，很甜，很少会有之前的自卑感。其实看到这，我以为电影会开始着重讲述当她们各自得到自己原本的脸后的心理变化。对于渊累的变化，如同我刚才提到的，是实质上的一些积极的心理...

                         ( 展开 )",2.0,,0
4,4,27075198,深红累之渊,4cc85b64ee2f354693ea04f2e09bdd3e,f70bebb0456131113f6b0db0634a28f2,5.0,2021-09-21 16:52:06,"实际上这个电影我没完整看完，最开始我是看漫画原著 然后看了不到一半发现有真人版就去搜几分钟解读剧情那种，发现了电影最后的舞台剧《莎乐美》。 我第一次看《莎乐美》的时候，第一感觉是很怪，带着日本诡异的恐怖风，加上最后亲头颅的剧情，太怪了。 但看了第二次，就真香了...

                         ( 展开 )",1.0,,0
5,5,27075198,深红累之渊,fbdfef496f6dab374a151de0583f6a20,de4af9f101c906b3978658cc4bc763ac,4.0,2019-05-26 21:06:25,"看完了。 一开始两个女性角色在脸盲症的我眼中，只能凭伤疤区分，但是渐渐地人物性格让我清楚地区分开了两人，随后即使发生了转折，角色的不同也清晰可辨。 我觉得累那个演员本身的容貌是比妮娜好看的，尤其是满脸阴气森森表情的时候，美貌爆棚。 妮娜那个演员在开始的时候我觉...

                         ( 展开 )",3.0,,1
6,6,27075198,深红累之渊,cf2785dcc3b524e44736f7a802adc7e9,7c654c97a3a7354768e558618f3ea024,4.0,2019-04-23 17:27:13,"不疯魔不成活。 这里的“活”，既指“生活”，也指吃饭生存的工作“活儿”。 尤其在音乐、绘画、表演等艺术领域，这更仿佛一句颠扑不破的真理。 对于演员，有多大程度的“人戏不分”，就更可能取得多令人瞩目的成就，《霸王别姬》中的张国荣，就是一个最典型的例子。 而且《霸...

                         ( 展开 )",17.0,2.0,12
7,7,27075198,深红累之渊,dbdb570f241d9ad42eff639c9cb020fa,addc8a8300b23120ca644bb97ef875fa,4.0,2018-09-20 06:19:47,"这篇影评可能有剧透 

                        好歹是囫囵吞枣把漫画追完，对这个故事有了解，但电影版可说是耳目一新的存在，甚至说是今年漫改里精品级的存在也绝不夸张。它并没有照搬漫画的设定，而是把整个节奏控制得紧凑迅猛。可能是因为篇幅的限制，电影版的故事讲到《莎乐美》的连环套那里便戛然而止，之后累的又一个...

                         ( 展开 )",43.0,7.0,10
8,8,27075198,深红累之渊,55ff2e6ef40257a6d00cb6cac256b6cd,b66f09fb0cfe37bb2b936a97dede18cc,4.0,2021-12-25 00:51:05,"我真的爱惨了病娇 很神奇，最后一幕莎乐美给我的感觉很像《黑天鹅》的舞台，电影的主题曲也叫Black Bird，不知道是不是有这层意蕴。 结尾莎乐美的高潮表演部分，渊累和丹泽妮娜交织出现，既可以理解为渊累自我意识的展现，也可以理解为现实中丹泽妮娜正在被抢救，处于生与死的...

                         ( 展开 )",,,0
9,9,27075198,深红累之渊,4cc85b64ee2f354693ea04f2e09bdd3e,f70bebb0456131113f6b0db0634a28f2,5.0,2021-09-21 16:52:03,"实际上这个电影我没完整看完，最开始我是看漫画原著 然后看了不到一半发现有真人版就去搜几分钟解读剧情那种，发现了电影最后的舞台剧《莎乐美》。 我第一次看《莎乐美》的时候，第一感觉是很怪，带着日本诡异的恐怖风，加上最后亲头颅的剧情，太怪了。 但看了第二次，就真香了...

                         ( 展开 )",2.0,,0
10,10,27075198,深红累之渊,362d95a4aaf2a64610f37d29c38c1666,34d8ec77e37e455a5e16e87127e2fad8,4.0,2021-07-18 20:07:13,"电影刚开始的阶段二人的人设是，累—自卑、懦弱，妮娜—嚣张、跋扈！而随着二人不断的换脸，累不断的迎来人们的欢呼、也不断的收获着自信！到电影结尾阶段，二人的性格几乎是完全置换过来，可见颜值带给女人的自信真不是一点半点！这也是各类美颜相机大行其道的原因！ 不过，原...

                         ( 展开 )",,,0
11,11,27075198,深红累之渊,6282ffec4a2a6a66af2bae6540b67cd1,59bdb8ae7a59016dc8cf1fe578808017,4.0,2020-09-15 13:40:53,"这篇影评可能有剧透 

                        被电影剪辑版本深深吸引，加上双女主，百合题材的标签，去看了这部电影。 电影的一开始令我觉得有些乏味枯燥，情节安静地发生，忍不住想要抽离换频。直到女主小累的秘密被发现，故事开始有了吸人眼球的感觉。 影片中累的口红可以和妮娜交换容颜，代替演技拙劣妮娜表演。起初，...

                         ( 展开 )",1.0,,0
12,12,27075198,深红累之渊,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-03-26 19:34:20,"演戏的人生不断践踏底线——《深红累之渊》 今天聊聊电影《深红累之渊》。 片名累-かさね- / Kasane (2018)。 本片根据日本漫画家松浦达磨的漫画《累》改编。 影片用充满奇幻的方式讨论了一个实实在在的现实问题，外貌对于一个人的生存究竟有多重要。换句话说，一个人为了美貌...

                         ( 展开 )",1.0,,0
