,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27097910,蕃薯浇米,793744085d7c3765d8905f84bf89421c,a68dfae9a77805e27cf1100177647dbf,4.0,2020-01-05 11:14:10,"这篇影评可能有剧透 

                        [视频] 《蕃薯浇米》是内地第一部闽南语电影，李少红监制，两大金马影后归亚蕾、杨贵媚主演，讲述了闽南乡村两位女性的晚年生活。 在2019年平遥电影节上，影片获得藏龙单元最受观众欢迎奖，今年1月10号即将全国上映。 这是叶谦的电影导演处女作，他的本职工作是时装设计师，曾...

                         ( 展开 )",46.0,1.0,0
1,1,27097910,蕃薯浇米,923dbe2ef544f233af85692311c4cef7,d4f465185863e0fc079b07d935748a1d,5.0,2020-01-08 21:06:22,"“番薯浇米”，地瓜稀饭，平凡得像是现代人再也不会随口提起的一种老去的记忆。导演叶谦从时装设计跨界到电影导演，从最初的预告片作业到如今跨度四年终于公映，对于一个闽南男孩来说，创作的归途也许就是乡愁。而对于闽南和潮汕地区长大的我，从电影里大量的闽南风物和民俗里...

                         ( 展开 )",19.0,,1
2,2,27097910,蕃薯浇米,4aa814d5313fb9684d48e76090398c44,8a8eeafa25341f045a03821b01fcc789,3.0,2020-01-11 13:00:41,"这篇影评可能有剧透 

                        开年第一部院线，也是华语、新导演、女性主题、地方文化的电影。过多标签也是该片避不开的特征之一。用学术语言来说，导演充分运用了职业优势，体现了个人话语风格，同时暴露出执行好剧本的能力短板。 先说演员。归亚蕾和杨贵媚的诠释无话可说，细腻到位。而大量采用素人演员的...

                         ( 展开 )",3.0,,0
3,3,27097910,蕃薯浇米,1e8e17db4ea3877c09bbdbcf156b8518,bf53910e1398c9c76fd683c31820bf03,,2020-03-31 23:16:39,"整部电影像是无数块碎片真实的拼出记忆中闽南老年人的生活。 花头巾，空荡的衣衫，不太稳健的步伐，番薯浇米，青娥秀妹老阿婆，每一个都可以在记忆里找到原型，这对闽南人来说是一部回忆录，回忆起那些常年坐在路边石凳上的人，上一次相见还是在别人的口中，来不及细想，她们的...

                         ( 展开 )",1.0,,0
4,4,27097910,蕃薯浇米,5e48f4833eabbfdb282576aa68bb05c3,be1f3d52aeae52aa753af1f618845342,3.0,2021-10-11 20:59:26,"这篇影评可能有剧透 

                        #电光幻影# 《番薯浇米》闽南语版，生死不是落差，是一开始就规划好的那条路，只是，我们都没有拿到自己生命的规划书。 避不开的生死，聊起来觉得很宏大，细想想，就是最基本的一个轨迹而已。所有的喜怒哀乐，所有的高潮低潮，所有的功名利禄，所有的艰难困苦，其实都是这轨迹...

                         ( 展开 )",,,0
5,5,27097910,蕃薯浇米,d491b47b9d1290f50a6b893b39b4c46f,404b3b992d5c1b2eddc8b73ac8b45516,5.0,2021-08-14 10:29:32,"这篇影评可能有剧透 

                        《蕃薯浇米》讲述的是一个闽南农村的老太太秀妹在与闺蜜阿娥的相处当中，逐渐找到自我价值的故事。导演通过缓慢的节奏将朴素的乡村生活的种种细节带到观众面前，展现出一幅独具闽南风味的乡土画卷。使观众领略到特有的闽南文化的同时，也表达出对空巢老人的人文关怀。 •独具...

                         ( 展开 )",,,0
6,6,27097910,蕃薯浇米,25e998f7d1eedc4854a28576c0c2e2be,bb7b51aaea1d39eb1c50ed2a1d104e71,,2021-08-06 00:17:45,"这篇影评可能有剧透 

                        确实片如其标签：女性、老年、农村、方言，因为除了女主角是一位说方言的生活在农村的老年女性之外，这几个元素之间没有任何别的关联。 闽南语的陌生化同民俗、神灵信仰一起，构成了极前现代的农村，与先进的台湾省蔬菜大棚和站在海边的海军昭示出一种有意味的对比。（不过这不...

                         ( 展开 )",,,0
7,7,27097910,蕃薯浇米,74afc9f876dc04c0c90cfaf2e57b3cdc,f47434dffd308918d42a1a2d1daf01b8,4.0,2020-12-09 13:23:06,"这篇影评可能有剧透 

                        觉得还行的话欢迎关注公众号：一周五六的后仓库 这部电影今年年初上映，听友人提起过，最近听说视频网站上可看了，遂看。 观看后最大的感受——太闽南了。 全闽南语对白，故事发生地在沿海，公交车上印着泉州，遍布的石头房子。实际上归亚蕾老师一出来的服装，我心一颤。 包着...

                         ( 展开 )",1.0,,3
8,8,27097910,蕃薯浇米,3af85270880f22204b0b09a542eb1164,22a2070e3c5c432cb6b8c8ca736a5f23,,2020-11-22 12:59:38,"《番薯浇米》，发生在我曾经经过的地方。年轻的我，穿着桃红的露肩T恤，自以为时尚，在走过惠安那个盐场的时候，发现惠安女们都包着桃红色的头巾，蓝色的紧身上衣，在海天之间，说不出潇洒的身影，我黯然伤神。 那个生长在那里的男孩嫌弃地说：这些女人脱掉头巾，黑白分明，很...

                         ( 展开 )",,,0
9,9,27097910,蕃薯浇米,615b3d5567559dcacc07789c3a9fa113,b82a9a13f4651e9abcbde90cd24ce2cb,4.0,2020-10-22 21:14:27,"想写的太多了，不知从哪里落笔，决定用这种总结的方式来记录： 1.女人（母亲）往往是撑起一个家庭幸福的精神支柱，越是简单的人，活得越不简单。 2.亲情，偶有在友情面前也会失色。友情，在独孤一掷的时候比爱情更权威。 3.爱自己是比天大的事，可咱们都在用一辈子去爱身边的所...

                         ( 展开 )",,,0
10,10,27097910,蕃薯浇米,8f9b8b6c208fcc21d06c7d6cc4a69ece,74ba5d6e246780f1d283ba0b4c14c3f8,,2020-03-22 10:18:39,"这是一部反映闽南妇女生活和情感状态的乡土气息浓厚的电影。 三位主演都是演技派，导演选角也是用了心思。闽南海边乡村民俗风情和自然风光拍得不错，许多细节刻画得真实动人，还有深厚的主题和怀旧味十足的闽南语歌曲。 勤劳善良的闽南女，一辈子辛苦劳作，上了年纪后，精神的...

                         ( 展开 )",1.0,,0
11,11,27097910,蕃薯浇米,c805d6503a04be5c57955159a198fff0,a6cfe840065de69a0607d4488ecd5505,4.0,2020-03-16 14:49:45,"“人活一世，不就是为了寻一片屋檐可以遮风挡雨吗，神明也是。” 第一次真正意义上的看一部闽南语电影，是《蕃薯浇米》，音译为地瓜稀饭。生在闽南，长在闽南。电影一开头，就把我拖入那个熟悉的语言社会。 秀妹和青娥，是普通的惠安女，裹着头巾在盐场、田地间做活。日常的吃...

                         ( 展开 )",3.0,,0
12,12,27097910,蕃薯浇米,91dd3245ebedddcd04486223fe67933b,5ef7b34f29f90be8fb6367106c0440be,4.0,2020-03-13 13:03:53,"这篇影评可能有剧透 

                        对于闽南女性，大家是什么印象呢？ 我遇到的人基本上两种看法，一种是夸赞闽南女能干、持家有道又会赚钱，还会扛石头，另一种则是不屑地表示闽南女人地位低，一辈子都在为家庭付出。 人的看法就跟盲人摸象一样，只能看到局部。即使整合了全部人的看法，也未必能拼出真相。 究竟...

                         ( 展开 )",6.0,,0
13,13,27097910,蕃薯浇米,91dd3245ebedddcd04486223fe67933b,5ef7b34f29f90be8fb6367106c0440be,4.0,2020-03-12 11:08:01,"全球大约有一亿人讲闽南语，台湾拍过很多全闽南语的电影和电视剧，比较轰动的电影有《搭错车》《悲情城市》等。直到2020年1月10日《蕃薯浇米》正式在院线上映，大陆才有了第一部全闽南语对白的电影。 《蕃薯浇米》这个片名是闽南语“地瓜粥”的音译。地瓜粥，在闽南非常地普遍...

                         ( 展开 )",3.0,,0
14,14,27097910,蕃薯浇米,e760f123c353832efbbadc8532faf42c,b670cef85f99777ef21712fb7dbec04c,4.0,2020-01-29 14:39:22,"这篇影评可能有剧透 

                        技术有点生硬、剪辑有点散乱，却令人久久无法从中抽离。《蕃薯浇米》就像它的名字一样，似乎什么也没说，又好像说了关于生命的全部。 传统未必一去不复返。当城市化加速度地席卷而来，当技术和效率逐渐统治了世界，我们常常会忘记，中国还有近一半的人口生活在农村，其中的大部...

                         ( 展开 )",3.0,,0
15,15,27097910,蕃薯浇米,7601e7c4ce2019385882997634af0a09,521462d82c2350bef767ca20ea0aa03a,5.0,2020-01-25 17:24:30,"把微博上发过的来豆瓣上发一下。 今天去看了心心念念的《番薯浇米》，作为2020年看的第一部电影，真的觉得很好看也很感人。如果要问整部电影讲了什么故事，很难跟你描述，这是一部很恬淡很自然很舒适的电影，情节的推进没有大风大浪或者非常激烈的矛盾冲突，像是日本的那部《步...

                         ( 展开 )",4.0,,0
16,16,27097910,蕃薯浇米,a210efcf5312a65bdc52ab37019f45f7,d19c295c6d08b8d018661dffaa981a90,4.0,2020-01-21 23:29:57,"这篇影评可能有剧透 

                        印象最深刻的是那一幕。秀妹对着家人说对不起。好像是人老了，总有一根敏感的神经，总担心给子女添麻烦。作为子女的我们，总说长大了要好好孝顺父母，可是在长大后也常常会在不经意间透露出对父母的烦躁。 影片有很多关于闽南的记忆:惠安女的装扮、地域迷信、妈祖神明等等。还...

                         ( 展开 )",1.0,,0
