,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27098364,超人之死,2800b02d8d64bc367d26b8885876035e,63396916312ac805036670c5eba0b3b1,3,2018-06-28 15:07:26,按照p52的剧情，超人之死接下来会出现四个号称超人的家伙争夺超人的头衔，分别是机械超人，超级男孩，钢人和歼灭者，而这四个人在彩蛋中都有提及。 机械超人，原名汉克亨肖，即电影开头外太空那架被毁灭日袭击的宇宙飞船上的队长，他一直坚信着超人回来救他，但超人没有出现，估计因此黑化，他黑化后变成机械超人在最后一个彩蛋中也出现了。 超级男孩，莱秃搞出来的克隆人，即他实验室培养皿里走出来的穿黑红衣服的人，一半超人基因，一半莱秃基因。 钢人，片尾第二个彩蛋里拿个锤子打铁的人，天才发明家，穿着一身高科技装甲。 歼灭者，氪星科学家研发的智能武器系统，随超人来到了地球，在超人死后自动启动，要拯救氪星仅存的血脉，因此它进入了超人的身体内，将他带回了北极的孤独堡垒，要以超人的基因为母体重建一个肉体，这也是为什么片尾超人会破棺而出并且他的飞船自动启动，孤独堡垒在片尾也有彩蛋提及。 下一部不出意外蒙戈大王应该也会登场，期待。,88.0,2.0,23
1,1,27098364,超人之死,79452d35b059743834f78c62aded8af0,c0c64aea8f561d3c530040365fbc3195,4,2018-08-13 21:34:29,"下了好久，终于看了为“庆祝”大超90岁生日拍摄的动画电影The Death of Superman

似乎每年DC英雄过生日都要被搞一下，很好…

不久前，我曾就互动游戏《蝙蝠侠内敌》做过关于老爷看法的评论，今天，我便就这部《超人之死》谈一谈从1938年以来在漫画界源远流长的超人精神：
很多人都会认为 superman就是一种无畏无惧、不可击败的力量型传统美式超级英雄，他从不失败，几乎没有感情波动，同时还是个热爱人民的逗比。在以前确实是这样的。
但随着几十年时间的流逝，DC宇宙中的反派由一拳就可撂倒的土匪变成了屠杀联盟的外星生物，战斗愈发艰难，而这些英雄的性格也逐渐变得鲜明了——WW有了对部落的矛盾感情、Batman开始怀疑自己是否正确、海王开始倾向于保护自己的文明，而最古老的Superman也有了对家庭的矛盾感情。

众所周知，Batman和Superman是美漫界最有份量的几位英雄之二，他们人气最高、他们的问题最鲜明、最引人注目，而最有意思的是他们之间也有很多联系和根本理念上的冲突（这一点我会在为了二刷黑归的时候提到）。看起来，他们一个光明一个黑暗，一个被爱一个不被爱，一个看起来最有用一个看起来最多余，但事实上他们同样是被社会压迫的产物——

老爷内心的问题主要来自自身，他怕被当成无用的人，怕被看作是一个多余的旁观者。为此，他选择了一定意义是上的逃避，他主动带上面具，成为了另一个“有用的”自己，但由于自己的愤恨，他做事行为长长超出常人的容忍范围，因此被当作是碍事的好事者——这也就是为什么他急切的想要改变自己，证明自己。在被社会舆论打击后，他屡次归隐，但因为自己的信念，他付出了自己全部的心血，他不断复出。
而大超的更多内心矛盾来自外界，他并没有过早的看到社会的黑暗，虽然父母双亡、族人全灭，但他太小，只感受到了逃出生天后地球人的光明与温暖气息，过的无忧无虑。他出道纯粹是因为他是一个见义勇为的好人，而经过屡战屡败，他本可以放弃，他没有。因为他知道，他是人民眼中正义的化身，是希望、是光明、是invincible的象征。因此，他决不能失败，如果他失败了，人类就失去了希望。但本身脆弱的他越是坚持就越是冲突，他失去了和妻子过好一生的机会，也失去了坦然面对生活的机会——他被迫带上面具，成为人类的“救星”。其实他才是真正的受害者，因为人类的过度依赖成为了为人类扛伤的护盾，他（的内心）才真正需要保护，露易丝看到了这点。所以说，本片中露易丝举起石块徒劳的扔向Doomsday那段真的感动到我了，她才是第一个认识到超人需要保护的人类。
同时，超人也反映出了，人类的一些劣性——有救星就一定要跟随和相信，使自己变得无能而懦弱，直到救星死去才自己努力，但为时已晚（本片内容）。以我之见，一切都还要靠自己的。不管有什么灾难，这都得由人类自己承担，几千年来超级英雄也都是不存在的。超人的存在是一种人类的劣性，而蝙蝠侠的存在则纯粹是因为个人原因，蝙蝠侠，不算英雄

这也是为什么我把Superman定义为社会英雄，Batman是个人英雄
。
。
。
。
。
下面再来说说这部电影吧，1.3个小时的片场长，超人和末日的战争有半个小时，如果拍成电影燃度肯定超过BVS。
感情表现的很细腻，以超人之死为背景，不仅描绘了超人的家庭矛盾和以上所提到的社会矛盾，同时娱乐性也很强，总体来说非常成功。
如果不是因为前半部分对Doomsday刻画太仓促，铺垫太短，那就将成为神作了。
目前来说，接在BVS后半部分还是非常合适的，绝对更加精彩
推荐观看
另外，本片彩蛋中的机械超人、歼灭者、钢人都值得期待，短短几分钟刻画的很好",13.0,2.0,0
2,2,27098364,超人之死,ed12c6580b92f8f8cb92a850d8bbcff0,04408b4a286211809ec141fd5286964e,3,2018-06-24 17:06:15,07年动画电影超人之死，01年正义联盟第二季超人之死，16年BVS真人电影超人之死和这一部动画电影重新又讲了一遍超人之死，总而言之，中规中矩吧，如果说感人度对比的话，这一部显然比不上01年版的第二季。 感人度对比: 01年正义联盟第二季18年动画07年动画(没办法，那个版本画风太丑了)=BVS 正义联盟 第二季 (2003)9.32003 / 美国 / 动画 / 伽德纳·福克斯 /  卡尔·卢波利 超人之死 (2018)7.52018 / 美国 / 动作 科幻 动画 / 杰克·卡斯托雷纳 刘山姆 / 杰瑞·奥康奈尔 丽贝卡·罗梅恩 超人：毁灭日 (2007)6.72007 / 美国 / 动画 动作 冒险 / 劳伦·蒙哥马利 布鲁斯·提姆 / 亚当·鲍德温 安妮·海切 盘点一下这一部动画的一些动画槽点: 1.囧叔弱化严重，正常战斗力解决掉毁灭日没问题的。 囧叔：这都16年过去了，dc能不能来点新花样，别老是汽油引燃行不行？直接虚化插毁灭日脑袋多省事 2.正联继续打酱油，打毁灭日成了葫芦娃救爷爷，一个一个上？ 老爷蝙蝠靠风骚的走位一直续，WW单挑得比较久，辫子散开成长发很帅，但是剑秒断？确定不是在黑BVS？大超的战斗时间比所有人加起来还长，只是最后毁灭日的死法略无语。 3. 非常不适应动画版的莱秃的配音，感觉是在听一个小喽喽在说话。莱秃应该是类似于公众之敌里面的雄厚而又自信不失礼节的商人和总统候选人的人设，不应该是这种二流配音。 4.看到最后反而哭不起来，抱歉，呵呵，这部电影的配乐和也明显不如01年正联第二季玩具人毁灭超人那一集，音乐全部都是激昂向上，氛围很重要呀！感觉导演也清楚大家都知道超人会复活，干脆在结尾也挑明了，让这一部电影更有种说不出的苦笑。 5.嗯，还是要承认，片头很帅，帅到爆了，DC你给我争点气，好好搞12月的海王，别丢人了。,33.0,28.0,17
3,3,27098364,超人之死,207284ee2e5127f1bad0550a38120ce2,0bc651ef7626a7868da4cbfdbe70f96f,4,2018-10-16 12:51:42,"我这个DC饭脑洞足以让我在看片子的时候全程将亨利大本加多带入这片子，这并不难，而且想象他们在大荧幕上怎么演绎这样的故事也挺带感，路易斯这次戏份很多，而且这次貌似“又”不知道超人的真实身份，如果是真人电影版的话，估计可以写出路易斯怀孕让超人不敢去冒险，然后纠结之后出击，最后为了保护母子而和反派同归于尽的桥段。另外路易斯原来是""取名侠""啊哈哈哈。大本的杯面台词肯定也比本片多一些，也是，前阵子貌似都是老爷要么主角要么占据大量戏份的动画电影，这次超人做主角老爷基本就到处闪避被队友救助就够了。闪电继续做搞笑担当，这次也讲了下钢骨和他爸的紧张关系，正联电影里稍微有所表现，如果将来钢骨有自己的片子可以从这个父子角度好好走走，毕竟这年头有爹的超级英雄无论在DC还是漫威都不多。 这片子打斗其实很少，好像基本就是开头的抢银行和最后的团灭，片子本身并不长但加进了很多人物和情节，显得就比BVS节奏好看多了。而且这次貌似是我第一次看到卢瑟心狠手辣的一面，完全不顾手下的生死，而且也演绎了从穿盔甲时的高度自信跌落到极度无助的状态。片子也表现了正联的亲密关系，钢骨他们会对海王表达手下牺牲的惋惜之情。 片子里很多BVS和正联的既视感，而且最后超人也是被穿胸而死，但那一招“双拳扭脖""招式，估计佐德看了觉得脖子不舒服。毁灭日这个设定真是”天降横祸“的演绎，说起来地球遭遇的大危机无论是DC还是漫威都是天降系，杰西的卢瑟说的不错，”恶魔其实来自于天上“。按理说女侠应该也有能力干掉毁灭日，这片子也把之前挑逗的女侠和超人的关系点到而止。另外这片子终于把克拉克本身作为地球人的魅力点出来了，之前貌似总喜欢把克拉克弄成”乡下书呆子“的美国最不受欢迎的白人男性类型，但本片也按照现实的情况，说明克拉克也是英俊高大有着白领职业并且正派的这种现如今美国社会上层白人精英的阶级，按理说追克拉克的人非常多才对。而且超人和父母谈话也算是彩蛋加情史爆料，典型的欧美父母谈话，在中国家庭可是难以想象的，毕竟中国父母是不允许自己孩子在上学时谈恋爱的嗯。 当初看过超人之死以及后续超人帝国的简介，所以片尾后面的彩蛋也算是不惊喜中的惊喜吧，那个宇航员立FLAG的能力真是max了，卢瑟真是走上复制超人的不归路，他制造的超人后代是不是比路易斯还多呢嗯。。。",5.0,,0
4,4,27098364,超人之死,8abac74e423f137bfb0695038a706eb7,ae2837893d85f58cdb971b7a98b612e7,5,2018-07-23 13:10:08,作为一个DC的资深老漫迷。DC每年的动画电影一贯是不用担心的。 原本很怀疑本作是否能超越1991年的《超人之死》漫画和2007年的动画。现在看来是多余的。 相比于2007年版，本作可以说是全方位超越了。这次的故事被分为上下两集，也让超人之死和披风之战有了更多的发挥空间。 首先要说的是剧情。本作的格局要大了很多，不再是以前的超人单打独斗应付毁灭日。这次正联轮番上阵，既承接了正义联盟的主线剧情，也拓展了超人独立的传记故事。虽然我们已经看过好多次超人之死的故事。但本作依旧令人感动。 开挂的老爷终于也有无力的时候。作为DC编剧们的爸爸，老爷开的挂比编剧们独立编的故事都多。这次面对毁灭日终于不太行了。毁灭日的设定就是超神级的破坏能力，也只有毁灭日能突显大超的战力是远高于正联任何人（小声的说除了老爷！）。囧叔有点遗憾的被迅速淘汰出局，理论上是可以压制毁灭日的存在。但是为了保住老爷，突显大超，这次我也就接受了，反正每次都要打酱油。WW作为物理战斗力仅次于大超的存在，能跟毁灭日斗上50回合还是可以接受的，但是火神制作的神剑就这么一掌被击碎，有点出乎意料。毁灭日难道比新神都强？ 超人对决毁灭日的打斗再次刷新了DC动画电影新高度，分镜做的真心不错。爽到爆的同时，也能真真切切的感受到超人的痛和毁灭日的强。最后有点《超蝙》的结局，感觉不如原版的力竭身死，倒在露易丝怀里要更好。但是半残的超人披风悬挂于废墟之中，绝对是好评。 再说说人设。 去掉new52失败的大超与WW配对是极为正确的。两位神一样的超能力者在一起，惹怒了不少DC的老铁粉们。露易丝和克拉克实在是天生绝配，露易丝就是超人的人性、良心，任何形式的更改都让超人本身的设定变的非常的突兀。本作很好的将SW的恋情画上句号是很受欢迎的。 卢秃子本作依旧投机主义者，没什么多余亮点，配音真是怪怪的。两大活宝小闪和绿灯依旧是笑点最密集的地方。Aquaman依旧sucks，不知道12月的电影里能不能有点改观。老爷的凝视！！！笑到不行。最后老爷与大米感伤好友逝去还是蛮动人的。囧叔，希望能出个独立故事会更好。钢骨，退场能在快点吗？！ 带护甲的毁灭日还是很带感的，有点至尊小超人的意思。而且这回明显是从《超蝙》中学了不少教训。能力和造型都帅爆了。也让这部电影变得激动人心。 感情线不是很出彩。2007年版的可能会更好点。不过超人一些细微感情捕捉的很好。不管是跟大众还是对于露易丝公开自己的秘密身份。 最后谈结尾。 不是特别喜欢这个结尾，如果时间够的话做成《超蝙》那种两个葬礼会非常的棒。而且泄露下一部的彩蛋有点多。披风之战里的，小超，机械超，钢人都露面了。难倒不应该是下集开始再放出来。大家一瞬间就不为超人默哀了也是绝了。孤独堡垒的生成方式还是换回原本的插水晶吧。 总的来说，看完挺感动的。它再次勾起我第一次看老版《超人》电影的感动。我们为何称他为Superman，就是因为他比别人都强。我们为何信仰超人，因为他总能在最艰难的时候带给我们希望。 要是这部动画改成电影版《正联》或《超蝙》该多好（不是不喜欢BVS，只是让老爷开杀戒和玛莎梗实在是槽点太多）。期待之后的披风之战。,7.0,1.0,1
5,5,27098364,超人之死,1a8ebe4d40c14de1b0b9281bab43e62e,5e724ee8fb47ae2aeb061df520111832,3,2018-07-08 12:55:40,"“超人又挂了，超人又活了”，每一年，DC总会安排几场（“深情款款”）超人与Lois生死之恋（催泪弹）的对手戏在超级英雄的大电影中，超人每一次的“倒下”，超人每一次的“站起”，都会引来观众的阵阵唏嘘、连连高呼，这就是“内裤外穿”的魅力，这就是DC旗下超级英雄的吸引力。 美国动漫《The Death of Superman》（超人之死） 作品类型：科幻 故事概述：正义联盟（尤其指超人+神奇女侠） VS“毁灭日” 上映时间：2018年7月24日在美国上映  齐头并进了数十载后，近年来，DC被漫威全方面超越，尤其是大电影，漫威已经势不可挡。DC的没落（垂直落体）让众多忠实粉丝唏嘘不已，但这就是“市场经济”，作品出彩，叫好叫座；作品低廉，人走茶凉。无奈...  虽然，真人电影屡屡溃败，每况愈下，但是，这似乎并没有影响其动漫影片的高歌猛进，饱受好评。或许，DC就不应该玩什么“真人大电影”，规规矩矩、老老实实做做动漫不是挺逍遥（口碑、票房双赢）。看不懂...
 扯的有些远了，让我们书归正传，进入今日点评。 详解DC最新动漫影片《超人之死》 DC的招牌，DC的摇钱树！ 众所周知，DC的当家人物有三——超人、蝙蝠侠、神奇女侠。三人之中，论名气，超人与蝙蝠侠更胜一筹；论实力，超人与女侠难分伯仲；论颜值，超人一骑绝尘。所以，不论从哪方面来看，超人当之无愧于“DC的头牌”。  头牌之争，超人轻松胜出，接下来，再来比一比，三人之中，谁是真正的摇钱树？
 电影方面（近十年）： 2008年，《Batman: The Dark Knight》，10亿美元 2012年，《Batman 3: The Dark Knight Rises》，10.8亿美元 2013年，《Superman: Man of Steel》，6.67亿美元 2016年，《Batman v Superman: Dawn of Justice》，8.73亿美元 显而易见，蝙蝠侠在大荧幕上的表现完爆超人。但是！超人在美剧及动漫系列方面的表现（数量+质量）则远超“高富帅”代言人Bruce Wayne。总体来看，两大猛男不分上下。（好基友，一辈子）  超人能不能死？ 可以死，但必须及时复活！ 记住，“超人之死”永远是DC系列作品的一个重要卖点，噱头而已，切勿当真。试想，谁又会真的向这样一颗青春永驻的摇钱树痛下杀手？除非脑残！况且，现在是什么年代？偶像时代！金钱社会！像“超人”这种大众视野中的超级英雄、超级情人，岂可被随意抹杀？！ 既然如此，编剧为什么又要演这么一出（让超人死了再复活）呢？理由很简单。 a，卖关子。兵法三十六计中的欲擒故纵，懂不懂？ b，引热点。先“死”后“生”，满血复活，这个编排，引爆观众热情。 c，埋剧情。间接提高“正义联盟”的关注度，不能让超人一人独舞。  综上所述，超人的战死是必然的，超人的复活是必须的！
 “超人文化”，日不落！ 1938年，超人首次登场，出现在《Action Comics》中，历经80年，屹立不倒，而今已然成为了美国的重要文化符号，而且是世界上最为人所知的人物之一，相当牛B。说到这，不知道有没有观众思考过，为什么“超人文化”如此盛行？作为美国动漫界的虚拟偶像，何以得到全世界的注目？在下思索了一番，觉得可能是以下几点，成就了“超人文化”的经久不衰。 1，DC需要超人 DC公司对于超人的定位，铸就了“超人文化”长盛不衰。 首先，超人是DC系列动漫中，屈指可数的超级英雄，无人可以替代。 其次，他与蝙蝠侠是公司的两大赚钱利器，缺一不可。 最后，超人是初代超级英雄，绝对的领袖与王者，地位不可动摇。  2，漫迷需要超人
 在欧美漫迷心中，超人的地位远比美国领导人高得多。为什么？ 因为超人就是公正、公平、公义的化身。 因为超人与生俱来的超能力，个人能力的崇尚，令欧美漫迷为之倾倒。 因为超人极强的正义感与同情心，这些正能量，正是当今世界所缺失的，且正是世界人民所呼求的。  3，观众需要超人 从上世纪中叶，超人一跃进入大荧幕，开创了自己的英雄时代，直至今日，征战近七十载，依旧魅力不减、锐不可当，能够有如此成就依靠的是什么？ 一，自身的能力（也就是卖点） 二，观众的力量（票房贡献）
 两者相辅相成，缺一不可。这里，尤其值得一提的是“观众的力量”。观众买账，是因为他们需要“超人”，这不仅仅是一种“情怀”（追随“超人”系列，直到天荒地老的执念），更是一种“向往”（被超人的人格所感染、激励，不断追求人生的目标）。  4，“超人文化”深入骨髓
 文化的渗透不是仅凭一朝一夕，而是日积月累。就美国而言，“超人文化”从上世纪30年代末，延续至今。而国人，从上世纪中后期开始，正式接触“超人文化”（飘洋过海、舶来品），通过陶冶、熏陶（TV动漫、美剧、电影），渐渐落地生根，现在的年轻人，不知道“超人”的几乎被视为“异类”。如此深厚、广博的“超人文化”，岂不像当年的大不列颠帝国（日不落）？  写在最后。超人的魅力还能延续多少年，我们不得而知，从现在的情况来看，保守估计，至少可以再战100年，让我们拭目以待。 编剧★★★★★（很实在的故事，没有太多花头，就是情感+战斗） 导演★★★★☆（又是Sam Liu执导，DC动漫片被他包圆了，更关键是，出自他手的作品，一部比一部用心，一部比一部有看头） 声优★★★☆☆（配音只能说一般，毕竟不是我的菜） 剧情★★★★☆（节奏稳，故事紧凑，片尾还留个悬念） 视效★☆☆☆☆（对于美式画风完全无感） 音效★★★☆☆（配乐很一般，与电影版差太多，片尾曲是亮点） 推荐度★★★☆☆（中上，比真人电影好看，喜爱超人系列的，不容错过）",9.0,1.0,1
6,6,27098364,超人之死,6a226257fb2407b1356abbd4e0aa0885,68f0007de4c063c68f4adc9781209272,5,2018-07-03 10:35:14,Dc送给超人80岁的生日礼物就是死亡 以下涉及严重剧透(虽然大多数人都猜到剧情的走向了) 看这部动画电影想的最多的就是如果真人也这么拍就好了，打斗场面有不少致敬真人电影的部分。 从一开始就在展示的超人这个神和每一个人之间的感情，餐厅的服务员以与超人为友为荣，其实每个人都是超人的朋友，路过的司机会跟超人打招呼，小孩会喜欢超人的摆件，帮助钢骨研究的科学家穿着超人的周边衣服，神剑号宇航员在危难关头仍坚信超人会来救自己(虽然黑化了)。 路易斯和超人与克拉克的感情戏也在片中占了不少的部分，克拉克吃自己(超人)的醋，在离别去阻止毁灭日前(正义联盟已灭一半)克拉克告诉了路易斯他最后的两个秘密，他是超人，他爱路易斯。(flag(•̩̩̩̩＿•̩̩̩̩)) 超人与毁灭日的打斗中超人也在身负重伤情况下去救一个去捡游戏机深入战场的熊孩子，熊孩子拥抱超人在超人怀里感受这个善良的氪星人带来的安全与温暖的时候可能不知道，他是最后一个抱着超人的男人。 Jl剧情杀葫芦娃救爷爷团灭了，超人一个人肩负杀掉毁灭日的重任(沙赞这熊孩子不会还在上课吧)，他被毁灭日的射线攻击到出血，被毁灭日的重拳打到奄奄一息，路易斯带着与超人，亦或是克拉克同赴死的决心走到毁灭日背后用石头砸他，对着超人说:我现在罩着你了。超人才小宇宙爆发，杀掉了毁灭日，自己也重伤身亡。 对于每个人来讲，超人应是一个神，他可以轻易的毁掉所有对他不利的事，神应高高在上，超人却想融入大都会，想用他的力量拯救每一个可能的人，他对自己的定义是从偏远小镇而来想做些好事的人，所以他才会和杀人的极英盟大打出手，所以他身负重伤也要救一个捡游戏机的熊孩子，所以他不惜死亡也要保护这个他暂居的城市，暂居的星球，这些与他不同的人。   在影片的结尾处，服务员在向玛利亚祷告时，质问主为何要让超人离去，留下了糙汉子的眼泪，整部影片中的情感铺垫在最后诠释一个氪星人的离去为何会让每一个人惊讶、悲伤，而不像真人电影令人头疼的叙事。 2018年的dc动漫电影一如既往的好看，dc真人这个弟弟还是往后稍稍吧。,3.0,,0
7,7,27098364,超人之死,704d979391a1a44835fc802fd0cdfaa8,afc1691f16fc3f548a5a2fb2fc708a04,5,2020-05-28 18:52:06,戴安娜和和路易斯是真的漂亮，反观《神奇女侠·血脉》里面的戴安娜就没这么好看了，十分喜欢这部的画风，很细腻，很贴合审美，每每看到这两位女神，都忍不住赞叹几番。这么一段时间以来第一次看过的剧情比较流畅，内容比较吸引人的动画片了，赞。 戴安娜和和路易斯是真的漂亮，反观《神奇女侠·血脉》里面的戴安娜就没这么好看了，十分喜欢这部的画风，很细腻，很贴合审美，每每看到这两位女神，都忍不住赞叹几番。这么一段时间以来第一次看过的剧情比较流畅，内容比较吸引人的动画片了，赞。,,,0
8,8,27098364,超人之死,4ad7f6b4b8cd87ce9800e7c6b5585251,55b73459d6bf72342e771ff31aa07475,2,2019-10-17 22:24:48,超人可以说是最早和最强的超级英雄，当时内涵，深度什么的，都是次要的，所以实力被设定的无脑强，导致现在根本无法融入任何故事和宇宙，而超人本身也没有什么深度和内涵可以挖掘，特效的话，也只是力量，速度，射线，完全没有看头，但dc3巨头，蝙蝠侠太弱，神奇女侠太精致，只有超人能有戏剧张力和发展空间，这真的是个死循环。。。 这部就很典型，有超人的片子，反派起码是银河级选手，但银河级到地球上又完全体现不出战斗力来，导致这片子看的断层很严重，以反派最后和超人的战斗力来看，正联其他角色都是普通人，被秒的份，蝙蝠侠要不是有宇宙意志保护，一个回合就挂了，神奇女侠有一斗的实力，但是看着这么个精致的美人和怪物杠正面总觉得是对所有男人的侮辱，特别是被怪物砸到地上正面锤脸的时候，这方面漫威选角完美规避了这个感觉0.0！！！但是反派这个战斗力按说应该比绿巨人还牛很多，却完全体现不出来，除了锤就是锤，你打我一拳我踢你一脚的（这也是超人电影的特效通病了），特效又体现不出这一拳一脚的威力，什么叫极限力量，一拳超人应该都看过吧，光头大魔王和宇宙英雄波罗斯的最后一战就很完美体现了一场超星系的战斗起码应该是什么样的，而光头大魔王实力设定应该是打不过超人的。。。 由于超人的能力设定，导致很多反派也只能这种无脑设定，这部的反派就是这种，我不是动漫迷，看评论说这个角色的能力是不死和学习，？？？，这种设定真的是看的我目瞪口呆，简直跟超人设定同出一脉，或者，这就是个莫得感情的怪兽超人，也没有问题吧。。。而且这个反派出现的简直蒙蔽，身上穿的明显是智慧生物才能做出来的装甲，拥有学习和适应的能力，却没有脑子，物理系强输出，却还能用镭射眼，超级生命，却一副粗狂动物的外形，它是怎么来的，它是谁，它要干嘛，一脑袋的问号。。。就因为超人要死，然后要4个莫名其妙的角色来争夺超人的传承，就莫名其妙的弄个这种角色出来？这么干，dc永远别想跟漫威斗了。。。 话说，超级英雄为什么要传承？？这好像是我大中华的传统吧，什么时候欧美也来这一套了？？而且最近漫威好像也在弄传承这套。。。野猪套天下第一？？？,,1.0,0
9,9,27098364,超人之死,4ad7f6b4b8cd87ce9800e7c6b5585251,55b73459d6bf72342e771ff31aa07475,2,2019-10-17 22:24:24,超人可以说是最早和最强的超级英雄，当时内涵，深度什么的，都是次要的，所以实力被设定的无脑强，导致现在根本无法融入任何故事和宇宙，而超人本身也没有什么深度和内涵可以挖掘，特效的话，也只是力量，速度，射线，完全没有看头，但dc3巨头，蝙蝠侠太弱，神奇女侠太精致，只有超人能有戏剧张力和发展空间，这真的是个死循环。。。 这部就很典型，有超人的片子，反派起码是银河级选手，但银河级到地球上又完全体现不出战斗力来，导致这片子看的断层很严重，以反派最后和超人的战斗力来看，正联其他角色都是普通人，被秒的份，蝙蝠侠要不是有宇宙意志保护，一个回合就挂了，神奇女侠有一斗的实力，但是看着这么个精致的美人和怪物杠正面总觉得是对所有男人的侮辱，特别是被怪物砸到地上正面锤脸的时候，这方面漫威选角完美规避了这个感觉0.0！！！但是反派这个战斗力按说应该比绿巨人还牛很多，却完全体现不出来，除了锤就是锤，你打我一拳我踢你一脚的（这也是超人电影的特效通病了），特效又体现不出这一拳一脚的威力，什么叫极限力量，一拳超人应该都看过吧，光头大魔王和宇宙英雄波罗斯的最后一战就很完美体现了一场超星系的战斗起码应该是什么样的，而光头大魔王实力设定应该是打不过超人的。。。 由于超人的能力设定，导致很多反派也只能这种无脑设定，这部的反派就是这种，我不是动漫迷，看评论说这个角色的能力是不死和学习，？？？，这种设定真的是看的我目瞪口呆，简直跟超人设定同出一脉，或者，这就是个莫得感情的怪兽超人，也没有问题吧。。。而且这个反派出现的简直蒙蔽，身上穿的明显是智慧生物才能做出来的装甲，拥有学习和适应的能力，却没有脑子，物理系强输出，却还能用镭射眼，超级生命，却一副粗狂动物的外形，它是怎么来的，它是谁，它要干嘛，一脑袋的问号。。。就因为超人要死，然后要4个莫名其妙的角色来争夺超人的传承，就莫名其妙的弄个这种角色出来？这么干，dc永远别想跟漫威斗了。。。 话说，超级英雄为什么要传承？？这好像是我大中华的传统吧，什么时候欧美也来这一套了？？而且最近漫威好像也在弄传承这套。。。野猪套天下第一？？？,,2.0,0
