,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27114417,祖宗十九代,72915d75423ec9747fc1db1eca85d1eb,3e1a945453d28eb3342bf913886d4462,1.0,2018-02-17 10:10:28,2月23号 更新 今日翻微博偶然翻到了郭老师的一篇新微博……  嗯，我是不知道该怎么说了，还能怎么说，翻了一眼评论，突然觉得这世界上除了纲丝更多的还是明眼人，然而那又能怎么样，郭老师反正也不会听，毕竟一看就是没看过电影的！  几天前看过知乎上有位答主讨论郭德纲这次该如何为自己再拍烂片辩解，我想现在看来答案已经出现了，只是未曾想到如此简单粗暴，哎，郭老师，无论在相声圈还是娱乐圈，论不要脸，您要说第二，谁敢去争第一？ ……………………………………………………………………… 很多人在评论里说我为了黑而黑，那么我想想问问那些骂我的人，我在这里戳穿郭德纲为宣传电影所编织的拙劣的欺骗消费者的谎言，避免更多的人受其蛊惑上当受骗，这算不算是正义的行为呢？还有，不喜欢骂街，骂人的我也不会回复，有什么观点心平气和的讨论…… …………………………以下是原文……………………    1.这是我第一部导演的电影。 这种胡说八道的话纲丝们总会选择性地忽略，当然我们的老郭最擅长的不就是赚纲丝的钱吗。 云集了当时德云社最强阵容，当然也是以后德云社最强阵容的三笑 不知郭能否解释一下。我估计吧，肯定这个叫刘观伟的导演是老郭的朋友，他说能不能帮我和我一起来导个电影啊，于是老郭就带着整个德云社的人在没看过剧本的情况下就去了。      2.之前拍的电影都没看过剧本。 我是真的想知道到底是怎样一个混账会说这种混账话，竟然还有一堆混账信呢……我希望众多纲丝给我解释解释，你他妈都是主演了，你都不看剧本……“为了帮朋友的忙”，你郭德纲圈内有几个朋友心里没数吗？自己说过不止一次，冯小刚和孟非是自己唯一的两个朋友，我希望纲丝朋友能告诉告诉我，冯导的哪部电影老郭上了？ 都尼玛主演，告诉我没看过剧本……  既担任监制又是主要配角，还有德云社主要明星助阵，确实是没看过剧本 更讽刺的是相声大电影的导演张鹤栾辉煌的影视生涯中唯一拍过的电影就是这部了。说实话一看这名我以为是老郭鹤字科的徒弟，也许真的是他徒弟拿来凑数的…… 一个连几流都不知道的导演到底和郭德纲关系有多铁，能让老郭携家眷来支持？真的是个满嘴胡话的江湖痞子…… 3.感人逻辑：相声界许你们祸祸，我就不能去祸祸电影界了。 这是他那跨年夜相声里唯一好笑的一句话。说句实在话，郭德纲的无耻就是在他对同行抹黑上，我没见过多少祸祸相声界的（如果非说有的话，德云社算是最大的一支了），但我见过太多祸祸电影界的了。中国电影市场不缺好导演好编剧好演员，但一直都被这些有钱有势的阿猫阿狗占住了位置，想赚钱你可以去投资有潜力的新人，明明没有金刚钻，能别揽瓷器活吗？ 说句实在话，郭德纲永远不会成为角，并且只要这帮傻逼纲丝一直支持着他，他就可以靠着这些老段子一遍一遍的演活下去，相声已死，能给电影留条活路吗？,1306.0,726.0,696
1,1,27114417,祖宗十九代,aadc8f3f3385e6e64f43022255174e7e,e73ec799e1eb1f8499d4a348f0dc564b,2.0,2018-02-17 12:51:15,“是不是烂片看过了再说”，这是郭老板的语言陷阱。其目的无非是把观众吸引进场买票消费。作为一个买了票看过了的人我有权利说两句了吧？一个字：烂！并不是每个相声演员都能成为北野武，即使是郭德刚也不行。整部电影的编排和节奏像极了郭德纲的相声--堆砌一些包袱最后戛然而止。但电影语言与相声技巧是有天壤之别的，这些包袱在拙劣的电影技巧的操作下绝大部分都让我无法发笑。至于情节，根本连贯不起来。抽掉任意一段的穿越对剧情都毫无影响，完全为了堆砌角色而堆砌剧情。当然多段叙事的贺岁片并不少见，但我们回头看看此类的鼻祖《甲方乙方》的每一段叙事，都有其独特的意义和指向性，而本片完全没有。在展示了郭老板众多的人脉之后一切也就结束了。那些嚷着要还郭老板票钱的朋友们还是捂好钱包等机会看他的相声巡演吧，不要落入郭老板的语言陷阱欣赏一部无意义的烂片。,258.0,88.0,39
2,2,27114417,祖宗十九代,16c2a303b07154c1fd5799cb9a3e001e,1ef6169344c119ff2f811fa3bf030d42,1.0,2018-02-21 22:55:57,"1）今天把《祖宗十九代》看了，由于排片少，不得不在VIP厅看的，终于见识了本贺岁档唯一大烂片，别看《祖宗十九代》的豆瓣得分4.9甚至还比《西游记女儿国》的4.7高一点，在我看来给3.5分都算高了，颇具讽刺的是，如果对比前作《欢乐喜剧人》和《我要幸福》，这部似乎还有那么点点进步，就像一直考20分的孩子考了25分，骂着也不得劲，本想算了，再一想，我这张VIP电影票，恰是另外五部贺岁片票价的总和，所以还是把这篇写下来了。
 2）电影讲的是，心不宽体却胖的作家枪手贝小贝（岳云鹏饰）事业爱情双受挫，想回到祖宗的朝代改基因，先后穿越了民国、清朝、明朝、晋朝、上古五个朝代，和祖宗们一起寻偶，终于在夸父的点拨下明白了“追逐的过程”的内涵，最后爱情事业双丰收。
 3）电影不好看在于，首先价值观模糊，长的丑又不是错，去改什么基因呢？改就穿越吧，五个小故事，没有一个小故事的爱情是让人羡慕的，没有哪个祖宗的人格是有魅力的，马苏好好的正面形象，却搞去偷情，黄毅清都要笑了；其次是角色失位，虽然集合了影星的半壁江山，但其中的每个角色都是为并不好笑段子而生，勉强合格的只有吴秀波和饰演紫安的张俪，有的明星就几秒的镜头，唯一作用就是让人出戏；即便这样，如果小故事搞笑，也依旧能算一部合格的合家欢电影，然而还是没有，这些段子太老，无论是“前朝的圣旨”，还是左轮手枪轮盘赌，都是烂大街的梗，没有丝毫新意，没有一处出彩的地方，看着极其寡味。
 4）那是导演笨？错了！我觉得郭德纲是个天才！郭德纲在之前的预热片中说，他看人家拍一个电影要一两年甚至好几年，而他只花一个月，还洋洋自得的样子，后来我想明白了，郭德纲设计剧情不是为了根据剧情走向和主旨，而是要看明星的档期，争取每个明星的戏都半天完成，比如打个李晨：“我有个片，大年初一上映，来捧个场怎么样，一个小时就行，带上你宝贝夫人，顺便叫上阿恺和宝强”，原来请个大明星那么难，被郭怎么一操作，顿时无比简单，要是这片最后赚了，就是投资方、制作方、演员三赢，绝对是继王晶后的又一大天才！
 5）不过最后范冰冰的彩蛋并不算差，不能乱黑。五道大题全不得分，附加题加10分，就是本片的成绩单。",299.0,113.0,79
3,3,27114417,祖宗十九代,d14ec8b3a2883f82a2cf6852027c43c5,40bdfed794ab0a14cb14502a1f15bb98,1.0,2018-02-26 16:19:19,全明星大腕“祖宗”阵容  后代却是小岳岳这种遗憾颜值  不禁让小岳岳对女神林志玲发出天问  “假如我是一个又胖又丑  又笨又蠢的男人  你会喜欢我吗？”   电影围绕“颜值”话题和“穿越”元素展开  岳云鹏饰演的贝小贝因外貌不符合主流审美  在生活中屡屡碰壁  他鼓起勇气向暗恋的女神莉娅（林志玲饰）表白却惨遭拒绝  开始怀疑人生并把所有责任归咎于祖先的基因不够完美  意外翻开家谱并通过家谱穿越至祖宗梅办法（吴京饰）  梅前途（吴秀波饰）、梅幸福（欧弟饰）  梅西望（杜淳饰）所在的年代  决心通过篡改祖宗的姻缘  来调整自己的基因，让自己变美   于谦饰演的黑帮老大持枪指着小岳岳  强迫其承认“说，你是猪”  小岳岳耿直地回答“你是猪”  于谦发挥搞笑功底，不按常理出牌说了一句“原谅你了”   喜剧担当的贾玲  狂吐槽岳云鹏颜值，曝出自信金句，  “这颜值不搭啊，在一起怎么都开心不起来，哪像咱几个啊，都好看”,47.0,8.0,0
4,4,27114417,祖宗十九代,29d9ab1e123cdcd236e88fa9b7d085ad,84532381b7d8bc7581c7a497f61ab6b6,3.0,2018-02-16 17:45:39,夜里看的首映，两碗饭是不可能都端稳的。说白了就是郭老师过年半个酒席收个份子，之前到处友情出演背个骂锅送出去的人情，这下33个明星把人情全还回来了。恶搞笑料与文字包袱的杂烩，一帮小孩老娘们看的可他妈开心了，但我眼里都是过不留痕断档的内容。同样是相声出生的北野武，则厌倦了肤浅的语言表达，则镜头幽默显得无比深刻，我觉得电影是门视觉艺术，而过多的耍嘴皮台词包袱，则会本末倒置，会让观众陷入去不起德云社就去电影院看相声的思维。推荐可以大家看看北野武的《红鳉鱼》，《菊次郎的夏天》看他是如何用最简短简洁的台词，用最深刻最用心的镜头，带给你最走心同悲剧一样难忘的幽默！,24.0,31.0,31
5,5,27114417,祖宗十九代,9839bd92e08e73446168a3c4b02f8c0a,8c76e025739f952802d95d8ec674d55a,2.0,2018-02-23 21:17:20,观影全程你会发现它围绕了一个很现实的话题，那就是所谓美丑，小岳岳扮演的贝小贝是一个人丑不漂亮的枪手，即使最后可以堂堂正正的站在舞台上，也没得到大家的支持，影片演贝小贝穿越到远古时代时女娲说：“都是他的孩子，她分不出美丑，都是独一无二。在这个很现实的社会里，我觉得始于颜值是一件很容易的事，陷于才华也并不难，而终于人品却要过程，这很现实，不过却不是唯一，因为不是人人都会这样想，毕竟我们都得努力去活自己，去过自己的想要的生活，所谓别人喜不喜欢不重要，重要的是自己喜欢，或许一个懂得先尊重自己的人，才更容易去吸引同样尊重自己的人,49.0,2.0,2
6,6,27114417,祖宗十九代,47a00e1996dfb1836a97bc8f6992291b,5906321f578c8b9fd489872a2755f3c6,2.0,2018-02-19 20:13:32,相声，最早发源于明清时期，但是全盛，却是现代；而小品却很年轻，最早在1984年由朱时茂和陈佩斯合演的《吃面条》节目而一举成名，创造了这样一种诞生于春晚的曲艺形式。然而两者天然地和“诙谐逗乐”分离不开，前者是“说学逗唱”，后者是“单元剧情”。 《吃面条》陈佩斯、朱时茂  到了网络视频随处可见的时代，它们都相应地转变了媒介形式，有的变成了直播视频中的单口说笑；有的变成了10分钟以内的微电影；当然了，内地电影市场在这几年可以撑起400亿上下的票房，相声和小品自然不会放过。 郭德纲的德云社，作为现在最火爆的相声品牌，而他本人因为在主持界和相声界的地位，所拥有的影视演员人脉，要拍一部“群星璀璨”的贺岁电影，当然不难，于是《祖宗十九代》这样一个标准的“春节档”电影出现了。   看到这部电影的开头，很容易让人以为，这是小品版的《101次求婚》。男主角岳云鹏主打“人丑有才”的设定，而林志玲又再次出现，加上还有一个让她动心的井柏然，故事的发展本来可以如此平庸地走下去。 但事实是，从“颜值”出发，岳云鹏用“家谱”上的名字进行时空穿越，企图改变每一个祖宗的婚恋，从而改变自己的样貌。老实说，这个想法倒也新鲜，可是糟糕的执行力和完成度让本片沦落为一个个小品的串烧，它没有剧作法上的考虑，也没有故事上的起承转合，而是彻底的用笑料来堆积，用“审丑”来造势，每一个镜头都像是剧场舞台上的综艺打闹。小品电影，最后完全剥去了电影的痕迹，成为小品相声的逗哏。   这或许正是郭德纲的考量，他的这部《祖宗十九代》压根也不是为欣赏一部精致电影的观众做的准备，而是给“德云社”的拥趸发的新年彩头。在近几年春晚相声和小品的原创和品质越来越低的趋势下，那些缅怀新世纪前后十来年曲艺黄金时期的观众，或许早就将大年初一上映的喜剧电影，当做延迟到来的小品合集，而反观《祖宗十九代》的构成，也恰恰如此。 近30位的明星助阵，但是除了岳云鹏，每个明星都只是在各自的单元剧中出现，然而除了一个“颜值”的命题外，每一个单元剧的内部都是圈定的，上下之间并无关系。一群明星合起伙来，只有一个作用：为了把观众逗笑，至于方法并不讲究，它可以重复使用一句“谁说我是丑八怪我跟谁急”，也可以在每一个单元中安排一个“丑女”。误会、夸张、卖贱都可以随时出现，然而所有这些手段只是让观众“临时起笑”，造成笑料的原因并不重要，然而对于电影来说，这些原因，才是最重要的根源。   某种程度上来说，《祖宗十九代》剥开了电影的“核心”，而去追求“娱乐性”的极致，这期间的断裂，却并不会让春节档观众的神经受到触动，在拖家带口，只为去电影院乐呵一下，这才是大多数观众看春节电影的目的，他们并不需要聆听“故事”，也不需要感受“人物”，对于他们自身来说，能和身边的人共时地吞食欢笑的气氛，一切都不再重要。 然而，这一现象渐渐地也不再是春节档电影的专属特质了，很多暑期档、国庆档的电影都开始朝这一方向发展，喜剧成为最廉价的电影精神，只要一部电影可以让大众获得欢乐，这便是一种政治正确，而在互联网视频病毒式传播以前，这一现象并不明显，电影对于大众来说，还是故事性和娱乐性齐头并进的艺术形式。    搞笑视频和手机直播，这种影像呈现方式改变了电影、电视原先的接受面。相声、小品泥沙俱下，正是一代观众催逼出电影的异质化，电影的“小品化”并不是偶然。 而《祖宗十九代》中的核心话题“颜值”，正是这个时代的另一种软性阶级化。一个人的美和丑，开始越来越有标准，当国人在嘲笑韩国选美小姐的面孔相似时，国内直播间的“小姐姐”也正在以一种标准化肉体呈现这个时代的审美，上世纪八九十年代，香港明星的审美样式不复存在，成为一种怀旧，即使钟楚红和梅艳芳样貌迥异，即使张国荣和周润发气质不同。   在《祖宗十九代》中，这种审美标准集中在井柏然身上，甚至集中在主持人孙艺洲身上，更在台湾的林志玲和范冰冰的脸庞中。岳云鹏饰演的贝小贝即使才高八斗，也只是替人代笔的抢手，在两性关系上是处于绝对劣势的弃儿。 他每一次用力地去改变祖宗婚恋，就是在改变自己当下的社会地位和名利价值，正如他的一句话：“我自己觉得我长得没问题啊！但是大家觉得丑。”这正说明向来以姿色容貌作为外在的审美，早已经物质化，在“颜”字后面附加“值”，早已肆无忌惮地表明当下“脸蛋经济学”的张狂。   即使贝小贝在上古女娲那里参透“颜值”，回到现实用真实的身份写书，依旧在结尾成为笑料，井柏然的那句：“我长成这样做什么都不用愁，但你长成这样就得努力了”。郭德纲通过五个时空的单元剧萃取的“颜值为虚”的表达意愿，最终还是被一个戏谑的结尾消解了。 但是《祖宗十九代》它本来就不是为“丑人翻供”的惊堂木，它只是一个让“丑人”或者“美人”在观看这部电影时，对自己的一种玩味。这个玩味是不同的，甚至是惨烈的，因为，“美人”看过当然会心一笑，自比水仙；而“丑人”在用电影百分之九十九的部分为自己灌心灵鸡汤后，却还是被最后的百分之一活活打脸。,66.0,13.0,10
7,7,27114417,祖宗十九代,2e143513299e8f3dfa1bf4a13d436a3c,f943db5a9c4d515dbac26f6d28f479ba,2.0,2018-05-10 23:52:09,首先价值观模糊，长的丑又不是错，去改什么基因呢？改就穿越吧，五个小故事，没有一个小故事的爱情是让人羡慕的，没有哪个祖宗的人格是有魅力的，马苏好好的正面形象，却搞去偷情，黄毅清都要笑了；其次是角色失位，虽然集合了影星的半壁江山，但其中的每个角色都是为并不好笑段子而生，勉强合格的只有吴秀波和饰演紫安的张俪，有的明星就几秒的镜头，唯一作用就是让人出戏；即便这样，如果小故事搞笑，也依旧能算一部合格的合家欢电影，然而还是没有，这些段子太老，无论是“前朝的圣旨”，还是左轮手枪轮盘赌，都是烂大街的梗，没有丝毫新意，没有一处出彩的地方，看着极其寡味。,15.0,,2
8,8,27114417,祖宗十九代,e556cc900dad82944beb5df586f8db6b,f3929fe5ca611144864a4a8e8d9a666e,2.0,2018-03-06 11:07:26,说实话，贺岁档烂片成群是多年来中国电影市场的常识，德云社之前也没有任何好的电影作品出手，所以这部片子质量我并不抱任何期待，那么看完也没多大的失望，毕竟是9.9特惠进去的。不打一星是觉得还没差到这水平，就打两星 。 现在的票房也不尽人意，可能就要止步于1.8亿了。但这又很正常，因为无论是从市场的角度还是电影质量的角度，祖宗十九代显然都缺乏竞争力，几乎是春节档垫底。我见很多粉丝把票房低归咎于排片，什么老郭得罪了人什么的。。。 这真没多大意思，是真粉丝，就站出来给郭老师指正错误，烂就是烂，解决的办法就是下一部一定要拍好，影院不管你人怎么样，它只管卖钱，什么片子能卖钱它就给什么片子多排片，这些年来低排片靠口碑逆袭的电影数不胜数。还不明白这个理? 现在观众越来越不好糊弄了，多明星阵容早都过时不管用了，《建军》的例子就血淋淋摆在面前，你质量不行，阵容逆天又有何用？你当你是复仇者联盟?就算是人家拍电影的时候那可是几亿刀的在砸啊，每个主演票房号召力有多高能不知道?何况《祖宗十九代》这么多明星，实际上也就吴京和吴秀波有票房号召力，偏偏他们两个只有在属于各自风格的电影里才能展现号召力，在喜剧电影也只是路人。 今年的春节档厮杀又那么激烈，《唐人》《红海》质量过硬又有前作口碑，《捉妖记》宣发就砸了多少钱，那明星阵容一堆有号召力的，再加上又是合家欢形式但即便如此不仍然是首日发力次日乏力?《熊出没》只管孩子，《西游记》票房一次比一次低。 以后这样惨烈的争夺战还会不断上演，观众的对烂片容忍度还会不断下降，好作品会越来越多，对手还会越来越强，郭老师，在相声界你一骑绝尘，笑傲江湖，但在电影界你就是个三板斧的菜鸟，连大鹏都可以做你的前辈。 真的要长点心了，陈思成虽然爱玩斗地主，但人家就是有才能。林超贤混迹电影圈二十多年才找到适合自己的专题。捉妖记虽然很多人讲烂，但做出第一部也是付出了巨大的努力和多年的积累，熊出没都靠电视作品培养了一大批孩子观众，在制作上也很用心很有诚意。 看看为你站台的吴京，为了电影他身上留了多少伤疤?拼了多少次命?花了多少时间准备电影拍摄电影?沉寂多少年才有今日?你这么多年拍电影用的时间和心血，有他一部战狼的五分之一多么？ 你崛起于相声界是一个很励志的传奇，但是崛起于电影界的人走的路也一点不比你平坦，电影不是小品也不是相声，你再这样下去，电影缘迟早败尽的。 如果有钢丝要喷我请尽管喷吧，郭老师以后的电影道路如何，拭目以待。,4.0,2.0,3
9,9,27114417,祖宗十九代,6fa4a07ac7f1896e5311b5c8c8b31cb5,3e89723fc5b9f90b36e2ddd12d701675,2.0,2018-02-23 16:28:24,"穿越剧，由4个故事构成。电影剧本像相声段子，由一个个小段子组成的大段子。里面有很多实力明星，演技基本上是没问题的。
这个还不能算得上电影，逻辑上不严谨，也就不是一个完整的故事。每个故事嵌合度不好，最后导致整个故事并不完整，故事被强行结束。电影随便截取一部分都可以观看，当做广告来看。情节没有唯一性和独特性，所以这个还不能算电影。
相比前几部相声大电影是有进步的，虽然前几部我都没看过，从口碑上来看是有进步，最起码不会太过无厘头。",47.0,3.0,0
