,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27145404,紧急救命,70411f60356ae45a6aabc595456c4597,83d9ee521ba1085fbf6e5500c94ea173,5.0,2018-07-30 15:21:24,"这篇影评可能有剧透 

                        去年的CB3，拯救了富士台难堪的月9收视率。身为粉丝虽然欢喜，却对更换了编剧感到无限遗憾。可即便如此我依旧期待会有第四季。这种想法持续到看电影之前。 当我从哭红了眼，擤着鼻涕从影院走到瓢泼大雨的室外时，心中却已释然。 我终于可以从Code blue毕业了。 10年前，一群年...

                         ( 展开 )",115.0,3.0,22
1,1,27145404,紧急救命,b62be24430ad2d9837ba6215a13fd3d0,a2556336165519b0bfcecfef03c6ace8,5.0,2019-09-08 01:03:26,"剧场版的钢管case让我想起第一季蓝白合作的钢筋case 当时两人还是经验不足的实习医生 小白还未成长为果断的leader 而蓝泽果断大胆却缺少感情 两人互相信任默契配合完成了现场开胸 十年之后两人都是那么出色的医生了 遇到必须反常规而行的case 二人已经无需怀疑对方 有的是信赖...

                         ( 展开 )",4.0,,1
2,2,27145404,紧急救命,ac3d6a34733e8c1d14d5fee0936e0640,97a473835fc6a12fbcb63c1c41c7144a,5.0,2019-03-22 13:31:28,"这篇影评可能有剧透 

                        code blue 紧急救命    おめでとう Doctor Heli   Engine Start 一听到这句话就沸腾了！ cbm终于能看了，挑了一个时间连续地看完了。电影开始先是前情回顾，从cb1到2再到3，满满的回忆杀。然后是五人在医院的任务，蓝泽从多伦多回来了，讶岛遥和藤川也要举行婚礼，绯山也将去产...

                         ( 展开 )",6.0,,2
3,3,27145404,紧急救命,53a0bd4d73a4a191908b60707e21bbf0,c829593fb976c1d4163845c6cd4de37a,5.0,2019-03-20 13:01:10,"由于通篇都是感性的碎碎念，先报个评分：5/10。 从2010年的秋天在初三的课堂上用同学的MP4第一次看前两季，再到大三那年时隔七年复活，并在京都的民宿里看了第三季首播，再到今天坐在北京的自如出租房里看完剧场版。已经过去了将近九年的时间。 对打过几乎零时差的北京奥运，经...

                         ( 展开 )",16.0,,0
4,4,27145404,紧急救命,46d402458098a9d56725fbeb02a56eba,79b77dfcffb4d05a927a38786ee7499b,5.0,2020-05-22 00:49:45,"终于把剧场版看了 给codeblue画上完满句号 我对医疗剧的热爱从未停止 白石和蓝泽的成长是闪闪发光的，他们一直做得很好，羡慕。绯山的成长是大多数我们的缩影，看似自私其实目标坚定，但为了她口中复杂的人际关系(父母，兄弟姐妹，夫妇)总会一缓再缓，但最终她依然实现自己的梦...

                         ( 展开 )",1.0,,0
5,5,27145404,紧急救命,c266be80a8a6e7b674a1e8bfa45e0129,6f9ed970bdc21eb1781dade933d16364,5.0,2019-10-02 04:34:44,"相遇——独立——传承 code blue尾章是幸福的，大家十年所一起坚定并努力的成果，是相伴。一口气看完了三部和所有的SP，番外，没有深切体会十年追剧的感动，不过里面的情谊我全部感受到了，在电影的末头我一度以为拿着花的两位会是最终的惊喜，不管是蓝白还是红白，最后蓝泽说...

                         ( 展开 )",3.0,,0
6,6,27145404,紧急救命,768acc305dfb882065416d4d877c0130,1b693404fa5addcde9d1b7395c7e2706,4.0,2019-07-27 08:42:49,"终于找到了熟肉！ 家族的羁绊到底是什么？有人可以因为它变得坚强，有人却因为想断又断不开的羁绊精疲力尽，逃离病态的原生家庭的孩子没有错，很勇敢。但当这些孩子独自成长足够强大的时候，是否愿意回去重新面对不靠谱的父母，伸出援助呢？ 语言是暧昧的，善于表达不是一件人...

                         ( 展开 )",1.0,,3
7,7,27145404,紧急救命,b1fd35dd2ecc11b2f0d9f72f6f3a67a7,8bde987f024ffaefbff0828be19b250c,4.0,2019-07-23 16:05:12,"大家好，我是笔芯，今天跟大家聊一部电影《code blue》剧场版。 电视剧《code blue》从08年至今一共拍了3部，最低的一部豆瓣评分也有8.4，当然相比于冰冷的数字，主演成员表中山下智久、新垣结衣、户田惠梨香、笔芯、喵酱等这几个名字可能更有说服力。 Part.1 几个主人公是日本...

                         ( 展开 )",2.0,,0
8,8,27145404,紧急救命,447e18c6e55a67786a72800a77c45a9b,51ea73c737c0fa4b4918b4906e280f53,3.0,2019-07-06 14:05:37,"这篇影评可能有剧透 

                        剪辑编剧导演都换人了？突然意识到了不合适的叠加效果造成的恶劣影响……完全破坏情感感受了……重点是几段故事之间，感觉都想突出，最后导致全都虎头蛇尾的，感觉剪辑要背这个锅了……以及一开场做手术就给错误的戴无菌手套一个慢动作大特写，真的是尴尬…… 情感戏把矛盾突出...

                         ( 展开 )",,,0
9,9,27145404,紧急救命,786823cc0409cebc6af6ac1982c54c11,aa9f3975e1ac31d104905da5d2fa2d79,5.0,2019-05-26 00:42:12,"他们眼里充满着光芒，闪烁着是对生命的崇敬和对工作的热爱，大概这就是每个人对自己人生赋予的不同意义吧。这个片子里面所有的苦难都是解开一道道的伤痕和治愈良药。他们做事也是处处体现了极大的专业，同时不乏温情的将一些故事娓娓道来，虽然鸡汤很多，特写更是不要太多，但...

                         ( 展开 )",,,0
