,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27155457,目击者,c2ec817b258795dcafb663ea61f85dff,f50bcd6acb57e14e4f05bb85d043c71b,3.0,2018-09-19 10:51:18,"这篇影评可能有剧透 

                        看电影的时候，要冷静，就算当时不能冷静，主观情绪带的暴怒，那看完也要冷静， 第一遍看到三分之一，我是暴怒，对于男主韩尚勋的人设，我已经要骂出来了。 “怂，为什么不怂到底！” 害怕就不要继续偷看了啊，好奇害死猫啊，既然决定无视这件事，那就忍着良心的煎熬怂下去啊。...

                         ( 展开 )",43.0,5.0,25
1,1,27155457,目击者,8f4a6e6f622952d6322caf3f7c2470a7,0466c5972b59a251b5a213157bf74e9d,4.0,2020-05-08 23:58:48,"6.6分 电影就是按照一个很老套的故事改编的。你晚上站在阳台窗户边，突然看到楼下一个凶手拿刀杀了人。凶手看到阳台上的你，伸出手对你指指点点。你猜凶手在干什么？他在数你住在哪栋楼，要上楼来杀你呢。 电影缺点很多。电影可能是为了讽刺警察无能，但把警察塑造成弱智是没道...

                         ( 展开 )",11.0,8.0,14
2,2,27155457,目击者,6ce214bd57b3fc1a5d8957fd6d089adb,cc6c271f480d11234186ae5da3e3efce,1.0,2018-09-15 12:27:04,"这篇影评可能有剧透 

                        说冷漠自私自利的我还是不能理解。都和凶手对视了，凶手还杀了另一个目击者，这时候生命都受到威胁了，还不报警吗？这么说自私的人反而会不要命的喽？警察和凶手十米远的时候也不说一声吗？自保自保，保全自己啊，这样的人最惜命，怎么会要钱不要命？主角好像是为了不报警而不...

                         ( 展开 )",60.0,25.0,52
3,3,27155457,目击者,8a0dd05f250147bcdb08263b105cdcb4,bf0f0057fb29896bf690b03f59fedecd,4.0,2018-09-17 20:01:36,"这篇影评可能有剧透 

                        목격자...者系列又添新员。意外发现这部倒挺好看的，喜欢悬疑暴力片的宝宝们可以一刷。别谈多大的腕儿了，其实李圣旻、金尚浩、金成钧，加上百想最佳女配陈庆…阵容倒也不算太寒碜。导演曹圭章？拍完《那天的氛围》还能反手拍悬疑暴力片，竟也不俗。[玫瑰] 赞就赞在剧情...

                         ( 展开 )",10.0,1.0,3
4,4,27155457,目击者,bf9aa1826a7da3275846c947b528d89c,beabcd498b94d349d9a379b86397b915,5.0,2020-02-05 15:47:05,"看完到这部电影尾声的时候，回归了现实。我不由地感叹这就是现实啊。看到男主一而再再而三地懦弱，退让，抱着一丝对犯罪者会放过他的希望，我真的觉得这个中年大叔简直就是废物点心，连在自家门口当面指正疯子的勇气都没有。可是这部电影的现实就是我们永远站在旁观者的角度去...

                         ( 展开 )",6.0,2.0,0
5,5,27155457,目击者,2b802b564d19a58d843e4410ff1bc490,f1aa2b6c2037191e6a0af9ef909eaa69,3.0,2021-11-04 11:01:17,"韩国电影《目击者》整体看下来还是很紧张刺激的，首先说剧情设计的就挺不错的…也是探讨了一个很现实的问题，如果你是杀人案件的目击者…到底是伸张正义？还是为了保护家人而尽量选择沉默？影片就很好的讲述了这么个让人深思的问题！还有那些为了小区的整体利益而三缄其口，就...

                         ( 展开 )",1.0,,0
6,6,27155457,目击者,41eec2fb0bf2f67fb7b1836cb103d2f9,fee2ef93aa4e256d0d880d115da02029,3.0,2021-09-12 22:44:54,"为了展示人类冷漠的极端，选择放弃了逻辑的严谨。也还可以，毕竟这个主题，还是让人看了很烧心。三分给最后的结尾。最喜欢韩国电影这种一点不想好的态度。没有强硬的正能量转折。是的，我们就是在腐烂，好不了了的那种。为什么评论一定要140字，我就不写。为什么评论一定要140...

                         ( 展开 )",,,0
7,7,27155457,目击者,2baff1eaa77422c021bad8b51fc1efa0,a7ae6fce20a0b4689ab23afa95f7abbd,,2021-06-13 16:55:30,"预告做的很足，让人看了立马就兴奋的去找电影看了，看完觉得也就那样，一来男主人设真的太扭捏，二来剧情逻辑也对不上啊，最后也太戏剧化了，男主一个人跟杀人凶手打。。过于英雄主义了。。以及最后杀人动机，就一句为了杀人而杀人？杀人凶手连个人设都没建立好，让人觉得很空...

                         ( 展开 )",,,0
8,8,27155457,目击者,115d9ee16e9be1314ba486c96fe5bc4b,3d18de1e1d7fdfd1c03f7f846afd005c,,2021-04-29 01:24:59,"对于阅片量不算小的我来说，很久没有遇到一部可以让我感到害怕的电影了。这部电影我觉得可以打七分以上吧。社会性冷漠的主题，强调了矛盾，剧情紧凑紧张，最后的山洪以及深夜里喊救命，我觉得还挺有深意的。看到评论里有人喷逻辑，我想说一方面电影就是制造矛盾，如果事事讲究...

                         ( 展开 )",,,0
9,9,27155457,目击者,bae3e8d5f79daa60729300cbaf8d4def,b350fbb6ea843a4e7104e9d92902e696,4.0,2021-03-30 20:07:33,"这篇影评可能有剧透 

                        豆瓣说咪咕可全片播放又是假资源，优酷上才真的有，还是优酷给力。导演挺会拍啊，蛮吓人的总是一惊一乍的，凶手太嚣张了吧警察看起来还是很卖力做事的，但是还是让凶手一而再再而三的杀了几个人，男主后面真的傻，开了警察车往家里赶，警察要一起他都不鸟人家，你等几秒带上警...

                         ( 展开 )",,,0
