,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27176717,熊出没·变形记,ccf23503a8468de4761d67076a48ebed,2fe2aa72af78c78fca4d507e80a1b0b2,5.0,2018-03-02 23:19:51,虽然一直知道熊出没系列动画电影，但也从来没看过，而这部算是这个系列第一次在电影院观看，出乎意料得好！可能预期并不高，所以真心觉得不错，本不至于五星，但看到不到7的评分感觉大家还是对国产动画有些苛刻了。        电影主演讲述的内容是光头强爸爸突然到访狗熊岭，向来严厉古板的强爸却对光头强嘘寒问暖，而朝夕相处却未能缓和关系，反而导致了父子矛盾的爆发……在一次激烈的争吵中，光头强和两熊被“缩小机”意外缩小，毫不知情的强爸伤心离开，并无意间带走了“缩小机”。于是，光头强和两熊踏上了追赶强爸和机器的“微观世界”冒险之旅。与此同时，一名陌生国外女记者突然出现，并频频出没于大马哈鱼生活的河域附近，举止神秘，牵出了一系列神秘事件。     父子情贯穿始终，后来光头强误以为爸爸死了又发现那个爸爸一直视若珍宝的笔记本原来是自己小时候的作文本，爸爸一直做的是为了弥补他小时候的愿望忍不住泪目，其实剧情并不新颖，但确实很美好感人。动画里每次的大马哈鱼回游场景特效很棒，父子从小时候到最后的呼应那句来年风调雨又顺加上一致的动作感觉像定格一般。另外光头强和熊大熊二变小后也挺发人深思，变化了角度世界都那么不同，如果没有蛋壳侠可怎么办呀，物竞天择适者生存还是挺残酷的。后来回归到环保，过程惊险而最后收获成功，挺棒！,58.0,1.0,0
1,1,27176717,熊出没·变形记,3acdcecb0fd2d81759fe8e67379be7cb,d830274d3830b0ebbc732749ba121946,2.0,2018-02-03 18:35:07,说是一部讲父子亲情的电影，又莫名其妙的加上了环保主题，两条故事线中的人物基本没有互动，就像把两部电影硬生生的凑成了一部电影。东一榔头西一棒子，每个主题都不深入，浮于表面，只剩下打打闹闹。连我上二年级的儿子也知道，写作文要有中心。你看看《寻梦环游记》、《头脑特工队》等优秀大作，人家始终就一个主题一个故事。         因此，我们的电影要和好莱坞平起平坐，技术还是次要的，还是先学会讲故事吧。,10.0,21.0,37
2,2,27176717,熊出没·变形记,f6116d3c687ca94b4c9e7bb38f284365,8acd5b1810a352c0ca37a53641eab8af,4.0,2018-04-11 20:23:44,带弟弟去电影院看了，后来怕赶不上时间还特意打了车。弟弟今年才十一岁，小的时候看得都是熊出没。所以贺岁档的熊出没特意带着他去看了。看了以后，也是很感动的。希望他可以在其中体会到更多更大的父母亲情和爱吧。也期待明年的贺岁熊出没。小熊加油。不过有一点奇怪的地方就是，在光头强和他爸爸变小以后，在我的理解里，书是不会变小的，应该还是跟实物一比一的大小是一致的才对。所以后面开始就有点出戏。另外就是电影院里一起看的有二刷n刷的小朋友，全场剧透，又无奈又可爱捂脸ing。,34.0,,3
3,3,27176717,熊出没·变形记,9ba031c16f9858d890b28318da5805cb,9acae4eb78bf433551e32bd89ea2a532,3.0,2018-03-02 10:12:33,#哆啦A梦的创意能养活多少作品#连续第四年在电影院看《熊出没》，技术层面没得说，一年一部的速率和山林动物的细致程度越来越好了，故事层面关于父爱与环保，整体还是童心多一些，要把故事拓展为《寻梦环游记》或者《大圣归来》《大护法》等年龄受众更广一些的动漫，还有一定的距离。就是故事有些老套，不过以变形为故事讲父爱和环保两个大主题，立意很好。,48.0,4.0,0
4,4,27176717,熊出没·变形记,0150fbd4d9ae460e40680375f026503f,7b78904c15c35250b0f11d602e5c3ff7,5.0,2021-08-23 17:48:23,其实这部片子不仅适合儿童看 我觉得大人也可以好好看一下 他这一部不像其他不那么的幼稚 它里面有很多关于亲情的东西 很适合大人陪小孩子一起看 以手电筒变形的方式开头  然后变小 一路为了他的父亲带走的那个手电筒 后来光头强发现他的父亲是那么的伟大 最后也以他和父亲遇见作为结束  看完这个 我最大的感慨并不是这部剧有有多好笑还是什么 而是看完这部剧 我发现其实我们身边的父母都老了 他们可能妨碍我们工作 学习 可是这是他们想到最好的陪伴 看完这个就是想 多陪陪自己的父母  也不要去嫌弃他们,,,0
5,5,27176717,熊出没·变形记,eb311ffa9705191898f6f30fe5ce7447,7c245874ea41c816bcf779eedc407ef7,4.0,2021-04-04 16:38:51,熊二在里面真的好憨憨，电影的开始以光头强小时候开启，很好的引出下文的父亲，父亲的行为跟现实中的父亲很相似，很好的认为了实际不像是一个动画片，缩小之后的细节也很多，有些细节是其他电影里面根本办不到的，熊二在喊光头强他爸爸的时候，从光头强他爸到他爸再到爸，笑点真的很高，然后入下水道的内衣 其中，麻辣小龙虾这四人组，也承包了很多笑点，让整部电影更充满了喜剧感，也让熊二 憨憨的形态也展现出来了，最后还用暗示的方式倡导了要保护一些东西,,,0
6,6,27176717,熊出没·变形记,215db9d627662bfa473edab70d9214e3,420e38bccd0ea3b721c2570572df9d3b,,2021-01-31 16:28:21,第一次看这部电影是跟着弟弟一起看的，后来我又稀稀疏疏地看了好多遍。看到了光头强和爸爸之间从交流很少（有点隔阂）到一起经历风雨，让我想到了我的爸爸，他也很少来陪伴我，但是他会在我需要他的时候出现，无论风雨，相比较而言，我觉得我比光头强幸运。另外，我很喜欢这部电影的主题曲《世上只有爸爸好》，之前，我们听到的版本都是《世上只有妈妈好》，现在我明白了，不管是爸爸还是妈妈，他们对我们都是最好的！感谢这次观影的机会！,,,0
7,7,27176717,熊出没·变形记,17875a70dd2ca8d06670a8db683d78ec,a275bb5cd680bc63bb7b441e7621b406,5.0,2020-12-20 00:48:31,"我是一名大二学生，学习编剧专业，偶然半夜在少儿频道看到这部电影，就和妈妈一起看完了。感觉超出期待值。
剧情合理不失搞笑，节奏紧凑脉络清晰，主题明确元素丰富，既有感人的对父子关系的探讨，又弘扬了爱护自然的正能量，国际友人和咏秋的古诗通过情节的前后设置显得前后呼应很自然，无处不在的吉吉国王和爱乱跑的小母鸡也让我多次爆笑。记忆深刻的点 : 蛋壳侠“再小的地方也是江湖”，光头强质问父亲的话，等等等等。。。
唯一觉得疑惑的是作为伐木工的主角光头强在弘扬爱护自然的这部片里没有对自己进行否定，不过也正常，毕竟动画还要出新哈哈哈哈哈
我个人觉得是不输国外动画大片的，甚至比它们的很多部要好的多，里面放了很多元素但不显得杂乱，编剧安排的比较合理，我发现在弘扬主题这一点上国内是比较厉害的。看评分有点低啊，不应该。不过有时候大众评分也代表不了什么。",,,2
8,8,27176717,熊出没·变形记,0beb1814a5588d161dc5cae79f814d8b,2d2fb1b6f0a80dbd2697ab5da54f4ea9,5.0,2020-10-10 23:35:53,"（小学生文风请谅解，我会尽全力客观的，注意事项在文尾。下文章熊出没系列简称为BoB系列）

单纯讨论电影本身。剧情相对流畅，科幻化的设定也自恰（当然，只是情节自洽，不是原理自洽）。画风清新愉悦，画质好到没话说（相对来说是如此。白蛇，哪吒的特效肯定比这个强，但毕竟不是一个题材的，没必要比较）。音乐，没有像之前的一样给我留下很深刻的印象，但应该还算不错。接下来讨论它的内涵……重点。

￼

这部电影其实讲了一个很深的问题，不对，主题：中国两代人之间的关系。

A.内涵：影片中光头强的爸爸在光头强幼时，总是忙于工作，对孩子疏于陪伴，孩子一旦成绩不佳，没有更多的关心、了解孩子就开始打骂，甚至毁坏孩子钟爱的科技小发明，这让他们父子渐行渐远。虽然鄙人很年轻，但也从一些文章里了解到，中国式家教对孩子造成的不良影响（这里不是说中国式教育不好，是说有不好的地方）。在影片当中，因为变形的奇遇，父子关系最终得到了缓和。光头强这个忙于生计的中年人，也算是体会到了强爸的苦心。

那么现实中的你，如果也和父母有个心结的话，又该如何做呢？你不能像动画片一样，有着变大变小的奇遇，那该怎样才能主动和父母好好沟通呢？这或许是影片情感上想表达的最重要一点，因为直到最后光头强也没有说出那个“爱”（欧洲人笑嘻嘻），那你又该怎么做呢？当然，电影的主要受众的年龄或许让他们难以分析到这一层。

B.剧情：故事主题其实应该是环境保护。情节主线是处理电子垃圾对迴龙河的污染。在现实中，环境污染的新闻屡见不鲜：臭氧层破裂的警告不时响起，石油污染、违规排放垃圾的危音在耳边盘旋。人类生存的环境其实是很危险的，这里没有必要赘述什么，但是全球变暖……（顺带提一句，你上网，用知乎其实是不环保的，知道吗？）（哔——）好吧，正经一点，作为一部合家欢，但小孩子看会更开心的电影，环境保护的宣传的意义无需多言。

C.讽刺与美国：这部电影里其实有对美利坚合合众众国若有若无的讽刺，你可以自己去看个明白。影片的基本设定：人体缩小，竟然来自特斯拉！！！尼古拉.特斯拉，OK的呀，虽然觉得不太可能，但是还是希望他日后能以疯狂科学家身份出场电影的配角。

D.角色：林老板，本质上算个奸商，又似油嘴滑舌的说书人。实在觉得他身上有民国气息，带着那个时代的烙印。

￼

电影的反派两个青年算不上罪大恶极。希望牢狱之灾，可以让他们改过自新。蛋壳侠和螳螂这两个人，我实在忍不住从他们身上窥到中国古代武侠甚至是金庸人的风格。

￼


￼

再加上贝斯，电影的新角色和老角色交相辉映（？）人设基本都立住了也十分有趣。片中有两个家长只顾玩手机，看不见孩子丢失这样的情节，更是深刻嘲讽了一波“”低头族”……

行，不看手机了是吧？以后也不帮你们BoB说话了(哔——)

咳咳，但是吧，这部电影也没有做到尽善尽美的地步，叮嘱一下小朋友们：

不要现在蛋壳侠螳螂那样打架，很危险，也不管什么用。

要试着理解包容你们的爸爸妈妈，千万不要像光头强叔叔那样大声吼。

不要随便拿手电筒照人，不乱丢垃圾，不要吃太多零食，不要玩虫子，因为这样……懂者自懂。

紧接着：

蛋壳侠唯巧克力是图，虽然很真实，但少了几分侠客的味道………

贝丝的声音，我怎么听怎么觉得是中国人。后来知道找美国声优麻烦，但是……

黄毛恶棍让我想起了《古惑仔》？虽然没看过。尽管最后正方胜出，挺爽，但我觉得有正派牺牲才比较合理，毕竟敌方极其人多势众，当然，我个人更喜欢没人牺牲的剧情。

贝斯看见微缩主角团的反应让人觉得她是觉得自己出现幻觉了。如果后面交代下，她到底知没知道特斯拉的事情，可能会更自然一点。

主角阵亡之后发现他们其实没死，我真的不喜欢这种老梗。

大舌头林经理和蛋壳侠都能再开个番了，他们的故事了结了实在挺可惜。（百度贴吧搜：“熊出没 蛋壳侠前传”，无言的慕斯会给你惊喜）

版权的题：

a。贝丝形象来自一名美国演员，已获授权，还有个宣传视频。

b。居然有营销号说这个电影是翻拍抄袭《变形计》《爸爸去哪儿》……黑也黑的认真一点吧，前者是城市乡村孩子交换身份体验生活，后者是明星亲子参加节目，一起比赛娱乐，真的没有一点儿关系。如果名字一样，也可以被认为是抄袭的话，俄国著名作家卡夫卡的小说《变形记》讲述了一个人变身甲虫，被资本主义社会中的家人嫌、弃的故事。你还不如说BoB抄袭卡夫卡呢……这倒还更可信一点？

c。如果你说这部电影抄了什么，请举出具体例子来说明，不要无聊带节奏。",1.0,,0
9,9,27176717,熊出没·变形记,da1d9502594a7fdc90f6c84d545c140b,4f844233fa68adc485836049452983fb,4.0,2020-06-11 09:29:18,"这部电影讲述了过年的时候，光头强爸爸来看光头强，因为他错过光头强小时候和他在一起的时光，他不想再错过任何陪他一起的时光。有一次和熊大熊二在一起的时候，意外被放小器变小，进入一个小小的世界，经历了各种惊险刺激的冒险，但最终在蛋蛋侠、熊大熊二的帮助下，费尽九牛二虎之力，一起找到了放小器，又历经千辛万苦变了回来，然后一起开开心心回家过年。
　　在这部电影里面，最让我感动的是光头强和光头强爸爸被压在垃圾下，命悬一线时，还都在拼命地寻找对方。最让我难忘的是蛋蛋侠和动物们全心全意地帮助光头强他们变回来;最让我伤心的是大马哈鱼如果不能逆流而上，游到河流的上游就不能生后代了;最让我开心的是龙侠开着无人机在太空无忧无虑自由地飞翔。
　　这个故事告诉我们要珍惜和父母在一起度过的每一刻时光，不要错过这段美好、幸福的日子。",,,0
