,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27199913,灰猴,0408d336bbcbccc0ba0ddace75b32f09,ab53d02c014f1761ec589b195b75a968,1.0,2019-07-23 23:51:04,"作为一个拍过同类型片子的导演，我真是想说几句。导演帮记者采访我的时候问我，为什么喜欢拍犯罪悬疑片，我思考了好一会后回答说：我不是钟情于犯罪电影，也想拍情感类或者别的类型，只不过以我现在的能力犯罪悬疑类电影更容易上手。这部片子有几个大公司的资金，所以被炒成又...

                         ( 展开 )",68.0,12.0,39
1,1,27199913,灰猴,6ac21768f2667855d7c6663b6af3263e,a2dabe257c90180afff4590b5c3c3910,4.0,2019-07-26 09:46:25,"国产“土味犯罪片”又添一部新作，这次的选手，来自山西代表队。 作为暑期档硕果仅存的，一部乡土气息浓郁的犯罪喜剧，《灰猴》所承担的，其实不仅是自己相比前辈的优劣。 它身上所折射的，其实是内地“土味犯罪片”的新任务、新方向： 非要学《疯狂的石头》，那就学好；学不好...

                         ( 展开 )",1.0,1.0,0
2,2,27199913,灰猴,75b6cfd88e3b0e491a9ad5b1bdf06267,e00e5d4c1b6069250ea441bc8ca16322,3.0,2020-01-17 23:52:08,"影片《灰猴》布满玄机的情节设置、各怀鬼胎的人物形象、真实幽默的人性揭示和全程高能的意外反转，一反套路的观影体验让观众拍手称赞，导演张璞更是用电影故事向世界描绘出一幅现代山西风情画。章回体的叙事结构，打乱时间和空间，重叠交错时间线索的人物你方唱罢我登场，以螳...

                         ( 展开 )",,1.0,0
3,3,27199913,灰猴,6ea567a577705068ffc3e7a9fbaa7df5,6969071215848a8ad3f17b88e366239e,3.0,2019-12-02 13:59:03,"其实情节还挺好的，加上方言特色，营造出了内蒙山西独有的韵味。但整体结构有点画虎不成反类犬，硬伤过多。首先模仿《疯狂的石头》痕迹太重了，尤其是杀手的安排，简直算是照搬了。第二是非线性的故事线太多了，以至于很多内容都在重复，让人觉得乱七八糟、啰哩啰嗦。第三就是...

                         ( 展开 )",2.0,1.0,0
4,4,27199913,灰猴,6ea567a577705068ffc3e7a9fbaa7df5,6969071215848a8ad3f17b88e366239e,3.0,2019-12-02 13:57:40,"其实情节还挺好的，加上方言特色，营造出了内蒙山西独有的韵味。但整体结构有点画虎不成反类犬，硬伤过多。首先模仿《疯狂的石头》痕迹太重了，尤其是杀手的安排，简直算是照搬了。第二是非线性的故事线太多了，以至于很多内容都在重复，让人觉得乱七八糟、啰哩啰嗦。第三就是...

                         ( 展开 )",,1.0,0
5,5,27199913,灰猴,7220702ed4bbf728959a9574481611de,c3739605c7785c5de903db57213d3241,2.0,2019-10-13 12:32:02,"这是东施效颦的典范吧，弱智的剧情，弱智的人物。如果不是有点地方特色，也就是1星。黄土高原的景色加了分。说是闭环，其实扯淡，话都编不圆。不想再浪费时间写了。字数补丁。字数补丁。字数补丁。字数补丁。字数补丁。字数补丁。字数补丁字数补丁。字数补丁。字数补丁。字数补...

                         ( 展开 )",1.0,,0
6,6,27199913,灰猴,5539249968ff0d31a312cb34e8b397df,9eb27f623fe545c0c8e31698aa04b0a3,2.0,2019-09-10 02:12:14,"这类分插镜头进行拍摄的手法太长了，作为观众而言  看起来累， 本人 不太喜欢 这类过长的手法。创意是不错的，拍摄 尤其后期制作 很辛苦吧，但是作为电影而言  观影疲劳度 大大增加。所以只打2分 这类分插镜头进行拍摄的手法太长了，作为观众而言  看起来累， 本人 不太喜欢 这...

                         ( 展开 )",1.0,,1
7,7,27199913,灰猴,c9556bf29dcfd79382b7585b1bb51a05,d698e695572196b7c52446cdd3e4fc62,5.0,2019-09-09 00:08:31,"灰，如果用来形容人，其意思是“倒霉的、消沉的”。说你灰可以是骂你、诅咒你倒霉；但也可能是心疼你，毕竟人生不如意十之八九，关心你的人看到你受的苦，可能会心疼的说你“灰”。 而猴这个字，如果用来形容人，意思是“机灵的人”。 两个字加在一起，成了“灰猴”，就是“倒...

                         ( 展开 )",2.0,1.0,4
8,8,27199913,灰猴,216e3b9f07442f4102f11a5fc9be26ce,74d70a5e3fd3822703a5d10daa74efeb,4.0,2019-09-08 23:37:45,"电影还算有新意，和两杆大烟枪类似的故事情节与剪辑手法，。用无限的巧合组成一个故事，整体连贯性很好，没有出现断节的故事情节。电影分章节讲述使观影者更能理解电影内容，故事有起有落。但是十分不能理解为啥除了王大治和女主玉娇咋就没一个好人了呢，把山西人都给抹黑了。...

                         ( 展开 )",,1.0,0
9,9,27199913,灰猴,0921559a0b73ea133ad80b535d2430ee,4fc2ae2ce9dc064e9184f89d569f3557,3.0,2019-09-05 10:20:41,"外国这类型的没看过，但是看过国产宁浩的石头和赛车后，对这类型的已经不大感冒了，除非你能拍出彩。剧情只能说还行吧，但有种强行往一起扭的感觉。。可能你会说石头也是各种巧合，但两者相比还是不一样。疯狂石头电影的核心就是那块石头，影片故事的地方就在展会中心，也就几...

                         ( 展开 )",13.0,1.0,3
