,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27597950,悬案密码4：64号病历,efb1067e7831756ba6a3b5e174e648aa,ae7aa520d20f4ceea8a4598919578b4f,5.0,2019-02-22 16:21:32,"这篇影评可能有剧透 

                        很多给低分的，理由一上来就是“看了个开头就猜到凶手了” 丝毫不注意影片内容以及细节和想要讲述的东西。 电影想表达的东西除了想表达欧洲40年代-60年代种族歧视以及女性人权的被压迫史，侧面也在跟着主要故事线表达男主与搭档之间微妙的关系变化以及男主的心路历程。这条线不...

                         ( 展开 )",30.0,2.0,2
1,1,27597950,悬案密码4：64号病历,d82a4cd17c6068d8eef1d49acff95399,c17c810952d95243b38389abb5ed5b06,5.0,2019-02-20 09:39:44,"这篇影评可能有剧透 

                        今天看了《64号病例》，说实在的，我是一气呵成看完的，中间毫无尿点。 本来我以为这部片会受到好多人的追捧，可是来到豆瓣一看，评分不太高，好多人只给了3分，评价内容大概就是不够悬疑，很早就猜到结局了，剧情套路一般等等。于是我发现问题所在了，看一部电影，如果你抱着...

                         ( 展开 )",40.0,2.0,9
2,2,27597950,悬案密码4：64号病历,981344b5217c90cad7baf7531d637c49,0ab3b9f22c40e04a5ea93b5f68957a23,4.0,2019-03-04 08:01:44,"这篇影评可能有剧透 

                        《悬案密码》是丹麦的一套悬疑系列电影，2013年到2018年五年里出品了四部。这个系列品质非常稳定，即使和好莱坞同类型影片相比，也属中上之作，四部鲤鱼都给7+的评分。 在内地属于严重被忽视的一个系列，豆瓣标注看过的人数基本只在千人左右，对于惊悚片爱好者和推理迷来说，这...

                         ( 展开 )",64.0,5.0,10
3,3,27597950,悬案密码4：64号病历,2f5970a59a5e9855caf63c3db94c39ec,afb0abe048d22d77ffb3170220684af9,4.0,2019-06-29 23:02:35,"这篇影评可能有剧透 

                        《懸案密碼-第64號》(Journal 64/The Purity of Vengeance)是一部丹麥懸疑犯罪電影，同時也是真實的發生在史葡格島的事件，原著作家猶希‧阿德勒‧歐爾森(Jussi Adler-Oleen)深具道德勇氣，敢於挑戰威權，寫就丹麥過往暗黑歷史。電影由曾勇奪坎城金攝影機獎的丹麥鬼才克里...

                         ( 展开 )",3.0,,2
4,4,27597950,悬案密码4：64号病历,608fc337305f79b1ab6b3908e88cade6,00a497ad7a76022f20256d26d17c63d6,3.0,2020-09-23 22:03:19,"自从第二部起，这个系列已经从悬疑片变成刑侦片了，这次的凶手稍微有些迷惑，不过并不难猜，而且追凶也已经不作为主线了。最后甚至让真凶逍遥法外了，如果是柯南肯定不能忍，毕竟真相只有一个。 作为目前的最后一部，我只想说主角二人组终成眷属了。窗户纸捅破了，互相告白了，...

                         ( 展开 )",1.0,,0
5,5,27597950,悬案密码4：64号病历,403195e6046c5dcdbee87d1b1cac5629,ad9c45f4ea17ee6e97d215cac512d184,4.0,2020-06-26 22:01:44,"这篇影评可能有剧透 

                        懸案密码系列电影，大推！这一系列的电影，我一气呵成的看完，剧情不令人乏味，办案中带着点幽默很庆幸自己能生活在这个时代，不论在哪个国家，女人地位似乎总是低人一等，种族歧视也一直都存在着，不同情被做成木乃伊的被害人，他们是被害人同时也是加害人！ 由一个陈年案件牵...

                         ( 展开 )",,,0
6,6,27597950,悬案密码4：64号病历,9160c9946b37b3b4fc47ee58ea5ecb73,132aadeea1adbec6fd73a76b9ea72761,,2020-05-13 00:47:52,"外国的计划生育啊！这种事儿居然合法过。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。...

                         ( 展开 )",2.0,,0
7,7,27597950,悬案密码4：64号病历,8e14638faf4dfa1416d916c74f949e6b,b4859e5e47e7e227d7933bc8aa76d221,4.0,2020-02-12 13:31:49,"电影是跳跃的看的。 上豆瓣也看了大家的影评，有些话不吐不快。 毫无疑问，绝大部分人站在警察和女主的角度，或者说，站在2020年的角度，对上个世纪60年代的丹麦发生的对女性的种种行为的不满和抨击，也推而广之，大谈特谈女性的子宫的权利，乃至于延申到对几千年来女性的悲惨...

                         ( 展开 )",2.0,2.0,1
8,8,27597950,悬案密码4：64号病历,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,4.0,2019-12-24 19:27:35,"这篇影评可能有剧透 

                        2019年，悬疑惊悚犯罪电影《悬案密码4：64号病历 | Journal 64》 这个系列居然还在继续。 两个主角更加恩爱了？这难道不是一个爱情故事？ 这次的主题还是复仇，当然也有人性的讨论，政府，女权，种族之类的吧，也有点杂乱。 也许对于悬疑电影来说，剧情简单了一点，多线叙事，...

                         ( 展开 )",1.0,,0
9,9,27597950,悬案密码4：64号病历,69370cab433f5444bdf70d22e2f97749,891dc533ec6cb65c68e2584b132f86ae,5.0,2019-10-19 22:46:06,"時隔兩年多，我們終於等到了懸案4 太開心了~ 這次的主題除了以往的懸疑與剖析人性 我覺得更大部分的是在描寫及諷刺“完美”及”種族優越“ 故事的背景以轟動一時的真实事件為藍本，社會上我們所謂的精英分子“純正的北歐血統”， 用一種高高在上的角度看著外來移民。 對於他們...

                         ( 展开 )",,,0
10,10,27597950,悬案密码4：64号病历,6b33cb4fe0c0ccf9aa6d7c19be729d28,9291ef287a9e4dd077e8db1b54f0d109,4.0,2019-09-05 17:31:12,"这篇影评可能有剧透 

                        电影是采用双线的形式展开的，所以刚开始我还是很疑惑的，为什么1961年的丹麦就有那么先进的汽车和那么现代的建筑……所以，字幕组，你有没有考虑下，不要只是在出现1961年的情景的时候打上时间字幕，在2018年的场景也标上时间好吧~~ 1961年，封建保守的时代，个人觉得跟我们的...

                         ( 展开 )",1.0,,0
11,11,27597950,悬案密码4：64号病历,a8b0a5b814039b8fd3dc2d6f386eda1e,60c8225ceba373527dfffbfdd6cffa49,4.0,2019-08-24 19:43:13,"这篇影评可能有剧透 

                        先理下时间，电影背景是五六十年代，发现干尸是现在，而死亡时间是十二年前，两条时间线，女主尼特.赫曼森年轻的时候是五六十年代，外国人的名字比较难记，刚开始看警察根据身份证推定死亡的是丽塔.尼尔森（那个骗女主说可以逃跑的），吉蒂.查尔斯（护士），菲利普.诺威（施暴...

                         ( 展开 )",1.0,1.0,2
12,12,27597950,悬案密码4：64号病历,4e75054fcb0fa7616a6c85274cd65bef,99d4a502b354d76db7525b3737523ae2,5.0,2019-08-10 19:12:23,"影片内容引人发思，一群高智商高能力高权力的医生精英，打着为社会清除劣等人种(移民人)的旗号，为怀孕少女做免费人流手术，并在手术中为无知少女做绝育手术。影片以一座建筑物内的三具干尸开篇，以案件调查为主线，描述了不平等甚至畸形的人性。非常具有深意，最终在三位警探...

                         ( 展开 )",1.0,,0
