,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27603669,为你写诗,7fd158e2f073ab68ac02a58afa7717c7,aacdcaab42f85782dbafce7a5d26b4b1,4.0,2019-01-18 14:56:22,"这篇影评可能有剧透 

                        不看到最后一幕是不会明白整个故事的。 首先电影的最后男主角坐在影院里，表示其实整个电影其实就是男主看了一部电影。第二层这个电影的编剧其实是男主，这个剧本是他为女主写的“诗”，剧中有心脏病的变成了男主。现实男主并没有心脏病。第三层故事本身真实的是女主有心脏病，...

                         ( 展开 )",8.0,3.0,0
1,1,27603669,为你写诗,6a378a2d10e40da0e4126ff42e18c051,5f024c07f43cd10f5476e3dd3e394d99,5.0,2018-11-06 15:38:45,"吴克群的电影处女作失意落幕，市场并没有回报给他一个满意的答案。 关于这部电影，大部分差评针对前半段尴尬的笑料与“浮夸”的演技，中后段的转折、细腻的情感或多或少被予以认可。如果静下心来看完整部电影，你也许会产生一种复杂的感受，你并不能单一粗暴的把它归结于所谓“...

                         ( 展开 )",14.0,1.0,6
2,2,27603669,为你写诗,8ae63a610e4e8afecfe4d904c8b94d7c,9b23b95ccfce07427c202232e7fbd0f7,2.0,2018-10-27 10:10:49,"致导演：出于对你的情怀百忙之中去看你的电影……一直赏识你的音乐才华。你一直自诩是戏剧表演出身，却做了音乐，我们何尝不都是所学专业并非是自己现在所做的事情。自从听了你的《数星星的人》后，莫大失望，觉得你已心不在音乐了，转做电影只能祝你好运了。几年来，你一直专...

                         ( 展开 )",20.0,,5
3,3,27603669,为你写诗,0a2ac0c8356a510d8fd7a90c1f086051,6cdf6577faab63b60f0d134e5991707b,4.0,2021-06-27 13:42:32,"这篇影评可能有剧透 

                        2018年，吴克群出了一部低分电影，我看着那低落的评分，笑了。 作为为你写诗第一批的歌迷，我默默暴露了年龄，还记得那些歌词吗？ “为你我做了太多的傻事，第一件就是为你写诗，为你写诗，为你静止，为你做不可能的事，为你我学会弹琴写词，为你失去理智，为你写诗，为你静止...

                         ( 展开 )",,,0
4,4,27603669,为你写诗,644af7a48e63bc5e328d3b1994812c66,cc4f89052682880e9f3d1d8511f707ab,3.0,2019-04-01 23:53:35,"『为你写诗』 吴克群自导自演首作， 开头何润东重现“步惊云”， 张栋梁王心凌情暖《微笑pasta》， 潘粤明再现《白夜追凶》…… 堪称一波情怀杀， 虽是取名自同名歌曲但内容实际上并没多大联系， 大部分时间打打闹闹将“穿越”的梗和各式段子大杂烩， 后面匆匆煽情反转走一波也...

                         ( 展开 )",1.0,,0
5,5,27603669,为你写诗,12e4dffc1e74573f3be6c95164241117,f23e6be08d4b53f0b6e6851b53a734fc,2.0,2019-03-10 21:03:28,"被穿越时光的题材吸引了进去，然后各种尴尬啊 演技尴尬，剧本尴尬，以为会有好听的歌，还是依旧尴尬了 自己也强忍着看完了，看到只有三千人评价，我想很多人还是很机智的看到名字就没看了。 有一种非常稚嫩的感觉在里面，不是每个人的柔软都是青春的幼稚啊，这强行尬上去的感觉...

                         ( 展开 )",,,0
6,6,27603669,为你写诗,fcab7d3c926852ff42bb3ee43de01576,86d51ce7753a36079041fc15f7248035,3.0,2019-02-16 18:02:10,"这篇影评可能有剧透 

                        真的好多人都不看电影就乱评吗？ 恐怕给一星的各位电影没看完吧！我不得不说演员表演有些尴尬，前后转折也不是特别流畅，但是要看到最后啊亲们！看到结局就知道前面都是什么意思了啊！ 穿越的想象才是现实，开头的现实才是幻想。 哎，真的好多人都不看电影就乱写，或者根本就没...

                         ( 展开 )",,,0
7,7,27603669,为你写诗,57ffa4ff88c8b989116dd4df2fe1b856,e215cdbe692ecde24c3985fa5b98e522,5.0,2018-12-17 08:18:08,"在金曲捞上面第一次听了吴克群的歌，第一次无意间刷到他的抖音，就很想与她一起看这个，真的很想很想，可是拖延症的我没有看成，结果就下线了。我昨天看了这电影，一直在想为什么评分这么低？为什么票房那么低，排场那么少？前者我想有很大一部分原因是: 1.认为吴克群利用情怀...

                         ( 展开 )",,3.0,0
8,8,27603669,为你写诗,5f98881e6f931b4d3472aa3f7ac5cbd3,d7b939343c6bb9dd828ccea15a804470,2.0,2018-11-17 15:05:36,"吴克羣的第一部电影还是挺有趣的。开头也是致敬经典古惑仔等电影和电视剧。很惊艳能够看到王心凌和张栋梁啦。整个电影的剧情还是比较出奇的，很有意思 。每一个人的青春都会有遗憾吧，有些东西该有就有，该没有就没有，再回到青春所有的遗憾都是最好的安排。看到后面真的很感动...

                         ( 展开 )",2.0,1.0,0
9,9,27603669,为你写诗,f0f0cbce2f2db88fa47cb4a4e0c64d34,4473127dbf272d3dcb6f6a60ede728e6,3.0,2018-11-09 05:17:33,"故事情节虽乱却完整 优点 1. 女主和护士大姐演技优秀，其他人吧就…… 2.最后的梁山伯与祝英台rap桥段令人眼前一新 3.最后泪点场景给力，下雨那段、病房那些片段感染力强（病房每一步都走向我好评，黑小甄回忆自己拒绝男主片段好评），打雪仗（画面+音乐）好评，陪伴音乐场景好...

                         ( 展开 )",3.0,1.0,0
