,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,28510273,旺扎的雨靴,c777b4affb15b39d2e7f4c88f51f8766,08e15d5fd747c82de92078c5bf4132dc,5.0,2018-04-07 03:15:28,"这篇影评可能有剧透 

                        欢迎移步至我写的北影青年四部曲中的其他几篇感想 北影儿童电影四部曲之一《旺扎的雨靴》[https://movie.douban.com/review/9278799/] 北影儿童电影四部曲之二《那年八岁》[https://movie.douban.com/review/9340777/] 北影儿童电影四部曲之三《西小河的夏天》[https://movie.d...

                         ( 展开 )",11.0,2.0,8
1,1,28510273,旺扎的雨靴,976170af1c149d543af087505222852f,619e5827f76ab558c351585a9800f738,3.0,2018-04-12 13:26:15,"微信公众号：moviesss 首发于 MOViE木卫 一年级的旺扎想买一双雨靴。旺扎的父亲却只关心麦子的收成。 作为一部儿童电影，《旺扎的雨靴》予我的最大印象，或者说，制造的观影错觉，是藏地的时间，好像倒拨回到了过去的东部乡村。而且这一拨，就是二十年前。 所谓二十年前，是物...

                         ( 展开 )",15.0,4.0,6
2,2,28510273,旺扎的雨靴,d21a395a2fa78115643872b2dee9d5e7,81b9d9bd4bc1f02737aeda1fec0e1507,3.0,2020-04-08 15:02:30,"本文发表于《上海电视》2019年某期。如需转载，请一定联系本人、一定注明、一定附上豆瓣链接！ ------------------------------------------------------------------------ 西藏题材电影这几年在院线艺术片领域引起了一些关注，以至于出现“藏地新浪潮”这个名词。但你若真的...

                         ( 展开 )",4.0,1.0,2
3,3,28510273,旺扎的雨靴,ecf27c1e70a32e8dab98cf67ab4d0157,7402dcf05fa56e16581afd05aad47bd4,4.0,2018-10-23 00:08:03,"这篇影评可能有剧透 

                        《旺扎的雨靴》改编自才朗东主的同名小说，讲述了一个叫旺扎的小男孩想要一双雨靴的故事，是拉华加导演的处女作，曾入围第68届柏林国际电影节新生代竞赛单元，获得第12届FIRST青年电影展最佳演员提名和最佳导演奖项。 整部电影清新动人，细节丰满，对白生活化，配乐灵动，有一...

                         ( 展开 )",4.0,,2
4,4,28510273,旺扎的雨靴,fad66231dd1993974bb35cf0ded17713,755f6a96dd9e3fd93e7393b5936d7c1e,4.0,2018-12-20 16:24:53,"这篇影评可能有剧透 

                        如果把孩子的世界与成人的世界认真对比一下，你就会发现，这是来自两个世界的两个不同物种。虽然大人和小孩总是生活在同一个屋檐下，说着一样的语言，想的却完全是两个不同世界的两码事。 《旺扎的雨靴》正好抓住了这个矛盾之处，然后两条线平行叙事层层递进，一条线是小男孩旺...

                         ( 展开 )",6.0,,0
5,5,28510273,旺扎的雨靴,f03fc79f17253feb702102e328e097f3,f442141fcf4c2a06babd66227ef7dc3f,4.0,2018-07-19 23:21:13,"这篇影评可能有剧透 

                        上影节专访 入围第21届上影节华语新风展映单元的《旺扎的雨靴》由北京电影学毕业生拉华加担任编剧、导演，著名导演万玛才旦担任监制，著名摄影师吕松野担任摄影，青影厂陈中国和文学系孟中担任制片人。此前本片入围第68届柏林国际电影节新生代竞赛单元并完成世界首映。 《旺扎...

                         ( 展开 )",2.0,,0
6,6,28510273,旺扎的雨靴,51b953ed4c115e7ff198a513c92862f9,a53c5f21a19e2a7e4032f208786f12c5,,2018-02-26 03:33:56,"相当可爱的电影，看的全是家长和孩子，电影里也全是天真的儿童视角和成熟的大人视角。孩子的心里只有可以用来炫耀的玩具和雨靴，大人的心里却是天公作美方便收获，这种不可化解的矛盾比一味强调西藏有多穷的台词要高明许多。 影片以旺扎和姐姐偷了Aku shakdor施法阻雨的法器为...

                         ( 展开 )",1.0,1.0,5
7,7,28510273,旺扎的雨靴,9531c3025c0ba1304e6d8b610cce33ec,86b16c5bf8d74864707297c5f49d0672,3.0,2019-06-10 20:59:00,"这篇影评可能有剧透 

                        片子本身没有太多内容，我觉得半个小时就够了，如果这是一个文本故事应该是3-5分钟就讲完的寓言，开放式结尾并不给出一个明确的态度和答案。 电影整体可以分为两个部分——没有雨靴/得到雨靴。雨靴是一个物质符号。 在【没有雨靴】的部分，对于旺扎首先它具备切实的使用功能，...

                         ( 展开 )",4.0,,0
8,8,28510273,旺扎的雨靴,676d8a598b1c33abebae2c3cb86edd23,1479625a95af5f626cb8510ce39c8f6f,3.0,2018-09-08 23:12:48,"这篇影评可能有剧透 

                        这是藏族导演拉华加的处女作，在不久前获得了FIRST青年导演的奖项。整部影片以其明丽的影调、沉稳的长镜头讲述了一个藏族男孩与他的雨鞋之间的故事，充满着童趣。 不难看出，这部影片中有着明显的伊朗儿童片的影子，就从片名上来看，也能让人一下子联想到伊朗著名影片《小鞋子...

                         ( 展开 )",3.0,,0
9,9,28510273,旺扎的雨靴,eb5f947e5c4ac50d637c61c5f684f8ef,1f1d519f25bf080646c57d9bb9b76715,,2021-11-19 12:44:53,"一双雨靴，牵动着颗童心的喜怒哀乐。但是孩子的小小心思，又和成人的世界处处背离。成人考虑的是庄稼能不能丰收的生存问题，孩子则更多考虑快不快乐的问题，于是矛盾就这么诞生了，少年的烦恼也就来了。 因为有了跳跳蛙，没有了雨靴，就期盼雨靴;有了雨靴，期盼下雨，却又总是...

                         ( 展开 )",,,0
