,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30133757,食女,395cf6982341f5c3e8edf0fdae958b37,01d4848202a3c7697ec037b02b4ee4e8,4.0,2019-07-24 07:38:37,"美食，需要经过悉心制作，然后经历细嚼慢嚼，才能完整体现它的存在意义。性爱，需要双方共同的给予和接收，才能历久如新。生命的每一分秒亦需要一呼一吸的平衡来持续推进。 任何事情，都需要流动，达到进出之间的平衡，才能体现其丰盛和美丽。 这是阴性能量，滋润着这个世界的...

                         ( 展开 )",3.0,,0
1,1,30133757,食女,6dfd86be21ddd7c52253171836a08c4b,4bf15ddb6cde7cddc5adee7e77c38833,4.0,2019-05-27 10:08:50,"有很多以美食为主题的电影，茱莉亚罗伯茨的美食祈祷与恋爱，动画片有料理鼠王，港台有食神，还有看了很多遍也没太看懂的春日花花同学会。好像美食总是能吸引人的眼球，无论男女老幼听到炸物在油脂里滋啦滋啦的声音，薯片在嘴里嘎嘣的声音，吸管抽干玻璃杯里的饮料的声音，都会...

                         ( 展开 )",10.0,,1
2,2,30133757,食女,19d08ac639f70d1a04dae0640a6bc6e1,01aaec12dd02f066cd40cf3e1d7d89c6,4.0,2020-05-21 20:07:35,"2018年的片子，居然在2020年才看到，而且觉得异常好看。可能是身陷鸡飞狗跳的生活里的缘故，对这种单身自由散漫的生活格外向往吧。如果有来生，我也想过一过不婚不育的生活，有三两好友在身边，一周一聚，看看书，品品洒，聊聊天，一起变美，一起旅游，一起哭泣，一起嗨！今生...

                         ( 展开 )",3.0,,1
3,3,30133757,食女,a95cb681079af4c8261d2723e187ce71,2e0c433a74bc08eb925bd016a5df7a5f,3.0,2021-09-24 09:10:15,"这篇影评可能有剧透 

                        日本电影《食女》（日文名是【食べる女】）。2018年曾经在上海电影节上映。 有一段经典的关于做爱和吃饭的论调就是来自这部影片。 影片女主角说：吃美食和做爱是距离暴力，战争最远的时候，最爱需要对象，但你可以随时做美食。（所以美食才是人类不可妥协的） 首先吐槽一下电影...

                         ( 展开 )",1.0,,0
4,4,30133757,食女,97b3303c2555ff25878e9ac5bc6fbea7,27c04aa590bf87e0dac0f519fcc6b454,,2021-07-02 12:38:17,"这篇影评可能有剧透 

                        先不得不说，这部片卡司阵容很强。 主角敦子（小泉今日子饰）算是我的女神，看的很多治愈日剧里面，非常喜欢的女演员！她在里面自然老去的脸很着迷啊，连每条皱纹都好看！在电影里面她是一个单身女作家，开了一家叫做年糕屋的书店，书店只卖关于食谱的书籍。她也在这里居住，写...

                         ( 展开 )",,,0
5,5,30133757,食女,a95cb681079af4c8261d2723e187ce71,2e0c433a74bc08eb925bd016a5df7a5f,3.0,2020-08-28 10:17:54,"这篇影评可能有剧透 

                        #吃吃的日剧# 日本电影《食女》（日文名是【食べる女】）。2018年曾经在上海电影节上映。 有一段经典的关于做爱和吃饭的论调就是来自这部影片。 影片女主角说：吃美食和做爱是距离暴力，战争最远的时候，最爱需要对象，但你可以随时做美食。（所以美食才是人类不可妥协的） 首...

                         ( 展开 )",,,0
6,6,30133757,食女,f2af16c35224de30ebcdc9be27f6bca5,a31ae1c05c28ee9582e2a6a04d880c91,5.0,2019-10-17 01:18:10,"润物细无声，推荐同类片《海街日记》，《小森林》，《饮食男女》 喜欢你吃东西一脸幸福的样子。 看这个片要有仪式感，去超市买的东西，自己做食物，配上酒，细细感受食物之美，温暖平静的力量。 也很想回到家乡，开一家小餐馆，情怀也好，治愈也好，你怎么样对待食物，也会怎么...

                         ( 展开 )",,,0
7,7,30133757,食女,e519160f21b05111401bb361a2511bd0,ac10ee243eb141ac98ad4825ed1afed0,3.0,2019-09-24 10:45:05,"两小时的电影里，以“井可能有水”始，以“井里有水，映月”终。 “井”之意象在其中非常微妙，至少有两层解读：一是性器官，二是心。两个意象，份量相近。 这不由得想起日本著名诗人日本高桥睦郎名作《找井》的第一行：人应该有自己的井。 随着故事线淡淡晕染，作为观影者的我...

                         ( 展开 )",2.0,,3
8,8,30133757,食女,e0e9881a1b0f1126d091596d4bb020b4,2ee3385315ca7a9fb81f01dda93bbb59,4.0,2019-05-04 01:10:20,"1、小泉今日子这几年的戏路好像变宅了，走温柔治愈风了。 2、这部女向性电影大概是岛国女性地位的缩影。 3、看到最后才想起我刺激战场的ID是前田墩子，墩子酱从不求上进的玉子已经成为他人之妻了。 4、岛国文化的启蒙者－泽尻会绘里香依然美丽动人，第一任女神永远迷人。 5、愿...

                         ( 展开 )",1.0,,0
9,9,30133757,食女,d47d637e7d7018f07a833dbcefaac4b2,234d7c8847c0538cf414b26359f665b5,4.0,2019-05-03 21:05:25,"这篇影评可能有剧透 

                        首先！这大约是我第一次get到泽尻龙英华的颜！我看这个的原因其实为了阿酱……… 然后泽尻这一线真的是我最喜欢的了！首先脸和身材我就很很很喜欢呜呜呜！然后这男的虽然长得很…一般…但是性与美食这么一结合！我的妈！暴击！而且声音低下来也很好听（我宛如一个花痴对不起…...

                         ( 展开 )",,,0
