,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30157153,印度制造,04e96b14bea0b197ddfbf6b87769224e,5305b553a0fbdd30988f073bdcdbef9a,,2020-03-16 13:34:36,"这篇影评可能有剧透 

                        宝莱坞很喜欢拍一些高种姓人的生活，男女主角一般都是选高种姓人（婆罗门），经常都是去伦敦移民，去美国参加婚礼，结婚之前跟朋友去欧洲旅游......取景经常是在欧美发达国家，有一种脱离现实印度社会的粉饰太平的感觉，很少电影是反应印度老百姓的真实生活（有是有，但是数量...

                         ( 展开 )",3.0,,1
1,1,30157153,印度制造,a18e8ec44320795b31eecf98a8a94308,c671181674ce3bc07c977226746d7d0f,5.0,2019-02-25 22:26:12,"缝纫机就是一种生产资料，男主千辛万苦得到，才改变了命运。 看看电影中拥挤的公交车，拥挤的大街，领免费缝纫机的长队伍，诊所长长的队伍。 我们国家，通过财富分配，确实把基建搞得不错。但是人均生活水平，就这样了。 男主的新老板，中国这样的成功人士更多，但是剧中拿了男...

                         ( 展开 )",3.0,7.0,0
2,2,30157153,印度制造,73fe8172829005412c9e30ae21feab98,6689f123e48c263149bbeee507e06a52,3.0,2019-03-19 22:20:09,"这篇影评可能有剧透 

                        「梦想还是要有的，万一实现了呢」这样的剧情套路也挺常见了，电影大概讲述了一个不愿给人打工的底层印度人凭借缝纫的手艺，说服其他一样的底层民众加入他的团队最终在服装大赛一举夺冠，并且带动更多国人发挥创造力，成就了一个个MADE IN INDIA 的品牌的故事。 大概印度社会也...

                         ( 展开 )",6.0,3.0,0
3,3,30157153,印度制造,7ef6d3b2955bdba7de39c48bfda49359,61d5b0feaf0a4b26013c7e05b7f6f330,,2020-05-19 17:28:12,"我是在今日头条解说电影的公众号看的这部印度电影。 个人认为好多印度电影的问题就是让我觉得极致的刻意，所有剧情都是强行刻意地围绕着、帮扶着主角往下走的感觉，比如这部电影里男主做了件窗帘布衣服，大家就抢着付订金砸男主做衣服；又如印度电影《枭雄》里男主见了下黑帮大...

                         ( 展开 )",1.0,,0
4,4,30157153,印度制造,5a4d0a8d60200226f82da465dcbc5a4a,93efa96e6e48e641f8378f4fd22a6cd7,,2020-04-17 23:53:53,"一个所谓有用的人。 在影片中，男主的父亲就是挡在男主前面的一堵高墙，当男主为了老婆，为了尊严而辞职之后，父亲就觉得他成了一个废人，成了一个要靠家里养活的游手好闲者，即便他表达出想自己创业而不是靠家里。 类似的父母那里都有，只希望自己的孩子有个稳定的工作，简单...

                         ( 展开 )",,,0
5,5,30157153,印度制造,0e628af54d5d868a7d9cd56e9d0ff58e,c7150a931d93d2003619afa75bfc4f38,3.0,2019-12-20 15:54:08,"印度电影一如既往的显然易懂，一部教科书般的纯鸡汤电影，潦倒的男主角通过一顿操作，最终得到了老婆父亲的肯定，被走上了人生巅峰。作为一部爆米花电影来看还是可以的，深究的话就没必要了。唯一我有疑问的是那个缝纫机制度，上网查过也查不出这个是印度的什么制度，希望懂印...

                         ( 展开 )",,,0
6,6,30157153,印度制造,7b039913276c2caa5eb21a3e385fb36a,3de384454c374bc8658762d870d866a0,5.0,2019-12-03 23:39:07,"印度制造这样的自我产业意识的崛起，在中国改革开放至今已经司空见惯，或许在印度还能引起共鸣，但成为不了对其他人的吸引力。 这一部印度电影没有很过度夸张的表演和歌舞，只有两首抒情的插曲，也是以背景音乐形式出现，克制地不像印度电影。 男主Varun Dhawan一向的阳光活力...

                         ( 展开 )",,,0
7,7,30157153,印度制造,1e415abe904f9f56529ff0f5dd0b33c0,955cb814242897b7078b152c87e296fd,4.0,2019-10-07 14:28:17,"这篇影评可能有剧透 

                        昨天观看的电影，整体上内容还可以，故事有些俗套，但依旧很感人。 男主茂吉有一些大男子主义，但是不同的是，心思细腻，能够关注到妻子心里的变化，也能够听妻子的正确的选择。在两人慢慢相处中，茂吉爱上自己贤良温柔又爱哭的妻子。剧情内容上以针线为线索，茂吉作为城市中的...

                         ( 展开 )",,1.0,1
8,8,30157153,印度制造,24e507f9fecadade73b615f0ece88740,f9c2a2b3b47346056d022e223957c5a4,3.0,2019-01-11 21:52:21,"小镇青年，为了一份工作愿意被人戏耍，被人取笑，他没有觉得不妥，因为只有这样，他才能成为一个不被家人看不起的人，一个所谓有用的人。 在影片中，男主的父亲就是挡在男主前面的一堵高墙，当男主为了老婆，为了尊严而辞职之后，父亲就觉得他成了一个废人，成了一个要靠家里养...

                         ( 展开 )",2.0,1.0,2
9,9,30157153,印度制造,a61a923cf10e468cdc2fb32e7fde25dd,967616fcbc27399b9bcd39104003c904,3.0,2021-02-21 05:40:53,"这篇影评可能有剧透 

                        【个人观影记录】 简直是家徒四壁的一家人。 哥哥“攀高枝”搬去老婆那边，留下男主夫妻和父母，一家四口。 影片里很多问题，比如有钱叔叔一家把男主当狗耍(雇主不尊重雇员）；送结婚请柬都是把哥哥和家里其他人分开送(以经济地位高低来区别对待人）；穷人活路少，一场病就能掏...

                         ( 展开 )",,,0
10,10,30157153,印度制造,6eedf2a76a3d742fc4a66226869d8ecb,b25267b3210d7b76ec14210f77822f59,4.0,2019-11-27 18:23:23,"这篇影评可能有剧透 

                        印度制造 | 喜剧/励志/家庭/温情/中国大陆 前路虽窄 但走走还是会宽的 与普遍见到的印度电影不太一样的一点 茂吉心思足够细腻 并能对妻子报以尊重 听从妻子正面的建议 两人在相处中彼此进步 携手度过难熬的日子 虽然鸡汤但足够鼓舞人心 推荐指数：⭐⭐⭐⭐️ 夏兰特...

                         ( 展开 )",,1.0,0
