,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30162055,感谢上帝,23797a7f0640bb386f06f767304bccbd,b5379bc41ed6d7901708a40cce39a50c,5.0,2019-04-10 23:06:37,"《感谢上帝》取材自普雷纳神父性侵一案： 2016年1月，法国东部城市里昂爆出一名神父性侵多名儿童的事件： 1986年到1991年间，一名叫普雷纳（PREYNAY）的神父对4名不到15岁的童子军少年进行性侵。然而，由于刑事追究时效（在强暴或性侵15岁以下未成年人的案子中，从受害人成年起...

                         ( 展开 )",90.0,2.0,3
1,1,30162055,感谢上帝,16aa9d971ce4ae2c3f3b88478ed1c515,fb7489de5b5c717caa451830f3102cc5,4.0,2019-05-03 20:14:54,"欧容的电影总不乏克制又蔓生的奇情。《弗兰兹》身后，愧疚的士兵微微颤抖着编织出温煦的往事；从臆想的偷窥到真实的介入，少年嘴角带笑完成《登堂入室》的入侵；逝去挚友的嘱托成为《新女友》琵琶遮面的前奏；《花容月貌》的少女在各取所需的温存中摸索身体深处的空缺；回忆是...

                         ( 展开 )",23.0,1.0,5
2,2,30162055,感谢上帝,4d01b34ec4004bc7155ef2106c6993ab,97b0146ff48d1a32f725702d9c234fff,5.0,2019-07-09 13:30:40,"这篇影评可能有剧透 

                        《感谢上帝》在很多人看来是冗长的沉闷的，但这种冗长沉闷本身却承载着及其重要非常核心的作者观点：正义不会从天而降，上帝也不会主持公道，正义只可能是复杂艰难的抗争的结果，这个结果可能花费了巨大代价但仍触及不到根源，但也绝对不会徒劳无益，这种冗杂实际是叙事体内外...

                         ( 展开 )",25.0,3.0,0
3,3,30162055,感谢上帝,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,4.0,2019-02-14 02:27:46,"时隔十年，欧容再次带着新片《感谢上帝》回到柏林的主竞赛单元。近两三年来，欧容可以说是频频推出新作，尤其是在创作上还不断地尝试新的风格。 2016年冷冽优雅的《弗兰兹》，2017年前卫大胆的《双面情人》，再往以前的作品看，《八美图》、《干柴烈火》、《登堂入室》、《花容...

                         ( 展开 )",20.0,3.0,2
4,4,30162055,感谢上帝,4ba16fb99391cc0cd091b18bab0e9555,ad62f253975a74b9ac1e456ae5eb1baa,4.0,2019-03-03 08:05:45,"这是一部没有任何煽情情节的电影，但当影片结束，电影院的灯光重新亮起的时候，往回家的车站走的路上，我竟流下了眼泪。并不是出于感动，而是一种共情反应。当所有的事情被暴露在阳光下，得到了媒体的报道，大众的关注，神父被调查，进入司法程序，可是然后呢？这些曾经受到过...

                         ( 展开 )",8.0,1.0,6
5,5,30162055,感谢上帝,cb73cf418ab5419948518e37c2dd5b57,9de427906fe42d267d488e33c589b5e4,4.0,2019-08-12 21:33:01,"这篇影评可能有剧透 

                        很多人都在说欧容不再搞奇情drama选择搞主旋律了，挺没意思的balabala 这部电影还挺不可思议的。 观影开始就让我感到特别的不可思议：从电影开始到结束，培耶尔神父作为最受争议的侵害者，无论面对受害人还是警方都坦然承认了他对受害者的性侵。但就对他的惩处想要获得一个让受...

                         ( 展开 )",4.0,,0
6,6,30162055,感谢上帝,c3b768463c5bbe124d51c4550f786b0d,c77dae67cd33d47203d6fa2a6aa47dad,,2019-09-09 11:48:50,"这篇影评可能有剧透 

                        真实事件改编的电影，往往触目惊心。 而当真实事件遇上儿童性侵案件，更是多增几倍绝望感。 令人痛心的，不只是发现之时，更是真相揭露、却依然无能为力的那一刻。 伤害已经造成，如何弥补，谁来弥补，怎么走出伤害，预防伤害，是这些影片共同探讨的话题。 今年年初，就有这样...

                         ( 展开 )",7.0,1.0,0
7,7,30162055,感谢上帝,efc1f663c8d84ec391195292aa1520c9,e5b556e6daf342a5afe566990d722017,5.0,2019-08-10 02:24:26,"这篇影评可能有剧透 

                        小学，在人大校园住。校园的公共澡堂男部有个大池子。我特喜欢在里面玩。 有一次，我自己去洗澡，在大池子里泡澡。一个成年男子靠过来，跟我套近乎。 寒暄几句，就说“给我看看你的小鸡鸡，我给你做做健康检查”。我心想，他也不能干嘛，就给他看呗。他尝试扒开包皮，那会儿我...

                         ( 展开 )",6.0,,0
8,8,30162055,感谢上帝,f2f8a1cae3ce98715ef7a428f4a68584,7fead5ca68584200f201dce9ad64815e,5.0,2019-07-07 23:20:59,"这篇影评可能有剧透 

                        （法影广州站黑屏6次，光电吃屎） 1. 之前评论说这是一部很不欧容的电影，是法国版《聚焦》，好吧...有点像。但骨子里还是一部属于欧容的电影。欧容关注的是处在神父性侵案旋涡中，曾经遭遇性侵的当事人，他们在这之后，如何理解这件事、这件事又如何影响到他们的生活。每一位...

                         ( 展开 )",2.0,,5
9,9,30162055,感谢上帝,415585c72a4508d9eeda16585d197872,0182695b2401721e7d99ed043961c069,5.0,2019-08-01 02:35:44,"这篇影评可能有剧透 

                        全片笼罩着一种压抑的氛围。信仰，有时候给予你力量；有时候，却会成为囚笼。片中的几位主人公，在被神父性侵犯后的二三十年里，一直在阴影下生活，更有甚者需要亲人的帮助，才能勉强度日。受虐待的人们有的选择站出来，有的选择沉默，没有对与错，只有恨，他们恨自己，更恨普...

                         ( 展开 )",1.0,,0
