,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30172472,好朋友,cf38e8eeef5fe11f22f88694ff83c45a,dde625e6a693cd37140a0fd956660125,5.0,2018-07-30 18:11:29,"这篇影评可能有剧透 

                        今年上半年看了《请以你的名字呼唤我》，后来又看了《爱你，西蒙》。 前者是八九十年代的少年情怀，有青春懵懂、初尝禁果的美好，后者是现代对同志接纳度、同志自我认可度的探讨。但这两部电影都选择了浅尝辄止，没有深层次的展现同志的心理与痛苦，而是选择了以更美好的形式将...

                         ( 展开 )",21.0,,2
1,1,30172472,好朋友,ce8daaf71c69e4701bee39f8dc21dc89,962067f787c562c022c6c171859cb301,4.0,2018-12-28 23:52:36,"Firewater——Django Django Save It For Somebody Else——Fink Fire——Bipolar Sunshine The Otherside——Carl Hanaghan, Roz Brown My Love——Justin Timberlake, T.I. Should Have Known Better——Sufjan Stevens Lost In The Night——Palace Let's go——Khalid Holo...

                         ( 展开 )",30.0,,1
2,2,30172472,好朋友,3990083a30114f9f83d3147dd4e2ef6f,89e85f833aaef15d17d9e34285c8a1f5,4.0,2018-10-09 11:56:17,"这篇影评可能有剧透 

                        印象中的小狼狗该是棱角分明，肌肉发达，分分钟把你扑倒在床。 比如像成熟稳重的他： 或者直男范十足的他： 要不然就是眼神里带电的他： 鲜肉兄今天给大家推荐的这部电影，就是两只小狼狗的爱情故事。 它就是荷兰电影—— [好朋友] Gewoon Vrienden 小狼狗尤里斯，平时喜欢健身...

                         ( 展开 )",27.0,1.0,12
3,3,30172472,好朋友,bdf1c361dafa7a74afe0778a688bdd0f,8c0cda3c4e8ba88a8029cb900d7cae89,4.0,2018-04-26 00:42:28,"这篇影评可能有剧透 

                        主角太耀眼，满溢的阳光保证了画面质感。一个离开大城市回到乡村的男生，遇到了一个跌落对爸爸无尽想念的男孩。似乎安排了很多冲突的伏笔，种族差异价值分歧母子冲突，但细节的勾勒却没有让这些冲突饱满甚或淋漓尽致。于是，我们看到的是一个似乎前后不一致的分手桥段，相互的...

                         ( 展开 )",13.0,1.0,0
4,4,30172472,好朋友,e7bfeb2e3e2a1eddfdb4282f83e0687d,7179401c917624f50964977cc60a6ee3,4.0,2019-01-04 23:35:21,"这篇影评可能有剧透 

                        从没看过荷兰的电影 这可是第一次 作为即将去荷兰留学的我 我也是心潮澎湃 因为单身好久了 所以想找个部爱情电影来充实我的空虚 然后外打正着 选了这部电影《好朋友》 在故事中 男二的父母很坦然接受了自己孩子喜欢男生的状况 而男一的母亲更没有过多思考 我真的是很羡慕 而且...

                         ( 展开 )",4.0,,0
5,5,30172472,好朋友,446bcab9cd437cdeb26bacf235de9bda,4d6a9a10475bba06c579077542328e2d,4.0,2018-04-09 23:53:04,"这篇影评可能有剧透 

                        觉得导演想说一个亲子关系，但恰好两个家庭里的两个熊孩子又都是同性恋的故事。 我承认我给四星是冲着美好的肉体去的。故事可能是受电影篇幅的影响吧，有点流于表面，或者并没有很好的铺垫导致电影情节转折有点突兀。 建议导演和编剧改个迷你剧版，还是用回原班的演员。 这几年...

                         ( 展开 )",7.0,,7
6,6,30172472,好朋友,d26b7aa4f2dffe1b4a5ee7514dc3e867,7af3587f13e8778d5ae9e276ffc870a2,,2021-09-21 22:26:26,"求资源！！！！！！求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资源求资...

                         ( 展开 )",,,1
7,7,30172472,好朋友,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-07-07 22:44:44,"⒈荷兰是全球第一个同性婚姻合法的国家；⒉观影过程中被多次喂了甜腻的狗粮，可惜中间的剧情转折感觉有些刻意而让我不太满意，好在最后结尾是预期的HP；⒊两次要撒骨灰段落总是让我联想到《谋杀绿脚趾》；⒋修剪花草→Justin Timberlake-My Love，餐车约会→Wynonna Judd-Burni...

                         ( 展开 )",,,0
8,8,30172472,好朋友,181d5740057a4632b20dbc82ab776333,0918a1ffb563ebaace99b1b21cf34b53,4.0,2020-03-19 07:26:45,"这篇影评可能有剧透 

                        喜欢就是恰你喜欢我，我喜欢你 家里支持，鼓励 你的选择 亲人助攻，陪伴 对抗未知的恶意 会闹别扭 但是不忍心放下你 会有记录 留下我们的亲昵和美好 没有最甜，只有更甜 嘻嘻(♡˙︶˙♡) 希望 哥哥们可以被温柔以待 你可以不喜欢 但没必要去伤害 别用内心自以为是的丑陋嘴...

                         ( 展开 )",2.0,,0
9,9,30172472,好朋友,a2da49523de61a92d8010b8476a515f3,0fb1d02c891c51d8c128fe5e979682d6,4.0,2020-03-10 20:28:48,"这篇影评可能有剧透 

                        草地上的喷淋水花四溅，声田脱下T恤，露出丝滑的金色胴体，修长的手指将白色耳机塞进耳朵，健硕有力的手臂拿起修草电锯，在空中划着“🌈彩虹抛物线”。如果草木有五官，一定是“目瞪狗呆”露出姨母笑的表情！ 声田在外婆花园里抛出的荷尔蒙，正好砸中了站在窗边的护工，他确...

                         ( 展开 )",,,0
