,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30183667,瘦身大作战,c3b768463c5bbe124d51c4550f786b0d,c77dae67cd33d47203d6fa2a6aa47dad,,2020-06-04 22:37:20,"夏天来了，又到了减肥的季节。 可每当面对美食的诱惑和运动的辛苦，放弃总比坚持来得更快。 今天，就来给大家推荐一部治愈又舒爽，最适合现在看的新片。 无论你正在减肥，还是即将准备减肥。 这部电影，或许能给你一些动力和启示—— 瘦身大作战 导演:Aleksey Nuzhnyy 编剧:Nik...

                         ( 展开 )",34.0,,0
1,1,30183667,瘦身大作战,826a13cdbaa9bc482f9a76cb668a4363,8c76743b1be8b64bef27d6828b0f49e2,5.0,2020-07-29 22:24:10,"真的不错的片子，很棒的Chick Flick。直觉感觉俄罗斯学西方的那一套东西还是比中国人强多了，尤其在影视剧制作方面，无论是内容，形式，都很接近地方最先进的国家了。 风景特别优美。下诺夫哥罗德，宽阔的伏尔加河沿岸，空气清新，蓝天空灵，牧草如茵，金黄色的麦田。整个城市...

                         ( 展开 )",2.0,,2
2,2,30183667,瘦身大作战,1a00d5c330fa3389d5a7f1f28610d167,ef67c3ea41837a70dc26493adb50da39,5.0,2019-11-22 21:36:15,"中国电影博物馆播放的，在网上翻找半天都没啥重要介绍信息，以为比较没啥货。看了才知，剪辑配乐是真好（此刻背景播放片中音乐写点评，个别没搜到遗憾呀），行云流水般舒服。俄国电影电影总是让人喜出望外（推荐一部《回归》，很有味道），借住最平凡的小事挖掘人生的大道理，...

                         ( 展开 )",3.0,,2
3,3,30183667,瘦身大作战,2d00652ac7293178e4f9e1ba1f0d39a8,7c00ca2a52bfaf7d1391e5b3671717f0,4.0,2020-07-21 10:51:18,"我觉得这并不是一部讲减肥的励志片，它更是教我们如何与自我相处，真正地接受自己后，无论胖瘦才能真正地快乐。它不落俗的地方在于男主没有瘦下来，减肥并不能代表全部，瘦下来也不能代表人生一帆风顺。 就像女主瘦下来以后，仍然幼稚地一直从朋友那里汲取，像没有断奶的婴儿，...

                         ( 展开 )",1.0,,0
4,4,30183667,瘦身大作战,6800dc446c8e6e17155539114df3583f,d4c913215caddc80e2d85a3192eb48ad,,2021-10-06 17:42:58,"《瘦身大作战》 我过去常伪装，想要每个人喜欢我。以表示我生活的很好，现在我身处泥泞，我感觉也非常好 有的人需要被爱，有的人需要被支持，有的人需要被了解和接纳。 做你真正想要去做的事情。如果你感受到恐惧那就是恐惧，如果你追求完美，你可能孤独至死。如果想要改变，就...

                         ( 展开 )",1.0,,0
5,5,30183667,瘦身大作战,a67e47d085cae926699092949fe98de1,c282ca526353883c5d4eb2680842b550,4.0,2021-08-24 21:25:12,"看完剧，一个词：感同身受！ 我和剧中女主一样，站在尘封已久的体重秤上，76kg！刺眼的数字让我又想把体重秤扔了。 2021年春天如约而至，衣柜中的牛仔裤都穿不进了，当我开始思考新的春装是买运动裤还是买牛仔裤的时候，一次寻常的偶遇，瞬间让我打消了所有念头。 一个春光明媚...

                         ( 展开 )",1.0,,2
6,6,30183667,瘦身大作战,e307cc7bed7d2dae699cdbc000759b33,e2f68e1c19abfc7d1310cdb3cfb27f44,,2021-07-08 20:49:45,"在所有的物是人非里 一而再再而三的喜欢你 每天都在喜欢你，今天也只是其中一天而已啦。 泡牛奶要加蜂蜜，点奶茶喜欢珍珠小双份，吃拉面最好配个荷包蛋，平凡的生活里，最想加个你。 按照顺序，一件一件地用心去处理好眼前发生的问题，只要这么做，你心中的不安便不会再任意膨...

                         ( 展开 )",,,0
7,7,30183667,瘦身大作战,59434c3db9478d06c240d5e148d896c5,404f8396d574ca86a645994ef8aa61a9,4.0,2020-11-01 22:30:12,"影片是两个星期前看的，最让我感触的话是，你必须自爱，为了你自己而减肥。我随即把个签换成了，你必须自爱，才会有人爱你。我说不上什么感受，平常的我是个极端，时常熬夜，然后克制两天又在熬夜，肤色和身体一点点熬坏了、熬差了，我也在不自爱，相比暴饮暴食。影片憨憨的男...

                         ( 展开 )",1.0,,0
8,8,30183667,瘦身大作战,ff1a2955e676278490e97e58eaacb8f6,c774b54b522de81f27f1db95c5c41bb7,2.0,2020-08-12 00:51:25,"这篇影评可能有剧透 

                        为什么不是百合？狗男人们都边儿去，一个比一个挫，女主和娜塔莎多般配啊，一个美一个飒…… 女主前男友渣不必说，小胖也不是良配啊！ 女主颜值爆表，胖时也是不折不扣的美女，小胖第一次见就屁颠颠追着人跑，套路女主跟他一起减肥，这倒算好事，但是！跟踪女主，确认她家住哪...

                         ( 展开 )",11.0,2.0,0
9,9,30183667,瘦身大作战,4523604f513c9c3a8f9fee4f5b9218cf,99d61ec4eb4faa99f0d892c1bc1692ba,4.0,2020-07-13 19:20:52,"这是俄罗斯的一部小众电影，曾在去年的俄罗斯电影展上放映，虽然看过的人不多，但是口碑却不错，剧情很简单，讲述女主安雅在变胖后被分手，由身边的朋友还有胖队友陪着一起治愈伤痛，慢慢变好的故事。 《瘦身大作战》并不是一部单纯表达“减肥改变人生”的鸡汤电影，它最主要的...

                         ( 展开 )",1.0,,0
10,10,30183667,瘦身大作战,9f7d2e4b9b82967bfb0282ef3f7cd16d,932d38b30fdc2e667262d6034730f1d5,4.0,2020-07-06 00:12:28,"这篇影评可能有剧透 

                        我一般很少看小众电影，但小众的电影真的扑面清新脱俗。忽然间看到了腾讯上有一个名为《瘦身大作战》的名字，因为我对自己的身材不满意，所以，看看呗~于是抱有一种随便看看的心态入手了这部电影🎦。 我觉得这部剧包含着对爱情、友情、亲情的探索，其实很简单啦，但有时道来...

                         ( 展开 )",,,1
11,11,30183667,瘦身大作战,34d93feaea238b9b505308c1481eeec5,d865339a1346fc08ce6d832cd08783fa,4.0,2020-07-03 19:42:20,"🍦“现在不减肥，来年徒伤悲~”刚刚立完Flag的我，就看到这部电影，可真谓是应时应景呀，因为想到它有可能会鼓励我，让我树立更大的减肥决心，所以，怎么样我也得点开来看一下，不得不说，一切真的是巧合的有点让人难以置信，哈哈哈……. 影片里安雅是一个十足的胖女孩，但是...

                         ( 展开 )",1.0,,0
