,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30192287,把哥哥退货可以吗？,e3a7903dda3190ffd7fa476ceac56613,e948044a87a6cbb1e9eea58ccc11462a,2.0,2019-03-14 09:09:19,"自从去年的《快把我哥带走》大火之后，人们的意识形态也渐渐由“爱情是电影必不可少的要素”转变成“兄弟姐妹情也能在电影里大放光彩”。     最近有一部片名跟《快把我哥带走》极度相似的泰国电影横空出世，美其名曰《把哥哥退货可以吗》。 从宣传海报上来看，甜蜜的小情侣身后总有哥哥在作妖......一股爆笑画风扑面而来，心里估摸着这应该是一部兄妹俩互怼的开心喜剧吧。     喜剧的目的，就是为了把观众逗开心。 然而这部喜剧看下来......根本开心不起来！ 因为......水分真的有点多。 并且有种被骗的赶脚！ 眼瞅着就要上映了，小编我不得不站出来叨几句，免得你们受骗上当。     01 男女主角爱情线突兀且毫无真实感 作为一部以兄妹之情为主线的电影，哥哥和妹妹的戏份当然占有一大部分， 而哥哥与妹妹的冲突点，除了日常相处的小细节，最大的原因在于妹妹的爱情戏。 混血不老男神尼坤担任本片妹妹的男友。 乍一看—— 诶？好像有点甜？     但是，当你细细品味他俩的爱情走向时，你会全程一脸懵逼...... 因为你根本不清楚他俩怎么就在一起了？？？ 也整不明白他俩怎么就从恋爱升华到结婚了？？？
更感受不到他俩之间有关于爱情任何火花的碰撞和心动证明？？？ 说白了，他俩没有爱情里涓涓细流般相识相知相爱的过程，也没有令人心跳加速的粉红小细节。     （别想用几张用滤镜处理过的剧照打发我！） 毕竟他俩相知的过程，就很“儿戏”！     本该严肃的面试场合，却被领导认为“很般配”的两个人的嬉皮笑脸互相打趣给搪塞过去了；  





   所以这俩人的爱情开始于男主偷看女主的大长腿？  





   他俩爱情的升温在于对着几支花絮絮叨叨一番瞎解释？
     在一起不到2个月就求婚送戒指，然后迅速见家长？这速度怕是要超越我国大部分未婚男女青年的节奏啊......     最关键的是，女主求学多年有着自己的理想和抱负，到最后却为了男主跟着来到日本甘心回归家庭，做一个照顾家庭和孩子的家庭主妇？        这样的形象跟她之前在职场上叱咤风云的模样严重不符啊...... 最重要的是，这样的设定可能会引起大批有志女青年的不满和愤懑...... 说好的“女性独立”和“女性自强”的主流思想呢？     02 哥哥人设土崩瓦解 没哥哥好过有哥哥系列 说起本片的另一大主角——哥哥这一角色，从片头到片尾，只用一个字来形容就可以了， 就是“渣”。 他不仅对其他女生渣，对自己的亲妹妹也渣。 片子的一开头，他就是一个抛弃旧爱偷情新欢的“风情男子”的鲜明形象。     喜新厌旧也很正常吧，问题是他连新欢的真实姓名都不知道？     当看到哥哥用极其严肃的态度训斥衣着不合规范的公司新人时，当真以为他有严肃认真的一面， 结果没过几天，他立刻在酒吧露出本性，原来他早已对新同事虎视眈眈......  





   而对于亲妹妹，他不仅为了一己私利在工作上陷害妹妹的男友，还装出一副清高的样子，最后连妹妹的婚礼都不愿意出席......     更可恶的是，妹妹好心帮她找工作，他却为了一时的自尊和面子恶言相对！ 是渣男本渣无疑了。  





   所以这部片所谓相亲相爱的“兄妹情”到底意义在哪儿？ 这样一位渣男属性的哥哥配称为“默默对妹妹好的哥哥”吗？ 我们看《快把我哥带走》，那里面的哥哥尽管表面上对妹妹又是捉弄又是欺负，但最后真相大白的时候来了个意想不到的反转，其实哥哥一直在用自己的方式默默对妹妹做着一些事；     而这位哥哥呢？ 自私自利到极点，为了所谓的面子还故意伤害兄妹之间的感情...... 于是，结尾的“强行洗白”和“强行和解”根本无法给观众一种最真实的情感流露， 尤其是当男主对妹妹的大儿子说出的那句“要很疼很疼妹妹喔”的时候，我可以理解成当初自己没能好好对待妹妹，如今却理直气壮地要求妹妹的儿子要好好对待妹妹吗？ 这是什么？ 赤裸裸的双重标准吗？     所以，所谓的“兄妹情爆笑喜剧”，实际上是一出“妹妹拯救迷途羔羊哥哥的励志剧”吗？ 03 价值输出不入流 片中的哥哥一直都在用力地“实力作妖”。
 为谋私利丢了工作，无情拒绝好心妹妹的帮助，为了不值钱的面子而痛割血缘之情，全然不是一个“好哥哥”的样子。 然而最后却上演了兄妹和解的大团圆戏码？ 再糟糕的人只因是亲人就有了和好与被原谅的权利？
 这样歪曲的价值观，简直是在误导广大还在象牙塔接受知识洗礼的年轻人啊......
     如果你只是为了搏自己一笑，那么这部片的零星笑点还是可以满足你的： 比如，误把猫头鹰当做洗发水来挤的经典镜头——  





   再比如，兄妹俩小时候的爆笑日常......     如果你要深入探究其剧情的严谨性和逻辑性，那么这部片子的确经不起推敲..... 各有所好吧。",15.0,4.0,9
1,1,30192287,把哥哥退货可以吗？,c4c61354a1d07a8038991dc0e424b53c,b4f1a9c83b3cf72c2d1d92dcbf9191d0,1.0,2019-03-11 09:40:33,如题，剧情无聊无脑，借天才枪手虚假宣传，抄袭请把我哥带走，低成本如主角衣服都没换几件，无脑剧情，谁看谁浪费钱。 根本不是天才枪手团队，故事非常尴尬。 售票平台清一色好评，犯花痴，可见水分有多重。也许片子引进成本很低还需要骗票房防亏本吧。 “《把哥哥退货可以吗》2018年5月10日上映，《快把我哥带走》2018年8月17日上映。”售票平台很多刷这个评价的，科科。可是漫画和动画已经几年前就有了。 虚假宣传也是，写什么天才枪手团队，明明导演编辑摄影什么的根本不是一个团队。没去仔细看好像只是后期。海报浓浓的天才枪手风，剧情和画面连天才枪手的十分之一都勉强。引进这个电影排片就是一顿商业操作，真的烂电影。 写给大家防雷。 。。。。。。。。。。。。。。,6.0,7.0,7
2,2,30192287,把哥哥退货可以吗？,54617d85c6ddfba73aa67a643d30ad24,8abd104ae8c7556ddc620a2bf315720c,4.0,2019-05-05 22:57:08,《把哥哥退货可以吗》，这一幕，我泪目了～很多人会把这部电影和最近的一部国产的《快把我哥带走》作对比，都是哥哥欺负妹妹——妹妹讨厌哥哥——最后哥哥妹妹和好。对于国产的幼稚戏，我不置评论，可这一部，却真的让我感动到了，特别是哥哥对妹妹的大儿子说：“你是哥哥，要照顾妹妹。”被妹妹恰巧听到了后，妹妹款着哥哥的手臂，哭了。整个的铺垫，一层一层的，很完美。看弹幕，或许很多人都觉得，哇！这哥哥怎么这么坏？妹妹的婚礼都不去参加？妹妹还不嫌弃哥哥，对哥哥这么好？还把泰国房子给他？我想问，大家有看到一些细节么？哥哥为啥会欺负妹妹？——1、他本来要的是个弟弟，可来了个妹妹，夺走了家人所有的爱，他不甘心。2、他小时候被妹妹整蛊后，一直被妹妹和朋友叫“棉哥”#卫生棉的棉，这对一个男尊的社会来说，是一个伴随一生的耻辱，他不甘心。3、作为一个男尊的社会，他从小学习成绩就比妹妹差，读书没有妹妹好，找对象没有妹妹快，工作没有妹妹好，失业后，都是妹妹给自己找的工作，连他妹妹的婚礼，妹妹都帮他准备好了给对方亲家母亲的礼物，他从头到尾都是个loser，所以他讨厌那个什么都比妹妹差的自己，所以总是一副令人讨厌的样子，但他却一直不敢去面对这个事实，可悲的自尊心，可怜的人。很像我，明明很多事，只要不要脸，很多事都能放下，可我放不下，我就是倔！！妹妹为啥要那么好？我觉得就是泰国的思想在作祟，女性，就是要为家人付出，才能彰显女性的光辉，女性是伟大的，洗脑思想，不作讨论。《把哥哥退货可以吗》这部电影，总的来说，这是一部没什么油盐的电影，打发时间还是不错，虽然前奏太长，但为了结尾的这个绽放，值得等待。,5.0,3.0,5
3,3,30192287,把哥哥退货可以吗？,672812f0020c94efadf82351a06e6d6a,ca0b0549db85f718a48e0505ac9273a2,,2021-08-08 20:36:32,"开头倒是挺有意思的，典型的泰式喜剧，但是播了很久，你感觉还没进入正题，就快要结束了……情节拖沓、人物设置没有特点，人物扁平不理体，整个故事给人感觉就是三个大问号。

就这？what？这也行？

结尾哥哥去了日本。还是抱着“这什么玩意儿”的心情感动了一下下。

电影《把哥哥退货可以吗》故事叙述了废柴哥哥查（Sunny饰）跟模范生妹妹珍（Yaya饰）从小争斗到大，但又鲁又废的他在优秀的妹妹面前任何事都占不了上风，唯有恶搞妹妹为乐，尤其是在妹妹谈恋爱时，常摆出兄长的架子来逞威风。而这次珍努力发展与日泰混血帅哥小饼（尼坤 饰）的恋情，但查却因不满妹妹的选择，决定要出招来恶搞这对小情人！势死保卫爱情的珍又该如何接招！",,,0
4,4,30192287,把哥哥退货可以吗？,442183d7b4fd9410a317cfc93d62ed14,27ae506cc953779b6a2c9c7fef15191f,,2021-03-02 00:01:40,通过描述兄妹两人共度的童年、中学时光和成年时期三个不同的成长阶段，电影一步步地向观众呈现出哥哥和妹妹之间的矛盾、互相嫌弃和爱。 小时候哥哥就期待有一个弟弟，所以妹妹的到来打破了他的希望。但他也爱妹妹。哥哥从小就和妹妹一起玩棒球一起看动漫书…妹妹也很爱哥哥，虽然有时候会因为被哥哥欺负而讨厌他，但一直以来都是哥哥陪着她长大。 中学阶段，妹妹很多方面都比哥哥表现得优秀。鲜花和掌声都被妹妹抢走了，哥哥肯定会生气会嫉妒。老是被欺负的妹妹肯定会在哥哥面前炫耀，你看我比你厉害了你还敢欺负我？！（233） 成年时期占了影片很长的时段。不论是对待生活还是工作，哥哥都一副吊儿郎当的样子。家里大大小小的事情都是妹妹来操心，工作上屡次超越底线。在哥哥的角度，我就是要欺负妹妹，她又爱管闲事那我就随便你啰。但在妹妹的角度上，哥哥只要做出一点点的改变，我就会很开心。 哥哥从小就习惯欺负妹妹，嫉妒她这么优秀，舞台中央的位置永远都是她的。但哥哥也习惯了被妹妹照顾。妹妹也嫌弃讨厌哥哥，但她对哥哥的爱远胜于恨。生活上细细碎碎的争吵矛盾堆积在一起，积累到一定程度突然就爆发了。 哥哥的自尊心彻底被激怒了，在妹妹的婚宴上缺席，因为不能明白妹妹爱他的方式（拉关系帮他找工作）而深深伤害了两人的关系，甚至第一次见到的亲外甥已经是个小学生了…最让我揪心的是，妹妹多希望哥哥出席自己的婚宴，如果不是哥哥她就不会哈日也不会遇见心爱的人了。大概妹妹心里一直感谢着哥哥，哥哥对她而言是很重要的人，但哥哥却让妹妹再次失望了。 虽然是一起长大的两个人，但相互之间还是有很多不了解的地方。如果兄妹俩能坦诚直白地表达自己对对方的爱，结果会怎样呢？直到很久很久以后，哥哥才明白妹妹的爱，才恍然大悟自己对妹妹造成的伤害。他放下自己的自尊，他知道他不能失去妹妹，他爱妹妹。 （结尾处，哥哥时隔很久才从前同事那里知道妹妹对他的爱，这一点我感觉有点说不过去的样子233）,,,0
5,5,30192287,把哥哥退货可以吗？,5bbefb5dff0dfd1d2f21afd3c99b6d81,7f93d632fdd74857e48631a48e03a2d8,,2020-05-19 21:44:19,"开头倒是挺有意思的，典型的泰式喜剧，但是播了很久，你感觉还没进入正题，就快要结束了……情节拖沓、人物设置没有特点，人物扁平不理体，整个故事给人感觉就是三个大问号。

就这？what？这也行？

结尾哥哥去了日本。还是抱着“这什么玩意儿”的心情感动了一下下。

挺喜欢yaya的，最多给三星吧。",,1.0,0
6,6,30192287,把哥哥退货可以吗？,ba907204e8ba64bfa435f8f45cd335b1,4bc4f1f8669a821298fba6d2834a7809,,2020-05-19 09:30:36,"故事叙述了废柴哥哥查跟模范生妹妹珍从小争斗到大，但又鲁又废的他在优秀的妹妹面前任何事都占不了上风，唯有恶搞妹妹为乐，尤其是在妹妹谈恋爱时，常摆出兄长的架子来逞威风。而这次珍努力发展与日泰混血帅哥小饼的恋情，但查却因不满妹妹的选择，决定要出招来恶搞这对小情人。 开头倒是挺有意思的，典型的泰式喜剧，但是播了很久，你感觉还没进入正题，就快要结束了……情节拖沓、人物设置没有特点，人物扁平不理体，整个故事给人感觉就是三个大问号。

就这？what？这也行？

结尾哥哥去了日本。还是抱着“这什么玩意儿”的心情感动了一下下。

挺喜欢yaya的，最多给三星吧。 泰式幽默还挺搞笑的",,1.0,0
7,7,30192287,把哥哥退货可以吗？,e6371d353f0a71d51a7ac917bfa75944,156ca26ab024eeae7df6f305ea457d4e,4.0,2019-12-09 20:36:48,"此篇影评主要对印象深刻的几个画面进行点评。 
1、从珍清洗哥哥放在厨房水槽中的已经长虫的碗碟，打开水龙头的镜头紧接着浴室淋浴头喷水，随后是珍洗头发，按压洗发水时却摸到了一只猫头鹰(蒙太奇转场) 
2、配乐很有设计。 
3、烟灰掉落的画面让人害怕，但却是一种很巧妙的说明方式，小饼先生和珍的哥哥因为设计方案意见不同而产生矛盾，小饼先生决定告发珍的哥哥。 
4、哥哥找到新工作，回家乡学校，恰巧妹妹也回学校逛哒，妹妹看到哥哥的车子，问哥哥在哪，他们在校园操场铁架看台相遇，坐下聊天，哥哥用脚把放在自己脚边的蚊香推到妹妹的脚边，这个小动作一下子拉近了兄妹俩的关系，显得十分暖心，也使下半场变的温情，总觉得这种剧最后结尾会有一个原因来解密为何兄妹俩从小打闹，他们内心其实是相亲相爱的。 
5、珍婚后生了一个儿子，查对珍的儿子说你以后要疼妹妹，年幼的孩子问妈妈，舅舅说这话的意思？孩子就是兄妹俩的感情传递的桥梁，这一刻，所有的误解都释怀了。",,,0
8,8,30192287,把哥哥退货可以吗？,dcf838d746c0f983911865aa30c9e617,a176bde23564ab46b3c8bc5c19233a06,3.0,2019-09-23 17:46:14,第一眼想到快把我哥带走 这个是长大版的 一直期待反转 有点失望  哥哥 有小梅还在那边找别人 一个不着调的  妹妹在合作中找茬其实感觉也有点过了 但哥哥在妹妹婆婆面前那么作实在不对 哪怕他是不想妹妹远嫁 可太过分了  其实两个人还好吧 小时候也是哥哥带她玩啊 也是影响她很多 喜欢日本 玩棒球 小时候她也是为他加油啊  哥哥一句话很难过 同事问他为什么那么讨厌妹妹 他说他从来没讨厌过妹妹 只是讨厌在一起的他 因为妹妹什么都比他强 所以他总是被比较 总是被开玩笑 也许你只是觉得好玩 但是哥哥真的在意真的难堪  喝醉的哥哥被带回家 妹妹其实还是有管他 虽然无语 如果那会同事传个话 两个人会不会更明白对方 以为发现妹妹帮忙找工作哥哥会明白 可哥哥伤了自尊 更加难过  妹妹也狠 说收回房子 让哥哥搬出去 虽然最后是把房子给了哥哥 可是 说出口的话真的收不回 而且亲人间的伤害真的是太深了  妹妹在医院等不来哥哥 婚礼上 妹妹没看到哥哥 泪目  错过了那么多年哦 哥哥才去看妹妹 对老大说要当个好哥哥 要对妹妹好 老大问妈妈舅舅说什么 妹妹也是一下就哭了 最后哥哥坐在台阶上埋头大哭 妹妹在旁边抱着他 感觉回到了小时候 妹妹开玩笑 可是当哥哥昏迷 明知道只是打到了下巴 可还是害怕了担心了 可这些哥哥也不会知道 相识几个月就谈婚论嫁又是那么远 哥哥肯定也担心吧 只是他不说 用激烈的方式表达 我们都是刀子嘴豆腐心 于是 都是伤害,,,0
9,9,30192287,把哥哥退货可以吗？,6641de5ad16dfa6b1bbf3d3723dfa388,65a9ff5a24c56be2872a27b4606195b4,3.0,2019-06-12 23:27:25,"第一次参加提前观影活动，此次观看了泰国电影《把哥哥退货可以吗？》，这部电影将在3月15日正式上映。电影译名让我想起《快把我哥带走》，再加上据说是与《天才枪手》同一制作班底，很难不让人期待。
        电影整体基调是轻松喜感的，尤其是前半部分笑料比较集中，但是剧情进展缓慢而又东拉西扯，到后半段我内心一直在期待着反转。然而它平铺直叙到最后时，我忍不住为女主心塞：有这样从头到尾都扶不起来的哥哥，真的赶紧退货吧！
        哥哥查是问题学渣，而妹妹珍则是品学兼优的高材生，两人自小就开始火星撞地球，直到珍遇上了天菜小甜饼并且决定要跟他结婚和到日本定居，哥哥妹妹的矛盾开始进一步升级……
        不得不感叹电影中哥哥的选角实在是太棒了，痞帅痞帅的一出场就自带废柴和不靠谱的气息，全片的笑点几乎都由他贡献，而且表演非常自然接地气。女主也可爱真实，无论是影片开头对废柴哥哥的嫌弃还是到哥哥缺席时的失望都表现的很到位。片中还有一个亮点就是从舅舅变身而成的姨妈，家庭对她的包容还有她自己的勇敢让人感触良多。
        看完电影离开的时候其实内心有些失望，感觉有很多情节都没有顺利展开。比如珍和小饼的爱情开始和升温阶段都略显突兀（虽然棒球手套求婚的桥段是完全击中本老阿姨的取向），实习生笛儿对查的情感感觉没有交代清楚，强行煽情的影片结尾也有点仓促。
        从头到尾只见妹妹对哥哥从生活到工作全方位的照顾，同行的琦琦精准点评说珍简直就是半个“扶哥魔”，而查除了在最后翻看漫画时看到珍对他的鼓励之外，似乎并没有什么变化。
        总的来说，《把哥哥退货可以吗？》是及格线的喜剧片，周末时和好友去消磨时间还是能笑得出来的。且影片格调清新，看着男女主和可爱的配角笛儿时完全可以感受到独特的泰式风情，希望即将到来的夏日也能如片中一样明亮轻快。",,1.0,0
