,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30195228,男人要自爱,7607f443ff86f4c0d00c72162c6f60d5,18c7d0f0d61e83948b3bd6e8cf5e0f56,5.0,2021-06-21 04:29:01,在还未完全逃脱父系社会的当下看到这样一部母系社会的描述，简直太！！爽！！了！！前半段全程高能，在女性凝视下男性开始剃毛、注意形象，虽然现实社会也有注意仪表的男性，但可能正因为男性的仪表没有被normalized，所以看到影片里这般夸大的描述觉得非常新奇；还有职场性别歧视、衣服太透引发欲望、男性钢管舞演员、酒吧里醉酒男性被女性调戏、已婚霸总沾花惹草却在一人身上找到真爱愿意为之离婚、男性开始争取平权，等等——活在父系社会中看到这样的反转，太新奇了，太有趣了。 虽然反过来想又有点觉得自己“觉得好有趣”这个想法有点可悲——是完全习惯了父系社会里对女性的一些准则才会在在这些准则出现在男性身上时觉得有趣新奇，害（。 虽然是在表现父系社会下的刻板印象，但是有些很典型的男女性特征被对调（比如做家务的一方、强势与柔弱的性别对调）还是会觉得还是没有完全逃脱父系社会的枷锁；但是，由于电影本就是在用艺术手法表现父系社会下很多习以为常的刻板印象，我选择忽视这一点。而且，我认为真正想要倡导平权不是把社会默认的男女性特质对调或强加给另一方，而是强调此类特质应无关性别；但是，感觉此类社会性升华需要铺垫与篇幅，并且是比较隐形的表达，一做不好就会导致非但没升华反而让影片支离破碎平淡无奇，所以在一百分钟内做到影片这样我觉得已经很赞了。 说到男女社会身份和性别对立，正因为在现实社会中的男女性社会身份与形象已经被正常化且大家习以为常，所以在看到影片完全颠倒两性社会身份时才会觉得有悖“常理”、好像在搞性别对立。 全程多次引起感叹——社会组成好妙啊…… 人类自然而然地组成的是父系社会而不是母系社会…… 影片最后Alexandra来到“我们”的社会也太妙了，在她的社会里女性才是主导，来到“我们”的社会岂不是反而会觉得“我们”在有悖她的常理搞性别对立。而且看到女权主义的游行竟然有一丢丢想哭（。,,,2
1,1,30195228,男人要自爱,89bf847255e6634662264b416d88154f,b106c4d82e98bbead14dcadd5103d4e9,3.0,2021-02-28 13:56:57,"我们一定非常熟悉这些画面： 女人们时刻注意衣着打扮，妆容、裙子、高跟、精致地涂着指甲，这类女性会被认为是有魅力的猪猪女孩，也会得到很多男人的青睐；商场路边广告牌上一般都是性感裸露的美女；独自在酒吧喝酒的女性很容易被醉酒男人调戏，甚至也会被认为是“饥渴”；女性孜孜不倦地保养容颜与身体，把体毛除得干干净净，怕被男人说自己像猴子；婚姻中丈夫出轨，女人觉得是自己没有魅力的原因，于是开始减重，长辈也安慰自己说互相包容，忍忍就过去了。。。 如果把以上的“女人”字眼改成“男人”会发生什么？ 这就是一部导演和编剧都是女性所拍的法国喜剧片《男人要自爱》，对男权社会下性别角色进行了反讽。          
男主达尔米进入了另外一个平行世界，这个世界，大多数精英是女人，大多数人出轨是女人，大多数海王是女人，大多数用猥琐的目光打量异性身材的是女人，大多数不顾忌自己身材裸露的是女人；而大多数失恋了哭哭啼啼找上门的是男人，大多数被出轨要隐忍的是男人，大多数被嫌弃身材的是男人，大多数涂指甲脱体毛的是男人，大多数去酒吧就会被调戏的是男人。。。。 
对我来说，这不是一部喜剧片，看的过程，我几乎没怎么笑。看到影片里的男人们依附着女人而活，并没有让我爽快，因为这其实是我们现实中的某些女性剧情。与其说是反讽当代的男权主义者，不如说也反讽了男权的同谋者-女人。我们倡导男女平等，反对男权，我们反对着某种文化，却又在某种程度顺应着它，强化了它。我们没有认真地考虑过性别角色的由来，就认为它是自然设定的，不可逾越的，不可避免的，不可改变的。我们似乎从来没仔细思考过，就默认了社会给我制定的“天然”文化，“认同”了它。           
我们都知道男女思维是具有差异的，我们学习了解男性思维，为了与男人打交道，为了让自己的沟通变得顺畅，为了让自己的亲密关系变得满意。但是有没有想过，男女之间的差别，到底是怎么来的？
达芙娜·乔尔和来自特拉维夫大学马克斯·普朗克研究所、苏黎世大学的同行一起分析了1400多张人类大脑的头部图像，从四个不同的来源收集了大量数据组。最初，他们发现，每个样本中特别大的性别差异大约有10个。简单来说，这个实验说明，两性大脑之间没有任何一个特别显著的差异。所以，大脑的性别差异不单纯因为性别决定，也取决于年纪、环境和遗传变异等。安妮·福斯特·斯特林（不知道是谁）总结道：身体是动态系统，是为了适应社会而变化。 
我们作为新生儿在一无所知的情况下，来到地球的任意一种文化当中，于是基因开始被改写了。我们天生就认为男人女人不是大脑设定就不同，于是我们都落入了发展已久的规则之中——来自社会文化影响，同时我们在不断学习（认同、强化）这些规则——男人擅长数理逻辑，敢于竞争与冒险，女人比较细腻，擅长共情与家务——我们巩固了男性的地位与尊严，我们逃不过环境，于是有了一系列爱恨纠缠，于是我做起了情感咨询，来访者大多是女性。 
女性角色在当下的社会规则和家庭秩序中依然存在许多困惑和反抗，不管是需要“运气”，还是需要一技之长，先成为一个独立的个体，再成为独立女性，这与自我认知觉醒和社会的变迁。也许我们无须也无法扭转大格局，也许我们男人女人生来就被贴上标签，但是不要忘记自己也有撕下标签的力量。  
也许我们一直牢牢把握住的真相，只是历史长河中的一片小浪花，不必当真。 
（以上的实验从书中摘录，没研究过真实性，看看就好。）",,,0
2,2,30195228,男人要自爱,ead5e5c606c9ec02375b86d5a66b6251,dc33cab46b19dfc8aa69aaaa66f7e952,4.0,2021-02-12 13:28:41,一个思考：性转之后的世界，女性变成了男性的样子，那真的是在推崇女权吗？我想真正的女人主宰的世界，是不是不管女性怎么样——穿裙子也好穿裤子也好，化妆也好不化妆也好——都是女性强大，不是因为她的表现而是因为她是女性，这样是不是才是我们真正想要的？最后的结局让我知道了什么叫黑色幽默。电影爽一个半小时，现实生活中却是几十年都是最后这个世界的生活……,,,2
3,3,30195228,男人要自爱,777ca12cae8584a9eb6bfc2d6265081e,d1e1147927a8c7c7bffd0ba620ac33e9,3.0,2021-01-18 13:53:01,在我看来这部电影遗憾的地方在于其设定只是简单粗暴的性别互换，虽然细节处理的很好，但也只是展示了男性是如何被具有男性特质的女性霸凌而已，本质还是在肯定男性特质。需要说明的点是，男性的特质并不是强者的特质，男性会羞辱pua女性，会强制将女性赶回家庭，会挤压女性的职场生存空间，会杀害女性，所以掌握话语权的强者就一定会这么对待异性吗？我非常不认同当女性掌握话语权时会将女权变为绝对的强权，不认同女性成为性主体时就会不受道德约束、不修边幅、性格恶劣同时无下限性骚扰男性。女性会制造出合适的机制来平衡这一切。我不觉得可笑，我只觉得可怖，女主穿越到男权社会时的女性游行让我几乎忍不住掉眼泪，电影只是电影，但现在所有女性就活在这个三年血赚的男权世界。结尾的设定是为了让女权世界的女主反省吗，不，导演创作的那个所谓女权世界归根结底还是男权社会，看到这部电影的男性会反省自己对女性施加的伤害吗？不会的，他们只会极力维持现有的状况甚至恶化它。,,,0
4,4,30195228,男人要自爱,f07404b596a191cf20bccddfcb795324,517de38884264d09b23651746c75344a,4.0,2020-12-07 02:12:12,"开始觉得比想象中浅薄和无聊，主线完全是两个人的感情而已。但是看完后觉得，成片在于细节。

只是全方位的改变了社会规则，男主从头到尾还是那个人，在现实中甚至是一个根深蒂固的直男癌。换一套秩序，他却逐渐就被塑造为新社会中男性的样子，表现得和我们生活的真实中的刻板印象女人越来越像。他的想法毫无变化，却被困在被迫回归家庭，职场性骚扰，体型焦虑，和被玩弄感情之中。最后甚至学会了用小男人的眼泪换取同情，“堕落”到做女人的玩物。生活中只有爱情了。

在这个男人没有地位的社会，他可以自己坚持做一个男权主义者，但是仿佛一个人的狂欢和发疯，背景都是一曲悲歌，因为无时无刻，周围的一切都无形的展示出他永远无法改变这个社会。仿佛对现实中女性生存的隐喻。

而最后另一个社会里的“直女癌”Alessandra穿越到了现实，这里女人才是穿短裙，被凝视的对象，以黑色幽默收尾，还是挺有意思的。 无形的文化桎梏非常难拍出来，这部电影细节上一定下了非常大的功夫了。 ———————— 越想越多吧。 开篇强调了男主其实一直在进行心理咨询，他有一定的强迫行为，原因在于小时候因为穿了女孩的裙子被大家嘲笑，尤其是当时喜欢的那个最漂亮的女孩对着他哈哈大笑，这对他造成了心理创伤。 在现实世界里，潜意识中为了对抗这一切，他变成了一个歧视女性，把女性物化的直男癌。沉迷“雄性气质”。而到了平行世界，他变得患得患失，开始脱毛，露长腿，为了alexandra死去活来，成为了女性权利下一个仿佛slut一样的人物。 总觉得这个贯穿全剧的心理咨询行为，其实想体现出这个人物的本质，比如内心的脆弱，不安等等。但是在两个截然不同的社会中，他就会被文化修改成不同的样子。 在男权社会，他变得不承担任何责任，调戏每一个见到的女人，热衷开男性only的笑话，想让自己更“男人”。这些行为可以给他带来安全感。而在“女权”社会，他需要女主真心的待他，女主答应他结婚，就给他带来了无与伦比的安全感，因此在知道女主其实已婚后人崩溃了。 他在“女权”社会的一系列行为，和现实中许多女性的故事太像了，因此这部剧很好的讲出，如果你是一个女人，不用生理上是，不用思想上是，只要你生活在一个为女人制定好一套规则的地方，你就会成为一个女人。如果你不信，换个性别让你看看。",4.0,,1
5,5,30195228,男人要自爱,245081822d4ac1f27e0800b35b282fc4,dc195aaeaabc04938d8bb0ad1f419515,5.0,2020-08-22 06:30:06,很精彩的电影。性别反转后的世界，荒诞，却让你心酸，因为你发现在这之前你根本没意识到现实世界里这些性别不对等现象的存在。 在这样一个女权社会里，女人身居社会和公司要职，男人的工作主要是清洁工、秘书、服务员和全职丈夫；女人穿西装西裤、剪短发、甚至袒胸露乳，男人留长发、化妆、脱毛；男人的身材长相被女人评头论足、指指点点；男人的裸体出现在广告上、海报里，成为消费品；XOXOposition永远在下，甚至遭遇性骚扰而开不了口；女人出轨、花钱买鸭变得很平常，男人只会莫名其妙被小三，发怒抱怨却什么也做不了；女人说脏话、调戏男人、言语轻佻，男人却只能哭哭啼啼；男人被父母催婚、遭遇职场性别歧视、戴着假胸罩为了男权主义上街游行。 于是你才意识到，在真正的女权社会里，女人可以过得这么爽。因为当你的生活里拥有：工作上的话语权，家里有人做家务带孩子伺候你，开跑车，泡帅哥，那自然是比去购物、美容只为追求一个精致的外表而不被歧视、做家务、照顾孩子只为满足人们心中对“贤妻良母”的要求这样的生活样貌精彩得多啊！希望这是人类社会发展下去的模样和毁灭前的归宿哈哈哈哈哈。 每个人的自我定位都是在社会中形成的，男主虽然一直在抵抗，却也渐渐融入了这样的一个世界，认同了自己在角色，所以，差别的来源不是本性和基因，而是环境和观念。                             审美也是个深刻的话题。你认为一个“女人不像女人、男人不像男人”的世界真的比现在更好吗？而所谓的“男人样”和“女人样”又是怎样形成的呢？古代中国男人也留长发束发髻，而女人的“吸烟装”也是直至上世纪60年代才由YSL带来的革命。女孩就该像仙女这样的审美是天然形成的，还是作为男权时代下的产物已在你心中扎根？ 审美首先是一种个人追求，例如我化妆真的不是为了给男人看，而是为了让自己比以前更好看；同时，审美更是一种社会观念带来的压力，模特的身材标准只有每天饿肚子+每天疯狂建设才可能做到，一味追求瘦让多少姑娘增添多余的烦恼、浪费无谓的精力。审美标准把女人物化为商品，不可否认在现代社会，颜值依旧是婚恋市场上女人标价的最大标准。 但在影片的镜头下，女人用来打扮的时间都用来在职场呼风唤雨创造价值了，而男人长发披肩、美甲减肥，那个世界里的电影的特写也是男人的翘臀，90分钟后，你发现：这样的男的也挺美啊？你居然已经适应了这种审美，适应了在挑选和挑剔被物化为商品的男人时候的优越感。所以影片在假设的不是一个没有审美标准的社会，而是一个审美要求颠倒的社会，毕竟身体构造几乎相同，对女人的审美点为何不能应用在男人身上？只需强化某些器官的出镜率，若隐若现，展现X张力即可。 抛开女权社会给女人带来的自由，还有个很有意思的问题，那就是：女人会喜欢这样的社会吗？（男人肯定不喜欢）女性真的能舍弃对外貌、身材的追求，和自己“第二性”身份带来的福利吗（例如不需要承担赚钱养家的主任、社会对女性能力和成功整体的低要求等） 无论是职场分工、婚恋模式、审美标准，不同性别的强弱弱势背后隐藏的都是权力，这也是所谓男权女权人士在争夺的本质的东西。因为女性的工作机会更少，所以我可以对你职场霸陵而不怕你走；因为女性的年龄是婚恋市场的标价，所以我可以和你玩玩和你耗着，耗过30岁我继续找20岁的而你就没人可嫁；我可以要求你化妆打扮身材好，是因为这是买方市场，是你在挑选你们。这一切都是赤裸裸的权力。 一切都取决于你想要一个怎样的世界，习以为常的、正常的不一定就是正确的。人类社会发展的走向是一个有趣的课题，我们都看不到结局了，但是这种改变和改进的眼界是我们所需要的。 这部影片还有一个启发，就是在现实中即使无法完成性别角色的转换，女人至少可以了解男人的角色赋予他们的权力和便利，察觉在哪些处境下他们是利用了这一点，以此做到更好的防御，当然我的理想还是社会进化到女人可以和男人一样自由生活。 看完电影正好看乘风破浪的姐姐，竟然感到不适应了，能改变你观念的影片就是一部好影片，这部电影花了90分钟做到了。乘风破浪综艺里，除去对姐姐面容和身材和不会老的要求外，连演出刻意表现出来的女人的刚毅潇洒，其实也只有在男权社会里才可能发生，因为展现刚毅恰恰带着一种反抗压迫的姿态；用这部影片的思路反过来想女权社会下男性的情况，就很容易理解。而真正的平等就是：不用刻意展现坚强、也不用刻意表现妩媚，我是怎样的，我站在台上就是怎样的，我不需要人设，我50岁的脸上带着我50岁该有的皱纹，我身上的赘肉也并不会影响我的嗓音。走到现在，乘风破浪这个节目的初衷彻底丧失了，为了流量，节目导向还是走向了大众审美标准。,2.0,,0
6,6,30195228,男人要自爱,1229cacd251e88f1de50973c26deb075,1d07b32545110bdd11fdf5e505c05804,3.0,2020-07-15 21:07:12,你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！你当真以为我们生活在男女平等的社会中的吗，在法国人的性转世界，男人不自尊自爱会有什么下场！,,,0
7,7,30195228,男人要自爱,ffac8fde50fc6c40f80ada4c339853ec,958adb57686c2fdec5796398de5f317a,5.0,2020-05-26 21:32:30,与其他反应性别歧视，女权的影片不同的是，这不作品给我们展现了一个极端女权的世界。就像微博上有些打着“女权”旗号的人，她们希望的就是这样，一个完全由女性主导的“女权”世界。而我现在认为，用女权这两个字眼本来就是不准确的，应该要用“平权”，把那些运动称为平权运动，这是我们要追求的，而不是让那些觉得自己被压迫的人有权利去压迫别人。        这就让我想到了papi酱的那场风波，姜女士在我心中一直是独立女性的代表，三观极正，而有些人居然因为她在微博晒娃而去贬低她，觉得那是在向男权屈服。我一开始无法理解，后来一想，那些应该就是极端女权吧，她们追求的就是一个影片中的世界。姜女士什么都没错，只是身为因为这样一个杰出女士她追求的是平权而不是极端“女权”让某些人失望了而已。        所以我们应该要问的是，“有没有第三种可能，一个男人跟女人互相支持的世界?”，而不是打着女权的旗号，行着女性霸权和网络暴力之事。,2.0,,0
8,8,30195228,男人要自爱,e3eef5f449cd40a13b77f9f6d39aebf2,9a5734444137acfb5e876707576d2b31,,2020-05-11 01:11:59,"想想历史书上说在原始社会，原以女性为尊。母系社会何以就一步步沦为男权社会？但我想要的，不是男权，也不是女权，我心目中渴盼的""男女平等""，真的就永远无法实现吗？望诸位女子谨记，我们实际生活在男权社会。也望诸位男子谨记，我们的社会，男女平等。如今的女性，通过自己的努力（但一定比男性所需付出的努力要多），也可以站在顶峰，毫无疑问。",,,0
9,9,30195228,男人要自爱,948f524f5a6e3de9132f3db0c9aeb381,1f2a7b6e8d2f89b9d60c4c90177761d7,5.0,2020-03-06 15:54:02,"过两天就是三八妇女节了。 在法律的界定中，14岁以上就算妇女了，可大多数女性不喜欢“妇女”这个词，听起来一点不美丽。 我虽然勉强接受，妇女就妇女吧，但也只是一种自嘲的措辞而已。 谁要做妇女啊？ 我们是新一代的美少女壮士好吗！

01
当我们在谈论“妇女节”时，我们在谈论什么？ 随便百度一下，两个字会映入你的眼帘—— “女权”。 我不是女权主义者，这个标签让人害怕——难道你不爱男人吗？难道你要跟男人作对吗？ 我爱男人，我也不想一争高下，让女性完全跟男性对调角色，那样的世界也不会完美。 如果两种情况都不够好，到底哪里出错了呢？ 当我看了这部电影《男人要自爱》时，才弄明白，什么是女权主义，什么是性别平等，也许我们应该重新审视一番。 02

当局者迷，太沉迷于自己的角色了，当别人来扮演我们时，才能跳出原有思维定式，看得清问题所在。 这是电影有趣的地方，带你来到平行时空。 这里，男人是萝莉、秘书、家庭主夫，而女人才是大婶、霸道总裁、挣钱养家的人。 不仅社会角色完全对调，生物特征也有调整。 女性比男性更有力量、攻击性，她们生孩子，因为比男性强壮，有孕育生命的能力。 生物基础，可能是很重要的一方面，在长期演进过程中，形成社会文化，对性别角色提出刻板要求。 现代生活，虽然已不需要男人打猎、抵御猛兽，但意识层面上，他们仍然需要。 如果他们的思想和行为，超出这一设定，那就麻烦了——你还是个男人吗？  因为这段儿时创伤，达米恩得了强迫症。 他强迫性地不停刷牙，强迫自己要做个“男人”。 然而他也确实是，春风得意，事业有成，雄性荷尔蒙爆棚的他，到处沾花惹草。 对于这样一群人，在主流文化下，他们混得风生水起，是极致的“男人”，生活对待他们特别温柔。 但文明不应该只关注强者，也需要体贴弱者和边缘人群。 走在路上，眼睛离不开美女的大长腿，达米恩一头撞向路牌杆子上，摇摇晃晃，穿越到了平行宇宙中的女权社会。 这个世界里，他成了弱者。  03 心理学研究会告诉你，男性比女性更具有攻击性。 而男性的攻击性，不光指向暴力，更被解读为雄心壮志、征服欲和人格魅力。 可是，当把普遍性的理论，推演到独特个体身上时，却会形成扭曲的刻板印象。 这样的逻辑，在电影里是反着的。  真正危险的，不是权利在谁的手里，而是我们停止思考，想当然地认为，世界就是如此。 在女权社会里，你会看到这样的情况，男性柔软、顺从，女性强势、掌控。 这样的互补关系，似乎是理所应当的。 但只要生活出现状况，将那一线平衡撕破，处于关系中的个体，因缺少弹性化的应对方式，变得狼狈不堪。 家庭中新生儿的降生，养家糊口的一方出轨、破产，都会使从前看似完美的关系，前功尽弃。  我不能断言，在角色流动性更好的家庭中，可不可以免于上述问题，但一定会好于这种情况。 与社会阶层缺乏流动性一样，社会角色的固化，同样会产生诸多问题。 为了满足社会期待，我们将特定角色背负在身上，分不清楚，是自由意志还是被洗脑的结果。
一方负责貌美如花。 把有限的注意力，投入到无限的减肥、化妆事业中去，在媒体、文化氛围的渲染下，为胖出的两斤重量，焦虑不堪。 真的那么在乎体重吗？ 我的一位朋友，当发现男友根本不在乎自己体重时，恣意地增重20斤。 特别骄傲，因为男友对她的爱、对她价值的认可，并不是源于她身体的胖瘦。 爱美之心人皆有之。 不管是健身还是脱毛，都无可厚非，但问题是，我们多大程度上，将自己的价值感寄托于外貌和身材。
除了身体各部分的尺寸，还剩下什么？ 电影中，镜头对准的女性，大多成功有为，占有大量社会资源。 象牙塔顶端的她们，制定着社会规则，而别人却只能跟从。  这样片面的评价体系，只要你稍微没那么成功，便会不自觉地陷入焦虑，产生自我怀疑。 害怕另一半强大的自我，无法驾驭。 担心对方见多识广，想要的太多，而你却无法给予。  有一次，一个男生跟我聊起这样的焦虑。 我在想，是什么让他觉得，无法给对方提供更好物质条件，就让他感到如此失败。 我宽慰他，“两个人可以一起努力啊！” 听到这样的答案，他突然如释重负了。 将自我价值绑定在单一维度上，无法得到认可时，人设便崩塌了。 两性之间一定有差异。 但我们的共同点，要远远多于不同之处。 落在每个人身上时，又会展现出多种多样的可能性。 放大差异和不同点时，僵化的思维方式，蒙蔽了双眼，使我们无视个体的独特性，不能全然地看到对方真实的样子。  甚至已经懒得去了解彼此，“女生还能干什么？刷剧，淘宝呗！” 当听到 “女博士”、“女司机”时，你想到了什么？

04 文化鼓励性别角色两极化时，为了符合性别要求，不管男性还是女性，都会背负不必要的压力。 即便如此，在看过这部电影后，我明显感觉，性别不只是差异问题，而是确确实实，有高低之分。 电影中你会发现，生活里习以为常的画面，却显得异常尖刻，是我们社会的真实写照。 它所描述的，不是真正的女权社会，更像是对男权社会的cosplay。 随处可见的“女性凝视”，将男性置于一种展示性、迎合女性的视角之下。  性骚扰，对男性的不尊重，常有发生。  被当作猎物，被视为“战利品”。  当整个社会都以这样的眼光看待男性时，屏幕前的我，都觉得他们好渺小，好微不足道。 更不用说，政治、商业、学术，几乎各行各业都由女性主导。 一个由女性设计的社会，男性在其中生存，只能附庸，只好委曲求全。 就像在一个右撇子的世界，左撇子就算蹩手，也得凑乎着用。 看过这些情节后，我突然觉得，性别平等还仍然只是个概念。 电影中，男权主义者的游行，离革命很远，示威也算不上。 稀稀拉拉几个人，看上去更像行为艺术，连同类都瞧不起他们。  他们为什么游行，他们想要什么？ 难道不是一个互助互爱，更多样、包容的世界吗？

05 故事最后，达米恩跟女友发生激烈冲突，扭打中撞了头，一起穿越回男权社会。 此时，电影的色调突然灰暗了。 女友走在马路上，形单影只，与周围格格不入。 她开跑车，是畅销书作家，而这里，她只是一个倔强的女秘书。 曾经想征服所有男性，现在，她是抵抗被征服的那一方。  达米恩，经历了一圈女权社会的生活，再回到男权社会后，没有做回从前的自己。 他选择站在女性一边。 因为他终于明白，做女人是怎样一种感觉。 如果能像主人公一样，体验另一性别的生存状态，也许我们就会懂得，他们处于怎样的位置，为什么会有这样的诉求。 因为终归，我们都是人类。 人类的感觉是相通的，人类的需求是相似的。  我们不是雌雄同体的生物，我们需要另一半，需要另一种性别。 他们是你的亲人、爱人、朋友。 他们时刻在你身边。 他们的生活，就是你生活的一部分。 所以，为什么要过三八妇女节？ 因为我们还需要理解、努力，一起创造，那个更适合两性生活的新世界。",,,1
