,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,1038e1bb877bccfc8380dc3e9226bb46,f1290186a5d0b1ceab27f4e77c0c5d68,1.0,2018-07-14 03:45:11,"当这部电影上映的时候，我没有一点喜悦感，反而有了些许怨恨，因为我们这些90后.00后已经找不到童年的回忆了。就拿这个ip来说，旧版就是我们童年的亲身经历一样，会让我们了解很多。而新版却像少了某些东西一样，没有了童年气息。配音也像念稿子，少了童心……并且一出就是几季...

                         ( 展开 )",27.0,3.0,6
1,1,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,e49f2f17312c01eca16e86ebfd93ff40,e49f2f17312c01eca16e86ebfd93ff40,1.0,2018-07-22 19:06:22,"这么多年挺不容易的？   是的！  2000年前zf每年拨款3亿多给央视动画！   所以坚持这么多年！做了好几大堆屎，富了一群贪，也成名了好多连嘴炮都算不上的‘明星’！国语最好的是台版！   对事不对人，董浩金龟子声音太不适合动画了，混混然然混了这么多年。 老实说……中国人太...

                         ( 展开 )",33.0,1.0,8
2,2,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,cc4684b2ca9d31b7f85eff32ab2c349e,caba8704bf95fc3bf098bd6be9330f7f,2.0,2018-07-21 13:54:48,"带小朋友来看的，电影院人挺多的，孩子看的时候也有笑点。但是这真的是一部不知道想表达什么的电影。 央视少儿出品的动画电影，可能针对的群体就是学龄前儿童吧。但是这部电影的故事和逻辑不能因为针对群体的低龄而如此粗制滥造。针对低龄群体的动画片也应该有逻辑性，故事完整...

                         ( 展开 )",18.0,,6
3,3,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,4555b5d4697567fef9ea7e2d3dc1b073,7dc2e7571f2915ffaea745b299b0d958,1.0,2018-08-18 23:00:46,"作为一个八零后，一直觉得什么好事都没赶上~但是我们遇到了电脑进入中国，游戏机进入中国，动漫最开放的时间段正是我们的童年，感觉那时候外国动漫都有中文配音的样子~ 其实我就想回忆下我们小时候电视上看的动漫： 圣斗士星矢，灌篮高手，小蝌蚪找妈妈，小蜜蜂找妈妈，促织，...

                         ( 展开 )",4.0,,1
4,4,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,95ea5e0d6d66b2e5cebacf4fdf771c5f,158dca119e9b1ae453b0b46615fe9f55,1.0,2018-07-09 10:02:12,"这篇影评可能有剧透 

                        这是对动画彻头彻尾的亵渎。 蹭世界杯热度不说，您好歹再加一些足球元素啊，，，整个啊世界杯姚明好厉害的破梗有意思？？？ 还有配音，，您能稍微认真一点吗？听小头爸爸那沙哑的声音，生气生气表达不出来，煽情煽情没意味，比FROZEN差了一百个无敌破坏王。 再说剧情，，不好意...

                         ( 展开 )",63.0,18.0,17
5,5,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,f9e7ad7b66ee48acd3e214ae5c6726f7,faafd9c5e5501625ec8244f46f809b8e,1.0,2018-10-28 22:55:26,"这篇影评可能有剧透 

                        学校组织的动漫奖影片展览，迟到10分钟进去正好看到大头儿子在鬼哭狼嚎要玩具，作为旁观者的角度我都觉得他都在无理取闹，整部电影是为了主题而主题，从开始就能看出结尾，无非是找回童心，父子俩合力闯关打怪兽。3D的画面但是故事情节称不起来，不是很懂它的逻辑，围裙妈妈为...

                         ( 展开 )",7.0,,0
6,6,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,e6fbe1aea6a548a9c6dc2fdf09c9ff88,f201516dd52085ee39323b2f46f6f602,,2018-07-10 02:05:09,"几年前的上映的《大圣归来》和《大鱼海棠》（虽然这部鱼的剧情有点圣母婊），终于能摆脱熊和羊这么多么年的折磨，国产动画也开始有进步的起色，像《秦时明月》这样的网络动画，也变得越来越多 但是，这部《可怜少妇带脑病父子去俄罗斯旅游半途出幻觉》再次拉低的国产动画得整体...

                         ( 展开 )",17.0,7.0,10
7,7,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,7dcef262a5c4db7eec4ad34a6fe5b79a,9f51076ffcae292e98fa161a4238456f,5.0,2021-05-15 21:33:02,"这篇影评可能有剧透 

                        这是一部真正可以反映儿童世界的电影，与画质与画面还有剧情无关，所有的编剧都是套路，但是故事里的内涵才是这部电影的关键，它反映的就是，童心与孩子的想象力，其实这部电影拍的挺好的，我为什么给五星？第一颗星给想象力，并不是所有的电影都非得要像欧美那样大开大合，也...

                         ( 展开 )",,,1
8,8,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,b9414339134a679fb9da6d7297b364da,9ad20a9967e3f2a0ae6855ddd5533e33,3.0,2020-09-04 11:18:13,"这个电影，剧情没问题，但它有个最致命的问题，也是整个tv版最大的问题，就是说教味太浓。当看到他们去俄罗斯时围裙妈妈说实行积分制，我就无语了，这么浓烈的说教味，现在的孩子真的喜欢看吗？还是旧版本好看。如果孩子不喜欢看，何必再制作新版本呢？ 为什么这部动画比不过蜡...

                         ( 展开 )",,,0
9,9,30198729,新大头儿子和小头爸爸3：俄罗斯奇遇记,14307f8d34c3e64341fa751017ed0042,c2baf70b3080e2d38fbc82ef55c1a12a,5.0,2019-05-20 11:18:16,"这篇影评可能有剧透 

                        我不知道为什么有那么多人对这电影抱有这么大的敌意，你们真的有认真看完吗？ 其实这电影与其说是给孩子看的，不如说是给家长看的。 电影主要是说大头儿子和围裙妈妈还有一个小姑娘，跟着出差的小头爸爸来到俄罗斯，但是爸爸妈妈一路上因为种种原因，不断指责大头儿子捣蛋不听...

                         ( 展开 )",,1.0,0
