,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30209020,粽邪,1723f195c3f060174a93e095b25e92f9,0885ee49498cc84701569515c7912c4b,1.0,2019-05-19 19:57:39,"这篇影评可能有剧透 

                        真的烂，1分给真鬼，但是鬼的皮肤都看的清清楚楚很出戏，给鬼打的光是不是太过了，都能感觉到就是个演员哪里有鬼。鬼的左右眼睛整齐的三条血线，这妆容真心一点不恐怖，还有鬼一定要满脸是糖浆才吓人吗？还有男主，为了说完导演安排的台词，硬是尬演好久，就不能边点火边说，然...

                         ( 展开 )",1.0,4.0,0
1,1,30209020,粽邪,6825b8008d45e0953eb48c0005357285,0473698d88827447f5bb579f448daa45,3.0,2019-03-12 11:30:37,"台湾恐怖片的特点在于能够将本地恐怖的元素集合到恐怖片的类型当中。这一点在红衣小女孩这个系列中做的非常不错。《返校》这个游戏中对于闽南特色神怪文化的应用，也堪称经验。本片也使用了台湾本土的送肉粽仪式作为本地神鬼元素的卖点。但很遗憾的是，送肉粽的仪式，内涵没有...

                         ( 展开 )",9.0,1.0,7
2,2,30209020,粽邪,1365d0b7f21f82b225499b5a10f0255e,4144f677f65d005b9b231cd7686cd37d,1.0,2019-03-09 20:38:34,"１， 恐怖题材，是最契合电影艺术形式的故事题材之一； （另一个是情色片）． 本片对于恐怖故事，缺乏最基本的题材性思考，浪费了一个非常具有传统民俗恐怖意味的故事线索－－送肉粽． 为什么它看起来毫无恐怖素养？ 第一，恐怖造型； 服化道是恐怖片的人物刻画中，最重要的部...

                         ( 展开 )",31.0,13.0,12
3,3,30209020,粽邪,6b0f25f89f7a180a15202213a9264a13,e78eb18c93ca8514cb065b7bddc07d17,4.0,2021-06-11 19:02:52,"这篇影评可能有剧透 

                        是日照常网上冲浪，偶得此有关“跳钟馗”之电影，颇感兴趣，故于Y站观之，其版本为一小时四十五分，与豆瓣时长相异，故情节或完整且无删减； 片中之台湾“跳钟馗”仪式，目的为“压尸”“驱煞”，即将意外死亡之煞送出。该仪式禁忌颇多，需一人饰治鬼之神钟馗，演时人不得呼其...

                         ( 展开 )",1.0,,1
4,4,30209020,粽邪,796939b0d1c68eccfc8b3a143fae7670,941211de417d8c11d065c724b0b0fbf4,2.0,2021-03-31 00:40:20,"这篇影评可能有剧透 

                        有句话叫做：凡事就怕你认真。真的啊，这片子要是随随便便拍也就算了，但这是2018年想好好拍的电影，居然还能这么糙，这就很可怕。 主线就老套了：当年霸凌女，相继被索魂。 第一次出戏是开头做法时，闯进来两个年轻人拍视频，居然没人有意见？ 然后上吊的绳子那么大，如何才能...

                         ( 展开 )",,,0
5,5,30209020,粽邪,59f4fec3533c5c021c3fa940268d2293,b2e7bb2851467b691a34988790972fe2,5.0,2021-02-11 23:13:08,"这篇影评可能有剧透 

                        这是一个爱与传承的故事，片头的小高潮，已经指明了全剧的走向。 女主为什么没颜值又手无缚鸡之力，而且智商一直下线，但她恰是带着天命的人。 钟炎火到失手误杀师父，到颓废，到送煞，到为女主请了椅仔姑护身，到传授她「急急如律令」手势，和布局让她招魂，到在楼梯间跳钟馗...

                         ( 展开 )",,,1
6,6,30209020,粽邪,80d2eaa6d7b2f27866fe71dbd720528d,c78766a358ad2aebd77bbd4057928f87,,2021-01-20 21:49:37,"夏于乔以为我眼神不好了？？？找了一下还好我看的是宋芸桦，不是84年出生的这个夏于小姐，她俩有的照片好像，但仔细一看又不一样，一个是天然可爱校园小姑娘，一个长着长着破了相，对比图片吓够呛！我看的是宋芸桦，不是84年出生的这个小姐，她俩有的照片好像，但仔细一看又不...

                         ( 展开 )",1.0,,0
7,7,30209020,粽邪,bbe9a9030eec73045095db18db537fd9,acc1e7e5f03eb2aa7f49ea84698ee847,,2021-01-03 16:24:51,"这篇影评可能有剧透 

                        中规中矩的恐怖片，看到开头猜得到结尾，连用啥内容意犹未尽给第二部留点机会都猜到了，比大陆的起码还有真鬼，差不多点给两星半吧(ಡωಡ)hiahiahia 就是一个女生受霸凌后自杀成鬼回来报复霸凌者的故事，题材不新，内容也就那样。其实李妍的回信，应该就是女主冒充写的吧...

                         ( 展开 )",,,0
8,8,30209020,粽邪,dc22d9ae9cfb4d0aa74d4e572d3d6da7,b24891983d095e5d3c2edf5e3c996948,5.0,2020-08-19 13:06:17,"整部电影其实无非就是简述了一个绿茶女孩结识了胎记女！                                    然后胎记女是真心和绿茶交朋友，没想到绿茶女一开始还真心交朋友，后面也看上了男猪脚！                                               于是私藏了胎记女要她帮忙转给男猪脚的情书...

                         ( 展开 )",2.0,,7
9,9,30209020,粽邪,acb883bb53964a9e3d6e800f7c146592,6aeb84d138c0373e2901570c290d91b3,3.0,2020-07-26 22:10:20,"《粽邪》 剧情比较老套，恐怖气氛相对复古，主题依旧是“前世的孽缘，今世来偿还”。 影片的中心思想：“吊死鬼”复仇…… 人有“七情六欲”，鬼有“爱恨情仇”。每个悲剧的结尾，都有一个美好的开头。 “人有悲欢离合，月有阴晴圆缺，此事古难全，但愿人长久。” “爱而不得，...

                         ( 展开 )",1.0,,0
