,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30299292,狄仁杰之幽冥道,e01424637c8de3832c977291aa82448b,baa6290caedd847f7763ec3b32cf3610,5,2020-01-28 20:20:07,"“断狱寸心间，千古费详猜。生死决于我，能不谨慎哉！” 这是唐朝名相狄仁杰居官断狱、问理刑名自诫之诗。 狄仁杰（630年－700年），字怀英，并州晋阳（今山西省太原市）人。唐朝（武周）时期宰相，杰出政治家。 出身太原狄氏 ，通过明经举入仕，授汴州判佐，历任并州法曹、大...

                         ( 展开 )",3.0,,0
1,1,30299292,狄仁杰之幽冥道,9f41fcb66f4b161bc6f342f146ebab69,8588a604be7bf30fa2cbfebe3394f2e2,3,2018-10-03 20:06:19,"还不错，不知道是不是香港导演拍的，场景画面、气氛营造颇有徐克的风范，演员演技在线（除了胖跟班和李少侠），特别是狄仁杰，扮相很好，白面长须，稳重老成，很有唐朝官员的气质，比赵又廷还合适。唯二的两个女演员还挺漂亮，比很多网大的女演员好看多了。西域公主就真的找一...

                         ( 展开 )",11.0,2.0,9
2,2,30299292,狄仁杰之幽冥道,cd220be1ba4c6cb80c4fbdc2df890643,47769fdbc0d9d425435587bcca1694b5,2,2018-10-04 21:54:57,"太jb恶心了 剧情什么不算出彩但是还过得去，推理不算严谨但是也能自圆其说，剧情虽然不新颖但是也中规中矩，演员不说演技精湛但是也可圈可点 但是何文辉那个死胖子把这一切都毁了，那么尴尬的台词和人物，导演你就特么不觉得恶心？不觉得尴尬？不觉得想死？如果没这个角色，剧...

                         ( 展开 )",10.0,,5
3,3,30299292,狄仁杰之幽冥道,d12bd5d2c32e3f4d69313d5bc319afc8,6f2de25ee6c0202bdb25f1b4fc64279f,1,2020-02-13 10:15:35,"2分(总10分)。如果不是剧情的垃圾和脑残，这部戏的外景、摄影、人物表演完全是上乘之作。 其实总体可以打4分，但就是不想给它4分，因为最后的剧情太垃圾了，还有太多的漏洞，幼稚的逻辑。编剧只有二十来岁？ 最大败笔是整出僵尸来，这点与《河神》一样，挺好的开头和布局，非要...

                         ( 展开 )",,,0
4,4,30299292,狄仁杰之幽冥道,717dd9bbe86288e6d81386f3a3858aff,5287af72b7ad393623521c1022c9884f,1,2019-09-29 06:48:46,"演员太差了，一口广东话的港式搞笑肥仔，太out了，推理如同弱者，除了杨恭如其他全是翔，这是有史以来第一次看到这么差的烂片，演技和台词严重侮辱智商，这部剧的导演莫非是一头钞票粉碎机吗？拍不好电影没事，可是侮辱观众就太大逆不道了吧！狄仁杰演的跟街边小混混一样，带着...

                         ( 展开 )",,,1
5,5,30299292,狄仁杰之幽冥道,dd012d575e2ad9c7cccae3bf7916ee78,0ea91927c0277d7ddae46833a8ba5260,3,2019-02-19 17:29:22,"这篇影评可能有剧透 

                        凡是能破案的人叫狄仁杰准保没错！骑白马的不一定是王子，那么拿着亢龙锏的当然也不一定是狄仁杰！ 尚对案情知之甚少，这个狄仁杰就敢嫌十日破案之期太久，一句话减到七天，一个狂妄自大的形象立刻被树立了起来！ 见了没几面，更谈不上什么交情，这个狄仁杰就能和一位处处可疑...

                         ( 展开 )",1.0,,0
6,6,30299292,狄仁杰之幽冥道,d1c07ba1c4b75119097a95b04c7c046f,cb06df458e9a72476d2e0b2998647f91,4,2019-01-19 10:30:27,"狄仁杰再去月奴那儿，月奴沙化。狄仁杰回到庙里，是怎么知道去看以前的棺材？过了六个月的虫子就不坚硬无比了？为何不直接吃掉狄仁杰？求助。。咔咔咔。。。。。。数字。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。狄仁杰再去月奴那儿，月奴沙...

                         ( 展开 )",,,0
7,7,30299292,狄仁杰之幽冥道,0c9ae74043778e24e6eec8b56dc1ea8d,a4988ee8b235a847d6c8155cae6054e9,2,2019-01-12 13:33:06,"本来想给三星的，后来想真的给不了，今晚连刷两部狄仁杰IP的电影，可惜看完百度才发祥两部剧都是山寨的，并不是院线上徐克导演的狄仁杰系列电影。先看的《无头神将》根本在新浪微博里根本找不到，看来真的没什么名气，而且那个渣渣特效也真的只能当网剧吧，不过剧情上还算过得...

                         ( 展开 )",1.0,1.0,2
8,8,30299292,狄仁杰之幽冥道,1bdb3f14a17f8a8ea5b1af53fe63d9eb,92340f8199859362af2f38643fea151b,5,2018-10-10 14:39:31,"网络电影里不错的了。感觉比徐克的2,3部狄仁杰好。徐克的第一部不错。2,3 玄幻过头了。这个可以勉强解释的通哈。李少侠后来应该就是 李元芳！阿燕就是 如燕！ 套用了电视剧神探狄仁杰人设。这个梗不错哈哈。 其实电影难拍，短短2小时内要讲个悬疑故事也蛮难的。场面大幼资金不...

                         ( 展开 )",4.0,,2
9,9,30299292,狄仁杰之幽冥道,602358dde3d0115930cfbce2087236f4,2e57c99a6f800adf48e6752e903096f5,1,2018-10-09 08:02:44,"所以说啊，胖子家里肯定有矿，下一集他就是主角了！所以说啊，胖子家里肯定有矿，下一集他就是主角了！所以说啊，胖子家里肯定有矿，下一集他就是主角了！所以说啊，胖子家里肯定有矿，下一集他就是主角了！配角是刘德华、郭富城、张学友、黎明。电影名字叫：幽冥道之狄仁杰PK...

                         ( 展开 )",1.0,1.0,1
