,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30323188,恐龙王,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2.0,2019-02-09 16:59:37,"这篇影评可能有剧透 

                        2018年，冒险喜剧动画电影《恐龙王》 本来以为挺好的，其实败絮其中啊。。。 好几个方面，场景效果挺美的，是不是现场实景？感觉根本不是原始风貌。。恐龙特效不错，但是总感觉有抄袭的嫌疑。。 不知道有多少人看过 韩国的 特暴龙3D。。。2012年的。。 剧情方面感觉根本不适合...

                         ( 展开 )",,,0
1,1,30323188,恐龙王,e47b5e0d006d765439172f95dd43dfd3,6b3524ba7bbef2f12b421db432b6b5f4,1.0,2019-01-12 21:13:47,"能说是仿照韩国电影【特暴龙历险记】这部电影的吗，主人公暴龙爸和他儿子这两个人物都是一样的只不过稍微换了一下名字而已，然剧情是它的后续，【特暴龙历险记】讲的是暴龙爸的成长故事，而这部讲的是他儿子而已，去查了一下【特暴龙历险记】结果不能看了？？？？？表示非常好...

                         ( 展开 )",1.0,,4
2,2,30323188,恐龙王,4af1be057b34a216bf1769063035589e,372ae6a9fc4e031b8bc34bf8b0d39efb,4.0,2019-01-12 19:30:02,"那些打一星两星的不知道怎么想的？要么就没孩子的，要么就是影黑。首先国产特效已经非常进步。有别于迪士尼的风格，是动画结合实景的，很逼真，细节很好，恐龙发怒的时候身上还会变色。情节就是父亲找孩子的故事。值得一提的是配音，有别于译制片的套路。因为可以配国语口型。...

                         ( 展开 )",,4.0,3
3,3,30323188,恐龙王,624c7a574e7c5dc1bd6df0670940fa1c,55760c9103b7f75cce9f9ed8800f77bd,2.0,2018-11-20 12:19:12,"这篇影评可能有剧透 

                        周末和女友带侄子去看的，据说是打着温情和搞笑的牌子。女友想看毒液，奈何不住我侄子，俩大人一小孩占了全场，偌大的电影院里面只有我们三人。 温情是父爱和友情，至于搞笑，除了八百度的出场是方言之外也没什么搞笑的了。 这是小孩看的电影，深度方面自不用说了，3D效果还是...

                         ( 展开 )",,,0
4,4,30323188,恐龙王,d9d04bbad46f123038b823239158d1fa,d9d04bbad46f123038b823239158d1fa,1.0,2018-11-18 00:56:04,"这篇影评可能有剧透 

                        今天带木木去看《恐龙王》。开始犹豫了半天，不确定内容是否合适4岁半小孩。看了评论说到父子温情什么的，就去了。结果这个电影，情节无聊，不合逻辑，对话尴尬，最关键是充满暴力恐怖，根本不适合小孩子看。 我不是说给孩子的电影里就不能出现打斗或者吓人的场景。好的面向儿...

                         ( 展开 )",21.0,7.0,74
5,5,30323188,恐龙王,d6cc465ba523781ebc0514196bbc54f6,a6803ae7cb9763f44281be1e1e758b19,2.0,2018-11-18 10:49:21,"周末公司出了点乱子，原定的项目进度因为几个关键功能未实现，整个项目节点后移，非常之闹心。下午带孩子去学英语，中间一直电话不断，心中无比急躁。妻发微信说有个恐龙王的电影看起来还不错，我粗略的瞄了一眼，是恐龙题材，儿子对恐龙算是比较着迷的，就去看了。 电影一开始...

                         ( 展开 )",2.0,1.0,1
6,6,30323188,恐龙王,1eefee031b65d19b7557ec228e8d1412,cbb3a939a1ce7eff460a85aa5a530d3c,,2020-04-02 16:57:08,"这部电影讲的是一只大恐龙和一只小恐龙，它们是一对父子。有一天，小恐龙被三只大恐龙捉走了，小恐龙的爸爸穷追不舍，一不小心，摔了一跤，等它站起来时，那三条大恐龙已经不见了。这时天又下起了大雨，恐龙爸爸只好回家了。第二天早上，恐龙爸爸又来继续找它的儿子。这时，又...

                         ( 展开 )",,,0
7,7,30323188,恐龙王,d55ef8904712cb63143ed9f1554c184c,a6b00d55de530e656525c05dcc877dd8,4.0,2019-11-22 09:06:24,"这篇影评可能有剧透 

                        这个电影是我和老公跟儿子一起看得。 那天在电视上找影片看，我刚唤了“海信小聚”，儿子立即喊了“恐龙”，结果就为我们搜索出了一个电影《恐龙王》，儿子特别想看恐龙，我和老公就打开了。没想到，看了一会儿，我自己也挺入迷的。 《恐龙王》讲的是发生在白垩纪晚期中国大陆...

                         ( 展开 )",,,0
8,8,30323188,恐龙王,1230b4ae399c8a4b6ea13b25dc6215d7,8e8a1c9a2fb4c11558a74174da371b2d,5.0,2018-11-10 17:51:47,"周末没有安排，就去看了《恐龙王》 带着小孩子只能看合家欢电影，选来选去最终决定看恐龙。这部打着“中国最逼真的恐龙电影”旗号电影，还是略微吸引了我，毕竟中国的怪兽啊，巨兽啊真的做的不咋地，也从来没有做出一个侏罗纪电影来。 我相信这就是为什么外国的霸王龙名声在外...

                         ( 展开 )",2.0,4.0,1
9,9,30323188,恐龙王,c6891089991577eb3d0806d97577df24,2ac45426fe30662e1aeccb55d1a177e6,5.0,2018-11-10 19:24:07,"挺欢乐的一个电影，制作很良心了，虽然恐龙走的写实风格，但是小恐龙迷之可爱，剧情不复杂，主要是照顾小朋友观看，但是很完整。恐龙父子之间的关系设定很“中国”，相信大多数中国人都有这么一个爸爸，在你面前似乎从来没有好话。电影里的恐龙爸爸历尽千辛万苦，终于找到自己...

                         ( 展开 )",,5.0,2
10,10,30323188,恐龙王,387050abb6037822976eb2f9bd158a68,faf09c66602efeceb04c9275bce5cc0a,4.0,2018-11-10 17:52:13,"“美好的亲子周末去看大恐龙，孩子们会很喜欢！”这是刚看完《恐龙王》动画电影的感受。整体来说剧情简单，从孩子的角度去理解也不难，看到恐龙男孩子就开始激动开始兴奋的叫着，果然恐龙题材的片子大小通吃。整部片子场景细节很考究，据说为还原白垩纪的生存环境，去中国各地...

                         ( 展开 )",1.0,4.0,1
11,11,30323188,恐龙王,ddd48bdfce8da42c9abf60e6e7506f63,0fd8584d4fd277b46ad97d9530478acb,4.0,2018-11-10 15:23:43,"刚刚看了《恐龙王》，说实话，看完以后我觉得这部影片不管是从内容上还是从画面上都值得一看。 以前看的关于恐龙的电影都是类似侏罗纪世界和侏罗纪公园这种的，看的时候很爽，但是基本看完以后就忘了讲的什么内容……而恐龙王相反，它可能不会有全程那么刺激的打斗场面，但是却...

                         ( 展开 )",3.0,6.0,9
12,12,30323188,恐龙王,35738628f3ff25c01c78ce90c9989fa4,2f14a3a1f7a17f6999101b6004c8e62c,5.0,2018-11-10 18:01:38,"长久以来，动画市场一直是欧美系、日系作品占据主流，拿厉年来说《疯狂动物城》、《coco》、《功夫熊猫》等轮番坐庄席卷大银幕，国产动画也不断推陈出新，今年陆续上映了《风语咒》、《大头儿子小头爸爸》等佳作。 说起来，国产动画的设计、包装和情节并不差，欠缺的是市场和观...

                         ( 展开 )",1.0,5.0,3
