,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30335799,城市猎人,938ddf892a74c1780662ea62a258d206,ae787fa9d00c75125a3e64752c414403,4.0,2019-08-05 07:10:51,"北条司非常喜欢法国版，对成龙版也能接受，绝口不提李敏镐版

原文出处：日本电影资讯网站“映画.COM""
整个2019年，一共有两部根据北条司漫画《城市猎人》改编的电影公映，一部是日本原班人马制作的剧场版动画《城市猎人：新宿的私人之眼》，另一部是由法国著名忠实粉丝喜剧演员菲利普.拉肖自编自导自演的大制作（1850万欧元）粉丝向 动作喜剧真人电影《城市猎人：丘比特香水》。后者冲刺100万观众人数的时间比《新宿的私人之眼》还快些（法国人口不到日本一半），虽然其发行方索尼影业不知如何给男性部位打码 未能排定日本档期，但消息很快就传播到日本网民之中。日本电影网站""映画.COM""日前对原著作者北条司进行了专访。现由笔者翻译如下：
——被法国拍成真人电影的经过，能讲一下吗？
我是接到电影公司方面的联络，才知道拉肖导演想把《城市猎人》拍成电影的。这样的邀约，美国和日本的电影公司都发了很多，每次都要求“请把故事大纲拿来”，这次也一样。
这次与企划书一起送来的，还有一封拉肖导演写给我的亲笔信，那封亲笔信充满了对原作的爱与热诚。说实在的，我没怎么碰到过这样的（带着对原作的爱发来请求）的事情。我一直在想，如果真的要把漫画搬上银幕，应该交给那种有着强烈的“包在我身上！”意愿的人。尽管漫画改编的真人电影中，偏离原作精神的情况并不少见，但我认为那种状况应该得到控制。（注：从拉肖导演与北条司接触，到北条司审定通过整个剧本，历时约一年半时间）
当我读到故事大纲的时候，意外发现有很多盲点。“原来是用了这样的手法，来制造冴羽獠自己的危机！不是那种动作性的危机，而是让主人公遭遇危机，因而带出很多笑点。”“连我都没想到（居然可以这么发挥），让他们放手干吧！于是就同意让他们拍了。”
——法国是《城市猎人》在全世界最有人气的地方，如今被法国拍成真人电影，您作何感想？
说句老实话：我的感觉是“终于等到这一天了！” 我之前一直在想，怎么还没有接到来自法国电影界的改编邀约呢？而且还是《临时保姆2》的导演兼主演亲自操刀，他的每部作品的作风都豪放生猛，剧本精心设计且趣味横生，是因才华横溢而备受欧洲影坛注目的导演呢。

——看过整部影片之后，您感觉如何？
我非常放松地开怀大笑、很享受也很开心。说白一点，现在看好莱坞大片我都想睡觉——惊险场面营造得太夸张了：让人忍不住吐槽“正常情况下人都该死翘翘了吧”“果然是虚构啊”这种地方特别多。这片子就不走美国人这条路子，反而在喜剧片的语境中营造出一种“艺术真实”。虽然也有夸张的场面出现，但很快就变成笑点。而且搞笑要素实在是非常密集。此外还有法国独有的“原来那个部位也可以露出来”的尺度——这个表现尺度不知道日本的女观众能不能接受（笑）。虽然不是什么诱惑女性的男色福利，但法国那边可没什么PG概念，也不会给特定部位打上马赛克，日本上映时肯定是要打马赛克的。
——在公布人物造型之后，法国版电影在日本这边也掀起了话题。能跟我们讲讲，人物塑造搞得怎么样？
海坊主这个角色真是一模一样，的确是栩栩如生。饰演海坊主的那位先生是格斗选手出身，台词非常少，这一点或许反而使他更像海坊主了。还有阿香这个角色。我喜欢的电影往往是这样的：女主角一开始没有刻意展现什么魅力，随着故事发展，越来越展现身上的光彩。这部电影就是这样，女主角随着行动和表情的一一展现，变得越来越可爱。
——北条先生在筹备阶段提过什么要求吗？
基本上没特意提什么要求，只是，最后的场景有些地方与冴羽獠的本来性格不符，经过我指出之后，拉肖导演也认为“确实如此”，立即对有问题的地方进行了修改和打磨。还有在起草剧本的时候，我提出过：要掌握好分寸，不要让女观众有嫌恶感。
——对将漫画拍成电影一事，北条先生怎么看？
有很多不顾漫画和电影两种艺术的本质区别而一味生搬硬套的作品，有些在漫画里成立的东西到了真人电影里就必须换个手法，如果不经过精心设计，就会破坏影片的情境。懂得这一点的制作者绝不会这么干。还有，在各种相关人等的小算盘之下，很容易就会将“原作精华”“原著读者想看到的东西”弃之不顾的情况。换而言之，如果不交给“我发自内心想拍”的人来负责，很容易拍糟了。
（译者注：韩国电视剧版《城市猎人》就是相关人等打小算盘打太多的典型例子，既想迎合韩国大妈为主的电视观众口味，又想全面打开日本市场——日本购买韩剧出价远高于华语区，还想着尽量收窄尺度以符合韩国无线电视台的相关规定，最后在韩国播出中途就口碑下降，在最大目标市场日本只在地方台下午四点垃圾时段和小众收费台各播一遍。）
——漫画有漫画的表现，搬上银幕就必须调整？
迄今为止，所有来谈《城市猎人》电影改编权的人都跟我夸口：“阿香的一百吨重大锤子必然在正片中出现。”而我往往说：“不，不这么拍也行”。漫画和动画里，百吨大锤子是个重要道具，现实生活中根本没人能挥动百吨大锤子。如果不把它安排在幻想和梦境世界，就会导致观众出戏，我是很讨厌出现这种结果的。
——对1993年问世的成龙主演版电影《城市猎人》，您怎么看？
当年我接到了香港嘉禾电影公司的邀约，在嘉禾邀约之前，我拒绝了其他所有拍摄真人版的邀约。当时《城市猎人》的正规连载已经结束，我把嘉禾版电影看作是“就当是献给粉丝的最后服务”。我当时还想：“如果是成龙主演，即使不忠于原著，作为成龙动作片也会很好看吧”，于是就同意了。最终拍出来的效果，果然和我预期的一样，是有着成龙式动作片呢（笑）。
——那版电影里可有着成龙穿成春丽的模样打架的雷人场景呢！
当时真是吓了一跳，不过当时中国人是那么看待ACG的，从别的意味来讲倒是很有趣。虽然不能当成《城市猎人》的改编作品来看，但是拍出来的效果单纯有趣。在电影公司试映室跟助手一起看的时候，我们笑得抱腹绝倒。当年嘉禾公司给我们看了故事大纲，但也告诉我们：最后的成片必然有大幅改动——这似乎是因为：当时中国（香港）电影圈竞争激烈，各大电影公司互相打探创意，尤其是剧本这一块，一旦把完成剧本交给原作者看了，可能在中间环节就会被窃密，然后被其他公司恶意抢拍，所以开拍前没有完整剧本是家常便饭。（译者注：香港电影界乃至电视界一大陋习——“飞纸仔”：开拍前没有完整剧本，对白内容开工当天赶工写好，以字条形式交给演员。）
——最后，为了创造跨越国境和时代而受人喜爱的作品，北条司先生有什么心得吗？
在我们那个年代，漫画是被视为通俗快消品读物的，也就是在那个时代流行的、符合那个时代的、给那个时代的读者阅读的东西。我和编辑部都是那么想的。谁都没想过“描绘一部足以长久流传的作品”。但是，为什么现在还有人读它呢？魅力在哪呢？我还想向你请教呢（笑）。
常有人说：“请您再画一篇作品吧，哪怕短篇也好”。坦白讲，我已经画不来了。《城市猎人》是那个时代特有的热量和青春活力共同孕育的东西。现在重读，我会意识到“这不是六十岁老头子能画得出来的东西”。我想，《城市猎人》的成功，也许是我在其中倾注了只属于那个瞬间的东西吧。


附注1：城市猎人 动画/漫画/电影 中法译名对照表
（粗体的部分是电影登场的人物名称，中文译名以台湾东立正版为准）

法语：Nicky Larson 中文：冴羽獠

法语：Laura Marconi 中文：槇村香

法语：Tony Marconi 中文：槇村秀幸

法语：Mammouth （直译：猛犸象）中文：海坊主

法语：Hélène Lamberti 中文：野上冴子

法语：Raquel Lamberti 中文：野上丽香

法语：Gants noirs （直译：黑手）中文：将军

法语：Miki 中文：美树

法语：le cartel Union Teope（直译：Teope帮）中文：乐生会（这一个倒是台湾版改名了，法文版反而是从日文直译了，香港玉皇朝版则是音译”优尼安-特奥贝“）

法语：Christopher 中文：御国真司 （剧场版动画《城市猎人：新宿Private Eyes》新登场人物，法语版中由菲利普拉肖配音，日文版是山寺宏一配音）

附注2：本片涉及的各种情怀梗一览表（现在网上的抢快版字幕，由于翻译匆促丢了很多梗；还有一个由在下经手的修订版字幕，点出了很多梗，但碍于篇幅，注释较为简略）

开篇第一个登场人物”莫科里先生“，其名字就是一个《城市猎人》日文原著漫画读者才懂的梗————“莫科里”是冴羽獠的外号“モッコリ（勃起）” 的音译。

冴羽獠的公寓里挂着一幅画，画上是一个骑士正在划船，船上用法语写着“十二宫骑士”，这里是拿《圣斗士星矢》的法国官方译名《十二宫的骑士们》玩梗。

冴羽獠想起他参加过Jeanne和Serge的婚礼——其实就是日本动画《胜利女排》女主角叶月优和白马王子立树爽的婚礼。。。。。

在球场，配角潘丘遇到两个小男孩，一个叫Olive，一个叫Tom。如果要让中国观众领略其中的奥妙，应该翻译成大空翼和若林源三（高桥阳一《足球小将》，齐达内的最爱漫画）。冴羽獠在球场开枪时，给了子弹底部一个特写，子弹上刻着原名“CITY HUNTER”。

冴羽獠找野上冴子寻求帮助以及阿香第一次拿起锤子锤人那几分钟戏码里，墙上的电视画面，尤其是电视画面最下方的字幕玩梗更加疯狂，程度几乎直追日本动画《pop子和pipi美的日常》。第一行字幕是“眼镜蛇扯断兽医的手臂”是拿寺泽武一的《眼镜蛇》开搞。然后市长“莫科里”肿着脸出来的造型，以及下方的字幕“市长先生刚刚视察了一应高校（fou fou college）”，是恶搞日本漫画《高校奇面组》。 然后还有字幕“一刻公寓爆发梅毒，只有健次郎一人生还”——高桥留美子《相聚一刻》和原哲夫武论尊《北斗神拳》的法国粉丝估计笑到趴地了。接着又提了一下Olive Atton（大空翼），好像是说他搞赛车去了。最后以“小不点驱回边境”，影射了一下美日合作动画《小不点》（央视曾于1986年播出）。

导演看来很喜欢高桥留美子作品，在冴羽獠与秀幸见面那场戏里，冴羽獠跟一个女孩搭讪，那个女孩叫“Ranma”，其实就是“乱马”。

《龙珠》在法国也是风靡一时，导演怎能放过。在影片前段，主角们询问建筑物的时候，路人回答时提到了“C17”。在影片后段，全世界观众通过手机围观直现场的时候，龟仙人老爷爷居然也在拿着手机看直播。

二十世纪八九十年代，法国电视一台的“多萝西俱乐部”栏目中播出了大量日本和美国动画、情景喜剧。主持人多萝西在法国少年观众中的人气比起鞠萍姐姐有过之无不及。多萝西女士在电影里客串了一个被香水诱惑的机场售票地勤，特写镜头一大堆。

内衣秀上出现的大牌明星杰西卡福克斯，其饰演者帕梅拉安德森本身就是一个梗：她凭借着傲人的身材和一对假胸，通过美剧《BAYWATCH》大红大紫，成为一九九零年代欧美青少年心中的肉弹女神。国内地方电视台曾经播出过《BAYWATCH》前两季的辽艺配音版，当时的译名是《海魂》，而凤凰卫视同期播出过台湾配音版，译名是《护滩使者》。

在晚宴上，阿香遇见了活动安排者聘请的”时尚警探“，要拉她去测谎，”时尚警探“的装束来自美国动画片《神探加杰特》。

片中出现了动画片的日版歌曲和法版歌曲，日版歌曲是插曲《FOOTSTEPS》和片尾曲《GET WILD》，法国版歌曲是法国版OP。法版OP唱了两次，第一次是舞会上改了歌词的慢版，第二次是片尾接着《GET WILD》响起的原装版。",143.0,,33
1,1,30335799,城市猎人,27bc3864ac71008e3e068af4a8805c0e,0f7ab7451153899870b432240cc665ae,4.0,2019-07-24 02:04:17,如果看过北条司的原作 会发现这部片子虽然是法国人拍的 但是无论相貌 风格 都神还原了漫画的样子 而且和法国的喜剧套路融合得非常不错 而且相当自然 完全可以当作致敬北条司的大作了 还原到什么程度呢 连头顶飞过的乌鸦都还原了   唯一让我耿耿于怀的是 演员虽然相貌发型着装都符合漫画的样子 但是。。。男女主角年龄也太大了！！！ 感觉再老的戏骨也弥补不过来啊 阿香脸上的法令纹可以夹苍蝇了 一些镜头都有脸上白粉掉落的感觉  。。。。。。。 这部片不管是不是城市猎人粉 都完全可看 娱乐性极佳 桥段笑料不断 而且生冷不忌 不可描述的部位也直接展现   这鸭子武器是致敬反斗神鹰么  主角爱上了男人 但是 21厘米。。。什么鬼  反派丢出去的手榴弹被自己的爱犬捡回来了  总之 充满了密集的笑料,28.0,2.0,14
2,2,30335799,城市猎人,938ddf892a74c1780662ea62a258d206,ae787fa9d00c75125a3e64752c414403,4.0,2019-04-10 09:50:53,"正文编译自：日本电影资讯网站""映画.COM""附设的巴黎专栏 原文地址:https://eiga.com/news/20190302/6/


根据北条司的人气漫画《城市猎人》改编的法国真人电影《城市猎人之丘比特香水》，不仅在法国引发话题、也在日本引起了议论。一般来讲日本漫画在法国有很多粉丝。《城市猎人》的动画版在1990年代播出，当时起就有很多狂热粉丝。这次法国真人版的导演兼主演：1980年出生的人气喜剧演员：菲利普拉肖也是其中一员。拉肖把故事梗概、企划书、亲笔信寄给了北条司的事务所。北条司对故事梗概进行了肯定，此后拉肖拿着写好的剧本访问日本，从北条司那里拿到了电影化的授权。

电影于2月6日在法国公映，2周内观众人数突破了100万人次。（最新剧场版动画《城市猎人之新宿Private Eyes》在日本国内的观众人数花了43天才突破100万人次）。这次真人版电影大受欢迎的理由包括：包括荤段子在内极力忠实于北条司原作，动作戏和喜剧成分的融合比较充分。还有“笑点实在够密集”“拉肖本人诠释喜剧段落时很合适”“比当年王晶执导成龙主演的那版电影更有北条司漫画原作的味道”等评价。拉肖自己也这样表示：“首先是极力忠实于原作的作风，在此之上，将此片定位于《城市猎人》的世界观与自己的幽默有机结合的动作喜剧并加以贯彻。因为是现代拍的电影，因此参考了《王牌特工》等风格较为现代的动作喜剧片。”

日本记者在法国实际入场观影后，发现原作中满脑子工口妄想的主人公形象在电影中得到了完全复刻。笑料中也有不少荤段子（久违银幕的肉弹女郎帕梅拉安德森华丽出场），这一大胆的作风令记者感叹：“不愧是法国电影”。记者在电影院里看到的主要观众均为20多岁到30多岁的成年人。由于没有年龄限制，记者也看到有家庭观众入场观影，不仅担心“这片子对小学生来讲刺激性有点强。”

此外，记者意外地发现配角阵容中充满实力派演员：在《郁金香芳芳》中饰演路易十五的迪迪埃-布尔东、《放牛班的春天》男一号饰演者热拉尔朱诺。而冴羽獠的搭档槙村秀幸一角由人称“阿兰德龙再世”的拉斐尔·佩尔索纳饰演。

北条司在接受当地记者采访时表示：“在看过菲利普拉肖自导自演的《临时保姆2》之后，开始期待拉肖拍出来的真人版会是怎样，当时也有点不安，但读过剧本后就放心了。因为很有意思，所以请大家保持对电影的期待。”

在媒体评价方面，《电影手册》和《解放报》影评专栏这种面向高雅艺术影迷的评论没有对本片进行评价。大众媒体的评价并不差。通俗文化类周刊《电视全览》这样评价本片：“本片的优点在于扎实的动作戏和纯情的爱情故事”。本片的商业业绩会拓展到怎样的地步，日本记者表示期待。

译者注： 1.本片国际发行商兼投资人索尼影业表示打算于2019年内在日本国内公映此片。而威望影业公司将安排本片于5月24日在台澎金马地区上映。经过台湾网友投票，威望影业决定在正式上映版的中文字幕中，将男女主角仍然翻译成早年盗版漫画常用的译名“孟波”“阿香”“海怪”，而非后来东立正版漫画采用的日本名字，连宣传口号都是“色胆鲍天，孟波再现”。 2.法版电影的续集计划已经提上议事日程，菲利普拉肖在法国本土推介时提到了部分构思——比如和《猫眼三姐妹》来个CROSS OVER什么的。 3.本片不仅有《城市猎人》的梗，还有其他日本漫画作品的彩蛋，如《乱马1/2（Ramma 1/2）》、《圣斗士星矢(Knights of zodiac)》、《北斗神拳（Ken the survivor）》、《足球小将（Captain Tsubasa）》",42.0,2.0,14
3,3,30335799,城市猎人,80588c332e673334a059506b04147071,4c2a904bafba06591225113ad17b5cec,4.0,2019-07-28 12:25:02,这是一部百分百的粉丝电影，据说电影主演也是粉丝，为此还特地前往日本（即使要获得授权也要去接触的吧），获得北条司了赞许云云…… 作为城市猎人的粉丝，我觉得电影是成功的。  法国人对漫画充分本土化的创作背后，是用心还原地人设、经典场景（情节）、恰到好处的引入日本动画版的配乐，就有了这么一部目前最“完美”的作品。之所以打了引号，是因为看着一副外国人面孔，讲着法语的冴羽獠（尼基拉森）和槙村香（劳拉），内心还是经常出戏的……然而电影的神奇之处就是通过充分还原漫画原作场景、道具、人设（发型、服装、小动作），即使有出戏感，仍然让人觉得“这就是城市猎人真人电影！” 要说美中不足，就是演员选角，法语对白，法国文化背景带来的“违和感”了。 抛开漫画方面的元素，电影在动作设计，剧情设计，剪辑，配乐上还是中规中矩的，讲了一个荒诞但完整且能自圆其说的故事，表现了法国人对香水的情结，充分秀一把法式幽默。 电影中出现了漫画中的五个角色：海坊主（猛犸象），野上冴子（海伦），槙村秀幸（托尼），槙村香（劳拉），冴羽獠（拉森）。 海坊主应该是最完美还原漫画角色的，毕竟黑人壮男还是很好找的，戴个墨镜还不用怎么说对白，真是随便找个路人都能演啊，最后扛着火箭筒（如果找个RPG-7系列更完美）的造型也算是经典了。 野上冴子性感有余杀气不足，没给角色表现的机会，完全就是凑数的。 槙村秀幸雨中托孤一幕，特地用了慢动作，气氛完美。 电影开始……冴羽獠与海坊主在医院中大战一场（有儿童不宜镜头），接着转到槙村香在火车站的留言板拍下写着XYZ留言信息，回到闹市中的红色小楼……红色宝马MINI车……满满的情怀啊……遗憾的是卡通感过于强烈的“大锤”只出现在一幕想象的场景中。 电影不仅仅依仗还原漫画来吸引眼球，其实如果按“完美还原”来说，与原著（漫画、动画）还是有着些少差异的，但是胜在通过尽量还原加上用心演绎，达到了“神似”的效果，加上精心设计效果不错的动作场面（部分还原漫画场景）、老朋友“乌鸦”、子弹底部的“CityHunter”印记、“六发子弹打中同一个地方”的伏笔、小狗捡球的伏笔、“帽子”伏笔等等，使电影丰满起来，用心造就了这部漫画改编电影。 最后，外国人显老的效果在高清细节下放大了十倍啊。。。。。。。。。要是两主角的皮肤能是10年前的状态就好了。,6.0,2.0,1
4,4,30335799,城市猎人,e97f0f1ca728759b3e91aec647d72dee,b608923def1154cdec8084361bfbd574,5.0,2019-07-28 00:58:44,【城市猎人2019】应该是未删减版吧，对比成龙的法国更偏向成人化，看之前百度了一下原著，还原的很到位，梦波玩世不恭爱耍酷好色做事又认真的样子 ，真应该多出几部凡人英雄的电影，漫威Dc已经审美疲劳了，英雄不一定要正义凛然，还没动手看表情就知道拯救世界来了，服装造型化妆配乐非常出色，能让你笑出眼泪的城市猎人，视觉观赏很好，唯美，卡通漫画风的分割线，第一人称，笑点太多，从头到尾都没停过，打戏也很酷，导演兼主演是个鬼才，这是我看过唯一一部从头笑到尾的法国电影,8.0,4.0,5
5,5,30335799,城市猎人,75f2d534801b6f8e88d9838286c4cfd0,a44a5f1d94a694984a5009ec7233802d,4.0,2019-07-30 09:19:21,"八零后的回忆里，有位漫画家不可遗忘 —— 北条司 
 他的作品里有[猫眼三姐妹]这样引发青春冲动的经典，每次看到身材火辣的三姐妹都会羞涩…    而北条司最经典的还是爆笑侠探系列 ——                                                                           [城市猎人]    主角阿良身手盖世、做派潇洒，行动起来简直就是东方的007特工，看似英雄人物的他却又打破人设… 关键时刻却显露出贪恋美色的反差人格！
 英雄本色，或许如此吧… 北条司用“成人”的风格，刻画了英勇又无厘头的角色。 最近这位接地气的英雄又被拍成了电影 ——                                                            城市丽人：邱比特香水                                                                   Nicky Larson    尼基·拉尔森，知名的私家侦探。 干私活谋生的他，办事得心应手，生活潇洒自如… 这全靠他放松的心态。    同样扛着长枪傍身… 别人拿枪打人，而他却用瞄准镜摸鱼 —— 偷瞄对面健身房美女乳摇！  





  劳拉，是尼基身边的经纪人。 她的哥哥曾是尼基的搭档，哥哥死后她便与尼基相依为命并成为了经纪人管理着尼基的生活… 表面上劳拉像个男人婆！ 但心思细腻的她早就开始暗恋浪子尼基了。    虽然[城市猎人]原作是日漫… 但到了法国电影里，自然要搞出点浪漫的元素！ 法国版[城市猎人]尼基和劳拉为了一瓶香水展开行动，经历了接连不断、笑到喷饭的冒险…    首先这瓶丘比特香水可了不得… 轻轻喷一喷，闻到的人便会瞬间爱上你！ 尼基不信邪尝试香水味，结果爱上了眼前的胖男人，不知不觉间就已经开始上手了… 那画面太美，连他自己都不敢看。  





  这哪是香水？ 明明是披着香水外衣的生化武器！ 于是围绕这瓶香水的失窃，几路人马展开了争夺…
   这已经不是[城市猎人]首次影视化了 ——
 在1993年，王晶和成龙搭档翻拍了[城市猎人]，云集了王祖贤、邱淑贞、黎明等经典港片班底… 爆笑的无厘头风格，是童年的经典回忆！    2011年，韩国拍摄了剧版[城市猎人]
 以李敏镐和朴敏英领衔，变成了韩国偶像剧的风格…    而去年，黄晓明宣布将主演国产版[城市猎人]…
 虽然片方亲自从北条司那里买下了IP改编权，但这么久仍然不见作品，不由得令人担心啊！ （拍不出来也挺好，至少不会毁了）    中国版没出现，法国版倒是先行一步… 作为经典漫画IP的改编，法国版[城市猎人]在完成度上绝对是高水准，从细节到风格都完美承袭漫画。 就连男女感情线都留下好几处细腻描写！    如今这个“喜剧不好笑”的时代，笑料成了挑战… 但是法国版[城市猎人]不仅喜剧效果十足，几乎每秒都有爆笑桥段，而且情怀浓厚到铁粉落泪！    尽管苛刻的豆瓣网友只给出7.1分。 但评论区却是大型“哈哈哈”现场，连差评都在笑…    或许你会诧异角色重新投胎，换了人种。 但先别急着拒绝… 因为这部法国版[城市猎人]比想象中要好的多！ 先说人设的细节 —— 阿良的西装外套，阿香的标志短发都被移植！ 尽管法国版尼基和劳拉看起来都上了年纪，但好在人物标志性记号如发型、穿着、行径都完整保留。    更关键是两位冤家的互动也精准复刻… 生活里的劳拉像个管家婆，经常对尼基大打出手。 此处经典的100t大锤登场！  





  而尼基聪明又搞怪，捉弄起劳拉也是无所不用其极… 两人之间的“冤家斗法”依旧恨爱交加！  





  除了主角之外，配角也是严肃又戏谑的风格。 恶人们狠起来够猛烈…    而美人们秀起身材来，也是够喷鼻血的！  





  接着是喜剧风格 —— 众多翻拍的[城市猎人]中最经典的代表作莫过于成龙、王祖贤、邱淑贞主演的1993年港版。 成龙用他的“动作喜剧”类型消化了漫画风格…    追逐戏、枪战戏、感情戏… 都随着边打斗、边搞笑的节奏一步步推进剧情。 尤其是那出“街霸变装”桥段堪称经典！  





  或许是经典难以超越… 法国版[城市猎人]吸收了很多成龙动作喜剧的风格！ 开篇第一场，尼基和对手冲到医院手术室。 两人为了夺枪围着被麻醉晕的病人周旋，这把手枪落下的微妙位置比手动打码都精准！  





  动作戏的间隙，也见缝插针的频出笑料… 关键时刻尼基还有心思撩护士！    借鉴成龙的动作喜剧之外，法国版也有新段子 —— 当尼基被黑道劫持时画面进入“第一视角”模式。 观众从旁观变成亲历，画风就像是真人绝地求生，这场打戏也成为全片的亮点…    追逐戏中还融入时下的网络直播。
 没想到网民的弹幕发言，也意外成为喜剧片的笑料！    凡是经典IP的改编，面临的最大问题就是 —— 还原or打破？ 还原作品，意味着讨好粉丝。 但对于普通影迷来说，观看起来多少有些门槛… 打破原作，虽然摆脱了门槛。 不仅粉丝吐槽，少了原作衣钵也难以维系口碑！    很显然… 法国版[城市猎人]最终选择了回归原作。 主演菲利普·拉肖也是本片的导演和编剧，毋庸置疑，他也是彻头彻尾的北条司铁粉一枚… 他为了还原角色，金发的他还染了黑发！    造型、人设、剧情、配乐浑然天成复古而嬉闹… 还有经典如“乌鸦叫”的日漫细节！ 只有真粉丝才能如此有心，也如此大胆。 （尴尬的乌鸦从背后飞过）  





  对于年轻一代来说[城市猎人]或许陌生。 但对于八零九零后来说… 看着经典再次登上银幕，必须带着仪式感刷一遍！ 北条司的[城市猎人]和成龙的动作喜剧，在如今的漫画和电影市场里已经不再是主流… 更残酷些，这种题材风格早已过时。  





  但复古到极致说不准就是一种新的流行呢？ 就像北条司的[猫眼三姐妹]… 换上字幕，摇身一变，她们成了流行的渣女表情包！ 有毒鸡汤一碗碗的…    不同的时代，会赋予经典不同的魅力… 这或许就是经典所在吧！",33.0,2.0,6
6,6,30335799,城市猎人,4da4b71f4e224e88e92b9b95d7a960b9,3a6e55e85d4fab38ed0e2b35ade4759f,5.0,2021-05-29 07:36:22,"看了三部真人版的城市猎人，成龙的《城市猎人》，周文健的《孟波》，还有这部法国版的，后者无疑是最还原的，可能也是日漫真人版最好的。

成龙版的和原著关系不大，改编的很任性，不把它当做城市猎人电影也没有问题。按满分十分来说，这一版的还原度只有1分。

周文健版的看过的人很少，但造型还是比较还原的，标配蓝夹克红背心都有，周文健身高和体型也很还原，人物性格也和漫画里的一样好色洒脱却从不糊涂，除了长得不够帅其他都很好。这一版本除了阿香连海怪也整出来了，造型比较还原，也扛了火箭筒，身高够了但不够壮。令人惊喜的是叶芳华饰演的芽子，御姐气场强大十分符合漫画设定，也是我认为三个版本最完美的芽子。可惜周文健版的可能投资太少，动作戏十分勉强，表演风格很漫画但不够搞笑。这版还原度有6分。

法国版的很完美的还原了漫画，至于漫画里有没有一个香水案件倒是不大记得了。首先人物形象很还原，寒羽良，阿香，阿香的哥哥，海怪，芽子这五个角色都很接近漫画，并没有因为是欧洲演员而产生违和感。缺点是阿香的演员不大好看而且有些瘦，这个演员不适合短发。其次一些场景和桥段也得到了完美还原，像阿良屋子里的色情书刊和偷来的内衣，口袋里的内衣，阿香的锤子，海怪的火箭筒，告示牌上的XYZ甚至连漫画里的乌鸦都出现了。电影里还用了一个慢镜-打出的子弹穿过人群击中目标来表现阿良的枪法准，和漫画里如出一辙，城市猎人的枪法好并不是简单的指哪打哪，而是能越过重重障碍在市区里穿越一条街打中敌人。漫画里经典的在美女双腿间开枪也得到了展现。男主对阿良的性格演绎的也非常到位，平时嬉笑怒骂四处揩油，办正事时绝不含糊，有危险绝对一个人扛。另外，在57分多的时候，龟仙人还客串了一下，非常惊喜。法国版还原度有9.5分，不止还原度高电影也很好看，非常优秀的喜剧动作片。

韩国电视剧版没有看过因此不予置评，黄晓明版的还是比较期待的。",,,0
7,7,30335799,城市猎人,b6937492ed726b64d965dceacd7e2b3c,2b204248bcb747e09be143819b7715f1,,2021-05-17 16:02:32,漫画系我们这代人少年时代回忆，很符合原著的漫改电影，比好久之前成龙版好看很多。同时也证明了漫改电影，不必一定是以漫画为剧本，做好符合原著的节奏和人物性格才是重点。片中的笑点典型的欧洲风格，含蓄内敛，有点《虎口脱险》的味道。没有港片尽皆颠狂尽皆过火的笑点。      看着看着就会错觉认为正在看漫画，基至忘了他们是法国人。唯一出戏的是两主角比原著显老，可能是外国人显老罢。和漫画引进版一样，正常渠道看有删减[捂脸]。因为漫画，mini cooper成了人生第一部理想之车。整部片子，就像一支好法棍，少少咸，多多脆（趣）,,,0
8,8,30335799,城市猎人,4718474cde7f5fa2cbccce8f8cda7916,5824fce46d1a3c0167ada609579fdd55,4.0,2021-05-14 01:01:20,/从剧情到人物形象，都可以说十分经典，常看动画片的人脑子里都有的各种设定的叠加，不愧是《城市猎人》，经典到可以称之为刻板印象，可以说还原的非常好，作为漫画转真人的电影，反而比日本本土拍的其他电影都好不少，值1星 /十分搞笑，非常无厘头，笑点稍微低一些，有一些低级趣味，做个俗人，就可以很开心的笑一个半小时，值2星 /没什么可以深究的地方，看完就可以了，没有回味，值-1星 /女角色都非常好看，值2星（）,,,0
9,9,30335799,城市猎人,a059a29bd86864e6933ac7d66ce39ff5,47d63799be8b86d2bf465c58ad6bde1e,,2021-05-12 19:18:52,影片是围绕一款能够使人爱上对方的香水而展开的 明线是香水 暗线是贪念与爱 斯奇波发现了香水的作用后，用它做了很多违反规定和常理的事情 阿香在犹豫过后仍然往自己身上喷了那种香水，想要与寒羽良产生羁绊，后来收获了意外惊喜。但实际上也显现出了人的欲望 潘乔展示出人性美好的那一面，善良，勇敢，乐于助人，看得到人内心的美好 影片的最后还是警察出现抓获了坏人，邪恶还是永远敌不过正义的 爱不能通过科技去获得，而是需要人与人之间互相吸引，不能只靠外貌和身材 影片中有一个以男主视角去拍打斗的场景特别棒，更加身临其境。搞笑的点也还有蛮多。 总的来说，这部影片还行，但听说有些删减,,,0
