,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30337172,第一次的离别,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,4.0,2019-02-15 11:08:16,"看死君：在第69届柏林国际电影节上，有部关于新疆儿童题材的电影《第一次的离别》入围了新生代单元，由大象纪录和腾讯影业联合出品。影片以新疆沙雅地区一个叫艾萨的男孩的生活为线索，通过与母亲、哥哥、朋友的一次次别离，铺展开一场感人至深的童年生活，曾在第31届东京电影...

                         ( 展开 )",45.0,6.0,10
1,1,30337172,第一次的离别,976170af1c149d543af087505222852f,619e5827f76ab558c351585a9800f738,4.0,2019-03-31 12:51:06,"微信公众号：moviesss 首发于 MOViE木卫 HKIFF的手册上介绍说，它的画面上，吹拂着伊朗导演阿巴斯的遗风。它的名字，也会让人不小心以为是阿斯哈·法哈蒂的经典作品。有意或无意被模糊的辨识度，似乎再次说明，它包含了许多暧昧晦暝的空间。 如果只是模仿阿巴斯，其实不会有这...

                         ( 展开 )",67.0,10.0,27
2,2,30337172,第一次的离别,b8e5505fdc5abf94b4a92601530e16c2,ac1a98c6b1027ef7f653330ef6dd1be6,5.0,2019-12-02 11:00:06,"作者 / 走走小姐 在经历了自去年底东京国际电影节到今年初柏林国际电影节、香港国际电影节等一系列电影节之旅之后，从11月的金鸡百花电影节到即将开幕的第二届海南岛国际电影节，青年导演王丽娜再一次迎来了忙碌而充实的电影节时间。这个在新疆长大的年轻汉族女孩，因为其电影...

                         ( 展开 )",25.0,4.0,1
3,3,30337172,第一次的离别,a41b177649d761558f9af37f08b532a8,fdaeea8797b86624e722f4f1137d2a3d,3.0,2020-07-28 22:55:17,"这篇影评可能有剧透 

                        和电影院的离别终于画上了句号，而等在未来的，是无数次走进影院的重逢。 在许多迟到已久的新老电影中，一部罕见的新疆儿童题材电影成了复工后首部定档的影片。 时隔半年，这部片子也成了半年后我在电影院看的第一部片子， 简单的故事，细腻的情感，优美的配乐，如诗如画的影像...

                         ( 展开 )",5.0,2.0,0
4,4,30337172,第一次的离别,e0d285c6424adc53af01e0e349ec4198,a73986e3f674aa3a071802bbe8199091,5.0,2019-02-25 17:07:41,"这篇影评可能有剧透 

                        2018年第31届东京国际电影节于11月3号落下帷幕。 莫非影画声音团队参与制作，青年导演王丽娜执导作品《第一次的离别》，荣获本届电影节亚洲未来单元最佳影片。 评委颁奖时如此评价: 这部电影用如诗般美丽、简单、直率的方式讲述严肃而复杂的话题，观众仿佛中了魔法一般被吸引到...

                         ( 展开 )",9.0,4.0,0
5,5,30337172,第一次的离别,22a45edec5c46d00205090d0f8dc4287,8d1a048d31d5f36fcb4e235d6df543b4,5.0,2019-01-01 11:16:25,"之前看过有关影片的有些报道、一直在期待上映、只看预告片就很想看这个电影了 、因为我也出生在塔里木沙漠边缘、很熟悉这种自然环境带来的快乐以及忧伤、突然想念小时候、想念小时候的小伙伴、影片景色很美、小演员表现的好自然、感染力强、希望今年在电影院有上映、希望更多的...

                         ( 展开 )",3.0,4.0,2
6,6,30337172,第一次的离别,8648d37645f7ad007d5be37cc680e7b1,03e2715b065e0142d2dc82e17c18c275,,2020-07-27 10:46:55,"作者丨香猫记 对于大部分中国人来说，新疆既神秘又陌生，是一片“异域”，供人们投以过度的想象。而它却占据着中国六分之一的国土，世居十三个民族，是一片不容忽视的土地。然而因为种种原因，鲜有表现新疆故事的文学和电影出现， 大部分时候我们只能通过新闻来了解这片广袤土...

                         ( 展开 )",3.0,,0
7,7,30337172,第一次的离别,1c21a8a6360e406f67db262e9fa3c0f1,ac542ac81990bf6f4848ec70c5f6d489,,2020-07-26 00:12:33,"《第一次离别》电影院恢复营业后看的第一场电影，很契合这大半年和情绪治疗场所的分离。整体的画风很中亚，小女孩和小男孩的对手戏总会让我想起已经故去的一位很喜欢的亚洲导演阿巴斯，想起很久很久以前看过的胡赛尼已经火热到不行的书《追风筝的人》。很多人都说电影里的第一...

                         ( 展开 )",1.0,,0
8,8,30337172,第一次的离别,f6669ed1f9fc3486b768c04e64052339,bb35e0c08584e63dba7e55b2603a59a0,4.0,2020-07-23 22:03:36,"真正的新疆什么样? 教育是否真正均衡? 影评大多数围绕家庭教育和学校教育，到觉得此片更多的是关于时间和尊严。 小女孩的父母因为要农忙摘棉花所以没时间辅导孩子们做功课，孩子普通话考试成绩下降，母女二人遭到老师在家长会上严厉的当面批评，小女孩的妈妈埋怨丈夫不能为了子...

                         ( 展开 )",5.0,1.0,0
9,9,30337172,第一次的离别,16bee9f4dc94525855ca5e747e14aef2,16bee9f4dc94525855ca5e747e14aef2,4.0,2020-07-21 11:10:32,"这篇影评可能有剧透 

                        诗意和温暖的部分，不必多谈。 最初困扰我的，还是标题。第一次的离别？可是艾萨先后经历了与哥哥、与母亲、与凯丽、与小羊的离别，究竟哪次才是第一次呢？问过这个问题，我才醒悟，真正经历了第一次离别的并不是排在卡司表（或许也是排在观众心中）第一位的艾萨，而是女孩凯丽...

                         ( 展开 )",8.0,4.0,2
10,10,30337172,第一次的离别,ca5d813d2731c93bc33f3ae8cf2ddd92,43f4edfca39e1b9c02ef4bad2e9a0c8b,,2019-07-25 17:54:43,"本文为第13届FIRST青年电影展竞赛入围影片《第一次的离别》主创团队映后交流实录。 *古涛，第13届FIRST青年电影展复审评委，《第一次的离别》映后交流会主持人 *王丽娜，《第一次的离别》导演 *李丹枫，《第一次的离别》音效 古涛：我比较好奇片子是怎样成型的？ 王丽娜：我从...

                         ( 展开 )",9.0,4.0,0
11,11,30337172,第一次的离别,6ac21768f2667855d7c6663b6af3263e,a2dabe257c90180afff4590b5c3c3910,4.0,2019-01-30 15:22:32,"这篇影评可能有剧透 

                        成年人，你是否还记得自己挥别童年，转眼长大的瞬间？那个瞬间所饱含的无数故事中，离别故事是最有普世性的一种。 青年女导演王丽娜便将她的长片处女作《第一次的离别》聚焦在孩童的离别故事上，带领观影者重回那个记忆深处的童年。同时，她将镜头对准自己的家乡新疆沙雅，用温...

                         ( 展开 )",3.0,3.0,0
12,12,30337172,第一次的离别,55ac621b04d7cc5a2128c23b7587c89c,d66dd56638c79cbae178d6d61388000b,4.0,2021-12-27 15:44:27,"一个非常意外的，极好极好的关于新疆的影像。一部真正的影像。 新疆的阳光，新疆少数民族的生活，那里灿烂的阳光，大片的棉花田，人们在其间劳作，田间劳作时的欢笑，谈吐，小朋友们的童年，友谊，烦恼，以及，课堂学习生活…… 画面非常生动。非常美。 美有两种，一种是形式主...

                         ( 展开 )",,,0
13,13,30337172,第一次的离别,cd2cc64d00ba2d97a1fa683e8f6d731c,c266282380ffeba73670c848b7c52991,4.0,2021-12-08 22:29:37,"影片讲述两位在上小学的孩子各自的生活，他们共同养了一只小羊，开心和忧愁的时候会爬上已经生长了三千年的胡杨树分享。 孩子们的忧愁无外乎与大人们有关，艾萨的妈妈常年被疾病缠身，失聪让她不会讲话，脑膜炎让她神志不清，因此妈妈的走失是艾萨最担心的事情。 而凯里比努尔...

                         ( 展开 )",,,0
14,14,30337172,第一次的离别,bf9aa314195bb1caa8c953019d4b6805,1abcf1622371d03f992001cb6cd78919,4.0,2021-07-17 20:16:31,"千年古银杏树上孩子们谈到了普通话考试，“你普通话考了几分？”“60.5分”“哇，我只考了20.5分。”凯丽为什么普通话成绩一落千丈，因为妈妈去外地采棉花几个月没回家没人监督她功课，而妈妈是片中唯一表现出对孩子成绩在意的成年人（艾萨的哥哥也在意但他自己也还是个大孩子...

                         ( 展开 )",,,0
