,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,3078549,虎胆追凶,00bb2ca1fa9aaf972b280003b23a8b63,0456f0547fff6807b24613bc4883f2dc,5.0,2018-05-24 19:55:54,看到布鲁斯威利斯出场的那一刻已经热泪盈眶了 小时候看虎胆龙威开始，就认为英雄就应该是这样的 史泰龙？施瓦辛格？ 尚格云顿 ？猛是猛，壮是壮，但总给人一种脑子里都是肌肉的感觉，反而布鲁斯虽然带些痞气，更给人感觉有血有肉，小时候那个崇拜啊，觉得男人就应该是这样的，至于酗酒导致妻离子散？小孩又没婚姻家庭的概念，who care？ 后来看了第五元素，更是惊为天人，还是原来的配方，还是那个味道，咋就能把一个角色演的这么活灵活现呢？ 再后来老布鲁斯拍的那些罪恶之城啊赤焰战场啊，虽然觉得因为剧本啊导演啊之类的原因，总感觉差了点啥，但总觉得他真的能一个人撑起全片 好莱坞几个光头男里，个人认为老布鲁斯头把交椅，舍他其谁 当然了，六十三岁的布鲁斯也是英雄迟暮了，此片里几乎没有动作戏，就是纯突突突，但凡是布鲁斯出现的镜头，其他人长什么样什么表现仿佛根本记不得了，满眼都是他一个人刷演技 至于本片以暴制暴到底对不对，我觉得吧，在整体层面上，肯定是不对的，人人都去处决自己认为做错事的人，还要公家干嘛？那不是回到原始社会了么？ 但站在个人层面上，就好像片中电台某嘉宾说的， PC总是出现在犯罪之后，对于普通人来说，难道什么都不做等着被欺辱么？ 小时候去街机厅玩，被大一点的小孩盯上，我和朋友走出街机厅的时候就被抢，因为我和朋友不愿意给钱，被一顿暴打，虽然我们反抗了，但那几个小孩都比我们高一个头，还是吃了大亏。 后来报警，那几个抢钱的小孩都被找到了，但是，因为我国有未成年人渣保护法，所以他们屁事没有，我和朋友挨了一顿揍，钱也被抢光，没有给我俩任何说法 上班后买了辆电动车，停到商场楼下丢了，报案后做了个笔录，就没消息了，后来这贼开去电动车市场修车被我卖电动车的朋友发现了，我们一帮人把两个贼按住送到PC局，朋友都说先揍一顿，我说算了等PC处理，最后贼怎么处理了不知道，PC局收了我200元，为啥？因为这是z物，我要领走需要交200什么鉴定费才能拿走，哈哈，没给任何收据啥的，办案PC直接揣兜里了 我朋友的女朋友开的美甲店，那天顾客多关门晚，结果进来两个小混混拿匕首要抢劫，小混混没想到的是我们哥几个就在对面2楼打麻将，两小混混被我们提着三角凳打了个半死，PC来问谁打的，我朋友对象说路边人见义勇为，早走了，那时候路边没监控，也就不了了之了 现在网上有句话，叫莫打架，打赢了J留，打输了住院。那么，我们遇到犯罪分子欺上门的时候，真应该和小绵羊一样毫不反抗么？ 在不危及生命的情况下，我个人觉得，能反抗还是得反抗，不然对方是否J留不好说，你这眼前亏肯定是吃定了，你不反抗被暴揍一顿，没啥大伤的话，你一毛钱医药费得不到，对方最多被J留几天，出来还是一条混混，你这顿揍是白挨了，而且因为你没反抗对方毫无顾忌，说不定被揍的更狠 网上有人说对方把你打伤了，是故意伤害罪，要坐L的。这个故意伤害啊，至少得轻伤，而在FL上这个轻伤，是有条件的，不是你说轻伤就轻伤，如果刀砍的，伤口要达到多少厘米，鼻骨至少骨折什么的 so，如果你被对方打个鼻青脸肿，他还真不需要坐L，J留嘛也就上限15天，赔钱？对方一般说没钱，PC局也拿他们没办法，你要真执着要钱，可以去起诉，问题是，起诉所花的时间精力金钱，对于老百姓来说，根本是得不偿失，很少有几个人为这点事民事起诉的，而且吧，你真起诉了，走程序开庭几个月，判下来几个月，对方还是不赔钱，你也没好办法。什么？强制执行？这点屁事你去试试申请强制执行，谁理你哦 所以啊，此片还真是挺现实的，布鲁斯没招谁没惹谁，就因为开了个宝马被盯上了，老婆被枪杀，女儿植物人未苏醒状态，因为不知道罪犯长啥样，dna对比没结果，探长也和布鲁斯说就这样了，某天其中一个罪犯被J留的话，对比下dna还有可能，现在他们也是一筹莫展 最后胖PC明知布鲁斯有猫腻，但一点也不想追究，为啥？他们没帮到忙啊，销赃窝点布鲁斯找到的，2个小弟被布鲁斯爆头的，带头大哥私闯民宅被布鲁斯打成蜂窝煤的，布鲁斯差点全家被杀光，这中间PC又起了多少作用？z e r o ！ 咱们再回到前面，假设这三个罪犯被PC第一时间抓住了，又能怎么样呢？ 只是入室抢劫而已，布鲁斯老婆他们可以狡辩是误杀，而且他们三都没案底（PC局dna检测无记录），又是有色人种，很可能轻判，判个十年八年的，坐个几年申请J释又出来逛大街了 而布鲁斯呢？老婆死了，女儿植物人，家破人亡了，悲哀啊悲哀，还得担心这几个罪犯假释出来找他麻烦，活的提心吊胆的，唉 对了，我们也有正当防卫呢，呵呵，我可以告诉你们，咱的正当防卫，就是笑话 山东聊城R母杀人案 大家都知道吧？在很多国家，这完全是正当防卫，在我们这呢？呵呵了 曾经有个案子，某人被抢劫，身上被扎了七八刀，他抢过刀一刀把对方扎死了，最后判防卫过当，为啥呢？F官说你虽然被扎了七八刀，但是你生命没受到威胁啊，你看你内脏也没破动脉也没破，你把人扎死了就是你的不对了 哦F官大人，您的意思是要刀子马上要把我心脏扎穿了咱反抗才算正当防卫呗？爷都到那份上了还防卫个屁啊！ 说要依法Z国，要我说啊，那些砖家叫兽们，先把咱的F改的差不多点吧？ 补充：纹身男的事，舆论起的效果较多，再者，我们的法系不同，最后造成了这个结果，算是万幸吧，以前判正当防卫的只有一种，就是你在家里或者店铺里，对方在和你没有经济纠纷的情况下（必须前提），纠集超过你方人数的暴徒（比如你和你弟弟2个人，他们来了3个人），主动使用武器并造成轻伤以上伤害的，才会有正当防卫的判罚，而且这种案例极少极少，所以这次的事嘛，体现出了咱们的中国特色，微博治国不是吹的  最后，致敬我的男神， 布鲁斯·威利斯，为你点一万个赞！ 看过喜欢请点有用，谢谢大家,434.0,37.0,76
1,1,3078549,虎胆追凶,ceab4f10d2d3ca17f3ffee8c9fa726b4,9ad83470e5c7282337fc5a37b87ff8b6,4.0,2018-06-27 07:26:44,"我说最近怎么突然好多关注，原来是这个片子这几天在国内上映啦~ 那赶着上映热度，再来刷一波照片，带你们看一下我看到的真实的芝加哥。 为了这个主题，我是故意拍了一些不美好不和谐的照片 如果你想看美美的芝加哥，可以去我的相册【Chicago】 原文在照片后面  2018/12/14  芝加哥downtown 大雾的一天  2018/12/12 动不动几辆消防车就呼啸来到楼下，因为这边年代久远的高楼里的电梯都不怎么好。  2018/11/6 Chicago police car  2018/10/30  2018/10/27  2018/10/22  芝加哥downtown 大豆子  2018/10/22  芝加哥downtown  以下为2018年10月20日 hyde park 公交站  Costco附近的街边  中国城广场 以下为2018年10月1日 城南39街，这一片就是下图的深红区域了。摄于周一中午11点  从E Pershing Rd 上Lakeshore Dr 的桥头。摄于周一中午11点   从E Pershing Rd 上Lakeshore Dr 的桥头。摄于周一中午11点  从高架上出口到中国城附近的区域  中国城附近，不是主要街道  中国城区域的“立交桥”，上面好像是走轨道交通的，但是这一片附近的桥洞都长这样。  中国城香港超市附近，那天天气也真是不好。  中国城香港超市附近，那天天气也真是不好。     以下为2018年9月28日  市中心Loop区，W Madison 和 S Wabash 路口，背景是CTA地铁；摄于晚上8点半  市中心Loop区，W Madison 和 S Wabash 路口，背景的楼梯是CTA地铁的入口；摄于晚上8点半  市中心Loop区，W Madison 和 S Wabash 路口，楼梯是CTA地铁的入口；左上角屏幕有每条线的时间表；摄于晚上8点半  市中心Loop区，W Madison 和 S Wabash 路口，上层的类似高架的路是地铁.其实这是一个繁忙的路口，只是刚巧拍得时候四个方向都没车；摄于晚上8点半  市中心Loop区，W Madison 和 S Wabash 路口，背景是TJ Marks商场；摄于晚上8点半  市中心Loop区，N State 和 E Randolph 路口，背景那个闪耀的霓虹灯是著名的“东方剧院”；State街 是一条最繁华的商业街，有很多商场。摄于晚上8点半   以下为2018年9月26日 城南47街和高速的路口，晚上7:30  背后的牌楼就是芝加哥中国城，这片工地自我一年前来到这至今也没修好。晚上8:00  芝加哥中国城。工地的另一个角度，背景为一个小的中超。晚上8:00  芝加哥中国城主街。晚上8:00  芝加哥中国城主街，两边都是饭店。晚上8:00  芝加哥中国城，中国城周围的围墙上都会有一些中国元素的装饰。晚上7:00  芝加哥地铁红线-中国城站，刚下过一场暴雨。晚上7:00   以下为2018年9月7日~10日 2018.09.07 城南90号高速公路边的Wendy's，靠近Washington Park，晚上9点左右  2018.09.07 海德园的某个路口，晚上9点左右  2018.09.08 海德园50街地铁下方的通道，是通往商店和学校的必经路。  2018.09.08 海德园50街地铁下方的通道，是通往商店和学校的必经路。常年有垃圾和积水。  2018.09.10 海德园主街53街，是这一区域的商业区域，商店饭店都集中在这条街。注意星爸爸门口的学校警车。  2018.09.10 编号为404的报警柱。  2018.09.10 编号为404的报警柱。你按了以后可以直接告诉电话那头的人员你所在的柱子的编号，他们会立刻知道你的位置。   以下为原文： 作为一个过去一年，现在，以及未来一年都要住在芝加哥的人来说，看这个片子会更多些奇异的感觉。 💡首先，关于芝加哥治安的描述并不算太夸张，基本属实。 （没怎么留意故事背景具体是哪一年，但目前而言依旧是全美犯罪率数一数二高的城市）
在谷歌里只要输入“芝加哥” “犯罪” “地图”，就会出现各种版本的犯罪率统计地图，大致如下。红色越深犯罪率越高，绿色则相反。 故事发生的地点，医生他家住在Evenston（埃文斯顿市，下图红色星星），其实已经不是芝加哥市了，离芝加哥市区19公里，有美国西北大学的主校区。这片是芝加哥周围富人最集中，安全系数最高的区域之一。 医生工作的地方，现实中叫“Rush University Medical Center”，位于芝加哥市中心“Near West Side”区域（下图绿色星星），也是相当安全，一般出行是不太担心当街发生危险的。 然鹅，lz住在，呵呵，海德园“Hyde Park”,（下图黄色星星），如果你仔细看，在芝加哥南部一片深红中，能找到一小片粉红色，对，那就是Hyde Park，它之所以为粉色而不是深红，是因为这里是芝加哥大学的校区，有着数量惊人的校园警察和报警柱，才勉强将大学周围区域维持在一个不是特别高的犯罪率水平。  下图为芝加哥犯罪报告网站上Evanston(电影中医生家所在地) 最近一周的犯罪统计，我只选择了袭击，持枪袭击，抢劫，入室，偷窃以及性骚扰等一些选项，共41起（后面还有很多别的犯罪类别）如果点开右侧的“List”，可以看到每起事件发生的时间地点和性质。如果你有兴趣的话别的区域，比如说上图那些深红色的区域的情况，可以点这个网站，https://www.crimereports.com/city/Chicago (不确定国内是否能打开）   💡其次，住在这一片深红中到底是何体验呢？ 最显眼的就是每隔50米不到就有一个紧急报警装置。新生入学时，学校都会邮件通知你，根据紧急报警装置的位置，选择并熟记一条沿路报警装置最多的回家路线。我有幸从来没有机会按过那个红色报警按钮。  白天在校园周围，会看到很多芝加哥校园警察。他们的警车和芝加哥警车长得还是不太一样的。核弹的警察叔叔阿姨会随时任意出现在学校的图书馆咖啡店食堂。看到穿着防弹小背心的他们，总是不知道该觉得安全还是危险。  天黑后，尽量避免单独外出，无论男女。也不要步行，能开车就开车，没有车就打Uber，没有Uber你还可以选择坐免费的校车。有东南西北等几条不同的线路，总有一条能到你住的附近。  在海德园住了一年后，日常活动都在白天进行。所以，我几乎不怎么知道我所住的区域天黑后的样子，如果需要出门，要不朋友开车要不Uber。最最难以接受的是，有时晚上不想待在家里，又不想去市中心，只想出门散散步，遛个弯儿买点儿零食什么的，完全是不可实现的。要知道从我家出去步行10分钟就到密歇根湖边了。这要是换在国内，夏天傍晚在湖边乘凉遛弯的人那必须是摩肩接踵。 All in all, 芝加哥（如果你住在安全的区域的话）还是一个很美很大很现代的美国城市。 至于其他区域，（比如从我家到市中心的一片都是深红区）有时会好奇是不是真的会像电影中那样。有一两次，因为高速堵车必须得绕行，坐车路过其中一片区域。能看到的仅仅是破败和萧条，这隐藏在背后的暴力和犯罪在白天的街上是看不到的。",128.0,3.0,83
2,2,3078549,虎胆追凶,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,4.0,2018-05-26 01:02:06,首先是不容易，布鲁斯威利斯终于又接了部稍稍像样的片子，这些年打了很多酱油了，体型都让人唏嘘感叹了，但是，这片子看的出老头比较卖力，还减了肥，精神了不少。 这片子编剧还是不错，全程行云流水，一气呵成，基本没废话，包括开枪之前，剧情也基本没硬伤，一言不合就拔枪，比较过瘾，比较符合老布一贯的风格。 影片明显是噌了最近枪支泛滥的特点，这个话题能吸引眼球，大家以为导演要来一场关于禁枪的大讨论大反思时，结果老布还是把大家带回了虎胆龙威和终极悍将的以暴制暴快意恩仇之中，估计很多支持禁枪者会表示反对。 看的出，影片的态度是反对禁枪的，关键时刻，只有这玩意儿才能保护自己，但是，枪支泛滥的现象和恶果，影片也展现的很充分，小孩走路中枪、医生天天救枪伤、买枪流程方便快捷，这禁枪的话题在美国实在复杂，导演也没打算陷入其中，一个娱乐电影，还是看老布吧。 剧情方面，稍有不足，老布在影片中的人设开始是个温和的好脾气医生，从未摸过枪，家破人亡后开始练习射击，实施复仇，一枪在手，瞬间就菜鸟变雄鹰，迅速回到了虎胆龙威状态，胆大心细、身手矫健、弹无虚发、冷酷老辣，这个转变稍微猛了点，有点YY了，会误导小盆友的。 整体上，是个达标的枪战动作片，就是片名，猛龙怪客？过于山寨了，和肖申克的救赎翻译成刺激1995一样莫名其妙，估计又是台湾盗版光盘贩子翻译的，DEATH WISH，直译成死神问候，感觉就很好。,39.0,4.0,13
3,3,3078549,虎胆追凶,2c9c4f3302c35e0b681d71c4930b9b4a,10d9ffec60ff2425d47a0f533412f046,4.0,2018-11-09 05:23:17,"首发wx工号 破电影 虎胆追凶，猛龙怪客（这俩翻译都不怎么样），1972年的同名小说，1974年同名电影的重拍版
  布鲁斯威利斯这个顽固分子已经很久不做男主角了，基本上现在他以客串为主，例如前不久臭名昭著的《大轰炸》。   而这部电影，布鲁斯回归了主角，虽然是新片，但在拍摄手法上还是和老板一样中规中矩而没有太大新鲜感，仍然是一出以暴制暴，老实人逼上梁山的复仇故事套路，但是电影在节奏，动作，惊悚和故事圆满度上倒是流畅合理，布鲁斯在情感戏份上也颇为出色，足以见得，动作明星的演技也是能够久经考验。  





 电影故事讲述老布身为一枚出色的急救医生，日常救人是他的光荣本职工作；对于枪击案频发的美国，每天救治枪伤患者是他的见惯不怪。而在合法拥有枪支的美国，老布可能是为数不多的无枪家庭。   但在他生日那一天，由于他出诊在外，女儿妻子遭到入室抢劫，妻子为保护女儿，不幸在争斗中被杀害，而刚考上大学的女儿，被蒙面的歹途侵犯，并被施暴，以致昏迷不醒。  





 可叹警方对于破案一筹莫展，于是老布在看过一部武器店的电视广告后，决定拿起武器自己干，发扬DIY精神，以拿惯手术刀的灵巧双手老骥伏枥地苦练枪械射击，走向街头对犯罪分子开火，最终对杀妻害女的犯罪分子实行了自己的私刑教育。  





 从意识取向上，这部电影主要肯定了自卫和NRA（全国步枪协会）政策。 美国全国步枪协会，又译美国来福枪协会，（英语：National Rifle Association、NRA），是美国的一个非营利性民权组织，也被认为是典型的利益团体。
    NRA支持美国人权法案的《宪法第二修正案》，并且认为持有枪支用作自我防卫是每个美国公民应该享受的公民权利。根据1999年美国财星 (杂志)的一个调查，大多数美国国会议员和工作人员认为，NRA是在美国最有影响力的游说集团。NRA所开展的一切政治活动是以《宪法第二修正案》为理论依据，并积极投身于各项有关维护公民持枪权利的政治运动。
 美国步枪协会主要致力于主办火器安全训练课程，组织各种射击活动、运动、比赛以及开展一些青少年射击运动与妇女射击项目。在政治上，它也发挥着巨大的影响力。Chris W. Cox 是美国全国步枪协会的首席说客和主要的政治战略家，他从2002年就担任着该职位。  





  别小觑这个民间组织，在美国史上，有八位美国总统都是美国全国步枪协会的会员。同时，作为一支不可忽略的政治力量，美国全国步枪协会在选举、政治运动上都发挥了极其重要的作用。 电影实际上试图表达这样的意思；当你在你的财产或任何其他遭到暴徒流氓的攻击时，警察是必要的，但警察会在盗贼犯罪之后到达，到了那时，为自己和家人提供帮助已经太晚了。这是这部电影的核心思想。又一次，好莱坞从这部电影来输出其价值观，即高度的公民自主和反官僚主义的倾向。  





 在技术方面，电影符合好莱坞主流电影的审美逻辑，其中主角露西·凯西扮演妻子位于厨房温暖而轻盈的色调，而隐藏在墙后的流氓则是冷色调和深色调。影片是由摄影总监Rogier Stoffers完成的令人难忘的电影摄影。电影中的几出动作戏也很明快干脆，基本上做到了和《私刑教育》同等程度的过瘾。  





  出色的枪战动作场面并没有把电影变成一场射击游戏，而是好好讲了一个故事，并且表达了对美国枪支问题的鲜明观点。电影的结尾给我们带来一个思考：如果老布没有在家准备好枪战弹药，歹徒破门而入，他又如何保护自己？  





 影结语：",10.0,,2
4,4,3078549,虎胆追凶,896a2c70f29caff5f19e9f6ba69c780a,502ef19d6c6d8445f8e8a1a59a21d94a,3.0,2018-11-12 16:39:58,有剧透，未看过者慎入。 首先是冲着布鲁斯威利斯的光环看了整部电影，和他之前的同类型作品相比，确实不太过瘾，缺少了近身搏斗和肌肉碰撞，只因为老布实在是岁数到了，打不动了。 从一个拿手术刀的外科医生，到拿枪的“城市英雄”这样的过度感觉导演是精心安排了大段的铺陈，从他的岳父大人拿起枪保卫农场、到芝加哥警察办事的拖沓表现，无不预示着老布拿起枪单干的结局。到这里我反而会期待老布用更加巧妙的方式智斗恶势力而不是“以暴制暴”这么简单。 这里又不得不说一个人设的问题，老布给我的印象就是硬汉、动作明星、甚至有一些蛮干，虽然比巨石强森更有智慧，但是终归还是一个打星。这里加入一个“第一次拿枪”的设定，感觉怪怪的，明明杀人杀的很6啊，非得加入第一次拿枪把手弄伤的桥段，感觉很生硬，按理说第一次拿起枪应该瞄都瞄不准才对啊。 如果是我拍，抛开大家说的“拥枪”话题，我觉得布鲁斯的角色设定应该是个“会打架的外科医生”，因为开始他弟弟交代过“他很能打”，我觉得一开始他应该是用手术刀加上不凡的身手，以肉搏为主，一刀封喉，到后面再加上被枪打伤，觉得近身的危险性太高，才决定开始用枪，是从刀到枪的一个进化过程，就像蜘蛛侠这类英雄也是进化来的，包括装备和思维等等。 这部片子整体也就是三颗星，毕竟都是给老布的，这类逼着老实人拿起武器的片子不在少数，也没有什么悬疑可讲，描述的更多的是夸大后的“拥枪”和“治安”问题，算是现实题材的艺术包装作品。 第一次写影评，逻辑和观点都不够成熟，以后慢慢进步。 感谢阅读。,3.0,,0
5,5,3078549,虎胆追凶,15f84c5665e5e4870a7b38f5ef792182,4e975f224b65f2c77c08d01c67e18e84,3.0,2018-12-07 09:42:30,类型是我喜欢的类型，但是，电影风格有点。。不够严肃吧，我觉得，男主的悲伤有点太少了。。能感受到导演试图铺一条心理线，表现男主由“好市民”到“死神”的转变，但是意图太明显，表现得不够自然。后来女儿醒了，欢天喜地上大学去了，甚至导演都没有再提起去世的妈妈。。总之，故事是个好故事，但是讲得欠点儿火候。,4.0,1.0,2
6,6,3078549,虎胆追凶,245cad19756dab2a7cbcef58ecc32953,687f6d81efa2b32d21b4c0b860a588b6,4.0,2018-07-04 19:14:53,故事的主线是正义得不到伸张，好人不得已走上以暴制暴的道路。但影片的精髓在男主几次暴力除奸后媒体和社会代表的正反辩论：当权益受到侵害又得不到援助时，到底是严守纪律法律界限还是打破法律对好人的束缚。男主是幸运的，选择了后者并终报私仇，影片中还有一人和他做了同样的选择却被犯罪份子击毙。生活不是电影，有几个人能终身享有主角光环？,8.0,2.0,5
7,7,3078549,虎胆追凶,64e643bab12c29c15fb0e6a519ef7f63,1e96185646e564fab436b92e11136279,4.0,2018-06-01 16:01:49,有中文片名，我标题里不写是因为中文片名很傻，叫《猛龙怪客》，不知谁起的，没有一个字贴切的。猛你老母。 不但不猛，这片子是“冷静的暴力”。里面有一个观点我很认同，主角的行为方式我也很喜欢，所以在这里推荐给各位。 这个片子有老版，新版老版都宣扬了同一个观点——想要保护自己的家人，你不能完全仰仗别人，尤其景查啊正府啊这些大众型的服务机构，它们只会按照程序做事，不会体会你内心的感受，这时候你不能抱着它们能把事情办妥的信念坐在家里等消息，你得酝酿和品尝痛苦，并且在力所能及的范围内动用私刑，以弥补警力的不足。不过这个也就在美利坚，在天朝行不通，因为天朝子民的最大敌人是官，一旦动用私刑……灭霸响指都不够打。 另外是很向往男主的状态，他在他的领域做得很棒，而这份职业反过来也赋予了他沉着冷静、专注于行的做事风格，没必要的事情不去做，没作用的话不去说，凡事不过度，只要实现自己的目的就行。这样的人在现实生活中也会很有魅力。 片子基本全靠布鲁斯威利斯一人撑着。类似这种全靠一个老硬汉撑下来并且不难看的片子还有好多，比如梅尔吉布森的《黑暗边缘》，丹泽尔华盛顿的《伸冤人（又一个不贴切的译名）》，连姆尼森的《飓风营救》（当然指的是第一部），还有克林特伊斯特伍德的《老爷车》。 和上述这些片比，本片略逊一筹，不过也很值得看，虽然没有特别出色，但四平八稳，各方面都过得去，是布鲁斯威利斯近几年比较拿得出手的片子，看完确实觉得老铁挺稳。,9.0,4.0,2
8,8,3078549,虎胆追凶,0fdf7e6c2622c86549ea0a1638e41766,f69148cfc3474b0c1714257accc3b468,4.0,2018-07-19 22:35:58,《猛龍怪客》在講述一位斜槓中年的故事，順便探討以暴制暴是否合情合理。看男主角保羅（布魯斯威利 飾）從一位溫文儒雅的外科醫師，因妻女慘遭暴徒欺凌，從此蛻變成一位在城市街頭制裁暴力罪犯的死神，白天開刀醫人，夜晚開槍殺人，身兼兩職，擁有多元身份，開啟了他的斜槓人生。 （白天醫人，夜晚殺人，展現斜槓真諦）   　　所謂「斜槓」，是一個新概念，源自於英文「Slash」，象徵選擇能夠擁有多重職業或身份，比如有人白天坐辦公室，夜晚駐唱，就是「上班族/歌手」，但後來「斜槓」一詞逐漸跟「文青」一樣氾濫，界線開始模糊（曾有人在某文字創作平台上因「斜槓」的定義進行筆戰），此處我就不贅述；而在《猛龍怪客》，布魯斯威利的斜槓身份是「合法醫生/非正當性的執法者」，有著明顯的反差，對劇本設定來說，這是一個簡單吸引目光的方式，使用相同手法的有電影《我的老婆是老大》和電視劇《通靈少女》，前者顛覆了老婆在男性心中的刻板印象，後者則實屬罕見，因為通靈者很少有妙齡少女擔任。因此，白天醫人、夜晚殺人的男主角保羅，很容易就能給觀眾吸引觀眾目光，留下印象。 （為了妻女，布魯斯威利開始以暴制暴）  　　至於造就布魯斯威利成為斜槓中年的肇因為何？本片給出了很合理的劇情設定，因妻女在家遭遇暴徒闖入，意外造成一死一傷，使他對執法機構產生懷疑，接著眼見岳父向盜獵者大膽開槍，並且用狐狸與雞窩比喻警方執法太慢，說出男人若真想保護自己在乎的人事物，就得自己來，這一席話讓他茅塞頓開，再加上有急診病患剛好掉了一把槍的「神助攻」，為他以暴制暴的行為揭開序幕。接下來的過程很流暢，他從一位不會使用武器的菜鳥，漸漸熟練，手法越來越俐落，同時不斷調查當初闖入他家的暴徒，展開一連串爽度還不錯的血腥暴力動作戲碼，頗為精彩。 （江湖在走，兵器要有）  　　《猛龍怪客》藉媒體之口，探討用非法手段討回公道是否合情、合理？通常這類議題，自然會出現的贊成與反對兩派人馬，然而，本片沒有直接給出一個定論，不過看布魯斯威利最後的下場，就能明白導演站哪邊了，答案不言而喻。老樣子，來首十四行詩點評： 肇因全因一場搶劫案意外， 讓男主角老婆從此睡棺材， 女兒也受重創躺上手術檯， 面對家中噩耗他三聲無奈， 愛妻喪禮後他隨岳父離開， 遇盜獵者偷捕動物想盜賣， 老丈人開槍展現男子氣概， 當場就把布魯斯威利嚇呆， 岳父說警方執法太過懈怠， 若真是個男人就該自己來， 這件事從此改變他的心態， 拿槍收拾為非作歹的無賴， 以暴制暴這行為是否應該？ 我只知道殺人放火金腰帶！ 【同場加映】 《侏羅紀世界：殞落國度》影評 《死侍2》影評 《人型海象》影評 昆汀涂的粉絲團 昆汀涂的無雷短評Instagram 九品中正制度評分：四品，中上之作。 （一品最高，九品最低）,1.0,,2
9,9,3078549,虎胆追凶,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,3.0,2018-11-28 19:06:21,2018-11-28 警员中枪 搭档开车至医院用了六分钟 警员失血过多而死 男主是手术医生 家庭幸福 女儿考取了大学 夫妻恩爱 男主有个弟弟 男主生日一家要去聚会 但是晚上男主被医院叫走 老婆和女儿准备给他做蛋糕 此时家中来了三个抢匪 一抢匪欲对女儿不轨 女儿刀伤他 老婆用热水烫伤一劫匪 劫匪开枪打死老婆 女儿受伤住院一直昏迷不醒 男主因此有了心理问题 去看心理医生 一日男主看到一女孩被两混混骚扰 男主去制止结果被打 男主来到一枪店 枪店说枪支很好买 考试很简单 考试完就可以取得持枪证了 一次手术中 中枪者手枪掉落被男主捡走回家练习 男主穿上帽衫拿上手枪 一日碰见一伙抢车匪徒 男主开枪打死匪徒被一女孩录下视频 男主被称为死神 医院有个中枪小孩说卖冰淇淋的开枪打的 男主去杀了戴金手链金项链金表金手枪的卖冰淇淋的 有人仿照男主去杀歹徒反而被杀 医院来了一中枪者 男主发现戴的是自己家被劫匪抢走的自己的表 男主打开他手机发现线索 中枪者死亡 男主来到一酒吧但是酒吧不让他进 他说是中枪者让他来的 酒吧匪徒不信被男主先下手为强 另一匪徒前来开枪但是打中了同伙 又被保龄球砸中头部中枪而死 男主来到修车厂抓住另一名匪徒给他用刑割他肉 匪徒说出另一匪徒下落 男主用车将匪徒砸死 匪徒给男主打电话让他去夜店 夜店匪徒与男主枪战 二人皆受伤 匪徒在医院说见过开枪的人 警方开始怀疑男主但是没有证据  医院来电 女儿苏醒 男主接女儿回家 去枪店买了枪 晚上男主发现有动静 将女儿藏起来 女儿报警 杀手三人 男主杀死两人 夜店男开枪打伤男主 男主突然掏出机枪打死夜店男 警方让男主继续治病救人,4.0,2.0,0
