,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,3143727,贼巢,cabc089090850c93385c9e7f4f61c21b,cabc089090850c93385c9e7f4f61c21b,5.0,2018-04-21 22:47:11,"这篇影评可能有剧透 

                        刚刚看了几个长一点的评论，都是只看了一遍的人，完全没看明白，就瞎写一通，实在看不下去了，我简单分析一下。 关键点在最后一幕的英国酒吧，截图 3 张： 剧情表面上只有一个抢劫团伙，实际上，酒保自己又安排了一个小团伙，成员包括2个垃圾车司机，1个黑客，1个银行职员。其...

                         ( 展开 )",182.0,10.0,35
1,1,3143727,贼巢,a1fa943f61dd5d1fb41dca4c86a5001e,3aa7e7717b871a4fcc5b816c008fdf57,5.0,2018-08-12 00:30:35,"这篇影评可能有剧透 

                        实战枪战大片是我喜欢的类型，有点《盗火线》的味道在，看了一些短评，居然很多人都看不懂，甚至非懂装懂的样子，我就有点暴躁了，这部《贼巢》个人评分8.5分（实战枪战30分，故事叙述20分，编剧35分），要说给星，4星半吧，我最喜欢的就是看他悬疑部分，看了电影还看不懂的请...

                         ( 展开 )",120.0,7.0,65
2,2,3143727,贼巢,33a2f097c8011d2a7ded025842797ed7,aa04fd10996dbcad0a589ca0fb6714d4,4.0,2018-04-15 00:05:28,"评分有点低，大致看了下大家都在吐槽，主要是结尾反转这一部分。 其实我觉得还好，前面其实都做了铺垫的，是反派男主退伍军人B拿到的联邦银行内部布局信息是 从外卖小哥那里得到的，和外卖小哥寻求合作得来，小哥是个能量很大的人，点钞员都认识。 我仅看了一遍，面孔还没记清...

                         ( 展开 )",79.0,25.0,24
3,3,3143727,贼巢,9a412ba691b5832515d3e59e2370b275,13ad25cfba69bc60efe71747e1037832,4.0,2018-01-18 12:06:50,"这片必须要推荐一下。并不仅仅是警匪动作片，而是一部“十二罗汉"" 样式的绝妙抢银行电影。各种情节转折，结局出乎意料. 同时这也是另一部关于洛杉矶本地的犯罪片，充满洛杉矶风情、城市文化，但与La La Land完全相反，绝对不会让你对洛杉矶产生任何憧憬, 保证你望而却步。  前...

                         ( 展开 )",31.0,16.0,10
4,4,3143727,贼巢,7b7837c7ce31ab4adc4967054a961ca2,10a2f9cee07455291b9a202fb7bef563,4.0,2018-08-14 02:26:45,"这篇影评可能有剧透 

                        剧情耐人寻味，枪战场面激烈，感觉比《盗火线》精彩…… 以下剧透，非常严重： 美国洛杉矶，号称世界银行抢劫之都，每48分钟就会爆发一宗银行抢劫案…… 这天早晨5点多，南洛杉矶加迪纳地区，雷·梅利曼带着唐尼、马库斯、博斯克等抢劫了一辆装甲运钞车，而大胡子黑客马克则在...

                         ( 展开 )",23.0,2.0,5
5,5,3143727,贼巢,bf7cc42f1dc57d081c166fc24015c3da,138da4a78b7d6719e108bcb23c9601ae,3.0,2018-05-21 03:42:12,"这篇影评可能有剧透 

                        评分3星半，2个多小时的片长显示了导演的野心。但可以俗气的套路，冗长的支线剧情和一些剧情上的BUG让这部只能是个看看就好的爆米花片。 优点： 优秀的动作，枪战画面。没有花哨的科技手段，特效。几个肌肉男，专业的枪战场景足够让你肾上腺素急升。 结尾的反转在故事中早有铺...

                         ( 展开 )",8.0,3.0,6
6,6,3143727,贼巢,807d084300bdfe934caf3496f25558c9,4151610a9c4530c8ea7dc9070f351e8d,3.0,2020-02-29 13:59:47,"这篇影评可能有剧透 

                        这里的警察我喜欢，罪犯我也爱，都是豪横老美的国民。 美国不要的唱片要销毁，所以我们买到了打口碟； 美国不要的玩具也销毁，所以我们买到了散货手办； 美国不要的旧钱还要销毁，所以有些硬汉看不下去了！ 然而谁也没想到，深藏不漏的年轻人才是最后赢家。 你以为你是对的，那...

                         ( 展开 )",1.0,,1
7,7,3143727,贼巢,1e591bc19e1bcc49f28753416d35d764,0b9e3aa50c32fe2a48690c06287f93f4,,2021-07-11 20:06:25,"这篇影评可能有剧透 

                        初看以为只是一部低成本的垃圾片，直到后半部分剧情反转，才发现没那么简单，影片三条故事线，警察和劫匪两条明线，劫匪内部还有一条暗线，局中有局，临近剧末，匪首团队看似已经被剿灭，只跑了个无关紧要的送餐小哥，可是关键的三千万美金却被调了包消失无踪。事了，主角一个...

                         ( 展开 )",,,0
8,8,3143727,贼巢,ded9000e874ebe05dd4c5a736868a1ad,5ee183782ec05dc5d6907aacdd74e69e,,2020-11-15 08:32:47,"劣：前半段太松散，看起来导演想塑造非传统主角， 一个很渣的家庭loser，却是个非常有能力的匪型警长，半夜聊骚短信竟然发错给老婆！ 而另一边则是原则、爱护兄弟的劫匪老大，婚礼上帮朋友做娘家人撑腰。 不过，导演实在是能力配不上想法，搞得剧情挺无聊，两个人较劲的戏份也...

                         ( 展开 )",1.0,,0
9,9,3143727,贼巢,7da0dba3fec5f7fd4ebc659bec7e84cd,6cf637156033a481f710c33c04722beb,5.0,2020-08-10 23:34:17,"这篇影评可能有剧透 

                        第一点：那两个点钞员是不是唐尼的同伙？为何他们会说那三千万还在？内鬼？明明已经被唐尼偷走了。如果是内鬼那就不更方便了吗？干嘛还要请前特种兵来一起抢？唐尼的团队已经很牛逼了。 第二点：就是女银行职员打电话叫门卫拦住唐尼，门卫出去后就没有交代了？那个门卫是不是内...

                         ( 展开 )",,,2
