,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,3179698,伦敦战场,eb4c90a4f9133428ec4cd995335f5183,95d0415fcd1b7c436b62e185fc2f5ca7,4.0,2019-03-08 18:02:02,"这篇影评可能有剧透 

                        Amber Heard，Amber Heard，前“船长夫人”，更为熟知的是电影中的“海王夫人”，86年生人，170大高个，金发碧眼，盘亮条顺，在各种意义上都是镜头前的“尤物”。导演真是把男人那点“小九九”都摸透了，在《伦敦战场》这部片子里，Amber饰演的尼古拉老六，更是将“魅惑”展现...

                         ( 展开 )",71.0,6.0,27
1,1,3179698,伦敦战场,446890424e508686e8d9363df36f50a4,02700e454d679f31f27c6f0768986dd1,2.0,2019-04-02 19:40:54,"《伦敦战场》一场海后湄拉的个人秀！黑色十字架的四个端点分别站着三男一女，他们在彼此靠近的同时，一共走向那黑暗的中心。毫无疑问这片最吸引眼球的就是海后湄拉艾梅伯·希尔德的女性魅力，全程天使与魔鬼身份的不断切换，各种类型诱惑的展示，与其说这是一部电影，不如说这...

                         ( 展开 )",3.0,,0
2,2,3179698,伦敦战场,dd143093a502ca2846e8eeb10cbbc3d0,9c1278637c42375d4d9f0dcee85d3cc2,3.0,2020-03-15 19:35:18,"这个电影，并不是女主预言到自己死亡之后和三个男人周旋的故事这么简单... 冲着情色来看的可以原地解散了。 让我们从SM谈起。 女主真心喜欢mark，但mark只是和她sm而已。比如作家写到，女主生活里的另一个男人（作家称为：上帝），她和魔鬼们（女主play around的其他几个男的）...

                         ( 展开 )",48.0,,18
3,3,3179698,伦敦战场,323fa53eff39b0175c190244578699aa,323fa53eff39b0175c190244578699aa,5.0,2019-02-27 15:59:50,"这篇影评可能有剧透 

                        引诱一切，成就一切，毁灭一切。这才是真正的魔鬼，真正的魅力。所以，片中的女主角，外貌是天使，本质是魔鬼。她对着坏小子性感妖艳，对着好帅哥纯真善良，对着小说家神秘莫测。 为了好帅哥抛妻弃子变成坏蛋，她先是欺骗他的钱，顺便展示自己的善良和勇敢，然后又勾引他背叛妻...

                         ( 展开 )",19.0,2.0,17
4,4,3179698,伦敦战场,56a48b6fc57799b40d7b17317b7332fa,4513c4681270e133d266d4fb20399375,,2018-09-25 22:46:49,"johnny depp和amber heard? 他们俩两年前的婚姻最后闹得又打架，又告depp上法庭说他暴力倾向，这套片是什么时候拍的。不会相信他们经过离婚种种还能会合作。很大可能这套电影是拍了很久，放在仓底应该有一段日子，之前depp因为离婚事件形象扫地，amber后来证实是个同性恋，俩电...

                         ( 展开 )",4.0,5.0,3
5,5,3179698,伦敦战场,a6e6c96c2a18f7eb210a953feedf0c30,0a0c7f8c12d26ce8deaa09d0933d6bee,3.0,2019-02-18 14:06:47,"这篇影评可能有剧透 

                        《伦敦场地》由马提·卡伦执导，艾梅柏·希尔德等主演，约翰尼·德普客串的爱情嫌疑片。影片改编自马丁·艾米斯同名小说《伦敦场地》。片中很多场景都在斯特拉特福德奥运场馆 。自从三年前它试图上映以来，就一直饱受各方争议，制片方、导演、演员三方出现各种矛盾。在2015年的...

                         ( 展开 )",18.0,5.0,21
6,6,3179698,伦敦战场,5f922c814e2bcf28c48bcc11ce68d4d0,20d62dcf66981c2e9e898988fb7cfc5d,3.0,2019-07-23 05:38:11,"这篇影评可能有剧透 

                        陷地之城，陷的是死心塌地之“伦敦”城。百变娇娃，百变的是Nicola这个唯一吸睛体。 所谓的伦敦，也不过是影片中寥寥带过的几处地标，真正的“城”大概还是得回到每个人的心门。 虽然影片始终贯穿的那句离不开的“爱”，但是却从未深刻感受到爱的真实性存在。所有的仅仅只是男...

                         ( 展开 )",2.0,2.0,1
7,7,3179698,伦敦战场,cdb4635833e38b7da4dc29ce0c1a7c6a,2c5302dd2bbefe0b49d0856867f78876,,2021-12-21 22:08:02,"分享自己看到的一个点。 六姑娘的生日的矛盾。 六姑娘去找飞镖男给钱的那一次，说道今天是她的生日。结尾，她又是在生日那天死去的，有富作家给她的生日贺卡。 故事的时间跨度很大吗？穷作家服药有超过一年吗？前一次关于生日的这句话是真是假，如果是假的，为什么用这个来说谎...

                         ( 展开 )",,,0
8,8,3179698,伦敦战场,0aba2970532fc043ed4ed09f530fcfa9,973531f4cf4115710466be94300a7751,,2021-11-05 12:19:51,"冲着Amber的美貌看的，但不得不说，除了美人的服装秀外，这部电影还是有一些可圈可点之处。 极尽华丽的布景、极尽风情的皮囊、“预知死亡”的神秘感，cult和悬疑元素，无疑是最能勾起欲望的组合。主角作家的身份，使他表面上看起来个置身事外的观察者，杂糅着想象和事实来书写...

                         ( 展开 )",,,0
9,9,3179698,伦敦战场,67ebfd95142b74d371782ea1d62e7ced,15cd22581285f9f31ef3a6eb0994fba3,,2021-10-23 07:56:38,"看看评分，无意外！1.是导演一心想表达自己么，没有看到积极的内容，2.故事主人公角色刻意，给人感觉就全是表演。3.耐着性子能把这个电影看完，看这个电影有两个原因：几本色出演，德普的客串。看看评分，无意外！1.是导演一心想表达自己么，没有看到积极的内容，2.故事主人公...

                         ( 展开 )",,,0
10,10,3179698,伦敦战场,4e7e63e6204b6c1bb248a25777e4c0b9,ad1e88bd4f202e4ea3d29a2d3bf1e581,4.0,2021-10-23 05:50:29,"这篇影评可能有剧透 

                        2颗星星给服化，两颗给女主角这部片里的美貌。 撇开混乱稀碎的剧情，不谈论演员真人是非，伦敦战场简直是单方面写给Amber heard美貌的一封影音情书，几乎整部电影都是女主角的高光时刻，用镜头摸索着最合适的光影配合服化去最大程度呈现她每一幕的美。 必须先夸一下服化道具设...

                         ( 展开 )",1.0,,0
11,11,3179698,伦敦战场,8ee5719665074baf8df15b2c138c18d5,29e1629320b3fc5290f8cb6db3b2d9cf,3.0,2021-07-02 20:49:14,"这篇影评可能有剧透 

                        一切似乎都是有预见的，似乎明艳动人的女主，在预知梦里复杂释然却又冥冥注定的盈眶的泪水中，就可见到，是一种摆脱不掉的“使命感”，我以为我可以离开，我可以改变，却是在陷阱里的兔子，做着掉进陷阱的梦。起初看完后，并没有太多感受，也是从B站大美人剪辑视频里回溯来的，...

                         ( 展开 )",,,0
12,12,3179698,伦敦战场,9c085cf49c62c905fd1d4260a3337969,92ebf0ababf802d576586e7b62fa7159,5.0,2021-02-16 08:32:05,"这篇影评可能有剧透 

                        ★自古以来美女总是被人们所欢迎的。在古代战场上面，美人计也是36计之一，美人可以迷惑人的心智，当然也可以将人玩弄于鼓掌之中。★ 电影改编自英国小说家马丁艾米斯(Martin Amis)1989年作品《伦敦战场》。安柏赫德主演。以英国伦敦为背景，讲述一个具有预知未来能力的美女，...

                         ( 展开 )",1.0,,4
13,13,3179698,伦敦战场,9c085cf49c62c905fd1d4260a3337969,92ebf0ababf802d576586e7b62fa7159,5.0,2021-02-16 08:29:35,"这篇影评可能有剧透 

                        ★自古以来美女总是被人们所欢迎的。在古代战场上面，美人计也是36计之一，美人可以迷惑人的心智，当然也可以将人玩弄于鼓掌之中。★ 电影改编自英国小说家马丁艾米斯(Martin Amis)1989年作品《伦敦战场》。安柏赫德主演。以英国伦敦为背景，讲述一个具有预知未来能力的美女，...

                         ( 展开 )",,,0
