,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,5298987,诗人,793744085d7c3765d8905f84bf89421c,a68dfae9a77805e27cf1100177647dbf,4.0,2018-11-23 10:27:02,"[视频] 电影《诗人》，被称为80年代中国人自己的纯爱片，讲述了“在动荡的经济和政治变革的时代，一个充满激情、悲剧性的爱情故事。”片中的诗人夫妻，由朱亚文、宋佳饰演。两人一开始相濡以沫，经历了种种误会、情欲、挣扎，最后两人关系破灭，诗人死亡。 导演说，“我想通过...

                         ( 展开 )",44.0,3.0,6
1,1,5298987,诗人,99390dc0359f464da1bd76085d605077,a2b843e9195c222d1e67ee65c59ce9eb,2.0,2021-06-12 18:02:00,"有一本“唤醒创作力”的心理自助书，确实戳中过我。它命名了所谓的“影子艺术家“，永远在为别人的创作梦想欢欣雀跃和鼓舞。这是另一种共情的副产品吗？想象着别人的满足，仿佛自己也被分到了那一份荣光。可是，那毕竟是别人的梦呀，是经过转介了的，折射的光。 宋佳扮演的也是...

                         ( 展开 )",5.0,,0
2,2,5298987,诗人,ef531e771b3ae099d4f5123584a50492,5ce14dbadb0a80cc50ac5d6f2e12a13a,2.0,2021-06-06 09:44:41,"片名《诗人》挺耐人寻味的，导演似乎没想也没能力表达诗意。由此观感上出现了一种很奇特的讽刺效果：“诗歌”和“诗人”提供的都只是干瘪的叙事环境设定，整个故事几乎没有关于诗歌精神的深度讨论，但又处处在强调——写诗、写诗…… 非常造作。写诗的人不懂诗意，真正的诗意诞...

                         ( 展开 )",18.0,2.0,6
3,3,5298987,诗人,8abac74e423f137bfb0695038a706eb7,ae2837893d85f58cdb971b7a98b612e7,3.0,2021-06-07 17:11:20,"这篇影评可能有剧透 

                        《诗人》无疑是一部很割裂的作品。我其实挺喜欢《诗人》的一些有趣的点，同时我也很不理解《诗人》对另一些点的处理方式。 所以在这里浅谈一下自己的感受。 喜欢的点： 1.张目是一个很有意思的角色。李五从一开始就表现出对张目地位的向往，梦想有一天也可以成为张目，一脸假惺...

                         ( 展开 )",8.0,,2
4,4,5298987,诗人,7334aebb2a063975d4b37629d026fbf4,0ec02f5898d07d6b1bdbd6fb4758d0e2,1.0,2021-06-14 14:18:55,"《诗人》这电影实在太烂了，寒酸且恶俗。看的时候第一反应是导演水平不行，场景转换、镜头运用都特别生硬，拍的像大学生毕业作品。第二反应是编剧水平不行，情节与情节之间非常跳跃，不好好讲故事，只会耍滑头；人物除了男女主之外都像是强塞进来的，闲了没事就围着主角转，都...

                         ( 展开 )",8.0,,0
5,5,5298987,诗人,ec77db1829e6246b9e6be87221863f2b,257a75ac7e30675058e0d8013fac82af,3.0,2021-12-11 16:33:39,"刘浩把中国社会八九十年代文化被资本入侵，然后在阵痛中转型的叙事落脚在了‘’诗人之死‘’的这样一个寓言中。整个社会发生了从人人桌子上摆着一本顾城诗集到削尖了头下海经商的转变。 朱亚文的诗人形象就是这个庞大的复杂环境的隐喻，一方面他是官本位下的叛逆者，但又无法摆...

                         ( 展开 )",2.0,,0
6,6,5298987,诗人,13d55eecb9d10093f25cd124d74ac33e,bdbca288fee7f92f2bfa9f7012727740,2.0,2021-06-07 17:22:29,"《诗人》，剧情简介像内容一样扯淡，故“镜花水月”，没有任何营养。看一部《诗人》，仿佛看了《小武》＋《盲井》＋《地久天长》＋此处省略一千字的类似电影......前面说的，都是将匠人精神运用到电影中去细致地打磨，而《诗人》则是散兵游勇中偶尔穿插几处细节就以为值得人大...

                         ( 展开 )",5.0,,0
7,7,5298987,诗人,4b16b50cbcdf242500416c766ecf0a92,06066ff6ea1efa77107fcd6177b733fd,5.0,2020-12-17 23:44:30,"山一国际女性电影节开幕影片 观于202009241800 因为要赶下一部《阮玲玉》，没有听完导演访谈。 厚重的时代感扑面而来，毛线裤，刻版油印，筒子楼 轰鸣的工厂流水线 非常舒适的沉浸感。 故事扎实，对白自然，演员到位 值得一看。 [诗人] 期待更多这样叙事风格的中国故事。

                         ( 展开 )",3.0,2.0,6
8,8,5298987,诗人,220ee263c343f8c9ef04bb51ff9bc57b,1e4387ef8c1c48328c2feb5fefd8b549,3.0,2018-11-14 00:59:00,"作为一个伪文青，对于自己的手速和脚力都有自知之明，从来不敢凑电影节热闹。碰巧今年公司团建在东京，毫无计划地被同事拉去六本木看夜景，下地铁才发现从隧道开始就布满东京国际电影节的宣传，隧道两边挂出了所有参展电影的海报，气氛可以说是非常美好了。 对于六本木，此前唯...

                         ( 展开 )",6.0,2.0,6
9,9,5298987,诗人,b29accdc7c18fd7c4b0763657c0f8fb3,a9eaddf46e39231768f7285fbb742825,4.0,2018-11-06 18:25:40,"10月29号在东京电影节看了全片。总体来说不错，日本观众也很捧场。放映后的主创见面环节，一位日本老伯简直把此片夸上了天。 看老伯的岁数，应该是经历过日本战后经济腾飞与泡沫破裂的人，对转型期的社会百态应该深有体会，难怪能与本片产生情感共鸣。 片中以某矿场的几个小人...

                         ( 展开 )",10.0,2.0,2
