,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,25777634,托尔金,4f6bb6399a3643be7f978c87299b9570,b478ec70892d6eb0b19f7fc9b1445d00,2.0,2020-07-16 13:51:56,"这篇影评可能有剧透 

                        人们试图通过传记电影来获得传记人物形象化的“历史”，如果拒绝用事实考证订正的话，那么这种“历史”也无非是过度演绎了的、想象中的“历史”。对不关心事实细节的多数电影观众而言，传记人物的行为行动往往只需要遵循电影内部的叙事逻辑和百科上的生平简介就可以过关；而如...

                         ( 展开 )",38.0,1.0,2
1,1,25777634,托尔金,6825b8008d45e0953eb48c0005357285,0473698d88827447f5bb579f448daa45,3.0,2019-07-29 16:08:29,"出于对托尔金的尊重，我给三星，但是这个影片其实也就是两星的水平。 影片的结构是用托尔金从后方到前线这么短的路程，闪回到他幼年、青年时期的经历。个人觉得这个手法很棒。但问题在于一战时期的托尔金，并没有成长成熟到后来完成霍比特人、魔戒的托尔金。因此，个人认为，主...

                         ( 展开 )",26.0,1.0,2
2,2,25777634,托尔金,e32a269c6b5ecc6de32db12605b48326,a0957a63ee6bb8b894d4cc9287ce955b,4.0,2019-08-10 09:48:11,"首发于[电影七]微信公众号dy71992，未经同意，请勿转载。 判断一部商业片的好坏，票房可能是最直观的衡量标准！ 毕竟，观众不是瞎子，分得清好坏。 前不久，《复联4》取代了《阿凡达》保持10年的记录，成为了新的票房冠军。 然而在许多影迷的心中，“影史第一”既不是《阿凡达...

                         ( 展开 )",8.0,3.0,1
3,3,25777634,托尔金,9a412ba691b5832515d3e59e2370b275,13ad25cfba69bc60efe71747e1037832,4.0,2019-05-03 16:55:10,"看这部电影时，不禁回想起大学时对《指环王》的热爱，就像你们现在追漫威电影一样狂热。而且讲真，至今为止，没有电影超越《指环王》三部曲在我心中的地位。这与托尔金本身的著作也有很大关系。是什么样的背景让他写出这个伟大的故事？显然是伤痛、离别、战争。。。 一群有才华...

                         ( 展开 )",27.0,7.0,5
4,4,25777634,托尔金,5aafbc54e22c3241281e47bd7a1a07ef,55c42fe17301b232b0228f2482f91731,2.0,2019-05-12 05:01:06,"总体是个大水片 没有太多情感深度  一战的残酷和给托尔金那一代人带来的心理创伤也没体现好 不过还是很喜欢托尔金挣扎着站起来看着满目疮痍的战场的镜头，满满的魔多即视感 托尔金如此热爱大海，他的小说里充满了他本人所说的sea-longing。托尔金个人信件里也说过，他做梦经常...

                         ( 展开 )",34.0,4.0,9
5,5,25777634,托尔金,c86c9f72c8da6c55c14583706066ecbb,fc88edadf4336aa9663e6717acf049a9,5.0,2020-03-17 16:14:37,"这篇影评可能有剧透 

                        最初看的时候以为会是一部充满了幻想元素的传记电影，这种期待一直持续到整部电影的结束，最终我发现，所有的魔法与精灵，都已经通过语言与情感表达出来了。 从电影中来看，托尔金的一生有一些波折，但绝对算不上坎坷，甚至可以说，大部分时间里他的人生都受到了命运的眷顾，他...

                         ( 展开 )",2.0,,0
6,6,25777634,托尔金,3e44a56ae45fa4919cfef520e1be0421,13d25ea1cdde2102301a0c1c77fade46,5.0,2019-05-12 11:32:26,"【9/10】 电影结束，与我一同包场的两位白发老太太慢慢起身离场，我没有动。一是公交车还没来，二是实在哭得太丑，没法走到灯光下。 想了好久该怎么形容这部电影：""beautiful""。真的是一个很美的片子，美到每一帧里，美到场景画面，人物台词，节奏韵律，爱情友情，还有他和她的...

                         ( 展开 )",10.0,2.0,3
7,7,25777634,托尔金,798924070c98327ad06faddf6c914947,636dd27370bcd1917028b5bd8a273795,5.0,2019-08-23 02:23:02,"这篇影评可能有剧透 

                        五星当然是我粉丝滤镜。因为是托尔金啊。只是看电影才发现之前买的托尔金传记几乎已经什么都不太记得了。想重读一遍。 怎么讲，我完全理解非粉丝会觉得这电影一般。因为太想对主人公的人生面面俱到了，亲情友情爱情一个不漏，所以反而显得有点流于平淡，高潮不够突出。虽然我也...

                         ( 展开 )",12.0,,2
8,8,25777634,托尔金,5aafbc54e22c3241281e47bd7a1a07ef,55c42fe17301b232b0228f2482f91731,2.0,2019-05-12 11:33:43,"再来写一篇，说人物。 首先Lily Collins演绎的Edith Bratt还挺讨喜的，灵动活泼，因为我们也不知道Edith真实性格咋样，托尔金本人好像也没评价过。。。所以算是演员自己的演绎了 就是导演不知咋的好像想塑造新女性形象，让Edith对自己的处境不满，眼泪汪汪地说托尔金他们可以去...

                         ( 展开 )",11.0,,5
9,9,25777634,托尔金,2424b4c297ca8cfe3500b89962c67aec,5f9cceb2492fc5f16548bba058ca6a48,3.0,2019-07-24 14:28:28,"这篇影评可能有剧透 

                        这不是一篇专业的影评，请不要被笔者的外行观点所左右。 《托尔金》讲述了约翰·罗纳德·鲁埃尔·托尔金（1892-1973）的故事——准确地说，其前半生的故事。托尔金是英国牛津大学的一位学者，他之所以为外界所熟知，是由于他写作的《霍比特人》、《魔戒》等作品对现代流行文化...

                         ( 展开 )",7.0,1.0,1
