,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26263417,一生有你2019,f5b5935c91c50756549e30acf9def14d,db5ac200c95c559b315812a23cdf67b8,2.0,2019-11-29 11:43:56,企图上热搜的雪花特效 天哪 真的不是qq视频特效吗 本人首映前路演vip观看。   大家仔细品。 上图这场雪今全场爆笑，认真的，还是想上热搜？ 估计可以和抠图的AB齐驱并驾了。 说说观看体会。 首先是电子屏差点把我眼睛晃瞎，还有不知道什么原因，电影掉帧严重，有几个镜头要眨眼补帧(暂且不知道是电影的原因还是电子屏的关系)。 抛开这个不说，因为和电影无关。 那说说电影。 开幕段落的配音，就让我浑身不自然。就是那种，很明显的配音感。 鲜肉演员演技生涩，谢彬彬本人比电影好看。这个摄影师扣分，第一次发现能把明星拍丑的。 电影大概讲了一个失意的中年男人在酒吧对大学初恋的追忆，用了自以为高明的插叙手法，什么改写结局，实际上是精致的包装了一坨翔。 电影里的谢彬彬 路演的谢彬彬 影片除了没有流产，真的和什么《匆匆那年》《致青春》《同桌的你》没有区别！就差来一句「苏韵锦你欠我的拿什么还！」 是啊 这个年代了 刚《少年的你》给我有一种国产青春片在进步的幻觉，你《一生有你》就tm给我倒退20年。 是啊，青春永远只有暗恋，追求，轰轰烈烈的乐队，因为一个人才产生的梦想，还有朴树的Newboy (求你们别用这首歌拍mv电影了我很喜欢的好吗)，错过，遗憾…… 是的，没错，所有老套的元素，它都又出现了一遍。 少年的你，镜头致敬莉莉周，剧本致敬白夜行。这不好吗，起码看着有劲，探讨有深度。 《一生有你2019》，镜头( tmd 第一次看到电影里用类似手机美颜自拍的人像模式 拍出的东西把人物背景都虚化了！？这是什么鬼)模仿美颜相机，剧本致敬匆匆那年。这好吗，这只能说，不是敷衍，就是没品味。 插说一句，主创路演出场迟到，算不算一种没有诚意？ 请大家去支持吧，我不拦着你。 一生有你2019 (2019)3.92019 / 中国大陆 / 爱情 / 卢庚戌 / 徐娇 谢彬彬 插叙一句，个人公号：和山诗鬼。 有态度，不中庸，兴趣至上。 主推毒评，文字影评，支持有态度的朋友投稿。 拒绝水军，来找我玩。,18.0,6.0,33
1,1,26263417,一生有你2019,06db911bb52a2bb9096fe90080fa0123,6c08510827b858adb85cca2f131479aa,1.0,2019-11-30 11:57:13,对不住是我脑子抽了去看这种恶心人的电影。 徐娇出场的时候我差点要把刚喝的乌龙奶茶吐了，谁的青春里面校花要长这样那真的跟金志文扮演的老大一样，直接进化到中年算了。 情节紊乱的一塌糊涂就不说了，1995年的时候校园歌手来回两个和弦扫就能围一圈人喝彩？也太看不起95年的音乐环境了吧？男主自我沉浸式的表演一度让我以为他和徐娇一样被人抽了嘴巴子。 学吉他这事儿要有那么容易那不人人都能当乐手了？算了算时间线，男主从53231323都弹不利索到写歌到主音吉他能有俩月时间？真就给吉他自学三月通那种破书找销路了呗？ 别侮辱校园民谣了求求了。 （请几个水军也不能掩盖这就是一坨屎的事实啊🌝）,13.0,6.0,18
2,2,26263417,一生有你2019,cc4e9232dbfdf8516b2ced75d515d091,13f19de2d860376ed9e16730231cc591,1.0,2019-11-29 22:42:12,《一生有你》响彻校园上空的时候，正直人生高中时期，那时候水木年华这四个字和朴树一样无人不知无人不晓，还曾偷偷把磁带美女校花同桌的桌柜里，那时候没有cd，没有mp3，买一个步步高录音机需要攒一学期零花钱还不敢告诉家长，虽然那会儿没有现在这样便捷的听歌app和海量的音乐资源，但是有数不清的红到发紫的港台音乐歌手，beyond、伍佰、周杰伦、SHE、周传雄、阿杜………随便挑出一个人来都吊打现在的什么大碗宽面和流量小生，当然每一代人有每一代人的偶像，追捧什么样的偶像这不是重点，关键是偶像说重了就好比青春的代名词和图腾，是能够迅速串联记忆和拉回到那个年代的穿越利器，这都9012年了，朴树同学开始出来做商演挣奶粉钱了，还是当年那个耿直boy，为吃垃圾食品看垃圾电视的孩子操碎了心，中年沧桑丝毫不掩饰他内心的那份纯真，许巍也在自己的音乐土壤中默默耕耘，李健还是那个清澈的嗓音，看到他在《歌手》唱《父亲的散文诗》，我泪流满面，即便是在《中国好声音》的舞台上，也是妙语连珠，内在修为和音乐的磨砺一样不落，怎么到了你卢庚戌这里，咋就这么油腻呢？都9012年了，还在炒过期的冷饭，好歹是个高材生，这没有创作灵感不要紧，咱可以干点别的，上上综艺也很好，这跨界搞电影是要帮我回忆青春呢还是埋葬青春？窦唯都修仙了，你怎么还停留在2009年这种郭敬明的叙事语境中？先不说女主，男主这形象恐怕全中国中学生都不敢苟同，易烊千玺都开始转型了，知道偶像这条路不能一直当饭吃，你作为曾经承包我们青春生涯的才子，竟然还在青春的美好梦境里不能自拔，可能我们虽然听的是同一首一生有你，但是却在两个平行世界里。,5.0,2.0,0
3,3,26263417,一生有你2019,644af7a48e63bc5e328d3b1994812c66,cc4f89052682880e9f3d1d8511f707ab,3.0,2020-03-20 22:36:03,『一生有你2019』 情怀为上， 剧本为下， 选角失败， 造型穿越， 人设里埋伏了一众那个年代的校园民谣歌手， 前后真假反转玩梗为主惊吓为辅， 女主徐娇作为当年香港金像奖最佳新人， 如今这崩坏的尴尬演技让人诧异， 倒是曾黎保剑锋的组合颇具feel。 【5+1情怀分】   『一生有你2019』情怀为上，剧本为下，选角失败，造型穿越，人设里埋伏了一众那个年代的校园民谣歌手，前后真假反转玩梗为主惊吓为辅，女主徐娇作为当年香港金像奖最佳新人，如今这崩坏的尴尬演技让人诧异，倒是曾黎保剑锋的组合颇具feel。【5+1情怀分】,3.0,,0
4,4,26263417,一生有你2019,d4817ebb032d12ec9e9bb367a0758f2d,a693348ca2a7d546a197c055e12a9db3,2.0,2020-04-28 15:22:52,可能是受高晓松的《睡在上铺的兄弟》、《同桌的你》，还有刘若英《后来的我们》音乐IP成功改编电影的启发，卢庚戌也把水木清华的成名歌曲《一生有你》改编成了电影，而且是亲自担纲导演，歌是好歌也像上面三首歌一样充满了我们青春的记忆，但一看编剧我就慌了，一共有6个。 刘若英虽然也是亲自导演但拍的并不是音乐背后的故事，而是别人的故事，而且是一个普罗大众都能引起共鸣的故事，最重要的刘若英有过多年的演艺经验，拿过东京国际电影节影后，国内金马，金像和金鸡都有过影后提名，演技是非常受认可的。而高晓松自从导演了《大武生》以后就敢再亲自导演了，但其实《大武生》我觉得人家拍的还不错，而且高晓松也不是上来就直接导演电影的，之前还拍过两个小短片先练练手，还客串参演过一些电影。后来《同桌的你》高晓松找了郭帆，可能当时高晓松自己也没想到郭帆后来居然拍出了《流浪地球》，所以接下来《睡在上铺的兄弟》高晓松找了张琦。无疑以上三部音乐IP电影都是很成功的，而《一生有你》4000多万的票房，4.1的评分，是失败的。 或许卢庚戌真的就是想讲《一生有你》这首歌背后的故事，所以故事非常偏自传，虽然作为名人卢庚戌的大学生活还是挺平淡的，弹吉他，唱歌都是为了泡妞，但泡个妞还没泡成，就像曾黎在电影里说的那样，“你的故事属于典型的小清新，不过清新的有点儿平淡。”即使过了50分钟再修改剧情也还是挺小清新的，平淡的小清新很容易就讲完了，故事不够内心独白，独白不够您再拉一个演员（曾黎）来挖你的独白。既然讲真实故事就讲吧，但是您对故事结局不满意，好么，您还在电影里现场改结局，非得凑出来一个圆满的结局，我看着这叫一个尴尬啊，导演是真会玩票儿啊！勇气可嘉！ 不过曾黎是整部电影里演的最好的，也是最漂亮的，不愧是中戏96级章子怡和袁泉那个班的班花。保剑锋一直拿个酒瓶子有点儿太装了。谢彬彬演的还可以，就是1米88的身高电影里有点儿太鹤立鸡群了，戏里有个段子是他当裸模，看着挺瘦的，没想到腹肌连的还挺漂亮的，不过我更喜欢谢彬彬和龙女郎姚星彤主演的另外一个校园电影《毕业的我们》，虽然票房也不高，但是深刻多了，主演是没有那么多大佬为其站台。而徐娇长大以后表演再也没有了小时候的灵气，显得死板而又呆滞，不知道是不是太瘦了，脸上有一股40岁女人的沧桑感。 本来这部电影其实挺有看点的，因为清华真的是太名人辈出了，片中欧洋的情敌宫雨其实就是爱奇艺的老板龚宇，欧洋的最低调的舍友汪晓川其实就是搜狗公司CEO王小川，那个创建了搜狗浏览器，搜狗搜索，搜狗输入法三只火箭，已毕业就在清华东门守护了17年至今单身的男人。可惜他们的故事并没有深挖，太配角了。再就是除了高晓松，并没有看出哪位是李健，廖杰等的原型。整体讲的就是卢庚戌当年泡妞而且泡成的故事。 另外作为一个音乐电影，自然少不了很多音乐的场景，但是歌唱的部分要么就是只给背景乐，要么就是对口型，找《波西米亚狂想曲》这样的音乐传记电影真的是一个天上一地下，根本没法比。以后音乐IP改编电影要开始慎重了。,1.0,,0
5,5,26263417,一生有你2019,0f2e7a3290cbde953024417c2c5692b8,382fdba039d87e4a4fa6136fd6ed05fc,,2020-11-18 10:27:05,对这部电影还是有不一样的感觉吧，大学毕业那年的夏天，离开学校的前两天，操场上的万人合唱，就注定了“一生有你”这四个字有着特别的意义。 当时还没上映，就去在猫眼上写了这样一段话：曾经盘旋在高中上空的那首歌，穿越时空而来，而那时的人却在千里之外；四年的大学生活即将结束，感谢今晚有你们，感谢今晚唱给即将毕业的我们。那些离我远去的青春回忆与即将流走的大学时光，都定格在今晚的夜空下，今晚的一生有你是最特别的一生有你。不知道电影上映那天我们都身在何处，但那时我们都会坐在荧幕前，那是我们的约定。 那一年，我们没有等来电影上映。 当电影再次宣传上映时，我在微博上写到：那年夏天，那天夜晚，我们放声歌唱，我们告别，我们启程，我们约定电影上映那天，我在我的地方，你在你的地方，去看我们告别的那首歌，那个电影，明天，你会去看吗？  最终，我也不确定，你有没有去看，但我知道，你没有。,,,0
6,6,26263417,一生有你2019,94454cddb00f5dbd219d0bf4a3495946,1dc784d4152692817fce9da3428bcdd6,3.0,2020-11-15 11:21:39,讲了一个带着遗憾的美丽故事：一生有你是不可能的，这个故事压根儿就是一生没有你。 电影一开篇的欧洋却是穷困潦倒的中年男子，事业遇到瓶颈，经济出现难题，此时一名来自好莱坞的影视投资人突然来访，与欧洋洽谈《一生有你》改编事宜，于是戏里和戏外就形成了有趣的互文：  故事发生在水木大学，男主欧洋本是一个对音乐一窍不通的理工男，然而后来他却放弃了清华建筑师身份，义无反顾地投入前途难料音乐创作，只因遇见了她。 女主方瑶，一个柔美娴静的女子，骨子里却带着一丝小倔强。作为水木大学外语系的新生，立志申请耶鲁音乐学院。  但欧洋并非一般人，面对方瑶的一次误会，他就坡下驴地表明自己是校园歌手，试图获取女主的好感，并从此开始了他赶鸭子上架的吉他强化训练。 因为方瑶，欧洋阴差阳错开始接触音乐；也因为方瑶，欧洋坚定了自己音乐的梦想。这似乎是导演想表达的：因为一个人，打开了一扇门。因为一个人，爱上了一座城。一生有你，源于你如影随形的影响。 方瑶问欧洋，你的梦想是什么？欧洋却似乎并没有梦想，只能模棱两可的回答：我的梦想是找到一个梦想。方瑶奇怪地反问道，作为校园歌手，你的梦想不应该是音乐吗？  好汉子当争一口气，欧洋开始认真地吉他训练，还兴致勃勃地拉来了舍友组建乐队，和方瑶的感情进展似乎也仅差一句表白。 方瑶收到了耶鲁寄来的入学通知书，同时出现的还有一个来自美国的男友宫雨。欧洋受刺激下酗酒闹事，在校园歌手大赛的前夜被学校保安羁押，之后更被学校开除。 在一个风雨交加的夜里，他砸了吉他，又捡回吉他。因为他发现自己并非一无所有，至少还有音乐相伴。  多年以后，一名神秘的影视投资人联系上了业已中年的欧洋，与欧洋洽谈《一生有你》改编事宜。投资人正是当年远去的方瑶，而欧洋已经完全认不出她了。二人娓娓而谈，欧洋在“陌生人”面前把自己的感情交代得清清楚楚，并自嘲自己当年仅仅是单相思。方瑶反驳了他，表明自己就是他口中的方瑶。当年的一切都是误会，美国男友仅仅是前男友，她同样爱着欧洋。   方瑶说，如果不是因为我，你现在应该是一名很有名的建筑设计师。欧洋说，其实我应该感谢你，否则我不会走上音乐这条路，也不会写出《一生有你》。 然而镜头切换，欧洋从趴着的酒桌上醒来，刚刚发生的一切似乎仅仅是南柯一梦。,,,0
7,7,26263417,一生有你2019,3910af8b61bfe81c0722ce791f9b13aa,33f5f755620ede1df9e40aa805eae7f6,3.0,2020-08-27 19:20:10,如今致青春类电影逐渐成为商业电影的一种类型（如同 功夫片、贺岁片），类似电影犹如喷涌，尺度越来越大，而《一生有你》带来了一种清淡、安静的青春，一种激昂、向上的单纯。     致青春，回看成长，有没有那么一首歌，会让你我想起曾经的校园，曾经从天南海北相聚的四年，那单纯、真挚的时光，那感觉时间很久很久如停滞一般，又弹指一挥间飞快流过的日子，那段永远珍藏的时光，《一生有你》应该就是这么一首歌。    每一首歌，背后都真实故事作为创作背景， 而高晓松、李建、水木年华这些耳熟能详的公众人物，他们年轻的样子共同助力了本片青春的回放。        整部电影的结构犹如一首老歌，越来越有味的老歌。本片把高潮和重点放在了片尾，有点过于靠后，显得前半段有些过于平淡，也许是想表达当青春逝去时才明白曾经平淡日子的美好吧。   电影在采访颓废的中年欧洋（保剑锋 饰演），探寻歌曲《一生有你》背后的真爱故事里开始，是一个倒叙的故事，但被袁静（曾黎 饰演）说破后，真相慢慢浮出，电影进入高潮。    在拿出手链，说到前男友的时候，整部电影便摆脱了童话的无奇。最终都是男主的一场梦，回忆青春的梦。    演员方面，方瑶的饰演者徐娇，那个星爷导演中《长江七号》的周小狄长大了，变成了亭亭玉立、芊芊细腰的大美女，也真应了那句话女大十八变，由衷的感叹时间过得好快。一个演员遇到一个好的电影，走进大荧幕也是很不容易。 欧洋（谢彬彬 饰演）很好的表现出了那个时间段的懵懂与勇敢，比想象中要加分。        听歌不仅仅是听旋律、歌词，更是听回忆，听自己；用吉他的旋律与架子鼓的敲击，打开记忆的盒子，抹去灰尘，拼凑起最美好的曾经。 、,,,0
8,8,26263417,一生有你2019,97e094b8257cdb1cbeb520893a260109,27674d77411d0d1a443d7300c1eb89fc,,2020-04-04 07:05:00,在最新发布的“异世界”版海报中，徐娇和谢彬彬各以自己所在的世界为中心，遥望着远方仿佛置身于另一个世界的爱人。影片中，谢彬彬饰演的欧洋开始并不知道梦想为何物，在遇到由徐娇饰演的方瑶后，逐渐被这个为了梦想而发光的女孩深深吸引。那时候，爱做梦的人身上有光，这束光不但能照亮自己，也照亮了别人。于是，在方瑶的帮助下，欧洋也逐渐发现了自己对音乐的一腔热爱，甚至因此而改变了一生的命运。 　　在这个诉说着青春和梦想的故事里，欧洋和方瑶的爱情结局引发了网友的多种猜测。编剧采用了复调式的叙事方式，给了故事五种不同的结局。90年代的他们是否真的在一起？中年时期的再度相遇是否真实存在？曾经的遗憾究竟能否弥补？每个看过电影的人都有自己的解读。“正如我相信‘一生有你’这个美好的承诺一样，我也相信在某个平行世界里，欧洋和方瑶会迎来一个完美的结局，祝他们幸福。”,3.0,,0
9,9,26263417,一生有你2019,270b5b1695cfa9979e0c1c44c279c092,582aa307b136c9bfbc78c169348185ab,,2020-03-28 22:46:03,"我们常说：""愿有岁月可回首，且以深情共白头。""，但是，现实生活中，又哪来那么多的永永远远的你情我愿呢?再牢固的感情，也容易溃败于流年，一段无疾而终的爱恋之后，是带着怨念继续行走，还是带着感恩，等待下一段遇见呢?当然是后者，因为""虽无深情共白头，幸有岁月可回首""就已经足够。""一生有你""的释义，在看过影片之后，我们可以从中解读出：不求天长地久，只要曾经拥有。片中谢彬彬与徐娇之间的情感便是这样，那场在奔跑的青春中的相遇，改变了彼此，改变着时代，却也难以抵抗被世界改变的命运。回忆，是对既往美好最佳的纪念。

　　《一生有你》虽然有着跌宕起伏的剧情，和励志暖心的故事，但总得来看，影片的风格，更似一曲清新又舒缓的散文诗，片中迭出的情感金句，让人恨不得拿个小本本在影厅边看边记，毕竟，影片中的许多桥段，都会让观者深觉似曾相识，那是因为，我们也都曾有类似的经历，积淀在了青春岁月之中，《一生有你》又一次将那些已经尘封或者尚未释怀的过去翻起，过往与影片的画面一起，在交叠中，幻化出属于每个人自己的爱情记忆。而你，是否也想对那个深刻于内心最深处的人说一句""好久不见""呢?",1.0,,0
