,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26665875,老千3：独眼杰克,a67caae206bbab6672cce8fc74f11bf3,52c2af588546e61ec9c5392eefdb7c67,2.0,2019-10-22 20:50:54,两星，一星给李光洙『没办法，就是爱李光洙』，一星给英美的美和独眼的选角。 没错，我是李光洙的粉丝，如果不是李光洙，我可能根本不会看老千3。看过了1，曹叔＋金惠秀。到了2，top＋申世京。到了3，朴正民＋崔有华。选角是怎么做到的一部不如一部的还拍到了3呢。 一样的断手、背叛，甚至反派输得方式都一模一样。第一部没毛病，因为它是最开始，后边两部编剧太懒了吗还是怎么了，不想编故事了？所以一样的套路？？ 想骗别人的50亿之前，连别人的背景都不调查清楚吗？独眼那么牛逼的一个人，只教了男主一句话，就送人头了？？男主那叫老千吗？？连洗牌都是和喜鹊学的，还是学了好久才学会，WTF？？是在开玩笑还是认真的？？男主是男主肯定得有；独眼是设计大局，虽然打酱油了，但也得有；英美在队伍里是美人计，最后嫁给了喜鹊，也得有；喜鹊教会了男主洗牌，救了英美，还得骗老头，得有；剩下那位呢？酱油打的太多了吧？是因为最后的20亿太多了，得多个人分？？？ 魔鬼设计骗男主，可是，花蛇是给了男主眼神，还是吻，还是身体？？啥也没有你就爱上人家了？第二次碰到，人家都坑了你一次，你不报仇就算了，还特么乖乖告诉人家底牌，你个傻x，独眼去救他干啥，死了一了百了。最后别人死的死，伤的伤，你反倒是啥事儿没有还多了一大笔钱，有了稳定的工作。 再说说电影里的傻x镜头，男主断自己手的时候，流了那一摊血，再出现连个疤痕都没有，哪怕你贴个邦迪也算是尊重观众了啊。。。独眼死前被断臂，那个胳膊是剔骨了吗？软踏踏的像海绵一样。。。花蛇割魔鬼胳膊的时候，那么白的衣服都溅不上几滴血？？？剧组是不是穷疯了啊，剧本烂的不行就算了，好歹你道具搞得好一点啊。。。 这部不应该叫独眼杰克，应该叫我独自恋爱。 最后，千万别再拍4了。。。拜托了。。。,8.0,2.0,1
1,1,26665875,老千3：独眼杰克,21fc04a8585c486b173ae221521b2918,fed506c381afb7c9156e509f4a0aeb37,4.0,2021-05-15 13:42:02,"整个影片就说了一个事，除了对手，所有人都必须为自己服务才能稳赢

　　男主是色中饿鬼吗，被女主骗了2次也太搞笑了吧。什么投资50亿都信的人，最后能想出策反2人的计划，我不信。

　　那个赌局，毫无意义啊。。。赌博最重要的一点难道不是有能力收回自己的筹码吗？ 三人联手为什么还要赌呢？为了男主想要的胜利吗？老头明明可以在锁上三人的时候，全面操控游戏，但他没有，难道这就是有钱人的恶趣味？(关键是还用的如此明显的老千。。。。)。。。最后还是砍人拿钱的戏码 脱裤子放屁多此一举

　　最后杀了老头的那个打手也怪怪的。。。他们都有莫名的骑士精神吗？正常操作不应该是把主角干掉吗，然后拿着钱跑路吗，可能导演最后想告诉我们适可而止的道理，但这有点牵强吧。到最后主角空手套白狼，靠着一张金嘴，把所有人都忽悠了。。。这科学吗？ 家里冰箱藏了一大堆钱，从来没发现过，这科学吗？",,,0
2,2,26665875,老千3：独眼杰克,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,3.0,2021-04-25 23:25:42,从花牌变为了扑克，在中国的受众应该大了很多，反正我是真真切切地感觉到了斗智斗勇快感。 故事情节继续沿用了前两部的框架，还是一开始技不如人，被人赢光了钱，于是遇到了独眼杰克，他是当年出卖男主父亲的徒弟，现在来还债的。在他的教导下，男主技术日益精进，学成之后就开始报团“千”人。可是遇到的对手还蛮强的，就是一个像村霸一样的人物，爱财、嗜赌、好色、还认死理、霸道、手段毒辣。一开始还蛮顺手的，利用了村霸的不服输，傲慢的性格，赢了他一回。结果他请来了最厉害的主“魔鬼”，结果还是用了一招“见招拆招”，换了魔鬼的牌，让他算错了牌赢了他。关键是男主用了师傅教他的“不打无准备的仗”，牌桌上，除了对手要算是合伙人的原则。这个创意蛮不错的。 男主的两次被动算是因为英雄难过美人关，都是女主出卖，但是他还是义无反顾，真是一个情种，弱点太明显，真心不适合当“老千”。但是讽刺的是，他考上公务员，发现还是有大把可以上赌桌的机会。“赌”无处不在啊！那失落的钱💰也有了着落，竟然全部都在冰箱里。 只是最后的对决太过单薄，以为请出了什么大神，还没过上几招呢，就给沉了池子，真是让大家大跌眼镜，说好的巅峰对决呢？还有独眼杰克，还没露锋芒，就嗝屁了，真是最大的坑，其他的观感都比第二部好，最起码女演员漂亮高级多了。 快意江湖少了些，情场浮沉多了点，不过看得还蛮好的。,1.0,,0
3,3,26665875,老千3：独眼杰克,3c160f96f34b835a7c6c9b4d2d826fa1,87b3b9c74da6f685ace77cbbefb8b8eb,,2021-04-07 00:07:30,当我知道开头那老头是阿鬼，我心都碎了。去尼玛的，选了个不帅的小腌肉自带猪角光环，被判团队不剁手就算了，女主我看到第1小时49分钟都不知道是谁。最可气的，看到近2个小时才知道，导演找了个像肖阳的半拉老头来演阿鬼，前两部阿鬼的豪放不羁，心狠手辣呢。整部剧能看的只有一只耳一个人。最后总结，老千，只有1和2。就像生化危机只有123。,1.0,,1
4,4,26665875,老千3：独眼杰克,14a7fa53ee1f3dfd25cf54f9f1632c2d,01db87696704bf6bc68386aacf57950e,5.0,2020-09-01 01:18:43,我也看过拉萨大昭寺门口12点到1点一个人磕的1000个头，这大概就是人生吧。没有什么想说的，纯粹感慨，作为一个过来的期货人，往事历历在目。 赌博这件事，如果你没死，确实会让你更强大。如果你还有幸走出来了，我觉得吧，唯一的好处可能就是你比别人多经历了那么两三倍的人生。，当然，心也死了，快乐也没那么容易了。,1.0,,0
5,5,26665875,老千3：独眼杰克,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,2.0,2020-08-31 15:00:43,2星，要素倒是真多，赌局、父子情、剁手，砍脚，瞎眼睛，骗子美女，小白脸，各种老千大杂烩。但是太乱了，根本就没有逻辑可谈，主角被坑了一次，第二次又被坑了，被坑两次就算了，第三次还敢合作。哈哈哈，为了娱乐而各种反转，算是把这个类型的电影手法用尽了，唯独没有自己的特色，这部比前两作都要差不少。不过好在有点教育意义，赌博是残酷的，远离赌博，安逸人生。,1.0,,1
6,6,26665875,老千3：独眼杰克,6fce42763e02b489aa6c35b1abdc9826,3119318404d5049202bf6519d5f1412e,4.0,2020-05-07 07:19:29,我主要是根据我看到一些人对这部局很多不满的地方我做一下我的个人看法  纯个人哟 不喜勿喷 首先 我声明我没看过老千12   直接看三是因为光洙。这部电影不会因为前面没看而脱节，而是比较顺滑的思路。这里我说一下个人感受，不好的地方：女主感觉更像林智妍，我看完这部电影又去看了好几遍光洙和智妍的单独部分hhh   因为女主像林智妍所以导致最后崔有华最后没有结局也就那样  看的时候没有在意崔没结局hhh。然后是独眼jk 确实感觉一般般，jk的剧中意思出了独眼杰克还是这张牌处于一个有利的位置 从开始的超强入场给人很大的期待，但是后来为了换光洙直接out都有点淡淡的感觉，还有给某某发jk这张牌感觉没有给人留下印象就很平淡，还有就是想突出最后boss的强大  但是最后的boss被很轻易的干掉了，这个boss被干掉特别像runningman里面某某某一期的反转剪辑hhh 一种很廉价的感觉    还有就是剧中的反转，其实在最后社长的手下被收买那个反转我就感觉挺厌烦的有点过分，而后就是社长的手下说我拿这些钱够了，这里没继续反转我觉得有点差劲  有种你都引起了这个话题缺突然不说吊人胃口的感觉，这里应该继续的，两个点没有把控好。我感觉因为光洙的加入，这部电影在我心里会是8分以上，如果不是光洙演喜鹊可能我会给6到7.因为光洙看的挺开心的。 那么继续 男主的设定是学生，每天的生活就是上学睡觉放学赌钱回家睡觉 一个经常混迹于小赌场的学生这样的形象，如果打个比方就是天天宅在家打游戏的宅男，觉得自己的出路就是靠赌博（打游戏），其实这也是承接下面被 崔有华骗（后面直接说坏女人更贴切）。这位“宅男”接触到了一个很漂亮的坏女人，试问大家如果一个女人甚至可以随便拉一个不认识的人喝酒，那这个女人可信嘛，肯定是不可信嘛，但是这就是主角除了妈妈和学校没什么兴趣的女生接触到的第一个女人，而且很有魅力 从这个地方其实就把这个宅男给吸引住了，从而引出来男主想把坏女人救出来，男主的观念里觉得这个女生是不应该和哪种男人呆在一起  然后被打败，那就是上面说到男主几乎天天都来赌博 甚至还是出路，自己最引以为傲的东西竟然失败了，年轻的他不仅丢掉了最拿手的绝活也在自己喜欢的人面前丢了面子才有了后面冲动的行为（其实我看好多人说这个地方我就根据我的理解说一下）。 之后就是很多人不解光洙发现男主被抓最后为什么没有和智妍一起跳窗户，这里大家的感觉都是一样的，他们敲碎了第一个门板的时候光洙可以直接跳下去，对确实可以这样，但是反派也可以跳下去，这样是三个人有危险，一个老头一个女人，只有光柱是青年 也就是说与其3个人都不利不如2个人安全逃跑，这里光洙真的很男人，直接就让观众感受到独眼杰克挑人的精准，同时也是反应了背叛的后果和代价，光洙丢了一只脚，独眼杰克身亡，也是警戒赌博的危害 其实在最后男主找社长合作这个是可以理解的，社长只信钱，只要利益够大就会被收买，社长收买了那就是继续收买坏女人 也是合情合理的 因为要让赌桌的所有人变成你的朋友。 关于男主实力的问题其实还是很确切的，独眼jk是和男主爸爸是同一代的关系 实力也是可想而知，但是无法从正面打败最后boss甚至剧中的意思是被虐了所以说明男主也甭想，真的男主正面打败才不符合常理 。  有人觉得最后boss前面骗男主钱虎头虎脑的，其实后面有说阿，男主的爸爸最后携带的是一包废纸而真正的钱藏在男主家冰箱里。还有人说男主sasa的不知道自己很有钱，剧中也有表示男主和妈妈是分开住的 而且妈妈也是希望男主要凭借自己力量考学不能因为有钱而荒废学业。 电影的最后也是说男主靠学习考上了公务员 改变了男主想考赌博找出路的想法  但是就算考上公务员也会发现其实那种阿谀奉承见利忘义的小人还是存在也是稍稍的讽刺一下，光洙戒了赌博也是跟剧中的cp有了不用担惊受怕的生活 最后不得不说光洙真的是演的棒林智妍也超有个性很漂亮,1.0,,0
7,7,26665875,老千3：独眼杰克,d41220aa426ab41cdadf35e791ccaf1c,87e45baa61bb571f76ba73c23f10a42d,1.0,2020-01-25 11:36:09,刚开始看的还可以，猪脚自带光环，可以看出别人小动作来判定别人的牌的好坏，这个设定其实挺棒的，带点神探夏洛克的味道。 各位其他骗子的演技也还过得去，光猪的小白脸，美女的小偷手，老者的串通，独眼的运气。这几个就是赌博能一直赢的各种因素。1，老千技术2，神不知鬼不觉的手法3，做局4，运气。可以说，想要赢别人，这几个手段必须要会一些。 以前的港产赌博电影也不离这些因素。比如黎明的赌神，就是讲的手法和做局，发哥的赌神讲的就是心理和实力加运气。之类的等等都离不开这些。 但是这部片子后面，简直是在把人的智商做宝搞。 首先，一群人去骗暴发户，暴发户就不知道从哪里找来了2个帮手来帮。excuse me？消息这么闭塞嘛，人家说人家是高手还经常做，暴发户就随便就相信了？哦，暴发户当时理智不清，随便找人，OK，没问题。 后来暴发户输了，想继续，这个时候骗子女登场，WHAT？人家都认识你猪脚，而且还骗过你猪脚，你猪脚还这么淡定，也不告诉队友，还继续搞，然后还智商下线的跟人家来一发，觉得是真爱？然后全盘托出？然后就被告发，然后就GG了。OK，年轻人被爱冲昏头脑，能理解。 这之后，挑战BOSS，BOSS你的智商就这么低？（确实低，所以被猪脚的爸老鬼骗了两次）哦，可以解释为身在局中不知局。（这里最后的BOSS战，真心不想吐槽，反正手段就是偷天换日，用的是黎明赌神里的手法，就是换牌，然而全程不知道牌咋换的，也不知道这女骗子什么时候有这么好的身手了，或者BOSS失明了吧） 全片最大的槽点就是···谁发牌，谁赢。我就奇怪了，这种赌局居然不是中立人发牌，居然是局中人发牌，这也就算了，全程的洗牌，切牌，发牌，甚至是后面的发牌，都由一个人完成，这TM直接让光注发牌不就OK了嘛。前面男主被骗，是女骗子发牌，中期是被女骗子举报，后期男主自己发牌，赢下牌局，太牛逼了，太厉害了，太帅了。,1.0,,5
8,8,26665875,老千3：独眼杰克,1f9d91c975b4bd47ab006926c42f71dc,6450a5aa8c30225e6cff48868c93eeb4,3.0,2019-12-11 13:21:57,打乱重组版自摸天后+提防老千+少年赌神+无名小子——喜鹊跟森美一样长得不怎么好看，但是活分得实在是太让人出戏了（话说您明白喜鹊的含义吗 跟歌剧的意思不同的） 王胖子看到这一幕会不会很开心呢？ 金汤匙、黑汤匙；喜鹊骗女人钱，女演员骗男人钱；老鬼骗2次，寡妇骗2次，男主骗2次，虽然互文工整 但是内里动机实在是太过薄弱，以至于只有无限扣老千的题，强化金钱至上，而跟前文构建的“度量/ 意志力/有把握时最危险/遵守约定”等等无法前后呼应，最后只能以退出赌局全家套餐作为出口收尾。从场面调度来看，导演对围棋的轻蔑也显而易见。 韩国电影里的赌片，我发自内心的看不上——韩国的导演编剧只知道赌钱要去开船去公海、做老千的最高境界是六亲不认（举目无亲），但是根本没弄明白这种境界的源头到底在哪里，更加不明白十赌十骗和江湖道义之间的对立统一。 类型片挖掘不够还要死命往cult片身上靠， 成片设计章节（这是方便编剧下手吗？） 极尽拖沓之能事， 反转粗糙生硬，做到了娱乐化、商业化，就是缺乏文化。 无论是哪一部老千，大家都不是千万大赌客，大家都是跑江湖混饭吃有今天没明天的小老千，请问在座各位究竟哪里来的自信去招摇去参加赌局亮身份说自己是老千呢。。。。。。,,,0
9,9,26665875,老千3：独眼杰克,1fb7e40a819cfb5dbace1be5d7d2df5c,a4181890b5a491cf96f9399d63da03d7,,2019-12-04 03:28:43,没看过1、2，也不影响观看第三部。 李光洙竟然是小白脸担当，翻身了啊我们光洙！ （虽然最后还是结局很惨） “如果你觉得胜券在握的时候就要小心了。” 时长140分钟还挺长，好在分成了四个小节，一个人名一节。 典型的八仙过海更显神通的犯罪片，会让人想起十一罗汉、瞒天过海美人计的那种。 本来以为也是先惨败，再集结一群能力者，训练，计划，配合，最后赢了生活美滋滋的故事。没想到，可不是宰个冤大头金盆洗手这么简单，设局也只是为了引出最后大boss，算有反转！ 但是这个电影里毛头小孩男主因为女人冲昏头脑透露计划的情节，我[微笑]被骗了一次又一次[微笑]同一个女人[微笑]怎么的，是两个多小时凑不满了一定要横生枝节是吗？？？ 赌命，赌心跳。 “给了四十亿，不就是可以杀人的吗？在这资本主义社会。” “赢了自己想要的，就闭上眼睛，起身走人。” （好多好多好多西八[摊手],,1.0,0
