,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26715617,双生,3e98e8264c3c7123a4e7642ee335284a,2ed92a97fadcf6455220edff131cdde2,3.0,2019-05-18 20:34:36,（以下吐槽皆与明星本人无关）（简短概括 很多细节和支线就不说了。) 开篇为了符合自己艺术家身份而留了一头泡面长卷发的刘昊然找到了一份月薪十万的工作，工作内容就是去一栋豪宅给一个女孩画肖像。宅子里的女管家一见到刘昊然脸色就臭的像排了八百年队但至今还没被ofo还钱的一样，非常敌意，首先表现在把刘昊然的长卷发强制性剪掉（还顺便做了个韩式造型），然后告诉刘昊然哪哪也别乱动哪哪也别去啥啥也别问让你干嘛就干嘛，然后女主角出现了，叫涛，坐着自动轮椅，轮椅后面有个巨大的龟壳式东西，能放下300个精灵球的那种，她和刘昊然说：你现在叫王宝强，你要做我的男朋友，我们已经认识了一年的那种。刘昊然说我不叫王宝强，凭什么。女主说你就叫王宝强好了就这样byebye。（等等 不是来画画的吗  刘昊然得知女主爸妈因为车祸丧生了，女主的姐叫烙（？？？这个名字认真的吗？古早非主流小说来了吗？），烙也一块儿死了，提到她姐的时候女主就会变的很异样，而且女主身体也不好，似乎要进行手术。 然后刘昊然就开始频繁做梦，梦里有个女的和他卿卿我我，与此同时刘昊然还认识了个女网友，叫巍巍，俩人在网路上卿卿我我，然后他在现实中还得每天跟涛卿卿我我，一心三用不是盖的。 然后他就发现涛就很奇怪，主要表现在她的轮椅很奇怪，俩人聊着聊着天突然轮椅就会四处乱跑，他晚上睡觉的时候房门会被打开，床铺上会捡到长头发丝，总之种种迹象吧，他觉得女主有双重人格，另一个人格是他姐，变成她姐的时候就会画画啊梦游之类的。 完了刘昊然说你别难过了你要开始新生活你姐已经死了不要再想了，而且和我网恋那个女的就是你吧你不要再假装了。女主就说万一我姐没死呢我俩你喜欢谁，刘昊然就：？ 然后谜底揭开：当当当当～～女主姐真的没死，女主轮椅后面那个龟壳咔一下崩开了，她姐就蹲在里面，画着烟熏妆十分朋克。  原来俩人是连体婴儿，后背连着的，俩人说你选吧，我俩你到底喜欢谁，给个答案。 完了刘昊然把自己画的画给她姐了，姐开心死了，结果下一秒刘昊然说不好意思啊其实我喜欢你妹，你妹没你坚强没你朋克，我得保护她巴拉巴拉。 他姐傻了，他姐说我俩要做分离手术了，只有一个捐献的心脏，我们决定你喜欢谁谁就得到那个心脏，另一个就死了算了。  刘昊然：？？？？ 刘昊然说：你没事儿吧你俩的生死干嘛让我决定？我王宝强只是来画个画的。 然后她姐就不管不听不理，心态崩了，骂她妹说你夺走我的心脏还夺走我的爱情你不是人，然后想和她妹同归于尽操纵着轮椅就来回在墙上磕，完了就想从楼上摔下去一块儿摔死，结果刘昊然不知从哪儿突然跳出来挡在轮椅前面，咔一下被撞飞了，掉下去了，血哇哇流。  然后画面一转，刘昊然在病房里输液，女管家和蔼可亲地出现了，刘昊然说他姐呢？女管家说死了。刘昊然说那涛呢？ 涛没死，手术成功了，不仅成功了腿也好了，咔一下从轮椅上站起来了，俩人在医院花园相遇如同情深深雨蒙蒙最后一集依萍看见书桓一样，紧紧相拥。  完。 我今天看到导演的回应了，总之是被大幅删改，原剧情看起来还挺吸引人，真的可惜了。但毕竟我看到的就是最终上映的这版，豆瓣上要打分的也是这版，所以对于这版我也只能给个三星，因为真的拍得很…………一言难尽，好奇的观众可以买票看看。,115.0,2.0,86
1,1,26715617,双生,1212199aef8f4442562a574d886f59d1,dad1e91de623a51856624de744c258b5,1.0,2019-05-19 13:21:57,"《双生》上映之前，其实我就挺纳闷的。 昊然弟弟这个在电影宣传期人间蒸发的状态，怎么那么像《龙虾刑警》上映时的王千源啊，莫非这也是一部演员自己都不想承认自己拍过的电影？ 没错,它还真是。 整部电影只有82分钟，居然也能担得起一句“槽多无口”，咱先把剧情捋捋。 刘昊然饰演的青年画家李品，一天从网友巍巍那里，接到了一个月薪十万的工作。去一栋豪宅里，给陈都灵饰演的女孩涛，画她已经死去的姐姐，烙。  这一个月里，李品发现涛情绪无常，经常会问些奇怪的话。那个网友巍巍，对自己也过分了解。 联系平时的一些表现，李品发现烙根本没有死，她就是巍巍。 烙和涛其实是一对连体姐妹，每天涛和李品相处的时候，烙就藏在涛的轮椅背后的罩子里。  姐妹俩到了必须要做分离手术的时候，因为只有一颗心脏，所以只有一个人可以活下来。 于是两人约定，谁能赢得李品的爱情，谁就拥有活下来的权力。 这样顺下来是不是感觉除了有点狗血，好像也还能接受？ 别急，这部电影的槽点，得细细聊。 姐妹俩一个叫涛，一个叫烙这种神起名就都不提了。《双生》号称是一部爱情悬疑电影，拍摄于2015年。 电影里是18岁青春无敌的刘昊然，和长着一张初恋脸的陈都灵。  但这个爱情线，说实在的，简直就是渣男宝典加鉴婊指南。 李品好端端地来工作画肖像，结果直接被涛要求，在这个月里扮演她已经交往一年的男朋友。 这时候的李品已经在微信上和堪称知己的巍巍聊得火热，口口声声说她是自己最喜欢的人，结果犹豫都不犹豫，一秒入戏，摸头杀摸脸杀绝不含糊，晚上还能继续捧着手机和巍巍畅想未来。  虽然有时表现得挺亲密，但李品和涛聊天的时候更多的还是为了作画，了解和烙相关的事情。 中间巍巍说漏嘴，暴露了自己认识宅子里的管家，李品以为巍巍和烙都是涛的伪装，还挺不高兴，自己默默开始查找治疗多重人格的方法。  然而！最后看到了连体状态的姐妹俩，知道了自己认识了一年的巍巍，其实就是一直没有出现的烙。李品在被要求做出爱情选择的时候，居然一扭头选择了和自己没什么感情基础的涛。 理由堪称渣男金句：“因为她没有你那么坚强，所以我想要保护她。”  好惊喜，好意外，一点也不感动。 而涛呢，本来一直都有点神经质，一提起姐姐就撒谎说她在车祸中死了，说自己讨厌她讨厌得不行，一言不合就爆发“你爱我还是爱我死去的姐姐”这种灵魂质问，看着也不是个圣母。  但她在被李品选中，成了爱情生命两手抓的人生赢家之后，马上就成了傻白甜，哭得比姐姐还心碎，一出姐妹情深演得比谁都真。 国产爱情片里，白莲花或许会迟到，但永远不会缺席。   不过有趣的是，这么一部爱情悬疑电影，爱情线比悬疑线更悬疑。 你永远猜不到李品在涛、烙，还有网络一线牵的巍巍之间要摇摆几次。 但所谓的疑点，你总能比正在探秘的男主角先知道答案。  烙还活着这种事，都不用等到揭秘。 涛没事就会和一个没出现过的人争吵，每次她在关于烙的事情上撒谎，编造烙死去的故事，她的轮椅都会瞬间不受控制，开始狂暴甩尾。  尤其这个轮椅的样子，就像个蜗牛壳，背后空间相当大，还留下了可供呼吸、观察外界的小窗。让人瞬间联想到江户川乱步的《人间椅子》里，那个藏身于椅子里到达各种地方的工匠。  这简直就是把“姐还活着”、“姐就在你背后”几个大字怼到了观众脸上。 以至于最后李品看到烙从轮椅后面现身的时候，全场只剩下他独自惊讶，你说尴不尴尬？  巍巍就是烙，也不用等着跟李品一起恍然大悟。 这房子在管家嘴里，就是个保密局一样的存在，没有外人会下达来这里画画的任务。 而管家和涛都不太懂画，只有烙特别有艺术天赋，那把李品介绍过来，和他一直谈人生谈艺术的不就只剩下她了吗？  想搞悬疑，结果一直让观众走在剧情前面，翘着脚抖着腿等着主角跟上来，这还玩个什么劲哪。
 说起来，整部电影最出乎意料的，一个是姐妹俩用爱情决定生死的设定。一般人还真就想不到这么重要的事情，要由一个摇摆不定的大猪蹄子来决定。  另一个，是当烙成为没被选中的人，开始发狂，不小心把李品撞飞，从二楼摔下。 血流了一地，每个人的表情、音乐气氛都无比悲伤。结果下一秒李品在医院恢复得倍儿棒，出门就和做完分离手术的涛谈恋爱去了。
这身体素质谁能想到？反正我是惊呆了。  总的来说，电影看下来，悬疑感主要靠bgm烘托，要么就是轮椅一惊一乍地吓人。 但鉴于轮椅承担了测谎仪的作用，所以直接省了观众跟着剧情动脑子的力气。唯独辛苦了编剧，用尽洪荒之力在剧透。  剧情已经成了流水账，演员也没能力挽狂澜。 可能因为是2015年拍的电影，昊然弟弟还没从《最好的我们》里走出来，李品说着话时不时地刮鼻子挠后脑勺，都会让人瞬间出戏到余淮身上。  陈都灵虽然是一人分饰烙、涛姐妹两人，但烙直到最后才出现，其实已经在很大程度上降低了表演难度。 然而，区分姐妹两人，还是靠着一个白衣直发楚楚可怜，一个烟熏妆加姨妈色口红，看着疯疯癫癫。  照这么个表现方式，那跟“双生”的设定，还有什么关系呢？ 就这样，《双生》还号称是由中日韩影人“隔空联动”，不仅有中国版，还拍了日版和韩版。其中，韩版和中国版《双生》是同一个导演。  目前这另外两版也都已经拍完，看起来好像也要在今年上映，但到了现在还是悄无声息，连个海报都没有，很有可能也是质量堪忧。    那就多嘴一句，各位编剧、导演手下留情，要么悬疑，要么爱情，可着一个标签玩。 这种一口气揽下两道题，结果乱炖炖成了四不像的，你累，我们坐在电影院撑完这82分钟，比你还累。 拜了个拜。 想看更多影视解读，欢迎关注我的微信公众号，ID：小片片说大片",60.0,4.0,17
2,2,26715617,双生,2191c99133d2aa7c523ae3fbb9090a4d,5cadd3f1c4d0d8d4b97a8bab0e9e147c,2.0,2019-05-19 16:16:03,原本一星，看完导演微博改成两星。由于具体的原版的电影我并没有看到，所以不能由着自己的揣测去评价。谨对我刚刚看完的这部电影，它最终呈现在我面前的样子，最多也只能达到这个分数。 很失望，电影行业确实不易，但是如此不诚信，败坏道德的事情发生实在令人不齿。我为这部电影贡献的票房，也不能被导演，为这部电影付出心血的人共享，这实在是一件悲哀的事情。 本影评不涉及剧透，但也不推荐各位影迷去看了，确实浪费时间，并且给不到导演应有的尊重，如果我提前知道这样的事情，是绝对不会花钱走进影院看这部电影的。 再次提出，昊然弟弟真的好惨，不要背锅，制片方的问题，希望法律可以多多保障大家的权益，很可惜的事情。,51.0,2.0,5
3,3,26715617,双生,6ac21768f2667855d7c6663b6af3263e,a2dabe257c90180afff4590b5c3c3910,3.0,2019-05-23 09:40:52,"在电影《双生》上映的第二天，韩国导演金振成在看到剧透评论时，完全懵了。 由金振成执导，刘昊然、陈都灵领衔主演的都市悬疑片《双生》在上映后遭遇了惨败：上映五天，票房1660万，豆瓣评分3.6。 而对于导演来说，远隔重洋透露过来的剧情令人感到迷惑：原本由刘昊然出演的双胞胎兄弟戏份被直接剪成一个人，情感线的设定被完全打破，整部影片已经变成了另外一种模样。 “我觉得最无法理解的是这么巨大的变动，竟然在事前没有征求我的任何意见。”在《双生》的后期剪辑过程中，作为导演，金振成没有获得最终剪辑权，没有收到自己应有的劳务报酬，甚至在影片上映后都看不到，自己的片子究竟被剪成了什么样子。     换角、补拍、挤压三年，自行后期，在时局和资本的两重挤压之下，金振成一开始就丢失了导演的最终剪辑权，这或许是他唯一能够维护作品的机会。若是再退一步，像其他导演那样愤而放弃署名，那么连追讨自己辛苦钱的机会也要失去。 没人会甘愿放弃自己的作品，但当它已经被涂抹得面目全非之时，这究竟还算不算自己的作品？ 最终剪辑权：权力的游戏 最终剪辑权，从一开始，就是一场权力的斗争。 在好莱坞，制片人中心制树大根深，最终剪辑权早已牢牢握在制片人手中，如果有导演能够掌握住最终剪辑权，那证明导演本身已经是一块金字招牌。 当年吴宇森闯荡好莱坞，成为五位握有最终剪辑权的导演之一，是华语圈子迄今为止还津津乐道的事实。     当制片方紧握住最终剪辑权时，大多会从纯粹的商业利益方面来考虑。在电影上院线时，时长越贴合观众传统的观影习惯，票房往往更卖座；二则是内容，在艺术影片中，越个人化和晦涩的情节，越容易遭到“剪刀手”。 当一旦影片打入国际市场，影片在发行方手中，会剪出许多个长短不一的版本，影片的内容完整性，自然也不再是导演能掌控的了。 导演和片方对于影片剪辑权的争夺，从电影艺术诞生之初就已经开始。1927年，《大都会》在德国柏林首映，时长153分钟。正是由于各地发行商纷纷自行剪辑，导致该片一直难以还原本来面目，直到2001年才有修复版本面世，同时有四分之一的内容已经确定难以找回。     最惨的自然是美国影史上赫赫有名的《美国往事》。当时早已拍出《黄金三镖客》《偷自行车的人》等多部知名影片的赛尔乔·莱昂内，为《美国往事》找投资长达11年，拍摄出的影片长达251分钟，但后来在美国上映后，影片大段闪回场景被删除，导致本片票房口碑全部失利。多年后，导演剪辑版本流出，才使得这部经典影片重见天日。     事实证明，即便你是大牌导演，也很难永远避开与片方的剪辑权官司。尤其在好莱坞影片系列化、投资人越来越不敢冒险的今天，导演剪辑权已经越发难成为导演的特权。 早在多年以前的异形就是个例子： 在拍摄《异形3》时，大卫·芬奇在拍摄时完全没有片场的控制权，在拍摄期间就不断与制片方发生摩擦，甚至连导演剪辑版也没有参与制作就退出了。大卫芬奇不仅不承认这部影片是自己的作品，并且一度扬言：“许多人都讨厌《异形3》，但没人比我更讨厌它。”     如今风行十年的漫威系列自然也跑不了。由于漫威宇宙画风的统一，导演在拍摄时所能发挥的空间并不多。《雷神2》的导演阿兰·泰勒“在拍摄时拥有绝对的自由”，但事实上，在拍摄后“制片方将影片剪辑得面目全非”，使得阿兰·泰勒表示从此以后再也不想拍漫威电影了。 当然，如果制片方非常善于销售DVD和蓝光碟，那么导演剪辑版则又成为了盈利的好商品。为了增加销量，导演剪辑版、导演评论音轨、拍摄花絮，都会成为电影的附加产物。但对于有的导演来说，这无异于画蛇添足。《异形》导演雷德利·斯科特就曾经表示，异形的公映版本就是他最满意的版本，而导演剪辑版“根本没有诞生的必要”。 放弃署名：导演最后的抗争 在国内，由于DVD和蓝光影片发行市场萎缩接近于无，网络平台又处在蓬勃发展期，导演的影片通常在公映后就已经成为定局，所谓的导演剪辑版，大多无法见光，所以导演只能把所有精力放在和制片方的谈判上。 在中国商业化逐渐完善的情况下，制片人中心制和导演中心制不断进行拉锯，在前几年也多有出现导演和制片方诉诸法庭的情况。 2011年，《肩上蝶》导演张之亮，因为公映版比电影节放映版少30分钟，实在无法忍受，一怒之下宣布退出影片所有的宣传工作。在双方拉锯战下，片方最后还是同意，公映版本使用由导演剪辑的120分钟版本，但也干脆利落地放下话来：这部影片会承担更大的票房压力。     也有不那么幸运的导演。同年的《假装情侣》，导演刘奋斗最终就没有争夺到影片的最终剪辑权，在双方因为时长和补拍镜头产生分歧后，刘奋斗的署名方式是“前期导演”。 当时卷在漩涡中的刘奋斗说：“到目前为止，中国任何一个电影公司和导演都没有电影的最终剪辑权，只有电影局有。制片方和导演在争那个实际上他们都没有的东西。” 这一点，恰好在几年之后的《浮城谜事》和娄烨身上验证了。     在《浮城谜事》上映41天前，娄烨突然接到广电总局的意见，建议修改男主角用锤子连砸十几下杀死拾荒者的镜头。但是娄烨导演坚决拒绝了这一修改。后来，虽然影片只用了淡出处理，但娄烨仍然放弃了公映版本的导演署名，以此来抗议对导演创作权力的干涉。由此，娄烨也成为了大陆第一位放弃署名权的导演。 当一部影片的商业化压力极大，导演对艺术创作的追求就越发地微不足道。即便是娄烨自己，后来也曾公开表示，他之所以能把导演剪辑权坚持在自己手里，是因为他的影片投资回报压力并不大，一旦投资特别大的话，决定权也自然不会落在导演手里。     如果无力坚持自己的影片剪辑权力，导演放弃署名权，就成为了一种行为上的控诉。事实上这对影片的发行也极为不利，如徐浩峰的《刀背藏身》，就迄今还未上映。 在此前导演和片方因为最终剪辑权闹上法庭时，法庭给出的判决即认定：通常情况下，导演聘用合同不能由单方任意解除，这既是对导演权利的必要保护，同时也是对投资方利益的必要保护。 一旦允许任何一方单方任意解除合同，都势必造成合同履行的极度不稳定，并进而造成双方利益的损害。目前，作品著作权归制片人所有，导演享有可转让的法定署名权利。 随着中国影片商业化日益成熟，制片人中心制和导演中心制的冲突日益强烈。同时，越来越多的知名导演开始涉及制片人领域，身兼大导演和制片人两职的电影人，就成了为这座天平的重要砝码。 像贾樟柯就不认同制片人拥有最终剪辑权的制度。他曾坦言，好莱坞制片人掌握最终剪辑权的确很普遍，但这是建立在他们的制片人专业程度很高的基础上，事实上在中国，制片人对艺术规律的理解还是难以和导演比肩。     而目前由于中国电影行业不成熟，还未出台详细的制片人制度。许多制片人和导演的建议都是，希望导演和片方能在事前的合约里，写明剪辑权的问题，以免后续发生争议。 但将这一权利落实在纸面上，真的有那么容易吗？ 有导演在被问及这一问题时，立刻道出了自己心中的困惑： “都说资本寒冬，有时候连找到投资都费劲，在一开始就说，我要导演剪辑权，万一片方不想给，导致整个项目都被搁置了，又该怎么办？” -FIN- 公众号：导演帮（daoyanbangwx） 



",32.0,1.0,2
4,4,26715617,双生,c7bc0b04e1cc7cda1188bfd2298907ae,b15c270b7ece316dc8700c4e30d423f3,5.0,2019-05-19 16:59:40,讲道理这影片一般来说我打三星，多的一颗星给刘昊然，另一颗星给我自己的脑洞。 首先这片他本来剧本肯定不这样，导演也出来说了剪的他都不能想象，一部完整的电影被以鬼斧神工的技术剪成了另一部只剩80多分钟的电影，是真实的妈都不认。海报上好歹还有六口人，真的放出来也就三人转，ps俩女主算一个人。 但是这支离破碎的剧情里，还是有一些闪光点吸引我看下去的：比如导演对悬疑惊悚的渲染，他用诡谲的音乐配合老式豪宅的空镜，回忆与现实交织的闪回蒙太奇手法，扭曲的画像道具（尤其是埋下伏笔的那个轮椅），告诉观众：我们真的悬疑惊悚！再比如整个剧本的构思，连体人这个设定在很多恐怖、悬疑、推理作品里都会用到，而且往往能成功的让观众体会到反转，我这次也是猜想了各种女主姐姐的情况，都没有想到她其实一直跟女主在一起，直到那个半夜轮椅倒着走我还以为是毁容的姐姐不敢拿正脸面对男主……如果真的是如导演所说原本是双胞胎兄弟的设定，那完全可以搞摔死了一个另一个来报仇的戏码，想必矛盾冲突和隐藏的线索以及最后的双重反转会比现在精彩不少（我甚至还幻想了一下黑化的给兄弟报仇的男主和成功摆脱了姐姐的女主拥抱的时候各自面对镜头微笑的场景会有多刺激了）。 当然说这么多，最后我要说，这电影能吸引我去看他去分析的最初的也是最大的动力，就是他有十八岁的刘昊然啊！虽然很可惜没有看到完整的剧情，但是十八岁的刘昊然，把李品那有点青涩，有点淘气，好奇心旺盛，认真又温暖的样子完全的演绎了出来，我很期待演员刘昊然下一次在大屏幕上呈现的作品。,106.0,21.0,60
5,5,26715617,双生,cfb0392b54d237213b1ab0206137e54e,a024f0e1492e06cc74787b84f57cb661,3.0,2016-07-01 01:37:57,"《北京爱情故事》：家境一般，为喜欢的女孩打黑工攒路费。
《唐人街探案1》：幼年父亲重罪入狱，母亲下落不明；高考落榜，想去泰国散散心结果却阴差阳错卷入大案。
《最好的我们》：家境一般；高考失利；母亲重疾，父亲多病；十年没有耿耿（当然耿耿也是）。
《双生》：剧情待定……

总结来看，刘昊然同学主演的角色的共同点就是：悲情男主！但是却永远阳光外露。或许这就是让很多人喜欢他的理由，他仿佛就是每个人身边都有的高大阳光男孩的化身，随时准备开启中央空调温暖人心。
当然也有缺点，但似乎也是那么实诚的缺点，实诚到几乎每个人都有——偶尔的小脾气、固执和自大。
目前他的角色还是集中于学生上，刚刚好发挥年龄优势，正应了那句“在最好的时光遇见”。随着年龄增长，刘昊然同学大概也会逐渐尝试不同戏路。
最后，真心希望这次不要再是苦情男主了！",37.0,5.0,32
6,6,26715617,双生,d802d6c087220e1425241731bfb8b8f1,ba11a7bf52e9231abd5d4dddc76be9d5,1.0,2019-05-18 13:13:20,它一定要一百四十字。本来很期待刘昊然和陈都灵这对CP的，结果片子一直跳票。我们知道，这样的片子十有八九会烂，但看在我标记想看都好几个月的份上，好不容易上映了就去看看吧，哈，电影一开始，一头长发的刘昊然就雷到我了，他在奔跑，一直在奔跑，秀发在风中飘啊飘，这TM什么鬼造型啊？！？？？完全不符合刘昊然的气质好吧！性格扭曲变态作到无语的双生姐妹奇葩到雷人，一声声“涛”、“烙”叫的我差点失禁！还有这什么狗屁剧情啊喂？！？？？编剧和导演是哪路神仙啊？！（够一百四十字了吧）,25.0,8.0,15
7,7,26715617,双生,527745872072c36d7e408391696a7f37,955b28db0ed15fd2d89bfb84a8cbc2ff,3.0,2019-05-18 21:31:19,"演员演得都还好，导演和编剧实在是差。 
1.李品到了涛家既然是画画的，居然第一天没去画室，只是见了涛，第二天阿姨才领李品去画室。而且，一个月里，画画的场景戏就2场左右，花房的戏更多。 
2.李品做梦有个男人从后面抱住他掐他脖子，但后来故事走向没有任何有关情节出现。 
3.回忆姐妹俩小时候的场景，感觉是两个独自能跑动的女孩。只是不太记得是否有两女孩面对面或同向的镜头，如果有，那绝对是大BUG，如果没有，那也是很卑劣地用镜头回避误导。高明的导演应该拍一些连体儿家庭可能存在的情况，比如说，特制的富有童趣的双人椅，或者有些背靠背的镜头，或者一个望着窗外，一个对着屋内，但这些镜头要都不会让人想到连体。只有到结局出现，大家才恍然大悟，回忆里其实已经提示了。这才是高明的导演应该做的事。 
5.原以为路海是前男友，结果路海是在儿时估计看到连体儿吓得逃跑就摔死了的小男孩，难道涛非要叫李品为路海，是为了诅咒他也摔死吗？又是一个没有合理解释的无脑卑劣骗人编，搞笑的是，居然李品还真差点摔死。还用这来呼应路海的死。 
6.阿姨处处行事乖张蛮横，说话说话神神秘秘，但却没多少必须这样设定的深层理由，成为刻意渲染气氛的工具而已，缺少人物行为和性格合理性的逻辑。 
7.剧本逻辑混乱，情节设置刻意，故事推进层次不清，剧情单薄，无脑拍。 
8.本来可以重点好好刻画人性的性格，和抉择的描写，却拍得毫无生气。",21.0,1.0,18
8,8,26715617,双生,f91e0e74cf54de8b06bb84d5e67564ee,efd8a24f67c4955dce4fd9dd103e0992,2.0,2019-05-20 12:25:07,18岁的昊然弟弟果然是一见倾心的初恋脸，不过这也并不能阻挡被骗进电影院的小沮丧。原本以为这是刘昊然年幼无知时期接拍的电影，仔细看竟然是在大火的《唐人街探案》《最好的我们》之后拍的，也是很难理解   百度百科在介绍这个电影时，有一段话让看了电影的人有点懵     明明是一个男孩和双胞胎姐妹的故事，怎么就变成了两对双胞胎，不过随着导演的表态，原来还有另一番真相       不得不说，被电影震撼的大部分观众其实看不出两人变一人的bug，这个现在看也不知道是成功还是不成功   看完电影，《双生》的故事确实有点简单，艺术学校学生李品（刘昊然饰），因为10万月薪的兼职工作，邂逅了女孩涛（陈都灵），工作内容是给涛还有她一直没有出现的姐姐画肖像画，然而在朝夕相处的过程中，李品逐渐发现了这栋房子里似乎还隐藏着一些不为人知的秘密   首先要承认的是当成悬疑片来看，严肃到变态的管家、动不动就人工智能的轮椅，睡梦中出现的手，气氛铺陈的还算可以   再加上男女主的颜确实很能打，路人缘好得刚刚的       当剧情乱成一锅粥，逻辑完全崩塌的时候，也要绕过主演，对，他们是无辜的      就说剧情，不知道要是按照最初的剧本设定剪辑，呈现的故事会不会更好，但说句中肯的话，制片方没理由在结果不明确的时候，牺牲一部院线电影的精彩度。电影的崩坏，是在中途之后，这里还有插一句嘴，87分钟的时长实在算不上良心，难道是后期素材实在匮乏到撑到90分钟都有难度？   男主一边忙于给清纯妹子画画，一边要和网恋的“女朋友”聊天汇报工作，悬念揭开，清纯妹的姐姐一直在她背后，是真的背后，俩人连体，共用心脏。两人活一个，生死大权掌握在认识一个月的男主小画手手里。    男主一直怀疑网恋对象就是姐姐，迫切的想见姐姐，姐姐也以为自己是被选择活着的那个，就像所有见光死的网友一样，灵魂画手在看到发育迟缓的姐姐之后，秒变卦，说自己喜欢的是妹妹，此时真的一万头啦啦啦啦奔驰而过，看到昊然弟弟俊俏的小脸躺在血泊之中，情绪才稍稍有所缓解。    两个星送给颜值巅峰的刘昊然，真的是所有吓死人的造型都能撑得住。片中昊然弟弟或专注，或浅笑，或回眸，每一个神态动作都散发着阳光般的温暖，惊艳了时光的十八岁如风少年，散发着无法抵抗的青春魅力。 至于青春+悬疑的《双生》，我信你个鬼呀！,10.0,,4
9,9,26715617,双生,bb9d45d5f52f15e93210f99c8de2b60a,095e5703b67a1b98700930d27994c738,4.0,2019-05-19 22:01:41,对于甜甜的爱情片总归是有审美疲劳，所以对有着悬疑色彩的爱情文艺片《双生》我还是有些好奇的。 买票去看了下这部搁置三年，重新剪辑的电影《双生》。传闻中这部电影有中日韩三个版本，但好像目前仅中国版上映了。 总体而言，这部影片重新剪辑后剧情上基本完整，可以看出片方是努力保持完整，但碍于一些因素，个别处还是有所突兀。背景音乐比较优秀，场景布置很甜美也很诡秘，搭配食用让我这个不怎么看恐怖片的人吓得一愣一愣的哈哈哈。 全片的出场局势只有五个，李品、涛、烙（化名巍巍），贞姨和忽略不计的医生。我个人认为白衣的李品可能是原先刘昊然饰演的双胞胎弟弟路海，也是烙一直喜欢的男孩。因为从影片中刘昊然的表现来看，李品两次梦到走进姐妹俩的房间听烙弹钢琴，以及与烙一起在雨中奔跑的场景，两个场景中的李品更加温柔，眼神细腻，蕴含深情。而李品则更多是好奇，松快与警惕，我的形容词也许不合理，但两者的气质似乎确有不同，这一点从两人一个惯用26键，一个是9键可以猜测得知。李品与路海分别有其人，但很可惜，上映的版本将其减为单人。 涛和烙在片中展现了出来，烙是姐姐，霸道有能力，涛是妹妹，性格上怯懦些。影片里一个很大的矛盾点是这是一对双生子还是连体孩。起初的奔跑画面让我认为是独立的两个有心脏病的孩子，但只有一颗心脏源，后面的剧情又告诉我是连体婴，共用一颗心脏。这样烙独立弹钢琴的画面只能是梦境，不可能是现实。烙和李品保持网友的关系，但似乎有点点友朋以上的感情。烙的画作以涛的名义展示，李品喜欢这种画风，而涛自然成为了李品的女神，片中也明确表达出李品喜欢涛的情节。李品的情感在这时似乎有点矛盾？但是别忘了李品也是双胞胎，小时候被双胞胎姐妹邀请来家玩的小男孩，但最后摔下楼惨死的应该是路海，也就是李品的双胞胎弟弟。烙似乎对儿时的路海念念不忘，李品作为路海的双胞胎哥哥，拥有路海的容貌，烙对路海的喜爱自然转接到李品身上，只不过她化名为巍巍，与李品保持了微信互动。 我无法理解为什么一直以来都是涛展现在外，交涉人际，烙躲在轮椅下控制妹妹行为，烙为什么会在长大后失去自信，为什么强调妹妹夺走了一切？烙这个名字指向何种伤痕？ 这些问题让我去看了看影片的制作团队，作为导演及编剧的金振成的作品不多，但匪夷所思的是，这部已经上映的影片导演本人也没有看过，甚至至今导演本人也联系不上制片人金世镐，报酬也同样未得到。从导演本人的微博解释可以知道双生剧情的突兀是由于双胞胎兄弟的戏份被大幅删减，原本坠落而死的是李品，不是路海，这与已展现的剧情有很大出入。导演本人对剧情被打破痛心不已，对两位青年演员的努力付之东流同样感到抱歉。虽然不能偏听一面，但可以肯定的是几经波折，艰难上映的双生确实是一部剧情不完整的影片，而这不完整是由于制作团队后期加工导致的，演员本身并没有问题。 而被导演唾弃的制片方金世镐，公开资料显示是上海灵芮娱乐有限公司的法定代表人，北京星耀天下文化传媒有限公司的老板。而灵芮娱乐也是陈都灵的前东家。这位制片人的公开作品只有一个，《双生》。按照导演微博长文的说法，他在没有通知编剧和导演的情况下，擅自删减了影片，并且拉黑屏蔽导演联系方式，拖欠劳务报酬，表现出失联状态。由此窥见这位制片人对文艺作品的敬畏心实在令人担忧，似乎是趁着两位青年演员的口碑与流量割一波韭菜。 《双生》作为一部爱情悬疑片，展现了李品与涛之间相互依存的爱情，烙对路海的畸形爱恋，背景音乐为这部剧的悬疑色彩增色不少，梦幻多彩的场景布置反衬出现实的残酷与冷漠。如果你刚好看到这篇影评，我想说这不算一部很差的电影，值得你坐在电影院看完这82分钟。,12.0,3.0,10
