,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26892558,叛徒,cfd4fb10263acfa7c077ae52b9fead32,aa7ec7b46250b0babc3399115833ad97,5.0,2019-09-29 16:00:16,"西西里自古民风强悍，与迦太基、罗马斗，与日耳曼人、阿拉伯人、西班牙人、自己人（墨索里尼）、纳粹德国斗，从奴隶社会斗到20世纪，谁骑在他们头上就跟谁斗。 1282年西西里爆发反抗国王查理一世的大起义，史称“晚祷事件”，秘密组织mafia由此诞生： 饱受神权、贵族及其鹰犬压...

                         ( 展开 )",93.0,4.0,12
1,1,26892558,叛徒,eba602b73c30b97132eb9f7eacb7babb,d10c0e19c65191ca83ec199dafe4af6e,5.0,2019-06-22 03:38:17,"这篇影评可能有剧透 

                        首先这是一部不可多得的好片，非常感谢上海电影节能给我们带来如此出众的影片，对于我而言这部电影的水准可以和教父媲美，不过我觉得可能也有不少观众处于脸盲状态，但这并不影响电影剧情的精致。 从剧情角度说这部电影包含了太多细节来衬托剧情，可以说没有一丝浪费的情节在，...

                         ( 展开 )",37.0,6.0,15
2,2,26892558,叛徒,706185fc5437df4655d4bf406b197da2,724d2d67a032a0a545e69d579996af3a,4.0,2019-09-22 17:19:19,"提起意大利黑手党，恐怕绝大多数人脑海中浮现出的第一个词就是《教父》。得益于马里奥普佐的深刻描写和马龙白兰度、阿尔帕西诺等演员的精彩表演，《教父》这部电影不但在世界影史上占据了非常重要的地位，也让片中虚构的美裔黑手党家族“柯里昂家族”的形象深入人心。 但就像《...

                         ( 展开 )",21.0,1.0,4
3,3,26892558,叛徒,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,4.0,2020-10-05 00:08:57,"这篇影评可能有剧透 

                        意大利黑手党题材的影片盛行不衰，恰巧去年在欧洲三大电影节上均有作品入围，柏林的《少年黑手党》走的是青春成长路线，威尼斯的《黑手党不再是曾经》是一部备受赞誉的纪录片，而戛纳的这部《叛徒》绝对算是近年来最扎实且独特的史诗作品。现年80岁高龄的意大利大师级导演马可...

                         ( 展开 )",,,1
4,4,26892558,叛徒,8c32d29f4d8c45a29cad77c159ae3a5f,88d9145c63348a2b21a39dfd6914a964,5.0,2020-08-30 11:50:03,"这颠覆了我对以往黑帮片的认识。《教父》系列侧重的是黑手党对家庭的责任和成长，《叛徒》则是对黑帮内部腐败，权利斗争的结果，布达西就是内部斗争的牺牲品之一，作为剖开罪恶的切入点。从小看着布达西孩子长大的叔叔，居然能狠到打破默契形成的规则，把孩子勒死，这真的不是...

                         ( 展开 )",1.0,,0
5,5,26892558,叛徒,2757ba24fbdebd52845adb9dac2df20f,f671b138c94f3f934fb2f82e23da84b3,3.0,2020-08-19 06:29:57,"这篇影评可能有剧透 

                        意大利电影《黑金叛徒》根据真实的人物事件改编，倒是回看了一下意大利西西里黑手党们的兴亡史。在20世纪80年代，意大利巴勒莫巨大的海洛因贸易，两大黑帮家族对立期间，男主角多玛索·布希达却想激流勇退，他最大的理想是想平安的死在床上，于是远走巴西，不过另一个黑帮家族...

                         ( 展开 )",3.0,,0
6,6,26892558,叛徒,2757ba24fbdebd52845adb9dac2df20f,f671b138c94f3f934fb2f82e23da84b3,3.0,2020-08-18 20:54:30,"这篇影评可能有剧透 

                        意大利电影《黑金叛徒》根据真实的人物事件改编，倒是回看了一下意大利西西里黑手党们的兴亡史。在20世纪80年代，意大利巴勒莫巨大的海洛因贸易，两大黑帮家族对立期间，男主角多玛索·布希达却想激流勇退，他最大的理想是想平安的死在床上，于是远走巴西，不过另一个黑帮家族...

                         ( 展开 )",,,0
7,7,26892558,叛徒,1a985330176a49a7f7aa9bc1f6f95f6c,03d99942ac0b4172788a23f095edf310,3.0,2020-04-15 11:42:28,"其实快意恩仇只在书中，而人的欲望的无穷尽的，随着生活压力的不断增大，其实“我的事业”这样的组织，最大的影响是因为欲望带来的，不断增加的需求，一旦需求得不到满足，就会产生变化，这根矛盾本身是相辅相成的，并没有什么更加伟大或者高尚。 所以杀人其实是不高尚的，不管...

                         ( 展开 )",,,0
8,8,26892558,叛徒,aae258d3e04adc7cf4cb8a2bb25af3ed,55cee9dfa9648864ea9d93751fb429c9,4.0,2020-02-19 11:59:01,"片子根据真实故事改编，很经典的一部电影，开头的这一段就让我感触颇深，主角作为保守派的黑帮元老，他似乎隐约感受到了家族的变化，喧嚣的聚会，看似和谐的谈判，相亲相爱的挚友都像是表面繁荣的虚伪，他选择在这时候离开黑手党，离开意大利也许就是对自己所在组织正在发生变...

                         ( 展开 )",,,0
9,9,26892558,叛徒,6dc8cb6786f1106c00151d5ad7cb3cde,e3e5148b6265f4879d021520033e104c,5.0,2020-02-09 13:55:04,"这篇影评可能有剧透 

                        《黑金叛徒》意大利剧情片，真人真事电影确实不错，意大利70、80年代的法院有那么先进，对犯人还有各种权利，不敢想象。意大利黑手党由君子变为一群真正的黑社会，前黑手党老大被迫和警察合作，最终对整个意大利黑手党造成毁灭性的打击。[好电影值得一看] ◎获奖情况 第72届戛...

                         ( 展开 )",,,0
