,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26921076,舞出我人生之舞所不能,ed58a5c2e65fd983c1568ceb71d1650a,ec6acb2eebb3d044d1c23adae3c22b44,3.0,2019-07-26 11:17:55,"看完了，剧情不评价，几乎没啥剧情，重点还是看舞。 有中国街舞第一人黄景行和好莱坞最炙手可热的舞蹈工作室MDC红房子坐镇，个人觉得电影里的舞蹈质量甚至略高于国内大火的舞蹈综艺。其他的演员跳舞也很有张力和技巧，整体水平很高，后面battle部分舞蹈非常炸，不管是编舞还是...

                         ( 展开 )",71.0,2.0,7
1,1,26921076,舞出我人生之舞所不能,bdcf79ea73fb8b7e6e28bd1ff3663361,bb12844bbb355e8028c1ec244a6cfcd2,5.0,2019-08-01 18:22:21,"这篇影评可能有剧透 

                        《舞出我人生舞所不能》影评 写在影评之前：1、本影评专为喜爱舞蹈的你敞开；2、很少写长评，只因一写就会收不住闸，不喜欢快餐文化，尽力做到言简意赅，所以感谢能全篇通读的你；3、同时召唤一下真正一心一意有责任心能客观写影评的豆友；4、本来是客观的打了四星，但看到一些...

                         ( 展开 )",10.0,5.0,10
2,2,26921076,舞出我人生之舞所不能,15d7eea31f22c2d45eea92109daa0307,ec73ab5d77519fbaf7fce8a74b8ac425,3.0,2019-07-26 12:02:50,"电影正在腾讯VIP限时特映，6块钱买不了吃亏买不了上当，可以看到明日巨星17岁青涩的样子。大家赶紧去看呀，孟美岐以后大红了恐怕会追缴这部可怕片的版权大家想看都看不到了。 融合了伪W骨科富二代跨越阶级虐恋监狱风云打工仔爱拼才会赢心机女翻拍团伙横插一杠当中还以迅雷不及...

                         ( 展开 )",2.0,2.0,0
3,3,26921076,舞出我人生之舞所不能,89956ad3527333d5ac7aa13df5bf2d61,f84d174fad71ab7c1049e1cac110bb20,1.0,2021-09-03 11:07:58,"这部戏真的超级无敌难看，电脑看的，全程快进，看不下去，主要是主演好丑，一堆杀马特，造型什么的都好土，我以为我在看葬爱家族的剧，女主是会跳的，但辣了眼睛是她的身材和衣服，这女好胖，看的时候不能直视的，实在丑，演技就不用说了，糟糕透了，听他们说台词好尴尬。这么...

                         ( 展开 )",,,0
4,4,26921076,舞出我人生之舞所不能,232c4beac71c2a073f9e3992455b4edc,87b25d10652633e24a3dd96f31bb982f,3.0,2020-03-28 16:25:52,"腾讯视频7.5索性来豆瓣看下，结果意料之中5.3差0.7到及格线，其实很奇怪国内影视行业对于街头文化的理解不知道是个什么水准，拍一部蛋疼一部，这部个人觉得只是片内一些音乐勉强给我坚持看下来而已，腾讯视频里一堆孟美岐的脑残粉的弹幕，或许腾讯视频的评分是这样上去的吧，国...

                         ( 展开 )",,1.0,0
5,5,26921076,舞出我人生之舞所不能,ac70ed22fc241b9f54c2ddd7b552962b,f71f657da1315c7bd1f22b80434bba81,,2020-01-15 15:47:36,"这篇影评可能有剧透 

                        舞出我人生全系列翻来覆去看了好几遍，首先剧情真的是烂透了！我想请问为什么要演铁蛇被杀？与街舞有关系么？生编乱靠，不知所谓，其次舞者，除了黄景行，能否多请些真正的舞者？而不是那些花瓶？这是歌舞类电影！除了黄景行我真没看出其他人舞技的亮点，最后感谢你严重破坏舞...

                         ( 展开 )",1.0,1.0,1
6,6,26921076,舞出我人生之舞所不能,9444d0b9a6f4465ff49827130e735824,807dbe7d1c25a633894d4a231b1c76d3,3.0,2019-09-11 15:58:49,"这部电影故事线很明显，但从电影整体的剧情来说，个人感觉有点尬，看着尴尬。剧情中，作为反派陷害何川的那位的出场时间太少了吧。。看的不明所以 舞蹈整体方面还是不错的，有该有的炸点，毕竟参演的也不少是og级别的了。个人最喜欢的大佬是Dino（小恐龙呀），除此之外，bobo的...

                         ( 展开 )",,,0
7,7,26921076,舞出我人生之舞所不能,ec1c4363a79c6f8abe50509778d30b01,3b492ef0714c5f6cf12faa716914fb76,1.0,2019-08-20 10:00:45,"真的好假，作为前五部看过N遍的老粉来说真的好垃圾，剧情老套尴尬，演技尴尬，人物选角失败，配音更是无聊，舞蹈到底哪里炸？除了最后国外舞团看出了技术，另外两队是来凑数的吧！！剧情又是去世又是追悼的，不是说中国制造不好，只是可不可以不要那么刻意，一个好好的青春歌舞...

                         ( 展开 )",11.0,4.0,0
8,8,26921076,舞出我人生之舞所不能,24ff48ea0dc4eeba126ba0c318f33f01,ce1213765b74ce78616b543d99745c4e,3.0,2019-08-10 18:28:38,"这篇影评可能有剧透 

                        舞蹈跳的是真不错   情节平常  舞蹈跳的是真不错   情节平常 舞蹈跳的是真不错   情节平常 舞蹈跳的是真不错   情节平常 舞蹈跳的是真不错   情节平常 舞蹈跳的是真不错   情节平常舞蹈跳的是真不错   情节平常舞蹈跳的是真不错   情节平常舞蹈跳的是真不错   情节平常舞蹈跳的...

                         ( 展开 )",3.0,1.0,0
9,9,26921076,舞出我人生之舞所不能,e3627c1fb7ecb4eb0245220013218ab0,7c631abf20bc1fdfdf479810ebb7456b,5.0,2019-07-31 09:21:05,"这篇影评可能有剧透 

                        舞出我人生系列前面几部基本上都看了，舞6里关于街舞的部分依旧很专业，很然很炸裂。 剧情么，Set up系列都没啥值得推敲的。 演员么，喜欢铁蛇、铁猴，弹幕说女主是17岁的孟美岐，蛮好了，至少没跳戏，跟铁猴在派出所门口斗舞那段很自然，也很酷。 总之，不得不说哪怕就电影最...

                         ( 展开 )",7.0,2.0,0
10,10,26921076,舞出我人生之舞所不能,3306cba261ea5524ba6ce18a7b32c477,d7a4bbc087b22e6e616220e8d1c4efbb,4.0,2019-07-30 20:50:33,"这篇影评可能有剧透 

                        舞蹈比较有看点。剧情简单，尴尬的是铁蛇的死，真的是死的好突然，有种日漫主角朋友牺牲后主角爆发的感觉😂😂，还有铁猴给铁蛇盖上眼睛，瞬间穿越古装剧，这个剧情真的挺老土。最后结局还比较正常，一般人都看得出来两队之间的高下，还好没有尴尬的赢了，就是铁蛇之死那里...

                         ( 展开 )",3.0,,0
11,11,26921076,舞出我人生之舞所不能,93942bd2ef95060cd4e76c14aef7d980,f59b4f706478056c246afcbb0918b98c,2.0,2019-07-30 17:13:33,"几年前，听说中国要拍正统续作了，感觉就是既期待又担心的。然后我等到了19年，终于出了。发现居然是线上播，不对劲的感觉就来了。果然看完后比较失望😞 感觉制作水平和剧本差太多了。真的并不是国外月亮圆。这电影我真的等了几年就这样子了。前五部就算剧本再差也就顶多拍摄...

                         ( 展开 )",,,0
12,12,26921076,舞出我人生之舞所不能,f1f7d6586bfe23ab9ef6ad787f43e08d,abb7d5b35542d44dec4ccce986b96070,1.0,2019-07-30 02:07:04,"摄影剪辑，音乐都很恶心 摄影忽前忽后 忽左忽右 闪到你怀疑人生，舞蹈方面不如这就是街舞编舞，演员演戏我看着都尴尬😳 很多地方舞蹈跟音乐完全没关联 千万别买，最好别看。。。。。。。。。。。。。。 看了后悔，还没到140？140字真难凑，我就想点发布，可是字凑不够呀！现...

                         ( 展开 )",5.0,,4
13,13,26921076,舞出我人生之舞所不能,b5bb60c85d48cfe4071b00325fe85e3c,76d208d268ac4c83012821360ca4211f,1.0,2019-07-30 02:06:21,"这是一部舞蹈片…我不吐槽剧情…dino大神也不挑剔…但制作方是不是有病…演员配音也就算了…前半部分舞蹈音乐竟然是另配的bgm…真不能接受…导致舞蹈完全不跟拍…拍摄角度剪切完全搞笑…到底哪来的6分…误导观众对舞蹈的理解…恶心人呢…………………………………………………...

                         ( 展开 )",3.0,,0
14,14,26921076,舞出我人生之舞所不能,597b15457f98692443fcdaee418ca40c,7b75d91d2856e9e74fe7cfbb857dcf2f,5.0,2019-07-30 01:50:43,"从童年到青春，故事里总有两个男孩一个女孩，一个热血冲动，一个沉默冷静，女孩啊，选择谁呢？ 北京四九城内，胡同深处的青春，煤渣胡同长大的女孩，会跳舞，心气儿高到了天上，谁也不放在眼里，别说是两个男孩了。 她在想什么，她想要什么？在这个缺少前因后果、单薄的故事里...

                         ( 展开 )",4.0,,0
15,15,26921076,舞出我人生之舞所不能,4cbf48c21839d869777adf0b3bd2f83d,51a22dc78531f8fcba86a454d96cb97b,1.0,2019-07-29 23:42:04,"我说，至于关闭回复吗？语气这么呛 图一是某网友愿意赔电影票的证据，已经关闭评论 图二是这部电影在外国的上映日期，菲律宾为6月26日，而我的观影日期是6月29日 图三并非是我去看电影的时候拍的，而是上映前一周左右，突然在电影院门口看到电影海报，极度兴奋，想说竟然有出了...

                         ( 展开 )",1.0,,6
16,16,26921076,舞出我人生之舞所不能,9383ce09af96f4cdc0b3fe60211eb78a,b43230fbd81935a9a1914ab1bcea2b60,5.0,2019-07-29 16:43:20,"冲着黄景行看的，没想到孟美岐演的那么自然......dino真的舞绝了！大神可以的  冲着黄景行看的，没想到孟美岐演的那么自然......dino真的舞绝了！大神可以的  冲着黄景行看的，没想到孟美岐演的那么自然......dino真的舞绝了！大神可以的  冲着黄景行看的，没想到孟美岐演的那...

                         ( 展开 )",,,0
17,17,26921076,舞出我人生之舞所不能,183a2a5a1b956213f65e2198c07f54f1,ea69624dd0fd60aedb4e652546a8ae86,1.0,2019-07-27 12:54:39,"剧情烂到爆，平淡无奇，经费少吧舞台布置配角选人都很有问题，评委至少选一些会跳舞的人来吧?把吴昕找来我也是很无语了，名字还叫巫师，一脸傻白甜演了个电视界摸爬滚打10年的老手?玩儿呢?大多数演员完全不适合自己的角色，唯独孟美岐还算好，无论演技亦或是人物塑造都还算ok出...

                         ( 展开 )",5.0,2.0,2
18,18,26921076,舞出我人生之舞所不能,3fed4fe0f513bd3dcc179a616dc3e260,13a124610a6ca6d9278b1fb24ad08af1,3.0,2019-07-27 00:11:00,"鹅让人花6块钱，活脱脱就变成一部粉丝电影。 如果冲着明星或者喜欢街舞/舞蹈看，倒也没什么。 整部电影看下来中规中矩，剧情说不上精彩，也没啥好聊的，倒是美岐值得谈一谈。 我应该称不上“粉丝”吧，毕竟是一个奔三的人，每天工作生活接踵而至，只能抽空了解一下动态。现在连...

                         ( 展开 )",11.0,,1
19,19,26921076,舞出我人生之舞所不能,61ddb332caab7ecd96ada02eee447166,cb9e03ac4d6cb864a20879ee6d1152d5,5.0,2019-07-26 22:23:40,"三星半以示鼓励。这个系列电影早期的比较经典，但一般电影续集剧情是通病。这一部剧情很单薄，且完全没有华丽的场景来呈现优秀的舞蹈，白瞎了这么多优秀的舞者。 男女主表演还挺自然没有让人出戏。之前看过很多黄景行的舞蹈视频黄大神不愧是世界舞王popping控制力一流结尾的bat...

                         ( 展开 )",8.0,,0
20,20,26921076,舞出我人生之舞所不能,31d2bd37ac4440d689fc26c96d0c8663,cde97d0cebceaf373e914c0a79a32bd9,2.0,2019-07-26 21:57:04,"浪费钱。跟风蹭热度得电影。毫无剧情可言。演技方面先不说有多尬。所有角色得逻辑思维都不正常。电影开头得黄景行在监狱里跳舞。就算是再喜爱的东西。都进去了还有心思搞这些？再说男2出场得街舞比赛。台上被人故意放黑脚就这么滚下台了？那你们团队之前编排舞蹈得占位呢？就按...

                         ( 展开 )",6.0,3.0,0
21,21,26921076,舞出我人生之舞所不能,2dd3efa27a22f7337361b970d498e3f6,4f8d71d6ec4ece4ae76c8bcc6fe9f5a6,4.0,2019-07-26 21:42:53,"剧情比较平淡，主要为了舞蹈服务， 不过舞出我人生系列的主体就是舞蹈。 剧中的舞蹈很好看很精彩，17岁的孟美岐尚有点婴儿肥，但是舞力不凡，开头与街舞大神黄景行的机械舞以及斗舞场景让人眼前一亮。 男二晚会的双人舞蹈，更是体现出孟美岐核心力量十分强大。双人舞前，应对挑...

                         ( 展开 )",11.0,,0
22,22,26921076,舞出我人生之舞所不能,7ceb70fcc2e275507dd763c913b3e9f6,b4f8355f32e7c3f7d4330d4aa8fbe7d1,4.0,2019-07-26 21:35:46,"超出预期，看之前我已经做了点心里准备，因为这明显是一个大ip做不下去了，卖给中国，难免让人觉得是会狗尾续貂。但是这部电影里却集结了一批顶尖的街舞大神，还是很有诚意的。 剧情沿袭了这个系列惯有的主题，对街舞的热爱，对梦想的执着，对友情，亲情，爱情的追求，单纯美好...

                         ( 展开 )",8.0,,0
23,23,26921076,舞出我人生之舞所不能,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1.0,2019-07-26 20:21:57,"片名碰瓷人家知名IP，无耻。 当年歌手选秀节目火了，就出现了蹭热度赚快钱的选秀选手主演的“歌舞片”，这两年嘻哈综艺火了，就有了“嘻哈”电影，然后街舞综艺火了，街舞电影也是一部接一部。 有快乐家族的电影都是烂片，不接受反驳。吴昕你干嘛要来坑人家？ 有一场在派出所门...

                         ( 展开 )",2.0,14.0,1
24,24,26921076,舞出我人生之舞所不能,d7b2a37fe68c292af24973709ce553e9,45807b7e38ffea6db0c2942d47790467,4.0,2019-07-26 15:12:16,"黄景行跳舞好棒，里面的单人舞，双人舞，群舞都安排的很好。 剧情有点单薄，不过set up系列都是以编舞为主。 铁蛇这条线我是有点感动的，但是叫救护车太慢了，青春可以为了梦想奋斗，但是还是要提醒一下，不要打架斗殴，代价是巨大的。 最后斗舞的时候，那个黑人的locking把我...

                         ( 展开 )",10.0,1.0,5
25,25,26921076,舞出我人生之舞所不能,d7357858440a709dc0a95e7b229b3043,ddc6d51c845a6e3901b623a3c68c6825,4.0,2019-07-26 14:26:48,"整个电影来说，没啥剧情，主要围绕跳舞与梦想。 因为有黄景行，所以对电影期待值蛮高的，里面的所有舞蹈，编舞，都很好看，很有感觉，最喜欢的一段是，那段中国风的齐舞，非常有感觉，中国风的音乐加上刚柔并济的舞蹈，非常完美，看得我起一身鸡皮疙瘩。 最后个人battle 我还是...

                         ( 展开 )",22.0,,1
26,26,26921076,舞出我人生之舞所不能,3ad2258a2423946035591361cb3cc815,22c982c5fd7744f5dae039703f7fa4d5,1.0,2019-09-03 14:00:26,"看完这就是街舞2看的这个，结果非常失望：演技不行，跳的舞也一般，只有最后battle的时候，老外的街舞让人眼前一亮。跟同系列的剧真的没法比，大家可以看看前几部，就会有自己的评价。希望就算是跳舞剧，也要舞者增强一下演技，要不实在看不下去。粗制滥造的让人看一眼就觉得低...

                         ( 展开 )",1.0,2.0,0
27,27,26921076,舞出我人生之舞所不能,77d61fb83501035da2f351e1b881fafc,2323b140ed37ff37e8b96bd1d052cc01,1.0,2019-08-14 23:15:11,"两分电影。一分给dino，一分给其他舞者。作为一个刷了N遍舞出我人生1-5的dancer，国产这部堪比垃圾，请了一票街舞大神，林梦和5+5的各位成了背景板，跳舞的片段镜头各种乱拉，镜头被切得稀碎，麻烦导演能多看看国外舞出我人生的镜头多借鉴一下？全程没有一处炸点，再说下舞曲，...

                         ( 展开 )",2.0,2.0,0
28,28,26921076,舞出我人生之舞所不能,d110495ba6ea05fdb8fedc81bc8e37a6,f5cd00371dc65aae855b5d73ac78afde,1.0,2019-08-14 12:33:47,"不能看不能看...先不说舞蹈编排（因为这已经是最不重要的了），摄影师那种拍企宣的运镜（某些时候更像国产某些low爆的网剧），后期奇葩的剪辑（该快的时候慢，该慢的时候又碎得不行），battle音乐选的乱七八糟，最后的比赛简直瞎眼。Step up 1比这个好看100000倍。剧情和舞蹈编...

                         ( 展开 )",5.0,4.0,0
29,29,26921076,舞出我人生之舞所不能,17845b0c1c9afb703577755ee00d92ce,0d1d01bfd91a4b2465a19757e467deea,4.0,2019-07-27 17:58:53,"这篇影评可能有剧透 

                        写在最前 如果你是step up系列的忠实粉丝，那你看了一定不会后悔，不用在意剧情，就看着那些舞蹈大神在台上尽情热舞就够了。如果你只是寻找一部电影来打发时间，我也建议去看，这绝对是那种让你看完后会浑身轻松却又充满活力的电影。如果你是剧情片粉丝，那么这不是你的菜，这...

                         ( 展开 )",7.0,4.0,20
30,30,26921076,舞出我人生之舞所不能,a5b89795d875dd855cc3971db0154e8f,b90b69910648f3df0a1ba592b220f31e,3.0,2019-08-24 09:10:07,"这篇影评可能有剧透 

                        《舞出我人生之舞所不能》低调到不能再低调的在腾讯视频上线了。 多年前陆续看过《舞出我人生1-5》，美国导演拍的，讲述他们国家的街舞故事。第六部在国内拍，期待已久，因为国内也有很多学街舞等现代舞的孩子们呀。 《舞出我人生6》的影片呈现出撕裂状的两极现象。美国团队和...

                         ( 展开 )",,,0
