,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26923506,我的青春都是你,0e4e8dac90656b481cd244df4adc6211,4bc63a054dd2dadbd0b265ffe504b371,3.0,2019-06-22 23:56:18,"为男主角去看的。喜欢宋威龙，因为他很有些像你。他微微一笑像你，让人如沐春风。他在综艺节目里穿着方格衬衫花枝招展地媚笑也像你。你更喜欢紫色条纹衬衫，你也曾经常那样言笑晏晏，让我怀疑你会不会是个gay。他呆滞的时候不像你，因为你从来都不呆，你看上去那么阳光，让人根本想不到你心中有着积攒多年的忧郁。 在我记忆中你比方予可还好看，你忽闪着睫毛的样子仿佛眼中有星光，比他还多出几分从容与洋气。但你绝对不会说出一句男主角那样撩人的人话。我仔细回想，从我十六岁和你十五岁的夏天，我们相识了那么久，你曾给过我承诺吗？好像有。十一年前的中秋节晚上，你在我家楼下你站了好久，回去之后你说过“You are my sunshine. I’ll try my best to make you happy”。But you disappeared for almost a decade, as if you cared nothing about me.  预告片里面说“毕业不分手”。其实这部电影都没有演到他们毕业。十一年前我写过一篇以你为原型的小说叫《最长的电影》，你妈妈看到了，还给我留言说让我相信你，你是个很好的男孩。我让你不要再来找我，你说“I can be your boyfriend”, 但我没有答应，因为那时候你还不懂什么是爱。 喜欢看青春片（哪怕它的套路很虚假），是因为青春真的回不来了。《我的青春都是你》，多好的名字。99年的宋威龙总让我想起你。他怎么会和你少年时如此相似呢。你的眉眼、鼻梁和嘴，高挑瘦削的身材，白皙的皮肤，你20岁的样子，你清澈悦耳的声音。我竟连一张合影都没有留存下来。  羡慕女主角周林林，她勇敢又霸道，没有什么矜持的包袱，她长得不怎么好看，但从来不自卑。 学霸方予可的转变有点突然。应该说实在是太突然了。毕竟是偶像剧，现实生活中的学霸才不会这样突然开窍。毕竟有那么多心理包袱，我们都习惯于压抑自己的感情。 高中时你是学习委员，而我甚至进不了前二十名。你那么好看，2班的我总在跑操时寻找12班的你。后来你没有考好，留在家乡，我来到北京。你来考雅思，又到北外来找我，你还是那么好看，而我默默无闻。三年后你问我为什么不找个清华的男朋友。原来我们都有着各自的自卑。 看了这部电影，想起我们连交心的话都要用英语来说的那段往昔。有时觉得我对恋人再无指望，我的人生搁浅于此，你不会回来了，我也不再年轻。 所以我愈发沉迷于俗套的青春，俗套的剧情。 方予可和周林林总有一天会走出校园，我不知道这个故事的结局是什么，因为编剧也没有交代这两个家庭的差距，以及两个人人生选择的差距。 而你走到我梦想的彼岸，徒留我还在这里。",24.0,,4
1,1,26923506,我的青春都是你,935e9029f7c8a67bf61f20bf656d70aa,6a6cf28b1a45dd41c4658e76e34667f6,,2019-12-08 11:46:32,真的气死 烂到极点 现在这种程度的电影也可以拍出来了？？ 作为一个看过小说的原著党真心地感到无比地愤怒。原著里方予可从一开始就是个毒舌学霸的男神级别人物，从一开始就非常地帅气，令人憧憬。根本不是从出席派对那里才变帅的。这tm也改得太老套了点吧？？对待林林也是忍不住想要怼她撩她的那种，对她的喜欢根本就没有电影里表现得如此明显，更不会出现在派对上强吻她的情节好嘛？？？真的是窒息了。 林林也根本不像电影里表现得那么无脑，虽然她不是典型意义上的学霸，但我自认为她还是一个聪明的人，有点类似于学痞子的类型，对待学习有着自己的见解。。。这电影怎么直接把她表现得跟智障一样？？虽然她误会了女二和男主的关系。。。但是并不是会去想方设法插手两个人关系的人好嘛？？？更不会去想方设法撮合。。。真的窒息了。。。 开头出现的女主和小西的莫名其妙的东西就更别提了。。。更加脑残。。。简直把小西拍得像个中央空调大渣男似的。。。既然不打算引入小西的剧情不如直接把这个角色砍掉啊。。。 原著明明就是林林误以为自己喜欢小西但是其实内心喜欢着毒舌又爱跟自己互怼的特别优秀的方予可的故事。。。那种青春期以及青梅竹马之间的单纯的感情写得很动人 不懂为什么要改成这样？？ 只想说你还我男神方予可。 真诚地希望所有制片方不要瞎jb改原著，基本上原著粉看电影是想要看你是怎么还原原著的而不是看你怎么原创的 这么想要原创不如自己写就好了？？ 如果想要原著自带的市场的话希望能认真地考虑原著粉的感受。 要不结局就只会是糊穿地心。 这部电影也只有那句为了你我可以抛弃过去的我自己能引起我的共鸣了吧。。。 其它的。。。呵呵呵呵呵。。。 不说了赶快去看看原著洗洗眼睛,12.0,,6
2,2,26923506,我的青春都是你,74be14f3e0db2f06985117172e5eaab3,b16a46a3b6a9467d890b2ff4502f3238,4.0,2019-06-28 16:26:05,整场就我和姬友两个人，然后就边看边吐槽很开心地看完了~(￣▽￣)~* 前面十几分钟来晚了没看到可气死爸爸了，姬友跟我讲了剧情，然而我还是想亲眼看到(；д；)....   1 没有看过原著，但是我觉得人物塑造得很好呀~除了有时候女主行侠仗义略狗血之外.... 男主在没有巴啦啦小魔仙变身之前 是一个满身书读头气息、一天到晚格子衬衫、小钢牙、刘海盖过眉毛、戴着黑框眼镜的大屌丝。情商极低、动作生硬，当他像劫匪一样揽着女主往自己身上一靠的时候，我和姬友都要笑死了，怎么会有这种极品傻x男人的啦(*ﾟ∀ﾟ*)！还有一幕是在课上，女主坐在男主旁边，女主转过头看男主，看了一会儿男主转过来说，你看什么啦！你都看了我一节课了！我们真的是笑死了！！呆滞而不满的神情，傻乎乎的配音，男主每说一句话我就想笑....后来发现男主超可爱的，女主嘲笑男主老是在衬衫口袋里放一支笔，男主生气地说，口袋里放笔是有原因的！然后把笔拿出来恨铁不成钢地举到女主面前给她看，女主并没有发现那是她小时候送给他的，男主把笔收起来生着闷气走了。啊啊啊啊啊啊这是什么可爱的小学鸡啊太可爱啦！！不过后来男主变身大帅比了之后，感觉就没有那么可爱啦，取而代之的是一种认真，深情，沉静。但我还是吃了长得好看的他的这一套(′▽`〃)   总结来说的话，就我看到的部分，男主的演技完全演出了那种时而可爱，时而让人窒息的傻缺气息，是一个人间烟火味特别重的学霸。就是喜欢这种不走校园男神路线的野路子哈哈哈ヽ(≧∀≦)ﾉ。后面的变化也让我看到他不只是一个性格可爱的人，他的内心还有希望、热爱、一往情深的少女心ಠᴗಠ（男主：注意你的措辞 ）他是那样小心翼翼地温养着这样一份感情的啊~(⁎˃ᴗ˂⁎) 女主的设定话相比之下会陷入窠臼一点，学渣、正义感爆棚路见不平一声吼、非要帮男主追女二、不管三七二十一认死了男主对自己好是为了气女二。然后我越看越觉得她长得像马雪阳(°Д°)？？作出了很多荒唐事，em，不过我们不要太责怪她，因为剧情推进全靠她(´⊙ω⊙`) 然后我必须要说一下男二，长得超帅笑起来超好看，不过这什么爆炸的中二之魂啊！！！这台词！！我的天哪，漫改剧吗！！还有每次和女主说话必来摸头杀，魔鬼吗！∑(ﾟДﾟノ)ノ看在好看的份上我忍了... 女二长得也好好看那（难道只有女主不好看吗...），她黑化作妖之前我还挺喜欢的！又温柔又有礼貌，是个很有气质的小公主哎~(*￣︶￣) 还有老师演的好好，好可怕好严格说话好冷酷 ○|￣|＿不用镜头语言刻意渲染就完全展现出那种让人膜拜、不敢顶嘴的学究教授气息.... 还有畜牧系这个专业是真实存在的吗(|| ﾟДﾟ).... 2 情节上来说的话还是比较狗血，不过很好的一点是全篇都是轻松搞笑的，没有刻意煽情。让我印象很深刻的是男主女主在海边的那一场戏，男主的告白和回忆镜头的穿插让我恍然大悟，深受感动。 原来如此，男主从小就喜欢女主了，只不过他从来不开口不表达，只将这份感情埋藏在心底，只会在女主送他一个苹果的时候内心高兴得一塌糊涂。他是全班学习最好的，而女主是最差的，但是为了让女主和他考上同一所大学他总是在晚上开着灯到很晚很晚。因为女主妈妈说只有那家人家的孩子关灯了，她才能休息。他把女主每次的考试成绩都记录下来，绘制成一条曲线，最后预测她会考上东大畜牧系（哇看到这我超感动的(..›ᴗ‹..)为了把女主放进人生蓝图真是拼啦）然后他就也考了这个专业，老师恨铁不成钢地训斥他，你是全班最好的学生，你真的不复读吗？！他低着头沉默。后来在火车上女主提到了转专业，他瞬间紧张地问，你要转专业吗？他爱得这么小心翼翼，这么卑微，总是把女主捧在心尖上。 男主说得没有错，他的青春，都是她。 3 在我看来~这部电影其实是男主视角的，影片名是男主的话，那些最幽微的内心体察，也是男主的。男主虽然是个男孩子，但男孩子也有温温柔柔的的美好情感呀(..›ᴗ‹..) 这是这部电影比较特殊的一个地方吧~ 4 强烈建议和闺蜜基友一起看！！必须这样化解狗血剧情的尴尬了(～￣▽￣)～  5 本钢铁直女才不是因为男主的颜值才喜欢这个电影的呢哼！！！,6.0,1.0,5
3,3,26923506,我的青春都是你,7ae027193486a02c5e2801a25e40cddd,e49f955d6c5319d173c2f1808f93c240,2.0,2019-06-23 16:12:51,说在前面的话： 1⃣️对于女主周林林的配音，接受无能。给我的感觉是一个没有青春朝气老气横秋的女生……也许想要给观众一种“呆萌”属性的感觉，但是我却只感受到了傻气。 2⃣️青春电影，《我的青春都是你》属于天马行空，也许逻辑上没有任何关系……当然很多剧情的发展也没有起承转合就是突发奇想的灵机一动。（比起这种灵光乍现的青春电影，《我的少女时代》和《那些年》稍微写实的更让我喜欢。） 周林林与方予可 三好学生与三无学生毫无CP感。 首先说一下，女主一厢情愿的乱点鸳鸯谱。不管是中学时代的恶搞还是大学时代的帮追，都是毫无趣味的。让人觉得是在填充剧情而已。 电影到了45分钟……全片第一次想要看下去。就是宋威龙帅气出场。然后……好景不长，在宋威龙莫名其妙说出和“我想和我女朋友跳第一支舞”就又想离开电影院。突如其来的吻。导演拍戏是只顾自己开心吗？  在得知自己的初吻没了，就马上去刷牙的人而言，在听见“没有意义的吻”“不要在意”这样的话的时候自己明明表现出来的就是不开心，但是转眼又去质疑方予可为什么亲她？实在是看不懂周林林的操作…… 兔子“小林林”生病，方予可克服自己的心里问题去帮兔子“唱歌”救治。【这里是不是有一个很大bug呀？就是方予可说兔子不能吃苹果……但是，我没记错，就是这个林林没吃吧……】这里也是最大的矛盾冲突的开始。 说实话，本片最大的矛盾冲突就是教授要“处死”这一群动物实验样板。emmmmm，这里把女主推到了一个与众人为敌的位置，这样就有了男主的“保护”与“为爱坦白”。但是，这里并没有共鸣……只会觉得教授无理取闹…… 75分钟的时候，整整10分钟的内心独白用来挽尊。套路式的“背后的故事”。怎么说，N年前《初恋这件小事》就用过的梗。 原本我写了一段话——“所有的青春片至少有很多青春年少的回忆才能完整钩织一副未来的画卷。但是很奇妙，这部剧，男主女主没有任何童年的美好记忆。 甚至女主记忆力的男主只是让她一直被迫苦读。虽然方予可和茹婷的关系萌芽于林林的情书和电影票，但是最开始两个人的情感也是他们之间的故事，也不存在错爱。所以片中一直强调的“青梅足马”是真的没看见。” 但是，看到了最后十多分钟，我才发现，原来这部电影还是做到了这点。最后十分钟，没有任何的填鸭式的塞了暗恋的剧情进去。说实话，最后10分钟真的不重要了，因为前面80分钟已经磨完了耐心…… 看完了电影。好了。也写完了。 本来打一星，然后我好朋友让我加一星，给宋威龙的颜值。好的。,7.0,1.0,1
4,4,26923506,我的青春都是你,c4ecaf8c942dc5d656773f7f925f4d91,a08372b70196c21a9229cf04db6b7ceb,1.0,2019-06-22 21:51:33,一开始还很好奇，这部电影的排片竟然少的可怜，毕竟整体制作团队还不错。好不容易买到了合适的时间，没想到观影效果如此差。 主打青春爱情，但是只看到了尴尬。男女主从没有任何感情基础瞬间变为相爱的男女；女主人设脑残中二；男主从木讷书呆子瞬间变为玛丽苏霸道总裁；配音极其做作且剧情毫无逻辑毫无亮点全程老套。让观众没有办法认识到主角感情线变化的电影，称不上爱情电影；一味地只给观众霸道总裁爱上我的观感刺激，配不上青春。 电影还是两个导演共同出的作品，还是柴智屏监制，但是真的没法看。1分给电影里可爱的兔子。,12.0,,9
5,5,26923506,我的青春都是你,273253754104f6744d767e2fedb4a0dd,a5f3c6a11b03839d46af9fb43c97c188,1.0,2021-05-22 01:29:25,"怎么硕呢，女主为了自己不用再跟着男主学习就想男主去谈恋爱不搞学习，随意拉郎校花跟男主，exc？这……就像有那个大冰一样。自以为是的以为男主喜欢校花，自以为是的去校花面前说男主多多喜欢校花什么的，exc？最后跟男主在一起后还本性难移接着拉郎？就没想过他们不是互相喜欢？给别人带来压力，带来负担，以后他们多尴尬？
还有男主强吻的那个桥段，属实没必要了嗷，强吻一个表现得对你没意思的女生真的把我恶心到了，虽然你长得帅，但是搞这个，👴🏻长那么大，最讨厌的就是强吻，还是别人初吻的桥段了，真恶心。
还有，小西学长聚会那段/女孩子在外面千万不要一个人跟别人出去喝酒，哪怕是你喜欢的人，如果你想着白送当我没说
话说回来，这是什么剧本，nc中二傻白甜玛丽苏照进现实？真是乌鱼子了，是有什么奇怪的癖好吗？冲着男女主颜看的，结果全程快进，看完还犯恶心🤢",,,4
6,6,26923506,我的青春都是你,b38fac2fee6285145c40094139d6d062,75fe2bae8013252a8129a1550c3cd0e8,3.0,2021-01-29 09:47:29,今天看的这部电影也太可了吧，其他人不可，但是宋威龙我真的可以诶，这个世界上怎么有这么帅气的男孩子啊，就是那种....镜头一切换到宋威龙的时候，我就觉得说：“哇，这是天上的天仙诶.”         然后镜头一切换到女主，我就：“妈的，这是人间真实吗！！！”        总而言之，就是镜头一切换到宋威龙的时候，我就已经觉得这部电影值得我多增加两颗星星 了，是的，我就是这么颜控。那天我们办公室同事在讨论自己到底喜欢哪个男明星，他们：蔡徐坤...然后我：宋威龙，我偶像是个大渣男，天天不好好工作老是喜欢谈恋爱啥的。其实我要是这么帅，我也天天谈恋爱，谈到最后我自己都不知道自己谈了几场恋爱的那种恋爱，真的是太疯了。        电影的开场讲说：“你会在什么时候喜欢一个人呢？”看到这里的时候我真的颇有感触，因为我都不知道自己会在什么时候喜欢上一个人。          “如果所有人都祝你新年快乐，那我祝你遍历山河仍然觉得人间值得.”           我看这部电影的时候觉得还是挺开心的，虽然女主很无脑，但是宋威龙的颜值撑起了整部电影。这部电影里面，讲述了这样一个故事，学渣周林林和隔壁家的学霸“方予可”之间的爱情故事，不过还是我们宋威龙的名字比较好听一点点啦； 周林林是一个学渣，但是近水楼台先得月，周林林对我们宋威龙很好---小的时候，周林林送她了一颗棒棒糖，结果我们龙龙就被收买了，早知道这么好收买，我也就从很小的时候就开始到处送棒棒糖去了，一根棒棒糖能解决的事情，那叫事情吗？我真的觉得超级好笑哦。       原本以为高考结束就可以分道扬镳，没想到阴差阳错，两人一同考进了全国最高学府的最冷门专业——畜牧系。两个人考到了同一个专业，这里真的是笑死我了，因为学霸已经学霸到了控分的地步，这是个真学霸啊...怎么我就没遇上这样的学霸呢？哎...这是让人痛苦。       电影开场的时候是苏打绿的歌曲，听到这首歌曲的时候....我就觉得说：哇，一下子勾起了我听小情歌的美好回忆诶，我现在脑海之中还盘旋着苏打绿小情歌的若干记忆啦。       电影不仅仅勾起了我对于声音的记忆，也勾起了我对于台湾的向往之情，早就听说台湾的太平洋风景很值得一看，但是现在想一想...啊？痛苦啊，好想去一次太平洋，去看一看这片传说中的海域到底有多么地辽阔与壮观。        电影里面的风景还不错，其余的就是不值一提，女二号很漂亮，比女一号漂亮，漂亮的像一个精致的洋娃娃，可能太漂亮了吧，所以做不了女一号。女一号长得很台湾女生诶，眼睛大的不行在，嘴巴也大，反正就是不怎么好看那种。         不过最好看的还是宋威龙，不管怎么说，我宋威龙最帅的。,,,0
7,7,26923506,我的青春都是你,2b9bceaf765debf5f6027452234c2a8c,e806884f312f77beac9d3307a0d9c388,5.0,2021-01-14 12:03:39,“每个人的青春里你都有那么一个人，陪伴了你一整个青春，就像电影里的周予可对方林林的守护”。学生时代的爱恋真的是简单的，清透的。剧情本身起伏不大比较单薄，就是普通的青春爱恋，满满的傻白甜，或许这就是普通人的青春，一直默默付出不言不语，一直以守护的方式待在你身边，你开心我就开心，你难过我会克服艰难险阻去安慰你，是一个平凡的恋爱故事，很甜很甜，萌萌的宋芸桦，呆呆的宋威龙的，演绎的感情还是挺有趣的,1.0,,0
8,8,26923506,我的青春都是你,b4ea07238396548404a612c82be0251b,93ab957b29bbd2564f1850110f29120d,3.0,2020-11-27 18:26:34,“每个人的青春里你都有那么一个人，陪伴了你一整个青春，就像电影里的周予可对方林林的守护”。学生时代的爱恋真的是简单的，清透的。剧情本身起伏不大比较单薄，就是普通的青春爱恋，满满的傻白甜，或许这就是普通人的青春，一直默默付出不言不语，一直以守护的方式待在你身边，你开心我就开心，你难过我会克服艰难险阻去安慰你，是一个平凡的恋爱故事，很甜很甜，萌萌的宋芸桦，呆呆的宋威龙的，演绎的感情还是挺有趣的,,,0
9,9,26923506,我的青春都是你,d33cb6a6d48cfd7af2ebf1612313b9c5,4051be7a4786ccd2dd9a6e592752ede6,,2020-11-27 13:02:12,男女主演员都还蛮喜欢，剧情就像一碗温水，没有任何波澜，也没有任何高潮，甚至有点不知所云的感觉。但是总想看看后面会不会有精彩的结局，只可惜等了个寂寞！别了，青春偶像电影！已经是孩子妈了，还看这种确实说不过去了。可能一直觉得自己得青春不够完美和丰满，所以对青春偶像电影大部分都会看一下。但是除了《少年的你》，剩下的没有一部值得起五分以上的了。该成熟了，不能被吐槽幼稚了,,,0
