,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26929010,雪人奇缘,621e9612ec209c327d303434a2ca0fe5,7c37f0141ff56c0e1655986a1632ae4d,4.0,2019-10-05 02:25:39,"上周末我原本是不打算进影院的，因为前一周带着Michael君战战兢兢开高速，跑去看《星际探索》和《肖申克的救赎》25周年特别放映，有点疲掉了。所以，如果不是ABC女孩Angelia的提议， Michael君对于《雪人奇缘》是没有观看意愿的，我们也没提前做任何功课，除了看过一趟预告片。其实，我对这部东方梦工厂和梦工场动画携手、中美合拍的动画片，还心存一些些保留，可是，从走进影院排队购票那一刻起，我心里的好感度有点始一点点拉伸，因为竟然接近满场，这导致我们一大三小四个人，不得不分成两排三处就座。 进场后我观察了一下，确实是一个合家欢的场子，拿着爆米花和巨大可乐的西人孩子们叽叽喳喳地牢牢占据着整个影厅，这也不由得激发了我的好奇心。影片一开场，雪人逃亡的段落，规范短小而毫无新意，待到雪人蹦跶到典型上海特色的老城厢老公寓房的顶楼，我才稍微直了一下身子；而小艺的奶奶的“酒坛子”造型，以及念叨叨“Busy, busy, busy……”的猛一亮相，我眼前开始冒出一点光——结束后查到给奶奶配音的是“上海的女儿”周采芹，这位京剧大师周信芳的女儿，1960年代以苏丝黄的演绎红遍伦敦舞台，随后在银幕上成为第一位华裔邦女郎，1990年代的《喜福会》以及近年《惊天魔盗团2》里都有她的打眼表现。 回到《雪人奇缘》影片本身，它的逻辑起点和基本设定，简单一个词就是“回家”，首先我认为这是非常好莱坞式的俗套，甚至还有点生硬：话说上海女孩小艺因受困于父亲过世的情绪低谷，希望通过忙碌赚钱来积累旅费，重走一遍父亲生前游览过的祖国大好河山，当她在老公房顶楼发现逃出坏蛋大BOSS实验室的珠穆朗玛峰雪人大毛时，骤然就同情心泛滥热血上身了，决定帮助大毛重返家乡，与父母亲人团聚，而小艺的两位邻居好友也是一对表兄弟的阿俊和鹏鹏，跌跌撞撞中跟随着小艺，陪伴大毛踏上了返乡之路……这确实是一个俗套，不过，却是放之四海而皆准、行之有效的典型套路。当黄浦江畔的灯光秀闪耀起来，小艺他们和大毛跳上货运江轮的甲板，沿着长江溯流而上，悠悠青山两岸走之时，随着白蓬蓬、毛茸茸的大毛萌性和魔性一路走一路爆棚，这部动画片的高光亮点才渐渐地一一铺陈开来。 黄山、千岛湖、乐山大佛、香格里拉，当然还有世界之巅的珠穆朗玛峰，这些中国地理教科书中和大众热门旅游攻略里的标志性景点，就这样有些刻意却不算违和地植入了这个三人一毛怪组合的说走就走、一路向西任性行程里，植入了这场有N多致敬模版的环游记、旅行记或者历险记里。纤微毕现的神奇动物在这里！当我们看到银幕上这个“西游记”小组乘坐“蒲公英热气球”穿梭于崇山峻岭、泛舟于波光粼粼的湖光山色、有才华魔性滔天地“冲浪”于油菜花田、锦鲤造型地腾云驾雾飞天翱翔、法相庄严琴声如诉中花开在眼前……当然还有引发影厅里一片笑声的天上降下大只蓝莓爆浆雨，高原之舟牦牛群体性开启暴走模式等。《雪人奇缘》终场时，我听到影厅里响起了一片掌声……（忍不住在这里插一句，从技术层面上说，《雪人奇缘》和《哪吒之魔童降世》不是一个维度上滴啦。） 后来发现《雪人奇缘》的导演及编剧吉尔·卡尔顿曾是《怪兽电力公司》的编剧——那边厢是毛怪帮助女孩阿布回家，这边厢是女孩小艺帮助大毛回家，新瓶旧酒里，《雪人奇缘》首周末一亮相就成为北美票房冠军，烂番茄网站上也保持着80%的好评度，殊为难得。我觉着，亮眼表现的背后，是成熟的工业技术和奇丽自然风光的一次合缝对接。 掌声响起，合作共赢，很好的献礼。",31.0,2.0,9
1,1,26929010,雪人奇缘,ec308b5b477ab77dfd567e99fca83fbe,3a4d9b441b1ceef98bf3b248ecd66e62,4.0,2019-10-02 15:00:37,珠穆朗玛峰雪人，和尼斯湖水怪齐名的神秘生物。几百年来，人们为雪人是否存在而争论不休。作为一名神秘学爱好者，我当然对此秉持着“宁可信其有”的态度。大自然对于钢筋混泥土中居者的吸引力，很大一部分不正是来源于这些若隐若现、若有似无的存在吗？ 《雪人奇缘》满足了一部分神秘学爱好者的心愿，将这个传说中的生物搬上了大银幕。在尼斯湖水怪被数次改编成电影之后，珠穆朗玛峰雪人也终于成为了故事的主角。但不同于水怪的阴郁可怖，作为主打合家欢的动画电影，梦工场将雪人“萌”化了。柔软雪白的长绒毛，清澈空灵的大眼睛，还有那些被刻意设计的如幼童般的小动作……在“萌物”大行其道的影视市场上，雪人的形象轻而易举博得了观众的好感。 萌，象征着无害，萌物天然地易被归类到真善美的阵营。当社会集体情绪因高压的生活环境而越绷越紧时，萌物意味着一个可以让我们卸下防备的时刻，一个能够把对世界的敌意流淌而过的出口。所以《银河护卫队》中的树人格鲁特仅凭一句台词就俘获了大量人气。 雪人大毛若想在主流审美体系中获得大众（尤其是女性和孩子）的喜爱，“卖萌”便成了不可或缺的技能。它胖乎乎毛茸茸，它会睁大眼睛歪着脑袋听你说话，它在乘火车时会把头探出去吹风，它忠于友情并拼尽全力维护朋友的人身安全……这些特征，和“人类最好的朋友”狗狗如出一辙。 讲述人与动物之间情谊的电影，十有八九都是催泪弹，养过宠物的人尤其易被这弹药击中。因为这情感不暧昧不复杂，没有了我们日常中的巧言令色，只剩下了人类最珍视也最稀缺的东西——忠诚、默契与爱。雪人大毛与女主角小艺之间的感情便是如此：两个都需要被救赎的灵魂遇到了彼此，一个微小的动作和眼神便融化了对方的铠甲，从此生命与生命之间产生了牢固的纽带。 相比于单纯讲述跨物种情谊的影片，《雪人奇缘》的题材显然更偏向奇幻。既然采用了动画的形式，并搬出了传说中的珠穆朗玛峰神秘生物，那不妨把想象力释放得更为彻底一点。 当小艺、阿俊和鹏鹏跳上货船，决心护送雪人大毛回家的这一刻，《雪人奇缘》便正式拧开了想象力的阀门。雪人与狗狗的不同之处在于，雪人拥有强大的魔力。这一设定不仅帮助主角们在一次次危急时刻化险为夷，影片基调也因此充满了浪漫主义色彩。 几乎所有的少年，都做过一个有关出门远行的梦，在地图上描出一条又一条线，期待有一天能真正用脚步去丈量；也有很多少年，做过一个关于神秘朋友的梦，那个最酷的朋友可以带领他去领略更加斑斓的世界；或许还有一些少年，做过有关于魔力的梦…… 观看《雪人奇缘》的过程，仿佛一次少年梦成真的过程。相信小艺在跳上货船追随大毛前的那一瞬间，观众在现实中也经历了无数次类似的心理斗争：是转头回归到原定的轨道，继续过枯燥但安全的生活；还是不顾后果地跳出围城，与庸常的生活脱钩？ 本片故事背景发生在中国，主角们的冒险途径的地方也是中国人耳熟能详的旅游胜地。大山大河，名胜古迹，在影片中不再是高饱和色的“网红”照片，也不再是人山人海的拥挤场面，大毛施展魔力，将我们熟悉的地方变成奇妙幻境，的确令人有一种叹为观止的感动。 在野外饥肠辘辘时，大毛利用魔力，让蓝莓树提前结果。哪知魔力失控，蓝莓大过足球，主角们不得不展开了一场“蓝莓大逃亡”。 抵达黄山时，不巧遭遇追捕队。大毛把蒲公英变成巨大的降落伞，载着几个孩子越飞越远。 之后戈壁逗趣，竹林谈心，油菜花海幻化成真正的海浪，将载着主角的小船从云南小镇一直运送到乐山大佛脚下。 至此，小艺终于明白，原来一路上不仅仅是自己在护送大毛，也是大毛在默默地帮助她完成夙愿。乐山一幕，堪称全片最唯美的片段。至此，阿俊的“宝贝战靴”在淌过污泥后变成了真正的战靴，小艺也解开了父亲去世的心结，重新奏起了小提琴。大雨应着琴声而落，弥勒佛的眼中蓄满雨水，仿佛因这乐声的悲切而落泪。雨过天晴后，石刻的青苔上竟开满了白色小花，仿若生命的回春。主角们再度上路了，大佛低垂着眼眸，神色慈悲，仿佛在目送他们离开。 最后一行人抵达了喜马拉雅，雪山巍峨，云遮雾罩。正反两派的最终之战也在这里展开。大反派在雪人大毛的魔力下坠落悬崖，“伪反派”波老板也得救并助力了雪人大毛回家之路。。 主角们一路跋涉，领略过中国各种地貌和气候，但在《雪人奇缘》的设定之中，他们不需要理会环境的凶险，不为食物和水源所困扰，甚至在雪山上也不太担忧高原反应和体温下降。在某种程度上说，原本变化莫测的大自然在这部电影中不仅是赏心悦目的背景装饰，更成为站在了主角阵营的重要角色。主角们冒险途中唯一需要与之抗争的，只是人性中的恶。 值得一提的是，《雪人奇缘》在国庆档上映，相比其他慷慨激昂的主旋律大制作电影，这一部合家欢的动画片似乎显得有点特别。但剥开奇幻冒险故事的外衣，影片表达的核心是最能引发中国人共鸣的家庭观，而一张张美如仙境的风景画，向世界输出中国印象的同时，也以极温柔的方式唤起了国人的自豪感。,30.0,4.0,2
2,2,26929010,雪人奇缘,c859e033788e968a84a737ca4d0891c3,bb3582eda42b690fb4a7e9891521829a,4.0,2019-09-29 14:23:42,1.野生动物保护法规定禁止捕猎杀害国家重点保护野生动物，这雪怪按数量算怎么都是一级保护野生动物，那老头去抓得要找国务院申请……运输携带野生动物出县境得找省级主管部门办证……而且珠峰附近我没记错的话是自然保护区？保护区内捕猎（还是聚众狩猎，还带有故意伤人，情节严重）是想牢底坐穿啊！十年以上或者无期是没跑了，能出西藏算我输。怕是还没到拉萨就被边防给逮了然后牢底坐穿吧…… 2.中国哪家公司还能自带装甲车和武装直升机的……这个妥妥的犯法，打黑直接就进去了 3.那个反派女一号故意杀人罪是绝对没跑的 4.那么多麻醉枪……上海市政府得下课多少人…… 5.哦，还有一条，青藏高原上蹦得那么欢……不怕肺水肿啊……海拔七八千的地方就穿一件羽绒服抗寒……没有氧气瓶，后果自己想象…… 但是雪怪真是超萌超萌的…… 以下是给看不懂这篇影评的： 本文重点在最后一句话。,51.0,36.0,27
3,3,26929010,雪人奇缘,90cabe6df20671b17fc4e176af1a1020,5c0d1fe82f9040a9b71234f5dbd8b882,5.0,2019-09-30 03:30:28,"Adominable 的中文翻译为雪人奇缘，北美院线9.26 上映提前中国好几天，让我有幸提前看到这部动画。先说结论： 这部电影出乎意料地好看，完全不辜负烂番茄80% IMDB 7.2/10的评分。观影过程中我一度被剧情和画面美好到泪流满面。然而当我向国内的小伙伴倾情推荐这部动画片的时候，大家不约而同地表示，当时看到中文名为《雪人奇缘》时还以为是《冰雪奇缘》的国内山寨版，完全没有燃起一丝一毫想去观看的兴趣？！自来水如我于是便按捺不住了：我要来为《雪人奇缘》写影评！ 它绝对不是什么山寨《冰雪奇缘》，而是一部成功输出到美国的中国旅游宣传大片（划掉），一部温暖动人又不失搞笑，适合带孩子也适合成年人自己观看的优秀动画电影。  如果你的十一档，看完了众多的主旋律电影，想要喝一碗甜甜的糖水或是吃一支清凉的冰淇淋，如果你已经十八岁了好几十次但仍然内心热爱童话，如果你曾经和我一样相信世界上存在龙（梦工厂《驯龙高手》），那你一定也愿意相信，在喜马拉雅山，在珠穆拉玛峰，在冰天雪地的那一片人类未曾完全探索与知晓的领域，是存在着雪人的。  梦工厂最擅长制造萌物：大大的蓝眼睛，一身毛茸茸雪白的毛发，喜欢吃猪肉包子的小雪人，怎么看都像是一只萨摩耶。被黑心科技公司抓去的他从实验室中逃脱，因为看到了女主小艺家门口的珠穆拉玛峰的广告牌而藏在了她家的楼顶上。故事是有些传统套路的故事：刚经历了丧父之痛的叛逆期少女小艺，为了将雪人大毛送回家，一路经历了不可思议的冒险，最后大毛回到了爸爸妈妈的怀抱，而小艺也找到了自己内心中的和平，和家人，世界以及自己和解。 剧中我最喜欢的两幕都发生在他们前往珠穆拉玛峰的旅途中： 由于之前在天台上看到了小艺保存的父亲寄来的明信片，大毛知道了小艺想要去的旅行点，于是刻意在回家路程中带着她将所有地方都去了： 千岛湖，黄山，香格里拉，戈壁风光，乐山大佛。雪人的设定是越接近珠穆拉玛峰越接近家，他的魔力越大。其中那一场在油菜花田的场景，雪人的力量让整片大地翻腾，和三个孩子在花海中破浪前行，逃离反派的追击。这一段拍得太美了，酣畅淋漓乘风破浪。    我很喜欢的另一段是在之后的乐山大佛。小艺发现自己完成了和父亲约定好的旅行，已经到过了每一个想要访问的地方，然而父亲却早已不在身边。在佛的掌心，她拉起被大毛修好后也拥有了魔法的力量的小提琴，音符将爱与思念散播在地上开出花朵，小艺的眼角流下泪滴，天空也下起了大雨，雨水在大佛的眼角滑落，仿若是佛慈悲的眼泪。   这一段是整部电影最富有中国元素和隐喻的一段，仿若佛的拈花微笑，在那之后，小艺的心结也被打开，她终于学会了如何面对自己的思念，如果发泄自己的悲伤，用音符的力量开出满山坡的花朵的同时，她也对自我有了新的认知，不再封闭孤僻。与此同时，画面的华美与精致也让人不由得感叹这赤诚的想象力。 东方梦工厂与美国梦工厂，可以说是合力为我们编织了一个美轮美奂的梦境： 在这里，雪人真实存在，他们拥有强大的魔力，却并不是可怕的怪物；在这里有巨大的蓝莓，有锦鲤形状的筋斗云，能在云海中乘风，能在花田下破浪；在这里，三个孩子可以在短短几天内横跨中国大陆；在这里，充满了美好，充满了爱，正义总能打败邪恶，只要不放弃，你总能搭上远方的那一班火车，抵达梦想的珠穆拉玛。而家，永远在背后等你。 爱与梦想，这永远是我热爱童话的理由。生活拥有各种滋味，但我希望自己永远热爱童话，永远不要丢失心中那一片纯真的净土。感谢梦工厂，为每个小孩子，和大孩子编织的梦。 ============= 当然影片还是有自己的缺点： 虽然能体会到制片方的努力，但中西方合作下文化的差异还是有的。虽然故事背景是在中国（似乎是天津？）， 小艺和小鹏却显然是两个完全美国性格的青少年，无论是小艺封闭自我选择做一个特立独行的loner, 还是小鹏为了融入朋友和大家打成一片热衷social, 两个人的性格都太美国青少年了…… 以至于我看的是英语配音版却感觉他们俩讲英语毫不违和lol。 但总体而言，瑕不掩瑜，担得起四星，多一颗星是因为我的私心几乎永远会给动画片多打一颗星哈哈。",87.0,4.0,21
4,4,26929010,雪人奇缘,cd4d481720d79f2d28224a33e0b3399b,ff44570aca8241914870afbc310cdb85,1.0,2019-12-17 22:28:11,3D技术这几年进步很快，中等投资也能实现很好效果。剧情幼稚，角色都没有什么记忆点。仓促赶工。角色造型生动。想起九段线风波。不重视剧情。老头就是功夫熊猫里的师父。各方面细节都不错，但组合起来就很平庸。看得累。感觉只是在炫技，并没有用心在讲一个故事。和迪士尼梦工厂同类作品比较没有任何优势。,10.0,4.0,3
5,5,26929010,雪人奇缘,9fc451f8d4b41dcb1b6436133418575e,da13539e133132113df109837a6ee088,4.0,2019-12-10 10:32:27,"他三岁半了，我们三个一起看了这部片子
景色美到让我觉得，不论人类多么努力，你都不会知道自然可以美成什么样
 棋子儿看到雪怪摔下来，小盆友们被抓，小一被推下悬崖的那刻，皱着眉头，面向我跟我翻脸：“你为什么让我看这种片子”

他爸说：“你再等等，他们会反击的，等等”  棋子儿坚持看完，释放了心里的那种愤怒，过来抱我

以中国为背景，能拍的这么美，真的很欢喜，心里莫名的喜欢！",1.0,1.0,0
6,6,26929010,雪人奇缘,e0b73f3e3f7abb948b6c1baa75fbcd0b,51c3bb22a29fa74cdba91f2350c92925,3.0,2019-10-01 16:49:39,一个充满了中国元素的美式思维的动画，全片以孤僻女孩小E帮助逃脱出来的有魔法能力的雪人去往喜马拉雅山为主要线索，穿插这一路上遇到的各种奇幻。女孩小E的小提琴成为了激发雪人魔力和后续抒情的一条线索，为雪人后续修理小提琴埋下伏笔。全片中对动物的设定和各种笑点的设定深得我心，动画画风有点像《超人总动员》，很具有美式特点。对于中国元素的探索和景区的复原非常到位，看得出用心了，相比某暑期国漫好太多了。剧情节奏紧张且耐人寻味，其实讲道理并不适合儿童，儿童只能看个乐呵。在人物的设定上，选择了一种基础的亦正亦邪，坏人亦有好人一面，在最后的桥段进行反差。在题材上，即选择了友情又选择了亲情，对于国庆档满满的正能量出现一个合家欢的电影还是很不错的。在观影体验上，非常差！不知道为什么儿童可以免票但是不设立真正的亲子厅，对大多数观影者来说体验感极差。一是座位问题，儿童不售票但是缺有家长强行占座。二是纪律问题，大多数儿童无法遵守观影纪律，非常影响观影体验。综上建议：要么设立亲子厅，购票时输入儿童的身份证号验证免票，要么全厅儿童也需要购票，既不用担心座位问题也不用担心观影纪律。但普及观影纪律仍是必要的。 吐槽一下：用雪人毛做成的小提琴也能有魔法了？厉害了…,2.0,1.0,0
7,7,26929010,雪人奇缘,11b86eb8a604cae3ee92dfd1325bd827,5cd2c0aa173ee954226a8c604bf5495e,4.0,2019-10-10 08:30:36,"在国庆档电影中的三座大山三个大片（我和我的祖国、攀登者、中国机长）中求生存的两部动画片（雪人奇缘、丑娃娃）其实非常值得拥有姓名。 《雪人奇缘》就是一部跨越年龄层次的动画片。不论是作为带小孩子的家庭还是童心未泯的成年人，都能从电影中收获温情和不一样的感悟。   故事情节非常简单，科学家（反派）和老板（反派，最后反转）联手活捉的一只来自喜马拉雅山的雪人偷偷跑了出来，在被反派们追杀的穷途末路上，碰巧认识了沉浸在失去父亲的痛苦中的小女孩小艺，于是和小艺、小艺的邻居鹏鹏和阿俊开始了游历祖国大好河山送雪人回家的漫漫征程。让我们来看看片子主打的亲情牌、旅行牌和那些让人忍俊不禁的小细节吧！   感知亲情 片子一开始就介绍了小女孩小艺的原生态家庭：永远在捣鼓好吃的的奶奶、温柔忧伤的妈妈和在社区到处打工攒钱的小艺。自从爸爸去世后，小艺就将自己封闭了起来，不再与身边一帆风顺、骄傲自恋朋友们来往，也不再愿意和家里的其他成员进行沟通，只是一心攒钱，实现爸爸生前与她约定一起去祖国各地旅行的愿望。她一个人的时候会拉父亲留给她的小提琴，以表达对父亲的怀念，却不愿/不知道怎么面对妈妈和奶奶。  与其说是小艺在拯救被反派追杀的雪人，不如说是雪人也将长期封闭自己的小艺拯救了。在旅途中，小艺在邻居的一次次帮助和交流中，重新感受到了身边朋友的温暖。在送雪人回家找亲人的途中，重新找到了身边亲人的重要性。她在这次远征中，推己及人的意识到了自己对身边人感受和关心的忽视。其实生活中的温暖常在，只是我们往往自己关上了幸福的大门。有时远行不是为了寻找自己，而是为了审视自己常常忽略的身边那些触手可及的东西。  真正的旅行 到底什么是旅行？你可以在网上做足了攻略，甚至想好每分每秒的行程，也可以随心所欲的走马观花。片子里的阿俊一直在犯愁，没有信号、发不了朋友圈、饿了好几天、没有任何行程规划。。。而年幼的鹏鹏对着一筹莫展的阿俊说，这才是真正的旅游啊！做规划的旅行当然可以最大限度的利用时间、金钱，是对自己负责的体现。但是冒险性的旅行因为各种不确定性才显得更加难得和珍贵。一个人有一个人的潇洒自在，如果一路有好友相伴，你的旅途可能会更加精彩~ 当然，跟对队友也非常重要！和猪一样的队友出行你可能只能一路晕晕乎乎，而有大毛（雪人的昵称）作伴，你的旅行就成了这样： 蓝莓炮弹：如果骚彩跑是干跑（撒干的彩粉），那这就是进阶版彩跑（Color run）湿跑！    蒲公英滑翔机：如果蒲公英可以像热气球一样大，相信哆啦A梦也愿意交出他的竹蜻蜓   油菜花浪：花海什么的是不是都过时了，在中国可以来一份油菜花浪~~~  





   





  斗耗牛：西班牙的斗牛算什么，我们中国斗耗牛！   开花了的乐山大佛：嗯，袒胸露乳的大佛貌似挺冷，来披一件花衣  鲤鱼跳龙门式登峰：爬珠峰的正确打开方式，居然是坐着鲤鱼一样的云彩跳龙门？！  





  精致的小细节 故事以中国社会为环境背景，在全世界65个国家上映，是中国一次绝佳的文化输出的机会。就像看完寻梦环游记（Coco）之后想要去墨西哥旅游的我们，相信更多外国友人看过这个片子之后也想来中国看看。虽然这次梦工厂做足了功课把片子都快拍成中国风景胜地旅游宣传片了，由于上档时期的选取失误，就这样在具有国庆时效性的电影中被拍死在了沙滩上。       还有很多只有看了本片才懂的小细节： 需要踮脚做饭的奶奶。唉 有多少老年人够不到现代家庭的灶台   啊啊啊 我的限量版战靴被弄脏了！！！好吧，只有跋山涉水，沾上了泥淖才算是留下了我的记号真正的战靴  





 一个城里孩子在野外迷路的真实写照：风声鹤唳中，只能举着手电筒一路尖叫着给自己壮胆狂奔   最后想吐槽一下可爱的大毛，为什么你每次一发功就发出便秘一样的哀嚎迷人的低音炮，然后自己变身成煤气灶广告？？？放大招的特效就是极光吧，那么每次我们看见一次极光，是不是就是大毛在远方发功呢？！   关注我，看更多精彩影评！",4.0,,1
8,8,26929010,雪人奇缘,6b7da99f5f068897ec2e5b18d08c2cc1,24e5219b91b374af8a3f53a0766bc5c5,4.0,2019-10-03 14:25:48,带着想彻底放松一下的心情去看了《雪人奇缘》，却发现真的会发自内心大笑和跟着全场欢呼，可以算是很有惊喜了，毕竟我自认为还是笑点挺高的一个人。 如果带着小朋友去的话，用100分钟的时间，去感受善良勇敢的少年之心，壮美奇绝的祖国河山，还有令人惊艳的想象力，我觉得会是挺开心的体验，大概是国庆档最适合全家老小一起观看的影片了。 梦工场的动画一般都不会讲特别深奥的道理，但重要而简单的道理，往往更容易被忘记。人一旦长大，就不得不陷入成人社会的规则，而把小时候所相信的美好世界深深埋藏在心底。 那些发自内心的善意，会因为现实而止步；那些一往无前的勇气，会因为未知而退却；那些关于自然和魔法的无限想象，会被书本上的科学公式所取代。但我还是固执地相信，这些才是真正应该让所有孩子都明白的事，哪怕只有短短几年也好，总会在心里留下微微的一簇火花，照亮现实世界的孤独前路。  先聊聊善良。真正坦诚的赤子之心是女主角小艺和雪人大毛之间的牵绊，你饿了我就去找吃的，有坏人想抓你回去我就保护你，你想回家我就千里万里也要送你回去。貌似上一个这么千里相送的还是《倚天》的少年张无忌送杨不悔，但那还有长辈托孤的因素。小艺送雪人回家，就真的是——只要你想，只要我能。并且，她也真的做到了。 反观雪人对小艺的回报，默默带她走过明信片上心心念念的风景，修复+升级了父亲留下的小提琴，在遇到危险的时候竭尽所能保护小艺和她的朋友们。这难道不就是善意最初的样子吗？莫因善小而不为，滴水之恩涌泉相报……这些古老的道理，其实是跨越了东西方文化，也跨越了物种限制的。用电影这种最具象的形式来传承，给小朋友留下的不仅是道理本身，还有更多伴随着欢笑与感动的情绪体验。  然后我想说说勇气，它好像真的是随着年龄递减的一种存在。影片开头，是小艺拼命打工赚钱的一小段情节，为了去看看爸爸留下的明信片上那些地方。其实，可能每个人小时候都有对着世界的憧憬，想要去走走看看那些未知的远方。但真正有了经济能力的时候，却永远觉得有更重要的事情要做，心里的世界慢慢变得越来越局限，只能为眼前琐事奔忙，而把远方变成了永远无法抵达的梦想。 所以，可能更幸运的不是被送回家的雪人，而是遇见雪人的小艺，在她还有勇气跳上船说走就走的年纪。能为了心底的善良和对远方的憧憬，鼓足勇气立刻出发，其实并不是件容易的事。有点萌又拥有强大魔力的雪人，就像所有小时候我们曾经相信过的梦，只要有勇气，也许就真的会实现呢？  最后，整场电影下来，我所有的大笑与欢呼都来自关于自然的奇幻想象。想象力这件事，在今天真的是却来越稀缺了，学校与书本能传授的是知识，但真的很难培养想象力。但天马行空的想象，难道不才是推送人类进步的根本动力吗？想要像鸟儿一样翱翔天空，于是有了飞机，想要在千里之外传递信息，于是有了电话……如果文明都要靠刻板传承，我们大约还在用着马车与信件吧~ 说回电影，最惊艳的设定是雪人控制自然万物的魔力，竟然是来自低声吟唱。我一直相信动植物虽然听不懂语言，但都听得懂音乐，也一直相信自然万物之间自有共鸣，所以这个设定特别能戳到我。 片中给我留下印象特别深的镜头，并不是最后主角惊险获救的场面，而是历险过程中一次次小细节——是一朵小小蒲公英长成巨大的降落伞，是油菜花田瞬间翻滚成汹涌的花海，是乐山大佛一曲终了遍山花开，是云彩变成小锦鲤的形状飞跃珠穆朗玛峰，是一声吟唱之后来自星空的回应：“Hi，我在”。  如果你还相信善良和勇气，相信想象力的美好，还坚持认为这些对这个世界其实很重要，那么去影院看《雪人奇缘》的时候，相信你也会跟全场一起大笑和欢呼的。那些重要而简单的事，总要有人记在心里才行。,4.0,,0
9,9,26929010,雪人奇缘,47f8d3c18f33c698ab3fd8cbf19f2b03,167bc24b0fca807607a3edd7494ea7a2,5.0,2019-09-28 09:40:46,《雪人奇缘》是继《功夫熊猫3》后，东方梦工厂与美国梦工场动画再度联手打造的一部动画电影，这部电影在颇具好莱坞特色的基础上，加入了很多中国元素。 我们通常在评价一部电影作品好坏的时候，通常会把能否与观众共情是非常重要的评价尺度。好的电影作品常常会带给观众沉浸式体验，这个不是用电影工业的各种技巧就可以实现的，它需要制作团队首先沉浸在作品之中，然后恰到好处的表达自己的感受和情绪，并将其通过人物和剧情展现出来。 《雪人奇缘》的观感如同一场飞奔的梦，女主角小艺如同每一个在现实之中普通的我们，对循规蹈矩的钢铁森林中的生活厌倦，爸爸留给她的小提琴，常常带她进入一个又一个的梦境之中。而这次，她在天台上遇到了大毛——传说中的珠穆朗玛峰雪人。 而大毛此时正在被一帮打着动物保护协会旗号的人追赶，在被追上之前，小艺决定送大毛回到珠穆朗玛峰。在途中，小艺的朋友阿俊和鹏鹏也加入进来，他们横跨3000多公里，躲避过“坏人们”的追赶，克服长途跋涉中遇到的种种困难，最终将大毛送回了父母的身边。   动画电影由于其题材的特殊性，更适合天马行空的想象力表达。很多动画形象深入人心，我一直认为，那是创作者将情愫具象化的极致体现。小的时候看《千与千寻》，每次无脸男一出现，我的心底都会升起巨大的孤寂， 《雪人奇缘》中的大毛也是这样的感觉，距离我在电影院看点映已经过去了好几天，早上在刷豆瓣的时候看到这张剧照，忽然就觉得心底柔软了起来。大毛，这个毛茸茸的冰雪生物，与人类的连接如此奇妙。我想起我们与动物之间的交流，没有共通的语言，但很神奇的是，有的时候，就是可以心意互通。 在电影中，小艺的琴声就是这种互通的载体。在一路去往珠穆朗玛峰的路上，艰难险阻，坏人们先进的武器，都成为了巨大的阻碍，每次在遇到困难的时候，大毛的魔力出现，就能解决掉这些困境。 大毛的魔力，可以让果实生长、漫山遍野开满鲜花、蒲公英也可以变成“飞行工具”。对于技术控来说，个人觉得这部电影的视觉效果充分体现了好莱坞的水准，小提琴配乐太美，尤其是琴声一起，花朵漫天遍地盛开的场景，犹如一场幻梦。乐山大佛的威严感，令我记忆尤深。   作为一个生活在城市中的普通人，我想小艺是很能让人自我代入的一个角色了。而同时作为一个未婚的大龄女青年，我常常被人问到，不遵循世俗的规则，不按常规传统的结婚生子的道路而行，会不会焦虑。刚好前段时间看前香港理工大学校长的访谈，他说从物理层面来说，每增加一个维度，能力就会放大无数倍。就好像在拥堵的公路上，如果你的车子可以飞，那你便无需受到堵车的困扰。 不按世俗约定出牌，不焦虑的根源在于有梦可以做。在某一群人中，他们的生活不止眼前，还有另外一层维度，就是梦境的维度，而同时有了“魔力”，这种“魔力”带来经历一切的勇气，所以都没有什么好害怕的。在《雪人奇缘》中，小艺探索未知，怀抱梦想，是我们的一个侧影写照，有梦的人是不害怕平庸的，有梦的人，自然能遇见有超能力的大毛，披荆斩棘，收获经历。 如果说生活95%都是由平淡组成，那么“有梦可以做”这件事情就变得尤为可贵。生活不止此生此世，还要有诗意的世界，不是吗？   今年又爆了几部动画电影，对于观众来说，是一件特别幸福的事情。作为一个想象力很丰富的人，动画电影是最能表现幻想的题材。在《雪人奇缘》中的各种形象，都可以在现实生活中找到参照。在登上珠穆朗玛峰的路途中，小艺有伙伴、有琴声、有魔力；在我们去往目的地的路途之中，我们需要同路人，需要信仰，更需要梦想陪伴左右。 当生活开始变得循规蹈矩般无趣时，希望我们都能遇到我们的“大毛”，沿途经历美好的景色，到达梦境之巅。 愿我们永远有梦可以做。,4.0,2.0,0
