,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27000084,变身特工,fe09624773144b4d26bc474ab29c5f15,78843575bf3437d87361a2aba0a3fdea,2.0,2020-03-03 23:50:37,第一次看预告的时候被荷兰弟和威尔史密斯的合作吸引了，再加上变成鸽子的噱头，感觉会是不错的片。 没曾想竟然奇烂无比。 本来最大的看点应该是变成鸽子后，如何利用鸽子的身份完成挑战。荷兰弟也说了很多鸽子的好处，在为剧情展开做铺垫。 结果呢，从头到尾变成鸽子都是累赘，史密斯的反应全是鸽子身体一点用也没有，最后大决战也是变回人去作战，我想请问变鸽子的意义在哪里，变只猪，变只狗，都不妨碍剧情的推进。 也就最后一刻，展现了鸽子的飞行能力，但这真的很苍白。试问一个武装到牙齿的特工竟然没有飞行器？要依靠变回鸽子去救主角？ 影片没有把变成鸽子的劣势转化为优势，使得最大的亮点变成最大的鸡肋！ 其他槽点更是数不胜数。 荷兰弟的角色真是圣母婊，毫无理由的站在世界中心呼唤爱。 鸽子军团的设定也很糟糕，硬生生就出来两只鸽子，要跟着主角，然后就变主力啦？后续也没有有效的互动，完全只是工具。 女警察的设定一塌糊涂，刚出场还以为是反派呢（昏暗的光影，靠在门柱旁的淫笑），随随便便进特工会议室，随便给点证据，就能抓特工部门的第一红人！！ 堂堂特工领导竟然还说要先配合调查。更不用说，在这高科技满天飞的世界观里，史密斯说有人变成我的脸，女警察竟然没一丝犹豫，极力否定。 说不是反派的卧底，我都不信。 只能说这是我今年看的最烂的动画。,45.0,22.0,20
1,1,27000084,变身特工,259ef2cbd94d297f642431b79dbcf87a,bd753a21df8c893907473bb4ba2263c9,4.0,2020-01-05 00:09:43,我是在1月3日晚上看的《变身特工》，感觉观影体验还不错，我在豆瓣上给这部电影打了四星。 我喜欢这部电影的原因： 一是因为它让我很轻松的笑了，每天紧张工作的我就想找一部好笑的电影让自己好好放松一下； 二是因为《变身特工》里塑造的人物都挺吸引我的，都给我留下了比较深刻的印象； 三是因为这部电影的价值观是很正的，也让我思考了一些问题。 接下来的内容包含剧透，请谨慎阅读。 一、一部科幻、动作、喜剧、动画电影 这样对《变身特工》的定位是很准确的。 1、科幻： 《变身特工》的概念还是挺科幻的，将一个人通过DNA重组变成一只鸽子，虽然不现实，但是确实是科幻背景；另外，《变身特工》的其他高科技道具也都很有想象力，让人眼界大开。  2、动作： 作为一部特工电影，动作场面是必不可少的。《变身特工》的打斗行云流水，最后的高潮戏全程高能，尤其是各种新奇的道具应用于打斗中让人目不暇接，又让人捧腹大笑，画面做的还特别梦幻。  3、喜剧： 《变身特工》的前面部分挺沉闷的，就是很普通的特工片，没什么亮点。直到兰斯（威尔·史密斯配）被变成一只鸽子之后，我就再也忍不住笑了。 没办法，变成鸟之后的兰斯实在太搞笑了，主要是兰斯的脾气太倔了，他不会老老实实适应自己已经变成鸽子的身体，而是一直在用鸽子的身体尝试人类的动作，最后就变得非常的滑稽。 电影院里没几个人，我笑的特别放松。  4、动画： 动画是《变身特工》定位的核心，因为《变身特工》如果不是一部动画，而是一部真人电影，那么肯定不会这么拍。 什么意思呢？ 有些人吐槽这部电影的理由是，电影太不现实了，人变成鸽子，这根本不符合物质守恒定律啊！电影情节也设置的非常不现实，现实里也不可能有沃尔特（汤姆·赫兰德配）这样的人，真有的话遇到这样的事也早死了。 这样想的人可能是因为《变身特工》制作的太逼真了，使其忘记了它是一部动画电影。动画的意思，就是采用动画的形式能够突破很多现实的束缚，实现很多真人电影做不到的事。  所以在动画里人可以变成鸽子，就好像在动画中动物会说话一样；同样的，因为是在动画里，所以能够有一些我们现实中不存在的道具，不存在的人。 恰恰是因为电影采用了动画的形式，所以才能够进行一些天马行空的想象，让我们能够大快朵颐地享受一个视听盛宴；因为是动画，所以可以表现很多非常夸张的动作，让我们捧腹大笑；因为是动画，才能够塑造出一个至真至善的角色让我们反思现实，而不感违和。 所以，接下来的讨论，我们一定要基于动画这个基础上，而不要对这部动画电影过于吹毛求疵。 二、鲜明的角色 1、兰斯 兰斯特工表面上看起来是一个很要面子，爱出风头，杀伐果断，不近人情的有些孤傲的人物。 实际上兰斯特工的内心很柔软，也很善良，他之所以出任务喜欢一个人单干，是因为以前出任务，他曾失去过很多搭档，也就是他所说的他曾经失去的很多善良的人。我们可以推测出，也许有某个他以前的搭档还是因为救他而死的。 所以兰斯为了不再失去搭档，不再失去他在乎的人，而选择一个人单干。 兰斯也是一个正义感十足的人物，与拯救世界相比，他从不会在乎自己的得失。 他不是没有感情，也不是冷血动物，他只是因为失去的太多了，所以嫉恶如仇而渐渐变得麻木了。 2、沃尔特 发明天才沃尔特是一个至真至善的人，无论其他人怎样说他古怪，他不会反击，他只是坚定的坚持自己的信念，因为他渴望用他的发明改变世界，保护世界。 他的善良体现在他的发明和他的行动上。虽然是为特工服务，可沃尔特的发明没有一样是会造成人的死亡的，他的发明都只是限制敌人的行动；在他面对大反派Killian的时候，他选择了把生的希望留给Killian，而把死的可能留给自己。 因为他坚定地认为杀人是不对的，还有更好的解决问题的方式，哪怕这个方式是牺牲自己。 为什么沃尔特会如此坚定地坚持自己呢？ 我想是因为在他小时候妈妈对他的鼓励，以及妈妈的以身作则、言传身教，而之后他妈妈又过早地因公殉职，离他而去。 沃尔特对理想信念的坚持，不只是为他自己，更是为了他的妈妈。他不愿被周围的环境同化，因为他不想让在天堂的妈妈失望，因为他相信妈妈对她说的话都是对的。 3、Marcy Marcy是抓捕兰斯和沃尔特的特工，这一路上可以说是百折不挠，锲而不舍。 对于这个嫉恶如仇，非常认死理，又身手不凡，心地善良的小姐姐，雪夜是很喜欢的。 4、Killian Killian作为这部电影的大反派，也并非是一个十恶不赦的恶人。 他的所作所为源于仇恨和报复，因为他的手下，可能是他最在乎的人，都被兰斯特工杀光了。因此他选择报复特工，想要杀光所有特工。 三、电影所表达的主题 除了常见的拯救世界的主题之外，《变身特工》有两点是值得我们思考的。 一是冤冤相报何时了，不如一笑泯恩仇。 这样的思想在我国的武侠片中很常见，但在欧美特工片中是不常见的。 如果美国人都能像《变身特工》所表达的这样，不再在全世界树立假想敌，搞对抗，而是用善意非暴力去解决问题，那么这个世界一定会变得更美好。 二是谁古怪，谁正常？ 我们作为一个局外人，开上帝视角，看《变身特工》，会觉得沃尔特是古怪的人吗？ 也许会，但善良不应该被认为是古怪，虽然在特工部门搞非杀伤性武器的研究看起来很奇怪。 但是，因为周围环境的特殊，而自己没有变得和它一样，就是古怪吗？ 是就是吧！ 就像沃尔特的妈妈说的，这个世界需要古怪，也需要古怪的人来改变世界。 多数人被世界改变，少数人则改变世界。 很多时候，我们说是因为大环境的问题，导致我们身不由己，而这个大环境的问题，恰恰是由于多数人造成的问题。 而改变世界，解决问题，往往是由于少数古怪人的坚持。他们坚持的往往只是一些最简单的道理，也是很多人曾经的信念，只是多数人已经不再相信了。而这些古怪的人，在个人得失的面前，也始终固执的坚持是非对错，然后想要改变那些：“从来如此，就对了吗？”的问题。直到大众被唤醒，然后世界得以改变。 就像那些为真理而献身，被烧死在十字架上的科学家一样。,67.0,4.0,22
2,2,27000084,变身特工,7d6bfece69da7b3d8eaf3c738af16664,5030173e64543e7d31aaf55eb198dc1a,3.0,2020-01-07 16:47:03,文/梦里诗书 特工变身鸽子的包袱，为《变身特工》带来了不少捧腹的笑料，爱与梦想的立意也不乏正能量的导向，然而电影在剧情上却只是沿袭了特工片的旧有套路，中规中矩，似曾相似且过于低龄化的展开，使成片整体来看显得尤为单薄，难以给人带来多少真正天马行空的惊艳。   在《冰河世纪》后，蓝天工作室其实一直没能再拿出媲美前作的作品，《变身特工》也是一样，虽然电影有着无可挑剔的动画制作，然而却并缺少一种能让人眼前一亮的新鲜感，电影故事以一位超级特工兰斯为引，反派复制了兰斯的脸，让兰斯蒙冤，而为了隐藏兰斯喝下了少年科学家沃尔特的药水变成了一只鸽子，一人一鸽的组合，两人在帮助兰斯洗刷冤屈的同时，还要共同拯救世界。 电影在拯救世界的这一过程中，也借此酝酿了两个正能量的内核，梦想与博爱，作为少年科学家的沃尔特，发明的很多东西都是看似可有可无的鸡肋，被人嘲弄，然而正是这些道具，最终成功化解了危及，而也是在沃尔特的身上，他善良的秉性，使他希望通过不血腥的方式来取得胜利，甚至在最后甘愿牺牲自己也要拯救敌人。梦想与博爱这两个内核随着历险展开的构建，确实对孩子来说是具有正向教育意义的。 虽然电影内核不乏意义，但电影却并非一部真正全年龄段的佳作，从强弱组合到互相嫌弃的人物关系，从蒙冤历险到正邪交锋，整部电影的剧情走向都给人一种似曾相似的感觉，纵观电影剧情，除了威尔·史密斯配音的特工兰斯变身为一只鸽子，电影用人与鸽子的反差制造了一定的笑料外，几乎再没有任何新鲜感可言，甚至于还存在着不少可有可无为了凑包袱的废戏，如此七拼八凑的故事，使电影过半便已然让人对其剧情走向失去了兴致。 造成这一问题的原因除了想象力的匮乏，定位的低龄，更在于电影缺乏真正有效的人物塑造，在《变身特工》中不论是傲慢的特工兰斯，善良的发明家沃尔特，还是电影的反派形象，电影所有角色给人的印象都是扁平的，随着剧情的推进，作为主角的两位搭档虽然也有成长，却基本上看不到能被称为人物弧光的亮点，令人看到的只有生硬的说教和煽情，这一缺陷也使电影失去了在人物层面上诱人共情的可能。   《变身特工》展现了蓝天工作室在制作上的一贯水准，然而今天的蓝天工作室却也失去了在《冰河世纪》时，那种将观众带入妙趣横生之地的能力，电影的平庸，是即便拥有变身的看点，也不足以掩盖电影套路的乏善可陈。,13.0,7.0,1
3,3,27000084,变身特工,fba86af8e08f4efe5044aa4680290dff,f26f9cae16e42451b543fb6402fe4784,,2020-04-24 23:13:47,"1威尔史密斯配音的人物一出场，我梦回黑衣人片场。高潮的无人机大战和虚拟现实技术，梦回蜘蛛侠英雄远征。熟悉的背叛误解套路，梦回碟中谍。不会飞的鸽子设定我梦回里约大冒险。门兜反派的机械手，我梦回星战走天家断手绝技。蓝天！你怎么回事？
2反派门兜配音，他一出场。稳了稳了，好莱坞最软反派。这些年我看着他轮转蜘蛛侠惊奇队长头号玩家罗宾汉起源星球大战各个片场演反派boss，每一个都看起来很高贵其实很菜鸡。
3全场最佳！泄殖腔。变鸽子的时候，威尔就看了看自己的宝贝，然后一脸惊恐，估计是没了。被那个木村捅生殖腔可还行。在潜水艇里居然下了个蛋，惊了！然后玩了把王男的梗，潜水艇的事就让它留在潜水艇。你听听，这是什么渣男发言。
4荷兰弟配音的角色就是一个疯狂科学家，拿benji的人设顺便跟威尔史密斯组组cp，他就这样从善如流得坐到了威尔大腿上。并且说，抱歉让你下了蛋这种虎狼之言。
5荷兰弟的角色爱看韩剧可还行，我觉得他就是拿了女主剧本。比如蓝天的里约大冒险，一直不会飞的鹦鹉因为他的老婆要死了会飞了！一直不会飞的威尔鸽子因为荷兰弟要死了会飞了！震惊，蓝天创作枯竭。
6本门的你自带BGM的吐槽我get到了，暂停笑了整整三分钟，你就是因为星战里面被达斯维达锁喉了吧！所以你发出了怨念。
7荷兰弟还调侃了一波，欢乐的五十道阴影。五十度灰鸽子版上线。
8其实还挺好看的，我哈哈哈哈了一路，虽然bug不少，借鉴致敬不少。但是蓝天动画对鸟类的刻画还很生动，那个酒翻滚气泡的镜头做得很出彩。多花点钱搞点好剧本吧！
9所以 里约大冒险三什么时候出来？为了听杰西说一声爱德华多看了二，三呢?给岳父多加点戏吧！",3.0,,1
4,4,27000084,变身特工,f8ad03b37d27a1a79afdbf08bb391a93,1f2f7b04ec74413c1ef07c23975b6d1d,4.0,2020-03-10 22:33:53,首先说对这部电影总的观感：一部合格的喜剧动画片，我愿意为它走进电影院。 情节是一贯的套路：明星特工兰斯一向秉持以暴制暴，在被反派BOSS诬陷的过程中被迫和geek科学家沃尔特绑定，一路笑料倍出地战胜反派的故事。  笑点： 1、Bird unbird 兰斯被变成鸟，英文中的bird作为动词使用，正好对应中文的“鸟”你和“不鸟”你。看到这段的时候忍不住笑出声来，感慨语言的神奇。 2、变身的各种“鸟”梗 虽然是个壮汉，变身的时候因为使用了小母鸟的羽毛，竟然下了一个蛋。哈哈哈~以及360°的全景视野，和泄殖腔的尴尬。 沃尔特养的小鸟和兰斯变身的鸟之间的互动。特别是颈部的羽毛，做的逼真又可爱，特别想摸一摸。 3、沃尔特的各种神奇道具 虽然是部“鸟”剧，也不免把猫拉出来卖卖萌，可是大家都买账。 关键时刻，肯定是要发挥重要作用的~不过这部分感觉力度有点弱，没有让人眼前一亮的设计。  以暴制暴VS用爱拥抱世界 这大概是正义与邪恶战争的一个重要主题。 作为特工的兰斯是以暴制暴的代表人物。作为国家暴力机器的一员，他使用暴力扫清黑恶势力，确实是无往不利的。这让他对于自己的方式和信念更加坚定。 有时候，我们确实能感觉到暴力是必须的。没有国家暴力机关，会缺少许多的安全感。 但有时候，这种暴力和权利，也同样让我们感觉到不安全。  沃尔特是理想主义的化身。 母亲作为国家机器的一员，为了保护群众对抗恶势力牺牲。沃尔特没有因为这个事件而“长歪”，反而更加坚信可以用爱感化世界。片头他和妈妈的互动也可以看出，这个孩子从小被教育得多么好，是在一个充满爱和正能量的环境中长大的。这就是我们最应该带给孩子的。即时他不能像沃尔特一样聪明，也一定是幸福的。眼中的世界是美好的，他回馈给世界的也一定是美好的。 这让我想到日剧《轮到你了》中的男主手家翔太，给仇人个拥抱，感化他。简直是神一样的操作。  这两个人相遇，必然会激起很多火花。 最终，作为动画片，自然是“爱”战胜一切。 但成年人都懂得，这是理想，不是现实。 却不影响我们保持着这种美好的梦想。  weird VS normal 片中最常出现的形容词就是“weird”。牛津词典的解释是“奇异的，不寻常的，怪诞的”。 在英语语义中略带贬义，所以沃尔特对于别人形容他“weird”，都是不太能接受的。 人们总是本能地排斥异己，排斥自己不能接受的、与自己认知不符的人事物。  沃尔特与其说是weird不如说是unique。 现在的人们越来越希望与众不同，不希望派然众人。那代表着普通，那代表着平庸。这个世界崇尚个性，厌恶平庸。 毕竟世界是由这群weird people推动前进的。  但我觉得，weird也罢，normal也罢，都在用自己的方式引导着世界的走向。力量大作用大，力量小作用小，都不可忽视。世界上最多的还是普通人。 你就是你，每个人都是独一无二的自己。即便你与许多人有相同的点，组合起来也是不一样的你。人有那么多的特质，排列组合的可能性远远大于世界人口。 没必要为了特别而特别，那是中二少年才会做的事情。,7.0,,2
5,5,27000084,变身特工,20c3e57899a5f9692f35fd0a3192188d,3823e91532e3c84b4ddd655fbca9374e,3.0,2020-06-07 21:37:58,看的时候就一直在三星和四星之间反复横跳，看到最后看得我给二星的心都有了 先说说好的方面，制作真的很足，追逐戏超爽，令人耳目一新的特工道具，整体有较稳的主题思想。 但！观影体验随时间的推移一直呈下降趋势，过了开场一段任务后，把男主喜欢单飞的形象立起来，就开始展现这片的神逻辑，在特工这一背景下，都是些高科技道具，但是警方不相信有个人有机械臂，能够模仿男主的脸，易容在现实也很正常啊，明明你的那俩手下也很不可思议好不好，我明白警察在电影里一般都是废物，但不要这么恶心人好吗。男主变成鸟了，你都能跟那么紧，易容的反派管都不管。 我说过这片有稳定的中心思想，不过表现得很烂，说一个小发明家想通过发明和平的小道具拯救全人类，但是不想伤害任何人。一开始兰斯意外被沃尔特变成鸽子，说鸽子有多酷，我以为整篇会让兰斯从不熟悉到习惯的转变，但是并没有，全篇都没有因为鸽子办成过事。沃尔特说团结就是力量，但是鸽子拍档一直在添麻烦，完全靠主角的幸运而没被抓到。沃尔特说爱与和平，不要伤害，最后决战一队特工用沃尔特的道具效果和普通武器的效果一毛一样，兰斯就因为这些鸡肋发明，一直拿不下反派。整篇主要思想就是想告诉你，辅助有多重要，这片子也表现出来告诉观众，如果一队人都是辅助没输出什么事都干不成。 片子在中后期也有高光时刻，兰斯一行人成功追到资料库信息，反派一拳就把一行人都给撂倒了，简直不要太帅，不过呢，你猜猜兰斯他们怎么逃走的，就因为反派被鸽子群给围了，逼格瞬间拉胯。后来，兰斯终于变回人了，又准备单飞，就打坏了一个无人机，然后...被反派抓了。兰斯跟别的特工说，习惯一下沃尔特的道具就好了，拿根棒子上去又被反派打倒。 总而言之，成片就是在不停拉胯中拉上帷幕，总以为能让我爽一爽的时候就开始恶心人。及格分仅打给制作。,4.0,1.0,0
6,6,27000084,变身特工,8298fb0ed23088901a4448b9b9f77325,ddeb0571156a2020265989a90de5b3bf,4.0,2020-01-07 23:03:27,废了很大的劲，终于看了这部电影。因为我居住的地方给这部电影很少场次，几乎都在我的工作时间，于是我特地和朋友坐车到离我们比较远的电影院观看。 笑点非常密集，特效也不会让人失望。总而言之，如果想放松看这部片就对了。 兰斯很常说的一句话是“I fly solo.”从一开始的斩钉截铁和自信，到最终的无奈。优秀的人难免总有一个通病，就是他们总觉得对方会拉低自己的效率，自己一个人没有牵挂反而好很多。因为你不需要绞尽脑汁地想不被队友拖累。不过在最后，展现在观众眼前的是一个更加立体化的形象，因为他似乎是看过太多善良的人死去，所以不愿意再眼睁睁重复这段悲剧，才选择了solo。那么solo真的需要向合作投降吗？ 合作与独处 生活当中总是很多人告诉我们合作的力量更大。为什么合作的力量更大，大概是因为每个人都有失误的时候，同伴能给你精神的鼓励，或者一些实质性地帮助。这部电影里面沃尔特用自己‘weird creation ’拯救了特工，拯救了兰斯。合作与独处其实在人类社会中都是必不可少的生活技能，只是这部电影其实展现地几乎都是变成格子的兰斯需要被拯救的部分，而身为特工的兰斯被拯救的部分相对较少，印象中只有打开手铐的时候是需要的。不过我也会不禁思考，身为顶级特工的兰斯，真的对这个手铐毫无办法吗？ weird  沃尔特的weird应该更多展现在自己的发明上。包容可能也是这部电影想突出的其中一点，15岁从麻省理工就毕业的他，致力于发明不伤害人类的武器。最终还被邀请成为特工组织的leader。个性奇怪的人真的活的特别艰辛，因为你必须要改变世界，才能获得温柔。希望大家能够对身边每一个weird 的人抱有一定的宽容，因为你不知道，他的思考是否就在明天拯救了自己。 好人与坏人 “你眼中的坏人，是我最亲近的人”其实好坏本来就是特别具有主观性的词语。这让我不禁想到最近传的风火的“第三次世界大战” 其实好坏我不怎么在乎，我在乎的是和平，人们面前切实存在的面包和家。而不是成为政治的工具。,5.0,,2
7,7,27000084,变身特工,1047267a02eaf5bc01c0a3b470d6b2d6,016cc5fb2c2104bbf2b41e566a4595a5,3.0,2021-08-23 12:00:41,说是隐形，结果变鸟。暗杀者应该区别于间谍，不单只是刺探情报，还要执行任务。变鸟后虽然能掩人耳目，但战斗力变零，怎么暗杀。Lance一下子从高大威猛变成一只鸟，只得被迫由独行侠变成一起行动，而这一切都是因Walter的药水。他会因为得到解药而感谢Walter，并在一起行动的过程中产生如此之深的感情，多少有些牵强。而且Walter言之凿凿的“你只要接受了，做鸟有很多优势”毫无体现。     而Walter最后将保护气垫给了反派，用自己赴死践行“用爱不用暴力”的行动思想也多少有些过于理想化。这是对于母亲舍身救人的延续。但基层警察和反黑除恶面对对象的差异太大。这样的理念其实并不适合。当然如果是为了教育孩子love and peace，就是另外的事情了。  花絮： 1.Lance追踪木村的酒店是一个真实存在的度假酒店（Blue Bay Hotel and Resort Grand Esmeralda），它位于墨西哥的 Playa del Carmen。 2.本片灵感来自于Lucas Martell在2009年制作的动画短片《Pigeon: Impossible》。 3.威尔史密斯自15年前上映的《鲨鱼故事》（Shark Tale）以来的第一部动画电影。 4.斯特林特工的左胸纹有美国海军陆战队徽章（鹰、地球仪和锚）。 此外他的发型也是海军陆战队的常见风格。因此可以推断他是海军退伍军人。 5.Will Smith和Tom Holland在这部电影的制作过程中从未见过面。 6.迪士尼宣布2021年关闭蓝天工作室，所以这是蓝天工作室制作的最后一部电影。,,,0
8,8,27000084,变身特工,e42085164cfff2adb036fa6757084061,b400aa582c50981972bd87b7bf7fbc4e,5.0,2021-03-17 10:27:17,"2月9日，美国媒体披露，迪士尼将关闭其旗下的蓝天工作室。

这家工作室预计将在今年4月正式关闭，大约会有450名员工受到影响，部分员工有机会在迪士尼旗下的其他工作室与部门找到新的岗位。

2020年，随着新冠疫情的肆虐，迪士尼在主题乐园和电影业务等方面都受到重创，其2020财年亏损累计已达28.32亿美元，这是多年来迪士尼首次出现这种程度的亏损，回顾三文娱此前文章：迪士尼的2020：疫情之下，加速转型

面对危机，迪士尼显然意识到自己不再能够很好地同时维持三家动画工作室的运转（迪士尼动画、皮克斯和蓝天工作室），此前蓝天工作室的表现也不尽如人意，最终让迪士尼决定将其关闭但保留相关IP。￼

蓝天工作室正在制作中的原计划于2022年1月上映的电影《妮莫娜》，已经被取消。《冰河世纪》这一IP的衍生剧集则在继续开发，未来计划在Disney+上映，为迪士尼与Netflix的流媒体平台大战贡献弹药，同时这一IP还会出现在迪士尼乐园中。",2.0,,0
9,9,27000084,变身特工,b2d8ae1f65af2550f56e550d451c7ce0,4d6a3ae0355d5bb583b49121d5101035,4.0,2020-12-26 12:21:38,"圣诞夜想看个电影，发现芒果TV上有这部一直想看的《变身特工》就在家刷完了。
我对国外动画电影期待还是很高的，这部比较爆米花一点，可能只有7分多，但因为里面有两个笑点做得超级棒，可能是我今年觉得最好笑的剧情设计了，愿意加到8分。
一个最好笑的是《close to you》配合剧情响起的时候，真的是神来之笔，我当时都愣住了，然后爆笑，笑出🐷叫声，回看一遍还是觉得这个设计得太神了，如果我在电影院里吃着爆米花看到这儿估计会把爆米花喷到前排去。可惜我怀疑这个梗只有了解这首深情歌曲的人才能get到，不懂这首歌的人，特别是没注意歌词的人可能完全没get到这神来之笔。而且基本这个点之后的喜剧元素开始奏效了，电影开始好笑了。
另一个好笑的是里面竟然植入了韩国肥皂偶像剧情节，前面铺垫了这个点，没想到后面竟然配合剧情再次玩了这个梗，还显得非常合理，也是oddly hilarious。这也一方面说明韩剧的影响力真的是非常大了，能融入好莱坞电影，而且美国人同样吃这套，对好莱坞反渗透了。
这个电影的张力还是很有意思的，一个情报组织里的怪胎研究员只想研究出不会杀人的武器，一个007式的特工意外被变成了鸽子，两个完全不同的人要联手阻止坏人做坏事，挺有新意的。
电影的缺点就是第一幕里还是稍微有点分裂，因为要介绍两个完全不同的人的前史然后进入攻击点，两人之前完全处在不同的世界，看完一个人的故事然后看另一个的时候，前一个人就丢了。所以第一幕进入故事不是很顺利。再就是特工鸽子前面铺垫了太久不会飞，怎么从不会飞变成会飞，这其实象征一个重要的内心转变，一般来说需要一个强事件刺激，可惜在剧情里这点太金手指了。再就是weird这个主题，前面大部分做得还是不错，最后结尾弱了点。",,,0
