,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27042748,腰间持枪,dd311000a3ec81a56c17c1bbbfedb512,7d13bc09cc44c6b0b1e90fea8447614c,5.0,2020-03-03 23:50:41,自毁式转型 刚写了篇将偶像转型难的文章，突然又想到一个演员，可说是“自毁式转型”的绝对执行者。 《复仇之角》剧照 他就是丹尼尔·雷德克里夫，曾经的「哈利·波特」，那个无人不识的男孩儿。中国观众亲切地称其为“蛋妞”。 “蛋妞”在《哈利·波特》系列之后，就开始竭力想要摆脱魔杖小男孩儿的既定印象，于是接了许多堪称神奇的电影，完全没有偶像包袱、也丝毫不在意形象。 你说他长残了当然也可以，可我觉得，他就是主观上想毁掉那个「哈利·波特」，哪怕面目全非，也要成为丹尼尔·雷德克里夫。 《瑞士军刀男》剧照 从《黑衣女人》里的丧妻律师，到《复仇之角》里的犄角魔人，再到《瑞士军刀男》里的万能尸体……他近几年令人印象深刻的角色，似乎全都是不太正常。 而在这部我期待了很久（对，我喜欢Cult电影）的《腰间持枪》里，蛋妞更加放飞自我：扮演个穿着睡袍、短裤和熊爪拖鞋的死宅，结果半路拿起了双枪，在成吨血浆和爆燃火光中，杀了个莫名其妙。 “罗恩，这玩意儿比魔杖好用多了！” 我期待《腰间持枪》，很大程度取决于早前看到的一张流出剧照： 《腰间持枪》剧照魔改版 很长一段时间里，我都不知道这张魔性的剧照出自哪里——也没去查，事实上，我内心深处还真希望《哈利·波特》出一期这种恶搞的。 后来知道了《腰间持枪》这部电影，我甚至为它飞了趟加拿大。 实话实话，电影其实称不上什么大作，但它强在足够刺激、足够颓废。  电影中，丹尼尔·雷德克里夫扮演的迈尔斯，是个游戏公司职员。同时，他也是个资深宅男，没事就在网上怼天怼地，用各位熟悉的说法说，他就是个“键盘侠”。 键盘侠迈尔斯所在的城市叫弹片城，这是个夸张的地方——事实上，整部电影都很夸张，是完完全全的漫画游戏风。  迈尔斯卷入了弹片城的一场“吃鸡”性质真人秀：就是找一群精神病、社会垃圾和职业罪犯，让他们自相残杀。整个过程通过无人机和满街的摄像头直播。 想想就挺好看的（误）。 然后这档真人秀也有排行榜，榜首是个妹子，叫尼克斯。 尼克斯这个妹子可说是电影的亮点，飒得不行，彪悍凶猛到让人隔着屏幕都能感觉到她的杀气。 《准备好了没》剧照 扮演尼克斯的演员萨马拉·维文，刚刚出演过话题B级片《准备好了没》，杀光了电影中的老公全家。这回又带着小哈利大杀四方，也真是性感。  最后死宅键盘侠直捣黄龙，毁了恶心真人秀的总部，把该杀的、不该杀的都杀了；同时他自己，也是该露的、不该露的都露了。 可以说，这次蛋妞又把“自毁式转型”，发挥到了一个新的高度。  喜欢游戏风、动漫风、杀伐果敢、黑色幽默的朋友，《腰间持枪》是为你定制的。 他是对的 很多人感叹于丹尼尔·雷德克里夫的自毁、颜值崩塌，但我觉得他是对的。 只有通过这样的毁灭，他才能摆脱哈利·波特的阴影，成为真正的演员。而这个过程就是痛苦的、扭曲的，他只是把这份痛苦和扭曲融入了选角中。  他失败吗？不，我觉得他正在接近成功。 要知道，距离最后一部《哈利波特》正传电影上映，已经过去了八年。这八年，丹尼尔·雷德克里夫并未淡出人们的视野。 尽管他主演的电影没有拿到很高的评分，票房也不过如此。但他一直在镜头前，拼命、百无禁忌，热度依旧。这难道不比那些童星强无数倍？  我在他身上，看到了作为一名演员的尊严：对于未来的期待，和对于表演的热爱。 衷心希望蛋妞能够更上一层楼，完成突破。,143.0,1.0,25
1,1,27042748,腰间持枪,eb5cba2d91b6c6047f17951aa2a3ea54,19c550188c76a3b5599621418933f245,3.0,2020-03-02 04:13:36,"一部电玩风格的爽片。 杀戮、血浆、癫狂，肯定进不了中国大陆院线的那种爽片。   1989年出生的丹尼尔，十年演了八部哈利·波特系列电影，在2011年的《哈利·波特与死亡圣器(下)》之后开始疯狂转型的探索之旅。 时年23岁就在恐怖片里演父亲(《黑衣女人》)。 在同性片里演青年文豪(《杀死汝爱》)。 在传记片里演总裁(《游戏改变者》)。 在爱情片里演男小三(《如果的事》)。 在奇幻片里演尸体(《瑞士军刀男》)。 在悬疑片里演大反派(《惊天魔盗团2》)。 也尝试过犯罪片(《困兽之斗》)、冒险片(《丛林》)、政治惊悚片(《绝对统治》)。 丹尼尔经常胡子拉碴、不顾形象就出镜，本就个子不够高、脸蛋不够俊美，几乎可以排进“那些日后长残了的童星”榜单，为求转型也真是苦心孤诣。 在《爱你，西蒙》里哈利波特时期的丹尼尔·雷德克里夫是男主青春期的性幻想对象，如今丹尼尔在影片里露面常常引发观众纳闷：这个胡子男真是演过哈利波特的？  《半路枪手》中丹尼尔·雷德克里夫有露点，露的还是第三点……(不截图，自己去看~) 剧情非常超现实，在一个叫弹片城(ShrapnelCity)的地方，丹尼尔饰演的迈尔斯是个在游戏公司上班的废柴宅男，因为在网上和人骂战，被胁迫卷入一个叫Skizm的直播真人秀。  可不是那种选秀或者慢综艺，是地下搏击俱乐部，运营方随机寻找疯子、怪胎、罪犯入局，让他们互相战斗至死，利用无人机和城市监控摄像头进行直播。 这种既扭曲又恶心、上演人性卑劣的直播吸引着全球数百万用户在线观看。 迈尔斯的首战就被安排对决杀手榜第一位的尼克斯。对了，尼克斯是个妹子，狠角色。 被尼克斯追杀、被警察追捕，现实里弱鸡一枚的迈尔斯被步步紧逼，最后也成了杀手大魔王，还直捣黄龙杀死大boss，掀掉了Skizm大本营。 说到底，就还是屌丝逆袭的戏码。   2008年的《死亡飞车》就有这种逼人加入疯狂直播真人秀的情节，杰森·斯坦森为自由而战。 揭露互联网用户阴暗人性的近年也有《解除好友》、《暗网》等。 跟《半路枪手》更接近的可能是2016年的《玩命直播》，但口味更重更癫狂。《玩命直播》在最终关之前还只是些真心话大冒险式的任务，用户是可以自主选择加入，初衷也只是为了赚看客打赏，整体更像是艾玛·罗伯茨和戴夫·弗兰的爱情故事。  《半路枪手》一上来就是你死我活，Skizm逼迈尔斯参战是把他打造成“爱德华枪手”(想想爱德华剪刀手是什么模样)，迈尔斯的双手被焊接上了双枪，左右各50发子弹。
  这种大爽片是不能细扣逻辑的，爽就完了，若能映射点现实、引发点反思就是高阶了。  随着互联网发展，直播成为潮流大势，似乎任何人只要豁得出去都可能当网红，现实里的每个loser或许都隐藏着一夕爆红、一夜暴富的痴想。现实里的废青，往往在互联网的世界幻想自己是终结者，所以现在有那么多键盘侠。 《半路枪手》里的迈尔斯小时候梦想是一名英雄、一个战士，但长大发现自己只是无名小卒，在公司被上司欺负、女友成为前女友、没什么社交生活，日常就是宅在家喝酒打游戏。 生活在弱肉强食的世界，说不定什么时候就激发出了你内心的兽性。迈尔斯虽是被逼入局，但也是因为他会看Skizm直播并参与评论，才会被盯上。 求生欲是人类的本能，从迈尔斯走火打伤警察，到意外枪杀黑帮，再到主动杀入Skizm巢穴，告诉我们一个道理：你可以平日信奉吃素，但只有肉在眼前，为活命还是吃吧；你可以不喜欢暴力，但当暴力找上你时，你要懂得面对暴力。    丹尼尔·雷德克里夫这次依然是胡子茂盛，还穿着内裤睡袍就在大街上奔走，被揍得鼻青脸肿一身血，掉在地上的过期热狗照吃不误，没有形象包袱，演得也很卖力。 但不得不说，演尼克斯的萨玛拉·维文可是抢走不少风头呢。  眼神杀、身手杀、暴戾神经的气质更是杀。
  拾起自己的断指做竖中指动作，酷毙了。
  同归于尽的结局也把领盒饭领出了风骚。 她去年在惊悚片《准备好了没》里演一个被逼急了的杀戮新娘也是很出彩。   大爽片除了剪辑要凌厉、要有几个炫镜头、血浆不可省，另外配乐也很重要。 《半路枪手》简直是摇滚和嘻哈歌曲联唱，插播的歌单不要太长噢。  ·Spinmeround ·Runwild ·3Words ·BallroomBlitz ·Whentheshitgoesdown ·Wildone(realwildword) ·Neversurrender ·Superfreak ·Timecapsule79 ·Remembertobreathe ·Entertheride ·Neongray ·Playcare ·Reversepart   话说cult风格的电影，国产片里也稀缺，貌似只香港曾有不少产出。 彭浩翔的《维多利亚一号》很好看，他连春娇志明系列也都是从鬼故事开始，哈哈。",31.0,2.0,21
2,2,27042748,腰间持枪,d5cac4149e3026b769b4cbb0c27a80fe,b726cc324e15cb9502328d96982f6946,3.0,2020-03-08 11:39:56,丹尼尔·雷德克里夫，曾经我们熟知的哈利，用近乎“自杀式”的方法寻求演艺道路上的突破，而且似乎有些成功。 影片中丹尼尔饰演的迈尔斯用键盘发出了一系列自以为不必负责的过激评论，被暗网组织盯上，两只手上被死死钉上手枪，从而走上了不可思议的“斗争”道路，并得名：半路枪手(也是影片的另一个中文译名)。 这是一部纯正的cult电影，充斥着暴 力血 腥与幽默。屌丝逆袭，键盘侠报应，其实都在揭示着浮躁社会背后的本质。 半路枪手也好，腰间持枪也罢，这部影片都在提醒着网友： 如果今天的你在屏幕背后管不好自己的手，明天就会有人对你下狠手，到时候求谁都没有用。,6.0,3.0,1
3,3,27042748,腰间持枪,811938179ebdf6b4088e5f01cbbd10f2,0749aba640e959500fa9062c66b42ea2,3.0,2020-03-07 16:26:09,刚刚看完了电影，以为是一个普通的键盘侠的故事，其实还是另一种形式的英雄电影。        蛋泥的电影真的很努力的在洗掉哈利的标签，从杀死汝爱、瑞士军刀男、绝对统治……每次的表现还是让人耳目一新的。 剧情 一个游戏公司的阿宅，偶然点进的直播，充当键盘侠，结果麻烦找上了门，双手被焊上了手枪被迫参加skizm的屠杀游戏。 风格/画面 有点爱死机的科幻风格加上血浆爆头的效果，视觉体验拉满。 音乐 键盘:Run wild-Thumose/NoMBe Nix出场的音乐:The Ballroom Blitz-The sweet 碰到流浪汉&amp;片尾:When the shit goes down-Cypress Hill Nix追到办公室: You spin me round-Nightcore 两人闯进总部: Real wild child-Leggy Pop 最后屋顶枪战:Never surrender-Stan Bush 其他 前半部分喜剧效果不错，最后枪战加肉搏真的暴力(大概是我接受无能吧……)。电影游戏化，游戏电影化大概是近年来的风格吧，还是挺不错的。,1.0,,1
4,4,27042748,腰间持枪,b1f63d9c13d983fc16a38e9ec6855107,bf76bf7891399533c5ec73ac8c9f7e65,5.0,2020-09-17 23:24:55,最好的造型，最好的演技，让我从头嗨到尾，可以称得上是萨玛拉维文的巅峰之作。给造型师加鸡腿🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗,1.0,,1
5,5,27042748,腰间持枪,f0efc087b8bc6b0d5aca7a1682c84607,53b50959c2be19db199d399e163da02d,3.0,2021-08-11 23:51:33,跟电影没啥关系，就是想起来了 比夜还深的黑里 众星都阵亡 无数饥渴的瞳孔 比月还要亮 自我满足的欲望 比梦还要想 隔着荧幕成了英雄 用距离埋葬真相 且让谁为你鼓掌 天就快亮...... 键盘不停敲响 仿若演奏唢呐 只要拥有假象 我们就有希望  天花乱坠荒唐 都像国色天香 你的我的他的 她的谁都一样  躲在虚拟的世界 谁也都伟大 毋须负责的说法 讲起来最爽 践踏别人的小丑 都成了偶像 有了帐号才敢狂妄 在自卫的舞台上 让同流与你击掌 天就快亮...... 再来更多视窗 不睡也都不怕 只怕醒来以后 又是苦痛挣扎 都有魔鬼力量 更有天使长相 你的我的他的 谁的地狱和天堂 天都已亮...... 键盘就像唢呐 兴高采烈奏响  只要拥有假象 前途无可限量  天花乱坠荒唐 吐露绝色芬芳  你的我的他的 她的谁都一样  再来更多视窗 不睡也都不怕  只怕醒来以后 又是三千乱髮  不管地狱天堂 撒旦也都不怕  只怕生活以后 王子打回青蛙,,,0
6,6,27042748,腰间持枪,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-11-21 21:50:21,口吐芬芳被教做人——《腰间持枪》         今天聊聊电影《腰间持枪》。 片名Guns Akimbo (2019)，别名玩命Online：双枪对决(台) /半路枪手。     这是一部强调视觉效果的R级爽片。 影片里通过生活不如意的男主角迈尔斯，狠狠地将一切不顺眼的事物痛扁一番。观众们也可以借着爽片无底线的欢乐90分钟。     迈尔斯的身份是生活中较为常见的怪胎集合体。 他是一名资深宅男，热衷于各类电子游戏，没什么钱财，每天蜗居在巴掌大的房子内，本职工作是一个程序猿，编写一些毫无营养的手游圈钱，业余生活是在网上做喷子，喷天喷地喷空气。 感情方面，目前还是单身，被女友诺娃甩了，继续快乐单身汉生活。工作方面，每天被上司PUA，上班就是挨骂。     迈尔斯为了发泄生活中的不如意，在网络上各种对线喷人，狂喷自嗨、口吐芬芳，说出各种不负责任的话感觉很爽快。某一天他乱喷的时候，惹到了一个名叫斯基姆（skizm）的组织，结果被人顺着网线找上门来。迈尔斯开始为过激言论买单。 斯基姆组织可不是省油的灯，组织头目维克多是一名刑满释放人员，长期浸淫违法犯罪活动，拉拢了一群打手黑客，建立了地下视频直播节目。节目搜罗各地犯罪分子，让犯罪分子捉对厮杀，并进行直播，吸引了上千万观众观看。 迈尔斯喷了斯基姆组织，结果被斯基姆强行安排上，双手被钉上双枪，前女友被掳走当人质，强制性参加厮杀节目。     迈尔斯问天无路、问地无门，只能硬着头皮参加这个倒霉催的节目。他的对手不仅是连杀47人风头正劲的尼克斯，还有被买通的黑警。 迈尔斯要想尽一切办法活下去，还要找机会破除斯基姆组织的控制。     本片主演丹尼尔·雷德克里夫是观众们熟悉的哈利·波特。 成功扮演小哈利后，丹尼尔·雷德克里夫一直在寻求转型，接连出演《瑞士军刀男》《丛林》《困兽之斗》《逃离比勒陀利亚》等一系列不同类型电影。这次在爽片《腰间持枪》中，他依旧是自毁形象，用极为夸张的扮相挑战自我。 丹尼尔这么拼命的目的就一个，希望观众们多看点儿电影，别每次提到他只会说哈利·波特。     女主角萨玛拉·维文的形象一如既往，都是那种疯狂的漂亮花瓶。她从《大骚乱》《辣手保姆》《准备好了没》等影片，到这部《腰间持枪》，角色形象保持一致。 漂亮妹子不会只做一个好看花瓶，要做花瓶也是最能打的那一个。     迈尔斯用亲身经历告诫观众，千万不要有“我穷我有理、我弱我正义”的错觉。迈尔斯的身份设定基本已经是最底层社畜了，工作、感情、生活没有一个如意的，唯一能够找回存在的事情就剩下网上喷人了。 喷的时候可要小心，万一惹到了不管不顾的大坏蛋们，那就要吃不了兜着走了。     迈尔斯被动成为了一位大杀四方的明星，成了前女友眼中的英雄，情绪饱满的爆发和双枪双持成了他的标志。这个过程付出的代价则是身边为数不多的亲友们，段位越来越高，能够交结的人却越来越少。 社畜被逼着走上一条反抗道路，但那也是没办法的事情，如果可以选择的话，社畜宁愿做一条混吃等死的咸鱼。     《腰间持枪》的主要看点集中在视觉效果，红蓝色调是整部影片主色调。霓虹灯强烈闪烁，快慢镜头交错，刻意营造一种电子游戏闯关式体验。熟悉各类3A大作的资深玩家，会在影片中看到许多似曾相识的镜头。 年纪大了玩不动激烈电子游戏的观众们，不妨看看这部爽片，借着狂野键盘侠的双枪双持云游戏一番，重温那逝去的岁月……     口吐芬芳被教做人， 双枪双持进阶高玩。     这里是硬核影迷集散地，欢迎关注：妙看影视,,,0
7,7,27042748,腰间持枪,3d1e77a9585cc86b95414779c1f94c35,4aca8178c4ff22f5ed1c89b1e7660f3f,3.0,2020-11-11 00:11:11,一、故事梗概 受老板欺负的打工人Miles所有的乐趣就在于做键盘侠，与人打笔仗，而他惹怒了残酷直播平台Skizm的创始人Riktor。Riktor带人闯进Miles家里并将他打昏。一觉醒来，Miles发现自己两手被钉子固定在两把手枪上，每把枪有50颗子弹。还没等他习惯，被Skizm派去与他对战的Nix就将他打出家门。Miles试图向警察求助，却失误打伤警察，试图向仍有好感的前女友Nova求救，持枪的他却被赶下车来。走投无路的Miles想要自尽，却被流浪汉拦了下来，在流浪汉的帮助下他换上衣服，来到公司，想要卸载Nix在他手机上安装的远程定位程序。霸凌Miles的老板出现，这次Miles鼓起勇气反抗老板，Nix很快追上来将老板爆头，在追逃的过程中Miles 发现Nix害怕火焰。 与此同时，Miles逃跑的全过程都在Skizm上直播，世界各地的观众都被Miles的命运牵动着看客之心。Nova报警，发现两名警察的态度十分消极，其中一名警察喜欢在桌面上摆放M&amp;M豆，警察监控Nova的手机，一旦Miles打进电话，警方就能确定Miles的位置。 Miles决定主动出击，他故意在废旧汽车处理厂打开手机定位，引诱Nix，恰好遇到两拨贩毒团伙交易，局势变得十分混乱，警方抓到Miles。在警车上Miles知道其中一名警察是Nix的父亲，他决定利用Miles当诱饵逮捕Nix，Nix儿时目睹Riktor烧死自己的母亲和弟弟，因而留下了心理阴影，成为犯罪分子。 这时另一名警察将Nix的父亲一枪爆头，并给Miles看Rictor劫持Nova的视频，警告Miles不要再想着报警，Skizm游戏还远未结束。Miles与Nix见面，被Nix射杀。Riktor利用无人机目睹一切，派人去将Miles的尸体运回总部。Miles却并没有死，原来他早与Nix合伙演了一出戏，利用Nix父亲的防弹衣假装自己死亡，找到Skizm总部。 Miles与Nix疯狂射击敌人，枪里的子弹迅速减少。Miles发现Skizm已经是世界性的组织，并将直接各地分部地址发送到自己的邮箱里。在搏斗中Nix被肌肉男削掉两根手指。Riktor趁乱胁迫Nova与他上屋顶乘直升机逃跑。Nix为了掩护Miles，在大爆炸中与敌人同归于尽，在这一刻她战胜了内心的恐惧。Miles看到Nova机智留下的记号，追到了房顶。仅剩的一颗子弹打歪后，Miles被Rictor打中很多枪，然而他还是仅凭双手打败了Riktor，把Nix的手指塞进Riktor嘴里并将Riktor从楼顶扔下。 Nova重拾漫画家梦想，创作了以Miles为原型的超级英雄；Miles则发现了自己的志向所在，他决定奔赴世界各地，彻底铲除罪恶的Skizm组织。 二、点评 本片作为一部富有游戏视角的B级片已经很有趣味，从Nix枪枪爆头、血浆四射开始，就奠定了本片热闹的氛围。 故事类型可以被归为《救猫咪》里的“麻烦家伙型”（即一个平凡人突然被置于极为不平凡的情境中，他要如何应对）。 Miles（Daniel Radcliffe饰演）是一个现实生活中懦弱、虚拟世界伸张正义的键盘侠，有一个仍然在意的前女友和美国高中橄榄球四分卫一样强壮而愚蠢的上司。颓废到极点的开端，连喝啤酒都懒得坐起来、穿长睡衣和棉鞋的死宅，突然两手被钉了手枪，他的成长和冒险之路就此开始。 手上钉着手枪是颇有隐喻性的设定，这象征着Miles将不得不将他的攻击性暴露在外，生活将因此改变，第一个看到他的手枪的是警察，逃离并失误射击警察的段落经不起推敲，但适合成为Miles偏离正常生活的导火索，这标志着他无法再保持没有犯罪记录的打工人身份。第二个看到他手枪的是前女友Nova，通过Miles的梦境我们知道Nova有漫画家的梦想但同样被困于工作。Nova看到Miles的手枪时第一反应是用辣椒喷雾攻击并报警，让我们看到了即便在曾经最亲密的人面前，人一旦暴露出不为社会所认同的冲动和攻击性，也将无处容身。Miles在旧衣回收箱想要自杀而被流浪汉阻拦，那是他放弃自己旧有身份的开端，他脱掉了温馨而颓废的死宅衣服，穿上了精干的杀手服装，并且吃了流浪汉的香肠。流浪汉形象类似《阿甘正传》里的老战友，颓废的同时显露出非凡智慧。Miles在流浪汉那里得到了最无私的帮助，这标志着他放弃了作为办公室员工的精致生活，为了生存而战斗。 全副武装的Miles重回办公室，遇到了运动员上司，他掏出手枪，不再压抑怒火，真正地成为了一个男人，通过他愤怒的叙述我们得知老板为他参加母亲的葬礼而扣他的工资，这使Miles的反抗更正义，然而他还有退缩的冲动，这时Nix爆了老板的头。 Miles的敌人很坏，不仅是神经质的Riktor，更有作为背景和隐喻的Skizm系统。我们从一开始就知道Nix与他实际上同病相怜，都是被系统异化而无法逃脱的个体。Skizm系统使所有人都变为工具，将所有人固定在自己的视角，对其他人的痛苦视而不见。频繁出现的三拨观众，网吧青少年、更衣间男人、酒吧众生，相比伊坂幸太郎《金色梦乡》中的路人，本片的路人对直播更加热血沸腾，因而也更加冷血，电影越来越多地描绘看客形象，让人不由得感叹鲁迅真是洞彻人性啊。 Riktor打电话预约直升机座位那一段恰到好处的尴尬感就像创作者在为自己开脱：这就是个故事，不要太严肃。所以当他带着Nova上楼并射杀叛徒警察时，我已经猜到了剧情走向并不再感到一丝紧张。Nix从一开始就是作为工具人的火爆辣妹，当她的催化剂使命完成后，她就可以灿烂下线了，她与肌肉男的一番打斗好像《Lucy》，削掉手指的部分看得人血脉贲张。 本片告诉我们，不再压抑的攻击性可能会搞没我们的工作，也可能使我们成为英雄。,3.0,,0
8,8,27042748,腰间持枪,a9598b60e49c4ec1013c140cf73acc95,f25e02d517198bb78401e1a1a24e1c2e,4.0,2020-08-10 20:55:25,看哈利波特网上一顿喷，赶紧记下来，以后谁怼我就拿这些词儿怼回去，那个爽啊…… 然后被喷的上门了，手钉上枪去和女杀手打吧……爽啊……要是喷我的我也能上门这么伺候就好了，不过不钉枪，钉啥呢……钉两二锅头瓶子好了，你不爽就喝吧…… 喝死你算了……  可是 nova既然演过武打片，怎么不能拔出大刀片子乱砍 不过哈利波特一路接这种片儿，也不知道将来如何了，不是大成就是大衰吧,1.0,,0
9,9,27042748,腰间持枪,993ef3ea26db4d0be571feac5cf9c5d3,30ecce33b98b23533d96e8b19efe64c9,3.0,2020-07-29 23:36:13,非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。非常的一般般般般般。。。。。,,10.0,0
