,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27063867,逗爱熊仁镇,72b0e8315105742e402a1600c78096b0,33267ed4a27fc56305bcd39aaf3ebf2c,,2019-09-25 12:22:55,在没看这部电影之前，光看电影在豆瓣的评论就着实让我期待了一把。清一色的好评，几乎让我完全相信了这部电影会是一部低开高走的佳作，然而事实却是这部电影真的真的让我很煎熬。 几乎可以在快手上半个小时视频解决完事的故事，整整尬演了两个多小时。     爱情喜剧片曾经是国产电影做的比较成功的一个类型电影，好的例子比如《非诚勿扰》系列、《北京遇上西雅图》系列等等，但是国产电影存在一个弊病，那就是在一两部经典佳作之后，往往跟上的是一大堆粗制滥造的仿制品。 在后续一系列不走心的同类型电影、同故事电影上映之后，很快爱情喜剧电影几乎成为了国产电影的又一个票房毒瘤。     时隔数年之后的这个暑期档，曾经能够霸占整个档期的爱情类型电影几乎绝迹，一波港产犯罪类型电影对兄弟情的反复演绎，成为了暑期档新的标识。 曾几何时风光无限的港片如今也沦落的只剩下一批老戏骨再苦苦支撑，可想而知未来的香港电影创作将会愈加举步维艰。 言归正传，摆在眼前的这部《逗爱熊仁镇》基本上是蹭了暑期档的尾巴，它号称以别具一格的故事剧情和演员的搭配为卖点，但却改变不了它作为圈钱作品的本质。 原本以为绝迹已久的爱情喜剧电影能够凭借这部电影重见天日，然而谁又能想到这部电影，简直就像是专门为那些热情高涨的观众开的一个小小的玩笑。 当然，影片也不是一无是处，至少让我得以重新认识了朱亚文这个演员。     对于朱亚文，在《逗爱熊仁镇》以前，相信许多喜欢看电视剧的朋友们一定不陌生。 在《闯关东》里，他是那个最具有反叛精神的角色朱传武。电视剧中，他最终成为了戎马一生的铁血军人，壮烈的死去。朱亚文在《闯关东》中的成功很难说究竟是朱传武这个角色成就了他，还是他成就了朱传武。反正自《闯关东》一战成名以后，朱亚文的演艺生涯就与之密不可分。     在这之后，朱亚文又先后主演了多部口碑大剧，他出色的演技和细微的描摹让无数观众为之折服。 无论是《正阳门下》中那个在时代浪潮之中艰苦创业的北京爷们韩春明，还是《红高粱》里那个将九儿扑倒在高粱地里的野性糙汉，都让观众在许久之后依旧能够为之津津乐道。     这些极具男子汉气魄，非常爷们的影视形象使得观众们对于朱亚文的认识一直停留在硬汉与爷们之上。 但事实上，朱亚文的颜值丝毫不逊色于如今那些火遍大江南北的小鲜肉。这一点从这部《逗爱熊仁镇》中就可以一窥一二。在此之前估计没有几个观众能够想到曾经的硬汉朱亚文也能诠释这种带有小鲜肉清新的银行小职员形象。明明可以靠颜值吃饭，却偏偏要自毁形象用实力来说话的朱亚文这一次算是为自己正名了。     制作翻拍电影可以说是所有电影制作类型中，风险较小的一种。一部优秀或者大卖的电影佳作往往会在时隔多年以后不断被电影公司拎出来进行翻拍制作。 翻拍中既有对本国的电影翻拍，同样也有对别国电影的回炉重造。前者比较突出的莫过于去年那部由Lady Gaga主演的《一个明星的诞生》，而后者比较有名的应该是多年以前由马丁•斯科塞斯执导的翻拍自香港经典犯罪类型电影《无间道》系列的《无间道风云》。 虽然制作翻拍电影的风险较小，但是如果把握不好同样会造成血本无归的结局。比如前年那部斥巨资翻拍的《宾虚》最后票房和口碑双双滑铁卢。     《逗爱熊仁镇》乍一看电影名字，似乎显得十分没头没脑，实际上这部电影是翻拍自泰国的经典爱情电影佳作《争钱斗爱ATM》（实际上也算不上什么电影佳作，只是由于电影很好的融合了泰国本土文化，并加上了具有时代气息的创新点，才使得这部电影原版在泰国上映仅仅14天就创造了泰国影史上的票房奇迹）。     原版电影当年在泰国所取得的成功，使得今天这部翻拍版《逗爱熊仁镇》的诞生变得十分合情合理。 我们可以想象，如果《逗爱熊仁镇》也能发挥原版对社会环境、文化背景以及职场生活的巧妙融合，那么电影也一样能够取得成功和突破。可事实却是大相径庭。电影在故事构架和人物关系上基本是沿用了原版电影，甚至可以说是照搬照抄。     唯一的创新在于故事发生地上，原版电影的发生地是真实存在的都市与乡村，使得电影即便搭配有很多喜剧元素，也依旧有一定的真实性。到了《逗爱熊仁镇》，故事的主要发生地变成了所谓的熊仁镇，这样做的目的居然仅仅只是为了，东拉西扯使得电影的主题内容与环保主题相挂钩。 从影片的拍摄手法和情节设计可以明显看出香港黄金时代无厘头喜剧电影的影子。 这一点主创团队在发布会上也做出过明确的说明，说电影存在很多对香港黄金时代喜剧电影的致敬元素。但是电影似乎没有搞清楚致敬与照搬照抄之间所存在的巨大差别，没有考虑到那些所谓的电影元素致敬是不是符合电影自身需要，就全部原封不动的拿了过来，使得它完全没有形成自身独到的特色，充满了廉价的混搭风格。     在故事上，许多在此前电影作品中出现过多次情节毫无更改的重新演绎几乎使得整个故事毫无悬念，甚至有看了半个小时基本就能猜出大结局的感觉。 唯一令人意外的是电影结尾对环保主题的靠拢，但是可惜的是廉价三毛特效所带来的狗熊搏斗，让这部电影很像是《熊出没》的真人大电影，丝毫没有达到电影剧情设计本身所想要带来的打动人心的效果。     在人物形象设计上，更是充满了一股杀马特与非主流色彩，无论是镶金牙、带着天堂鸟色彩假发的出租车司机，还是胸口上纹个小熊的无业爱情青年，又或者是一脸熊样的黑社会老大…… 这些带有独特色彩风格的人物形象让我极度怀疑是否走错了片场，这部自身定义为爱情喜剧电影的电影作品，更像是专门拍给小孩子看的国产幼稚动画的大电影。     最让人目不忍视的是电影中两处疯狂暗示性元素擦边球的情节，带着浓厚萝莉校园风格的女孩与痴情青年在学校教室的幽会，以及职场女上司穿着一身性感的黑色套装趴在酒店房间大床之上…… 充满小清新滤镜的慢镜头运用，几乎让坐在电影院中的我一度是否尴尬，这该不会是对岛国文化元素的活学活用吧？ 这种没有内涵，靠着低俗元素运用博眼球的电影情节出现在今日的国产电影之中，实在是令人汗颜。好好的讲一个有内涵的电影故事就这么困难吗？     原版电影中出现的大鳄鱼很好的吻合了电影轻喜剧的风格架构，到了《逗爱熊仁镇》之中却变成了拯救大狗熊的狗血情节。并不是说电影向着环保题材靠拢不好，而是电影的任何情节编排都应该符合电影自身的风格定位。 这部在前期带着浓厚童话色彩的喜剧电影，突然通过被关押的熊群扯出了环保主题，虽然的确有一定的现实感，却总感觉和电影的主体故事联系并不是那么的紧密。     最让人诟病的，应该是由于制作成本有限而导致电影中出场的群熊都带有浓浓的卡通质感，在动作和举止上显得十分僵硬。就算特效做不好也没关系，但是在熊的样貌上，就不能稍稍做一点变动吗？ 把熊的样貌做可爱些，使劣势变优势。作为熊仁镇神明一般存在的狗熊被表现的凶神恶煞的，丝毫没有一丝能够让人产生情感共鸣的内核。     影片另一个主要角色的女主角作为职场霸道总裁与男主之间的相爱相杀本来可以结合现实职场生活事例变得更加有趣，甚至是惊心动魄。 但是在影片简单、雷人、非主流的操作之下，女主角的出现变得令人生厌。她更像是一个反派角色出现在电影之中，没有表现出自己特有的，能够打动男主痴情的地方，只是一味的表现出自己吵闹和功利的一面。     作为曾经在《妖猫传》中饰演过杨贵妃的中法混血美女，电影本来可以让张榕容凭借自己独特的气质和美丽的脸庞尽情的用自己的理解去展现角色的魅力，但电影却偏偏要剑走偏锋的让她去以一种固有的套路思维驾驭这个角色，这一点实在是可惜。     总而言之，这部电影虽然目前在某些平台上好评不断（我也不知道这些人是怎么能够做到睁着眼睛说瞎话），但是根据影片的质量来看，可想而知电影上映之后，将会有怎样的票房结局。只希望这次在角色和演技上有所突破的朱亚文下次接戏的时候可长点心吧！   本文作者峥道，大家可微信搜索“迷影生活”或者保存下面图片，在微信扫码关注。迷影生活坚持做深度内容，喜欢影视剧、综艺、娱乐八卦的你可以关注下呦。,9.0,1.0,2
1,1,27063867,逗爱熊仁镇,182d02db8867144f0827663d6b9f5177,4439adb01d5bbd3503c13325a304cf3c,2.0,2020-10-04 21:58:49,"就这么一个电影，水平这么次，某个岛主的评论时间和评分，显然收钱了  张磊价值凑字数 在纷繁复杂的世界中，变化可能是唯一永恒的主题。我时常思考：究竟怎样才能在这样的世界中保持心灵的宁静？作为一名投资人，究竟怎样才能找到穿越周期和迷雾的指南针？作为一名创业者，究竟怎样才能持续不断地创造价值？
当这些问题交织在一起时，有一个非常清晰的答案闪耀在那里，那就是“长期主义”——把时间和信念投入能够长期产生价值的事情中，尽力学习最有效率的思维方式 在纷繁复杂的世界中，变化可能是唯一永恒的主题。我时常思考：究竟怎样才能在这样的世界中保持心灵的宁静？作为一名投资人，究竟怎样才能找到穿越周期和迷雾的指南针？作为一名创业者，究竟怎样才能持续不断地创造价值？
当这些问题交织在一起时，有一个非常清晰的答案闪耀在那里，那就是“长期主义”——把时间和信念投入能够长期产生价值的事情中，尽力学习最有效率的思维方式",3.0,,1
2,2,27063867,逗爱熊仁镇,e8ee7354486bb96baf0b0848928084b9,adc56bbf61f1a7ef0fa8885b9bb166a5,3.0,2019-09-29 11:14:32,本来不抱期待，但出乎意料的搞笑哈哈哈，还带点中二气息，中二得来也不会令人反感，笑点挺多的，轻松愉悦，粤语除了第一句有一丢丢违和后面还挺接地气的，男女主都养眼，配角都演的不错，可以一看 。反正爆米花片，不必太过较真，抱着放松的心情来看即可，你会有惊喜的哈哈哈。朱亚文本来是变态杀手的形象，没想到拍喜剧可以这么搞笑,2.0,1.0,0
3,3,27063867,逗爱熊仁镇,db1d4338318d1b2f6955ce21b020153a,b4733f54e9b82686d97757d34e7d3f6c,4.0,2019-09-26 14:07:37,"我发现现在的人就是爱随波逐流还爱跟风，瞎起哄，说是烂片，明明就很好看。  看到结尾会发现有很大的教育意义，我不明白现在对好片烂片的定义是什么，相反我觉得这种抛弃了主流电影的制作和高水准。更能让人接受。起码不死板，让人觉得很舒服。  也许你会说不像院线电影，像网剧。但是你不觉得这种剧情更能放飞自我吗？看了那么多认认真真的电影，偶尔看下这种不按套路出牌的沙雕片不是很快乐吗？看电影的宗旨是什么？快乐就完事了，你管它剧情干什么？演员选的也不错，尤其是王小利（刘能）的儿子，太逗了。  而且这片子我严重怀疑它是调侃当代年轻人的恋爱观。但我没得证据（偷笑）刚开始我想给八分的。当我看到最后，背景音乐《往后余生》出来的时候，觉得更值九分。  你若爱，生活哪里都可爱;你若恨，生活哪里都可恨;你若感恩,处处可感恩;你若成长,事事可成长。不是世界选择了你，是你选择了这个世界。既然无处可躲,不如傻乐;既然无处可逃，不如喜悅;既然没有净土，不如静心 ，既然没有如愿,.不如释然…  为了遇见你，多久都可以。希望往后余生，和你一起慢慢吃饭，慢慢喝茶，慢慢散步，慢慢说话，慢慢变老。往后余生，和你一起策马走天涯，看遍世间繁华。往后余生，风雪是你，平淡是你，清贫是你，荣华是你，心底温柔是你，目光所致也是你!往后余生愿你成为自己心中的太阳，无需凭借谁的光。  结尾:为什么不给十分，因为毕竟电影还有许多不完美的地方，而并非十全十美，给九分也是因为它的搞笑和无厘头的沙雕剧情吸引了我，最后的背景音乐有加分。总提来说还不错，算是欠了朱亚文一张电影票吧。郁可唯不愧是主题曲女王，大赞",,1.0,0
4,4,27063867,逗爱熊仁镇,73911ac07403416cb71e13e1113225c8,e64671330409832b6ddaf4f6a638ff0b,2.0,2019-09-23 15:38:05,看到是朱亚文的喜剧电影有点好奇就想去看看，毕竟对朱亚文还是挺有好感的，虽然他在剧中的角色不怎么讨喜，但剧中其他角色都不怎么正常，显得朱亚文表现也没那么糟了。一部不需要怎么动脑的架空故事，杂糅了不同年代的笑点，看着总有种穿越感（因为实在不确定这到底是个什么世界），演技什么的就不评价了，毕竟也不是为了演技去看的，上班忙碌了一天下班后放空大脑笑一笑也是可以的。,2.0,,0
5,5,27063867,逗爱熊仁镇,bc18da6c12b28f94cc737e4780214810,70d83a0bb9fef853f007f71aa6cb1fd9,3.0,2019-09-23 14:10:30,"公司禁止员工谈恋爱怎么办？那是不可能的。  随着经济的发展，我国社会逐渐步入竞争激烈的商业时代。企业为了提高员工工作效率，最大限度地获得利益，制定了很多苛刻的规则，比如，以前同企业员工可以自由谈恋爱，现在却被很多公司所禁止。这种转变也给喜剧片提供了不错的素材，《逗爱熊仁镇》便是这样的电影。
     【《逗爱熊仁镇》海报】
 这部电影改编自泰国喜剧片——《争钱斗爱ATM》，两者的剧情内容基本相似，都是有关年轻一代在生活压力下的“办公室恋情”危机。不同的是，泰国电影的故事没有仅仅局限于公司内部的冲突，而是着重于生活的选择。     【《争钱斗爱ATM》海报】
 两部电影讲的都是两位在银行供职的小情侣碍于公司的同单位员工不得谈恋爱的规定，不得已一直处于地下恋情阶段，深深相爱的两人决心步入婚姻的殿堂，但也意味着他们中的一方必须主动放弃稳定而又高薪的职位，为了这个问题，两人几度争执不下。
 就在这个节骨眼上，一台自助取款机由于故障而令银行损失了巨额财产，两人将此当做一个千载难逢的好机会，他们约定，谁能够先追回这笔巨款，另一方就要主动辞职。
     【《逗爱熊仁镇》剧照】 剧情虽然看似狗血，但实则是不少公司内部的现状，恋爱本是刚需，但公司面对能产出利润的员工时，恋爱从基本需要变成了影响工作效率的重要元素，并且恋爱之后的成本极高，不可避免存在两人之间抱团影响内部关系，发展到结婚又有请假、带孩子一系列耽误工作时间的情况，对于公司的利益来说，这些都是损失，排除恋爱影响似乎是公司谋求在激烈竞争当中的不得以。
     【《逗爱熊仁镇》剧照】
 不过，回望之前，我们的父母辈似乎很少存在进入体制内不能谈恋爱的情况，那时候工厂内部有人结婚，厂内不仅分房，还分班组送彩礼，大家一起吃酒席，所以，厂内关系都不错。 对于恋爱结婚影响工厂效益这事，领导会对工人进行一定的敲打，但真到了修成正果的时候却也十分支持。那时候还有“正确恋爱，为厂子排忧解难”这样的口号，或许，那时候的工厂价值观是工人的基本诉求得到了满足，才会有干劲投入到工作中去。     【以前工厂允许自由恋爱】
 所以，对比前后来说，并不是年轻人和父母辈时候的恋爱观发生了变化，而是我们周围的环境对恋爱的条件越来越紧，要求越来越高。以前容许恋爱是建立在非市场经济的宽松环境下的，企业基本是国有，竞争不激烈，工人的生活是有保障的，不需要为了工作而降低自己的诉求。但之后的生活慢慢变得开放，竞争越来越激烈，爱情的附属价值在众人饭碗面前的分量似乎要被忽略了。 当然，不允许员工谈恋爱这种规定是不合理的，甚至违反婚烟法关于婚恋自由的规定，这是喜剧片映射的无力感。 来看看这部电影的导演查慕春，其实更容易理解为什么这部电影在搞笑之后透露着种种的无奈。
     【查慕春导演】
 查慕春曾担任《一出好戏》和《即日启程》的编剧，他最擅长的就是描述主人公窘迫的困境表现。小人物对于周遭环境变化的无奈，落魄中巧遇的种种事情，都通过喜剧的风格隐藏于底，于是《逗爱熊仁镇》也继承了这样的手法，只是看上去更加轻松活泼，是个成年人的童话。 演员朱亚文也摆脱了硬汉形象去尝试这种喜剧风格，对于这部电影来说，他个人的表演是过关的，基本上没有带着自身过去的经验，大胆放开演了一把轻松的喜剧。     【朱亚文打破固有印象，出演搞笑喜剧】
 综合来看，《逗爱熊仁镇》走的路线是传统的动作向喜剧，与近年“开心麻花”引导的话剧式喜剧不太一样，并且选择一部国外卖座的电影故事加以中国化，为的还是保障票房。从原版的“斗爱”到自己的“逗爱”，我们的版本更加轻松，不过也没有丢掉喜剧反应现实的内核，基本使得这部片子处于及格线之上。 影片的结尾也足够暖心，男女主二人同时离开职位，勇敢地给前上司送结婚请帖，这也使得其它依旧处于压抑的办公室恋情的同事获得了释放，包括上司也承认了自己的办公室恋情，使童话的氛围更加浓厚。
     【《逗爱熊仁镇》结局暖心】
 电影映照现实，带给我们反思：在被商业欲望裹挟的城市，我们应否为了经济利益而压制自身的情感？ 通过影片我们看到熊仁镇的居民们虽然被商业社会的欲望、贪婪的所蒙蔽，但本质上依然保持着纯朴、与善良，并在斗争中不断找回真正的自己。 商业是冰冷的，但人类的情感却是温暖的。在任何诱惑下，都不要放弃善良与爱，我想是电影带给我们最深刻的启迪。",,1.0,0
6,6,27063867,逗爱熊仁镇,c1b7dc6620e0e27ca3aa60a48dff2ba4,6ac6fe661fd3fd6cb340da64852903dd,,2019-09-13 22:46:21,"目前由朱亚文主演的电影《逗爱熊仁镇》，在豆瓣的评分已超过屡上热搜的《小小的愿望》，两部影片虽然类型不同，但《逗爱熊仁镇》能略胜一筹，很重要一点就是，情感上它更能引发观众的共鸣。       
 《逗爱熊仁镇》里朱亚文饰演的何必和女上司蒙小鲜是一对银行办公室情侣，但是公司规定不允许办公室恋情，两人为了能在一起，只能有一人辞职，而辞职的人必须继承小鲜家的鱼店，可是两人都对鱼店很排斥。    
 正好赶上熊仁镇的ATM取款机出现翻倍吐钱的故障，追回多取走钱的重任，就落在了何必身上，若他按规定完成任务，就算赢了，输了的人回家卖鱼去。 为了阻止何必成功，两人先后来到熊仁镇开启了一场追钱大战。 何必本来觉得容易，一天能有多少人取钱，找到他们轻而易举，可打出名单后，才发现单子有几米长，为了不回去卖鱼，他只能硬着头皮，挨个找了。 为什么那天会有这么多人取钱呢？因为镇上很多人知道取款机翻倍吐钱后，都争前恐后的前去取款。 有人还戴着面具，本以为别人不知道，可没想到银行都有记录。面对从天而降的馅饼，很多人惊喜不已。 人类的欲望是可怕的。在知道何必前去调查此事件后，出租车司机大金牙，想过烧了他的名单，可惜没成功，后来又急忙借口车坏了，让何必下去推车而把何必抛下。 大金牙很心虚，于是他告诉了他的把兄弟胡灿烂，当初就是胡灿烂告诉他取款机多吐钱的事。    
 两人为了阻止何必找到自己，居然想到了杀人灭口，可终究还是没胆量。 开游戏机店的老板，知道何必身份后也总是躲避何必。 何必追回钱的过程并不顺利。    
 但镇上还有一个善良的姑娘小熊，在得知何必的来意后，她主动帮助何必，带他找到自己的父亲——游戏机店店主，还抓住了自己的男友——胡灿烂。 事情出现转折就是因为小熊。 何必和小鲜找最后一个当事人程以三时，来到了程以三的住处。小熊不放心何必所以跟着去了，而胡灿烂不放心小熊也跟着去了。 程以三所在的原来是一个地下工厂，专门捕杀熊仁镇的熊，并制作一系列熊制品。 何必一行人发现了这个秘密后，程以三团伙想灭口，于是有了一场厮杀。 在危险面前，何必不顾自己护着小鲜，胡灿烂护着小熊，而大金牙也挺身而出，和他们拼死一战。 结果当然是他们胜利了，程以三在被抓后，主动交出了多拿的100元钱。 大金牙用多取的钱镶了颗金牙，胡灿烂买了摩托车，他们最后被感动了，承诺要退回多拿的钱。 小鲜被大家感动了，说会自己掏腰包补上丢失的钱。 面对金钱的诱惑，小镇上的人从窃喜、侥幸，到主动交出，虽然有过挣扎，但还是跟自己妥协了，所以何必太刻意呢，我们本就善良。 小鲜和何必，从开始的相互阻止，到一起共同把钱追回，最后被彼此感动。 小鲜从小拼命学习，努力奋斗，从大学到公司，就是为了离开那个有腥味的家。可是也正是那个让她想逃离的家帮助她，让卖鱼的人佩服，顺利帮她追回了卖肉人多取的钱。 小鲜和何必共同经历过生死后，一切变得不重要了，他们得到了自己想要的那份幸福，所以他们都辞职一起回家卖鱼了。    
 小鲜一直刻意逃离的家，反而在关键时刻帮助了她。 曾经的办公室恋情，就像一个牢笼，虽然喜欢对方，但是还是无法放弃自己的原则，当看到了彼此的心后，又可以冲破牢笼。 他们手牵着手走进上司办公室时，脸上是幸福的笑容，谁都不可以阻挡，而把请帖送给上司时，是自豪和骄傲，是啊，他们是勇敢的。    
 其它人受他们感染，也不在藏着了，于是出现了办公室沸腾的一幕，就像高考完的学生，终于如释负重一样兴奋，那些有地下恋情的职员们，欢呼雀跃，他们终于可以光明正大的撒狗粮了。 最令人惊讶的是，那个反对办公室恋情的上司，原来也是他们中的一员。 有时我们总会刻意让自己变成某种人，刻意去让自己适应某种环境，也没有错。 但有一天我们主动打破原来的思维，是因为我们都在成长，经历过一些事情后，知道了自己当下最需要的。 刻意与妥协之间并不矛盾，妥协是为了更遵从自己的内心，而刻意也是为了让自己更好。 影片《小小的愿望》，主要讲的是兄弟情，相比起办公室恋情、原生家庭的影响，它略显单薄了。 图片来源网络",,2.0,0
7,7,27063867,逗爱熊仁镇,48d916dcbb64faf43f7a94ebec47b5bc,3c505cf4293d8a9e37ed577484103853,3.0,2019-09-12 10:54:02,要说最近由“行走的荷尔蒙”朱亚文和“最美杨贵妃”张榕容主演《逗爱熊仁镇》电影正在如火如荼的上映。 而剧中朱亚文和张榕容两个人的办公室恋情，再次把办公室禁忌关系摆到了人们面前。     剧中同在一个银行的两个人，为了让对方离职回去继承家业，闹出了一段段啼笑皆非的事情。话说要是换成是我们的话，肯定立马把离职报告摆在老板桌上，双双回家把家业继承了。 不过说起办公室恋情，在绝大多数的公司约定俗成的规定中，貌似都是明令禁止的。毕竟同一个公司的不同岗位，起到的不仅是相辅相成的作用，同时也会起到相互监督的作用。 所以当不同岗位的两个人走到一起的时候，收益和风险自然就不言而喻了。     可办公室恋情就应该禁止吗？ 对于那些朝九晚五的上班族来说，他们周一到周五、从早到晚，面对的都是同样的人。让他们跳出这个圈子去谈恋爱，谈何容易。 所以在成为大龄剩男剩女的道路上，越来越多的人选择了窝边草，在办公室开始了禁忌 一般的恋爱。      那么这种办公室恋情就应该严厉打击吗？ 我觉得大可不必。 毕竟恋爱中的两个人所产生的工作效率是无穷尽的，再加上一个公司又不仅仅只有那么一两个岗位，把两个人的岗位调整一下也是可以的嘛！这样不仅成全了一对有情人，也培养了他们对公司的忠诚度。 所以针对办公室恋情该何去何从，我觉得顺其自然，毕竟感情这种事情谁也拦不住。 再说了，真的严厉打击导致员工离职的话，那可才真的会产生实质性的风险。试想，如果开除的是有客户资源的员工的话，对方带着客户资源去竞争对手的公司，那可真的是得不偿失呀！,,1.0,0
8,8,27063867,逗爱熊仁镇,c1b7dc6620e0e27ca3aa60a48dff2ba4,6ac6fe661fd3fd6cb340da64852903dd,,2019-09-10 22:28:28,"《逗爱熊仁镇》看到这部影片名字时的第一反应，是喜剧片，又因为里面有“熊”，紧接着就想到了小孩们爱看的熊出没，所以大多数人都会觉得这是个，可能适合小孩子们看的喜剧。 果然在看电影时，有两位妈妈带着孩子来的。 看完影片，发现其中的笑料还不少，而且笑点也不生硬，看完很轻松，之所以电影没热映可能和影片名字也有一定关系，不是特别吸引人。 影片讲述了朱亚文饰演的银行职员何必，和他的女上司蒙小鲜谈恋爱，可银行规定不允许办公室恋情，两人只能搞地下情。    
 蒙小鲜为了保住工作，想和他分手，何必又不愿意，为了两人能在一起，只能一个人辞职，辞职后就要被迫去继承小鲜家的鱼店，而两人都不愿意闻那腥味。 此时正好赶上熊仁镇ATM机出现翻倍吐钱的故障，小鲜故意把追回钱的这难事交给何必，并打赌若他能在规定时间内找回丢失的钱，他就赢，输的人自动辞职继承鱼店。 为了阻止何必找回钱，两人先后来到熊仁镇，开始一场争钱大战。 作为一部轻喜剧，影片还是很不错的，笑点不生硬，观众很能被带入情境。 影片一开始时，蒙小鲜就审问两个有地下情的职员，还拍到两人亲密照，而当事人却以“她嘴摔疼了，我给她吹吹”为借口，这估计是撇清办公室恋情的最高级理由了。 为了进一步证明两人是情侣关系，小鲜竟然扒开男方的衣服，哇，上面绣着女方的名字，同理，女方衣服里面也绣着男方的名字，证据确凿，两人被开除了，两人走时还手牵着手。 何必刚到熊仁镇，出师不利，一分钱没找回，还把车钥匙和手机，都掉下水道了，不得已只好叫出租车。 熊仁镇有一辆嗷嗷专车，司机大金牙就是那天，多拿银行钱众人中的一人，何必正好上了这辆车，司机看到何必拿的人名单里有自己，吓得满脸是汗，还解释说自己是“水瓶座”的。    
 为了不让何必发现他，先是趁何必睡觉时打算烧了他的名单，没成功后又借车子坏了，让何必推车，趁机一脚油门不见车影了。 小熊和胡灿烂在很浪漫的约会，小熊打算告诉他自己怀孕了，刚说了半句“孩子不是你的”，下句还没说胡灿烂就误会了，生气的就跑掉了，等小熊转过身来说“还能是谁的时”，胡灿烂已经跑走了，就这样两人有了误会。 小熊为何必讲述熊仁镇的历史，正好被胡灿烂看到，胡灿烂更加误会了，以为小熊肚子里的孩子是何必的，何必劝小熊给灿烂解释清楚，没想到小熊来了一句“谢谢成全我们”，这下灿烂绝望了，亲自给自己戴上绿帽子--西瓜皮。 何必从土里出来，来到澡堂时，碰到了那里的老大，人称“老窝囊”，是一秃顶，平时戴着假发，何必想趁机拍马屁，于是忿不平的说“大哥这么帅怎么能叫老窝囊呢？这谁起的真欠揍”，没想到大哥回答“我爸”，于是何必又被埋入土里了。却 何必又从土里出来，脏兮兮的来到小卖部，正偷打电话时，却被一个小孩当成了乞丐，扔给了他一个硬币，接着又把自己的雪糕给了何必。    
 何必打电话时，有个鸟飞过正好把鸟粪拉到了雪糕上，何必没看到。当他成功打完电话正吃雪糕时，小孩向他摇手，而何必却说拜拜，刚把雪糕咽下去，小孩说你吃屎了，何必恶心的呕吐起来。 何必和小鲜在都吃了为对方准备的睡觉兽药后，两人为了防止犯困，各种招都使出来了：把冰块放入胸中，打自己脸，拔腿毛，用头撞墙，拿叉子扎自己，结果还是都睡着了。 影片最高潮就是最后，何必和小鲜都辞职继承了鱼店，两人牵着手走进办公室，还给上司送上喜帖，于是银行里沸腾了。 终于不再隐瞒办公室恋情后，大家欢呼雀跃，令人吃惊的是办公室内原来有这么多对，而小鲜的上司也是。 一路看下来，时不时有笑点出现，后面的小朋友也乐得哈哈的。 若平时看惯了大片，时不时来点小清新的，也给人很放松的感觉，不必紧张的两手冒汗，不必担心主角接下来是否有危险，没有那些夸张的大场面，影片就是演了生活中的一些平凡的小人物，就像是在说自己身边人一样，他们离我们很近。    
 人都是有欲望的，但是“人在做熊在看”，何必勉强自己去接受本不该是自己的东西，我们本就是善良的。    
 图片来源网络",,1.0,0
9,9,27063867,逗爱熊仁镇,c84ed04a81a307fffabba18a87d5ffce,933874f8b3c1a6bf109e4e7b73f75568,3.0,2019-09-09 16:23:25,这是一篇迟来的影评。 感谢【盗梦观影团】的组织，提前观看了《逗爱熊仁镇》，看到这个名字，我跟影评很多人同样的反应，真是俗爆的名字，但这不妨碍男女主角的美颜。不得不说张榕容真是十分吸睛的美颜，朱亚文也是外型优秀，先不论剧情，光是看着帅哥美女也很养眼。这是我一开始看这部戏抱着的心态。 但张榕容的演技真令我惊喜，如果你看过《妖猫传》再看这部，从那个国色天香沉静又落寞的杨贵妃，到《逗爱熊仁镇》里雷厉风行大大咧咧的蒙小鲜，她总能十分恰当地展现人物特质。我一开始也以为朱亚文应该是文质彬彬或一身正气的样子，但戏中痞中带魅的样子却放得很开。真心地说，两位主演都十分不错，只是剧情有点老套，从一开始就是毫无悬念的圆满结局。 喜剧嘛，就应该是让人发笑的，让人带有遗憾收场叫什么喜剧。不明白影评中有的人在杠什么，戏中的梗不会让你尬笑，甚至我在观影后这几天，依然记得一些梗。-为什么你这么多汗？ -实不相瞒我是水瓶座的。这就是一部让你忙碌了一天下班后，放下脑子抱上爆谷，钻进电影院轻松笑两个钟的电影，你又何必期待他要道出什么人生大道理呢？况且，这是一部正能量满满的电影，教你勇于承认错误教你抱紧爱人教你保护动物，真的适合带上一家大小去看。 唯一令我十分不满的是，广州播映的竟然是粤语配音，我十分爱我的母语，但是看戏我还是喜欢原声。不然你看，朱亚文的低音炮就没法展现了。【摊手】,,1.0,0
