,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27066172,8号警报,54cf4bf216ff86c5d7d54c19cf639424,674ddae26ed102b90106f170410182cd,2.0,2019-12-16 22:39:47,"这篇影评可能有剧透 

                        从美剧《英雄》、《闪电侠》，到电影《X战警》、《超能失控》，再到《我的英雄学院》，这些超能力者的故事总会吸引我。这大概是因为超能力的天马行空满足了童心。起初，超能力总是与英雄身份绑定；到后来，一些反英雄的超能力者出现在银幕。但无论创作者如何处理超能力，我们都...

                         ( 展开 )",18.0,4.0,3
1,1,27066172,8号警报,3c18af53d350fde57881bb6a268b641b,d95200b7462824da8d5c86df1d944d7d,,2020-06-22 06:59:19,"这篇影评可能有剧透 

                        我估计大多数人对本片的看法是一致的，这本来就是一个披着科幻皮的警匪片，而且在此基础上不论是严谨性与观赏性都十分平庸，算不上烂但也绝不算好。但笔者写这篇影评时，正巧弗洛伊德的死亡引发的骚乱在米国不断升级，不由得让人对本片有不同的思考。 现在我甚至觉得这就是一个...

                         ( 展开 )",4.0,,2
2,2,27066172,8号警报,7a8b4a357ebbc1c17ec4ed38b50147ca,a778e68e73225a87bcb55a65b3510343,5.0,2020-04-14 10:58:58,"这篇影评可能有剧透 

                        这部电影评分并不高，和众多烂片一样，但实际上烂片并不一定深度低，文艺片也不一定深度高，和众多美式科幻烂片类似，在兼顾商业性的同时，加杂了自己的干货。 我们来看剧情，超能力者出现后，没有成为人中骄子，而是成为了一个个特种工人，凭借自己的超能力干普通人成倍的工作...

                         ( 展开 )",7.0,1.0,1
3,3,27066172,8号警报,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-08-21 20:41:15,"能力高开眼界低走——《8号警报》 今天聊聊电影《8号警报》。 片名Code 8 (2019)，别名8级警戒(台) / 八方急援 / 代号8。 本片根据2016年的一部短片《代号8》（Code8）改编而来，导演编剧都是杰夫·陈 Jeff Chan。长片《8号警报》将一部10分钟短片拉长到一部常规电影的长度，讲...

                         ( 展开 )",,,1
4,4,27066172,8号警报,089cdbd0369db19d61cfe25711711a84,a085b982c45a96d05b34383db6ca3313,,2020-02-26 11:27:43,"这篇影评可能有剧透 

                        有点炒旧饭的影片，X战警系列炒火了变种人和特异功能者，这部影片继续将变种人规模扩大到平民范畴。 因为自动化替代人工，很多变种人失去工作，靠吸毒缓解生活的苦闷，因缺乏经济收入而导致各种形式的犯罪。男主就是遭受生活危机的变种人一员。为了有足够的钱救治患重病的母亲...

                         ( 展开 )",,,0
5,5,27066172,8号警报,b68d9efc474847d3d0fe193a6a141729,f63edb5e63af3cbdf85a64696e7f72f2,,2020-01-11 15:52:20,"这篇影评可能有剧透 

                        孩子不听话，当妈的很头疼啊。男主第一次和老板加勒特在车上谈话，说他爹是怎么没的那会儿，以及男主母亲反复教导他，并且点给他是如此像他的父亲之时，男主就不知道有个词叫三省吾身？就不知道有个词叫重蹈覆(父)辙？😂   所以结合我们自己的经历，这个故事教育我们，道理我...

                         ( 展开 )",1.0,,0
6,6,27066172,8号警报,a4bcd395dd13f44bc96cfc01458bd659,a8105204604a0b11e916f3879aae3b0b,3.0,2019-12-17 00:22:46,"“绿箭侠”堂兄弟斯蒂芬·阿梅尔与罗比·阿梅尔要合作科幻电影，斯蒂芬在社交媒体上发布了《代号8》（暂译，Code 8）的预告前瞻。两人都曾出演CW热剧，虽然《绿箭侠》《闪电侠》《明日传奇》均有交叉，但弟弟罗比·阿梅尔并没有太多表现机会（他曾在《闪电侠》中饰演Ronnie Ray...

                         ( 展开 )",,1.0,0
7,7,27066172,8号警报,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2.0,2019-12-28 22:21:27,"这篇影评可能有剧透 

                        2019年，科幻剧情犯罪电影《8号警报 | Code 8》 这张预告海报还是不错的，很有感觉。 据说是短片重做，可惜把短片的缺点放大了，故事并没有扩展好，变种人的概念虽然大家都喜欢，但是确实都是老生常谈了，矛盾冲突并不那么尖锐，反而硬科技+变种人混合在一起，人类方还在一直拯...

                         ( 展开 )",,1.0,0
8,8,27066172,8号警报,862c379c0f6faea07bfda229a58e08f2,7167bdad9038c4b38a934ba7070bd534,2.0,2019-12-27 19:12:21,"既然人类社会害怕变种人，那就像X战警那样，注册管理或者强征入伍或者集中管理，这些都能理解。像影片里这样，不给工作不给钱处处排挤说杀就杀，这不是逼着变种人造反吗？男主干的也是黑吃黑的勾当，没什么正义可言。演技也都一般般，没有亮眼之处。 以下凑字。既然人类社会害...

                         ( 展开 )",1.0,3.0,1
9,9,27066172,8号警报,9c93c00bc41414f384faa42f46dd4f9d,ea3b45d0b903b1b87f2ece75ac911d49,,2019-12-19 10:21:09,"这篇影评可能有剧透 

                        影片着实比较烂，如果是奔着科幻去看，还不如支持国产了。 剧情拖沓，就是个抢劫银行一夜暴富的事，非要嫁接科幻上。这帮所谓异人就是专业技能强点呗，男主角可以理解为是个八级电工。只不过一开始以为自己是天桥的把事，没想到后来不用考证也能去大公司了。 特效一般，六毛特...

                         ( 展开 )",3.0,8.0,1
