,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27066196,找到你了,6e0719890f82ad48106ef68a53add76b,e5f0c522a5287f4212e41b116c26601d,4.0,2020-07-08 22:02:53,1、开始的男孩飞起来，是有可能的，后来黑人警察发现一段很细的钢丝绳，如果骑车速度比较快，突然遇到前面钢丝，上半身就会被挂起来，而自行车继续前行，这个需要事先精确计算好位置才行。 2、进入男主家是蛙居男事先计划好的还是偶遇，个人认为还是偶遇可能性大，如果事先计划好的，应该有所准备，而且不应该带蛙居女去才对，自己实施各种报复破坏更随心。男主家里其中一个照片丢失说明蛙居男起先还不很确定，故意拿走了一张照片做仔细辨认。 3、蛙居男多次到屋顶外面抽烟和独处，想必内心无比挣扎，想起小时候被虐待，想是否去杀了男主，但最后还是没有下狠心，而是选择了恶作剧来报复。蛙居女期间也多次发现他的异常，并催促尽快离开。最后看到蛙居女被杀后，蛙居男才决定要杀了男主。 4、蛙居男想让男主的儿子也受点折磨，但又不忍心下重手，只是用睡眠药迷晕了捆绑到浴室，可能也想看看男主看到自己的儿子被捆绑后的反应。男主后来看到了旁边的绿色小刀，应该知道了家里来报复他的人了。 5、15年前作案后幸存的另外一个男孩，面部被毁容，具体情节不知，但已经有另外一个替罪羊坐牢去了。这么长时间没有再去作案，不符合变态狂的行为啊。男主也担心去了被认出所以不想去，后被黑人女上司强令过去，到了屋外，也远远的观察而不敢靠近，但后来还是被认出了，毁容男看到了男主就是以前虐待自己的人，惊恐不已，但只会狂叫，显然受的精神刺激太大。 6、男主棒杀女主情人后，裹尸、运到荒郊野外、挖坑、填埋，手法熟练。说明做过很多次了。 7、女主曾经在儿子房间床下看到了戴面具的蛙居男，似乎想去动一下，但期间母子关系不佳，最后选择了不动儿子的东西免得又出矛盾，错过了一次发现蛙居男的机会。 8、女主家电视莫名其妙打开而且关了又开，其实是蛙居男故意想让女主看到新闻里面又发生了类似的案件。,24.0,,6
1,1,27066196,找到你了,afb718ea6f1e49a74d6f0c5919c11da8,2cff03e4b9eb85b3bf5e924ccdc1348d,4.0,2020-03-19 22:19:33,最近好忙，编一个作业上交编不出来。是的，你以为你毕业了就不用交作业了吗。一辈子都有功课，一辈子都需要想破脑袋，蒙受压力好不容易交了一个，然后又惴惴不安等着不远处的下一个。 干脆停下来写个电影好了，前面的那段就当开场白。 《找到你了》 这个题目棒不棒？跟着我读一遍，是不是有一种如释重负的感觉？我现在就好需要这种感觉。 会去看这部电影，完全是冲着它“恐怖片”的分类去看的。真的，不要抗拒恐怖片，因为当你看着电影里的鬼在蹂躏他人，而你完全置身事外的时候，你会产生另一种治愈感。 就好比，别人要考试，你不用；别人有一堆作业要交，而你不用。 这部电影的前半段非常优秀。 俯瞰的镜头下，一个美国小镇：树木郁郁葱葱，房子五颜六色，河水潺潺，阳光明媚。小广场上都是人，小朋友们在冰淇淋车前排着队，岁月静好。 一个小男孩从广场上骑着自行车行驶到小树林里，暖暖的阳光透过树缝洒下来，铺着落叶的松软泥土上小车轮骨碌碌得转。 忽然，车轮不知道被什么强大的力量阻挡，小车骤停，而车上的男孩向后方腾空飞起。就像，有一只看不见的手抓走了他。 男孩失踪，小镇惶惶。 接下去，俯视的镜头来到了一户房子里。 美国的那种大房子，大家懂的：两三层楼的小洋房，有个地下室，还带个小阁楼，外面再加个小草坪。 三口之家，空间确实太大，容易出点啥古灵精怪的。 而且三个人的感情还不好： 老妈是心理医生，有了婚外情，但貌似正在忏悔。 老爸是神勇干探，知道了伴侣的婚外情，并为之愤怒。 儿子是叛逆少年，不知怎么就知道了母亲的失误和父亲的委屈，所以也很生母亲的气。 三个人之间有心结，房子就更加显得空空荡荡。 那些房子各处的空镜头，再配上那种压迫人心的音乐，有一种莫名的诡异和窒息感。就好像，就好像我现在的状态，想交作业却写不出来。就好像，天空乌云滚滚，暴雨将临，可你马上就得出门。 有不好的事将要发生，此刻是爆破前的寂静。 客厅的电视机会被突然打开，播放小男孩失踪的报道。也许是电视机坏了吧。 楼梯上的家庭照不知怎的就少了一张。也许是被三人之中的谁取下来了吧。 女主人的杯子不见了，被发现在屋背上，里面还有燃尽的香烟。也许是儿子学会抽烟了。 厨房里的刀叉不翼而飞了。也许是被来家里修窗户的工人偷走了吧。 工人说在家里遇到一个很亲切的少女。也许是他在说谎吧。 男主人被推进了大衣柜里锁了起来。也许是叛逆的儿子干的吧。 男主人晚上睡着之后，被子会慢慢向下移动。也许是他做梦吧。 女主人婚外情的男人找上门来，却被上空抛下的杯子砸伤头部。肯定是愤怒的儿子干的。 …… 明明是最亲的亲人，明明住在一起，却互不沟通。 电影的英文原名是“I see you”，“see”有“看见”和“懂得”的意思，可他们彼此之间看不见也不理解。电影的前半段，设定好棒。人与人之间的误解、埋怨，能够造就恐怖。 ————————————————此处剧透线—————————————————— 然而，接下去，电影开始自己破梗，显然导演并不想走心理恐怖路线。 之前的种种疑点，都是有人刻意为之。 《寄生虫》和《空房间》的类似桥段上演。一个年轻女孩，一直过着冒险生活。她会悄无声息地住到别人家里，与主人共存。 这次，她还带着偶然认识的一个年轻男孩。 他们住到房子的阁楼上。白天，在全家人出门后，他们就把房子当作自己的家一样舒舒服服地住着。到了晚上，主人回归，他们就藏起来。 本来，也算互不干扰。 可是年轻男孩似乎喜欢冒险挑战，他在房子里到处走动。他戴上一个恐怖娃娃的头套，像一个活幽灵。 此时，电影的恐怖感似乎要从“鬼怪向”转到“变态向”。 别忘了开头那个失踪的小男孩，警察发现了小树林里的细钢丝，是钢丝让自行车突然刹住，所以上头的人才会飞起。 警察发现了一把绿色小刀，于是将这起失踪案与一直以来的绑架案和凶杀案联系了起来。可是之前的连环杀手已经被关在监狱服刑了呀，难道是模仿犯罪吗？ 他们为此还特意去探访了十几年前从凶犯手中死里逃生的少年。 而房子里的这个寄宿男孩的行为越来越离谱： 是他，将女主人的杯子拿走，当作烟灰缸使用； 是他，将男主人推进衣橱里锁起来； 是他，将男主人的被子拉下来，甚至在他身上撒尿； 是他，不小心将杯子扔下楼，砸伤了女主人的情人； 是他，将他们的儿子绑了起来，行为类似连环杀人犯； 是他，推了一把来劝阻的女孩，使她昏了过去。 女主人的情人在地下室养伤的时候，被人从后方袭击而死。也是他杀的吗？ 的确，人比鬼更恐怖，可是一部好的恐怖片不应该只是用“变态”来搪塞。 还好，还有最后的反转。 这并不是一个变态男孩，他的所作所为都是有原因的。 实际上，他就是十几年前从凶犯手中死里逃生的其中一个男孩，他在屋内逡巡的时候，无意间看到了男主人的脸。赫然认出，他就是曾经那个穷凶极恶的杀人犯！ “小镇神勇干探”和“戴绿帽老公”都是他的外皮，拨开外皮，露出了里面的险恶。 牢里是他安排的替死鬼，他专绑男孩，将他们关起来之后，慢慢杀死。 不是不报，时候未到。 这还是一部“变态向”的恐怖片，只不过多了一层“意想不到”，又多了一层“复仇成功”。 “找，到，你，了”，跟着我把题目再读一遍，是不是觉得更爽了？ 爽完了呢，继续编作业上交！ 图文并茂请戳公众号,20.0,3.0,10
2,2,27066196,找到你了,e68ae5772c24012b47c0f7c4c84cad8b,e1c37b053777cc61a699b0c763a59cc3,4.0,2019-12-12 03:03:34,"大屋是老美所有悬疑惊悚电影的主战场，总觉得【奥斯卡】欠 ""她们“ 一个终身成就奖。 主场大屋所在位置特別，正门境观开扬但背靠河流，从屋内外望景观无敌，但从天空鸟瞰会浮现不安感。 剧本相当工整敍事亦干净俐落，没有太多花招该有的都有。配乐和声效亦恰如其份，没有突如其来把睡著的吓醒或者把清醒的吓进医院这些坏习惯，足证编导對劇本的自信。片首由航拍到主观镜的运镜相当拟人，很有第一身的代入和窥视感。 片中經常閃現的畫面，貌似作為時間段的區分。 天网恢恢，对于经常观看惊悚悬疑片的观众来说，当故事发展到一半时可能已经猜到之后劇情的大概走向。但不减整个故事的悬疑性，编导亦没有因为可能会出现这样的状况而把结局强行扭转画蛇添足，加上全片带出的信息算是相当适合国内放映的悬疑片，卻出奇地不见有排映的迹象。 片中让人感觉不安的 Creepy 面具。 剧本如果落入其他大师手中，也许雾水情人角色会有更多发挥或者将结局再扭两扭之类，但现在的安排亦絕對合格有餘，算是超標完成任務不會让人有种枉来尘世一转的失落感。三星半妥妥的！如果跟同期推出的另一《虎胆》系列续作比较《ICU》絕對是百份之百四星作。 当然比不上《关灯》但比起之后的《潜伏4 &amp; 5》《别呼吸》《修女》等一大箩都要出色。 近年少在电影出现的Helen Hunt 眼睛变小了，其实她年纪不大，属于少数不愿打Botox 的外国女演员。 观影前未有留意演员表，到认出 Helen Hunt 時感觉。。。啊！真的久违了。 作为一枚非技術宅的普罗观众，不能剧透的观后感其实没什么可吹的。无奈短评码字超额所以干脆跑来这里，反正地方宽敞。 观众反应如何有待揭晓，但提名一大堆倒是事实。 同场后排观众对話：

小甲：屋子那么大连狗也不养真罕见！
小乙：。。。。拜托！那还用拍嗎？                    ~~~~~ End ~~~~~",15.0,6.0,5
3,3,27066196,找到你了,bb841272ae764528037f2576be2aec77,5a5389949791fc88a50c8ef976b4d450,4.0,2021-11-12 16:25:54,"除了过年。 你现在还盼着什么？ 2021开年到现在，南瓜君已经安利了不少片子。 但总感觉，唯独缺了一点尖叫。 这不，南瓜君这就挖到了一批黑马恐怖片。 豆瓣6.7，这分数在恐怖片评价体系里相当能打，懂的都懂。 闹鬼怪谈它有，阴间冥场面它有，令人猝不及防的反转它也有。 好久没看到这么一部全程高能，让人感到直呼“还可以这样”的片子了。 它就是—— 《找到你了》     乍一看，这个片子没什么吸引力。
 不知名的导演，不出名的演员，还是小成本制作。 演员里唯一有点名气的就是是海伦·亨特，她执导过高分美剧《我们这一天》和《宿敌：贝蒂和琼》，算是实力与颜值兼备的好莱坞女星之一。     所以，南瓜君起初看的时候，真的把它当做标准的烂片来看，谁知越看越疯狂打脸。 电影开篇就悬疑感满满。 一个男孩骑着单车从森林里穿过，本来阳光明媚的天气突然没了阳光。 突然，一股神秘力量将他腾起，他也顺势飞了出去。  





   到底是邪灵作祟？还是有人装神弄鬼？这里可以先打个问号。 紧接着，画面一转，几名警察来到了案发现场。 男孩莫名其妙失踪，这已经不是个个例了。 在一个月内，已经有好几个男孩神秘消失，搞得人心惶惶。 这让警察格雷特很是头疼，上面给的压力太大了，可这案子调查许久一点头绪都没有。  





   唯一的线索，就是凶手的作案手法和15年前的一个连环儿童绑架案的凶手高度相似。 可是，那个凶手早就被抓到了，且现在还在服刑之中，怎么可能出来犯案呢？ 那就只有一个答案了：这次的凶手是模仿作案。  





   而且从凶手的目标全是男童来看，凶手极其可能是个恋童癖。 对于格雷特来说，案子没进度都不是最糟心的，妻子杰姬出轨才是让他接受不了的。 两个人现在的婚姻已经有名无实了，甚至已经开始分房睡了。 但令人欣慰的是，儿子康纳一直站在自己这边，知道母亲出轨后，基本不给母亲什么好脸。 儿子认为，是母亲毁了这个家。    都说家和万事兴，和气没了，家里也开始变得诡异。 比如杰姬的杯子突然不见了，隔天却发现在屋顶上； 家里的餐具也凭空消失了，后来发现在洗衣机里； 电视机和唱片机也会在时不时地自动响起，十分瘆人；  





    还有更反常的，康纳明明上学不在家，可来维修窗户的工人却说是一个男孩开的门。  





   东西丢了，可以算是意外被盗，也还能解释得通。 但很明显，这个家庭仿佛有一股神秘力量在操控着每个人。 比如，格雷特回到家，发现儿子养的仓鼠跑了出来，他进屋去抓，谁知道柜子却突然“砰”的一声关上，怎么推也推不开。    晚上睡觉也是，被子会突然从格雷特身上溜走。 格雷特醒来后，发现自己的下半身都湿了，像是尿床了一样。  





   截至目前，屋内发生的很多灵异事件其实都是些恐怖片滥用的老梗了。 但别着急，接下来你会发现，你以为的你以为真的不是你以为。 你已经成功落入了导演迷惑你的圈套之中。 毕竟，现在很多迹象都表明，格雷特这个家在“闹鬼”。     但是很多小细节早就暴露了导演的心思。 开篇，男孩腾空飞起，我们都会以为这是神秘力量在作祟，但是警察去现场勘查才发现，男孩是被横在半空之中的银线所绊倒。 也就说，是有人故意为之。‍    接下来所发生的事情，就更能证明这一点了。 比如，杰姬的情夫来找她，两个人在院子里理论时，突然一个杯子从天而降砸中了情夫的头。 杰姬第一反应就是，肯定是儿子干的，毕竟老公不在家，儿子又对自己出轨的事深恶痛绝。     为了不起更大的冲突，杰姬将情夫带到地下车库，让他在这等一会。 可没想到，她再次归来，情夫竟然死了。 凶手是谁？是康纳吗？    可就在杰姬为了包庇儿子去埋尸体的时候，被认为是凶手的康纳此刻正在网上冲浪，根本不像是刚杀完人的样子。 而且，在他专注打游戏的时候，背后竟出现了一个黑色的身影。 紧接着，康纳被五花大绑绑在浴池之中。 那个黑色的身影又是谁？    紧接着，第二段视角开始展开。 时间倒回到几天前。 一对男女，亚力克和明迪，出现在格雷特房子门口。 两个人是网络上流行的“蛙居”少年。 蛙居，就是跑到陌生人家里居住个四五天，且隐藏起来不被主人发现，两人靠直播这个刺激的游戏来获取关注度和流量。‍  





  ‍ 他们这次的新目标就是格雷特的家。 两个人也知道擅闯民宅不道德，所以他们也因此约法三章，首先一条就是绝不拿主人家的东西。 明迪虽然有原则，可亚力克可没想按套路出牌。 偷东西、放仓鼠，在格雷特身上撒尿，这一切都是亚力克搞的鬼。  





   你以为亚力克只想玩心大，想搞一下恶作剧。 但时间久了，你会发现，他根本就是冲着格雷特来的。 亚力克所有反常的行为都是有目的的，而且比起那些小打小闹，他开始越来越不受控。 那么，问题来了，亚力克是杀死杰姬情夫的凶手？康纳也是被他绑架的？ 他想通过这些来嫁祸格雷特吗？  





   熟悉导演套路的人应该明白了，导演怎么可能这么快就将答案摆在明面上。 所有你猜测的一切，都会在最后一秒被驳回。 当真相被揭开，相信你会跟南瓜君一样，浑身起满鸡皮疙瘩。     导演其实在片名之中就已经埋下伏笔，一个看起来和“找人”没有太大关系的片子。 “找到你了”找的是谁？ 找的是连环绑架案的凶手？还是这个家里的“侵入者”？ 为什么开篇引出绑架案，后续又演变成了“鬼屋疑云”？ 其实，看似不相关的两件事，却有着千丝万缕的关系。 等到最后，这世上最恐怖的不是鬼怪，而是人心，为了满足自己的私欲，人也会长出最凶狠的獠牙。",,,2
4,4,27066196,找到你了,63f90177c0c0ecdba4f4fdc03dc5f2ad,436a5b7e7d560acd35c8df81b1561a31,3.0,2021-03-22 22:58:32,首先，我很喜欢这部电影的表达方式，好几帧都是从远及近的镜头切近或者是PPT式的短暂停留，渲染了较强的恐怖气氛。这部电影的双视角叙事我也很喜欢，从主人公一家和蛙居人的视角双切入，很新颖的叙事方式，倒让我想到了小岛惊魂这部电影...小丑竟然是我自己。        但是，很奇怪的是，我看的是平平无奇，毫无乐趣。看完了我就在反思这个问题，后来我想明白了，出现在两个问题上，一个是是想象空间不足，一个是剧情出现了偏差。        对于第一个问题，导演剥夺了悬疑惊悚片爱好者的乐趣。他对一些我们可以推测出的细节来源进行了不必要的展开。我举个例子，有个片段是母亲发现了儿子床底下的那个蛙蛙面具，我们就可以想到某个片段蛙居人在床底下呆过，所以有面具，我们会觉得 哇，原来如此。相反之，父亲看到画框少了画，在墙壁上发现了被扣掉了眼睛的画。那你在蛙居人视角切入的时候就不要因为要论证是他做的而放出这个他在剪照片的片段来，作为观影者我们可以推测出。过多的解释不会让剧情更加饱满，只会让它失去应该有的弹性，很苍白死板。        对于剧情而言，我已经无力吐槽了。整部剧我找不到爆点在哪里，我觉得完全可以这样改。以挖居男生的视角展开整部电影，因为他童年遭到过性侵，所以性格奇怪孤僻，和那个脸花掉的和他一起逃出来的人一样。然后他蛙居在了这个男主人的家里，整部电影前半部分完全可以把他搞成神经病那样，时不时还可以出现他在玩弄绿色刀具，下雨天远远观望森林黄色汽车的暗示，让看电影的人以为这个大哥就是模仿型杀手，和男主人开始了猫捉老鼠的游戏。反转高潮就是他进去那个黄色汽车，然后一下子被麻袋套住了，再睁开眼的时候就是他和男主人公对峙，开始精彩的博弈，搞完了之后这个蛙居男不知怎么占了上风，把这个男主人枪毙了。         影片结尾蛙居男报警，解救黄车男孩，穿插着蛙居男十五年前的叙事录音，配合着那个男主人勾搭蛙居男的画面，影片结束。        别说太透了，别形式大于内容了，就像婊子没有第二次机会那样简洁，就行了。,2.0,2.0,4
5,5,27066196,找到你了,dea5447c98f66fbedd31acef804f1722,8dd288ebace8eb5502b2d2f41204b4fa,,2021-03-08 05:54:33,女主臉部鏡頭看起來朦朦朧朧感覺像用手机的Ai相机拍美顔功能用過頭了還加了濾鏡跟其他角色明顯不同，有點出戲了，不看影評完全認不出她，電影不錯看，不用倍速也能看得下去，只是各種元素蛙居族感覺似曾相識，但想不起是什麽電影，我每晚睡前都會找電影看，看太多了，想找未看過又能令我感興趣想看的也不容易，很多時是找已看過的重刷,1.0,,1
6,6,27066196,找到你了,ddb0f2634c96ee8d148b3b1ef045f63e,0aec925d39b1a4f8600eac0d59ee1345,2.0,2021-02-22 23:27:37,也不知道是哪里不得劲儿，但是真的感觉就最多只能算还好，因为里面一些人物的行为实在有点奇怪，比如女主人看到情人被打死之后为什么一定认定是儿子？这一报警，送医院一检查，一看伤口不一样不就知道了？而且她亲自送儿子去上学了，学校应该可以提供不在场证明啊。而且总的来说并不觉得多可怕，因为对男主人这个恶魔的刻画真的很浅，观众只知道他是个连环杀人犯，其他就没了……这真的很难让我觉得恐惧或是觉得人心有时是多么残忍，可能是我看过的其他重口影视作品太多了，所以这一部过于“清淡”😂😂不是很推荐经常看悬疑和恐怖的朋友看，因为这个可能太“小儿科”。,1.0,3.0,0
7,7,27066196,找到你了,eb38d515db6f0e1202bb95b927204827,ce4198a029520b43d9aa72940def06ef,,2021-01-12 10:38:05,生活中温文尔雅的人也可能是恶魔，只是藏的太深，我们无从看见。正如朋友圈里的照片给他人展示的都是好的一面，都是想让别人了解和看见的，而不想让他人看见的都是深深藏在心里的罪恶。有时我们眼中看见的未必是真的，所以误会会由此产生，矛盾会由此加剧。而隐藏在角落里的则是我们的眼睛，它真切的在看我们的行为，而我们并不自知。一切以为做的滴水不漏，想不到一切都被深深看在眼里。蛙居本身是寻求刺激，那种隐藏的心情，偷窥别人的快感。人性如此真实，让人汗毛直立。父母的感情有多少在影响着孩子，孩子看在眼里，都是忍受着伤害。青春期的孩子敏感多疑，其实什么都知道，心灵的伤害很难弥补。母子对坐却没有语言，我想这是痛苦的，纵然孩子父母多有钱，也不会快乐，可能因为空虚而出轨，想逃离这个没有感情的宫殿。可能因为没有精神寄托而变态，没有父母的关爱而封闭内心，靠着游戏世界惶惶度日。导演想向我们表达的远远不止这些，一切还需要看客自己品味。,,,0
8,8,27066196,找到你了,e3248e8fc2f4f98816741f7dcd832623,95d41df784fa220a8dddcc5d4c6e1082,3.0,2020-09-13 08:47:41,关于故事 豆瓣上关于本片的介绍是这样子的。  一位儿童诱拐调查员忍受着妻子出轨的痛苦，妻子也因内疚逐渐变得情绪失常。邪恶之力渐渐入侵他们的家庭，两人的儿子也因此陷入了致命危险当中。本作将于今夏在克利夫兰开机。  而，我看到。  电影的开头。小镇广场一角。 流动车贩正在贩卖冰琪淋，孩子们自觉地排起了长队。在队尾一位骑着山地车的男孩正在和人聊天，背着粉红色书包的女孩走过他们身旁。 几秒之后，镜头拉远，骑车男孩离去。他不急不媛地向远处骑去，随着镜头慢慢地移动，我们看着他骑车穿过小镇，骑过大桥，骑上了一条通往山间的小路。镜头从上到下、从左到右地四处移动，男孩一直在画图的当中，他骑行地或快或慢，穿过森林，越过路上的小坎，一直向前。忽然间，男孩子猛然似乎被一只无形地手抓着，离开了车椅向后腾空飞去，胯下的山地车则失控笔直地冲出了画面。与此同时，男孩也消失了。 片头导演仅用了一两分钟的时间，给本片定下了一个惊悚而悬疑的基调，偏冷色的。 不过，后面的故事情节又回复了美国小众电影拖沓的风格。 一所大HOUSE，住着三口之家，典型的美国中产家庭。但是女主人似乎有一点神经质，家里的儿子处在叛逆期，老要跟妈妈对着干，唯一看着正常的男主人是一名警探，正在调查镇上发生的两起儿童失踪事件。 电影进行到中段的时候，一直没有看明白的情节终于看明白了。因为前半段叙事是以三口之家的视角进行的，而后半段的叙事却是以家里闯进来的不速之客的视角。 这样的叙事，真的很好玩。不同的视角可以讲述同一事件的不同侧面，这完全可以是根本不同的故事！ 这户人家闯进来的不速之客是一对隐居在人家房子里的男孩女孩。女孩挑选了这一套房子，男孩陪着她玩。他们自称为蛙居人士。 女孩只想与房子的主人共存，在主人离家之后享受房子，这样的生活就像一只老鼠！而男孩在度过最开始几天的新鲜劲之后，他不再满足于单调的老鼠生活，他要扮演捣蛋鬼的角色，拿掉家里的一只杯子，剪坏墙壁挂着的照片。 尽管这样，主人家还是没有发现他们。 可是，蛙居少男少女们发现了主人家的秘密。 原来女主人出轨，男主人竟然是贼喊捉贼，绑架失踪孩子的黑手就是他！ 在最后对决中，男主人为了掩盖他的罪行杀掉了女孩，在他想杀掉男孩嫁祸给他时反而被杀。 案子告破。可是当女主人带着自家的孩子回来的时候，看到的场景是一群邻居围着自家的房子看热闹，警察们忙进忙出，他们俩始终一脸的懵逼，我想在他们的内心应该是一万头草你马奔腾而过。 我们是招谁惹谁了？ 最大的看点 有人曾经讲过，成年人听人说话，不在于听人家讲了什么，而在于人家没有讲什么。 本片要说是最大的看点——就是那两个跑到人家里与主人共存的男女少年了。 虽然导演把他们最后塑造成了破案的英雄，可是这样随意进入人家生活的人到底有什么好的呢？ 另外， 1、这两个少年他们来自何方？ 2、他们有无家人？ 3、男少年所谓的蛙居，到底只是兴趣，还是他们所要的生活状态？ 4、他们是否就是豆瓣介绍中所提到的邪恶力量？ 人与人最为难的就是羁绊。但是这样的羁绊终归是有由头的，像这样无端地闯进人家，平白无故地与人发生羁绊，这到底是怎样的人生态度和处世哲学？ 人与人之间的关系真的很奇妙！ 以前没有社交软件的时候，人们之间的关系比较纯粹；在网络时代，一个人想要认识另外一个人，只需要在软件去添加或者点击通过好友申请即可。从此，两个人互相之间就可以通过朋友圈窥探对方的生活。 缘分来的真得很突然，也许是幸运的，也许是致命的！ 小心，你的生活中不要有这样的窥探者。,,,1
9,9,27066196,找到你了,a9d9afd36dcc218fd53e176e06181111,7edcc78ccfe04f7e6d5caf62fedecdb9,4.0,2020-07-08 02:04:23,如题，佩服！ 冗长的前戏只为了最后一个爆梗 期间各种常规环境特写制造氛围，各种惊悚片爱好者喘之以鼻的桥段，各种谈不上精彩的前后呼应，甚至采用了同故事线不同视角各来一遍的手法。这期间，都已经拍到人物的心理路程已经有点生硬，剧情节奏已经有点乱拍。。。终于，凑够了75分钟！导演和剪辑在工作台也微微笑的进入贤者时间，再用剩下的15分钟抖出了这个爆灯梗。 但是，全片的镜头语言水准在线。让有幸在放弃边缘来回试探却没有放弃的观众等到了最后，满意的给出了4星高分。在字幕时刻也欣慰的进入了贤者时间。,,1.0,0
