,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27073079,碟仙,2026cb1d54da1a887ec979549c4919a2,195fbb57ffe7449796d23466085ce6d8,,2020-02-12 21:33:25,片子看完，客观的评价，无论从硬件（镜头语言，构图，美术）还是软件（故事内容，内在逻辑）都优秀。恐怖片，已经做到了让人觉得恐怖，就这一点来说，就超越了很多国产恐怖片！以为这个片子起码7分，但是一看分数，5点几分，以为看错了！因为很多的五星好评，再一看，原来还有很多人给了一分！两极分化下出了5分的成绩。给一分的人，理由是抄袭！这让我真的有点忍不了！ 首先我也是从小看恐怖片长大的～温子仁导演一直是我喜欢的导演。他的片子不才我也都看过。首先，感谢喷子们给了一分。因为我转念一想，你们能给一分，肯定是把这部影片跟温子仁导演的影片做的pk～如果跟国产其他恐怖片比较，我想起码三星，既然这样，一分就一分吧！其次，我学的编导专业，我很认真的看了碟仙的每一帧画面，从镜头呈现来看，无论是构图还是美术，起码水平是在线的。抄袭的如此用心，我们也可以点个赞了吧～最后，每一个大师都是从模仿开始的。模仿经典，我不认为是一种耻辱。 反观国内口碑爆棚的《中邪》之流，确实没有抄袭！因为这么烂的镜头呈现，毫无技术可言，说抄袭也没人信！片子靠着伪纪录片的噱头和幌子，就可以毫无章法，毫无逻辑，就因为是所谓的原创，就不顾大众的审美，输出这么业余的东西，拖后中国整个恐怖片的进步的脚步，不是更无耻？！碟仙，起码让我们看到了中国想拍好恐怖片的这波导演学习的心。起码让大家感到了恐怖。对于中国恐怖片来说，及格了！,4.0,,4
1,1,27073079,碟仙,a71c98ad359cee82428bf277cd562ff7,3e674c7080be36d3b44475c1b3b5bbd2,3.0,2019-06-26 00:20:15,今天和朋友抱着吐槽国产恐怖片，看看结局究竟是做梦还是幻觉或者是精神病的，满满看笑话的心态去电影院看这部电影的，但是没想到这次真的撞“鬼”了！！          这部电影有两条线，一条明一条暗，明线很简单一条悬疑线，如果光看这条明线可能这只是一条槽点满满国产恐怖片，可是编剧很狡猾的在明线之中埋了一条暗线，使“鬼”真实存在并且完美解释了故事所有的“不合理”估计这次广电审核的工作人员要被公报批评了。         这部电影在我看来是到达及格线的，第一恐怖氛围营造的不错，第二，剧情跌宕起伏有一定悬念，主角虽然也有愚蠢行为，但是也就是在最后发现问题选择自己解决的心态上，绝大多数时间的恐怖和危机都不是主角故意作死推动的，第三，笔仙线，这条线成了整个故事的精华，让它没有沦为“国产垃圾恐怖片”的行列         当然这部电影也谈不上是多么优秀的恐怖片，只能说是一部进入恐怖片大家庭的合格恐怖片（当然啦能在大荧幕上看到这种恐怖片也不容易）恐怖氛围是有的，拍摄手法看得出借鉴了不少国外经典恐怖片，但是也是用心的那一种         总结一下这部电影，恐怖是有的，每次天黑都有惊悚的感觉，故事是说的通的，对讲机以及打电话的设定也很不错，如果你想在大荧幕上看一部恐怖片我是推荐这部的！至少它是一部合格的恐怖片,32.0,4.0,24
2,2,27073079,碟仙,22dd4223fbb91258c90d7f37eae17f7e,86661ce71a57dcfaa79cb89eb93d1370,5.0,2019-06-29 12:14:51,"以下只是个人观点，希望大家一起讨论。
  先说为什么我打满分   
   第一  音效带感
   第二  剧情不乱 ，还算连贯 ，节奏快
   第三  吓到我了
   第四  小女孩，黄奕 演技到位
   第五  这电影晚上才放   氛围很好

最开始，看这部电影 笔仙   听名字  就觉得是部烂片，然后在看黄奕。下意识觉得这绝对是部烂片。   一直没去看，后来在抖音上一个博主  推荐大家去看，然后我也搜了一下   最开始豆瓣是5.0  然后就买票 抱着看喜剧片的心情去看。
第一次晚上10:20去电影院看恐怖片，心里还是激动中带着忐忑。  
 

插播一下   我坐的正中间 左右各两位小姐姐
        哈哈哈

然后电影开始了，一来就有点小高潮  还好，吓不到我    倒是我旁边的小姐姐们  吓得  ，让我一直在笑。 黄奕和她女儿住在这房子里，怪事就不断发生    屋子臭   对讲机自己响  镜头每转到晚上的时候，我就知道又是一个高潮  ，音效 和镜头转换恰到好处。 只说把我吓到的几处镜头 ①  本以为鬼会从正前面出来  BUT  从侧面出来  ，这个我忍住我没叫出来 ②黄奕和她女儿躲在柜子里 ，本以为鬼会从前面打开柜门 ，结果  拿了一根带血的钢筋(好像是)从衣柜后面一下刺过来     这个我也忍住没叫 ③  黄奕砸墙的时候，大家都觉得真相大白，不会害怕，旁边的小姐姐都睁大眼睛看了。 当洞变大了之后  远景拍摄的洞是一片漆黑 但是当黄奕再砸的时候  尸体从墙里掉出来  WTF   WTF全场尖叫， 包括我 真的吓到了。  故事结尾   是那个屋主搞出来的鬼  ，虽然说是人扮的     但是最后  女主的朋友把照片拿来给女主看，也不干进家里   ，女主朋友的表情，语气 和最后女主拿着照片颤抖的手 还有那音效，不禁让人细想，到底是人扮演的鬼 还是说  这间屋子真的有鬼。  导演，编剧 很好的埋下伏笔，可能暗示着会有第二部。   这和我以前看的《校花诡异事件》，《咒丝》……是不能比的。 我不是水军，我也不是脑残粉 ，国内是不能上有鬼的电影，大家都是知道到，但是这边电影做到了，电影看似无鬼，但心中有鬼。虽然有借鉴国外影片的嫌疑，但是我们也看到国内恐怖，惊悚片的崛起，如果这部电影有第二部，希望不要烂尾，我们观众看电影 并不是一定要看大制作，大咖的电影。只要你电影拍得好，精彩，哪怕是找十八线小明星，甚至是路人拍的，我们观众都愿意去看。 欢迎大家一起讨论。 谢谢",4.0,1.0,4
3,3,27073079,碟仙,c399f23e3097b35e2f2c39d963aca553,66ed1b1e8b6be8ee631d432f4ddeaf19,5.0,2019-07-14 20:01:51,《碟仙》是非常值得一看的一部国产恐怖电影，是在备受诟病的国产恐怖片审查制度边界上一次难得的游走与试探。除了步步紧逼的惊吓桥段，影片结尾巧妙地运用一张照片设置了一个开放式的结局，使影片在给人惊吓之余更增添了一份令人细思极恐的悬疑。作为一部电影，既然敢于设置这样一种悬疑，它应该不会任其停留在无法自圆其说的层面。所以，照片上到底是什么？我想从影片本身是可以找到答案的。 在此，我试着用排除法逐一推论。 一，	项天（女主丈夫） 这个可能性显而易见可以排除，不然胡子（灵异专家）就不会让他转交照片了。  二，	梦瑶（女主） 可能因为见鬼情节多是梦瑶本人的经历，所以有人会怀疑，鬼是梦瑶杜撰的，真正有问题的是她本人。这一点电影的处理确实不够清晰。但是，从胡子转交照片时候，特意叮嘱转给梦瑶本人看，可以明确，照片上绝不是梦瑶。  三，	鬼怪（碟仙本尊或者其它） 照片上是鬼怪本尊，应该是大多人的第一反应。剧情上这样解释其实也说得过去，但是，个人认为这样解释，影片就过于简单了，而且，关键一点是，审查处真的会承认有鬼吗？我认为，这部电影最神奇的地方在于，有鬼和没鬼两条线是并行的，有没有鬼，似乎都能解释得通。 而且，细究之下如果照片上是鬼本尊的话，反而剧情在逻辑上会有难以自圆的地方。比如，如果胡子能拍到鬼，就意味着原先的房主卢静雅，也就是第一个经历碟仙灵异事件的娜娜的母亲，她在片头所说的是她所确信的。照此，她应该深信碟仙与鬼的联系，那她还怎么敢亲自扮鬼出没在那个屋子里吓人呢？影片最开始的审讯画面中，她可是看见碟仙图片都会害怕的。 实际，如果卢静雅没有亲眼见过鬼，一切反而解释得通了。娜娜玩碟仙之后见鬼的场面是来自于卢静雅的审讯回忆，在回忆的画面中，卢静雅本人是没有亲眼目睹过鬼怪的。因此，对她来说，她或许相信是女儿玩碟仙给她家带来了灾祸，但她应该并没有真的把一切和鬼联系起来，她本身并没有见过鬼。在这个母亲眼里，碟仙更像是一种诅咒或者某种神秘力量，她相信她女儿娜娜是玩了碟仙导致的精神失常，并并看到幻象，但是相信并不代表她真的认为碟子有鬼。必须再次强调，这个母亲本人没有见过鬼，正因为她没亲眼见过，所以她才敢利用人们把一切神秘现象与鬼联系的习惯心理来扮鬼吓人。 但是，不管原因是不是鬼怪作祟，玩过碟仙的娜娜举止失常然后自杀了，年轻房客之一也疯了，女主的女儿也梦游不断。所有巧合确实是指向那副碟仙道具的，也许是真的有鬼，也许是碟子本身有什么超自然力量，除了貌似中邪的亲历者之外，谁知道？ 所以，出于剧情逻辑的完整性考虑，我倾向于，照片上应该不是鬼。影片的基本设定是，只有经历过碟仙游戏，并由此精神失常的人才有可能看到鬼或者经历其它某些超自然现象。这里需要指出，女主及其朋友亲眼看见鬼的画面，应该都是卢静雅老太太扮演的，而女主朋友胡子拍到的照片里，应该是没有鬼的。不然，早在审讯中卢静雅回忆娜娜拍到鬼开始，就已经和她扮鬼吓人这个举动前后矛盾了。  四，	雯雯（女主女儿） 排除完其它可能性之后，照片中最让人细思极恐的可能性就是女主的女儿雯雯了。如原房主的女儿娜娜、年轻的房客女孩一样，玩过碟仙并受其影响的人会举止失常，而雯雯本身也是在玩了碟仙之后，开始梦游不断。但是，雯雯的失常举止很隐秘。除了梦游，似乎一切正常。我们先肯定没碰过碟仙的女主肉眼凡胎还看不到真正的灵异现象，然后我们回顾影片会发现，在吓唬女主的各种灵异事件中，有一部分可以解释为卢静雅老太太的作为，有一部分却极不可能是她一人的行动，而这一无法解释的部分最有可能的指向只有女主的女儿雯雯。例如，雯雯的声音在对讲机里告诉梦瑶屋里有股死人的味道，女主一抬眼却惊悚发现雯雯并没在对讲机前。很显然，杀夫藏尸的卢静雅肯定不会搞这种乌龙恶作剧，而雯雯却是有可能操作对讲机录音来完成这次灵异事件的。当然，影片中在灵异事件的处理上似乎还是过于模糊了，具体的灵异事件中很难分清哪些是卢静雅所为，哪些不是。 回归到照片上。照片的来源有两个阶段，第一阶段是他们认为凉风入侵引起的虚惊一场，第二阶段是天快亮了胡子独自守夜阶段。影片在这里处理得确实模棱两可，第一阶段的灵异遭遇中，好像是为了惊吓效果刻意加了一个鬼影进去。前面已经分析过，如果普通人也能通过相机拍照看到鬼，那卢静雅的扮鬼行为根本站不住脚。此处鬼影闪现，确有画蛇添足之嫌。因为前一个镜头，雯雯还睡在梦瑶眼皮底下，所以这个闪现的鬼影肯定不能是雯雯，但是需要明确，这个鬼影是给我们电影前的观众看的鬼影，影片中的普通人是看不到的。 当我们把整部电影建立在影片中的普通人无法看见鬼的基础上，所有的情节也就连贯了。影片中玩过碟仙的三人，她们都中邪一般举止异常，在外人看来仿佛撞鬼一般，但是她们所经历的到底是什么，她们所看到的到底是什么，外人是无法观察到的。 说到这里，我们可以推断影片结尾的那张照片，显然也不会是拍照当晚虚惊一场时候一闪而过的鬼影了，照片应该是后半夜梦瑶母女及其朋友都睡了胡子独自守夜时候拍下的，而照片的内容除了鬼之外，合情合理又能让女主瞬间双手颤抖面如死灰的只剩下一个人——中邪后的雯雯。  不得不说，影片中的惊吓桥段确实是过于密集了，第三人称视角（观众视角）所看到的鬼影很多时候仿佛纯粹是为了惊吓而存在，没有对剧情起多大作用，反而搅乱了观众视线，让人在结尾的反转后依然云里雾里，没能达到细思极恐却又恍然大悟的通透感。但是瑕不掩瑜，电影本身绝对是可圈可点，用心至深，在华语恐怖片中绝对是非常难得的一枝独秀。 （题外话：我很好奇《釜山行》那种满是硬伤的泡菜电影都在8分以上，这部在大陆审片机制重重牢笼中披荆斩棘拨云见日的电影，为何赞誉难寻，还饱受冷嘲热讽。）,11.0,1.0,4
4,4,27073079,碟仙,da635726021289740dd4107525071c1f,6d22a873603df2ea4052f54aa006e8e4,3.0,2019-06-27 23:36:00,"欧美恐怖电影注重视觉冲击，血腥暴力。

以日本、韩国、泰国为代表的亚洲恐怖电影善于营造恐怖气氛。

而国内的恐怖电影由于规则限制，往往故弄玄虚，最后用《走近科学》般“侮辱智商”的理由强行圆场。

   像这种以降灵仪式为核心的恐怖电影并不在少数，甚至几乎已经泛滥成灾。

尤其是国内的一些编剧和导演，似乎对此十分青睐，乐此不疲。

不过“明目张胆”直接用“碟仙”来命名的影片，这还是很久以来第一次。

  实话实说，虽然有着黄奕和范逸臣的名头，但在观影之前小麦仍然没有太多的期待。

因为毕竟规则就摆在那儿，再怎么创新，再怎么大胆也不可能打破这层规则。

不出所料，《碟仙》确实和以往我们看到的那些国产恐怖片一个套路。

但不得不说，导演廉涛很聪明，我们也确实能够从中看到国产恐怖电影的进步。

为什么这样说呢？且往下看。

  在此之前，我们先来看看“碟仙”究竟是什么。

相信大家对此并不是很陌生，有些小伙伴也亲身体会过。

所谓“碟仙”，其实就和“笔仙”一样，是一种占卜手法。

它源自于中国古代的“扶乩”，用我们现代人的眼光来看，它更像是一种心理暗示的游戏。

人们在用碟子占卜的时候，发现碟子会自己移动，回答问题，变化莫测。

因为不知道其中的原因，故而与鬼神联系在一起，称之为“碟仙”。

  影片便是围绕着“碟仙”展开。

以网络直播为生的单亲妈妈梦瑶带着年幼的女儿雯雯住进了一栋便宜的学区房。

房间里的诡异氛围与时不时散发出来的奇怪恶臭，让梦瑶感到不安。

某天深夜，雯雯竟然在梦游的时候玩了前租客遗留下来的“碟仙”游戏。

自此房间里便接连发生了一系列令人毛骨悚然的怪事。

  其实单凭恐怖氛围的营造，国产恐怖电影和其他国家作品的差距并不是很大。

只是由于每次都要将灵异事件归结于人为，或者利用主角精神分裂来强行圆场，这才使得档次一跌到底，前期苦苦营造的恐怖氛围也变成了故弄玄虚。

而且你也不用管他是怎么做到的，反正就是人为的。

本身营造的恐怖氛围代入感很强，结局看似“有理有据”，实则让观众感觉自己被戏耍了。

这种心理落差就像某些食品包装上的“一切以实物为准”一样，颇有一种“我爆米花都准备好了你就给我看这个”的感觉。

  上文小李子也提到过，这部《碟仙》并没有打破常规。

所以影片最后也点破了真相，这一系列诡异事件就是人为的。

不过上文小李子也提到，导演廉涛很聪明。

他没有将过多的篇幅用在交代幕后黑手上，从暴露到坦露事实，只用了5分钟左右的时间。

我想这也是对于传统规则的一种“应付”和“挑战”了。

这样的一带而过相比于其他国产恐怖电影恨不得从一开始就告诉观众“这是人为的”来说，对于恐怖感的影响大大降低。

而且最后那个幕后黑手眼神的特写镜头似乎在告诉观众：我是个杀人犯，也是个“背锅侠”！

  除此之外，片中的诸多桥段都在暗示我们真的有“鬼”。

就比如说结局张天柏饰演的胡子送来了深夜在老宅拍摄的照片。

他的神色有些异常，似乎不愿意逗留，匆匆离去。

而梦瑶在看到照片之后也流露出了惊悚的神情。

有人说这样的开放式结局代表着导演还想拍摄第二部，小麦则更愿意相信导演其实是在向观众传达一种理念：不是没有“鬼”，而是受限于规则，无法明说。

 小麦看电影 不知为何，在观看《碟仙》的时候小李子总是不自觉想起《中邪》。

这部国产小成本恐怖电影以伪纪录片的形式展现了中国传统的驱邪方式。

自从2016年在第十届FIRST青年电影展首映之后，受到了国外观众和国内影评人老师的一致好评。

可惜的是，这部电影原本定档2018年清明节在国内上映，最终却因为某种原因撤档，再无音讯。

其实在我看来，国产恐怖电影并不是一无是处，也不是一文不值，而是众多热衷于此的有志人士得不到机会来展示。

  说回这部《碟仙》。

总而言之，虽然它延续了国产恐怖电影的一贯形式，但并没有一味将观众的智商按在地上摩擦。

能从中看到进步，已经是非常不容易的一件事了。

有进步，我们便要加以鼓励。",9.0,5.0,6
5,5,27073079,碟仙,fb7568abe94c2cbb8bc23208c9cb5895,c4ba08aa31b47bfeef5d5eb4d25933df,3.0,2019-06-27 00:18:40,国产恐怖片有多坑爹大家都清楚，看了下自己的影评，上一部让我赞誉的竟然是2015年的&lt;封门诡影，啊，一晃就四年过去了。等于说这四年里竟然没有能打的国恐片。 碟仙这个题材有多泛滥我是清楚的，什么&lt;碟仙诡谈&lt;碟仙碟仙&lt;笔仙大战碟仙之类的不可胜数，基本上我也都看了。爱看这玩意是因为国恐拍的实在好笑，有些片喜剧程度已经超过了很多喜剧电影。 但没想到的是，到了这里tm的竟然不搞笑，而且竟然真的吓人了！ 先说这部电影，除了抄袭&lt;招魂外，还东拼西凑了很多。包括电影里七天的设置和墙后藏尸直接让我想到了金田一的&lt;学园七不可思议。 抄袭不值得肯定，但&lt;碟仙的观影感觉真的异常的棒，致使我走出影厅后还想不明白，明明就是翻版&lt;招魂，但为何能这么吓人。 后面就想通了，&lt;招魂我是在电脑上看的，而&lt;碟仙是在影院看的。 影院的效果是真的好哇，小孩跑步的环绕声从左耳跑到右耳，嘎吱嘎吱的踩木头声，还有摄影时那段情节，那种压迫感是在电脑上体会不到的。 以及影厅那不要电的一样的空调，凉风冷飕飕的吹在身上，全身发冷，这种体验感棒呆了。 这种七天的设在&lt;碟仙里做的非常棒，前六天早和晚的极快的节奏以及密集的恐惧让观众十分难熬，一到了晚上，东西还没出来，就自动让观众先吊起了心。相比前六天，第七天就有些拖沓，节奏感有些不足。 但第七天最终解密的时候及其畅快，一分钟的时间就完成了结尾，但要我说，我觉得就到回忆屏幕上那两段字的时候就够了，大家都能懂。再让老太说出那句台词“我装鬼吓他们就是不想让他们发现墙后的尸体”都有些多余了。 最后开放式的结尾也算不错了，戴着镣铐跳舞能到这里已经不容易了。 最后说说，黄奕演技还可以，演的是那么回事，不像其他国恐片一群女人在那瞎咋呼。然后就是电影名起的真的不好，&lt;碟仙都已经拍烂的题材了，还要去凑。改个名字换个道具兴许能对票房好那么一点。 不过吧，这些年国恐片给观众的伤害太大，这几年的国恐片能拿上千万的票房已经烧高香了，反正都是自己给自己毁的。我看，后面这些年还是翻不了身，干脆还是别拍了。 国情嘛！,4.0,3.0,0
6,6,27073079,碟仙,ef9de37bc077ad93c21a10c306d1b225,bff17cd0f3e54fd3d1a00b3b1ae951cd,4.0,2019-06-25 00:51:20,看完已经是25日凌晨了，决定写一篇影评吧。 令我没想到的是，花二十多块钱在家门口影院看的国产恐怖片，竟然意外的还算不错。 以前有段时间时常去电影院看晚场电影，看的最多的就是国产恐怖片。人少票价便宜，女主角们还老穿睡衣。不过虽然也有几部不错的作品，但无奈大部分的作品实在是惨不忍睹，于是便放弃了。今天看到《碟仙》这样的标准烂作片名，原本是没有一点兴趣的。可是看到演员阵容，黄奕、范逸臣，还真是我都听说过的知名演员吧，并且豆瓣评价虽然不多，但是在国恐中可称水准的评价，以及正好家门口晚场就在放，于是便来一睹真容。 先来大致透个底吧。黄奕带着闺女住进了闹鬼的房子，闹鬼，结果发现前房东老夫妻女儿上吊，老公是凶手并潜逃失踪。最后结局是老太婆是凶手+装神弄鬼。 一句话可以说完的剧情内容，就是本作的第一个主要缺点。故事发展上过于简单，前面大部分晚上吓人+白天过渡的模式为主，也没有什么实质性的剧情推动。80多分钟的电影本身不长，不过从差不多最后20分钟黄奕才开始调查，找了前住客，再找了老太婆，发现了尸体，抓住了凶手。节奏的失衡十分明显，吓人与讲故事略显脱节，作为一部完整的电影，契合度有待提升。 第二个主要缺点，就是剧情的确老套。无论是充满了20年代风的为了出国抛弃妻女，还是但凡失踪人口多半已被干掉，抑或是掐指一算就那个人可能是凶手，剧情上的悬疑性和多样性过于单薄，绳之以法的必然性毋庸置疑，也许是剧本的缺乏创业，也许也是因为对于内容审查要求的必然。 讲完缺点，接下来，我还是要大赞一下的。 首先音效方面，保持了国产恐怖片一贯的高水准。虽然前半段吓人桥段有点多，虽然不怎么恐怖，但是依然继承了国恐音效师撑起半边天的优良传统。木地板的嘎吱声，配乐声，尤其是床下床上镜头过渡切入的音乐，时机把握方面十分优秀。唯一遗憾的是后半段真相揭开部分，以及搏斗部分过于仓促，稍纵即逝，否则能有更好的发挥空间吧。 其次，有人说导演深受温子仁的影响，的确有些影子。抓鬼小分队的设定异常熟悉，自动摄像也是经典招式。同时，并没有像洗钱流那样动不动就女主角啊啊啊尖叫，也没有红指甲红披风灯光白粉脸灯光由下往上玩幼稚装鬼风。全片正面鬼怪装相当至少，更多的比如木门的慢慢打开，周围跑过的脚步声，一根手指，门缝中透出的镜头，远处看到的上吊人影等等，可见还是希望通过氛围渲染环境的营造，制造出恐怖的气氛，虽然因为和剧情推动脱节导致节奏偏慢了，但也算是比较成功。 最后，就是大家有提到的开放式结局。片子的结尾，黄奕收到胡子送来的之前抓鬼拍摄的照片，胡子慌张的直接离开，黄奕拿到照片惊恐的表情，全片到此戛然而止。在内容审查的大环境下，只可能有精神病患者或歹徒被绳之以法两条路可选，最后的镜头也没有交代照片上到底拍到了什么，但是无论是最后黄奕准备玩碟仙却陷入了幻想，最终也不确定到底自己有没有玩碟仙，抑或是手中照片的内容，都给到观众以遐想，这点在其他国恐上几乎没有见到。既是一种尝试，也算是一种突破吧。 至于有人会说黄奕的表演有点僵硬，范逸臣的角色设定太狗血，老太婆拿着把斧子却专修刀背晕人过于智障，精神病院的大夫看见有人上门调查就合盘托出病人全部信息之类的，姑且就别太放在心上吧。 片子估计也就排一周，每天就那么几场。综合来看我认为称得上合格，为了支持鼓励，不妨4星推荐一下。另外，小九是我的菜呀！ PS：看恐怖片真的要挑队友。后排几个男男女女，那一惊一乍的，简直让影院气氛事半功倍，完美实现了立体声中的立体声，中国好观众，失敬失敬。,8.0,,2
7,7,27073079,碟仙,211c9d0edc98d0c52c4d547afb9a4192,5929cbc9d0d999a80b3f8f3fc79f58ff,3.0,2021-05-24 20:32:18,从来没有在院线看过鬼片，这是第一部。不得不说，在院线看鬼片确实体验很好，音效好，画幅大！这或许就是我对本片最认可的地方。本人看的鬼片并不多，所以也做不出什么评价，不过确实有那么几分吓人，但都是流于表面，没有内涵。剧情bug也很多，就简单说一点！换做是我，第一次感觉不对劲就已经搬了！不过这是鬼片的基本条件嘛，就是主角很作！如果喜欢鬼片的话还是推荐去影院体验一下，确实和在家里看不一样很多！,,,0
8,8,27073079,碟仙,26acfe375cb109c9131f61ccdd3ec3c7,987a70e95c8b752f723cbc64764fb2bd,3.0,2020-03-15 19:46:45,"看这部电影，主要是无聊+黄奕因为过气了也开始演国产恐怖片了？+让我康康这部国产恐怖片又能编出一个怎么样槽点满满的唯物主义理由，没想到也不算太烂，我看着还可以，当然也没有很好。 第一，难得是一部真的有鬼的恐怖片，碟仙有两条线，明线是娜娜母亲扮鬼吓人，属于正常的国产恐怖片套路，一般令人吐槽的国产恐怖片就是人装鬼吓人套一点转折，让前期看起来闹鬼，后期揭露是鬼吓人。另一条线则是真有鬼，从电影中捉鬼师的一系列行动可以看出导演暗示确实有碟仙。
第二，电影完成度可以，剧情逻辑说得通，主角配角没有出现特别脑残的送死行为，导演对镜头的把控不错，很多惊悚镜头拍的不错，恐怖氛围营造的可以。
总的来说，比起其他国产恐怖片，这部片子还可以，没有让我产生浪费时间的感觉。",2.0,,0
9,9,27073079,碟仙,36339d96070275acace03eb8b943265d,0f0b50d22f78449264f538930911c357,,2020-01-08 12:04:42,其实早就知道，国产的恐怖片绝对是做足了一切恐怖的噱头，最后都能用现实的问题加以解释，但是呢，我还是看了。其实老房闹鬼，低价租给母女（不知道为什么最后总是租给了母女），女儿先发现闹鬼，然后母亲后知后觉，邀请好朋友（也有前夫或男朋友）来一探究竟，但是无功而返，最后的最后，都是一开头的房东或是不起眼的什么人装神弄鬼。好了，套路我们是了解了，中间的气氛烘托这部影片还是做得很不错的。,,1.0,0
