,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27073835,回到过去拥抱你,7f775b706aa913ec33feee810ef25a25,4ff60dd483b952e78c81a5c1fa67ad9b,1.0,2019-07-26 22:09:23,虽然觉得不会很好，但也没想到烂到不行，评五星的都是粉丝滤镜过厚吧…… 1.大家都经历过高中，这个服道化不是来搞笑的吧……各个修的精致的眉毛+个性的发型+全眼线，看得我一愣一愣的。 2.人物设定都是作假的，前后分裂的厉害 3.穿越故事看了那么多，这个穿越的逻辑都没有理清 4.小彭童鞋，你的摇滚……mmm……还有身材……都是导演的锅 5.那六毛钱的特效………就算比五毛钱多一点，但也没有必要……尴尬无比 6.另外两位男主都要撩的那位是校花？！我震惊了 7.宁愿不要出现著名的景点和地址，陆家嘴？锦江乐园？ 明明是跳河，非变成跳海………脑部警察叔叔从闵行一路追着小彭跑到海边 最后的最后，电影场景可以少，时间线可以简单……但至少把故事脉络理理顺，人物转折理理清… 让人家浪费时间去看部烂片，导演和出品方不会良心痛么,18.0,3.0,9
1,1,27073835,回到过去拥抱你,82419d3e516f63bf7119d761d89e5ef6,066b63fa5b9e33bff16f64b48e62bff4,3.0,2019-07-26 19:59:08,"缓了两小时终于可以冷静下来写一篇影评(x)
【涉及剧透，未观看的朋友们慎点】 
剧情一开始就是朋克造型的张子扬奔跑，然后是高斯林作为作家讲述小说背后的故事，接着开始切入他们学生时代的回忆。

前半截剧本和剪辑问题很大，可以看出作品努力想要塑造出男主高斯林开始的天才形象和张子扬的自卑怯懦，但是，镜头远远不够，高斯林天才学霸我没看出来，但是游戏人间蛮厉害的，快要轮到自己年级大会(校庆？)发言了还忙着泡妞，而张子扬，除了干什么都要父亲批准，被同学校园暴力(满背的铆钉看得我后背发疼。。。)这些都是为了表现人物人设特地展现出来的剧情，这没有问题。紧接着高斯林和张子扬因女主归属问题发生争执，男主醒了张子扬没敢承认是他推的，然后一年里张子扬疏远了女主和男主，也从乖乖男学生变成了叛逆摇滚歌手。在一年后的年级大会上，因为女主家庭原因，他在安慰女主的时候表白，却遭到拒绝，被告知“我喜欢的那个张子扬已经死了！”张子扬一怒之下捣乱年级大会(校庆？)上台唱摇滚，砸了父亲的车。还有他大晚上跑到阅读障碍的男主书店前嘲讽男主，大声嘶吼，笑得像极了一无所有的可怜反派。
剧情到这里我都是一脸懵逼的，我想不通为什么女主会执意喜欢当初那个卑微的张子扬，也想不通张子扬过激的反应，觉得他声嘶力竭的样子让人无法理解，或者说像一个精神病人。虽然说有来自父亲的压力和同学的校园暴力，但还不至于这样孤注一掷地和全世界对抗。。。这说明铺垫不够，张子扬的境况表现还不够。 
直到张子扬在演唱现场，父亲带着警察高喊“抓住他，这就是砸我车的那个人”的那一刻，我恍悟了，我也明白了张子扬为何选择了仰身沉江。这位父亲到底是多不关心，多厌弃自己的儿子才会把警察叫过去逮捕他呢？张子扬录像回放的那一刻我的眼泪就止不住了。
后面的时光穿梭可以说是张子扬的演技高光时刻，男主穿梭到每个2017年5月26日欣喜地找到还活着的他的那一刻，张子扬看起来丧极了，他的眼里是黯淡无光的，是没有希望的。第一次女主出现在舞台下，张子扬演出途中，眼神里闪过慌乱，但是下了台女主不以为意的样子让他非常失望。第二次女主出现在台下，张子扬的表情发生了明显变化，有欣喜有慌张。第三次的时候则是明显的希冀和开心。这段并不长，但是演员表现得极为层次感，明显感知到了女主对他不同态度下他心态的改变。(三次唱爱就一个字这首歌的感情也不一样！)
直到最后张子扬穿梭各个时空发现无法改写自己的结局，你们看到了吗？他对亲人的不舍，对自己所犯错误的自责，对结局不能改写的悔恨，无数次尝试过后还是放弃希望的无奈与歇斯底里，直接坦荡面对死亡结局的平静与释然，还有不舍离去时对好友的真诚祝福。他后悔了，他挣扎了，他放弃了，他认命了。多么血肉丰满的人啊。
所以最后他笑着给朋友录像，感谢朋友为他做的一切并大方祝福的时候，我的眼泪淹没了整座电影院。
下面来谈一谈我迷惑不已的地方吧。我已经放弃这个时光穿梭的问题了，这太迷了。我更想吐槽的是男主的人设，明明开始的表现一点也不大气，也没有很喜欢女主，为什么到后来却又丝毫不介意张子扬因失手对他未来造成的影响？但是在张子扬最终离去之后，他与女主又仿佛放下了介怀幸福地在一起了？人设有一点圣父，相当的不现实。
还有电影的立意？给我看笑了。。。“我们回到过去不是为了改变命运，而是为了改变回忆”？我听到男主说出来这句话的时候我都惊呆了，甚至期待后面会有更高层次的感悟，可最后除了珍惜现在活在当下，居然还是这句话？所以最后除了男女主的回忆变美好(为了朋友拼尽一切地努力)还有张子扬(从带着对这个世界的失望与怨愤死去变成带着对这个世界的留恋，悔恨与不舍死去)，其他人的回忆并没有发生改变啊？(求解惑) 
单纯评价这部电影说不定我会气到只给一星，毕竟这种想讲好故事但是前情概要说不清，故事讲得又混乱的感觉太糟糕了，但是我愿意再加两星，一星给彭昱畅生动又细腻的表演，还有一星给彭昱畅的颜值。虽然不少人吐槽里面的摇滚造型非常杀马特，但我喜欢极了。你们没有看到吗？他浓厚的烟熏妆里，藏着两只闪烁细碎星光的眼睛，想让人细细亲吻的那种。这里建议彭昱畅给自己的眼睛和脸买一份天价保险呢，每一个眼神每一个表情表情都富有感染力，可以非常成功地带动观众的情绪，真是太难得了。",20.0,1.0,5
2,2,27073835,回到过去拥抱你,b61889485eb2ad916af3cb99802553a5,1adbd42b19c019f11490118501410282,4.0,2019-08-09 13:43:35,一颗星给杀马特造型的张子扬，一颗星给唱歌的张子扬，一颗星给在喜欢的女孩子面前卑微到尘埃里然后开出一朵花的张子扬。 最后一颗星，给那个努力把手上的牌打到最好的演员——彭昱畅。那时候的他，还没有得到《演员的诞生》里前辈的认可，还没有赚到《快把我哥带走》的观众的眼泪，还没有让自己的名字和徐峥、邓超、段奕宏排列在一起出现在金马影帝提名的的大屏幕上。那时候的他有的只是老天爷赏饭吃的天赋和不辜负这份天赋的努力。 坦诚讲，这部电影拍得好吗？不好。彭昱畅演得好吗？肯定不如现在的他演得好。可作为观众，我还是希望给这部电影及格线之上的四颗星。因为我希望这个世界上可以有魔法银币让我们能够回到过去，不是去改变什么，只是让我们去拥抱一下那个事业刚刚开始的没有太多选择的拼命抓住一切机会的年轻的我们自己，并告诉自己说：“你已经做得很好了。谢谢你那么努力。” 毕竟，那样拼命的自己，不亏不欠，顶天立地。,3.0,,1
3,3,27073835,回到过去拥抱你,26d4c026484193d2899b328aa1c9a24e,a62bb58e52fb6d36096562b163987cbe,5.0,2019-07-29 14:54:25,可能有人觉得我说的夸张，但是讲真，我在看到他们开始反复穿越的时候，脑海里就蹦出《盗梦空间》来，还记得它在映的时候周边很多人看完的人都说“啥玩意啊，看不懂”，但其实它真的很适合反复琢磨。这电影虽然和《盗梦空间》没有什么可比性，当然可能也和剪辑有一部分关系，毕竟这是17年拍的片子，压了2年才上，估计有些镜头是造成迟迟无法公映的原因把……但我是很想在下映之后再看几遍，每个人有每个人想法和解答，就很想让导演或这编剧出告诉我真相… 我再说说其他的看法……服化道感觉一般，甚至早摇滚的造型上我觉得略显浮夸，但我要表白《爱就一个字》反复唱的设定，每次唱的时候，因为时间带来的改变，张子扬的眼神、表情、唱歌的情绪，语调都不一样。甚至后来，已经不能说只有一次穿越了，究竟张子扬自己还穿越了多少次，恐怕只有导演编剧能给我们解答了… 这电影刚开拍的时候叫《完美魔咒》，可究竟有没有完美的魔咒呢？我倒觉得后来改的名字不错，《回到过去拥抱你》，在现实生活中，这就是个遗憾，因为没有人能回到过去拥抱谁，亲亲友情爱情如果都失去了，那确实很多人都会觉得没有存在的意义，得多大的精神力能支撑自己孤独的活着？何况高中生。 每个人心中的想法不说，别人就不知道，遗憾也容易产生，等到真的出问题了，可没有时间硬币给我们去弥补遗憾，张子扬后来决定放弃自己彻底消失，也是觉得自己在，那所有的人都得不到真正的解脱，他在把所有想做的做过之后，依然决定消失。他是一个没有未来的人，他把未来留给了自己喜欢的人，和自己的朋友。 说的比较杂，但是这电影我真的很喜欢，抛去那些浮夸的服化道和不知道为什么凌乱的剪辑，这电影很耐看。 还有彭彭你演的真的太好了，歌声震撼到我了，在杜比环绕的时候突然听你的歌声，干净，清透，不管外边怎样经历了什么，你还是那个张子扬。,4.0,,2
4,4,27073835,回到过去拥抱你,abd7caf4c1f5d1d2344a963f858818f6,88898cfd45fe0f4677e4021b737dd3a9,4.0,2019-07-28 23:36:44,看了一圈影评，有点懵逼，不知道有些所谓的影评人是智商的问题，还是吹毛求疵较真的问题，各种质疑让人差异 首先张子扬，一个被从小轻视打骂的孩子是极度自卑的啊，有哪个自卑的孩子是愿意被践踏自卑的，男人本身就有胜负欲，即使是最好的朋友，心里有些暗暗的较量不是一件很正常的事吗，刚刚经历了被欺负被侮辱，背后扎了钉子的从身体但心里上的折磨，又被最好的朋友示意不够勇敢追求喜欢的女孩，难道这不是对一个男人致命的打击吗，也足够激起他的愤怒啊！推倒好友脑部撞击严重，试问一个18岁自卑且长期被轻视的孩子，懦弱胆小，不敢面对自己所做的事情，撒谎难道不是很符合心理的一个态度吗……无法面对自己的冲动导致好友从人生巅峰变成社会底层的内疚负罪感，所有心灵的折磨，集中发生对于青春期的孩子性情大变玩世不恭的反差难道理解不了…… 对于高斯林知道自己一辈子的不幸是最好朋友造成的，而且撒了谎之后反而没怪他，而且东奔西跑的帮他改写历史，有人又理解不了，问题是张子扬已经死了，和一个死了的人计较，我的天啊，难道你觉得编剧应该写成穿越回去报仇才合理吗，三个十七八的青春期的孩子，正是把友情看的无比重要的时期，单纯善良容易释怀的时期啊，还理解不了说喜欢郭又调戏校花，因为回忆里他看出了郭思嘉喜欢张子扬了，难道还不用调戏其他女生来掩盖他的失望和难过吗（虽然校花实在有点不忍直视，导演被投资方逼迫了吗………），最后张子扬消失之前告诉他不要忘了身边这个人，要大胆的追求自己喜欢的，而不要把时间在浪费在制币上，都放下了，他本来也是喜欢郭的啊… 再说郭，先不说她怎么会放弃高富帅的学霸而喜欢上一个衰挫的学渣，萝卜青菜，各有所爱啊，玛丽苏杰克苏的剧情看多了吧，不要把性格模式化好吗，那既然喜欢的就是衰挫，当然rock之后的张子扬不喜欢了，而且经历了铁杆朋友的各种大的变化之后，还能那么风轻云淡吗，不接受那一吻有什么奇怪吗，不接受rock的张子扬不代表最好的朋友喜欢的人死了不能伤心，还不让在电话亭大哭了，这都是什么脑回路，为了喷而喷，最后努力过了，记忆也变美好了，终究他两还是要过日子啊，经历这么多之后可以改变心境啊，为什么他两就不能在一起，观众真是双标啊…… 虽然片子演绎的比较匆忙，很多联系交代的比较粗糙，特效做的还不如五毛钱，时间接线员似乎有什么隐喻没搞明白，穿越3027年为什么，未来世界的造型一言难尽……除了这些其他的挺好啊，另类青春片，有友情，有叛逆，有原生态家庭的教育，有青春，有摇滚，有后悔，有谅解父母的情亲，我觉得能带给大家很多启示啊，四颗星我挺愿意给，看多了太多的校园青春片，换换口味挺好……,13.0,1.0,3
5,5,27073835,回到过去拥抱你,7a67cba1df0f4df7fa91e7434dd7af54,080774cabc9ca5f548a34832b5925cc3,3.0,2019-07-27 12:05:34,首先你只能说，这部电影的切入点还不错。主旨上可以挖掘的东西非常多，友情、情亲，教育，亲友间的沟通，朋友间的沟通，对子女的教育，青少年对世界的看法和回应等。但是也只能停留在一般的阶段了。因为整部电影制作方面的操作让你猝不及防的对这部电影的主旨方面的思考全无，脑子里只剩下这个导演的不是一般的差劲。恩，真的非常的差劲。   然后我们来看一下这个电影各种制作上面的骚操作。你都没用办法从一个角度分析它的问题。他的问题是各个方面交织在一起，造成的全线崩盘。 1.整个电影的剧情   这个电影因为各种各样的原因连最基本的把故事讲的清楚和流畅都没有做好。但是剧情里面的问题，在其他问题面前真的不值一提。憋不住也想说的是这个莫名其妙的感情线。真的，感情线要做就好好做，做成这样甚至让几个主要人物的人设方面都产生的程度不一样的崩塌，我宁愿你不要这个感情线。其他看别人的长评感觉也吐槽的差不多了。 2.人物塑造 这个电影连最基本的人物塑造的都不立体，当然很多电影也会出现人物塑造太过于非黑即白的脸谱化的情况。但是这个电影简直了。我一直觉得一个人就算变态了，也是有原因的，需要有基本的人物逻辑和原因。但这个电影真的没有，一点都没有。最明显的要属张子扬的父亲和女主郭思佳。 张子扬的父亲从一开始就对张子扬无比的不喜爱和看不惯。张子扬到底为什么这么害怕他的父亲，在父亲面前唯唯诺诺，直接导致的最后的情绪爆发自爆自弃，走上绝路，完全没有怎么交代，我只感觉这个父亲有毒，除了下脸子给孩子看你还会干啥，导致最后张子扬自杀后他的懊悔和难过毫无说服力。 女主郭思佳也有点莫名其妙，喜欢张子扬但你不说，你的表现，是我我也以为你是喜欢高斯林的。而且最后郭思佳和高斯林的感情线来的就像暴风雨，但之前又承认过喜欢张子扬（虽然这一点我完全没有看出来，人物没有立住，甚至还吼了张子扬好几次），这中间毫无铺垫，那一秒钟女主本来就没有怎么立住的人设全线崩塌，甚至让我觉得这女主有毛病。 其实高斯林的人设物塑造也有问题的，但是比上面两个角色好太多了。能感受到这是一个相对完美的脸谱化人物。但是一点都不丰满。你只能片面化的感受到是个学霸，我竟然连他对友情的珍惜都没有怎么感受到。 3.整个电影的画面运用，节奏，剪辑。堪称灾难现场，导演的功力实在是太差了 画面的运用对起到剧情的推动毫无意义，甚至托了后腿，而且结合整个电影的化妆服装和布景道具，和闹着玩一样。剪辑绝对是有是有非常大的问题。从刚开始的真实世界的呈现故事的方式来看，这个剪辑方式我仿佛看了个超长的电影预告片，b站怕不是有up主能剪出更好的效果哦，也是无语了。断断续续，一点也不流畅，流水账式讲故事。其实真实世界的故事应该是需要花心思去呈现的，它对后面的几个主角对情感上的弥补和悔恨起到决定性的情感铺垫的作用，但是这个剪辑完全没有做到。甚至有点敷衍。当然后半段的剪辑也是全线崩溃的，混乱且极度不连贯，走马观花，镜头飞快的和走流程一样，莫得感情。 节奏上，导演急着给观众讲故事却根本没有意识到观众觉得你讲的毫无感情。仿佛是要赶着投胎。有的镜头明明停留更长时间会给观众更好的共情，比如张子扬砸掉父亲的车的时候，我能感受到演员的情绪到点上了，但是镜头吝啬的连个怼脸上的特写和眼泪都没有，马上就翻去了，一带而过，这个愤怒且与全世界为敌的叛逆少年的心酸和绝望我还没有涌上心头就马上打回原形。我真的气。 4.前面多次提过的情感铺垫，重要剧情一带而过，问题巨大 这个问题因为剪辑和节奏出现的一点都不意外，包括之前的父亲人物塑造问题。全剧还有各种各样的情感铺的不够的问题，这让观众根本就没有办法相信角色的行为逻辑和行动原因。详略呈现完全不正确（不对，基本没有详细呈现的部分）。举几个例子，张子扬推高斯林出现的时间太早了，情绪铺垫和人物逻辑解释的不够，会让人觉得这个他太不懂事了。然后张子扬作为朋友一不小心对朋友造成了伤害终身的伤害（我把这个事件视作是张子扬性格改变的导火索），性格产生了翻天覆地的变换，中间一点心路历程都没有交代，譬如伤心，譬如对自己的失望等，直接跳过所有，一个“一年后”一带而过。然后张子扬自杀过世后，众人反应基本无，朋友们，家人，最重要的是造成张子扬悲剧的最大推动因素的父亲。悲伤情绪一代而过，我甚至还没有感受到悲伤，就没有了。这个呈现方式太浮了。 最后一段张子扬得知可以重生之后的，不停的回到过去回看自己的人生那一段，其实是最能出戏的地方，他的回忆，他的过去，他的悔恨，他还没有感受到的却早早结束的人生都在这里得到了弥补。他的心态发生了变化，他对自己的过去也得到了弥补并得到了救赎。这一段这么重要的剧情好好拍不好吗，就这么几分钟就水过去了。 仿佛把食物强行直接喂到嘴里并强行让观众吞下去，没有咀嚼过程，没有尝到味道就让人噎住了。这样的情况全剧还有很多很多。 5.造型出来挨打 其实整个电影的造型都有问题，但是体现在彭昱畅身上的非常的严重了，前期的小卷毛还比较适合他，整个人显得自卑但是很清爽，就像是身边常见的同学一样。但是性格转变之后真的过于浮夸了，怕不是对这类风格是有什么误会吗，而且选的衣服和发型特别不适合他，显得整个人非常的壮。 6.特效闹着玩一样，且占比重大 看过的人应该都是会觉得这个特效太可笑了（除了刚开始的时间片段），动画片似的。辣眼睛，高斯林第一次回到过去的时候那个平行移动直线看的我笑出来了，怕不是flash也能做出这个效果了。而且特效的比重占整个片子的时间比重实在是太大了，整个电影才90分钟，真正用讲故事的时间根本没有好好的利用。有这炫耀特效（当然这特效也很可笑）的时间还不如做我上面说的情感铺垫和人物塑造呢。 7.配乐也崩溃 让我最没有想到的是，一个国产青春片里面的配乐竟然让我的心情毫无波动（当然可能也是因为其他太烂的缘故），在我的印象中很多国产青春片在导演功力不足，演员能力不足的情况下，配乐是可以将人强行带入剧情并且使观众产生情绪的，这电影连最基本的渲染情绪的作用都没有做到，莫得感情却无时无刻不存在。我把它归结于其他方面太不行了的问题。 8.重复和废戏太多 因为作为一个穿越题材，重复镜头不可避免，但这也太多了吧，无意义镜头一直在用，细且碎还混乱。然后废戏也很多。 最后来说说我意难平的最主要原因是因为我发现了一个共情能力强的演员。其实吧要是这部戏一烂到底我也就不会这么意难平了。但我就是觉得这个导演和制作太对不起好好演戏的演员了。 9.最后再来谈谈三位演员的演技 因为各个演员的戏份不同，能容易出彩的地方也不多 先说饰演女主郭思佳的演员，其实形象非常适合。但是台词还需要打磨打磨，只有在考场上的那场哭戏（在答题卡上画三个背影）戳动了我。前半程的女霸王形象还是可以的。在后半程表演就有点浮于表面了。姑娘你是重新见到了你喜欢的还过世了的人，我没有怎么看出你失而复得的愉快。而且激烈台词会吞字。 然后是饰演高斯林的演员，学霸形象也很适合他，长得确实很帅。但是台词不太行，最前面一段真实世界发生故事的时候还有后面很多时候都是靠他来串联的，台词太僵硬了，有点像朗读课文并且莫得感情，特别是对比张子扬最后一段独白显得尤为明显，激烈快语速台词会吞字。然后就是能看的出一点点偶像剧的演法第一次从过去回到现实起床那一段尤其明显。当然因为电影的戏点基本上不在他身上，没有非常多的发挥演技的地方，也没有什么可以评价的。不出戏。 饰演张子扬的彭昱畅可以算是惊喜吧，可以说是全剧唯一的亮点了。虽然毛病也有不少，比如也会和上面两位演员一样爆发戏的时候，情绪太过于用力和外放，整个面部表情会狰狞在一起。但我发现他很适合那种隐忍的戏，细节也很好。前期的张子扬唯唯诺诺自卑的很，眼神很干净，一个抓衣脚的动作他的人物形象就立起来了，我马上就觉得，哦，是身边哪种心虚不敢表达自己的自卑孩子了。后期三次在露天舞台上唱歌的时候因为心态的不同第一次觉得被世界抛弃的愤怒，第二次看到喜欢的女孩子来了的装作不在意，第三次得知自己喜欢的女孩子也喜欢自己时候真心的笑容，演的相对有层次感了。 撇开其他不谈，我发现他是个很有共情能力的演员。在这样的支离破碎的片子里，在导演毫无情感铺垫和胡乱剪辑的基础上，强行拉出来的高潮戏上，他能强行依靠他的眼神和真诚表演使观众产生共情能力，虽然这种情绪马上就被快速的剪辑破坏了。比如前期的唯唯诺诺，送高斯林去医院时站在手术室门口的心虚，砸车时候的情感爆发，跳江前的那个表情，留下的视频，最后和父亲拥抱，以及最后决定接受死亡那个释然的笑容等，都给我留下了挺深的影响。 真的我只能说剧本导演制作是在太拖3位演员的后腿了，意难平啊！！ 我后来发现这他两年前排的电影，又去看了彭昱畅后面拍的快把我哥带走，也是同样的架空＋青春题材。但是比在这部剧里舒服太多了，我不得不承认他的表演能把这种架空的虚假题材和现实做到贴合，并让观众在这种不现实的玄幻题材里得到感同身受。这位导演真的是没有好好的挖掘的他表演，太浪费了。只能希望他多接好电影了。 最后拉黑这位导演。呵呵 最后我写这影评的时候是5.2分，我目测会继续往下掉很多。 没有想到我因为自己的意难平写了这么长的影评。还有什么需要补充的可以聊聊。,11.0,,12
6,6,27073835,回到过去拥抱你,b6db0624625bd8c49fff24c242c1aa5f,b294f7507c86ee75e4b6107b816d2d14,1.0,2019-07-26 22:16:49,"一开始我以为我看的是部青春片，到一半发现这是部青春玄幻魔法爱情片呀！
各种剧情转折简直集合了各种“莫名其妙”之大成！
镜头切换硬得一批，现在随便一部青春题材的网剧都比你转换得好拍得流畅好哇！
第一次感受到那么笨拙的分镜切换，我发现我好的镜头语言不一定能get到但是这么烂得实在世间少有，追人的戏能来回切两个固定机位切三次，还节奏都那么慢真的看起来超级笨啊！
还有9012年了，万万没想到还能在电影院大银幕上看到巴啦啦小魔仙式的傻瓜特效，尤其彭昱畅全身化成七彩洋泡泡的镜头真的是绚烂了我的狗眼🙄
能看出来彭彭很认真在演，但在这样一个前期后期皆灾难的电影里，看到他努力表演叛逆撕去代表摇滚精神的上衣露出肥肚腩和在舞台上唱歌喷口水的时候真的超想笑啊！！
都是什么牛鬼蛇神辣鸡剧情啊，还能强行扯完真是令人佩服！
看之前还在想彭彭的电影要上映了怎么一点声音一点宣传都没的，看完明白了，千万别涉险🙃 这电影最可取的可能是宣发团队还蛮善良的🤗",6.0,,7
7,7,27073835,回到过去拥抱你,7939bf2b9ec5ef1bd1c21101a5a502d3,ce7c53880115d70eacf8ba61bd556206,5.0,2019-07-26 12:56:12,这部电影评分绝对不会高过7分，估计和导演的野心天差地别。一部对观众很不友好的电影，除非观众的脑补能力强才会给五星（比如我），多数观众必然被里面突兀的人设和冲突劝退。因为不是每个观众都拥有强悍的脑补能力。 前半部分塑造了张子扬的人格缺陷，张子扬的家庭缺陷，和朋友之间的遗憾。 后半部分通过一次又一次的穿越把张子扬的遗憾还有缺陷一一补足。 当然中间还涉及到原生家庭的反思，校园霸凌，青少年心理的重建，对友情的歌颂，对父母的爱，青年因母条跳河的社会新闻等复杂感人的主题。以及一下子堪比网大，一下子又致敬诺兰的薛定谔特效。 同时一个人穿越，两个人穿越，到三个人一起穿越，层层递进。每次穿越到同一个场景，这让情绪越来越饱满。（颇有罗拉快跑的气质）特别是彭彭唱《爱就一个字》的时候，每次穿越演唱情绪都会因为不同的经历而变化，这一点彭彭演的太好了。 总之概念做的很好，光看概念绝对是一部可以爆的电影。 缺点，非常明显。 那就是毫无铺垫的情绪和冲突，当然其实是有的，但是编剧不愿意把这些东西明明白白呈现给观众。 对于普通观众 一开始就不知道彭彭和他爸爸是啥情况，彭彭为啥被欺负，彭彭对侯的复杂感情。除非是童年和编剧有类似经历的人，不然真的搞不懂这些人吵来吵去在干嘛。总之故事转折和人物背景完全依靠观众脑补。其实也可以理解，因为电影想要表示的问题太多了，或者说张子扬身上的心理问题太多了，要一次完全呈现，没时间铺垫了，而且容易乱，对观众来说过于跳跃。（也就彭彭能演这种复杂的青春期角色） 当然，结尾也很艰难，一个人死前把所有愿望都满足了，还能怎样？当然是继续愉快去死啦。最后还要强行弘扬一下正能量，这也没办法。其实如果带入张子扬的视角，其实是十分绝望又文艺的，完全是死前走马灯的感觉，当然电影不可能这么拍。 因为我的脑补能力比较强，所以我给了五星。但是对大多数正常大龄观众来说，大概率会觉得这部电影不知所云。不过如果是去看青春颜值，或是想象力丰富的年轻观众，还是可以一看的。  （PS：彭彭长得越来越像黄渤了）,52.0,6.0,20
8,8,27073835,回到过去拥抱你,d5fe261f4d4a975e8ca693491b19ec71,6b1ab31a2360d76901f413ee31fd3ab1,5.0,2019-07-26 20:10:51,0.五星是桃妹的坚持 因为以个人的欣赏水平 小猴子的表演都很真挚也不跳戏  1.三位主演颜值演技我觉得都可以  2.剧情混乱了点，很多地方没有解释清楚。关于 “回到过去” 不魔幻也没有科学感。中途来个量子力学 ，以为要开始解释，结果点到即止。可能是我漫威系列看多了对这方面要求比较高… 3.其次是未戳到本人笑点或泪点  看得出来编剧（也是导演）想要讲家庭、父母，但都很浅。作为一名高中生，跟我的实际生活也不符，没什么共鸣。 张子扬黑化的莫名其妙，为什么犯了错就会想当混混？诚然，我可以脑补怯懦、内疚、自责让他不想面对旧友和喜欢的女生只想逃离，但这都是后话了，观影时的感觉就是突兀。 而张子扬的“叛逆”也感觉描写的不够到位。从后面看是想要追求音乐梦所以与传统的父亲对抗，但黑化前只能看出是严父，结果就是没能体现出与父亲之间矛盾的根源、升级，到最后的想死的冲动。不过，再一次，也许切身体会过的人能够一点就通，我未曾经历过所以不懂… 女主父母离婚瞒着她也不能说是做错了什么 高斯林父母给钱不给爱一笔带过了 4.优点： 1）女主挺有气质的 2）怎么说作为一名小粉丝 有小猴子的镜头就很心动 能看一眼就是赚到👀 随便吐槽： 高斯林人设有点过了 太完美了… （以及小猴子哥哥每次接的剧本 人设都惹人心疼 接近尾声高斯林机场找女主干嘛没看懂 和女主隔着玻璃画爱心十指相贴也没看懂 Warning：配图严重剧透 本人朋友圈配文:-(,12.0,1.0,2
9,9,27073835,回到过去拥抱你,baf9d85f594d33c994e347bfbd7e1eab,0a8b5af7b80260a4d7a2daa533409567,4.0,2021-02-17 14:22:24,冲着侯明昊和彭昱畅两大鲜肉看的这部电影，5.8分的成绩有点低到也觉得可以理解。！首先女主的选择有点迷，大眼大嘴大个子（百度说172高，我觉得报低了，模特出身目测至少有180吧），跟两个特有少年气的鲜肉怎么看怎么不搭，身高不匹配不说，怎么看着也是大姐姐型的，完全不是同龄人的感觉，实际也确实女主年纪比较大，这种大气的长相更适合职场女性吧。不过还是很钦佩彭彭的演技，两种性格的少年转换自如，我确实看好他是未来影帝人选，侯明昊感觉有点本色出演，颜值确实可以。剧情其实带点科幻色彩，时空穿梭，体现了友情的可贵，反而爱情线让人不太在意了，虽然前半部分剧情有点中二和尴尬，还要吐槽一下女二，怎么找到，这么丑的女演员怎么找到的，委屈小猴子还要跟她演对手戏，最尴尬的还是个校花级别的迷之自信的角色，我只能佩服猴子的信念感了。虽然前面让人总忍不住有弃剧的冲动，忍到后面开始无数次时光穿梭后反而特别催泪，尤其两个男孩一起在舞台演唱《爸爸》和最后张子扬穿梭到未来和白发苍苍的父亲拥抱时我尽然泪流满面……其实看到最后你会发现这部电影反映的东西和立意还是蛮深刻和戳心的，尤其是关于亲情，父母与孩子之间的纠葛让我深思。想起近几年每每看到新闻有孩子不堪压力自杀的，有杀害母亲的，总让人触目惊心不能理解，其实年少叛逆时我们用觉得父母是我们的仇人，不能理解我们，可是当你经历过岁月，回望年少的叛逆，很多感受完全不同了，电影最后其实更多是关于这个的深思。所以，坚持看到最后的我还是给了四星，一星是给彭昱畅和侯明昊的，期待他俩还有合作，都是我很喜欢和看好的新生代演员。,,,0
