,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27098365,超人王朝,207284ee2e5127f1bad0550a38120ce2,0bc651ef7626a7868da4cbfdbe70f96f,3.0,2019-02-17 08:24:34,"这篇影评可能有剧透 

                        长发超人和礼服露易斯都超美，穿着黑衣服的长发超人看上去就像视觉系摇滚的吉他手，这个形象要是能在真人版里还原该有多好。 超级男孩挺逗，干了不少当代年轻明星都会干的事儿，墨镜超人后期不再出现了，半电子超人就算整容也要当超人的节奏，大锤超人很有钢铁侠味道，脱装甲也...

                         ( 展开 )",7.0,,0
1,1,27098365,超人王朝,8abac74e423f137bfb0695038a706eb7,ae2837893d85f58cdb971b7a98b612e7,3.0,2019-01-25 16:16:57,"这篇影评可能有剧透 

                        超级小子出现了！好评！ 钢人出现了！好评！ 机械超和根除者一起现身！好评！ 卢秃子跟露易丝调情，差评！ 机械超跟露易丝调情，差评！（已经有三个人跟露易丝调情了……） 超级小子战五渣，差评！ 贱贱的卢秃子，好评！ 机械超背后是达叔！好评！ 闪电侠和绿灯侠好基友耍贱，...

                         ( 展开 )",16.0,,7
2,2,27098365,超人王朝,0653d357b3fd46cf67b3da79b36318c8,50dcc7c62903c197e9183ce9ff2f26b6,4.0,2021-02-24 15:32:39,"水准和上一部差不多，一部承上启下的作品，剧情发生在超人之死以后，突然冒出四个超人争着上位挺有趣的，一个个比谁的政治最正确，结果超级小子脑子不行，第一个出局，真是浪费卢瑟的基因，黑人钢铁锤神刚出场很帅，但其实是个弱鸡，就是个普通人包了个铁皮，实力不行也不想搞...

                         ( 展开 )",2.0,,1
3,3,27098365,超人王朝,bb2c5e07d3068ba5fe13307f2c19b9ab,19cc1b0194e50e38f971acb11a834f31,3.0,2020-09-21 16:46:16,"跳看，情节普通， 有三点值得留意：超人的重生与复活？小男孩兼具正邪俩种血统？毁灭性的畸形复仇反而凸显了爱的强力与深沉？ 主线情节很普通，但角色带有强烈的戏剧性和矛盾性，当角色的探讨具有一定的深度之后，又跟电影的明快激烈的故事情节相衬托，势必使电影上升到更高的...

                         ( 展开 )",,,0
4,4,27098365,超人王朝,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2019-12-31 20:41:55,"超人死去活来——《超人王朝》 今天聊聊电影《超人王朝》。 片名Reign of the Supermen (2019)。 《超人王朝》故事发生在动画电影《超人之死》之后，超人力战毁灭日后，筋疲力尽，死在了露意丝·连恩Lois Lane的怀里。所有人都在沉痛缅怀超人离世，大都市乃至整个地球陷入无超...

                         ( 展开 )",1.0,,0
5,5,27098365,超人王朝,aacce79e57f906b71e017781631cc099,8178108142c7c2283d4833f303a4658d,4.0,2019-03-28 16:18:24,"这么丰富的剧情完全可以拿来做动画长篇，或者院线版的动画电影长篇，拍真人也不会逊色。 逻辑线我个人觉得没什么问题，Hank的怨恨现实里就不少。不过感情线和福利真是一团乱，估计内部团队也在CP战。 虽然说采用的是N52设定，我因为刚复习完96版超人TAS，觉得这部致敬真的不少...

                         ( 展开 )",1.0,1.0,3
6,6,27098365,超人王朝,acb883bb53964a9e3d6e800f7c146592,6aeb84d138c0373e2901570c290d91b3,4.0,2019-03-20 23:00:32,"《超人王朝》 当英雄陨落、当正义撼动、当信仰不在。希望泯灭，绝望永存。 能照亮黑夜的不单单只有希望之光，自利的灰色之光，同样可以划破黑夜。在漆黑无际里我们以为那是真正的“希望之光”殊不知，那只是另一处的“暗黑无界”。 正义与邪恶、善良与恶毒、好人与坏人，它们就...

                         ( 展开 )",1.0,,0
7,7,27098365,超人王朝,df4f1864e6ed5156e5a89a54483e6a4c,b77cb2f39fe49f0d3a106069eeecda4f,3.0,2019-03-13 19:34:23,"这篇影评可能有剧透 

                        故事发生在超人死之后的事情，由于超人的死，导致正义联盟内部环境变得微妙，同时为了适应这个没有了超人的时代，有一个商业局头利用了超人的基因改造了一个年轻的克隆超人，另外曾经被超人救过的一个黑人利用高科技制造了一套超人战甲，还有一位宇航员被宇宙黑暗势力改造成了...

                         ( 展开 )",,,0
8,8,27098365,超人王朝,ae5020d957f21e85e3b4ab098c3a86a9,f119d3ccdb97756d39c9a45b91ebcf0f,4.0,2019-02-19 04:12:23,"这篇影评可能有剧透 

                        超人之死的上一部，可圈可点，这一部立刻就没经费了。导演！告诉过你上一部不要打的太嗨了！ 超级小子，我滴天，这个小脾气，可爱。 尼玛卢瑟，你属老鼠的吗，怎么哪都有你。 啊钢铁大锤，尼玛你这科技树是怎么点出来的？ 露易丝，向着超人动画里，可以吃遍所有人的万能女神进...

                         ( 展开 )",2.0,1.0,2
9,9,27098365,超人王朝,d88a1e2e24251d6e30423554643e564c,42d6968c77af4b9a518bfc66301c8456,3.0,2019-01-26 22:28:47,"这篇影评可能有剧透 

                        大家好，我是中国人民的老朋友张大户 超人王朝的背景是在“超人之死”事件之后。 在2016年的《超人大战蝙蝠侠》中，有对“超人之死”很详细的展示。 超人在和“毁灭日”的大战中，力战而死。 超人死后，出现了4个新超人都准备拾起超人的衣钵。 他们分别是超人小子、钢人、机械...

                         ( 展开 )",8.0,2.0,8
10,10,27098365,超人王朝,8b1a0aa61a739c80f05a6434ed620b98,cc894abdd7c07a14139511547ad434ac,1.0,2019-05-11 18:25:47,"这部动画片，剧情完全颠覆了原先的内容，违背了创作者的初衷，因此评价很差，不知道这种刻意诋毁超人形象的剧情的动机何在？哪有这样编剧的，完全是乱搞；让广大观众失望；看这部动画，觉得是在故意破坏超人的形象，故意篡改经典；评价很低； 这部动画片，剧情完全颠覆了原先的...

                         ( 展开 )",,5.0,3
11,11,27098365,超人王朝,ed12c6580b92f8f8cb92a850d8bbcff0,04408b4a286211809ec141fd5286964e,4.0,2019-01-16 04:56:56,"这句话是IMDB别人评价的，再贴出来，拿来警示华纳高层和DC电影部门: The real justice league writer should learn something from animated movie writers.Great works with the reign of the superman. 正联团灭，达叔掌控全局，代理人入侵地球，步惊云版黑超长发回归挫败达...

                         ( 展开 )",23.0,19.0,12
