,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27116384,夏福特,a42a4d2fa6b69cf22db1eff756e943d9,a84dfe83202974bfd189dbcfc545b551,3.0,2019-07-10 23:35:22,"首发于公众号“影探” ID：ttyingtan 作者：钱老板 转载请注明出处 这是一部续作。 原作是在2000年的时候，局长首次作为主角参演的电影。 当时的反响并不好。 如今时隔19年，续作总算被拍了出来。 好不好看？ 且听我慢慢道来—— 纽约，哈林区。 臭名昭著的危险地带，帮派聚居...

                         ( 展开 )",15.0,3.0,0
1,1,27116384,夏福特,1a8ebe4d40c14de1b0b9281bab43e62e,5e724ee8fb47ae2aeb061df520111832,3.0,2019-07-02 21:05:18,"推荐一部娱乐性很强的作品，《杀戮战警》最新版，轻松上手，放肆欢乐。 美国电影《夏福特》 作品类型：犯罪 主要演员：Samuel L. Jackson 故事概述：Shaft（老中青）三代联手查清JJ（Shaft）好友之死真相 上映时间：2019年6月14日在美国上映 第5部“shaft”电影了，上世纪70年...

                         ( 展开 )",9.0,,1
2,2,27116384,夏福特,ad9415e3915fdad258d800d5dfa5fdbd,d079ead6e124483fb94c6ae2971750f5,4.0,2019-09-05 02:32:48,"一部传统、老旧剧情的电影，虽不烧脑，但值得观看！一个演绎FBI小人物开挂之路的警匪片；一个破碎家庭和解与团圆的亲情片；一个祖孙三代齐上阵，英雄豪情，战胜邪恶的个人英雄题材电影……主题内容确实没有新意，但为何还适合观看？关键胜在细节！ 演员：应该没有人怀疑塞缪尔...

                         ( 展开 )",,,2
3,3,27116384,夏福特,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2019-07-17 22:45:13,"今天介绍一部美国爽片《夏福特2》。 片名Shaft / Shaft 2 / Son of Shaft (2019)，别名辣手刑警2：勉强父子档(港) / 新杀戮战警(台) / 杀戮战警2 / 铁杆神探2 / 夏福特之子。 这“夏福特”也算是一个美国IP。 1971年第一部《夏福特》问世后，票房和口碑都不错。时隔多年后，华...

                         ( 展开 )",2.0,,0
4,4,27116384,夏福特,20ff800ae656c600a18e372970b4ecf9,578ad8e10dc4edb52ff2bd4ec9bc93a3,4.0,2019-07-17 10:54:59,"塞缪尔 杰克逊继续延续以往的自然表演风格 不做作，很生活化，剧情跌宕起伏 有动作 有喜剧 扣人心弦，美国好莱坞演员还是实力在那呢 不服气不行 美国人舍得花钱拍片子  一分投资 一分不一样的电影效果 ，发展中国家的电影还是和发达国家的电影有一定的差距啊 演员阵容 剧情  背...

                         ( 展开 )",,,0
5,5,27116384,夏福特,d179c59a769e00ccc14fde66ee4c94bf,c44eae43c7b0abc1d1e3ba3250f84976,2.0,2019-07-14 22:56:41,"“神盾特工局”的“局长”也有自己的家庭琐事，这部片子是最合适“父子雄兵”这个名字的作品，别误会！并不代表这部片子有多优秀，一部纯黑人的片子，言谈举止、背景音乐、社会氛围、故事主线全是黑人元素，每个人走路都感觉会来一段Rap的样子，或是B-box也未尝不可。演技分化...

                         ( 展开 )",,,0
6,6,27116384,夏福特,4f014e7cb81f7432267c86a5a688172d,532b17264b0732cec4ec9890b25280be,5.0,2019-07-06 12:02:56,"这篇影评可能有剧透 

                        真的是一句横贯的剧中的一句话“老一套”。塞缪尔真的是本色出演了，一如既往的很黄很暴力，哈哈哈哈。和以往的单独展现塞缪尔的电影不同，本片里面是着重深挖“父亲”这一角色的不同展现。 讲述了夏福特从小就离开了儿子，只是代表性动物送给儿子不同阶段的礼物（说真的，那几...

                         ( 展开 )",,1.0,0
7,7,27116384,夏福特,1aca94cd7817ea00e065692db970dec5,5edc2ca8efa3e474af9e8362fb485d42,5.0,2019-07-04 23:00:10,"很多经典语录：道歉是女人给男人挖的坑，真男人会为自己做的事情感到自豪。 展示一个主流电影里面没有的美国贫民区黑人区，里面的劫匪，毒贩，妓女等等。 一个真实的美国，美国贫民区黑人区，里面的劫匪，毒贩，妓女等等 餐馆里的桌子是防弹钢板做的，必要的时候可以当盾牌使用...

                         ( 展开 )",2.0,2.0,0
8,8,27116384,夏福特,84cc78505cf89561aa75043b54e89879,0557fa923dcee4d0f86b1409f5c2167f,4.0,2019-06-15 12:13:24,"神盾局局长爆笑出演，化身知心大哥哥帮助shaft junior追妹。 祖孙三代齐上阵，嘻嘻哈哈屠毒枭 女主有点像瘦版谢依霖 局长哪还用亲自上场，直接喊一句 Avengers Assemble，大事小事全搞定 看之前看这部电影是Action，还以为Shaft Junior能像 Jon Wick一样大打四方呢，没想到是局...

                         ( 展开 )",1.0,3.0,0
9,9,27116384,夏福特,3cc12d55657aa1198c4e4e5e43730730,8e52453d08fc34d6082b0b47779e2054,3.0,2019-09-17 08:30:24,"这篇影评可能有剧透 

                        “真男人做错了也是抬头挺胸” 夏福特（塞缪尔·杰克逊饰）是一名私家侦探，除恶扬善，做事张扬不计后果，属于无政府状态。而他的儿子jj（杰西·厄尔饰）是fbi的一名网络专家。jj的好友因为过量吸毒意外死亡，jj感觉案件存在疑点，并且开始了调查。 一个人的力量是有限的，jj并...

                         ( 展开 )",1.0,1.0,0
10,10,27116384,夏福特,8680474b16d50dfb8b7c83286dae83df,c8ead131514efd365b74c0f003fe8b11,4.0,2019-06-15 09:57:31,"影评第421话《杀戮战警2》——黑色铁金刚版007 影片《杀戮战警2》于6月14日在美首映。 本片是《黑街神探》系列的第五部作品。 由理查德·朗德特依主演的《Shaft》（《黑街神探》）于上个世纪七十年代在美大获成功，男一号理查德·朗德特依因此在当时被称为“首位黑人动作英雄”...

                         ( 展开 )",7.0,3.0,3
