,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30134129,马蒂亚斯与马克西姆,c67d7405108040e5364f222314c13f3f,10eb2d9d6e3e86abc4a2acefe04d510e,2.0,2020-02-24 17:47:04,"这篇影评可能有剧透 

                        如导演Xavier Dolan曾在社交平台上怅然过，为什么自己十五岁岁那年没有一部《爱你，西蒙》——于是三十岁这年，他送给了自己一部《马蒂亚斯与马克西姆》。 [爱你，西蒙] 最早有关于影片的文字英文新闻出现在大约两年多前，一篇好莱坞报道者的新闻稿，其中报道到M&amp;M的剧本一...

                         ( 展开 )",83.0,2.0,72
1,1,30134129,马蒂亚斯与马克西姆,dd61269043353eb71c191e9cfb8e5f97,2072ca1607791cb6014b439f3c4a9b45,4.0,2020-02-16 00:07:49,"这篇影评可能有剧透 

                        不是影评，是一个剧情分析，但是豆瓣只有影评栏可以发长文…… 很多人在看多兰的新片的时候，会把它和导演的直男情节联系在一起（再加上导演本人还出演了），从而产生“本片为弯爱直”的情节的预设，这很大程度上会影响观众对于两位男主的感情的理解。 无论是马克西姆还是马蒂...

                         ( 展开 )",47.0,,5
2,2,30134129,马蒂亚斯与马克西姆,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,3.0,2019-05-27 11:29:03,"看死君：在奉俊昊赢得金棕榈大奖的掌声中，第72届戛纳电影节终于告一段落；但对于国内的影迷们而言，等待电影的日子才刚刚开始。趁着热度不减，我们这几天依然会持续跟大家分享今年戛纳的热门片。 今天还是想聊聊备受争议的泽维尔·多兰。这场争议始于《只是世界尽头》，然后是...

                         ( 展开 )",27.0,4.0,6
3,3,30134129,马蒂亚斯与马克西姆,6ff90e26e7a02911bdf38551279fd790,98e6b46997041269a7e3267325599437,5.0,2020-02-15 00:39:46,"这篇影评可能有剧透 

                        在情人节看完等了好久的Matthias et Maxime，莫名有一种圆满的感觉。 多兰这次竟然不再是一个咄咄逼人、有点神经质的话唠，而变成了让人心疼的壁花少年。如此改变让多兰变得赤裸和袒露；有人说片子的矛盾都很表层，我无法认同——问题一直都在，无论是2019还是2099，同样的问题...

                         ( 展开 )",26.0,,3
4,4,30134129,马蒂亚斯与马克西姆,885d1be8e9117c3cb5f442d105c2822e,ba9a8310c500feece2cfa84cf6e6577d,,2020-02-06 11:37:03,"專訪 Xavier Dolan 談執導新片 Matthias＆Maxime：「友誼就是沒有性的愛」 從他的靈感到他關於愛情和友情的自白，包括他的性慾和性別問題。 Vogue 與Xavier Dolan會面，大談他新發行的電影Matthias &amp; Maxime。 by ALEXANDRE MARAIN 16 OCT 2019 隨新片Matthias &amp; Maxim...

                         ( 展开 )",11.0,,0
5,5,30134129,马蒂亚斯与马克西姆,86779b270e00452d62d516fdc858e655,4fa3337314f0b7f0efdcb1306c4111d1,3.0,2019-10-17 06:02:08,"这篇影评可能有剧透 

                        多兰最近两年的新作都没看，《只是世界的尽头》是被预告劝退，《约翰多诺万的生与死》则是看了各处评价决定放弃。幸而今年这一部去了戛纳的新片倒是友邻都给了还可以的评价，加上预告片里的男主演实在没办法令人拒绝，于是兴致勃勃地在正式上映的第一天就去看了。（此处怨念一...

                         ( 展开 )",13.0,,1
6,6,30134129,马蒂亚斯与马克西姆,a041e8dea6ecfd10598060cf15293bbf,14c20beb66cda30e88e91b764471e4df,5.0,2020-02-16 14:28:04,"这篇影评可能有剧透 

                        这部影片中有很多不够完美的地方。 第一个，妈妈与儿子的冲突。我相信我们都看过我杀了我妈妈，那么对于这一个情节，其实我不太喜欢，我知道多兰在尝试塑造自己年少悲惨的经历，但为什么要再一次重复我杀了我妈妈，而不是另寻出发点，家庭的悲惨为什么不可以从父亲，以及其它家...

                         ( 展开 )",25.0,1.0,1
7,7,30134129,马蒂亚斯与马克西姆,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,3.0,2020-03-12 21:17:21,"看死君：“花园”第21期，我们要聊的是泽维尔·多兰去年的新作《马蒂亚斯与马克西姆》，曾入围第72届戛纳电影节。 如今迈入30岁的多兰，其“天才导演”的光环已然黯淡；即便影迷们始终爱他，但也不得不承认，他近几年的作品如《只是世界尽头》《约翰·多诺万的死与生》等，确实...

                         ( 展开 )",13.0,,0
8,8,30134129,马蒂亚斯与马克西姆,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,3.0,2020-09-23 22:40:02,"在过去10年间，加拿大导演泽维尔·多兰几乎把天才的灵光都用完了。作为戛纳的“亲生子”，多兰从处女作《我杀了我妈妈》在戛纳“导演双周”一鸣惊人，之后几乎每一部作品都能轻而易举地入围戛纳，《幻想的爱》和《双面劳伦斯》相继入围“一种注目”，《妈咪》（2014）首次入围...

                         ( 展开 )",1.0,,0
9,9,30134129,马蒂亚斯与马克西姆,8517694d83e154176f335fc4621320e8,da8e5a01bd3ae1b0b2856f47236abd53,4.0,2020-03-12 15:42:00,"《马蒂亚斯和马克西姆》故事非常简单，正如片名一样，两个人，两条线。两条线在开头、中间和结尾有三次短暂的交汇，对应着两人感情逐步递进，其他时间则是对马克思（马克西姆）一地鸡毛的生活和马蒂（马蒂亚斯）难以自持的暧昧情愫的描写。 一开始，马克思只是想帮忙，马蒂打赌...

                         ( 展开 )",3.0,,0
