,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30151048,请寻找我,c2ec817b258795dcafb663ea61f85dff,f50bcd6acb57e14e4f05bb85d043c71b,3.0,2020-05-05 19:11:25,"这篇影评可能有剧透 

                        只看电影名字“ Bring Me Home ”和简介的前几句，再加上剧情前四十分钟，很容易让人误以为这是讲述一个韩国家庭寻找被拐卖孩子的普通剧情电影：为寻找孩子放弃事业的父亲，自责的母亲，最终被毁的家庭，以及金钱高于亲人感情的兄弟。还有恶作剧的熊孩子，性侵未成年人的成年人...

                         ( 展开 )",8.0,,6
1,1,30151048,请寻找我,c43aafb09825cb6024d465f7f0aede29,63b4e0aba692c9b555136116d3b66d14,4.0,2020-04-14 21:43:15,"这篇影评可能有剧透 

                        因为，如果导演不让女主开挂，我们这些 观众，就冲进去手撕导演。 我看了三次，才看完整部影片。 第一次看到女主在家里独自回忆儿子时，关掉了。 第二次看到小男孩被踢进水里关掉了。 要不是看到短评都在说，女主后半段开挂，我都不会打开它第三次。 因为太TMD 虐了，身为人父...

                         ( 展开 )",13.0,,6
2,2,30151048,请寻找我,034cf894e9fc7dbad8ea8e6e16d1a660,d001c3734b109d4277f5a2a8d506d6f5,3.0,2020-04-14 00:31:14,"这篇影评可能有剧透 

                        人性的恶让我害怕，没想到是这么冲突激烈的一部电影。明面上老婆在工作显得若无其事是老公在寻找儿子，但实际自己生活的老婆连家里没米都不知道。决定工作的老公面试接到恶作剧短信还是放弃了工作去找儿子。老公的死是第一个泪点，只是小孩的恶作剧而已，第一次点题小孩说我没...

                         ( 展开 )",7.0,1.0,3
3,3,30151048,请寻找我,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,3.0,2020-06-06 01:13:48,"女主去渔场之前，看的非常投入，情节非常吸引人，女主演技也不要太好。 儿子失踪，日子就是靠寻子的希望苦熬，丈夫放弃一切，寻找多年，女主精神也有点问题了。结果，雪上加霜，丈夫被恶作剧短信所骗，车毁人亡。儿子被拐到渔场做童工，饱受虐待。这个悲情铺垫确实到位，张力太...

                         ( 展开 )",5.0,1.0,5
4,4,30151048,请寻找我,2583baa1137d4a68dcaf0139f35a97dd,c225bcf1ae1a41b013427d5d816d8c9c,3.0,2020-04-20 05:42:08,"这篇影评可能有剧透 

                        最近，条姐看热搜时只有两个感受。 第一是恨，第二是疼。 恨一个禽兽，鲍毓明。 一个47岁的中年男人，与一位“未成年”强行发生关系，恶心到令人发指。 疼一位少女，王星星。（化名） 14岁，花季，却每天都活得像是在人间炼狱。 被洗脑，被侵犯，试图报警，却始终无能为力。 光...

                         ( 展开 )",12.0,1.0,5
5,5,30151048,请寻找我,5d310ff495a2dc1d8dc557f87f22b2df,26073f4cc14214a43d6c5baafcc05bd8,4.0,2021-03-10 14:50:13,"这篇影评可能有剧透 

                        剧中很多场景，虽然不是恐怖片，却胜似恐怖片带给人的害怕和冰冷。。。 （1） 简介 首先简介一下，一个母亲寻找自己的幼小孩子，而孩子在钓鱼场被当作童工受尽虐待，母亲历经千辛万苦才找到，但是带回的路上却并不简单，养父母、警察和邻居的干预，差点将孩子和母亲全部害死，...

                         ( 展开 )",,,0
6,6,30151048,请寻找我,10c81aee079d504fcb8ce9bc53c5998a,d4a40f1d96e13aec6b85f30c3c1ce37f,3.0,2020-09-02 18:51:47,"这篇影评可能有剧透 

                        看了这部电影，我不评价它的艺术水准有多高或者有多少的bug，我只感觉这部电影真的很写实，无论是在韩国还是在中国。 因为，在多年前的中国农村，这种丢失孩子的家庭，和买了孩子然后虐待孩子的家庭，我都有过亲眼目睹。 我目睹过丢失孩子的家庭，往往就是两口子离婚，或者家里...

                         ( 展开 )",,,0
7,7,30151048,请寻找我,601564035e5416387fb868269f479150,2235b2eb5b1a2d6dc4ef427e44e52a2a,4.0,2020-06-09 11:37:56,"这篇影评可能有剧透 

                        的小叔子接的。 正好，他利用这个线索，从他嫂子那里，诈骗得来了5万美金。用不到开口借了，呵呵，用不到他媳妇理所当然的话：她没了孩子，当然得疼她的侄子。 她得到这线索后，就去了那个钓鱼场。 那是怎么个钓鱼场啊，各种罪犯云集。电影里表出来的，就有那个明显有恋童癖，...

                         ( 展开 )",,,0
8,8,30151048,请寻找我,395bc9845dcb29a71f3651d3aa009ef0,0a79d2e788f647cf8c8bee8cad4bf94e,4.0,2020-06-08 16:10:12,"剧情有点弱，比如女主为什么一个人上，为什么没有帮手，前面那个经常和女主夫妻聊天的小哥后面就掉线了（我一直以为他后期应该起点作用），为什么警察明明把女主铐上了手铐却被女主打开了，等等等等。 抛开这些小节，先看看电影里的坏人们。 前面女主老公因为接了恶作剧的短信...

                         ( 展开 )",4.0,1.0,2
9,9,30151048,请寻找我,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,4.0,2020-06-05 17:56:09,"这篇影评可能有剧透 

                        一直对煽情片不太感冒，喜欢用客观而冷静的角度去分析剧情和细节，但还是被其中一些情节所打动。 即使是再冷静的父母，在丢失孩子以后，依然会很容易被真真假假的蛛丝马迹所迷惑，这才是最真是的情感流露，这也是造成女主丈夫意外死亡的诱因。一个家庭失去孩子，就跟失去了希望...

                         ( 展开 )",3.0,,0
10,10,30151048,请寻找我,8308a3501b5112ee4203dcd3c45cf757,b6f6fc86cfaee00ce7e3981360e1b457,3.0,2020-05-31 22:49:28,"有电影在手机里存了有些日子了，一直想看，但是没有看。今天终于得闲找了半天的时间把它看完。要说从一开始真的没有看出来，这是李英爱。虽然气质很像，但总觉得脸和以前有些不一样了。而对于这样的电影，可能从名字就能看出来，是类似于等《等着我》那一类的寻亲电影，而且它...

                         ( 展开 )",,,0
11,11,30151048,请寻找我,2452a850ec4bbc8e18766ff4279c9a31,f6e6e2c558c6c90cfd473a29624378d8,,2020-05-31 12:34:22,"不是很理解一个得到消息自己去的人，对待坏人如果没有策略只身前往，拯救不了想拯救的人，还会让自己陷入险境。 人性本来就是冷漠的，没有人会去在乎别人的事情，只能自己救自己。 不要太相信别人，但是做事情真的不能这么直接去寻找，一定要想更好的方法，更有效的方法 这个编...

                         ( 展开 )",,,2
