,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30168032,战斗民族养成记,ec40e35bb513421cfe218a5f03759cfc,367e2e1a566d9230e76be2b71c66310a,2.0,2019-01-24 10:43:25,"《战斗民族养成记》这部电影到底讲了些啥？ 上网随便打开一家旅行社官网，目的地输入“俄罗斯”，选最贵的那个行程，认真看一遍产品特色，恭喜你，省了一张电影票和一桶爆米花。整部电影就是一部俄罗斯冬季旅游指南。 蟹子对于中外合拍片有种本能的拒绝，因为大概率是烂片。但是俄剧真的很硬核啊，完全不输美剧，只是在中国比较小众。  俄罗斯人自己拍的电视剧版圈粉无数（俄名：我是如何成为俄罗斯人的，中国译作：战斗民族养成记）作为一名资深俄剧迷，蟹子觉得电视剧版剧情还是略显夸张。  2015年，也就是克里米亚回归俄罗斯的第二年，也许是为了改变西方世界对于俄罗斯的刻板负面的印象，俄罗斯拍摄了20集电视剧《我是如何成为俄罗斯人的》，中国译作《战斗民族养成记》。 讲的是一名美国报社记者，突然被派遣到俄罗斯分社工作，他在俄罗斯发生的各种搞笑的事情。每集一个主题，选取的角度很良心——普通俄罗斯人的日常，比如：俄罗斯人是如何做事的，俄罗斯人的生活习惯，俄罗斯人的相处之道，俄罗斯人为什么不爱笑。 也有俄罗斯人自己对一些事情的看法和想法：比如：俄罗斯人怎么看待上司，俄罗斯人怎么看待去国离乡，俄罗斯人如何看待工作。 总之，没有惊天动地的美俄互怼，就是把普通俄罗斯人的日常生活和工作拍给你看，笑过之后，也化解了外国人对俄罗斯的种种偏见和误解。    顺便表扬一下俄罗斯人民的自黑精神，黑警察（必须的）、黑医生，黑房东，连维修工人和隔壁大妈都不放过，黑起自己人来一点面子都不留，实诚可爱的民族。    至于美国人民到底有没有看到这部片子已经不重要了，因为它在中国火了，剧中饰演寡头的大叔还在INS显摆他在中国有多火。这一火不要紧，被中国资本盯上了，你懂的，美国女婿换成了中国姑爷，寡头爸爸操碎了心。  伊拉的前任男友罗马有个姐姐，她叫安娜，罗马的同事是一名来自美国的记者，这位记者小哥爱上了安娜，而那时候罗马爱的人还是伊拉，电影版里面只剩下伊拉这条感情线，罗马也变成了前男友。  电影版里这三位团灭  简单来说，这是一个中国小伙为了爱情和俄国爸爸斗智斗勇最后抱得美人归的故事。    电影场景没有放在庄重大气的莫斯科或者美丽绝伦的圣彼得堡，而是选择在远离城市，中途连手机信号都没有的林海雪原深处，睡的是小木屋，取暖靠人抡斧头劈柴，行吧，谁让人家爸爸是寡头，房产多。 影片一开始，寡头爸爸听说伊拉带男友来见自己，他手举长剑信誓旦旦的说：伊拉不可以成为离过婚的女人，但是她可以变成寡妇！    可见他在乎的是这个男人对伊拉的爱和忠诚，可见到彭鹏之后，画风突然歪了，有多歪？  欢迎体验俄罗斯冬季游项目  合着考验你，就是给你好吃好喝好招待，还派出豪华团队全程陪玩，这和做你女儿老公有一毛钱关系？说好的爱和忠诚呢？
 更夸张的是，彭鹏和寡头爸爸还有俄国大叔一起蒸桑拿的时候，一晃而过的特写能看到两位俄罗斯老男人手里拿着蜂蜜和琥珀。对，就是中国人跟团游俄罗斯掏钱最多，上当也最多，专坑中国人的俄式特产。容我大胆推测，编剧应该干过导游。 整部电影的剧本就像是网上搜刮拼凑的，汇集了所有关于战斗民族的无厘头段子，是中国人对俄罗斯刻板印象的一次集中展示。 一提起俄罗斯，你首先想到的什么？战斗民族、美女、伏特加、寒冷、AK47、毛熊、喀秋莎。。。这么说吧，这部电影除了普京大帝和俄航，其他你能想到的段子和搞笑梗全都打包在一起演给你看，毫无新意。 战斗民族这个外号本就是对俄罗斯人的揶揄和调侃，虽无恶意，但难免冒犯。 更何况围绕着这个口号臆造的各种夸张的段子被大量传播和渲染，成了中国互联网的一大奇观。 真心想吐槽，我看网友的留言比电影精彩多了，还不用花钱买票。 这不是真实的俄罗斯和俄罗斯人，这是部分中国人想象中的战斗民族。  电视剧版中，一开始罗马的人设特别不讨喜，偷奸耍滑，爱慕虚荣，还不停的坑同事，坑姐姐，但有一点让人感动，他是真的爱伊拉，不管寡头爸爸怎么威逼利诱、设套挖坑，他都抗住了，到最后我竟然真的希望罗马和伊拉能在一起。    让我吃惊的是，电影版里的罗马竟然变成了醺酒懦弱的邋遢男人，那个机灵爱动歪脑筋，干净利落不喝酒的帅气小哥哪去了！  伊拉还是那个伊拉，罗马变成了战斗民族  你会发现，这部电影里所有的俄罗斯男人，是！所！有！全部都是邋遢的酒鬼，就连彭鹏送给寡头爸爸的见面礼中式茶具都被粗鲁地用来装伏特加，这很符合中国人对俄罗斯男人的想象：战斗民族=酒鬼+美女  俄罗斯寡头  战斗民族寡头  俄罗斯横跨欧亚，文化上兼具东方属性，境内194个民族，不少是黄种人，相比欧洲其他国家，俄罗斯可以说是从心里到文化距离我们最近的西方国家。 寡头爸爸的两个保镖就是布里亚特人，导演大概是为了突出文化差异，把黄种人保镖换成了满脸胡茬的斯拉夫大叔，事实上，经常看俄剧的小伙伴都会发现，俄剧里面经常出现中亚国家的黄种人配角。    吃西餐、过圣诞、听歌剧、爱芭蕾，金发碧眼、体面优雅，这是俄罗斯人西方属性的外在表现，但另一方面，俄罗斯是一个有着漫长专制传统的父权社会，和美国这样的民主国家有着天然的隔阂，当美国男人遇到俄罗斯女人，这种深层次上的文化冲突就会出现。很可惜，这种东西方文化的碰撞在电影里我们看不到。    共同拥有4300公里的漫长边境线，也有着相爱相杀的过往和爱恨交织的复杂情感，但我们依旧是最熟悉的陌生人。邻居可以选择，邻国不能选择，既然上天把我们安放在一起，不管你爱他还是恨他，都无法对他视而不见。 不妨在空闲的时候，买一张机票，亲自踏上那片北方的土地，试着去唤醒沉睡的西伯利亚，去守候摩尔曼斯克的极光，去倾听勘察加的野性呼唤，去触摸贝加尔湖的蓝色灵魂。。。。。。 当然，你必须走进莫斯科，走进圣彼得堡，去特列季亚科夫画廊期待一场惊艳邂逅，在马林斯基剧院感受天鹅湖的绝美震撼，还要寻一个午后，迎着涅瓦河畔的微风，在普希金、托尔斯泰，屠格涅夫的字里行间发现俄国人的细腻与忧伤。 配图来源于网络，侵删",57.0,6.0,11
1,1,30168032,战斗民族养成记,d7bab438e2dfdc8b21a781e089a58a44,5f04709867a46d306e1414a10b235778,2.0,2019-01-23 15:12:56,"从头到尾充满了对俄罗斯的故有偏见，电视剧情怀1分，演员卖力0.5分，寡头小公主父女情0.5分。 作为一个剧粉，习惯了阿廖沙的蠢萌和罗密欧的蔫坏，突然转到电影里演员生硬的剧情，真的不习惯，不能说演员没认真演，只能说剧本太烂了，衔接太烂，剧情生硬。死命把电视剧的梗以国产喜剧烂片的形式去表现，太差劲了。原剧用环环相扣的一系列外国人在本国常见的场景编排成小故事，用阿廖沙的报纸专栏（美国人在俄罗斯的见闻）做总结，虽然不是一个很完美的表现方式，但总归没拍成电影这么烂。 还有这结尾，什么鬼？？？妹妹莫名其妙要来俄罗斯，之前不跟哥哥一起来，哥哥来了俄罗斯才几天，妹妹签证都办好了机票都买了，你是不是后边有人办这么快？来了在莫斯科被抓进乡村派出所???再黑毛子也有点底线好不好？坦克在人口密集区放炮，后面再打就出来烟花？喵喵喵？819的时候毛子也没敢放炮啊？你当克格勃不存在的吗？就算你是大寡头，现在普京大帝当政，信不信分分钟刮了你？俄罗斯大雪纷飞，妹妹国内夏日装扮？喵喵喵？俄罗斯的冬天跟我们黑龙江内蒙北边差不多温度，俄罗斯穿貂上海清凉夏装?会玩。  全程想看的保镖兄弟就架了个胳膊，拽了个罗马下拖拉机？再说了寡头费了那么大劲追到的真爱卡佳女王哪去了？？？？情怀都败干净了。 一个中医小伙子喝伏特加喝倒了一个常年酗酒的老寡头？喵喵喵？一个弯枪管猎枪爆了棕熊头?不是脑浆纷飞吗？车上拖的战利品那熊很完美啊？  后来一看，国内导演，嗯，抱歉，回头我给你5星。  还有一点！中国家长别光看预告片就带小孩去电影院行不？？？没有个分级提醒一帮小孩瞪着伊拉和男主缠绵，罗马在酒吧接电话时候，家长也不管孩子，这特么。。。。就不会把孩子安排明明白白再来看电影吗？   那天有点过于失望了，我还是回头看看我的Аня去压压惊。Игнат, давай!  我就再加一条，真的最后一条，你不说你老家东北的吗？哪体现的？你们一家不是普通话就是上海话，就因为东北跟俄罗斯近，跟俄罗斯一样冷？你怎么不说你老家新疆呢？你怎么不说你老家内蒙呢？非得加上个东北的？喝倒寡头？你不知道内蒙的朋友坐下这个梗吗？？",23.0,,19
2,2,30168032,战斗民族养成记,61764e9100a864da8f166a5acfd0ca02,744c1e20f643185a84ec4e42422e1efb,2.0,2019-01-25 09:20:10,"看之前我预言，中外合拍，电视剧拍电影版，炒情怀饭，近几年的烂片几大元素凑齐了。 那为什么还去看？ ——因为聊胜于无啊！ 在这个欧美电影一统天下，日韩电影靠粉丝支持强势分羹的时代，我们俄粉的待遇不是没市场，是几乎没有生存空间啊！ 在各大网站上，基本上还没说完“我喜欢俄罗斯”这半句话，就会被“144万平方公里”警告，或者被扣上“文革余孽”的帽子，打翻在地，踏上一只脚，永世不得翻身…… ——天可怜见！我们不过是喜欢俄罗斯文化，喜欢俄罗斯电影里深刻的内涵，精美的摄影，高颜值的人物，还有那无处不在的略带忧郁的气质，怎么就一定要被扣上“黄俄”的帽子？ 《钢的琴》里仅仅是出现了一些苏联元素，一首《伏尔加》一首《乌拉尔的花椒树》就足以让我们小小高潮一下了，更何况这次是直接上俄罗斯电影？  虽然是合拍…… 




1.全市只有一家电影院有上映。 首映的时候，电影院不无恶意地安排在了午夜场。凄冷冷的电影院里，加上我一共三名观众。 哦，另外两位是老爸带着上小学的女儿。他们说买票买错了，退不了，只能来看。


2.出于俄粉的身份，出于对剧版的喜爱，再加上第二天不必早起，我成了这座城市唯一一个真正来看这部电影的人。  顺便说一句，这家电影院后来还排了几场，但据我在美团上调查，上座率为零。  差一点我就成了片子在这座城市唯一的观众。


3.男主角那张憨厚的脸，完美体现了黄种人的一切短处:方脸，粗眉，细长眼睛，静态像杨志刚，动态像毕志飞，笑的时候像崔永元，不笑的时候像小沈阳。

演技也是乏善可陈，眼神空洞，无论紧张和开心都只会咧嘴，可以说是长了张实力派的脸，贡献了一场偶像派的演技，就算是新人也说不过去。


我不相信导演用同样的片酬找不到更帅/更有演技的小演员，哪怕去中戏找个学生都比他好。严重怀疑是带资进组。


4.女主较剧版逊色很多。剧版的时候虽然同样没演技，但至少那张小脸看着娇嫩可人。这次在糟糕的化妆，摄影，后期的作用下，一张俏脸却只剩下了苍老和狰狞。


抛开颜值，这个角色本身也没什么亮点，作用类似于星爷电影的女主角，只要摆花瓶就好了。


5.本剧摄影师估计是伏特加喝多了，丝毫没有继承俄罗斯电影出神入化的摄影艺术，镜头下的景色凌乱，人物显老而且显黑，甚至都不如剧版——还是第一次发现摄影不好的俄片。


6.抛开颜值，男主也是毫无亮点:认识一星期就头脑发热跑去求婚，为了一头熊哭得像个孩子，最重要的是面对什么都逆来顺受，经不起一点撩拨或激将，这样没主见的男人真能给女人幸福？编剧谈过恋爱吗？ 而且你们什么意思？这年头你拍国人跪舔欧美的片子尚且会被人鄙视，更何况跪的还是一个经济不到中国一个省，政治上四面楚歌，靠着卖资源苟延残喘的俄罗斯？ 喊你一声战斗民族，那是我们俄粉的一点情怀问题，苏联才是我们相爱相杀的老大哥，你们俄联邦就是个不争气败祖产的大侄子，懂不懂？ 我们喜欢俄罗斯文化，喜欢的是天鹅湖，喀秋莎，山楂树，陀思妥耶夫斯基，格瓦斯，波波沙，喜欢的是他们的闪光点。你弄个不学无术，靠黑手党发家的暴发户出来，就敢代表战斗民族了？ 结尾还来一句“就这样，我被战斗民族接纳了”，就这么迫不及待给人家当上门女婿？！跨国恋最重要的是什么，尊重！至少在这段跨国恋里，我没看到男主和他祖国的文化多么受尊重。 难怪人家不待见你，物之反常即为妖，连我都怀疑你是别有用心，再加上老丈人是富翁，图人家钱的嫌疑实在太大了。


7.俄罗斯寡头的女儿，前男友无数，仅仅因为在中国和一个男人相处一周，那个男人又跑到俄罗斯找她，她就认定非他不嫁？真把男主角当安德烈公爵了？！ 另外，男主在哪儿？上海！ 上海是什么地方？老外扎堆的地方，见个俄罗斯姑娘很难吗？至于见一面就惊艳到男主那样的地步吗？ 这简直是郭小四写的《小时代》，打着大上海的幌子，骨子里却是十八线小城市刚刚脱贫的小市民心理，急于想让城市接纳自己。


8.在人家家庭聚会上当众求婚，把人家架火上烤，这是得多二才能做出的事？


9.罗马这个剧版的搞笑担当，在这里完全失去了灵性，只剩下一脸胡渣和一股中年男人的油腻感。感谢编剧导演，你们毁掉了原版唯一的回忆。


10.两个仆人的存在感都比女主强。


11.剧版两个傻大个保镖，全程打酱油。


12.没让原版里人气爆棚的女魔头主编出场，简直是掉粉操作。


13.全片唯一让人眼前一亮的角色是男主妹妹，可她明显演技不在线，每次出场都在憋笑。


14.最后高潮部分，妹妹被关到警局，不问青红皂白就开坦克炮轰警局？有这样的哥哥/男朋友，是爱你还是害你？另外真当普京老了管不住这些寡头了？


15.导演，编剧，摄影，后期都该拉出去点天灯，音乐是唯一勉强好评的地方，至少我听到《货郎》《喀秋莎》的时候还算有点共鸣。


16.冲着美女去的朋友可以不用买票了，女主拍得奇丑，露肉情节不到10秒。


17.我身后的父女俩笑得很开心。


18.剧版辛辣的讽刺，神转折全都没有了，只剩下老套的剧情和乏味的煽情。老丈人反复刁难，最后被狗血的“舍命救人”情节和男主几句比网易云评论还酸的告白感动了，这套路放九十年代都有点过时，幸好没让女主奉子成婚。


19.几天前我看《来电狂响》，虽然同样是套路/尴尬煽情，至少人家演技是在线的，逻辑性也算可以说通。点名表扬乔杉，本来在我心中的谐星形象已经被《缝纫机乐队》和《来电狂响》彻底颠覆了。


另外，我就不拿马丽，霍思燕，代乐乐欺负《战》女主了，真心觉得奚梦瑶演傻白甜都比她强。 插句题外话，《来电狂响》里最让我惊艳的居然是代乐乐，《恶棍天使》里的杀马特包租婆卸了妆，气质竟然如此出众。紧绷的嘴唇，轻松冷峻的语调，略带嘲讽的眼神，简直是文青最喜欢的那种知性女，难怪俞白眉会娶她。

20.快看完的时候，女朋友发信息问我电影怎么样。我想了想，回复:某种程度上讲，和俄罗斯的经济一样:简单，粗暴，过时，总卖情怀，明明依赖中国，还整天意淫！",21.0,3.0,6
3,3,30168032,战斗民族养成记,24e4f0caeeac9f32b93d9609f96d6a4a,63c207a9638f65c7915842c90c5dd2ae,5.0,2019-01-19 21:01:33,"更新：2019.10.19 央视六台正在播放中文配音版，这么快央视买到播放，果然拍的不尽如人意啊。(可能我除外) 我先申明哦，我是看了电视剧之后才来看这部的。所以不符合你的见解，很正常。比起电影，我更推荐你去看电视剧。 整体好评，跟电视剧那套其实差不多故事点，电视剧党一本满足。故事场景缩小在别墅周边，更像是情景喜剧加了点DLC拓展包。 俄方那边基本原班人马，可以说诚意满满。就是中资这边估计以资本的力量(说好的寡头呢？？)安排了男主，世界线开始发生了变动，可怜的罗马惨遭打压，形象也变得很糟糕。宅子里出现的大妈大爷也算是丰富细节了，不像是电视剧里那样，偌大的宅子，没几个人住。至于小姑子的戏份，其实就是开头的引子和收尾的伏笔，不要想太多。 那只棕熊，好像是之前俄罗斯的网红熊？电影转场强加的文字字幕过于尴尬，能理解希望达到的效果，但是手法不行啊。第二次坦克的BGM响起，其实有些不合时宜。再开炮也没什么意思，倒不如转头冲向警察局，却在撞到前戛然而止来的有意思。而且，彩蛋里再开炮的时候其实是放的礼花弹，更加冲淡了坦克本身的""战斗""感觉。 包袱基本上就是原来电视剧的那些，战斗民族的梗。说看片名就知道是烂片的，你有考虑过片名是中国人翻译这个因素嘛，翻译的不好也不能因果到电影不行吧。

其实评论里说的跪舔，黄俄，我明白意思。原来电视剧，是说一个美国人来俄罗斯的经历(当然是俄罗斯人假扮的)，就是俄罗斯人民族自强的那种自嗨，但是剧集里除了俄罗斯人的自我YY，也很多有对自己的自黑啊，一正一负才精彩。
当然，电影里这些就变了味儿了。从未了解过这个系列的人看来，就跟像是单一吹捧俄罗斯，而不是像《唐人街探案》那样，通过泰国的负面形象来让我们自己YY开心。

Whatever，罗马你还是跟小公主在一起吧。我就不信那么胆大心细的你，会真的因为寡头欺负你几下，你就放弃了。 .",12.0,22.0,11
4,4,30168032,战斗民族养成记,b0cf0d78fae34354c9f532851e380bf0,0e73f8cf74868b3a63109119683286cd,1.0,2019-01-24 21:57:01,第一次疯了一样找机会写影评 请所有看过俄剧学俄语懂俄罗斯文化并且期待这部电影的Друзья不要给电影院交钱了，完全不能去看 不是说剧情一无是处，而是宣传的俄语对话在上映中就全变成国配了？？？毫无语言的感觉和逻辑，根本没有了灵魂。全剧唯一一句演员说的俄语就是男主来了一句картошка，字幕写的是土豆和牛肉也没听见有没有说牛肉也没听出来语法。开局那个娶你爸的问题那是俄语的语法使用错误导致的理解，你直接硬翻译谁能明白你想干什么？后面很多的语言笑话根本就没有理解力，你还字幕解释用于不当，那你为什么不用俄语原文让大家听一下哪怕是彭鹏这个语音在俄语里他们无法一次念对的感觉？简直就是对观影人群的亵渎！ 后期整个变成一个男朋友到家里陪安纳托利扯淡娱乐各种玩的逻辑，包括后来回来的第一季最后闹掰的罗马也变得那样萎靡不振，和伊拉对话的漫不经心，和中国现男友的没有一点前男友的气场的对白，感觉之前那种爱情的过程到这里变成了一纸空文 紧接着就是喜闻乐见的桑拿、跳冰水、越野、打猎 坦克的出现其实并不太令懂俄罗斯文化的人惊奇，毕竟买个坦克也不是一个寡头不能做到的事，买个坦克也便宜就是养的问题。但是想请问，一个中医，顶多会开车就罢了，竟然能开坦克能最后还移动炮管开了一炮这符合逻辑吗？编剧脑残了还是怎么了？中国人比俄罗斯人都战斗民族了？随便一个上海医生在警察局为了妹妹被关起来就敢开着坦克在警察局开炮闹事压坏路边汽车？幸好都是认识人设的局能解释通，这要是正常，早就拘留了吧！中国人可以在中国也能在警察局这么跟警察交涉？敢问我们是自黑吗？还是想表现我们中国人不懂规矩没有礼貌意气用事？连安纳托利都不敢这样在警察局扯淡，一个俄罗斯第三首富、福布斯排行前25的人都能比一个中国毛脚鸡懂得事理？ 打猎剧情设计极为不合理。打猎的猎狗，还能跟一头熊对峙不了？是为了救狗才开枪杀了熊？真正的解释应该是出于害怕和情势危急才第一反应用枪自卫然后打了两枪打死了熊吧！然后因为人冷静情况下是想到朝天开枪出声示意同伴让安纳托利他们来救他。打猎这段也变成了一个败笔。变成了中国人都热爱动物，做圣母了。那你逞能去打猎杀熊干嘛啊？ 掉水里那段，还行挺感人的一小点，感觉是能为了爱付出，不顾一切去保护自己的心上人。但是你直接就跳水里了也不看看人是不是在水里，人下去了不浮上来的吗？不喘气的吗？说明中国人都为了爱情无脑不考虑问题？ 安纳托利没了戾气，没了大佬不愿意把女儿轻易嫁出去的气势；昔日哪怕滚雪球谎话约编约掩饰不住想要得到爱情的罗马也变成了衣冠禽兽社会混子；双胞胎兄弟的出场还没这个鲁本机会多，第一季电视剧的笑点直接抹消掉；预告片的母亲保守思想也砍掉了变成全家支持？ 留下来看完了制作组字幕，这是和我那个北电制片系同学的习惯。最气人的地方到这里了。请问中方写制作组人员名单的时候连字体都不考虑吗？用中文字体打俄语字母留着每个字母之间都带着空格的中文符号模式？连名和姓之间都不加空格？连字体问题都不考虑？这就是我们中国人对待外国的态度？对待一个我们戏称战斗民族的人员伙伴的态度？这就是拿着钱骗IP还想着营销反而偷鸡不成蚀把米的典型例子。 不用怀疑，完全的毁IP、烂营销、不注重观影体验。这就是被耽误的烂片。请还给我该有的《Как я стал русским》,13.0,1.0,7
5,5,30168032,战斗民族养成记,5726d4f94c861f992e34689c0669c13b,8932cec9c3f43f071148ab8fba5f1ed0,,2021-10-29 20:27:10,电影的主题是爱，爱这一世界上最美好的字眼之一。所爱隔山海，山海皆可平。鹏是中国女婿，为心爱的俄罗斯女孩跨越万水千山来到俄罗斯，闯过了一关又一关岳父的俄罗斯挑战，蒸桑拿、猎杀熊、喝伏特加等这些充满历史民族特色的活动在电影里以喜剧的形式被表现出来，情节气氛幽默又温情。他能顺利通过考验一方面是因为爱的真心，另一方面可能也是因为他骨子里有和俄罗斯民族相似的血气方刚真性情。,1.0,,0
6,6,30168032,战斗民族养成记,38031b9b9f29ef92d543194f8293ca85,581ba25b98fd8db95553cc7bd40aee8c,,2020-12-20 19:29:17,看了一些影评发现都把这部电影与某部剧联系在了一起。反正我是没看过那部剧，所以抛开那部剧来讲，这是近些年，我最喜欢的一部喜剧。我不了解俄罗斯，对于俄罗斯我只知道战斗民族这个词，但是这部剧已经把这个词展现的淋漓尽致了， 我不知道你们说的歧视什么乱七八糟的，这部剧没有什么更深的意义，但是它真的可以给一个普通的观影人带来欢乐。也请希望某些小可爱们，从最基础的观影人角度出发。他们没想从一部电影学到什么，他们只想在周末去电影院，或者窝在家里看一部简单的喜剧。这部电影可以满足。,,,0
7,7,30168032,战斗民族养成记,1f6873714f82a7115096b8ef67db48ea,782bd023f2cf0db1dc0bd223d7c2707f,2.0,2020-10-15 22:15:58,原本看拼酒的片段来看的，原以为是个能表现一个中国男人气概的片子，结果完全被恶心到了。 整体来说， 从设计上来说，与俄罗斯女人相爱，找了一个上海小男人，这一点虽然有点反差萌，但也凑合了。但是没想到，从头到尾， 除了拼酒时有一点男子气之外，根本没体现出什么男子气。男主太柔弱了。如果我是老爸，我也不要这样的女婿。特别是猎熊的一段。男主打到了熊却哭得像个女人。真心丢人。 这部片子是为了反差而反差。是为了与俄罗斯男人的粗野相反，而特意让中国男人表现得没有一点男人气。这一点实在是倒胃口。 如果把男主设定成东北爷们，比俄罗斯人还能打，还能扛，事事就挑得起来，多漂亮。现在却是一个小受的榜样。 已经不知多久了，即使是在爱情片中，真能立得起来，有担当，却又守规矩的男子汉形象完全没有。要不是小受，要不是没文化的流氓。很多电影中的男主设定还不如很多抖音快手的情节设计的好。 这部片子期望4星，观感2星，不值得一看。,,,0
8,8,30168032,战斗民族养成记,354808706d62bb19743891baec738298,ace31f451ae00b684abd336da60787c9,,2020-08-27 20:06:45,抖音短视频看了个片段，然后找的完整版看的。 我看下来的体验，说真的，我觉得还好。及格分是没问题的，我心目中可以打6.5吧。至少剧情连贯，也没有很尴尬，虽然看一下就能猜出后面的剧情，但是笑料还是有的。 笑点也算密集，后面温情也到位了。 总比《分手大师》之类的国产片要强吧。真的。 大概就是讲一个中国女婿怎么通过考验获得俄国岳父的认可。中国小伙毅力非凡，而且这个身材真的很好啊，明显是健身练过的，颜值也硬朗过得去，我觉得完全ok啊。很实在啊。 俄罗斯美女五官立体，也很好看啊。 最后关于孩子姓氏，婚礼举办地等也接地气啊。 美中不足，就是俄罗斯真的是坦克街上随便开的吗。这个岳父的实力和背景没有交代清楚，就扣点分。 总体而言，无聊看看问题不大哈哈哈,,,0
9,9,30168032,战斗民族养成记,14b67cf58de7e04024576e02b1bcd58a,a6784fced61b84bac09cef0331243e57,,2020-05-04 12:41:03,"偶然想起去年在俄语视听说课上看过这部片。现在想来，虽然就只是部图一乐的流水烂片，但也流露了一些男权的意识型态。看起来好像是中国女婿为求真爱，去俄国接受准岳父考验。实则更像中国女婿和俄国丈人争夺重要财产的所有权，而这个重要财产就是女主角。在很长的历史传统中，女人都只能是男人的财产，举世皆然，也许至今仍是如此。所以女性先锋存在主义者波伏娃会说：「我们无法在男权社会下另辟苍穹」。
不过，使故事更复杂的因素是民族问题。这部电影绝不可能是华女配俄男，而必须是华男打败俄国岳父，迎娶俄女，而且还要有女生外向的情节。为何？其实是因为中国在权力和资源的争夺上成为了阳性吧。而俄罗斯的成为了中国的阴性，其阳性的一面不可避免被「阉割」。(表现在年轻气盛的中国女婿总是风光地战胜俄罗斯中年岳父。然后岳父弄巧成拙、无能为力，相对之下，显得不堪。)
这部片无非就是把西洋对待东洋的那一套学过来，再施加到一个不东不西的俄罗斯之上。说起来，选用俄国作为对象，这是个有趣的点。现阶段东西对峙中，东洋还未占据上风，总是要避其锋芒。所以作为东洋的中国只能在既东又西且山河日下的俄罗斯身上，借用这类题材，满足胜利欲望的幻想。",2.0,1.0,0
