,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30181079,阴曹使者,312f718ebdd5050a99d885fec1aa327d,3928b92c42f1760e47c047b006c0494e,3.0,2019-09-01 10:26:57,电影一开始便介绍了男主（朴叙俊饰）从小的经历，母亲因为难产而死，信教的父亲也在一次工作中殉职，当时只有8岁的勇厚备受打击，将前来参加父亲葬礼的神父赶走。长大后的勇厚成了一名拳击手，并保持着连续胜利的记录，但是他的心里总会发出一些声音，驱使着他，让他变得暴虐。 勇厚的父亲是个善良的人，即使弥留之际也向勇厚灌输正能力，做人要善良。后来，勇厚的手无故流血不止，不得不找神女帮助，神女告诉他他的身后有很多恶魔，仍然安全是因为有父亲戒指的庇佑。 虽然影片有两个多小时，但是剧情显得有些拖沓，男主无意中发现自己的血可以驱魔，便加入了神父的驱魔队伍，凭借自己高超的武艺和恶魔一决高下。 个人比较喜欢这种题材的影片，可是本部影片把剧情铺的太满，发展过程过于平淡，以致后来都没有很好的圆回来。后面的几场动作戏显得有点突兀，毕竟男主是个拳击手，不是武打明星。 神父和男主驱魔的过程也是削弱黑暗主教势力的过程，双方并没有直接针锋相对，而是暗自较劲，直到最后，才开始近身搏斗，应了男主的老本行，可是这不是一部宣传精神和信仰的电影嘛，就这样变成了驱魔的动作片，恶魔面前，无需什么剧情，打就对了。 一方驱魔、一方作恶，影片的反派总是说蛇语，不觉让人想起了哈利波特，难道也是同一个魔法学校毕业的嘛。影片在逻辑方面影片也有一些bug没有交代清楚，比如男主为什么在父亲去世后会招惹那么多恶魔跟着自己，血液可以驱魔的原因等等。 还有魔鬼每次现行的时候就喷墨汁是什么情况，遇到善良的时候吐出了心中的罪恶吗？神父那么弱，在遇到男主之前都是靠着什么驱魔的。可能由于电影的时间有限，剧情搭建方面还存在着很多不足，如果拍成电视剧的话可能会好看的多，起码这些疑问都会想办法铺垫出来，解释清楚。 影片开场还有崔宇植的客串，想想两人在《寄生虫》中也有过短暂的对手戏，算是给对方的电影捧场吧。虽然被划分为恐怖电影，但没有什么恐怖镜头，只是个别镜头有点血腥，吐墨汁的时候有点恶心，整体看来虽然影片有许多不合理之处，但如果喜欢这样题材的还是可以看一看的，毕竟还属于提升阶段，应该支持一下。,8.0,2.0,6
1,1,30181079,阴曹使者,5fbb52ccccf7f6fda1b12317818cd6f9,5fdbdd06d3b3ea9c3c057f86f19ba351,5.0,2019-09-07 01:18:31,爸爸永远是儿子心目中最有力量的启蒙教育，心中只有充满爱和正义，才能让孩子更加健康成长，抛开宗教，这部电影让我体会到作为父亲应该时刻让孩子感受善良，感受正义，父亲更加需要树立正确的形象；相信不管是电影中的神父，还是中国的侠客，亦或日本武士，欧洲骑士！正义永远都会有人去伸张！也希望看电影的各位大佬从不同的角度去看待，既然是商业片，肯定是需要用商业的手法去表现，我觉得片子很棒了，虽然知道是宗教片子，但是还是看的很自然，因为不论何种宗教，何种精神，能让人相信正义，伸张正义，这才是永恒的主题！,6.0,1.0,0
2,2,30181079,阴曹使者,c84b771d43018d624305557fb158523c,695ab415750dee797212f3450b12c6a7,4.0,2021-07-09 12:43:10,吃饭的时候看的 ，当然前面也有用倍速看。整体还算不错的 男主爸爸的灵魂每次出现并击退恶魔的情节，我倍感善与正义终于在驱魔片里表现那么强大 看过太多外国的驱魔片，总是让我很失望，很喜欢把结局反转驱魔失败。怎么天使斗不过恶魔？善良斗不过邪恶？ 我特别喜欢看信仰形成的力量，喜欢看善的力量成功驱魔 并且这部片结局也是没有反转 看的时候会有振奋自己的感觉 男主很帅气，本身是格斗的身体又得到善良灵魂的力量 屡屡击退恶魔，看起来倍爽。,,,0
3,3,30181079,阴曹使者,5d2973e10b377fdd96f15b9f927d4a3d,734f9e60472fb82c9483b1053223a2b6,3.0,2021-01-11 00:08:05,这部电影给我的感觉就还行，之前看过《鬼客》，比较类似的驱魔故事，相比之下这个就逊色了很多。打斗动作比较一般，直拳摆拳勾拳、挡、再踢一脚，虽然符合男主的知名拳手人设，但是两个小时一直这样就有点儿没意思了。 前面的铺垫有点儿太长了，差点儿给我看睡着了。中间男主被陌生人三言两语就左右了选择也是人设差点儿崩塌，一个运动员的坚持和信念去哪儿了。后面男主的意识和父亲见了个面从而获得buff感觉又有点儿草率。 特效一般，我比较喜欢最后反派被打倒，从水池下伸出来的好多好多手，有点儿视觉上的小冲击。 总之吧，三颗星，真的不能再多了。,,,0
4,4,30181079,阴曹使者,cabbf0e205057c2f8d20aed97e545f6c,de39269e42e407ff62395a17520b4557,5.0,2021-01-06 13:42:06,开始男主和他爸都是非常相信天主的，他爸是个交警，一次任务的时候死掉了，然后祈求神父救他爸，然后神父说，天主会救的，然后男主相信了，然后他爸挂了，男主很伤心，再也不相信天主了。一转眼男主长大了，成了一个很厉害的拳击手，然后突然一天晚上开始，天天做噩梦，手还莫名其妙的流血，去医院检查，没有查出原因，而且流血不止，男主听了司机的话，开始时不愿意的，因为已经不相信神了，去找一个女巫，女巫告诉他晚上去一个地方，然后男主去了，然后这个时候老神父和他的助手正在安排一个魔鬼，男主去了，开始很厉害，打不过，然后男主登场，暴打魔鬼，男主流血的手，还能直接封印魔鬼，然后男主就惊了，开始还是不相信，而且这个时候大魔王出现了，相信邪蛇，然后献祭人类获得永生，然后接连搞了好几个事情，男主和老神父开始对抗反派，然后老神父就被暗算了，而且大魔王献祭了直接，变得特别强，把男主打晕了，但是男主梦里见到了她爸，他爸给了他力量，然后打败了大魔王。结尾放的却是老神父的助理。第二部估计要说助理,,,0
5,5,30181079,阴曹使者,84188366b2521dc55cb078c53c7b1868,aa4bb76ecb06a9ecc57998abc2777a57,,2020-05-31 13:38:40,其实还挺喜欢看韩国这一类的电影电视剧的，之前的鬼客真的超级喜欢，这个电影不知道是因为电影时常限制的原因还是怎么回事，总觉得少了点什么，也不吓人，前面铺垫的有点长，以至于后面结尾很仓促，有点虎头蛇尾的感觉，其实这类剧情的拍成电视剧应该是很好的，有足够的篇幅来交代起因以及人物冲突，电影时间太短，很多都匆匆一过，让人一头雾水,,,0
6,6,30181079,阴曹使者,2abd8f3c655e1feb96fa715554f61728,25db84c4faec13d52096a1f447a113f9,,2020-02-29 22:01:21,信仰，是个很神秘的东西。根植在人们内心中，并且有很多方式传播，比如宗教。 男主朴勇厚从小就和他父亲一起经常去教堂做祷告，他父亲也是个善良正直的巡警。  在一次执勤中，因为拦下一辆车检查，车里的人怀疑被恶魔附身而强行冲卡，也导致男主父亲重伤。尽管小勇厚很认真地向上帝祷告，但是也没办法救回他的父亲。   自此，他痛恨所有带十字架的东西，认为信仰这些根本没办法得救。 长大后的他成为了一名职业拳手，在对阵时因为看到对手的十字架纹身而差点将对方打死。  在回程的飞机上，勇厚睡觉时做了个奇怪的梦，他握着一个十字架手心一阵剧痛，烧出了白色的火焰。醒来后发现手心也多了个伤痕。   在医院检查也得不出结果后，他终于听从建议来到一个神婆家中，根据指引来到了一个有十字架的地方。 正当他进去，发现两个神父在进行驱魔，其中一个叫崔神父的年轻人受不了跑了出去，剩下老神父一个无力抵抗。勇厚上去救了他，发现他手心伤痕能够驱魔，经老神父介绍，这种叫圣痕，只有少数信仰极深的教徒才会有。    同时帮勇厚驱除了体内的附魔。 当老神父来到勇厚家中帮他进行祷告，并留下十字架后，勇厚果然睡得好了，再也没有半夜附魔来骚扰他。但是出于小时候对父亲去世的影响，他把十字架还给了老神父，果然晚上又被骚扰无法入睡。 他的内心多少也有些动摇，在跟随一起驱魔的过程中，也慢慢了解了神父和他的信仰，很多时候都不能察觉神的旨意，但还是要相信，去坚持内心的善良。 而他们不断的活动也惊动了他们一直在找的“黑色主教”，这个献祭别人灵魂给大蛇的魔头。他先是伪装手心也有伤痕来哄骗勇厚，让他误以为神父其实在利用他而已。  然后将恶灵附身在小孩子身上，失去了帮手的神父异常吃力，在千钧一发之际，勇厚终于鼓起勇气来救了神父一命。  在他们受到小朋友和修女的感谢下，勇厚内心仿佛也有了对信仰不同的看法。  然而，黑色主教再次将小孩的灵魂献祭，得到了一个法器，并且重伤了神父。  在教堂里崔神父用圣水治疗他，勇厚不禁再一次问上帝，为何对善良的人无动于衷，同时披上教袍以自己的方式解决黑色主教。     当他来到老巢时，因为圣水和圣痕加成的火焰，轻松解决了一众黑教徒。  然而黑色主教将自己的心脏献祭，成为了半人半蛇的怪物。    在这样的躯体下，普通火焰没办法伤害他，男主第一次被偷袭击倒。 在昏迷时他意识里跟多年前去世的父亲见面了，父子间一个深深的拥抱了却了他一辈子的遗憾，也得到了善良正直的父亲最有力的加成。    火焰瞬间燃烧，而这黑色主教再也不是毫发无伤，在一番双方的激烈厮斗中，男主充满火焰的一拳最终击溃了黑主教。  但是祭坛里的无数双手也拉走了黑主教的躯体。仿佛埋下了后续的故事一般。  男主顺利驱魔，回来看到了治愈的神父，整部影片也在深深的拥抱中落下了结局。  看到这里，这部韩国的宗教片还有动作、剧情等元素综合，有非常好的观影体验和刺激感。但我更为看重的，是男主的心态不断转变。 正是因为有深深的信仰，当希望破灭时才会有深刻的恨。男主的母亲因生他难产而死，善良的父亲也逝去了，在勇厚眼里，信仰上帝的人，都得不到上帝的庇护，那为什么还要虔诚？直至遇到了神父，看他满身因驱魔留下的伤痕，不论有无帮手都坚定邪不胜正，深深相信神的旨意的人，或许他内心深处的坚冰，也在逐渐被打破。 信不信神有什么关系呢，一定要做个相信正义保持勇气的人，“如果都没人保护善良，那我去做吧。”此刻的信仰，本身已经超越了形式的存在，而成为守护光明的坚定内心。这也是这部影片，所带来的一种关于信仰的正面解读吧。,1.0,,0
7,7,30181079,阴曹使者,481b49ff097c956bccbc8ab0acdd6aa7,80a49fac182e87d9f41753e6523d8da3,3.0,2020-02-19 10:17:01,逝去的警察爸爸，就是心中的信仰，更是支撑男猪前行的圣父。他对儿子说，要做一个好人，要一直善良，更要铲恶锄奸。于是儿子变成了拳击手，但是一直根植于心的信教，却因为一而再的夺走他的母亲和父亲，他恨。 安神父的出现，宛若父亲重生，答疑解惑，让他把仇恨放下，重新审视内心。他说，我们小时候听父母的话，并不是因为完全理解父母的意思，我们听从的理由，是因为他们真心爱我们，相信他们疼爱我们而已，天主的意思也是要去理解而不会要去相信。我们经历的所有痛苦都是有原因的，只要信仰并跟随迟早还是会懂得其中的道理。 内心深处依旧有信仰，右手手心流血，那是“拥有耶稣被钉在十字架上时生成的伤痕的信仰至深的信徒”才能拥有的圣运，可以说升级成为拥有童子血的圣子，外加慈父圣父给与的遗物戒指，再有安神父的圣水加持，男猪火力大开，变成最牛神父助理。 有几个bug不得不说。 首先就是被恶魔附体的人群，居然没有一个统一性，类似天主教七宗罪， 傲慢、嫉妒、暴怒、懒惰、贪婪、暴食及色欲这样的排序来寻找附体者，而是很随机的寻找。看来黑色主教道行不深，也就擅长蛊惑。 崔神父转交给男猪的盔甲圣袍，怎么就能这么合身呢，崔神父如此瘦弱，怎么穿在男猪身上就这么贴身，另外圣袍居然还是短装，和男猪的皮外套刚刚好合适。只能理解为，大主教给与的都是为最好的那个人准备的！ 圣袍上身1  圣袍上身2  圣袍变成贴身shit  还有一个bug就是黑色主教的信仰者，最后自刺心脏奉献给黑恶魔之后，转化成蛇人，那身蛇皮看得鸡皮疙瘩掉一地。另外蛇人的技能也不怎么滴，就是只会和男猪近身搏斗，最后还是被KO。 最后附上安神父最长使用的梵蒂冈术语结尾。 圣洁，圣洁，圣洁，全人类的天主，我以圣父圣子圣灵之名命令你，以我们的天主耶稣基督神圣的十字架，命令你退下，给圣灵让位！天主永在，惩恶扬善，阿门！,,,0
8,8,30181079,阴曹使者,95a7c10feb15920bc415cfafba1f25d6,a2177f9d0293512c28d88a262b939984,,2020-01-17 22:23:19,为了朴叙俊看的，但没想到竟然一头雾水，开头还行，男主失去父亲悲痛不已，但是为什么他的悲伤甚至憎恶都在主的身上？不应该是那个开车的人吗？？？之后那个手也很奇怪，是有魔靠近他他的手就会流血吗？全程也不知道那个反派叫啥，也不知道哪儿来的这么一个人，为什么他就变成这样了，而且最后他还被一堆手吃了，那一池水里还是有怪物存在啊，没消灭完呀 晕晕晕 反正我朴的身材那是绝对完美的 神父好像梁朝伟！！！,1.0,,2
9,9,30181079,阴曹使者,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,4.0,2019-12-31 17:19:39,2019年，动作恐怖电影《阴曹使者 | 사자》 这个阴曹使者翻译，确实跑题了，应该也是没看过电影，瞎翻译的。 开始还以为是《与神同行》外传，没想到是另一个系列。 与《与神同行》不同，这个电影也是韩国尝试的新反向，就是西方宗教奇幻电影，虽然依旧对于韩国人用圣经驱魔感到非常变扭，但是效果却要比很多外国作品强的说。 甚至中间还穿插了一些，韩国特效的恐怖元素（就是比较东方色彩的神婆），感觉还不错，看来驱魔也是要走向国际化呢。 这个电影的图确实不好放，部分恶魔的嘴脸特效还是挺膈应的，不过终究是好人一生平安，我挺喜欢的风格。 性感神父确实是个亮点，正邪两面之间暗藏的性感，也是挺有特色的。 中西结合疗效好~  祈祷半天，最后还是要考神器。  神出鬼没的崔神父  有求必应井（捂脸）  这个小朋友演的还是不错的，就是666个兄弟是不是太多了。  这样的牧师，暗牧吗？走近战格斗风的。  老神父能活到现在着实不容易啊。  什么花里胡哨的恶魔，都是一嘴巴呼死。。哈哈哈  -------我是一拳驱魔的分界线-----  推荐指数：★★★☆（7/10分），在外挂面前，恶魔不过是纸做的。,,,2
10,10,30181079,阴曹使者,dd11cbcf54fb1dc6d6530141025f1070,15b791232da7b50f74762e27caf7e036,4.0,2019-12-04 00:00:50,[玫瑰]【牛妞影评：阴曹使者】 昨晚看的影片，今天来补影评哈哈哈 2019韩国出了好几部宗教题材的影片，什么与神同行2啊，婆娑诃呢，变身啊……真就还蛮多的，阴曹使者，一部韩国的驱魔片。剧情其实很简单，但观影过程很愉快，爽到了。不废话，槽点一略而过，就说亮点吧[愉快] 1⃣️主题立意明确，宗教的外衣下讲的是一部放下偏见仇恨寻爱的电影。爱赐予并拯救改变着一切。2⃣️全片男性演员颜值全员在线。3⃣️大男主电影，全片女人镜头很少，除了驱魔那一小段，全片都是男人戏，不乏味。4⃣️驱魔新手段上线：圣痕驱魔，脑洞很大。有别于西方的驱魔片，这部影片融合动作和奇幻一体。5⃣️节奏紧凑。 推荐指数：⭐️⭐️⭐️✨,,,0
11,11,30181079,阴曹使者,ae64f0d2617eab64d91bdbba7dcd4582,8c509d53c07744aa39a56b0381a82913,4.0,2019-11-25 14:51:32,驱魔题材近几年欧美国家出品较多，韩国也走上该类题材路线，学习借鉴中不断取得进步。在韩国算是较为新颖题材，主旨寓意明确，传达的价值观很正面，情节较为紧凑，男主角非常吸睛，就是爸爸每次托梦助力男主角的情节，让人觉得爸爸是上帝界的重要领袖之一啊。。太传神了。不过还是期待第二部，希望电影质量再上新台阶。,,,0
12,12,30181079,阴曹使者,acb883bb53964a9e3d6e800f7c146592,6aeb84d138c0373e2901570c290d91b3,3.0,2019-11-04 22:46:02,"《使者》
故事框架比较丰满，角色之间的关系也比较清晰，唯一不足的就是对故事的进程，叙述的太过肤浅，给人一种“意犹未尽”的感觉，进而对主角的成长历程，缺少共鸣。
“信仰”是这个混沌世界里的“手电筒”它可以照亮：权力、金钱、美色或者各种“欲望”，它会让你看清世俗，却无法左右你，毕竟能照亮你自己的路，只有你自己。",,,0
13,13,30181079,阴曹使者,e2f4759d8a6ae00c66cb49fa983db4c0,8ef3559045e544446abea9a46b3bdf57,4.0,2019-10-17 02:50:52,1.为什么要加教会男跟男主要签名的戏份，墙上留下男主签名印迹又是什么铺垫，全片没相对的照应那加这戏份干嘛   而且教会男的眼神和说话反应也很可疑  2.跟男主谈签公司打比赛的同事，看男主突然走了，眼睛也变样了。如果这一段戏是为了突出男主放不下老人家，在不知道老人家到底是坏是好的情况下还是选择去找老人家的情节，那同事眼睛变色是啥意思  3.整体比重问题：男主小时候回忆10分钟，男主拳击赛+长病+看医院+巫师侄女15分钟；神父男主见面第一次除魔10分钟；警卫和黑色教主10分钟；母女驱魔20分钟；小男孩驱魔25分钟；男主整理装备去club打架+和黑色教主打架15分钟(高潮应该是和黑色教主的正面对决部分，但结尾和高潮太仓促了，前面的事件又多又费时了 4.男主光环太强了，其他不说，最后男主被黑色教主咬了一口晕了，做了一个梦梦见爸爸。醒来就拥有了更牛逼的手，虽然可以理解为爸爸一直在身边守护男主或者主真的很庇护男主给男主力量，但这一切来的太突然了。  5.感觉很多都没讲清楚，谁都看得出要拍第二部，但如果为了第二部电影才留下这么多伏笔或者是没讲清楚的坑，那这部电影就太不完整了。电影是一个完整的作品，拍第二部那算也是续集，是同一个设定同一个世界的另一个故事，最后几幕或者彩蛋留伏笔就可以了，没必要这么多，看完觉得结尾太仓促，和黑色教主的正面对决太无厘头，不完美不完整。 ［但我还是喜欢这个电影，喜欢这种类型 设定 题材，三个主演演得好，电影也有温情的地方，而且我还哭了……        ？］ (开头男主小时候的故事，感觉讲了很久的故事情节，但看字幕条也才用了十分钟，个人觉得节奏挺好的,,,4
14,14,30181079,阴曹使者,b9c99fcb10510aea4b2e434d64ad4911,5a74db797f32da0346093795273c9211,4.0,2019-10-11 23:54:07,斗膽看了一部鬼怪驚悚片。 男主長得有點像國內鄧倫 也有點像韓星朱智勳 肌肉和長腿讓人無法移開視線。  故事其實很簡單 男主是國際上較出名的拳擊手  媽媽在生他的時候去世了 交警爸爸是天主教徒 但在執勤中發生意外（惡鬼出街）也身故了 天真的他祈求上帝無望後 開始痛恨天主教 人也變得很冷漠孤僻。機緣巧合下認識了一個得道神父 堪稱除鬼大神 由此展開的一個雙劍合璧的捉鬼故事。 畫面做的還可以 翻眼白 吐血 三個瞳孔這些基本鬼片配置都有了 淚點在救了小男孩浩錫後 所有小朋友圍過來抱著男主的大長腿說「康桑米達」的時候 男主終於笑開 我也被奶音融化 鼻子酸了。  沒看懂的部分就是 最後那麼多手把壞人屍體拖進去是什麼意思？手是惡鬼的集中體嗎？還是說拍2繼續出來害人？   給我的啟發就是 鬼神之別終究源於自己的心魔 我自己也總是會迸發出陰暗污穢的念頭 有時會嚇一跳「自己有這麼糟糕的想法」如果有辦法去控制的話就好了  出現惡魔的原因一部分來自於自己的定力不足 容易被周遭環境影響 大多是消極偏激醜陋的方面 我逐漸認識到 正能量和釋放壞情緒有多麼重要！,,,0
15,15,30181079,阴曹使者,7d8b5dd6b3fc15d5b4e89cbde74fdc71,c568a916eed058094815f9f87ac64212,3.0,2019-10-05 00:10:08,虽然是驱魔片，但是影片本身完全放弃了关于信仰的深入探讨，本质就是披着宗教设定的动作片，中二感十足，说这片是漫改我都信，剧情上故意有所留白，主线还是流畅通顺的，片中老神父一次次被恶魔痛扁的惨痛经历告诉我们，法师solo要吃亏，组队打怪是王道啊！片子介于精彩和无聊之间，整体平庸，杀杀时间还是可以的，6.5分,,,1
16,16,30181079,阴曹使者,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,2.0,2019-09-29 20:49:36,《黑祭祀们》是韩国电影对西方“驱魔片”的一次模仿尝试，结果成功了。这个是继续模仿。 温情的开头，突然的变故。开篇可以。 拳手这个设置无感。 问米看来东亚东南亚都这么玩。 群鸦。想到了惊悚片《群鸟》。 血腥，暗黑，但是不恐怖。 那个小孩有点可怕。 最后人鱼一样的“鳞身”让人直起鸡皮疙瘩，比密恐那个更让人恶心。还有那种无数颗眼珠的画面也是很恶心的，于个人而言。 这已经不是驱魔，而是拳击手对战了，虽然加了特效。 结尾的所谓父子情，太普通了。 总体是很一般的一部片子。,,,0
17,17,30181079,阴曹使者,8acaf63b66bbd9cc3d6df02abe28e2ed,3ce092bcc6260c0afc299b5938ddbf96,5.0,2019-09-28 15:52:50,好看的驱魔片，亚洲版的康斯坦丁，还是韩国人敢拍，话说香港的驱魔片好像好久都没有动静了……好看的驱魔片，亚洲版的康斯坦丁，还是韩国人敢拍，话说香港的驱魔片好像好久都没有动静了……好看的驱魔片，亚洲版的康斯坦丁，还是韩国人敢拍，话说香港的驱魔片好像好久都没有动静了……好看的驱魔片，亚洲版的康斯坦丁，还是韩国人敢拍，话说香港的驱魔片好像好久都没有动静了……,1.0,2.0,0
18,18,30181079,阴曹使者,7524a1e734cceca274456f40b44050c4,3e3886f67bf6eeec35d90eaa9eb9a7e7,3.0,2019-09-14 19:07:43,"首先呢，是因为朴叙俊看的这部电影。

emmmm看的时候真的想快进，但还是完整地看完了这部电影。我觉得虽然其中有很多恐怖恶心的镜头，但是却不让人感到害怕。

我看的时候在想反派是不是禹棹奂啊，刚开始没完全认出来，后来听声音感觉应该是了。演反派还挺带感的。

让人惊喜的是朴叙俊的好基友崔宇植又来客串了，上一次是朴客串了崔宇植演的《寄生虫》。我在想两人是不是还会有更多的合作呢，好期待。

主虽然没能救男主的爸爸，但是男主爸爸的善良和对神的信仰一直陪伴着男主，成为了男主的力量，可以对抗黑暗和邪恶。后面出场的神父感觉就像是男主的第二个父亲，两人最后还一起去外国吃冰激凌了。

我还是觉得朴叙俊身上有着喜剧细胞，我总觉得有些镜头让我觉得挺逗的，想看他演喜剧啊，但他也在一直寻求着突破吧，尝试着各种类型。哥的肌肉真不错，拳击那里一秒想到了《三流之路》。感觉我就是看了一部动作片，看打架，关注点在哥的大长腿，还有脸😂

哥拍部电视剧吧，想在荧幕上多多看到你的身影，怀挺。",1.0,,2
19,19,30181079,阴曹使者,479da6dd60dbbc0376146b0e58a99a11,111ff4160a1a1991e64e50f5001be5e7,4.0,2019-09-13 22:21:16,喜欢看神了鬼了的盆友并且时间比较充裕想消磨时间的可以选择这部影片。个人很喜欢看这种“神奇”的主题的影片，很玄幻有木有。但是不懂为毛驱鬼会是比谁更能打架？？既然如此神父们第一要务难道不是把身材练好然后再深入学习一下搏击技巧之类的？？最后反派boss死了从井里伸出无数只手把尸体拉走那一幕我感觉很赞～另外想吐槽两个点，一个是男主都遭遇了那么多奇葩的魔鬼事件了还说我不信神我也是醉了……其次那个小男孩被666个魔鬼附身的，难道神父就不能先休息几小时或者第二天再继续么……非得一气儿驱完把自己累死吗……,,,0
