,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30249076,坏家伙们,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,3.0,2019-10-20 21:57:20,"1.本片人物多，打斗多，看起来热闹，但情节简单，观影过程中的主要脑力劳动就是记住人物姓名和人物关系。等记清楚了，片子也就结束了。 
2.黑警指向性有些明显。片中主要有四个警察，吴九卓和高侑成都是有案底被判刑的警察，前者得了肝病视死如归，后者在劫狱现场和蒙面人势不两立，他俩拿到好人卡理所当然。还有两个同届警察，一个是次长，一个是课长，官职高低立现。转移犯人时押车警察称领导指示临时更换路线，课长明显没有这个权利。后面次长和课长讨论是谁泄露的路线，实际是在转移重点，因为这个劫狱事件是里应外合，更改路线的可疑点要大于泄露路线。 
3.然而谁是黑警已是全片最大悬念，其他案情几乎顺风顺水，没有线索就靠拳脚打出线索，没有办法就靠拳脚解决问题。 
4.坏小子四人组已经战力超群了，可是面对终极大boss的人海战术还是显得身单力薄，怎么办？导演在结尾突然加一个鬼脚的角色进来，上来就开始打，打完就回家。是不是很意外？是不是很懵逼？只能说，韩国的导演比韩国跆拳道还厉害。 
5.杰西卡作为女一号无疑是本片的最大亮点，她的风骚、狡猾、聪敏、勇敢丰富了这部鲜血淋漓的犯罪片的色彩。 
6.从电影叙事来讲，本片的日本元素真是可有可无，换成是外星人控制韩国黑帮想抓地球人做实验也说得过去。在韩日贸易战难解难分的大环境下，韩国人在电影中靠自己的拳脚对抗日本人大获全胜，这可能是本片最“深远”的现实意义。 ~~~~~~~~~~~~~~~~~~~~~~~ 欢迎关注本人微信公众号:哈姆谢特。",17.0,3.0,6
1,1,30249076,坏家伙们,9913eb39b809d64eca5fe0dee947c8d8,490ebab794d381df26098721f6bc147d,3.0,2019-10-23 21:49:24,"注：此文已发在公众号“孟孟聊电影”，欢迎大家联系转发～           大家好，我是和你们聊电影的孟孟。 说到韩国的硬汉你们第一个能想到谁？ 神马东西？ 没错，就是神·马东锡。  蛰伏韩国娱乐圈多年的他，近年来才以与韩国主流偶像格格不入的硬汉风格闯出一片天地。 韩国暂且不说，马东锡第一次吸引到国内观众视线的一定是那部亚洲第一丧尸片《釜山行》。  在片中他饰演了英勇保护怀孕妻子的大叔。在危机关头，他选择只身挡住汹涌而来的丧尸，为车上其他乘客的撤离争取了时间。 他和妻子别离的那段也承包了全片最大的泪点。  而马东锡也凭借这部电影从黄金配角直升人气男主。连接几部硬汉类动作电影，一跃成为韩国电影圈一线大咖。 在超级大片《与神同行2》中，他饰演保护普通人家庭的“城主神”  在动作电影《愤怒的黄牛》中，他饰演保护妻子的追债大哥。  在犯罪电影《恶人传》中，他饰演和警察合作破案的黑帮老大  今年下半年，他又携一部新的作品，再次走进大家的视线。
 这就是电影《坏家伙们》。  这部电影改编自2014年同名韩剧。讲述了一名重案刑警聚集一群犯下恶性犯罪的罪犯，试图利用这群危险分子以恶制恶的故事，他们是一群比坏家伙们更坏的人。  值得一提的是，剧版三大主演金相中，马东锡，姜艺媛悉数回归影版，他们共同为电影保驾护航。  电影沿袭版版设定，依然是讲团队合作、以暴制暴的故事。 入狱多年的马东锡突然得知老友被杀的噩耗，出狱调查时却发现层层迷雾，线索直指韩国第一黑帮。  曾经的战友也在押送犯人的途中遭到袭击，生死未卜，犯人逃窜，而诸多线索依然指向第一黑帮。  为了抓住危险的逃窜犯人，为了深入调查第一黑帮，为了给好友报仇报仇，也为了给自己减刑。四个“坏家伙”组队，以牙还牙。  这就是整个的剧情，剩下的就是打。 这也应了标题上的两个字“爽片”。 如何调查？打！ 如何抓捕？打！ 如何配合？没有，还是打！  为了体现神一样男人的英勇，编剧把主角团其它角色存在感拉低，全篇就是看马东锡的暴力美学。 编剧为了让马东锡开挂，甚至设置了莫名其妙的桥段和反派。 做为韩国第一黑帮，他们敢开卡车撞翻囚车，丝毫不顾目标人物的死活。 





 做为装备精良的杀手，好几个人居然能让目标人物逃脱。 





 作为跨国集团的毒贩，他们连枪和管制刀具都没有，全程和主角团拼拳头。 





 你们真的尊重犯罪这个行当吗？ 反派就这样的战斗力和水平，怕是连我们城市开路虎的小混混都能打他们十个。    编剧拉低自己智商，也拉低了影片的质量，因为拉低不了观众的智商。 更何况主线支线一片混乱，bug和主角光环遍地飞更是加剧了影片口碑的两极分化。 不过话说回来，此片做为“爽片”是及格的。  首个一打多的动作戏导演还用了长镜头给观众们吃了一个定心丸。 





 拳拳到肉的设定也符合了马东锡一贯的荧幕形象设定。 





 但是依靠单一戏路的他还能走多远呢？ 其实早在2012年，马东锡就凭借犯罪惊悚电影《邻居》，获得了韩国三大影视奖项之一的“百想艺术大赏最佳男配角”奖项。   这说明他的演技也不容忽视。 希望他能拓宽戏路，慢慢被顶级的导演发现，给大家带来更多有质感的作品。 贴个短评。       欢迎大家关注我的微信公众号～ 我将不定期更新电影影评～ 希望你们能喜欢～",11.0,1.0,3
2,2,30249076,坏家伙们,f0753ef9b60bcd021ac09c52679fb3a4,e1c8964dd8bb37adc0e3cee18330612a,3.0,2019-10-23 00:05:39,朋友圈有个卖片的小姑娘推这部，喜欢电视剧版，毫不犹豫找到资源看完，这代南韩导演是不是看着港剧和好莱坞电影长大的？！（我不能杀你，看你又不爽那！你就躺着吧，直接勒断脊椎骨，嗯！三星为了马东锡。）少了韩国电影的冷冽。这已经有了固定模式的电影还是少些吧。元素多又太杂！我靠还不够140个字。,1.0,1.0,0
3,3,30249076,坏家伙们,2a6483718377c4c28a39245b6860596f,4bcc7659fd9b99a9b52a7d7554eeb9e7,,2021-07-24 15:57:21,看过剧版，电影为了张基龙看的说实话真的不怎么样。没什么故事性，就记住马东锡很壮了。而且没看过剧版的话更会觉得这部电影没什么意思吧。毕竟没有角色滤镜和背景了解。张基龙这个角色太单薄了。进监狱就开始四处打架……我特么开始以为是个卧底结果好家伙是真犯罪了。警察大学第一名的高智商年轻警察，跑不过跑酷达人的犯罪分子怎么连个老头都跑不赢？而且你为何那么狂躁那么暴力？为什么警察大学出来的人走路说话都像个二流子？感觉这个角色设定更符合《过来抱抱我》里的连环杀人犯儿子尹罗武。都是警察大学第一名，真是云泥之别两个人。一个优秀警察的儿子成了进监狱的gai溜子警察。一个变态杀人犯的儿子成了一个可以随时牺牲十分善良的警察。我一整个感到非常魔幻了。而且最好笑的是，在剧里他哥那个演员给了他一刀，电影里又相遇了，这次换成他给他哥那个演员一棒子。,,,0
4,4,30249076,坏家伙们,33c3a130191f938e231710dd28f159d6,c010854873d2affd9c768635f7cc8fb8,3.0,2021-06-07 21:22:39,《坏家伙们》 主观评分：7分 剧情概述 被判刑的恶警们被警察局利用成立一个小分队，让他们抓坏人，抓一个头目减刑五年，都是狼灭，好斗的不行。一个人干上百票人的节奏。历尽千辛万找到反派头目，最后摧毁反派的d品生产基地的故事。 评价感受 爽片，逻辑啥的就不扯了。御姐负责美丽，胖哥负责拳拳到肉。小鲜肉也很man。最近看的很多韩国电影都是这种政府后台与黑道或者反派勾结的。这种尺度大的对我来说总有一种魔幻和不真实感。警方最大的领导也是反派的卧底实在让人绝望的韩国社会。,,,0
5,5,30249076,坏家伙们,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,3.0,2021-06-02 21:03:20,"马东锡的拳头👊 真是所向披靡，留下的只有哀嚎和骨头断裂的“咔嚓”声，嫉恶如仇，何问出处，痛快！希望我们的努力和马东锡的拳头👊 一样犀利，驱散阴霾，让病疫望而却步，闻风丧胆！
等我们潇洒回首时，早已春暖花开，一切无恙了！
《坏家伙们2019》，痛快[强] 马东锡的拳头👊 真是所向披靡，留下的只有哀嚎和骨头断裂的“咔嚓”声，嫉恶如仇，何问出处，痛快！希望我们的努力和马东锡的拳头👊 一样犀利，驱散阴霾，让病疫望而却步，闻风丧胆！
等我们潇洒回首时，早已春暖花开，一切无恙了！
《坏家伙们2019》，痛快[强] 马东锡的拳头👊 真是所向披靡，留下的只有哀嚎和骨头断裂的“咔嚓”声，嫉恶如仇，何问出处，痛快！希望我们的努力和马东锡的拳头👊 一样犀利，驱散阴霾，让病疫望而却步，闻风丧胆！
等我们潇洒回首时，早已春暖花开，一切无恙了！
《坏家伙们2019》，痛快[强]",,,0
6,6,30249076,坏家伙们,33909e78ceb3820eef58273ad0ab2052,e35687af035a184e412e1a1ce94b6904,3.0,2020-11-17 21:56:30,无聊打发时间时，这电影是可以配着爆米花可乐炸鸡啤酒薯条汉堡之类一起吃下去的电影，然后在胃里消化掉。 马叔一如既往地凶萌，拳头一如既往地够硬，一拳干翻一个。 金雅中一如既往地性感美丽，是这种电影正义小组里不可缺少的聪明漂亮的尤物。 剧情就是法律里所谓的坏人们有没被泯灭的正义感与好心肠，也有各自擅长的技能，被招募成小组，与恶势力你来我往的斗争，最终正义战胜邪恶。 就酱。 这电影用来打发时间真的还不错。,1.0,,0
7,7,30249076,坏家伙们,7036598db113c0acbc960fcf418b6c3a,f106a4e130d3aabe35daf23ab0043432,3.0,2020-09-05 11:11:10,"6分 不能再多了

剧情回顾 韩国警局有一个办公室 叫特殊犯罪调查组 里面的成员都是罪犯 但心眼都很好 如果罪犯立功 可以申请减刑 一次 警察遇到了一件很难办的案子 于是就交给这个特殊犯罪调查组办理 他们这次遇到的都是一些变态 从事毒品买卖 最终他们抓住了罪犯 整部电影想表达的一个观点是 警察也可能是坏人 罪犯也可能是好人 没有绝对的好与坏 在利益面前 情义都不算什么了 想起在红色里面的一句旁白 没钱的时候讲情义 有钱的时候讲利益 是啊 很多电影里都是这样 有难可以同当 但是有福不能同享 因为这个时候 心态发生变化 不再看重情义了 所以能做到有福同享 有难同当的人 值得我们珍惜 因为他始终把情义放在第一位 可这样的人少之又少

为什么给这部电影评6分 因为剧情不连贯 角色不饱满 主题不够突出 不认真思考 你都不知道它想要表达什么 充其量 算作一般的警匪片吧

中国有句古话 叫患难见真情 患难是可以见真情 患难之后发达起来 更能见真情 还能不能向以前那样 为朋友两肋插刀 真的是很难说 因为这个时候怕失去 相比较得到 人们更怕失去 但患难的时候就不一样了 光脚的不怕穿鞋的 已经没有什么可以失去的了 那就只能干了 所以 现在这个社会 往往是有福不能同享 有难可以同当 这也是人性使然

2020.8.6",,,0
8,8,30249076,坏家伙们,80a4c6c3c95ae1803d9e470ea51c37ee,22ebbfdc101eb427a70b24c28a36e483,1.0,2020-07-14 16:38:04,这是个鸡儿的黑帮片，黑帮把囚车都截了车都翻了，竟然让目标人物跑了，强行开篇？露顺一个诈骗犯，最后进了黑帮老巢打斗竟然还能扛得住，你是吃了神奇小元宵？要统一韩国的日本黑帮，韩国警察局的次长都是你小弟了，然后黑帮里从小弟到老大愣是一把枪都没有……还贩D？国际上哪个制D贩D的连把枪也没有？你让同行怎么想？同行也是要看电影的呀…,1.0,2.0,0
9,9,30249076,坏家伙们,97e094b8257cdb1cbeb520893a260109,27674d77411d0d1a443d7300c1eb89fc,,2020-05-10 23:12:49,吴久卓找到杨宥贞，杨宥贞再次被控制。李正文接到杨宥贞的留言，立即拿上杀人工具去找她。吴久卓联系南丘贤，询问是否相信自己，南丘贤担心他的现状，吴久卓却提醒他要小心。吴久卓打伤李正文，要他向自己跪下。吴久卓拿枪指着李正文的头，李正文不甘心问道为什么这么对待自己，吴久卓告诉他智妍的死要他负责。李正文准备受死，朴雄哲和泰寿突然出现了，分别带走了两人。朴雄哲将李正文打得半死，要他为大哥偿命，泰寿要吴久卓把自己失去的换回来。李正文宁愿李斗光是自己杀的，可是真的不记得一切，所有人都说他是杀人犯，可只有他自己不知道，这种生不如死的日子他过够了。朴雄哲决定给李正文一个痛快，吴久卓也准备好了等死。 南丘贤被杀，独自死在了河边。,1.0,,0
