,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30251948,伊莉莎与玛瑟拉,9c5b1aa7fdcc4f81d0e93e60c2d40887,8f2b0cae1d8a4ff4c819615381855965,4.0,2019-06-09 13:14:50,"这篇影评可能有剧透 

                        这两天观赏《书店》(The Bookshop, 2018)导演伊莎贝尔·柯塞特(Isabel Coixet)的新作《艾莉莎与玛榭拉》(Elisa y Marcela, 2019)同时，正好在网路上读到了日前发生在伦敦巴士上的同志情侣遭暴力殴打事件。血淋淋的照片虽令我震惊，更让我感到震惊的是；英国早在1967年将同志除...

                         ( 展开 )",18.0,,6
1,1,30251948,伊莉莎与玛瑟拉,ac1cfe84da4d2949fecf608f3044979b,318906562a16957eec22ef0220ed3cae,5.0,2019-06-20 09:22:00,"亲爱的玛瑟拉， 我已经四周三天又九个小时没有感受到你的气息了。 在我梦里感觉你与我如此靠近，仿佛你是触手可及的。 身边的一切都让我想起你，一切。 孩子们、我阿姨和修女们、太阳、雨水与大海、海砂... 写满了字的信纸、鹅毛笔和墨水将你我拉进。 我常梦到你玛瑟拉，即使醒...

                         ( 展开 )",48.0,1.0,0
2,2,30251948,伊莉莎与玛瑟拉,0bddfba52ac4351e71f6ec95bf77b0c3,90833ba17b4a11a1dcdfbb88a5905fc8,4.0,2019-11-14 22:55:55,"这篇影评可能有剧透 

                        本文首发于公众号悸花网（ID：lessubs） 单纯从海报上一窥究竟，理所当然地以为这就像《桑格莉之夏》一样，唯美，青春，带着小鹿式的心跳，谈一场最单纯的恋爱。 结果赤裸裸地被海报欺骗了T T 这部影片根据历史上第一对举办婚礼的les的故事改编，是真人真事改编，在20世纪初，...

                         ( 展开 )",45.0,,7
3,3,30251948,伊莉莎与玛瑟拉,884201146c0521af1c83fee60e1d1627,009c42ddbecdfb6766db5f37e9873a07,5.0,2020-06-02 00:23:12,"这篇影评可能有剧透 

                        故事從一位女孩兒的獨白開始，她帶著對自己身世的疑問踏上旅程，尋找養父母口中的「那些女人們」。 她們是誰? 艾莉莎與瑪榭拉。 尋找「那些女人們」的路程很長，下了火車還要走很遠的路。穿過一片片水田，盡頭是一間普通的平房。破舊、平庸的房子，走出來一位老婦，拿著酒瓶，...

                         ( 展开 )",6.0,,0
4,4,30251948,伊莉莎与玛瑟拉,ec57847634d56c99382d0623528900c2,fdefe4cc3953a1d76805a9c1fe03d1d7,3.0,2019-06-12 23:38:09,"这篇影评可能有剧透 

                        故事改编自历史上第一对举办婚礼的女同爱情故事，从相识相爱到经历种种磨难与歧视，只能在当时的世道下选择私奔。 从故事的角度电影欠缺的东西比较多。人物的支撑点就不够，也许把片头的倒叙换成对家庭环境及时代背景的更多塑造，电影能更饱满。 同时关于两人情感的细节也都太...

                         ( 展开 )",1.0,2.0,0
5,5,30251948,伊莉莎与玛瑟拉,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,3.0,2020-03-25 01:15:59,"这篇影评可能有剧透 

                        女导演伊莎贝尔·科赛特(Isabel Coixet)算是柏林电影节名副其实的嫡系成员了，前后总共入围过八次，其中四次主竞赛，四次非竞赛，2015年的《没有人喜欢黑夜》更成为电影节开幕片。相比起另一位西班牙大师级导演阿莫多瓦，科赛特的题材和风格截然不同，她的作品没有太多聚焦在西...

                         ( 展开 )",3.0,,3
6,6,30251948,伊莉莎与玛瑟拉,1d2d1d1475aae24aabc578af69d68cc5,4b120a662ed4845805795ea4e560c79a,5.0,2020-06-08 11:27:35,"这篇影评可能有剧透 

                        这部电影改编自真实故事，发生在20世纪初，一对女同性恋伴侣，在西班牙举行的第一场同性恋婚礼，被宗教包裹的时代，她们婚后遭遇了逃亡，牢狱，暴力，她们像夹缝中的野花，顽强又勇敢，最终获得幸福，直到现在，西班牙也承认，她们的婚姻有效！ 马瑟拉，出身在一个刻板的家庭，...

                         ( 展开 )",9.0,,3
7,7,30251948,伊莉莎与玛瑟拉,ec308b5b477ab77dfd567e99fca83fbe,3a4d9b441b1ceef98bf3b248ecd66e62,4.0,2020-04-05 12:36:03,"这篇影评可能有剧透 

                        导演构建了一段完美的爱情，其中的默契、勇气与牺牲精神，普通人几乎不可企及。这段爱情太戏剧化，太不贴近现实，但偏偏电影开场就表明了这是根据真实故事改编。不可小看这一行字的魔力，有了原型的“备案”，观众在观影过程中，对艺术的欣赏与对真实故事的钦佩杂糅在一起，激...

                         ( 展开 )",12.0,,5
8,8,30251948,伊莉莎与玛瑟拉,8e1296d99e805b9f4fa7743c709b7759,9243eade9608c02c8745b9232f1748fc,4.0,2021-11-26 23:52:08,"意象隐喻盘点（瞎猜瞎猜瞎猜的） 1.花朵=玛瑟拉 进入回忆的第一幕就是被雨点拍打的花朵，然后切到玛瑟拉淋着雨跑向学校，第二次下雨玛瑟拉不带伞也是一样先将镜头特写给到门前的花朵。第三次下雨也将镜头先给到花朵然后再是玛引出瑟拉和父亲爆发转校冲突，泥土象征着养育花朵的...

                         ( 展开 )",2.0,,0
9,9,30251948,伊莉莎与玛瑟拉,c4b33d0e3e9d1e4841ece7d3a0657095,ed5166cb053b96bf9b1c7f0fe8b68d66,3.0,2021-08-31 02:56:49,"这篇影评可能有剧透 

                        通过西班牙语google到几篇相关报道，希冀能从其拼结合出现世人物的更多生命细节，使用DeepL将搜索选取的几篇来源翻译如下： 前两篇文章原文链接  [https://www.elmundo.es/cronica/2019/06/05/5cf179bffdddff3c6d8b4614.html] + [https://www.eldiario.es/cultura/cine/matrimo...

                         ( 展开 )",2.0,,0
