,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30263995,一吻定情,67f704a9c1d43fa53355750b39f2a8c1,a1c0c29557f5433676632fc4a7dc4b2d,1.0,2019-02-15 09:37:43,首映定档在情人节当天，可见片方满满的自信和野心。在白蛇缘起和流浪地球的前置广告中就已经被安利了一波，昨晚吃完饭逛完街，正愁看个啥电影，打开豆瓣一搜，一吻定情，8.4分？（后面解释）从预告广告中可完全没看出来这片子这么优质，国产小鲜肉电影能在豆瓣拿这个分数是个奇迹啊！再加上老婆对江直树十年如一日的迷恋，得，买票吧，必须值得一看！        作为即将步入30大军的直男油腻大叔，本人对玛丽苏故事毫无感觉，甚至可以说有一点反感。然而作为伴随童年（青少年？）时期的几大电视剧IP，我对待恶作剧之吻的整体态度还是尊重的。于是我满怀期待地开始品尝这一锅香甜的冷饭。        结论如标题。        第一次写影评，仅从自己观感角度出发，说一下以下几个方面。        1.情节和剧本：说实话，开头一会的那种夸张剧情、夸张演技和夸张形象给我的感觉反而很好，当时我甚至不切实际地猜测：导演说不定是个高人，故意用这种夸张诙谐的手法来营造喜感，不尴尬、不做作的致敬情怀和经典。然而看到后面……OK，所有的夸张变成了尴尬。尴尬的剧情、尴尬的演技和尴尬的形象，配合着故事背景和主角人设的缺失，看得我窝了一肚子无名火。F斑的体育课就是给A班捡球、原湘琴弱智到17-5=？的问题算不出来却可以通过短短数日的补课考到这么牛叉学校的第100名，此类等等。没看过几集电视剧版，更没看过小说，不知道原著的情节设定。仅从个人不专业的观点来看，其实在细枝末节问题的处理上，电视剧要比电影容易。电视剧因为艾宾浩斯遗忘曲线的存在，观众们都是连看连忘，你只要把主线故事讲好，在观感上就不会有大bug了。而电影不一样，因为要在短短2个小时以内、对聚精会神专心盯着屏幕跟着剧情的观众们把剧情讲清楚、把逻辑理通顺。而此剧却正是用电视剧的调性强行呈现电影效果。江植树的富婆妈妈从第一眼见到女主就觉得这样“傻傻的姑娘”可爱“要是能嫁给哥哥就好了！”，转个镜头就坚定不移的撮合她和自己的男神儿子结婚？阿姨，傻姑娘多了去，可儿子就这么一个啊！（不对，两个）        2.演员：配角无灵魂，完全为衬托主角服务；而主角人设又没立起来。（1）王大陆无论是从个人先天条件以及少女时代中的人设代入，让一个看起来就是“傻傻的可爱学渣”的人去演高傲冷峻机智无双的江直树真是不容易。剧中直树对湘琴的态度转折很突然，缺少铺垫，情感营造上也缺乏高潮。然而抛开剧本和情节的漏洞来看，我觉得大陆的表现还算是勉强合格的。至少没有很强烈的出戏的感觉；（2）林允的原湘琴，一名长着美妆博主脸的朴实少女。不自然，不可爱，目光呆滞，把林依晨的“蠢萌”继承得只剩下了“蠢”。全程眼神中没有看出对江直树的喜欢，全是喊口号。但参照多数青春电影的主演来说还凑合吧，不至于演技崩塌到辣眼睛。（3）本片演员这方面最大的问题不是主演，而是配角。重点在此，敲黑板。一部好的电影可以呈现出一个完整的世界观，在这个世界观里所有人都是独立的个体，配角也是有血有肉有灵魂的。高端的参见《泰坦尼克号》里的船体下沉时坚持演奏的乐队和有信仰的老船长、《阿甘正传》中贫穷又朴实以捕虾事业为梦想的黑人战友（名字忘了）和曾经意气风发，失去双腿又退伍后落寞的军官。好，如果你觉得拿国内青春电影和奥斯卡神作对比未免苛刻，那么我们看看国内其他相对成功的青春电影。《那些年》中柯震东的小兄弟郝劭文演的小胖，《致青春》中包贝尔演的老张，最不济《我的少女时代》中徐太宇的几个小弟，虽然他们的戏份都不多，但是观众们都能感受到他们是有血有肉的人，都有自己的追求，自己的想法和信念。而《一吻定情》中的全部配角，全都仅仅是为了衬托主角或烘托剧情而存在。无论是唯成绩论的势利眼教导主任、F班蘑菇头不男不女的老师、原湘琴的两个小闺蜜、江直树的爸妈弟弟、长得一点也不好看的那位校花等等，刨除主角，他们的人格将不复存在。你到现在也没法说出看完电影以后他们分别是什么样的人。的确，配角是为衬托主角以及推动剧情发展而服务的，而好的电影会通过配角简单的故事和性格传达一些主角戏中或受限于篇幅或不方便直接表述的价值观，从而为主线故事的价值观服务。而纯粹为了设定配角而设定的配角，却会显得多余，凸显整部电影的不真实和尴尬。这里要赞一下阿金，虽然这个角色也受限于上述原因不够立体，但演员的表现确实可圈可点，至少把人物演活了。（如果简单加一点他独处时的落寞的镜头哪怕心声独白，这个人物会更有灵魂。然而这是编剧的问题。）相信看过电影以及原著的朋友会有同感，这里我就不赘述了。        3.价值观：诚然在我初高中的时候也跟风一起追过花样男子系列的玛丽苏电视剧，但无奈年事渐高，对于此类作品的兴趣直线下降，但看一乐呵还是不错的，毕竟谁都年轻过、谁都幻想过不是。玛丽苏作品的价值观大同小异，故事主线都是少女/少年们对男神/女神的无限YY，只不过导演和编剧要考虑的是在YY主线进展过程中，所传达出的这个主题对于大众来说的可接受程度。说白了，你想做梦没问题，但是你不能恶心别人。再次强调我没有看过原著，但是我陪着老婆看过两集恶作剧之吻，感觉就是林依晨确实很可爱，这种迷迷糊糊但质朴可爱有点韧劲儿的女孩确实很招中学男生的喜欢。但在此部电影中，我从始至终没有找到这位原湘琴身上的任何一点优点。上不了厅堂下不了厨房、幼儿园数学题不会算、因为个人的恍惚导致全班接力赛输掉却没有表现出任何歉疚的模样、在医院当护士实习迷迷糊糊吓跑所有病人，等等等等。如果非要硬说一个优点的话可能就是比较勇敢，敢于向男神表白？而促她泡成男神的契机又是跟她勇敢毫无关系的——仅仅因为老爸之间的友谊，跑到人家去暂住，这才有了辅导功课、偷看情书、自行车搂腰、女装视频等等，而且江直树的奇葩老妈因为你的主角光环无条件帮助你倒追她儿子。甚至连流星花园和恶作剧之吻时代“金丝草精神”里那一点坚韧和质朴也丢掉了，没有一点励志的成分，有的只是“干啥啥不行，吃啥啥没够”的弱智女屌丝对上流社会高级男神的无限意淫。这无异于告诉现在初中小学的小朋友们，女孩子不用追求成绩好、不用追求外表精致、不用追求贤惠持家也不用追求事业进取，只要傍住优质男神就足够了。可问题是，你只告诉了人家傍上就好，却并没有告诉人家怎么傍。所以，电影版将这个故事熬成了一碗用于女屌丝自我麻醉自我高潮的毒鸡汤。        综上，在电影演到男女主湖中翻船一起去住小旅店那段经典情节的时候，我疑惑地打开了手机，想确认一下这部电影怎么能得8.4。再次点开豆瓣，发现8.4分的一吻定情是日本版的，我们这部是5.4……好吧，我瞎。        以上，仅代表个人观点。很不专业，但发自内心。你可以不同意我的观点，但是你的尊重我发表观点的权利。所以只接受理性探讨，不接受喷。一星给阿金，演出了整部片子中最有人味的角色。不是学生党的没看过的朋友不推荐看了，很烂，自《吉星高照2015》后四年来看过的最烂电影。,156,9.0,37
1,1,30263995,一吻定情,76a6d67dc0fe1499c4fa4277ddbb7676,6b9c4c2d178a958a857240d0ac2b4e51,1.0,2019-02-14 14:07:52,本来完全不打算去看这部电影，但是昨天在朋友圈看到好友大喊缺糖，我想了想恶作剧之吻欸！就算是王大陆和林允演，剧情已经在那了，不会差的啦，所以还是去了，结果大错特错！ 1.湘琴是蠢萌，林允只演出了蠢，语气完全感受不到一个小迷糊对自己心爱的人的感觉，湘琴最可爱的地方在于她在和朋友，直树以及刚开始骂她笨蛋的裕树的过程中都很单纯都很真诚，所以她最终会打动身边的人。林允呢？减肥过度完全没有美人鱼时期的少女感，而且表情过于造作了，她哭的时候全电影院都笑了（虽然也没几个人去看）。话说林允现在也挣了不少钱吧，注意一下身体防晒好吗，湘琴造型有很多粉粉嫩嫩的东西，她黑黄的手臂戴着粉色的手表让我好像看到我自己？这是女明星吗！ 2.王大陆不适合这个角色，但是后面告白什么的还可以。以前在康熙上看过王自己坦白他以前成绩不好而且感情上面也是playboy，后面他爹送他去军校学乖才变好，所以撩妹and向女主发火and最后告白大概都有类似亲身经历吧👀。而前面校园高冷男神就是机器人了。。。呃。。。不过电影里看大陆还算帅啦嘿嘿 3.剧情bug。恶吻作为经久不衰的少女心收割器，最动容的地方在于故事里每个角色都在成长。湘琴从小迷糊到可爱人妻，直树从没有感情的天才到救死扶伤的医生，担起家庭的丈夫，以及曾经浑噩度日的F班同学都在渐渐过上自己想要的生活，他们的转变是有事件触发各个角色之间的互动然后形成的。直树帮F班补习，韩版中湘琴和两个好友在教室里向天空大喊自己是最棒的（好像是这么个剧情），这种推动主线让观众看到主角性格形成和感情加深的情节太少了，以至于直树最后的告白和期间的糖都太突兀了。 然后还想吐槽一下学校。。。F班不是按成绩分的吗，怎么改成按智商了，那不是否定努力了？古川版里教导主任鼓励F班的情节很喜欢，结果这边变成教导主任完全就是个唯成绩论者的傻逼┐（─__─）┌，湘琴考进100名只有鄙夷和不屑，还让F班体育课给A班捡球？F班的老师也是随随便便找的。。。EXO me，既然如此，湘琴她爸脑子有病倾家荡产让女儿去受罪哦 4.演阿金的金希澈（划掉）演员很帅，真的很帅，和早年的金希澈气质很像，造型也很阿金。裕树弟弟送湘琴走流泪的时候是全片我唯一有想哭的感觉的时候，弟弟好可爱(⑉°з°)-♡ 5.追星周边很不错，也算片子的加分点吧，不过电影还是剧情演员为重啊？？？ 6.每次点开恶作剧这首歌就会停不下来，脑子里都会循环台版里林依晨递情书给郑元畅，被拒后躺在走廊上囧囧的样子，古川雄辉和穗香在教堂弟弟爸爸妈妈一脸姨母笑and韩版高中毕业时金贤重在拍合照时对郑素敏说她脸上有东西，在妹子惊恐转头时一把揽住她肩膀坏笑的时刻（可惜金贤重已经不复当年，还好素敏妹子不仅事业越来越好，人也越来越美）。写完这个我决定pick一个幸运的帅哥下午和我一起在我脑内剧场一起演一吻定情 图文无关cr见水印 最后爆个照       我不是有意的。。 祝大家明年不再做🐶，然后就不会为了打发时间去看这种电影,67,8.0,23
2,2,30263995,一吻定情,7c2a93673c69cbcbec4a0df849983e66,722d264ae408cfdd2e72d3471fb3acd5,2.0,2019-02-16 00:00:33,听过这样一个段子——有一对恋人在上海虹桥机场分手，女生对男生说，你别等我了，我们不会有结果，就像机场永远等不来火车，我们永远不会有交集。没过几年，虹桥机场和火车站连在了一起，设计这个工程的工程师就是那个男生。 这可能就是个真实性无从考证的段子，但它证明了，想让机场和火车相遇，总会有办法，每种难题总有其他的解法和方案。《一吻定情》里，笨蛋和天才相遇，就像火车遇上了飞机，这道无解的难题似乎也有了其他的解答方案。   影片从一开始就提出了，你喜欢他，他也喜欢你的几率是多少？故事的设定里，一个基本数学算法都不懂的F班“笨蛋”原湘琴，即将继承家业天资聪慧的A班“天才”江直树，这有如云泥之别的鸿沟横亘在两人中间。从设定的一开始，就预示了这个相爱的几率几乎为零。 也许你的青春里没有江直树，可是又有谁没当过卑微的原湘琴？那个懦弱胆怯的丑小鸭，总是被同龄人嘲笑讥讽，努力做什么都是错，喜欢的人总是光芒耀眼，远在天边。电影就是营造了一场太虚幻境，它越不真实，也就越有吸引力。 《一吻定情》延续了陈玉珊导演前作《我的少女时代》里对青春情绪的细腻描摹，林真心曾经在泳池边误会了喜欢的欧阳非凡和别人在暧昧，于是沉进了水池底，让眼泪融进水里。原湘琴坐在楼下误会了江直树和其他女生在暧昧，就那样吃掉了一大袋田螺。看吧，这才是我们为暗恋所能做的一切，那么渺小黯淡，像恒星爆炸后塌缩的中子星。 除了黯淡的傻瓜，天才江直树的小细节也是动人的。原湘琴暗暗怨怼他从没对自己笑过，却对一只小猪笑开了花。其实江直树只是每次都把这笑容藏了起来，在他目睹了湘琴傻气之后，转头便咧开嘴笑起来。不明白她为什么会有那么多奇奇怪怪的想法，而每次都失败却每次都在笨拙地努力。所以他才说，原湘琴是他的偏差值，是一道超出他所学的超纲习题，正因为无解，才越想去解答。 在前半段各种有趣的笑点之后，《一吻定情》结局又是陈玉珊擅长的收束和升华，将之前埋下的细节重现，原来那个清晨旅馆里真的有“第四次亲吻”，原来她搬家离开时他真的有冲出来挽留，原来他收买了你身边的人了解情报，设置了仅供你一个人可见的朋友圈，这次换他走向你，让傻瓜为爱情做的所有努力，都有过回音。 电影结尾是一个亮点，时间退回到国中时期，直树为湘琴在辅导功课时双双睡倒。醒来以后他偷偷翻开了那封拒收的情书，竟然是一个长长的卷轴。傻傻可爱的文字下面，这是一场测试，你可以选择A或者B，会将你引向不同的故事走向。而所有走向都殊途同归，只有一个结局——和我在一起。你看，让你喜欢我这么难的习题，都有这么多走向和解法。但喜欢你，才是我做过最勇敢的事。 这时，你可以把电影后面的故事全当成一场梦境，经历过的坎坷波折与误会，或许不用这么费力。时间倒退回这个房间，这张课桌，退回到这次补习。既然知道以后会在一起，就不要发生那么多猜忌和误会，不如从这里开启一个崭新的走向。我们虽然还有大把的时间，但是和你一起，总不该继续浪费。 承认吧，真实的世界里，你喜欢的他也喜欢你的几率为零，你向他表白他会同意的几率为零，你和他名字运算匹配成功的几率是零。这世界每天有千万人在相遇，谁曾卑微地寄出没有回音的信，谁会拿一只毛毛虫与他接近，谁会在雨天抱一床被子只求他不要离去。大多数人都当过最卑微的原湘琴，却没收获最喜欢的江直树，这是生活的真相，真相最残忍。 既然爱情本就是一道无解题，既然所有方程式都能推导出命中注定。既然有这样一场造梦的电影，不如就放下残忍的生活，做一次埋头的鸵鸟。如果火车一定不能飞机相遇，那就设计另一种解法。如此，还管什么几率，在青春里你喜欢过也勇敢过，也就够了。,93,10.0,6
3,3,30263995,一吻定情,e40c93456416a99ddb084cc0f29a6489,17955de14195d1b39f4e515c78a715e5,1.0,2019-02-14 20:38:05,没有比这个更加难看的垃圾了，希望台湾导演演员不要毁了大陆的影视资源谢谢了，通篇尴尬的台湾2000年的烂俗梗像是一泡陈年旧屎塞在了观众的嘴里。我不知道导演是不是台湾如果是台湾的求你了放过大陆电影吧。希望大家谨慎观看会被恶心到。好好的过一个有意义的情人节吧不说了女朋友说我脑残看这个烂电影。正在哄女友呢。,45,11.0,21
4,4,30263995,一吻定情,18b721fbc0af865cd95664465832afd0,9cf1def80599d7231104515504386b5a,,2019-01-02 21:06:55,抛开选角，拍剧可以，拍电影不合适。 讲这个故事一定要从男主不屑一顾的高冷开始，要到陷入对非女主不可的爱结束吧？讲好这个故事就是要合理的解释天才江直树怎么就偏偏爱湘琴这个笨蛋。 台版怎么做的，湘琴日复一日的打动，每遇到一件事，直树就被湘琴的爱打动一点点，改变一点点。开始在乎一些事，开始有更丰富的情感…直到湘琴的影响渗入直树的亲情观，志愿选择…直树离不开湘琴了，观众也恍然大悟：湘琴是最适合直树的那个人！更别说台版那些环绕着主角的细腻温馨的亲情和友情了！是这些不失真的细节给冰山天才直树和蠢真的湘琴这两个极度漫画化的人物以肉身，然后直树湘琴的爱情才生动。这些，两个小时够么？  预感，这电影只是人设化地把直树和湘琴搬上去，强行按头谈恋爱所谓“发糖”…反正直树湘琴的故事观众都知道，方便快捷。,288,7.0,66
5,5,30263995,一吻定情,8198eefa3c61a1a1c510b805b4bb2835,e8b55b742fdebbb4d0dd20ac780937e0,4.0,2019-02-14 17:14:56,王大陆长得一点都不聪明。台词还说的一板一眼。演一个天才大帅哥，难为小伙子了。 林允长得一点都不笨蛋。演个蠢蛋，还得手舞足蹈，难为小姑娘了。 然而他们年轻啊。 电影里还有很多可以提的人和小桥段。 粉丝群、朋友圈，改编的很合现代啊~ 必须腿长110公分以上才能加入的粉丝护卫队~ 帅帅的小阿金~电影80%的笑点和帅大概都给了这个阿金。 这片子里居然有两只美人鱼，虽然我更喜欢的是那只丰满的阿姨级美人鱼~ 还有李铭顺啊，新加坡剧都涌上心头。 想了半天湘琴老爹是谁演的……《老房有喜》里苏小鹏家的经理人，对吧？ 这就是三十多岁的人，看完《一吻定情》的感受。 感受不到青春。 感受不到初恋。 感受不到希望。 不是电影里没有，而只是，感受不到了。 停留在我的少年时光里的，只是那个图书馆窗边的柏原崇的侧脸；是那个和美的不得了的小泽真珠同为学霸，一直嫌弃佐藤蓝子却最终仍和她在一起的柏原崇。是跑遍全城的文具店，才找到的几张柏原崇书签。是拜托了各位离家在外的兄姐，才买到的《一吻定情》的盗版碟。 忽然明白为什么小时候印象深刻、觉得特别好看的电影，现在再看却味同嚼蜡。现在喜欢的东西，恰恰是小时候嗤之以鼻的那群。 ”相信“是很重要的东西。于电影如此。你得相信电影里的东西，才会觉得它好看。少年时候，总还相信自己的人生中，大概会有自己的“两棵树”，不是藤井树，就是入江直树吧？全世界的小姑娘，都喜欢那个斯斯文文、白白净净的学霸校草男孩吧？然而长大成人的代价之一，就是，再也不相信了吧？ 没必要diss现在的小孩子所追的偶像，大家都是从那个阶段过来的，往笔记本上贴不干胶，铅笔盒里放明星卡，抄歌词，看电视报的节目预告知道春晚会有哪个明星登场……和给偶像应援，没差啊~大人们爽过了，不要随便diss小孩子啊~小孩子拥有的，就是没有被打击过的梦想，和无限的憧憬啊。 大概很多小孩子以后上豆瓣的时候，会惊讶，为什么给这部《一吻定情》的评分不高啊！ 因为那是大人们打的分啊。 他们再也回不到十八岁。再也回不到初恋的青春啦。,272,22.0,124
6,6,30263995,一吻定情,d0f8dff9323e9d83b3b09d90b50edb99,c10ab2cb6b0f5de258a20049bafab271,4.0,2019-02-15 21:03:25,"先说一句，我酸了。

顺毛王大陆好苏（以后都请放弃露额头好吗），卷发林允好好看（只要不做那些白痴表情）。  作为新生代表上台做开学演讲，模样又生得好看的男孩子是所有女孩子都会喜欢的吧。聪明、自信、在台上侃侃而谈、经验老道得不像一个学生。在你贫瘠的知识面里，你想像不出有什么事情是他不会的（除了不会娶你，哈哈）。毕竟你可能还在家长蘑菇呢，人家就已经去波士顿参加冬泳比赛了。虽然王大陆长得并不像一个学霸，但还是不知不觉地被代入了剧情啊。好像自己也是万千迷妹中的一员，坐在台下，看着台上那个会发光的人。

湘琴呢，怎么讲，其实对这种蠢货人设之前是比较抵触的，以至于朋友疯狂推荐的台版一直都没看。后来在《演员的品格》里看到演《恶作剧之吻》，湘琴在雨里跟直树说再也不要喜欢你了那段，很丢脸地看哭了。什么叫蠢呢？因为想要靠近你，即使知道靠近了会藏不住我的笨拙会闹出很多笑话，我也依然想要这样做。这是她能给予他的全部真诚啊。林允只要不尬笑，还是很有湘琴的感觉的。两个人面对面趴在书桌上睡着的画面，超级美好的啊。 

我在想，每个人的生命里都一定有一个自己仰望的人。可能是学生会招新的时候，那个笑称自己篮球打得很烂的体育部部长。后来你看到他在篮下过人，身手矫捷似蛟龙，才发现那个玩笑的后劲是让你在观众席里面红心跳。可能是小时候下棋下得无敌好的邻居家的哥哥，你还在被规则绕得云里雾里的时候，他已经拿着棋盘去找大人下棋了。后来你好不容易努力地弄懂了规则，知道了各种术语，而那个时候的他已经站到了领奖台上遥不可及。

喜欢一个人就放肆喜欢，不管看上去与他有多么不相配。能做到这一点的湘琴，真的很让人羡慕啊。

她在表白卷轴的最后写——

姓名：原湘琴 
爱好：江直树 
專长：喜欢江直树 
梦想：嫁给江直树

除了姓名，我的爱好是你，专长是你，日复一日的梦想是你。甚至在我的姓名前面，未来也想冠一个你的姓。就是这样直白地告诉你，我不怕你骄傲，也不怕你嘲笑。

真是又傻又让人羡慕。我们大部分的人都活得太克制了，习惯先掂量自己的斤两，小心翼翼地试探，对方退一步，我们能退一万步。在自己没有勇气的时候，自我安慰说，爱情才不是每天陪他聊聊天，约他出来看看电影呢，要成为一个更出色的人，把其他人都比下去再来喜欢他呀。其实也说不上哪种方式是对的，是好的，只是没由来地羡慕。畏首畏尾的人羡慕这世上有人可以一往无前。

而对于直树来说，湘琴就是一个莫名其妙的存在。出现的时机莫名其妙，送的情书莫名其妙，做的幸运符莫名其妙，他可以在心里列出来一百个不喜欢她的理由，列不出来一个喜欢她的理由。可原本喜欢这种事情就是没有理由的吧，所以他也莫名其妙地喜欢上她了，并且醋吃得比谁都高调。运动会上，湘琴推说与他不熟，直树直接把换下来的运动服丢给她，众目睽睽之下交待她“拿回去洗”。四两拨千斤地宣布所有权，看得人一脸姨母笑啊。（话说上一次有类似的感觉，还是在看《微微一笑很倾城》的时候，肖奈在球赛中场休息的时候，跑到观众席跟贝微微说话。） 

总之小情侣的日常就是甜甜甜！好多桥段都看得人星星眼。

雨夜直树把湘琴搂到怀里，告诉她，“我没有要走。”这两个人，一个担心对方不习惯脏的被褥，跑去找新被子，一个担心对方没有吃饭饿了肚子，跑去找吃的。千言万语，都融在了一个拥抱里。
湘琴说“如果我真的没有追到你，你可以不可以答应我，一定要找一个比我更喜欢你的人在一起”，直树在她睡着之后才回，“找得到吗？” 看吧，他已经默认了她是最特别的那个人了。
直树说要和湘琴结婚，湘琴问直树知道什么是结婚吗？直树说知道，“结婚是能把你留在我身边一辈子的方式。”在听过的众多关于结婚的定义里，这绝对是最让人少女心爆棚的答案了。
……

虐的部分当然也有——

要从直树家搬走的时候，湘琴爸爸说，“你喜欢过，勇敢过，也付出过，最后要离开了，我们也要留下一道潇洒的背影。”然后拿走湘琴死攥在手不肯放下的一盆多肉。好难过，与这个家与直树最后的联系，好像就随着这盆多肉的放下而放下了。
还有湘琴从医院出来，平静地把保温桶放到垃圾桶上，然后大哭着跑开的那段，我也跟着哭得稀里哗啦。

但是小情侣还是要甜甜甜！所以虐的部分就请忽略不计吧。 

这个世界上啊，每天有这么多人相遇。也许我和你相遇的几率为0，我喜欢你你也喜欢我的几率为0，我努力追上你的几率为0，我不顾一切感动你的几率为0，我不妨碍不拖累你的几率为0，我能独占你的几率为0。可爱情从来就不是算出来的，而是爱出来的。

最后想问一句，这种甜甜甜的爱情什么时候才轮到我？",49,4.0,21
7,7,30263995,一吻定情,818745f69df7658050952ac68adee327,cc1feada2a115a26768a76b1aea9968d,1.0,2019-06-07 21:46:10,台词很做作，台湾腔太矫情，剧情装逼，人设崩塌。电影里的台湾腔真让人全程出戏，硬凹感特别严重。 林允太瘦了，美人鱼里还算水灵，可是到了一吻里怎么这么难看。奇葩的台词配上眉飞色舞非常智障的表情，难怪是原湘琴，整个一个山寨款。台词太差。 江直树的人设也很崩，直树人高冷但是不贱对女生绅士。大陆带着学校老师出现在百名榜，他走出了一种居高临下的气势，完全生不出好感，那种暗戳戳互生喜欢的情愫也完全没有。然后就有种霸王硬上攻的感觉，直树强行对湘琴霸道。直树也不可能把湘琴推倒而不理，直树和阿金pk腿也太幼稚了太傻了。 一群妹子对着穿loli装跳舞的大陆说好萌，真的不是瞎吗？,14,1.0,1
8,8,30263995,一吻定情,b12bc3e3ac7e7a3c06342893655b551d,9abf83dbad4d5072c5812ed17f364761,2.0,2019-02-15 12:47:15,"想问整部片子是不是对湘琴的人设是不是有什么误解？？？  一吻一共看过两个版本。13古川和台版。13版当年我十五岁，少女心杀伤力之大让我现在都沉迷古川小哥难以自拔  整部剧古川和穗香两个人铜矿咕噜咕噜全是是粉粉的泡泡  当时因为特别中意穗香妹子暖洋洋又带一丢丢蠢萌的笑容 和全剧极细节化又日系风的道具  一度沉迷日风很久很久。 而后又才去补了台湾版，一没看几遍大概是年代比较久远了，二真的是把巅峰了吧。彼时的林依晨有些婴儿肥，但带着孩子气的笑容也瞬间击中我，台版在我心里也是不可撼动封神一般的存在，也会时不时翻出来再看上好几遍用来下饭。以上，也许是前几版太过于经典，我在电影院里看完这一部，真的是一脸懵比，只能说不伦不类吧。  私心里最喜欢的13版图 啊啊啊我软萌的妹子 先说下，林允小姐姐很美，也瘦了很多。整部片子都在努力走少女风，很日系，但不是你带个花蝴蝶结和那个粉嫩嫩的手表就可以变成元气少女。 





 





  微博的动图你们感受下  另外表情再夸张也不是萌萌哒的kotoko。  最后的最后os   kotoko/湘琴/琴子  是胶原蛋白满满  傻fufu 笨手笨脚的元气少女  她不断惹祸不断做错事可她永远像个小太阳🌞  也正是因为这种冲劲儿才融化了傲娇的直树  她是蠢萌 不是智障好么……虽然原漫画是多田熏视角  过于表现自己的聒噪和入江多高冷多傲娇  但能不能不要演得跟个六岁低龄儿童一样我真的谢谢您了…… 其实整部电影笑点还🉑  最起码说不会让人觉得出现空挡的感觉  另外cp感这个东西真的是玄学……  

格外想念我的穗香妹子(；´Д｀)",24,,8
9,9,30263995,一吻定情,edd547140c2a2e0a873d36517cec008b,d8135dac73e66e8e677edb816f3b493e,2.0,2019-02-15 14:07:11,"作为一个看过台版、日版（新旧两版）以及原版漫画的人来说，《一吻定情》可以说是青春期最美好的回忆之一了。里面的男神各有千秋，不管是古典美少年柏原崇，还是臭脸又温柔的小综，亦或是第二眼帅哥古川，总能在某种程度上满足你的少女心，看剧的过程就是小鹿乱撞dokidoki不停啊！ 快来说说你最粉谁！ 所以，我一开始看到这次翻拍男主是王大陆的时候内心是无比拒绝的！！！毕竟巨（chi）齿（xiao）鲨（hai）给人留下的印象太深，他怎么可能演绎一个不苟言笑冷到骨子里的天才学霸嘛！！ 但是打脸还是来的很迅速，怎么港呢，就还莫名挺合适？！基本全程没看到他露齿笑（高冷人设hold住），甚至到后半部分还有让人感觉挺酥的部分出现！当我忍不住露出姨母笑的时候，自己都觉得挺孩怕的！怎么现在不挑食成这样吗！！（开玩笑的，哼 扯远了，先说一下这部对内容的改编吧。 当年看完日本13年电视剧版后，忍不住强烈的好奇心就把漫画给补了，这版电影其实还原了很多漫画的内容，如果是老粉的话，应该能对应上很多熟悉的画面和桥段。两人第一次见面时在教学楼前的“无心之吻”、直树在楼梯拐角对湘琴的“霸道之吻”、两人在山间旅馆的“秘密之吻”等等。妈耶，我在看的时候，脑子里走马灯似的划过所有当年粉过的男主、以及那时候少女的自己…（而且在看第三个吻的时候，zqsg的dokidoki了起来！少女心不死啊！） 





 但因为这次是被改编成电影，2小时内肯定没有办法做到像电视剧那么从容地铺垫递进，所以在保留所有经典情节的前提下，就牺牲了一部分中间转场的流畅度，看的过程中情绪也有中断感。也算是遗憾之一吧，如果做成系列电影，节奏上应该会舒服很多。 女主嘛，一开始感觉找她来演高中生不会有点太尴尬吃力？但是看的时候一点也不违和！胶原蛋白bonbon啊，一查是96年的，失敬了，原来演《美人鱼》的时候才20岁…坦白说开头觉得她扮蠢太刻意看的好累，但是不知不觉中就get到了这个人设，后来雨中拥抱就还挺萌？！（我是江直树附体了吗我） 湘琴这个角色，最吸引人的就是身上的那股纯纯痴痴的傻劲儿，以及向着喜欢的人不停奔跑的勇敢。这些话现在说出来好像挺俗，但是就如同游戏打级一样，当你看到女主角通过自己的努力跟男主的距离越来越近，身上也渐渐散发出光芒，那种激动的代入感，难道不就是少女漫/电影的原初吸引力吗？ 





哈哈哈，仿佛看到了傻fufu的自己   除开爱情桥段，其实这部戏更耐看的是沙雕搞笑部分。导演陈玉珊，对，就是之前导《我的少女时代》那位，这次启用的依旧是全台湾班底，除了女主角一位大陆人（哈哈哈哈，大陆人这个梗在这里太好笑），拍摄地从结尾字幕看，应该也都是在台湾，而且其他的配角都很眼熟耶！有种亲切感。 比如湘琴的死党之一，是之前演过《恶作剧2吻》里面爱杀鱼的女孩子，不知道这次演这部心里啥感想；演直树他们家佣人的那位，是《我的少女时代》里面女主林真心她麻麻；还有江妈钟丽缇和江爸李铭顺这种知名度高的就不用说啦，不知道里面钟丽缇是不是用的自己的原音，硬拗普通话真是好可爱鸭；最后呢，着重提一下阿金的扮演者——陈柏融（现女友是张予曦），而且看上去怎么跟王鹤棣撞脸了？？最重要的是竟然是84年的！！为毛还有一种少年感？？这种颜我可以！ 中间那位，是不是很帅你摸着胸口窝说说 戏中呢，还有类似“脱粉”、“站姐”这种粉圈专用语，而貌似凤姐的念高一的站姐还组织了一批腿长貌美的校园粉丝团（腿长至少1.1米以上！），天天up江直树的近况及在各种公共场合给他热情打call，哈哈哈，我不知道导演是不是也很懂粉圈的各种操作，反正玩的很溜呀！ Anyway ，放下对男女主的固有印象，把它当成一部轻松搞笑的浪漫情怀电影看就好，毕竟这真的是个沙雕剧啊！ 



",30,7.0,12
