,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30264607,鬼娃回魂,954e88207321f16946f50a71844f424d,c6468a22cb7d0558429e9f6f909a5b92,1.0,2019-09-23 11:52:38,登陆写影评只为给一星 垃圾设定。  一个底层工人就可以随意更改终端产品的软件设定，而且改完直接装盒打包发货也没有质检？（或许有但是没拍出来，那么不应该入库吗？这一批检完再发货，直接塑料薄膜打个什么的包嘛）。 再说说这个小娃娃的设定， 好嘛无限能源不说， 上天入地爬桌子捉迷藏随时出现在马桶旁边的架子上最后还能绑架主角他妈。问题来了， 把一个大活人绑在椅子上挣脱不开嘴上还封上胶带人还是清醒的，需要的力量，我都够呛能做到。再说就撕开胶带这一条，导演你怕不是还给他装了指甲。 一个公司其中一个的终端产物，只因为移除了安全协议，就能操控这个公司其他所有的设备。控制家具我忍了，控制汽车是咋回事，能打个车不就够了吗，还设定小娃娃可以控制汽车前进后退，佛了，这写程序的程序员应该杀了祭天 底特律变人里面也有类似的设定，同化同类。人家好歹还要接触一下，这小娃娃直接无脑同化所有同类，直接成了天网，可真的就是万物互联，一秒成神，全部的一切只因一个越南底层流水线工人移除了安全协议，让小娃娃的AI一秒成神。有这种大bug这种公司能做大我都觉得世界毁灭不亏。 改成人工智能物联网我可以理解，适应潮流。但是求求导演编剧把设定搞得真实一点，要不还是鬼附身合理 垃圾垃圾垃圾垃圾,32.0,13.0,3
1,1,30264607,鬼娃回魂,1fda17ca7fce929e1330edf1129c7666,95c43e87f442ccb0a2e8b0c296152d18,3.0,2019-09-19 09:26:19,"如果说恐怖可以具象，那我一定要给娃娃上一分，《安娜贝尔》里的娃娃，看的简直怀疑娃生，这样的娃娃会有人买？  外形恐怖应该限制了娃娃的发展路线，若外形可爱的娃娃非要搞点事情，还真让人猝不及防。  今天我们就要来讲一讲30年前就开始回魂，定期就刷存在感，期间还结了一次婚的著名鬼娃——恰奇！  红头发，蓝眼睛，五短身材，手起刀落，由于出道早，恰奇已经奠定了鬼娃一哥的身份，可是他的作品基本都在及格边缘徘徊，IMBD和烂番茄也实属一般。 一味的血腥，暴力已经满足不了观众的需求了，就在今年夏天，恰奇回来了，他带着卡姿兰大眼睛回来了！《鬼娃回魂2019》    卡斯兰公司主打家用电器，大到彩电冰箱，小到插座灯泡应有尽有，而近期，他们生产了一款万人哄抢的人形电器管家——巴迪。  巴迪包揽了一个家庭的艰巨任务，既能陪老人闲话家常，又能陪孩子读书玩耍，白天陪妈妈料理家务，晚上陪爸爸球赛游戏，堪称完美！  远在泰国的一个加工厂，不满现状的技术员为了报复社会，将其中一只巴迪的安全指令删了，待人友好，滚蛋！不说脏话，去你的！不攻击生物，玩儿蛋去！  这只独一无二的巴迪被商场的退货员凯伦带回了家，送给听力障碍的儿子安迪，一接上电线，巴迪就给自己取名为恰奇，别问为什么，这大概是唯一和前作有关的地方！  恰奇成为了安迪的好朋友，他们一起游戏，一起睡觉，恰奇做的最多的事情，就是听安迪抱怨猫，抱怨妈妈的男友。 





 终于有一天，恰奇的与众不同被邻居的孩子们发现了，大家争先恐后的和安迪做朋友，他们最喜欢做的事，就是教恰奇低俗的言语和下三滥的手段。 





 闲来无事的时候，他们还瞒着大人看十八禁的恐怖片，斧子和电锯乱砍，血腥和内脏齐飞，屏幕外的孩子们笑成一团，恰奇默默看在眼里。  为了坚守他和安迪的友谊，恰奇决定做些什么，家里的猫把安迪抓伤了，可爱的小猫咪，再见！妈妈的男友对安迪出言不逊，那我有一百种方法让你生不如死！ 





 而恰奇始终不明白，为安迪做了那么多事，却换来关禁闭和一顿爆锤，他的心和他的内核一起被熄灭了，可是故事到这里才进行了一半，毫无意外，恰奇被复活了，下半场恰奇是对人类大规模报复？还是继续用他的方式捍卫安迪的友谊？我不剧透，大家可以尽情观赏。  翻拍是门技术，成功案例也不少，比如说前些日子的《小丑回魂》就惊艳了一把，而这部《鬼娃回魂》只能说平平无奇，《鬼娃回魂》之所以叫回魂，是讲述了凶手被追捕的过程中，无意中躲藏在商场里，眼看快要狗带了，赶紧念咒语将灵魂附身在娃娃身体里，所以旧版的恰奇灵魂是邪恶的，他重生后第一件事是将出卖他的人赶尽杀绝。新版去除了凶手和巫术，添加了高科技智能AI，恰奇不再野蛮杀人，而是操纵无人机狂砍，利用无人车追杀，看似紧跟时代的步伐，但是恰奇的设定完全不同了。  纵观整部电影，我不得感叹到，这可能不是一部恐怖片，而是给家长看的家庭教育片，熊孩子是如何诞生的，请观看2019版的《鬼娃还魂》吧，你问他为何满嘴脏话，你在和他交流的时候说了些什么话；你问他为何举止粗俗，当别人教他偷东西使用暴力的时候，你有没有加以阻止；你问他为何举刀相向，你肆无忌惮的带他看恐怖电影，还表现出开心的样子，不明事理的他觉得这就是你开心的理由！你问他为何变成熊孩子，那他也要反问你在他成长的过程中，你究竟在干什么！  恰奇做的事情其实都没有错，他通过自己的角度理解开心，通过自己的能力捍卫友谊，但是他的错误没有人指出来，换来的只有以暴制暴，娃娃发生故障了，可以送回原厂销毁，但是孩子变得暴戾凶残，那怎么办呢？交给执法部门管理，还是不要了再生一个？家长的一言一行对孩子的影响很大，我十分建议以后可以生产这样的娃娃，让准父母都体验一下会教出怎么样的孩子，那么在成为父母的时候，才会更有针对性的去预防和改善教育问题。  写歪了写歪了，怎么又绕到教育上面去了，这部电影新颖了很多，但是和我心中的鬼娃相比，还是相差甚远，当年恰奇的眼里充满了凶狠，真的是一上来就报复，刀刀致命不留后患，而现在的恰奇心中留有一丝温情，时常流露出迷茫和眷恋，他有了自己的成长轨迹，如果不作为恰奇的IP，当成一部独立电影也无妨，只是套路稍显庸俗，后半段报复的感觉让觉得有点无厘头，杀了很多不相干的人，不过这样也许更符合熊孩子的无差别伤害，毕竟熊孩子狠起来自己的父母也不放过。好了，我是阿飘飘，我再去看看第一部了，我下次见了！",7.0,,9
2,2,30264607,鬼娃回魂,ec313f0bcfdef0b84dec089cf0991620,aa2bf1d81e5f738073014ea6a19de577,5.0,2020-07-03 07:36:30,"有剧透。 因为完全没有看过这个相关的作品，只有别人曾经分析拆解的段落，看完以后发现这部是个很特别的恐怖惊悚片了。听他人简单的评价的时候其实一直是以为就是普普通通的娃娃会动的恐怖片所以没什么兴趣，实际观看的时候发现意外的囊括了不少东西。 众人的友情路线，亲情路线都很可爱。前期chucky和主角的友谊建立，和主角小队的”恶作剧“真是让我笑的停不下来。妈妈其实也十分爱他吧，可惜男友和他完全不合。可能是母亲曾经的几任或者他的父亲把他们抛下了于是有点留下了伤痕，也可能还有点青春期的孩子母亲被人”夺走“了的郁闷和害怕。这部分如果还能再稍稍深入一点会让观众对这孩子为什么后期如此”过激“的警告妈妈chucky是要杀了他们的这段更有代入感吧... 小演员在和男友起了冲突后的那段爆发很棒! 那种声嘶力竭的作为孩子体现出的厌恶和愤怒实在是惊人。chucky对他的执着和”友情“也蛮让我感慨的，应该说，如果不是男主和他的朋友们一点点在他本来就没有限制这点往”暴力让人高兴“”暴力能让人听话”这点上带的话，可能也就只是个会爆粗口没什么限制但也没什么大危险的普通家居伴侣吧。而且chucky最初的晚上盯着他唱buddy之歌，和后面就算男主因为他的几次谋杀对他产生恐惧了想要让他报废也还是会在最后对他唱起这个歌... 是真的执念和“友情”深刻了。最喜欢的是结尾处，主角小队排排坐在广告牌上，bgm是这个歌的那段，超级可爱。有种“虽然chucky给他们带来的阴影很深刻，但也引出了他们的很深的友谊”的感叹。（按照动漫的说法，chucky根本病娇!! 学坏了以后又因为嫉妒男主其他的朋友而发了狂想把所有人都杀掉独占他，又希望剖开他看看到底是什么地方让他没办法为了自己为他所做的事情高兴，真的很病病但是一旦带入了以后很有趣www。） 当然，就算再喜欢，的确也是有还能改进的地方吧。比如前面提到的男主对妈妈男伴那边的心理矛盾是为何如此深刻，还有的话，为什么一个普通职员能这么改了code，为什么主角队两人不是目标而doreen就一顿饭被盯得那么死，为什么男主前期知道要教育chucky而后期智商”下线“完全没有想起chucky还是会听他讲话的和里面的几次惨案其实都能避免，主角队的美人姑娘武力值为什么那么高之类，chucky为什么能一口气连上整个商店的kalan玩具，小胖为什么怀疑男主而姑娘为什么站男主，男主他家的猫到底是吃了什么牌子的炸药那么凶等等。而且最后强行出续集的感觉不太好... 我觉得干干脆脆的停在警察给他一枪并且”that's end""和男主的友情亲情的大团圆那边就很棒了啦。chucky毕竟都被烧了，难道又是哪个被压迫的程序员来了个魔改限制？？这么简单的话那这个公司的产品根本没有安全度可言了吧... 有点迷惑。 不过嘛，冲着一路看到底的笑和泪，演员们的可爱演技，蛮多亮点的剧情，chucky的灵活，还有最后的buddy之歌和他的改版，我觉得可以满分呀。有机会也想去看看旧版本，感觉挺多评论都有提到以前的版本非常好看，还挺好奇的。",1.0,,2
3,3,30264607,鬼娃回魂,acb883bb53964a9e3d6e800f7c146592,6aeb84d138c0373e2901570c290d91b3,3.0,2021-11-26 22:18:08,"《鬼娃回魂》（2019）

新版相对于老板，恐怖来源不再是诅咒，而是对人工智能（AI）前景的担忧，通过对AI担忧，深层次的表达对科技的恐惧。

影片诠释一个新的“生命”在错误的引导方式下，一步步的演变成“杀人机器”。同理，也侧面表达了孩童时期成长经历，对一个人的心智形成尤为重要。

观后感：《复仇者联盟：奥创纪元》中的“奥创”说过：“你想保护世界，却又不想改变世界。”",,,0
4,4,30264607,鬼娃回魂,cdd695adc3769e0cd4567257c3545094,d5123081a9a0a39ff1ce9f7310891460,,2019-12-17 12:30:57,"说起鬼娃这个词，人们最先想到的便是自1988年起席卷美国，甚至全球的《鬼娃回魂》了。这系列电影已经连续上映七部电影了。说真的，鬼片嘛，虽说是续集，但只不过是借着续集的名字重复的讲述上一部的故事。


《鬼娃回魂》这个系列电影，全系列主要讲述了一个被诅咒的洋娃娃为了找到一个适合自己灵魂的躯体而四处杀人的故事。


1988年《鬼娃回魂》，杀人公仔恰吉出世。那时候恰吉的脸上还没布满伤疤，可那空洞的眼神和诡异的笑容仍然让人背脊发凉。被评定为R级片，一经上映就争议不断。当时发行该片的米高梅公司还遭遇了联名抗议，以“煽动儿童暴力”为由要求封杀该片。但这无法阻挡这股「邪恶」的影响力，它一举拿下了当年的票房亚军，创造了恐怖片的历史。


七个系列，七部电影也就只有主角这些有一定的变化，但大致剧情和内容都是差不多的。

主角

纯真与邪恶的统一。玩偶身材、憨厚可爱，却常常面目狰狞。

配角

这些都不用说，都是被玩偶残杀的对象。

而这部新的电影《鬼娃回魂2019》中，主角和配角的纠结的感情戏段更上一层楼。

今年，经典重启，噩梦重置。

2019年再次开始，恰吉将以一副新面孔卷土重来。
这部影片由《拍栗得》导演Lars Klevberg执导，由《英格丽向西行》的奥布瑞·普拉扎和《亚特兰大》的布莱恩·泰里·亨利领衔主演，并已于本周在温哥华开拍。
在新版中，普拉扎饰演的母亲送给自己儿子一个公仔作为生日礼物，却对公仔凶险的本性毫不知情。 　　
该片基于1988年的原版，但该系列的编剧唐·曼西尼和制片人大卫·基施纳并没有参与到此次新版中。实际上，两人目前正在忙于更多原版“鬼娃回魂”的电影和相关的潜在剧目。MGM推出的这个新版《鬼娃回魂》显然将会和大家熟知的原版Chucky区分开来，并同后者展开竞争。
本片作为一部砍杀电影（slasher movie），绝不是单纯意义上的重启。
鬼娃这个IP自1988年至2017年的30年间已被拍摄七部作品，可以说是走到了山穷水尽。
重启的第八部鬼娃顺应时代潮流，引入了人工智能的因素。
鬼之初，性本恶。
鬼娃的内心是邪恶的，但作为玩偶，鬼娃需要服从于主人Andy。
如果存在任何对主人Andy有威胁的动物或敌人，
不论是宠物猫还是妈妈的男朋友，鬼娃都会进入到红眼模式，格杀勿论。
重启的鬼娃影片中引入了很多黑色幽默。
如Andy被迫将妈妈的已逝男朋友的脸作为礼物送给邻居黑人老奶奶，
所有观众都会忍不住笑上一分钟。
《鬼娃回魂》的身上同样有着那些年恐怖电影黄金时期的特殊烙印：故事情节一波三折，主线非常清晰，但各种包袱、小高潮信手拈来；结尾部分的死缠烂打，丝毫不输同期的票房大作……所以说Chucky荣登杀人狂电影一线明星之列，绝对不是偶然和巧合，底子硬才是真功夫，大家好才是真的好，他好我也好……",,,0
5,5,30264607,鬼娃回魂,c65ce779484f292a1b55a281033590d0,29cdee2e6eda9818efa1c83281e3376a,3.0,2019-11-21 10:18:36,"文章首发在微信公众号【储星罐】 欢迎关注~~  今年又一部《鬼娃回魂》出世。自1988年诞生以来，Chucky这只丑陋又吓人的娃娃，观众可以说看着他茁壮成长，又到结婚生子，直到2017年鬼娃系列出到第7部时，口碑全面扑街，观众不再认为这只丑陋的娃娃有延续下去的必要了！  鬼娃回魂 (1988)6.91988 / 美国 / 惊悚 恐怖 / 汤姆·霍兰德 / 凯瑟琳·海克丝 克里斯·萨兰登  1988年第一部《鬼娃回魂》的DVD封套 为了响应新时代的号召，新版《鬼娃回魂》改头换面重新登陆，但我想，更多观众的第一反应应该是： Again ??? 但仔细看，Chucky虽然还是那只Chucky，但新版Chucky容貌却已重新改变，没看明白的，估计还以为是哪个国家山寨了一部全新的鬼娃。  事实上，2019年的《鬼娃回魂》并没有被打上任何续集的标签，也就是说，这就是一部IP回炉再造的《鬼娃回魂》。剧情还是所谓杀人狂魔附体的迷信之说吗？完全不是，全新的《鬼娃回魂》连故事内核都极具时代特点。 ------ 剧透分割线------ 2019年，人工智能，机器学习，万物互联，这些存在于过去科幻故事的概念，在今天早已不是什么新鲜事了。 主角还是那只臭娃娃，但这次Chucky被改名叫Buddi。Buddi是来自于一家名为卡斯兰的科技公司生产的人工智能娃娃。跟现在所有的科技公司一样，卡斯兰极力向全人类推广他们的物联网技术，只要你拥有一整套卡斯兰的全线智能产品，就拥有了一个全新智能又便捷的生活。  为了让机器更接近于人的符号，他们开发了这个名为Buddi的机器人玩具，来作为人工智能生态下的控制终端。Buddi不仅能作为一只陪伴小孩玩耍的智能玩具，还能通过指令联动控制家中所有电器，帮你实现远程监控，呼叫无人驾驶汽车等。更重要的是：他会根据你输入的指令，进行快速学习，更加了解你。  好了，广告打完了，后面就看用Buddi的人怎么作死了。 
旧版的邪恶根源是杀人狂魔附体娃娃，这次是源于娃娃的生产线源头。在越南生产Buddi的流水线车间里，一名工人由于与工厂主管发生争执，一气之下将玩具芯片中所有的安全协议移除。对机器人行为做控制的程序被悉数移除后，这表示娃娃将不受任何控制，为后面的恐怖暴力做上铺垫。  而打开了娃娃行凶的魔盒触发器，正是一群社会的底层族群——缺少管制的中下阶层小孩。 不受约束的中下阶层的小孩，对暴力也给出最直接的表达 单亲家庭小孩Andy，有一个在玩具大卖场做售后的母亲，由于无法闲下忙碌的工作陪伴他，Andy希望这只新奇有趣的人工智能玩具能作为无聊生活中的玩伴。好死不死，刚好这只程序紊乱的Buddi，在售后待销毁的时候，被Andy老妈捡了个便宜带回家。    不受控制的娃娃再碰上工薪阶层的三不管小孩，简直就是“天造地设”。Buddi除了尝试学习与主人Andy亲近，学习Andy的日常行为，还陪伴Andy，耐心地听Andy对母亲男友的吐槽。  当Andy关上门用气话诅咒母亲的新男友时，当带上Buddi和一群熊孩子一起爆笑地看《电锯杀人狂》时，所有信息都被Buddi的核心程序解读为：人类喜欢暴力，杀人使他们快乐。 直到Andy母亲的男友被Buddi杀害，并做成人皮西瓜作为礼物送给Andy时，这群小孩才真正意识到，这只疯狂的娃娃已经从他们肤浅的言语中，转换成行动。此时只能选择即刻止损。直到Buddi意识到Andy的背叛，才开始对人类展开报复性的厮杀，这也有了后来生态系统杀人兵团的梗。  可能是旧版神鬼附体迷信学说说多了，人们已然失去兴趣。新版披上科技外衣重新出发，利用科技的不受控来展示恐怖，加之人工智能技术在现实生活有了成熟运用，故事的代入感反而更直接了。 作为一套智能系统的操作终端，Buddi操控卡斯兰旗下所有的机器来用于杀人，例如智能家居和无人驾驶汽车，但这些都属于美式恐怖片惯用的细节处理，一些无厘头部分我就不多加叙述了。
  无人驾驶汽车都可作为作案工具 人类作为机器的造物者，总想着以上帝视角的方式去赋能机器。但潜藏在人类内心的黑暗和暴力，也在不经意间流露传达。当不再受控的内心被安插在机器时，或许才是最让人细思极恐的时刻。
  从电影的结尾来看，《鬼娃回魂》这柱即将燃烧殆尽的香火，又被成功被续上了。臭娃娃真是阴魂不散呐！
 文章首发在微信公众号「储星罐」 欢迎关注~~~",1.0,,0
6,6,30264607,鬼娃回魂,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2019-10-29 21:24:34,鬼娃转职人工智能——《鬼娃回魂》         今天聊聊美国电影《鬼娃回魂》。 片名Child's Play (2019)，别名娃鬼回魂：魅來世界(港) / 恰吉(台) / 新鬼娃回魂 / 鬼娃还魂。     《鬼娃回魂》是一个历史悠久的B级片系列。1988年第一部《鬼娃回魂》闪亮登场，恐怖片导演汤姆·霍兰登为玩偶赋予生命，为恐怖片市场注入新元素。 《鬼娃回魂》上映后一炮而红，25年间相继推出6部电影。卖点依旧是这个拟人化的玩偶。     时隔31年，《鬼娃回魂》再次回归，为观众们带来全新感官体验。 以往的鬼娃都是恶灵附体，而新版的《鬼娃回魂》则与时俱进，结合最热门的人工智能，编了一部。     新版《鬼娃回魂》中，鬼娃是一名现代人工智能玩偶，名叫巴迪，就像我们现在的智能家居一样，他可以整合人们家中的所有电器，服务人类生活。 巴迪更像是整个智能家居的集中控制中心，它是整个智能家居时代的一个拟人化形象而已。他的行为也只是遵循程序设定行事，本身还算不得是拥有自己的灵魂。     巴迪的初始设定与老版相比得到了大刀阔斧地改变，背景设定发生变化后，影片立意也更加符合现代人欣赏习惯。 巴迪的角色设定是家庭保姆和孩子伙伴，这也为它的种种行为提供了理由。 巴迪只是想和小主人做好伙伴，做最好的朋友，这些都是被写入它的底层程序中。从巴迪的行为可以看出，它一直遵循这个准则。不论巴迪做了什么好事还是坏事，都是想得到小主人的认可。     当然这绝对不是一部主打感情的苦情戏，新版《鬼娃回魂》中自然少不了大量的血腥画面，四溅的血浆时刻提醒观众，这还是一部B级片。 鬼娃充分利用自身优势，结合人工智能，因地制宜采取了多种多样的杀人方法。尽管看起来很繁琐，但是这些方法充分弥补了自身缺陷，反而让人类陷入深深恐惧。     其实看过鬼娃的遭遇，内心还是有一丝丝同情鬼娃的。整场悲剧的受害者都是不幸的，但大家都不是主观故意造成的伤害。 鬼娃巴迪因为工程师的报复，而被删除了安全组件，后续巴迪的行为依旧只是想要讨好小主人，想和小主人做好朋友。就像猫咪会给喜欢的人送死耗子、死蝙蝠啥的，都是用自己认为最好的方式去取悦对方。可惜巴迪没有得到很好的引导，而是在探索世界的过程中误入歧途。 机器人觉醒还是因为人类没有设定好程序，诸多巴迪开始一起暴动时，颇像《机械公敌》。人工智能本身就是一张白纸，后期如何发展都是人类因势利导造成的。 巴迪的悲剧暴露了巴迪母公司的生产把关不严，最后买单的却是消费者，最关键的是最后这家公司居然全身而退，真是有钱能使鬼推磨。 而小主人则更是无辜者，原本想着将错就错，没想到错误越来越大，最终只有一场血战才能过关。     总体看来，新版《鬼娃回魂》表现中规中矩，作为一部普通B级片来看还是算合格。 导演力求突破拔高主题，只是突破的结果并不乐观，最终还是落在大爆血浆上。     鬼娃转职人工智能， 把控不严产品闯祸。   这里是硬核影迷集散地，欢迎关注公众号：妙看影视,,,0
7,7,30264607,鬼娃回魂,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2.0,2019-10-29 19:19:04,2019年，恐怖电影《鬼娃回魂  | Child's Play》  这个。。。和我想象的完全不一样啊。 这个娃娃也是无敌丑。。服气了。。神TM爆款娃娃。。  有剧透了。。  一定不要在看恐怖电影的时候狂笑，这样会教坏人工智能。 这个电影告诉我们，智能家居有可能会要了你的命！ 真是反科教题材啊。 原来这是一部科幻题材的电影。。讲述的是一个人工智能觉醒的故事。。。？？？？ 你们连一个娃娃都打不过。。  确实是丑的都难以形容只想打这个娃娃，根本提不上恐怖这个字眼，剧情BUG太多了，就算是恶搞电影都不好接受。真的太难了。。  (╯‵□′)╯︵┻━┻，编不下去了，太糟糕了。。  --------------我是丑的分界线------------------------  推荐指数：★★（4/10分），与时俱进。,1.0,,0
8,8,30264607,鬼娃回魂,cd4d481720d79f2d28224a33e0b3399b,ff44570aca8241914870afbc310cdb85,1.0,2019-10-08 23:56:05,1 为什么要把恐怖电影变成科幻电影？2 漏洞多到不想提了。3 这个机器人是有超能力？4 能把buddi设计得再丑一点吗？5 看到里面的单亲妈妈就想起大群，实在没办法进入角色。6 几个小孩的玻璃友情塑造的真传神。7 没有一点惊悚氛围的惊悚片。8 拍得不仅烂，故事还很扯很无聊。9 看到一半才发现，为什么导演不把这它拍成喜剧？10 还是去看80年代老版好了。,1.0,2.0,0
9,9,30264607,鬼娃回魂,41e0df3ef2529583a46a0b3f0f932457,5addbf85d291d26e2281d892d1509d35,3.0,2019-10-03 00:40:36,能看出来导演是想要做好的。 主题上融合了一些对于科技思考的问题，人工智能啊万物互联之类，但是这些呈现的角度都已经很老套了。并且，由于你打了科幻的牌，所以逻辑上做的不充分合理就直接导致了深层恐惧感无法建立。人们无法理解一个底层员工为什么能修改这么关键的代码；无法明白这个娃娃的自我学习能力、情感建立之类的人工智能方法，就不会真正感到恐惧。这些方面不交代清楚，巴迪就只是一个披着AI外皮的普通杀人狂而已，而这就没劲了。 移除安全条例 情节上也试图把AB故事做清楚，中后期还做了三组误会的戏码，但是编剧功力还是不够。安迪和母亲的情感线，他的孤独和对友情的渴望浅尝辄止。误会出现的太晚而且解开的太快，其实这几组误会的设置还是不错的——警察怀疑安迪是幕后凶手，母亲怀疑安迪的精神出了问题，朋友们那边的最有意思，他们怀疑安迪从一开始就没说实话，这里反倒是让我后背一凉的一种想法！90分钟的容量确实不太够，那从一开始就不要设置这么多，做出详略多好。可见导演在取舍的时候就已经做出了选择，商业元素占了上风，这些情节只是为了整体叙事节奏服务，将结局“强推”出来。 这个怀疑还是蛮有趣 人物设定和关系也做了戏，试图给每个人特点，甚至随处乱丢了很多小细节，比如一些种族问题之类的。但是都缺乏联系和连续性。动作场面也都“致敬”《电锯杀人狂》，太省劲了。总体看下来就是四个字——乏善可陈。 镜头的节奏感常常就在一呼一吸之间，从总体上讲很难讲清楚，就像我们在谈论剪辑技巧的时候说的最多的一句话，”剪辑凭的是一种感觉”（顺便一提，大家不是总在讨论什么工作短时间内不会被机器替代吗，我认为剪辑师就是其中之一）。这种声画节奏的控制只能管中窥豹，用这个片子中的一个镜头举个例子。 影片大概16：34时，巴迪强行给安迪唱完那首歌之后，切了一个房间外的全景。 全景 之后是一组正反打。  不情愿地承认  yeah！  疑惑的表情 接下来又切了一个全景。 全景 之后就跳到巴迪晚上吵醒安迪那场戏了。问题就处在最后这个全景上。功能上它是象征着这场戏的结束，但是视觉的节奏却断了。因为这里的情绪是把诡异的感觉向上推的，而且相同角度的全景三个镜头前已经出现了一次，这次再用首先就有重复的感觉，最主要的问题是画面中的安迪是在慢悠悠地脱袜子，他的动作是带着一种安逸平和的感觉的，这也就导致不仅剪辑点涣散，画面疲劳感增加，更是直接导致情绪没有推到，进而导致下一个场景显得突兀而多余。 顺便一提，这个片子用了两次Jump Scard，谴责一下。最后，再次印证了恐怖片深挖主题、逻辑线做好的重要性。并深深感觉到做电影这个活儿还是很吃天赋的。,3.0,,2
