,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30272753,宝可梦：超梦的逆袭 进化,ed2edcfa35e7f488020725afdabb02a9,9a625f0258f79e055ad5e7eb41fbe703,5.0,2020-12-12 21:39:25,《宝可梦：超梦的逆袭 进化》无疑是今年底80后最值得期待的情怀，甚至于没有之一。 11月的时候，上映了90后的情怀《数码宝贝：最后的进化 羁绊》，12月的时候，即使拍片稀少，皮神还是跟小智一起跃然在了中国的大荧幕上。我所在的城市只有隔壁区一个影院有着每天一场的排期，不惜跨区赶上了中午12点半的独一场，全场除了我和朋友外，只有另个小孩坐我们身后，他妈妈送他入场后就离开了，小朋友突兀的问我，叔叔你会不会手机静音？我以为是提前给我打预防针让我别影响他，谁料他把手机递过来，让我帮他把他的手机调成静音。 当影院的灯熄灭，屏幕亮起时，像素风皮卡丘从翻绿的单色屏幕跳出变成3D时，那一瞬间仿佛是跨越了GB直至3DS的交替， 自1996年2月27日起，从GB到GBA，到NDS，再到3DS，乃至现在的NS，编号025的皮卡丘就在任天堂的世界里存在了二十余年。 进入电影引子部分后，梦幻的初现无疑是最为激动的，尽管是作为恶作剧一般的诞生，但是梦幻作为红绿当年传说中的存在，树叶后的大眼无不昭示着梦想的启程。  旋即，就是人气选手超梦的诞生   引子结束后，挑战者出现，小智以及所有宝可梦玩家的御三家的出场，以及BGM的响起，那一瞬间恨不得打满满一屏幕的“爷青回”在屏幕上   剧情的推进与原版几乎一致，删去了一些略显拖沓以及非宝可梦迷不便于理解的部分，比如片头中早先御三家复制体初现以及消失，还有博士创造超梦以及他女儿AI画面的桥段，从接到邀请函——遇上风浪——进入小岛——战斗——复制体战斗——超梦VS梦幻——结局。 但是其中很多几乎一致的分镜还是会引发情怀的爆发。  很有意思的是，改大了瞳仁后，武藏小次郎反而变得不好看了  喵喵从船头吉祥物变成了船长，武藏小次郎也从维京海盗变成了水手  3D化的可达鸭甚至更可达鸭  喵喵慵懒的表情也是更甚原版 全剧情中很多有趣的致敬彩蛋，比如复制所有小精灵时，武藏小次郎对着显示器自言自语 “这是谁？” “杰尼龟！” 对应了动画版过场动画中的宝可梦小展示配音。 再如喵喵看月亮的桥段，除了与原版一致外，也是致敬了动画版OP喵喵之歌树下对月弹琴的画面。 除了彩蛋，一些细微的改变也很巧妙，比如在草地野餐时，加入了喷火龙、六尾、可达鸭等，更加凸显出片子的主旨——人类和宝可梦的和谐共处。 但是尽管有许多优秀的变化，仍然有不尽如人意的改变，比如删除了大量的宝可梦，比如片头梦幻偷看时，树梢跑过的火爆猴；野炊前的挑战中皮卡丘对阵的宝可梦也做了替换；港口等待的宝可梦品种也变得较少，总的来说，与原版相比，删除了一些人气较低的宝可梦，比如超梦对战三合一磁怪、对战胡地等等。此外，梦幻刚到小岛时和风车玩闹，原版是依次滑到下一个扇叶，改版是坐上去滑掉空中，这个改版反而失去了梦幻单纯可爱。 剧情走向基本上保持了和原版的一致，包括最后小智的复活，超梦和梦幻以及复制体们的离开等等，乃至于九成以上的台词都保持了一致，可以说满满的情怀。 很多人会说，这又是资本主义收割韭菜的行为，台词、剧情、分镜都一致太偷懒了，可或许是许多人不懂，宝可梦于当年梦想成为宝可梦训练师的80后来说，不是逻辑、不是理智、不是电影，而是真真的存在于心里的美好。 当老师问我们梦想是什么的时候？ 有的人说想做科学家，有的人说想做教师，有的人说想做艺术家，可还有许多的我们，心里是盼望着能够诞生在真新镇，能够去和大木博士讨来一只杰尼龟，能够去草丛里奔跑遇到皮卡丘，能够让鲤鱼王刷经验进化成暴鲤龙，能够在23号公路驰骋，能够打败8个道馆馆主挑战全国大赛，这里有永远的伙伴和对手小茂，有无奈的坏人火箭队，有秘密通道、有河流、有高山、有海洋，还有数不清的训练师在交换着宝可梦。 后来，我们慢慢的会长大，会放下GB，会扛起砖走向辛劳，有汗水，有泪水，有无奈和心酸，我们或许很久很久都想不起来妙蛙种子不愿意进化的缘由，也或许很久很久都想不起来巴大蝴进化时的点点闪光，也或许很久很久都想不起来皮卡丘趴在红帽子上的慵懒，但是在脑海里最深最深的地方，那里有红绿、有金银、有红蓝绿宝石、有黑白，还有剑盾，在那里，我们会有永远亲密无间的皮卡丘，会有永远抓不完的151只宝可梦。当放下一天疲惫的时候，无意中看到停在柜中落灰的GB的时候，你会莞尔一笑，你会精神百倍，你会激动万分，你终会想起，你的梦想啊： 我是要成为宝可梦大师！,2.0,,0
1,1,30272753,宝可梦：超梦的逆袭 进化,eb9bdca98cf55a817ea53f5c4fdeba7a,daeb9ba8ab42ecba3348443855401ebd,3.0,2020-12-06 23:44:37,"



 这张动图应该很多人都看过，一只皮卡丘在掌掴另一只，双方都显得十分疲惫。但很少有人知道图片的出处，以及到底发生了什么？其实它来源98年的动画电影《神奇宝贝剧场版超梦的逆袭》，本体皮卡丘正与复制体打架。不知道那时的你有多大，可能没有观看过此片，不过不要紧时隔22年后，全新版本的宝可梦电影《超梦的进化  逆袭》和大家见面了。  新电影相比较原作剧情几乎百分百复刻，但是采用了全新的制作，更立体的神奇宝贝搭配注意细节的场景，带来不一样的观影体验。没有看过前作的观众也不必担心看不懂本片，开篇就给大家介绍了背景：一群科学家利用了传说中的神奇宝贝梦幻，它的基因创造出了超梦，拥有强大力量的它被坏人利用，但因为质疑自己的价值与身份逃走。为了探寻自己的意义，在孤岛的城堡中等待训练师的挑战，终究在战斗中领悟到了生命存在的意义。  在电影中大家熟悉的人物和神奇宝贝基本都有出现，包括小智三人组以及他们的皮卡丘、杰尼龟、妙蛙种子、喷火龙等等，还有其他的训练师和不同属性神奇宝贝相继登场。最让人惊喜的是人气坏人组火箭队也有登场，小次郎武藏以及他们的喵喵还是记忆里的样子。身为训练师的他们，自然少不了神奇宝贝的战斗场景，看着小智从容的指挥着战斗，仿佛又回到了挑战不同道馆的冒险中。  除了这些开头所说的掌掴片段，还有其他本体与复制体的神奇宝贝们大战，因为双方实力接近，战斗了很久也难分胜负。其中有两对的画风似乎和别人不太一样，第一对是呆萌的可达鸭，其他人都是硬碰硬的对抗，到两个憨憨这里成了抱头互殴，可爱到让人忘记这是在战斗。反观另一对喵喵与它的复制体，没有打斗而是一同仰望天空的圆月，可以说是相当和谐与佛系。  当然，战斗不可能永远进行下去，勇敢的男主小智站了出来，热爱神奇宝贝的他毫不犹豫选择了去阻止。可是纠缠打斗在一起的神奇宝贝们，也不是说停就能停下来的，唯有代表各自领队的梦幻和超梦终止，这场战斗才能结束。可是面对实力强大的二位，小智又是如何劝阻的，这里留个悬念，感兴趣的朋友们亲自去揭晓。  曾经看宝可梦的孩子们，如今也都长大成家立业，看着曾经热爱的动画重回荧幕，感叹精致画面与喜爱的神奇宝贝同时，也感慨青春岁月流逝得太快。愿这些美好的记忆始终都在心里，与心中的那个孩子保持初心。 本文为【电影日记人】原创，转载请注明出处，谢谢支持！ 图片来自网络",4.0,,0
2,2,30272753,宝可梦：超梦的逆袭 进化,f99cbe5d21776495590ab8b6398db8b3,d021388cfe0eb28f9a8e2e0c642db997,4.0,2021-09-09 16:49:50,“我是谁，为何而战，为何而活，是谁想创造我的，又是谁要求把我创造出来的，所有和我诞生有关的事情，我全部都恨之入骨，所以这不能说我发起的攻击，也不能说是我向人类宣战，是你们把我创造出来的，那我就要让你们所有人付出代价” “一个人拥有什么样的出身并不重要，重要的是你如何活出生命的意义，这就决定了你是谁” “在我决定成为神奇宝贝大师的那一天，我看到了一只很罕见的神奇宝贝，就像现在一样” --虽然冷饭热炒，复刻的反差不多，画面建模略精致了却显的苍白了，但超梦复仇之旅的人格魅力是基本保存下来了，虽然说变的温柔了些，但它依然是唯一一只敢于睥眼看人类世界的神奇宝贝，足够令人崇拜的枭雄角色，真是怎么也看不腻，连电影也要造一遍属于超梦的电影克隆体，但明显还是本尊来的精彩，而且本尊超梦还反之超越了梦幻，并非如今毫无长进的克隆超梦可比,,,0
3,3,30272753,宝可梦：超梦的逆袭 进化,ff012bec709a762f9b88a0522cdb6dde,d3027eff8d2b1e45c8357151581d6a2d,,2021-07-21 23:02:11,反派 是更为厉害的复制品  大决战的时候 本体对复制品大战 复制更为厉害 他们最后近身搏斗 不能用招式 反派火箭队 说了一句话 看到自己打自己很可怜 好像 过去和现在的自己在打架 时代就是这样 永远有更好的复制品 但是事实上就是自己跟自己打架 跟十年前 二十年前出身自己打架  最后的解决办法是眼泪 人类的情感 很俗套 但是确实值得细品 我没想到看皮卡丘能哭,,,0
4,4,30272753,宝可梦：超梦的逆袭 进化,97c3afd8ddf2f532e6c09d5efc13086f,84dedb38268a168abffdd5edf7a6272f,4.0,2021-01-04 13:10:31,爷青回，看完就二刷口妖GBA了。但是情节逻辑BUG一堆，哄哄小孩子还是可以的，超梦被创造出来一直repeat自己是谁，为何来到世上这样的哲学问题，最后得出的结论是我是人类创造出被迫来到世上的所以我恨人类我要复仇？(黑人问号脸)最后还是靠小智的主角光环，全员对石化的小智行注目礼，连强行反派的超梦和复制品也停止了打斗，开始用眼泪浇灌小智_小智复活_双方握手言和_全员失忆，EXM？在这我要为全员奶妈的局势鼓个掌(此处应有掌声),1.0,,1
5,5,30272753,宝可梦：超梦的逆袭 进化,bc3a967d7fd70e52a48cadd179da2f01,6e59181327d61eab9da9344eb442f2f8,,2020-12-19 18:50:48,"最近《精灵宝可梦》新无印篇又推出了神仙剧情，编剧抛出了""收服超梦""这个主题，派男二小豪和男主小智一起挑战""最强""的宝可梦超梦。按照小豪之前暴打闪电鸟的表现，他还真有可能收服超梦，但编剧不是傻子，观众也不是憨憨，小豪收服超梦这个情节一播出，《精灵宝可梦》的招牌就不用要了，在新无印篇最新一集里，超梦吊锤了小豪和小智的宝可梦，再度证明了自己的实力。



一、超梦自称最强，阿尔宙斯
小智和小豪见到超梦之后，都""居心不良""，特别是小豪竟然想收服超梦。超梦看到两个小憨憨跑到自己面前挑衅，再三警告他们：""我是最强的宝可梦""，这话一出立刻引爆了弹幕。按照《精灵宝可梦》世界观，最强的宝可梦是创世神阿尔宙斯，但超梦作为官方的亲儿子，一直被编剧所加强，所以它自称最强也不为过。不过实在令人意想不到的是，编剧官方竟然让超梦亲口说出如此具有争议的话，是不是他们自身也觉得超梦最强呢？



二、超梦吊打皮神，小智完败
超梦在新无印篇最新一集吊锤了小智的皮卡丘和路卡利欧，皮卡丘在超梦面前坚持不住五个回合，而它在剧场版里却能把阿尔宙斯电麻，难不成超梦真的比阿尔宙斯要强。当然这只是玩笑，剧场版的皮卡丘和正片里的皮卡丘，实力不在同一个水平线。皮卡丘落败之后，小智的另一只宝可梦路卡利欧，和小豪的闪焰王牌配合使出合击技，其威力甚至可以媲美Z技能，没想到超梦一动不动接下来了。新无印篇两大主力先后倒地，小智在超梦面前一败涂地。其实小智输得不冤，超梦一直被加强，而皮神每个版本都洗一次点，自然是打不过的。



三、小豪收服超梦失败，观众又喜又悲
小智都打不过超梦，更别提小豪了。小豪最强的宝可梦闪焰王牌被超梦轻松吊打，他收服的沙漠蜻蜓和泥偶巨人又派不上用场，结果自然是一败涂地。既然打不过超梦，那么小豪收服超梦就成为一句空话了。而且超梦的地位和梦幻差不多，如果小豪真的一球收服了超梦，约等于一球收服了梦幻，那小豪就实现了自己的人生理想，他完全可以退场了。所以小豪收服超梦失败之后，观众是有喜有悲，一方面他们不想超梦落入小豪之手，另一方面他们想小豪早点达到目标退场，不要再挤占小智的戏份。



小编总结：
小豪和小智收服不了超梦，倒是在情理之中，问题是超梦出场的这几集非常尴尬，它既不能帮助小豪和小智成长，也推动不了剧情，就是单纯走个过场，《精灵宝可梦》新无印篇看来是越来越水了。以上是小编的个人观点，不喜勿喷，若有不同看法的朋友，也可以在下方留言评论，说说你的看法，大家一起探讨探讨，谢谢。",,,0
6,6,30272753,宝可梦：超梦的逆袭 进化,c68546a392f848f50cd6fc7a2fe7e2f7,4d7e278f52002807d5ec0dc3f0662a8f,4.0,2020-12-19 17:24:32,2020年度观摩第 31 部院线影片： 《宝可梦：超梦的逆袭 进化》  2D 购票观摩：星轶影城会员用券 观摩时间：2020.12.10   13:00 观摩影城：（天宁吾悦）星轶STARX影城⑥号厅 整体感受：这个故事也是属于剧场版宝可梦，主要讲述的是人类通过克隆技术创造了一模一样的宝可梦出来并冠以超梦。但是由于命运共同体的特征，每一个被塑造出来的宝可梦复制体亦都是生命！所以影片最后为了不伤害任何生命体用一个比较稳妥的设定结束了该片。而皮卡丘仍然是最萌的那个精灵！ 喜欢角色：当然是萌到极点的皮卡丘啦，简直萌化了。最后不遗余力发电救小智的时候，深深的被触动！ 喜欢台词：这句话是超梦说的，你们这样的人类，根本不知道宝可梦真实的存在！ 印象深刻：皮卡丘用自己的电力救小智的性命那一瞬间被感化！ 观影贴士：片尾无任何彩蛋和拍摄花絮！ 综合评分：8.0分,,,0
7,7,30272753,宝可梦：超梦的逆袭 进化,b9414339134a679fb9da6d7297b364da,9ad20a9967e3f2a0ae6855ddd5533e33,4.0,2020-12-10 15:50:21,今天刚刚看的。 3d的，类似于多啦A梦伴我同行那种。 个人觉得3d之后人物的脸过于美型了，都和tv版的人物不像了。 宝可梦们都是可可爱爱的，3d之后更可爱了，皮卡丘，喵喵都很可爱。但是人类的脸不像了。唯一比较像的是小次郎。特别是小智小刚和武藏的脸，差别有点大。而小刚，一直把眼睛闭着，走路也是闭着的。武藏也没有tv里好看了。,,,0
8,8,30272753,宝可梦：超梦的逆袭 进化,c8e6129afa75a2308d419497ff62dc5d,e11fae9b05cd46ce823e0e990a3de8f4,,2020-12-09 19:25:35,进场愣了一下，画风相较最初的小智版本有了较大变动。没赶上OP不做评价，不过好像也没有op的样子。EP做的不错，ep后有一个小彩蛋。剧情而言整体剧情偏低龄向，打工人看的一脸懵逼。内容涉及剧透，谨慎观看。 剧情点上逻辑硬伤挺多的。开篇超梦的自我审问挺走心的，以为是一部需要细细品味的烧脑向后期直接打脸。刚少还是我刚少，靠机器合成声+大致脸型就能认出美女。正常情况下别人给你发请柬要么你认识主人要么你有人引荐，好家伙除了主角团一群冒险家直接冲过去了，打个比方就是我今天给我看上的人发个天下第一的牌匾结果只有我邀请的人才能来，黑人问号脸。还有我们本地的治疗都失踪一个月（一周？十天？不太记得了），你在人大暴雨的时候要出发了才说，你好歹发个告示说一下啊！冒险家还能帮你找呢，不知道这个城市要冒险家干嘛:-(，帮忙找猫猫狗狗嘛？？？ 中期太过拖沓，后期收尾又仓促了。该说不说看开头+标题以为是超梦复仇R老板，好家伙直接跟小智干上了，说好的敌人的敌人就是朋友呢？？？而且你丫超梦那么猛一个超梦系，随手翻云覆雨的存在，自家院子里溜进来三个蝼蚁愣是没发觉。抛开三根毛就能创造出一个新的宠物小精灵这种明显违反重量守恒以及社会主义核心价值观的操作不提，喵喵明明捐了三根毛发，我那么大一只喵喵呢？？？为啥后面才出来？越往后越离谱，我怀疑小智的神奇宝贝跟小智一样，都是主修防御系的。神奇宝贝里面被打的倒地我见了不少，打一个不还手的神奇宝贝打到自己累瘫我还是第一次看见，更骚的是对面还是活碰乱跳的，懂了，这波啊，这波叫电池同极相斥🌚 顺便问一句，有人知道神奇宝贝到底是啥做的嘛？那么狠的两只超梦系，全力对轰砸一个普通人身上，哭一顿就好了，那以后还有外籍友人啥事啊，每家养几个宠物哭一顿你家主子就回来了。而且更离谱的是，我寻思你们大部分要么是别人家的神奇宝贝，要么是创造物，为啥路人甲死了你们都停手了？老板停手是为了看看有没有出人命出人命了想想打官司该怎么说，打工人是为了干啥？为了哭？哭的好的今晚加一碗饭？ 总而言之，槽点太多。相比数码宝贝，这部神奇宝贝很明显没有抓住受众人群，青春看看，认真就算了。,1.0,1.0,0
9,9,30272753,宝可梦：超梦的逆袭 进化,69c6f24b53a71f05c9ee8ee897d10ee2,1f905aede6a0503b45870293137087fa,5.0,2020-12-08 23:01:51,客观而言，我实在是不能理解称这部电影令人失望的人的在思考什么。 理论上，对这部剧场版本身应该就是没报什么期望的。因为这不过是对二十年前上映的《超梦的逆袭》的一次极用心的复刻。 就像片中超梦与梦幻的对质，你很难评判到底是哪一个更高级：玩口袋妖怪的游戏的时候，我两个都想抓，三十级的梦幻和七十五级的超梦，都是我的心头爱。  诚然这部电影充满了过分浅显的哲学思辨，狗尾续貂的解咒，最后还要用一个人类的牺牲来换取所有生灵对“众生平等”的领悟。但考虑到观影人群除了我们这些为情怀埋单的九五后，大部分还都是不满十岁的孩童，难到真的要所有观众都像谢耳朵一样早慧，从小就开始思考宇宙的变迁以及人类的终点吗？ 我只怕到时候全人类都慧极必伤。  又有人说这部电影重现也不过沦为资本家收割韭菜的手段，生活中处处如是，伸头是一刀，缩头还是一刀，能有一次可以积极主动地割以咏志，我感到满足。 最后再多一句话嘴，超梦不断重复的灵魂拷问“是我要求你们创造了我吗？你们问过我的意见了吗？”大概才是全天下被定义为恨铁不成钢的孩子们的真情流露罢？,2.0,,0
