,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30286098,神奇女侠：血脉,5ed2c4a623c55b39cfb7a477839f8c04,6a7a87c0f57fc9af7390486980a00d6d,4.0,2019-10-07 18:33:35,"故事是这样的:

        女主本来住在一个与世隔绝的海岛，一天来了一个很帅的哥哥，于是女主就不顾长辈的劝阻，跟着男人跑了，到外面认识了当世几大高手。

        这时天下正被外族入侵，女主也爱上了另一外族的人，没想到他竟然有原配。

        女主因为和一桩命案扯上关系，惹得一个玩蛇的仇家去报复她的老家海岛，最后仇人被自家的蛇坑死了，女主也顺利收获了爱情。

        这个故事叫射雕英雄……哦，不对，神奇女侠：血脉。

现实版：

        村长的女儿小戴长大了，一天村里来了个城里人，女儿就偷了家里值钱的东西跟城里人跑了，到外面租了个房子，房东的女儿嫌她土还学别人穿露腿装。

        接着小戴和几个伙伴创业成立了一家公司，还与其中一个外国人发展恋情忘了城里人，后来外国人死了没给她留任何东西，她就去勾引外国人的原配路易斯。再后来发现外国人只是假死只好退出，转而投入当初城里人的怀抱。

        这时房东的女儿认识了一些坏人，原来小戴老家有矿，于是那些坏人害死了房东，房东女儿联合坏人去小戴老家争夺开采权。村长记恨女儿当年的行为不让她进家门，小戴眼看就要有危险的时候对方却因为嗑药猝死，小戴也和村长冰释前嫌，同时召开村委会，决定让房东女儿在矿业公司上班。

观后感：

        这个电影我期待很久了，毕竟是从14年的《正义联盟：战争》开始追的，在《战争》中民众是有点反感女侠的，甚至说她穿得像婊子，本作算是某种意义上的填坑。

        可以看到很多真人电影的影子，比如战甲披风造型、脚踩剑用手接（正义联盟），还有美杜莎和珀修斯的恩怨（诸神之战），天堂岛向外界开放确定不是瓦坎达的翻版。

        还有致敬《雷神》系列的某些地方，比如女侠靠水出现幻视，最后决战眼睛失明，神似诅咒战士的牛头怪，凡人拿不起来的武器。

        做这种动画其实还是挺不容易的，在不吃书的前提下要圆前作好多情节：

        比如一开始我以为改造实验是豹女的诞生，但后来想起她在《正义联盟大战少年泰坦》就登场过了；

        比如区分五年前还是现在看女侠的发型，发箍在《超人之死》被毁灭日打断；

        比如这版史蒂夫是备胎or接盘侠，因为超人跟路易斯好上了，女侠还跟路易斯成了闺蜜。

        今年是DC首次一年出三部DCAU作品（康斯坦丁恶魔之城不算的话），往年都是一部正联系列+一部蝙蝠侠的配置（泰坦、自杀勉强算蝙蝠系）。

        至此，DCAU三巨头都完成了换装秀，超人穿回低领装，蝙蝠侠重回蓝灰色造型，神奇女侠穿上铠甲套。

        沙赞在这个系列消失好久了，真的不考虑给他出个单人动画吗？",9.0,3.0,5
1,1,30286098,神奇女侠：血脉,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-12-19 21:20:17,今天聊聊美国电影《神奇女侠：血脉》。 片名Wonder Woman: Bloodlines (2019)，别名神奇女侠：血统。     《神奇女侠：血脉》的制作灵感来自DC宇宙的《重生》（Rebirth ，2016）系列漫画。 选取神奇女侠部分，把一票儿宿敌拉出来遛了遛，最终形成本片。     故事从史蒂夫闯入天堂岛说起，神奇女侠为了史蒂夫而叛逆母亲，离开天堂岛。 神奇女侠加入人类社会后，积极为和谐社会做贡献，也结识了不少新朋友。 在一次打击犯罪分子的行动中，神奇女侠没有能够及时救下银天鹅，于是银天鹅迁怒于她，开始和神奇女侠作对。     神奇女侠觉得银天鹅被人下了药，决定利用天堂岛的紫色治愈光线（purple healing ray）治疗银天鹅。于是神奇女侠费尽辛苦找出天堂岛位置，结果让其他坏人捷足先登。 神奇女侠最终击败强敌，也治疗好了银天鹅。         为了政治正确，本片中改变了埃塔·辛迪（Etta Candy）的种族。 原漫画中，埃塔·辛迪是高加索人，电影中改为了非裔美国人，而且还是个抱得美人归的蕾丝边。     本片的第一部分是之前的动画电影《正义联盟：战争》（Justice League: War ，2014）的前传。 其余部分发生在DCAMU的时间线之后，紧接着戴安娜和超人分手、超人死去和复活。        本片是首次在银幕上描绘了天堂岛亚马逊女战士使用的“紫色治愈射线”，在以前的电影中并没有出现过这么逆天的装备。     除了毛毛多的女性反派，《神奇女侠：血脉》最大的优点，也是最好看的部分就是最后的大决战。 戴安娜在天堂岛迎战美杜莎一段，使用美杜莎的毒液让自己失明。这一举动直接取自漫画《神奇女侠》第210期，漫画里用同样的方法击败了美杜莎。     本片中经典宿敌众多，而且都是女性角色。 这些女性反派们包括毒药博士（Doctor Poison）、赛博博士（Doctor Cyber）、豹女（Cheetah）、巨化女（Giganta）、维罗尼卡·凯尔（Veronica Cale）、美杜莎（Medusa）和银天鹅（Silver Swan）。 她们都是神奇女侠的宿敌，看名字就能知道她们的能力。     毒药博士共有祖孙两代人，擅长使用毒药。     赛博博士同样有两代人，她使用半机械化的外观和能力。     豹女在《神奇女侠1984》做过主要反派，这次表现甚至弱于电影。     巨化女可以在几秒钟内从常人大小增长到数百英尺高，力量和耐力随着体形变大而增加。当然和绿巨人的神奇内裤一样，她的服装也能随身形大小变化而发生变化。     维罗尼卡·凯尔可以看做是神奇女侠里的的莱克思·卢瑟，她是个没有超能力却富有的、敌视超级英雄的天才反派。     美杜莎是希腊神话里的著名角色，这里保留了她最著名的石化能力，她也担负着全片最高潮重任。     银天鹅是神奇女侠并非故意的宿敌，银天鹅先后共有三代，而且三人最终都放弃了银天鹅的身份，没有一个人是故意与神奇女侠作对的，每一代银天鹅都有“丑小鸭蜕变成美天鹅”的情节存在，以银天鹅身份出场时也一直被认为是非常美丽的女子。 “非故意的宿敌”这么精分的设定在影片中也有表现，银天鹅因为神奇女侠没有能够救下她妈而和神奇女侠作对，反倒是不去找真正的杀母仇人。为了让这样一个精分角色在精分设定中完成转变，神奇女侠也变得比较精分……     当然缺点也一样显著，片中角色行事毫无逻辑。 反派像银天鹅这种窝里横让人无语，毒药博士、赛博博士脑子不行被人当枪使也就罢了，神奇女侠的行事风格也是让人无法理解。 片尾彩蛋她一顿嘴炮直接放过了维罗尼卡·凯尔，理由是维罗尼卡·凯尔让她和母亲重归于好，不禁让人怀疑她有受虐倾向……     全女性反派亮相， 无逻辑乱斗完事。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,,,0
2,2,30286098,神奇女侠：血脉,73d1c55126e3cdcc22e0d211e754fc17,351f9d6deb01ea845552c9e54387c1fc,3.0,2020-01-20 13:28:41,"目前，DC动画我看过的最差的一部，其次就是《正义联盟大战致命五人组》了
反派直接逻辑鬼才，你们的人杀了我妈，所以我要加入你们，因为女侠没有成功救的了我妈，所以我妈的死全怪女侠，所以我就要黑化报仇    ？？？
女侠也是全程圣母，全程我不管我不管都是我的错，《神奇圣母》

看完了，也没有这么差，最差还是《正义联盟大战致命五人组》
切记，不看完就评价电影是大忌",,,1
3,3,30286098,神奇女侠：血脉,b3b4610159766345d15505dc13c2042d,94c878f3525fb1233dd63a072e0bfdca,3.0,2019-12-18 11:30:32,勉强能看，但是这部WW有失水准，完全比不上N52的故事，杂糅了各种设定，太偏圣母化，比起去年康斯坦丁的水准差太多，康斯坦丁最后也是强调爱，但是却是牺牲了友谊亲情来换得友谊和亲情的胜利，这部WW简直就是圣母再临，不过放弃了凯尔的原始设定这个凯尔是要洗白？无所谓了，漂亮就好~我本身是蝙蝠侠的簇拥，但是对加朵WW的扮相的好感和N52神奇女侠漫画的阅读让我对WW有了新认知，N52的WW故事其实非常精彩，不知道DC脑子哪根筋有问题，本身原著设定的三巨头故事都很精彩，但是WW的动画显然水准太低，近些年的编剧和导演把WW理解的太差劲，让WW这个世界上第一个女超英始终不能靠内涵获得应该有的位置。甚至包括电影---加朵的WW扮相上完全没有问题，但是故事就太无脑和简单化，希望明年的电影能好一点,,,1
4,4,30286098,神奇女侠：血脉,29b6e59b1e6a73e2adc68239444b9822,49fd9bd5c1c63aa3fbfc1b784d324afd,3.0,2019-12-15 11:12:18,这部是走的是以往老套路，首先神奇女侠的敌人都是女性，然后对手鸟人动机比较迷，因为老妈对神器女侠的热情，导致叛逆期提前到来，最后因自己误入歧途害死老妈，那怎办？把锅甩出去就好啦！然后为了复仇不断刺杀神奇女侠，神奇的脑回路。到最后也没解释鸟人为啥倒卖文物，这比较可惜。但结尾为了政治正确硬出来一个黑人女性蕾丝边，我忍不住笑出来了    这什么鬼！！？是我误会了吗？之前都没铺垫吖，还有蕾丝边就可以脚踏两条船了嘛，2333,,,0
5,5,30286098,神奇女侠：血脉,440dec5a0eeb2cd805818889651c29d2,94dec994ee385f5ef74d8328f711d1b7,3.0,2019-10-27 19:43:59,Hmmm……   需要140个字呢。只好说些其他的。故事很简单，两个女人（wonder woman和swan）各自找回自己的家庭或人生轨迹。 Minotaur蛮可爱的还会做沙拉。其他就没什么亮点了。一度以为这么平庸的作品不像刘山姆的风格，还是更喜欢能够将整个世界剧情向前推进的故事，如果没有的话像《忍者蝙蝠侠》这样的混搭风格也很喜欢。,,,0
6,6,30286098,神奇女侠：血脉,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2.0,2019-10-26 22:11:56,2019年，奇幻动画电影《神奇女侠：血脉 | Wonder Woman: Bloodlines》  emmmmm，怎么说好呢，总体还是失望比较多吧。 重新讲述神奇女侠的身世，还有出岛这个设定真的挺多余的，也许是照顾一点点都不了解的人吧，也或许另一方面就是骗一些片长，毕竟加上很多没用的东西以后也没凑够90分钟。 确实对比一些老牌的反派，新的神话敌人更有吸引力，比如最后的美杜莎之战，还算是比较不错的战斗，但是确实也只是相对本片中的其他战斗而言了。  逻辑上的神设定，让人吐槽，人物设定上延续的真人电影里圣母设定个人感觉还是比较失败的。 女孩想得到妈妈的注意和认可失败以后转成朋克风。。倒也无可厚非，但是总感觉是对音乐的一种贬低，还有声波攻击（笑哭），就是母亲的死让她怪罪于神奇女侠转而加入害死母亲的反派有点让人摸不清头脑。 最后死了那么多姐妹，找到幕后BOSS以后，这个事就算了。。好吧 确实太圣母了。。 现在DC的动画电影开始走向一条奇怪的道路了。。  (╯‵□′)╯︵┻━┻，我到底又看了什么。。。  --------------------我是女仆牛头人的分界线-----------------  推荐指数：★★☆（5/10分），鬼逻辑的DC动画。,1.0,1.0,2
7,7,30286098,神奇女侠：血脉,c60e410fa3bd7e88dc309cd6f0952c30,d945269a0d36776f1422232b1263b225,5.0,2019-10-02 13:15:26,神奇女侠的大长腿这次只露出来了一点点，不能让人大饱眼福了。而且这个神奇女侠有点黑，是不是黑人？配音员倒是黑人，还是值得期待的。嗯⊙∀⊙！。。。。。。。。。。。。。..........................n..........................i.......。。。。。。c。。。。。。。。。。e,1.0,4.0,2
8,8,30286098,神奇女侠：血脉,5b53ad1c0623199b4ab11d65b6b42a19,40c9fd8ae0cc59e025ef17e04e447461,3.0,2021-12-02 16:43:50,该部电影是2009年以来的第二部“神奇女侠”动画电影，电影主要讲述神奇女侠要从致命犯罪的组织帮助一名深陷麻烦的女孩，而这个组织的目标是入侵神奇女侠的家乡天堂岛。        该部电影是2009年以来的第二部“神奇女侠”动画电影，电影主要讲述神奇女侠要从致命犯罪的组织帮助一名深陷麻烦的女孩，而这个组织的目标是入侵神奇女侠的家乡天堂岛。         该部电影是2009年以来的第二部“神奇女侠”动画电影，电影主要讲述神奇女侠要从致命犯罪的组织帮助一名深陷麻烦的女孩，而这个组织的目标是入侵神奇女侠的家乡天堂岛。,,,0
9,9,30286098,神奇女侠：血脉,d5f4d712c477a5e59b77262b37d03dd9,0c53f6ac708ef2f5b18d2e8e00f5b630,2.0,2019-12-15 00:49:46,这个是正版还是真人版是正版？这个版本，总体来说就是简单粗暴，让神奇女侠突然现世，而且没啥多的铺垫。不过整个剧情还不错，有看点。这个是正版还是真人版是正版？这个版本，总体来说就是简单粗暴，让神奇女侠突然现世，而且没啥多的铺垫。不过整个剧情还不错，有看点。这个是正版还是真人版是正版？这个版本，总体来说就是简单粗暴，让神奇女侠突然现世，而且没啥多的铺垫。不过整个剧情还不错，有看点。,,,0
10,10,30286098,神奇女侠：血脉,4c91e6e6e8b334c31850fb284253fcfd,11bde3d133e43f0540d5f265b134c337,3.0,2019-10-15 14:57:02,"女主本来住在一个与世隔绝的海岛，一天来了一个很帅的哥哥，于是女主就不顾长辈的劝阻，跟着男人跑了，到外面认识了当世几大高手。

        这时天下正被外族入侵，女主也爱上了另一外族的人，没想到他竟然有原配。

        女主因为和一桩命案扯上关系，惹得一个玩蛇的仇家去报复她的老家海岛，最后仇人被自家的蛇坑死了，女主也顺利收获了爱情。

        这个故事叫射雕英雄……哦，不对，神奇女侠：血脉。",,2.0,1
