,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30322432,周恩来回延安,4f28876465437ba9c8a934e46e4d76bc,d1b6942275294ec2c0fae71bd6b88e1d,3.0,2019-05-28 11:31:21,"一个周日，去看上映的电影《周恩来回延安》，原本上周末看见影院里几乎已经没了场次，因为有事没有时间抽空去看，原来以为会就此错过。没料到这周末竟然又排了几场，抓紧时间买票入场。进场时一个小小的影厅，和朋友俩人原以为就此包场，不过后来竟然又来了一个女孩、一对中年...

                         ( 展开 )",67.0,3.0,18
1,1,30322432,周恩来回延安,be84a9589615934e307b247a0ff93dc6,3d9c309040f122f8348ecde8653fa41f,,2019-05-25 11:35:19,"如果过份的演用舞台剧，就可能产生样板剧的效果了。摆拍似乎本来是当下微信时代的惯性，而在那个困苦不堪的1973年，竟然表现得没有收敛。他们除了衣服得体干净，肚子根本没有填饱的时候，还能够激情澎湃吗？ 总理那个时点应该病魔缠身，苦痛难忍吧，从生理上说，声音分贝不是很...

                         ( 展开 )",10.0,1.0,2
2,2,30322432,周恩来回延安,c51fc1697136572292b159ad93b3e6eb,3aa0bc3ad8d2caae1914c6cfc331dfb9,3.0,2019-07-25 11:43:04,"刚刚上午，单位组织看的主旋律影片，你懂的，这种片子，只有单位党办组织，我才会看的。 三星，可以算是我对主旋律影片最高的打分了吧。并没有任何贬义。 故事的内容，其实即便不看影片，其实也都了然于心，确实内容没有任何意外。该有的煽情也有，该有的铺垫也有。不算过分夸...

                         ( 展开 )",3.0,3.0,2
3,3,30322432,周恩来回延安,b4bdf44976d2b696a650e6d4cae6f822,614bcc90ef2fa3779437f0b19c85d6bd,3.0,2019-06-02 02:41:15,"影片的细节部分做得还是很用心的，应该说是比较还原现场了，尤其是没有出现像其他片子里邓颖超随便进周恩来办公室这种明显是臆测出来的场景，值得给个好评。 刘劲的表演对周恩来的某些神态、动作把握得比较准确，特别值得一提的是影片最后上飞机的那场戏，跟纪录片里周恩来本人...

                         ( 展开 )",2.0,1.0,0
4,4,30322432,周恩来回延安,8231d35895f7c4c35c0c095cc043b19e,26e0bc02b6f83d8a8928d4517712fbb2,5.0,2019-05-20 00:44:17,"这篇影评可能有剧透 

                        首先看这部电影原因其实很突然，是下午偶然看到罗援将军为这部电影发声，讲排片和宣传问题。于是我马上去查了最近的电影票。订票时发现我选的这场竟被订了大半！ 当晚上到了后发现，原来是一个单位包场了，就我一个单独来看的，坐在最后一排。 来看前，我就查了这部电影的影评...

                         ( 展开 )",12.0,8.0,0
5,5,30322432,周恩来回延安,1a3e26caabea5ff09d2d74e29f360010,c7a4476fc64b75ead800da9ea2b7d072,5.0,2021-09-13 23:49:44,"我没有感受到这部剧有多煽情，相比于煽情，温情这两个字来评价这部电影其实更合适。感觉那个时代的人们就是那么的无私，就是那么的热情，就是那么的爱着他们的领导人。电影部分片段确实处理的有问题，可是周总理鞠躬尽瘁，死而后已的精神仍然真切的呈现在我们面前。 当周总理看...

                         ( 展开 )",,,0
6,6,30322432,周恩来回延安,5f3e67a98e33fea7b454ddea618f154d,45847e9daf6bcee01523f01444e9b203,,2020-07-10 23:04:47,"在家中看完了这部影片。 为期十来天的书店工作结束了。 书店工作是一个很有意思的工作，可以谈的有很多。 也非常辛苦，真正这样结束了，也算是大松了一口气。 在书店期间都没有怎么好好看书或者看剧。唯一的一个例外是为了要写公众号的推文看了罗念生全集的第二卷埃斯库罗斯悲...

                         ( 展开 )",,,0
7,7,30322432,周恩来回延安,e4b491fbb7915406a49a9a946181256a,f0a99dfd3ba874512fc847e4d6d332e6,4.0,2020-05-23 18:53:20,"(自己看的，没人要求，纯粹为了了解自己的偶像，隔壁《周恩来四昼夜》跟它差了大概一个《建军大业》的距离。) 影片满是回忆，家常，细节小事，却很抓我的心。一次会议冷热毛巾交替几十次，一杯早饭推到晚餐的清粥，一句“我知我时日无多，可还有好多愿望没有实现呢？” 我相信...

                         ( 展开 )",,,1
8,8,30322432,周恩来回延安,1f73701df10a64df6555a6bec06d258c,7dabafab7b132b11920f6c2661f1b850,,2020-04-03 21:44:28,"（这是我的思政影视课作业，姑且放在这里） 首先，本文不是要抒发感动之情的，也不是深切缅怀领导人的，写这两个题材最容易应付字数，但是我不想写。既然作业要求只是“写心得体会”，那么我就只是就事论事的针对影视课，针对这部电影，作为一个青年学生，来谈谈我国主旋律电影...

                         ( 展开 )",8.0,,1
9,9,30322432,周恩来回延安,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1.0,2019-12-17 02:07:51,"毛、周、邓等人的老年生活，周最像。 “中国民航”的飞机很熟悉。因为童年时候乡下邻居家墙上贴的画有一幅就是几个领导人从这种飞机上下来的场面。童少年时有些东西真的很容易就深入脑海。 小米饭。好吃不？在贫瘠的日子，有米饭吃已经很幸福了，想“自然灾害”那三年，父辈们...

                         ( 展开 )",1.0,1.0,0
