,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30334122,芳龄十六,4be6b20dff080c5e1c6dc71bfce432e2,f6d29d61fd62b6bc9e87b5ac348684af,3.0,2019-05-09 18:06:38,"这篇影评可能有剧透 

                        影片摄影构图配乐很好，虽然是一个故事讲得不怎么样的惊悚片，人物动作逻辑漏洞很多，但是概念主题真的很牛逼。感觉这个影片就是对女性在男性主宰的社会上处境的一个寓言。 下面是剧情的复述。 一个封闭式“学校”，校长将社会上不被父母疼爱的女孩从小买进来，将他们按年龄段...

                         ( 展开 )",25.0,2.0,5
1,1,30334122,芳龄十六,716f853456467559fc1cb1238a878828,716f853456467559fc1cb1238a878828,3.0,2019-04-03 13:58:14,"这篇影评可能有剧透 

                        看完这个电影，我的心情十分复杂，单从故事情节来看，一直被愚弄的女孩发现了真相，奋而反击最终胜利，友情的珍贵、勇敢抗争、为自由付出的代价，该有的都有了，然而，导演和编剧显然是没有做过市场调查，完全没有考虑一个公司盈利的模式啊 先说公司的成本，剧中交代了，女孩都...

                         ( 展开 )",21.0,,6
2,2,30334122,芳龄十六,17f3e570b393071ab03550353bb9f3ab,9bf85c9f7e718da2913f3d8df846dfba,4.0,2019-10-19 10:58:03,"三星到四星之间吧，感觉6.0有点低了，不说力荐必看，但至少看了不亏。 叙事完整，情节也有起伏，同时不管是镜头还是音乐都很会烘托气氛，看得还是很爽，关键的高潮部分也很有冲击力(Vivien演的很好)唯一的缺憾，不能说不足，就是如果基于人口买卖这一主题的话导演可以再深入一...

                         ( 展开 )",1.0,1.0,1
3,3,30334122,芳龄十六,c0f13a022ae7ca13a4fb6c7619db06a4,46c6d0c78c63ecb546aa51315c2c8a80,,2021-05-24 19:51:39,"加拿大影片《芳龄十六》（Level 16）（2018），丹尼什卡·埃斯特哈奇（Danishka Esterhazy）执导，凯蒂·道格拉斯、塞莉纳·马丁、萨拉·坎宁主演的反乌托邦政治隐喻片。 一群姑娘，自小被骗进了一所寄宿制学校Vestalis学院。封闭式大楼，看不到阳光、天空、外界，不知道外部世...

                         ( 展开 )",,1.0,0
4,4,30334122,芳龄十六,b2f37217eea074ccb540b495d1729ac5,ca5c2f61336d866a66232b1a4c861592,,2021-03-19 03:22:09,"司安大人继续道：“司良红乃是一名称号级法师，如今已经活了超过五百年！按理说正常的凡人寿命是不超过两百年的，可司良红大法师将自己成功转化为了血妖，所以她的寿命也长的很。这个活了过五百年的老妖婆……实力深不可测，她修行所在的血妖塔内遍布无数危机，就是超凡生命也...

                         ( 展开 )",,1.0,0
5,5,30334122,芳龄十六,b2f37217eea074ccb540b495d1729ac5,ca5c2f61336d866a66232b1a4c861592,,2021-03-19 03:21:32,"晚宴过后，按照原先定好的计划是要出去夜游宁城的，但有些人下午唱歌唱累了，晚上酒又喝的不少，就建议取消计划，让众人各自休息算了，明早那些从省外过来的同学可都还是要赶回去的。 费仁自己酒也喝的不少，头都有点眩晕，象征性的征求了下众人的意见，见大家都同意休息，也就...

                         ( 展开 )",,2.0,0
6,6,30334122,芳龄十六,e4501b9d6ee1d84fc0821f5d4a1f56d9,7c3e3a325037474dda5d4919359fb675,2.0,2021-02-24 16:51:22,"在b站一位up主的推荐下去看了《芳龄十六》 ，看完后便压抑不住吐槽之心了，这跟影评中所讲的……好像不太一样吧？好吧我承认，可能是我这个惊悚片、悬疑片加恐怖片爱好者对于它的期待值过高了吧(这是去年观影时写的影评，趁着假期有时间便翻出来整理了一下，然后，发上来留个纪...

                         ( 展开 )",,1.0,0
7,7,30334122,芳龄十六,e8c3ea15c859995e46dc6cdfac751171,6ebf261521158c8391ce3ee49e3cb2a1,2.0,2020-03-05 17:09:38,"它很可怜，也不吸引人，它如此简单，剥落的面孔和几个几乎性虐的场景。糟糕的电影和更糟糕的商业生存的能力。 表演是B级以下的，故事是循环思想较弱的版本！ 不过，故事的基调是令人兴奋的，而且主要是年轻的女演员做的还算可以，可以给足够的赞美。可视化的实现还有很多需要改...

                         ( 展开 )",1.0,,0
8,8,30334122,芳龄十六,ec30443be54c2d835105fe8b3b8483b8,1f42cd98786b920c71b496a1ebe6738f,3.0,2019-10-25 05:02:17,"这篇影评可能有剧透 

                        整个片子想法不错，可能主要因为我不像评论里的各位看过一些人口贩卖片。整个电影作为悬疑走向也还ok，不深究的话算是能看的。就是有些细节和设定上的让人感觉有点问题。一个就是为大家所诟病的发卡拆门，另外就是在设定上这个组织的合理性就很让人觉得奇怪，一个周期长达十几...

                         ( 展开 )",,,1
9,9,30334122,芳龄十六,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2.0,2019-05-05 19:29:31,"这篇影评可能有剧透 

                        2018年，科幻惊悚电影《芳龄十六  | Level 16》 比较糟糕，这个电影其实和科幻并没有什么关系，只是某一项技术比较超前吧。 电影BUG超多的说。槽点大大滴，但是不剧透还真的不好说。 ---------开始有部分剧透了啊 当然先为主角的颜值加半颗星。 其实就是贩卖人口的题材，当然这...

                         ( 展开 )",3.0,,6
10,10,30334122,芳龄十六,d826e447297447b5565662e1399070fa,90a2292c7674716c9fefef822b713982,4.0,2019-04-30 22:57:22,"这篇影评可能有剧透 

                        最近在复习准备考试，加上最近工作上有点伤脑，抽空就看了这个《芳龄十六》，从故事构架来讲挺简单的，但是我觉得导演里的广度是可以扩展的，不知道是我过度解读还是什么，我在这里边看出了点《云图》里表达的东西，当然我们先从人物开始，首先这里边出场的主要角色就是女教官...

                         ( 展开 )",6.0,1.0,0
11,11,30334122,芳龄十六,2301c8e8c5cc88c713b6b55e4adb4df3,1f9ad27f15570695367fc67a3fcd2027,3.0,2019-04-07 17:16:07,"今年一月，动画《约定的梦幻岛》的开播引起了漫迷们的狂欢。 故事讲述了一群生活在孤儿院的孩子们被欺骗说十二岁以后就可以被人领养，拥有幸福的家庭。然而实际上，他们却是被送去成为“鬼”的食物。 紧张的剧情，新颖的设定，这部作品剑走偏锋，以黑暗风脱颖而出，成为《JUMP...

                         ( 展开 )",11.0,2.0,3
12,12,30334122,芳龄十六,0a1437fc89da4e2809f040879ed7f197,2d0151ee074436f981f42498db636e74,4.0,2019-03-14 09:37:58,"这篇影评可能有剧透 

                        整个电影相当压抑，Bug也较多。光线暗得像墨片，看见最多的就是我自己了。剧情类似《逃出绝命镇》的换大脑，抄袭《失心病狂》中监禁吞药丸猥亵的桥段。但题材确实很棒，五星推荐！毕竟，能让我有心思写观后感的电影不多，当然，也可能是晚上太闲了。 • 姑娘们在饲养机构般的...

                         ( 展开 )",8.0,3.0,12
