,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30347029,野兽,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,3.0,2019-07-24 07:26:48,"这篇影评可能有剧透 

                        本片呈现的所有人际关系全部崩盘，无一善终: 1.父子之间关系，充满暴力、虐待并且将这种扭曲的心理发泄到社会上，造成社会的恐慌，两人也因穷凶恶极毙命。 2.警察和线人之间关系，相互利用，相互憎恶，在极其脆弱的信任感中选择合作，想着各取所需，实际上双双踏入有去无回的泥...

                         ( 展开 )",56.0,4.0,14
1,1,30347029,野兽,04189491341aa8f48da42856f4a00023,dfb8d77d3692fe76efa56a5de10df4be,,2020-02-22 20:19:06,"有人说这个电影比《恶人传》好，我不同意，虽然后者也不是特别好。我就单说本片的几个问题。 第一，这种双雄戏明显没有处理好，似乎成了一个人的故事。第二，开车回去找鹿开枪的那一段，时间过了多久了？为什么开枪后还能冒出来那么多血？被撞死那么久血液不会凝固吗？第三，那...

                         ( 展开 )",5.0,,1
2,2,30347029,野兽,1dae0b4cec823a7dd1caf904d97c9545,ec4884934470edc38ce79e0bea9adc62,4.0,2019-07-20 12:44:49,"这篇影评可能有剧透 

                        前段时间，韩国一部《恶人传》燃爆了整个朋友圈！ 想想也是，黑帮大佬和警察联手缉拿连环杀人犯，从故事情节上来说就已经赢了一半。 另外，这两年马东锡也总算熬出了头，无数为他量身打造的电影排着队等他，而在《恶人传》中马东锡出演黑帮大佬，纹身密布全身，更像是本色出演...

                         ( 展开 )",29.0,8.0,45
3,3,30347029,野兽,666c8e6a809d80a29637851c70cf20fb,f869ce1c8414a264bb11e14a2c8850ed,3.0,2020-07-05 03:56:58,"这篇影评可能有剧透 

                        个人认为韩组长算是最接近片名意义的那头野兽，他根本无能，优柔寡断，还极度在意升迁，为了自己的利益，眼前最重要的不是找到杀人犯帮被害者伸冤，而是忙着算计， 抢功劳。他把心思全花在找郑组长的弱点上，行动失策害死同僚，最终在意的仅是可能被同阵营的长官丢包，于是反求...

                         ( 展开 )",4.0,,3
4,4,30347029,野兽,077e2dd7b88dc9e5f31b5be29f9bacaa,45920a2941f1e43a11c0157183011f91,4.0,2020-08-30 21:28:12,"这篇影评可能有剧透 

                        电影本身的确是有一些小问题，但是相比那些爽片可严谨多了，而且比较有深度。全程看下来，真的没什么尿点。 老郑和老韩都异化成了野兽，但是很明显，老韩才是最早异化成野兽的那个。他这个人能力不足，老想着搞倒老郑，自己升值，为此甚至不惜构陷老郑。而老郑，其实他直到后半...

                         ( 展开 )",1.0,,1
5,5,30347029,野兽,78d995fa7fe9382c8625a21080041256,71467f14028e4948957bc40a70328ec2,4.0,2020-04-08 21:52:54,"虽然豆瓣的评分不高，但是我还是推荐一下这部电影。 2个小时的影片里浓缩了两条主要的故事线——分别以郑组长和韩组长的视角开展各自的罪案调查最后交织在结尾，大背景是两位主角争夺下一任的科长位置。本片的元素可谓丰富：昔日的搭档为了晋升不择手段，警察为了所谓的线索可...

                         ( 展开 )",2.0,,1
6,6,30347029,野兽,73f4320f294d1b5049f42bdbc2a96eb1,543236b0bb1e7f48bc4384cfe5b0afc2,4.0,2021-11-14 19:11:26,"这篇影评可能有剧透 

                        这是一部深刻刻画人性的犯罪电影，每个人为了自己的利益，都可能会成为丧心病狂的野兽。整个观感有点像杜琪峰的经典黑社会系列，龙城岁月和以和为贵。人不为己天诛地灭，利益面前，没有一个好人。 这部电影也是如此，当两个警察的正义、善良崩塌之后，很难相信他们曾是并肩战斗...

                         ( 展开 )",,,0
7,7,30347029,野兽,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-01-31 20:32:53,"今天聊聊电影《野兽》。 片名비스트 / The Beast (2019)，别名缉凶对决(台) / 韩国版《警界争雄》。 仔细看影片的片名，有一个片名叫做韩国版《警界争雄》。本片正是翻拍的法国电影《警界争雄》，又名《36警局》《警界双雄》。 当年法国版的《警界争雄》是根据真实事件改...

                         ( 展开 )",,,0
8,8,30347029,野兽,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,3.0,2020-11-01 15:33:56,"这篇影评可能有剧透 

                        2019韩国犯罪片《野兽》，改编自2004法国电影《警界争雄》，豆瓣评分6.8。 一部不错的翻拍改编作品，将韩国擅长的暴力血腥犯罪片与原作故事进行了结合，在法国版原作的故事框架基础上拍出了韩国电影的特色。 本片不是那种照猫画虎的复刻式翻拍，上半段和法国版很像，下半段差异...

                         ( 展开 )",,,0
9,9,30347029,野兽,db12dd589b4ca565327781d9cbe2e925,31bb257e66eaa11a92ee09d7c44d6a29,,2020-08-09 21:46:09,"这篇影评可能有剧透 

                        实在不知道该怎么打分，演员大叔真的挺卖力的。电影的第一明线是连环杀手案，第二明线是科长晋升竞争，一条暗线是讲人是如何变成野兽。 最开始以为是讲破案的剧才看的，看了才知道是讲人性的泯灭和道德的沦丧...满满负能量，略感失望。下届科长竞争者一个是重情义但作风狠辣手...

                         ( 展开 )",1.0,,1
