,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30391241,切尔诺贝利·禁区电影版,6b624a39a58ce75ac3a5025bb247c859,6ec0189137514d78dfb073ce8cc9bfc8,5.0,2020-03-14 23:33:05,"————————2020/7/6—————————— 看完三部不同结局的电影版，我认为这是无穷个不同平行时空下截取的三个结局。‘指使伊戈尔伪装成IT维修员潜入巴沙家，目标是800万卢布，目的是引导主角一行人前去切尔诺贝利......‘能够策划这场系统而又精密的计划，全剧里职业...

                         ( 展开 )",13.0,,13
1,1,30391241,切尔诺贝利·禁区电影版,18151772049f80b1515c20c34ba43a32,d3252309b3977d81d7bd486e85e8abe7,5.0,2020-04-18 00:40:02,"这篇影评可能有剧透 

                        两天刷完了《切尔诺贝利：禁区》系列。先大概串一下电视剧和电影的剧情。我不太擅长记名字，但每个角色什么身份、干过什么我都还记得，所以就根据角色的身份或者干的事情给他们命名，看过的人自然能对号入座。 第一部： 主线： 1986年，切尔诺贝利事故前夕，一位克格勃特工遇到...

                         ( 展开 )",30.0,,9
2,2,30391241,切尔诺贝利·禁区电影版,75c5ace3430500974c884e5cbf323082,bfb0db716730113d0d3e8b04a7a48b74,,2021-10-04 23:21:38,"这篇影评可能有剧透 

                        如果IT男在一个世界线里执着地出来要为巴沙修电脑，是不是就意味着无论大家是否得救，科斯杰科实际上都被判了叛国罪苦等了二十六年的复仇，既然如此，那么这个世界线存在的前提就是上一个世界线的主角团穿过来毁了科斯杰科的生活。这个世界线实际上是难以计数的世界线踩着血逃...

                         ( 展开 )",,,1
3,3,30391241,切尔诺贝利·禁区电影版,015303151eb90b157aac89bc93f660ba,cc7b74a2f201ac6b2dbea258b35e12b5,4.0,2021-05-28 20:16:13,"aie  aiealeii eolkkekkq  iakekkvj  ekv aiek  v v iav viav jfkk ika di iakekv i  viakekdvkv ajjvnalljlvvmai   vkakdi ,a viav ,f,,aekie , iek,afkfjjlaleivjahj n imca uh jy u km k jmn m fghv bn ghj tyu h jn mbn mb n bnm  g ghj jk jk jk rtyu g hjj j k k k fghjb...

                         ( 展开 )",,,1
4,4,30391241,切尔诺贝利·禁区电影版,05b5f07b9bcdc0e9545226d69b6b05fb,e0e91502b3a5a8f7c65b88ea7d72dcb1,,2020-11-15 01:18:51,"希望永远不会再有第二个切尔诺贝利，这是人类巨大的灾难，科技给人带来福利的同时，也伴随着巨大危机，这是人类的发展进程中永远抹不掉的伤痛记忆，人类发明了核能带给全人类进步和巨大资源，如果不妥善利用同样也会带给人类巨大的伤害，核能带来各种科技进步，可以带来长久不...

                         ( 展开 )",1.0,1.0,0
5,5,30391241,切尔诺贝利·禁区电影版,601e02698e7ce2e52ba378b3fc4f8406,c146be97c05f698f355d73a74dd5c321,,2020-07-08 10:57:32,"切尔诺贝利是座死寂之城，格外吸引活着的游魂。封锁的禁区是片遗忘之境，依然执着于残存的贪婪。吃药就无法再见到亡妻，以疯魔为代价完成永恒的厮守；失重也能够缔结忠诚的誓约，在死亡降临的时刻才明白爱就是成全此生的终点。这样的结局是不好了，即使没有了记忆对危险的抗拒...

                         ( 展开 )",5.0,,0
6,6,30391241,切尔诺贝利·禁区电影版,f490cd024f67a2d0a41045718757cd51,7ca8e87a290ae872660d26027349dd39,,2020-04-04 18:46:57,"这篇影评可能有剧透 

                        没看过前两季的一定要去补补，当然第二季最后一集看不了的，当时找遍资源都看不了，最后听别人说是故意放不了的，电影版应该就是承接最后一集，故事线应该为第二故事线，第一故事线巴沙的小伙伴们都被杀了，电影有闪回，原第二故事线的巴沙被自己杀了，但是按照道理来说出现了...

                         ( 展开 )",1.0,,0
7,7,30391241,切尔诺贝利·禁区电影版,ecec2a0f966ba44f905bb3e2f7cc444d,9e35aa4b30bd52e05ba7b5ff0420a873,,2020-03-18 02:02:04,"最后回去了，巴沙没有让it男进门也就是说他们恢复了正常的生活了，他们不应该有之前那些记忆了啊，可光头大叔为什么好像还记得，对巴沙说你还欠我6元买格瓦斯。我记得那是前面一二季里的回到苏联时期的剧情吧。既然改变了故事发展方向，大叔不应该有这个记忆吧。有应该他们都有...

                         ( 展开 )",3.0,,21
8,8,30391241,切尔诺贝利·禁区电影版,3175090d51d70bcc825325bf70426188,d7c554194a5451505d46a6a389183098,4.0,2020-03-16 10:58:33,"三个结局好厉害！说实话好多电影的结局我都有遗憾，如果能有售后就好了，比如电影下映之后，观众票选一两种后续然后续拍一下网上付费观看，时长倒也不用太长，半小时或者四十分钟，不过也只能想想得了哈哈哈！哪有人会这么干。演员不是原班人马看着出戏，要原班人马未必能成，...

                         ( 展开 )",4.0,1.0,13
9,9,30391241,切尔诺贝利·禁区电影版,ff558c7aa79bf925d5a45df5ace6d982,a50f69dacd48b5f0b7e188a2de951adf,5.0,2020-01-03 00:03:15,"这篇影评可能有剧透 

                        啃了生肉，看不懂俄语，但是能理解大概剧情，下面我就说一下三个结局的大概故事，以下内容包含严重剧透：我第一遍看的时候 ，看到最后巴沙和阿尼亚在一起了，简直快要哭了，经历了这么多，我本人是早就希望他俩在一起了。 电影版第一结局是时间倒回去了，倒回到一开始第一集的...

                         ( 展开 )",13.0,,18
