,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30433391,变身,627938a2097b86a039d156eb51c997da,2d7c8ec72aadf979f9f92cfed8b0913c,2.0,2019-09-18 22:20:54,看完这部立马就有满肚子的槽点要吐，听说韩国最近大量涌现此类的驱魔片，看弹幕有个说看这种类型片多了都害怕去信基督了，我甚至怀疑是韩国是不是基督教有大老板在花钱宣传基督教，但是看完电影我更觉得是无教人士或者是反基督赞助的电影。 之前看了《阴曹使者》完全是冲着朴俊叙看的，看这部也是冲着成东日看的，讲实话我觉得韩国就不要照搬欧美的驱魔片做这个类型片了，或许是看到了《釜山行》这类仿欧美的丧尸片的成功想要复刻，我个人觉得韩国大部分演员都是演技在线的，造成观影反响不好的大多是不够扎实的剧本。 本剧的boss是撒旦，就是伊甸园里那只诱惑亚当夏娃吃苹果的蛇，撒旦附体以后眼镜也变成了黄色的蛇眼，让我联想起美剧《好兆头》里的恶魔男主，但是《好兆头》的恶魔男主和撒旦是两个角色，这里就不多赘述，感兴趣可以去看看。本人对于基督上帝造物主的神话了解甚少，仅从影视剧里了解到一些，但影视剧世界观又互有出入。一种说法是上帝是万物之源，上帝创造了万物，包括人类，天使和恶魔，显然这个世界观不适用于本剧，既然都是上帝的造物，恶魔作恶就是他们的天性祈求上帝让恶魔不去害人就像祈祷野兽不要捕猎;本剧的世界观更像是上帝和撒旦互为对立面，撒旦就是要让上帝的信徒遭受苦难，就像上帝的儿子耶稣也要遭受苦难。从此类影视作品中完全不能够理解人们为什么要信主，若是按第一种世界观，上帝只是旁观者，受苦还是享福都与上帝无关，上帝不会帮助你发财也不会保你平安救人于危难之中;第二种世界观的影视作品大多以很大代价才得以祛除魔鬼，甚至此剧可以说是悲剧结局，当时看有人吐槽神父战斗力太低，和隔壁朴俊叙比起来弱的一批，先不说隔壁结局居然和恶魔肉搏也是让我大跌眼镜，两剧的恶魔就不是一个量级的，《阴曹使者》的恶魔顶多算个小组织邪教化身，这部剧的boss可是恶魔界的扛把子撒旦啊（其实还是弱的一批） 整体故事就是男主神父好巧不巧驱魔惹上了撒旦附体的一家子，撒旦也表示你算那根葱也配驱魔我，估计撒旦觉得自己的尊严被一个小小的神父侮辱了就害死了被附魔的女孩让男主背负罪恶感，不仅如此还放下狠话你们一家子就等着被我折磨吧就溜了，男主因为驱魔不成害死了人被风评传的沸沸扬扬，导致他哥一家子不得不搬家远离舆论中心，搬到的新房子刚好是男主之前驱魔失败的邻居丈夫，这里剧情就有一处bug，大叔一家搬家的时候说房子竞拍没人抢还以为是很烂的房子，没想到还挺宽敞的，这房子怎么说也是搁置了一段时间没人要的吧，卖的便宜无非一点就是凶宅，难道撒旦早就知道了这一切提前在此地住下等候大叔一家搬到这里等候诅咒应验？ 大叔一家子白天看这房子的确不错，但是晚上邻居总是发出奇怪的声响，第二天早上还把一只血淋淋的猫挂在男主家窗前，停车挡住大叔的道，忍无可忍的大叔准备上邻居家一顿教训，一到邻居家院子里就发现一堆动物尸骸，进了房子更是挂满了刚杀的动物尸体，血满屋子都是，一股腐臭难挡，邻居还突然从男主背后出现吓大叔一跳，大叔立马就报了警，再到邻居家却焕然一新仿佛什么都没有发生过，奇怪的声音归咎于邻居男的织布机？由于不能提供死猫就是邻居挂的证据就不了了之（又黑大韩警察） 当晚二女儿睡觉有声音以为是弟弟玩闹，起身睁开眼却看不到任何人，突然一只手抓住她的头发拉倒她在床上，着实把二女儿惊了，眼泪都快要出来了，眼前的却是平日里和蔼的爸爸，第二天一早吃饭妈妈又一言不发埋头做早餐，吃饭的时候因为小儿子说饭不好吃就突然发神经把小孩吓哭了，晚上爸爸问妈妈早上怎么那样妈妈却说我早上去和别人逛街了呀，这时一家子还没意识到问题，大女儿洗澡突然就被突然出现的二女儿说了一段奇怪的话懵了，洗完澡去二女儿房间问缘由，二女儿说爸妈有点不正常，爸爸就突然出现说着就要用小刀刺两个女儿，可把两孩子吓坏了，一会儿又换了小榔头，就在千钧一发之际，楼下传来了真爸爸的声音，假爸爸笑着走了，真爸爸上来看两个还没缓过来的女儿，背后又出来一个假妈妈继承了假爸爸的小榔头对着三个人一顿乱锤，爸爸为了保护女儿手臂被重伤，接着真妈妈又出现，假妈妈才笑着离开（这一家子心真大，这么大动静半天才出来） 一家子发现了事情的不对劲想起来了驱魔叔叔，就给驱魔叔叔打电话，结果叔叔也就是我们男主正打算去国外，问都不问就拒绝了（哈，你不知道撒旦给你下的诅咒了？）然后大叔这一家子就莫名其妙吵起来了，接着当妈的和叛逆的二女儿就要搬出新家，然后好巧不巧驱魔叔叔来了（你说你不是添堵么，一早答应下来，装什么刀子嘴豆腐心） 叔给的建议就是一家子在一起恶魔就不会乘虚而入了，然后一家子就都在客厅睡觉了，半夜小儿子想尿尿想叫两个姐姐陪但是都睡得挺死，就自己去上厕所了（要不我说一家子心大了，出这么大事还能睡的死猪一样，明知少了人恶魔就会出来还单独去厕所）恶魔出来拿着刀对着叔叔试了两下（这里就强行为情节设置了，恶魔出来啥不干就是为了让远在国外的神父们看直播）国外神父们了解到这就是撒旦，需要驱魔，但是叔叔之前还有心理阴影就叫国外的神父帮忙，让大女儿把放的十字架拿出来，但是她人有点懵，这个任务就落到了二女儿身上（此处伏笔最大败笔）叔叔要去接神父出门告诫大哥大女儿就是恶魔让他盯住拖延到神父来，男主去机场接神父才知道神父并没有让他接机，中了调虎离山计，男主带着神父两名外援匆忙赶回家中，路上却被撒旦施法被一堆乌鸦害得出了车祸（这国外的神父也是，男主开车施不了法你就不能驱逐一下乌鸦，光坐着。我觉得他就是撒旦派来的演员来送人头的）家里大叔把大女儿打昏了绑在床上等待神父到来，二女儿已经烧死在了地下室却没人关心二女儿下落，随后赶来的男主被迫驱魔，一鞭子一鞭子抽的大女儿当妈的看不下去就上前制止，几近发疯的老爸互相打了个头破血流，镜头一转原来男主还在车祸现场，驱魔的男主是恶魔假变的，此时一家子七零八落恶魔也露出邪恶的笑容，此时幡然醒悟的老爸喊儿子逃走，眼看老爸就要被恶魔收头男主出现，恶魔又消失不见，两人急忙去找逃跑的儿子，在地下室找到了儿子也找到了烧死的二女儿，恶魔又以大女儿出现，男主和大叔不敌，最后男主使出杀手锏后备隐藏能源用肉身困住撒旦与其同归于尽，最后壮烈死于十字剑（真遇到危险十字架倒过来当武器远比当法器强）然后全剧终（其实我觉得男主还能抢救） 剧情上太多漏洞，完全是冲着演员看完的，看完《阴曹使者》本来是不打算吐槽这类片子的，看完这个就一带鞭尸了，驱魔是个体力活，身体素质得跟上，本来人打人就未必占上风，被恶魔附体更有一股怪力，搞不好就GG了，阴曹使者老神父演的挺好的，相比之下这部老神父就是个跑龙套的还一度让我看面相觉得不是好人，《阴曹使者》老神父的视死如归刻画的比较好，最后一段拳击拉跨了，《变身》精彩的是那段全家轮流变恶魔有趣紧张，后面尤其是二女儿被烧死半天没人发现那段真是感觉智商被按倒来回摩擦，之前评《极限逃生》有人回复我说韩国影视评分虚高我还觉得不在理，今天看了这部剧才感觉确有道理，这样的两部剧要是欧美的估计5.4分左右，现在是6.8分，估计看的人还是少，估计人数多了会比《阴曹使者》低，不过有一说一，韩剧分虚高是真的，好看也是真的,15.0,7.0,27
1,1,30433391,变身,3043b6ca8334a82bcee8a31455c579a5,56bd75b6675ffb51f5895b3ece45f99b,3.0,2020-02-09 00:17:08,韓式恐怖片近年不只玩鬼，更傾向玩魔了，前一部驅魔使者染指西式妖魔本地化，起點高手法一般，本片嘗試縮窄景觀，將故事回歸到平凡家庭，以驅魔為主題，講述魔鬼耍弄分身伎倆害人，但原來看不透的，不只是魔鬼，連人心也是，包括最親近的人。 韓國的製作水準不容置疑，驚慄氣氛尚算不俗，可是劇情漏洞多多，並沒達到構想的效果，前面鋪墊一家人的嫌隙太表面了，角色之間的關係沒有張力，所以只能落入觀看奇聞異事的目的。分身這題材其實挺好玩的，魔鬼搞這玩意無非是要離間，讓一家人惶惶不可終日，最終自相殘殺，不過搞了半天還是沒進展，每一次變身都沒幹出點成績，讓他們從心理上精神上互相敵視，如小男孩在人家睡覺時拿刀作狀砍下去有意思嗎？對劇情推進一點幫助都沒有，而且導演多次明確告訴觀眾這是不是分身，也就失去了誰真誰假的懸疑戲味，魔鬼要想殺人那不簡單，何需擺出一副我是分身的面孔。 場景是個問題，韓國房子不比美國那麼大，要在小空間搞花樣難多了，如樓上兩姐妹被蹂躪得那麼慘，都被拋到樓梯引發巨響了，樓下爸媽竟然聽不到，驅魔使者也是這樣，邪教神壇那麼小，還要用來搏鬥，真的很尷尬。 神父的結局倒有點悲壯，本來是有發揮的角色，可惜同樣立不起。,1.0,,0
2,2,30433391,变身,5b726dc9f3306733f2527309ed62865c,c12df6d446482689f54185d79ba8073e,4.0,2020-01-14 00:13:51,很累。  直接打开弹幕关闭声音看的，现在不像过去能听听声音了。曾经看了很多碟欧美恐片，不知为啥现在变得这样胆小。观众口味就是刁钻，非要像哭声一样让人猜不到难受的剧情嘛！这样写剧本应该很累。反正我觉得很恐怖 比较到位 结局很普通的结局 关键是过程 过程很重要  一提到电影就该吧国产片拉出来游街，众人唾沫臭鸡蛋丢才是,4.0,1.0,5
3,3,30433391,变身,30e125dba7d039c3ed5bb1ea8842ecad,74486148de273b856fe0c64e19980b20,2.0,2020-08-14 11:01:26,今年韩国新冠肺炎爆发再次把邪教“新天地”带入大众视野，而上一次“世越号”带给世人的震惊还未过去，为何邪教活动频频在韩国发生，通过韩国电影我们可得知部分答案，近些年大热的韩国神魔片以及带有宗教意味的电影都揭示了韩国本土宗教信仰的多元化，而正是这种多元化的宗教共存不仅在现实中创造了魔幻的悲剧也给韩国电影提供了创作上的素材。 当今亚洲影视圈，韩国毋庸置疑在电影工业化的制作上是遥遥领跑的亚洲的，这一点尤其突出在类型片上的制作。恐怖片作为类型片之一，近几年也是韩国电影着力在发展的类型之一。之前有《哭声》、《昆池岩》等一系列口碑和剧情双赢的电影爆发，这些电影在赢得市场的同时也悄然改变了亚洲恐怖片的格局。在过去的几十年亚洲观众接触最多的恐怖片大多来自香港、日本和泰国，由于东南亚独特的地理环境和文化底蕴，衍生了一系列与宗教、神怪传说等相结合的恐怖片。不管是以茅山术为轴心的僵尸片还是南洋邪术为基点的南亚恐怖片，其最为迷人的地方来自地方特有文化的魅力。随后日本的恐怖片导演推层出新将亚洲恐怖片带到了一个新的高度，甚至还对外输出了《咒怨》、《午夜凶铃》这一系列ip，风靡全球。日本恐怖片的成功得益于在拍摄恐怖电影时，日本导演用革新的镜头语言将恐怖感升级，使电影纯粹的在空间和氛围上散发着窒息的鬼魅，没有四溢的血腥，只有诡异和邪门的感觉一次次冲击着观众。而韩国恐怖片在整个亚洲影坛上始终没有产出让人值得铭记的恐怖片，偶有亮点的也诞生出《笔仙》、《蔷花，红莲》、《假发》这样的优秀影片，但始终难以逃离其他区域早已形成套路的恐怖类型制作，韩国恐怖片一直在都市传说和家庭情感这样的题材中小步摸索着自己的恐怖电影制法，而在这几年韩影工业爆发之时，韩国恐怖片也悄然完成自己的一次“变身“。 这里笔者通过这部19年上映的韩国电影《变身》阐述些自己对待这部电影以及当下韩影发展的一些变化，前面提及了韩国宗教多元化发展的现状，而《变身》这部电影展现的宗教元素则是基督教。相较于其他亚洲国家基督教在韩国的普及度很广，这也是一系列驱魔片在韩国盛行的原因。 《变身》的故事很简单，讲述了一个神父为了打败折磨家人的恶鬼而展开的故事。这很容易让人想到经典恐怖片《驱魔人》，同样的神父驱魔故事，韩国电影在对待这一舶来文化是做如何处理的呢？韩影工业化爆发的这几年也得益于欧美模式的复刻，《釜山行》的丧尸，《婆娑河》、《阴曹使者》的驱魔文化，都是基于欧美文化的结合本土剧情进行创作的。有了《哭声》和《釜山行》的铺垫，《变身》在宣发期就给人极大的期待，我们终于等来韩国恐怖片的时代吗？然而这却是一次失败的“变身“。 从剧本的角度去看《变身》，剧情在前半段完成了高效的叙事，由一次失败的驱魔开始牵引出主角，定义了电影的基础主题就是神魔共存以及救赎问题。随后就是邪灵的复仇主线故事。剧本选择的场景是经典的鬼屋模式。这一系列的叙述都彰显了工业体系下制片的高效性，不拖泥带水。核心树立的神父人物也很符合观众的共情，有着强烈的救赎意味，从电影开篇的梦魇纠缠到到最后的牺牲救赎完成一个环形的人物建设。这样的一个剧本架构很完整，加上导演小空间的紧张调度，电影在惊吓程度上是合格的，着魔的过程把日常的人物形象扭曲异化营造的反差也足够冲击观众的视觉。 既然《变身》涉及到两个经典的元素，鬼屋电影和主角的救赎，那他是否完成了某种程度的颠覆呢？电影的开始是两条线，搬进鬼屋的一家人和消沉的神父救赎，对比拍鬼屋系列的高手温子仁，导演显得相当收敛。在《招魂》中温子仁极尽技术上的本事用声音和剪辑营造出一个个跌宕起伏宛如过山车般的刺激场景体验。而在本片中则常规的使用了被残害的动物以及意象来营造氛围，闹鬼的高潮夫妻互用锤子虐杀以及小孩拿刀的入邪过程显得过于随机，完全丢弃了铺垫，短暂的心悸之后并无给观众记忆点。最后的神魔大战也是在不同的角色切换和神父的抉择中草草结束。至此电影的问题也随之暴露，过于刻板的工业化电影让电影丢失了独特的风格，这也是掩藏在韩国电影工业化进程中比较隐蔽的问题。我们在想起温子仁的电影会重现那些巧妙的设计足够把观众吓到，想起黑泽清电影仍然可以感受到清冷压抑的感觉，而《变身》此类的电影则像快消品一样，在短暂的欢愉之后很容易被人遗忘。更让电影失去记忆点的部分在于这样的剧情放置任何一个国度和家庭都适用，丢失了对现实的思考则损失了电影最本质的意义。 可能看惯此类类型片的观众已经厌倦这样的电影，《变身》并没有获得太多好评，然而《变身》的失败不代表韩国恐怖片崛起的失败，毕竟韩国工业化电影的制作模式还有着更多类型上的打磨提升空间。鉴于原本孱弱的文化基底无法更多的包装道术上的邪魅，而在都市传说这一条道路上也始终无法开创出新。韩国作为一个多元化的国家，在和欧美文化的碰撞下产生出自己独特的流行文化元素，加以娴熟的工业化制作流程，电影整体的编剧水准和拍摄方式也是一流的。问题恰恰出在如何与本土文化的结合。反观《釜山行》在快速的节奏的基础上和亚洲人文情怀的结合缔造出真正的亚洲风格丧尸片。而《变身》却没有很好的利用宗教元素在韩国本土的特色，其本质的核心恐怖内容还是我们常见的欧美鬼屋类型，最后神父的的壮烈结局也算是常见的英雄主义中牺牲自我的价值取向罢了。韩影恐怖片类型想达到风格化上的大“变身”还有很长一段路要走，在《哭声》短暂的惊艳之后，加上现实社会的新闻，我们期待看到更多可以和韩国现实相结合的电影。 原文首发于邑人电影公众号，请勿私自转载,1.0,,2
4,4,30433391,变身,8a5f923ef234324cc934d1be348cb9dd,e63f9fc187b639aabbbe1bdba09f4757,4.0,2020-06-23 13:39:01,这不是一部典型的宗教类驱魔电影，里面有很多韩国的原生元素。 例如哥哥家庭内部的矛盾，驱魔司祭弟弟和哥哥一家人之间的小纠葛。不得不说韩国人很擅长捕捉这一点，这也算本片的亮点。 就像母亲明珠虽然一家人和小叔子住在一起，但她一直认为小叔子是个负担、赖在家里的乞丐，对他的态度只是面子工程。当小叔子用去国外传教来推脱驱魔的时候，她爆发了：“他做什么神父？他根本不懂得感恩，我们一家人对他多好啊！”用江久的原话来说就是：“他在家里吃过你一口热饭吗？别以为我不知道他每个月都把生活费打给你！”江久心里什么都清楚但没有挑明。 妹妹贤珠的刁钻跋扈，自大狂妄，说话有点挑事和不留情面，说小叔子甚至说自己姐姐善雨都是毫不留情，最后也是死于自己的自大，而且死得最惨的。。。（所以说遇事要心怀善意，别太针锋相对或者说风凉话了）关于为什么贤珠看到的是魔化的爸爸站在她床头在对她意味深长的笑：“我家贤珠长大啦。”？这里的意思是不是代指贤珠进入青春期啊？不是被退学了吗？然后每天面对着的只有父亲，一个成熟男性，是荷尔蒙对男性本能的冲动作祟？ 还有最后魔化的小叔子在对江久说我难道不是你的亲弟弟吗？这里，真的很触动，魔化的小叔子虽然说善雨是恶魔，但并没有亲自去驱魔，这些都是父亲江久做的决定。就好似这一切本应该照这样发生，恶魔只是推波助澜了。这些内部的矛盾，是要出现的，只是时间问题。 前面这些就一下子把人代入进去了，一个普普通通、有血有肉的家庭，家庭内部有矛盾有争吵，像婆媳、母女、父女、小叔子和嫂子之间的矛盾都是真实存在的。 该片不拘泥于传统意义上的驱魔，更多是展现家庭关系和伦理，我觉得评分有点过低了，跟老美普通的驱魔片相比，有韩国自己的特色在里面，这还是值得推荐的！,5.0,,0
5,5,30433391,变身,4dd8e603a015b5b17e65f59a37cc95b8,7d1e343e4b09fed346f9354623c150f7,2.0,2019-09-21 23:10:55,"近两年韩国的恐怖片摒除了东方原有的恶灵恐怖的套路开始走起西方驱魔的方式或者僵尸模式，手法不是不可以但是嫁接的一定要巧妙和新颖，像之前的《鬼客》、《哭声》、《釜山行》都还算是有一定创新让人眼前一亮，但是一下拍多了总感觉有一种吃顶的感觉，不免落于俗套。而《变身》顶着2019年最强恐怖韩片的头衔在没上映就已经赚足了噱头，从首发海报就看出来可能是关于一家子分裂半密闭的恐怖片。  但是全片看下来可以说亏了请了成冬日大叔压场要不然崩的估计会更加彻底。  故事情节其实没什么吐槽就是很标准化的一个套路恐怖片并没有之前一些电影的创新而恐怖程度可能都赶不上《昆池岩》或者有人说这部电影揭露的是人内心的弱点和恐惧，如果是这样说这部恐怖片就是纯纯致敬库布里克老爷子的《闪灵》和80年代的《驱魔人》。    而韩国人拍天主教驱魔显然是有点瞧不起东方的鬼怪妖魔，这种宗教题材把西方的撒旦找过来我东亚阎罗王的脸往哪放？要真的有西方恶灵出现不等恶灵附体估计阎王就得出来先开战了这简直是赤裸裸的入侵，来东亚玩附身闹鬼这西方的鬼是不是管的宽了一点。
 阴暗面主题 一部好的恐怖电影的第一点是吓人，第二点是阐述吓人背后的故事点，纯粹吓人的电影太多了，使得看惯恐怖片的观众都已经麻木了，但为了揭露各种人性的恐怖又显得太过于教科书，而两个故事点结合的基本都已经成为佳作或者已经成为经典，例如《闪灵》或者《双瞳》都从不同角度对于恐怖做出了很好的诠释也成为了很多恐怖片的范例标准。    而《变身》前三分之一故事还算流畅但是硬生生的阐述进入恐怖房子的过程，前后也不做出调查显得这一家人没有脑子就是编剧实在没有想好怎么才能搬到鬼宅，可是鬼在开篇高能的时候已经说对于男祭祀的一种诅咒未完持续的节奏种种只能说是一种巧合，上个高能开始！ 注意了！ 远光灯！ 近光灯！  





   





    





   到了前半程恐怖电影要想勾住人一定是开始赚足噱头慢慢铺陈，《变身》一开始做到这一点但是仅此而已，后面就套路的开始展示人性的矛盾点从而必须让恶魔来反应社会问题与人性剖析，不得不说恶魔也是具有居委会工作经验的从而提出建设性意见也具有批判精神的，故事第二阶段就是房子一家人和祭司是一大家子对抗恶魔的过程，起初还觉得通过一系列铺设会跳出俗套，例如姐妹都开始或多或少的感知恐惧感和恶魔击杀小动物们的幻想。 





  





 但是从祭祀弟弟二次的出现后，确实看他抽烟都可以理解不得不说我有点跳跃了，过于《闪灵》+《驱魔人》种种隐喻和男主的大锤子桥段和母亲神经质加挥锤子的过程是不是有点库老爷子的斧头和棒球棍的意思，一看这就是一个融合款不能演的太像。   





  





  





  





  





 故事发展到了第三阶段已经有点走神了，瞬间让我可以把这部电影评分往下降了，而影片相对精彩的部分都是碎片式的由母亲与成叔、妹妹与姐姐的做出来的人性黑暗和蛊惑的矛盾点支撑演绎的，比如夫妻互打、卫生间挑拨离间，都是起伏的行为方式。 





  





  





 而影片到了最后驱魔成功是电影唯一结尾方式这是改变不了的，只能是在后程做个小翻转也是电影仅有的闪亮点，做了一个没有圆满的结局。但是生硬的利用祭师的牺牲彰显了奉献和博爱的精神，但是其中妹妹的死只能归咎于恶魔想试个刀，而之前各种单人蛊惑不杀非得最后归了包堆一起杀，证明恶魔其实也是挺无聊的。而姐姐附体后跟着念咒语具有不一样的喜感，祭师弟弟的黑化牺牲的变身过程总有一种赛亚人要出金头发的既视感。 





  





  





  





 最后要说的如果把恐怖片当成一道菜，不是光有主料就可以，辅料与调料都是不可忽视的，如果学做一道菜可以让它像但是不感受口味的话吃起来也会索然无味。
而《化身》可能是像是今年的韩国恐怖流感一般，想做出气质但是越来越浮于表面禁不住咂摸而最关键的吓人也没有让人印象深刻，寓意基本是库爷爷的意思还不深刻，总体说没有印象的桥段没有烘托气氛的音乐所有都停留在一般行活的水准。",7.0,3.0,10
6,6,30433391,变身,c4bbed6b3f68996a642581170c94c98c,2a99a798f86a485638583a13194cd3aa,,2021-08-29 17:17:10,剧本可以给欧美基督教国家来拍，就比较自然多了，而且故事发生的时间几个再往前推一两个世纪，现代的欧美国家人也不会信什么驱魔了，我知道韩国人新基督教的挺多，但是这部片子，现代21世纪+东亚国家+基督教驱魔，确实很奇怪。亦或者可以给泰国人拍，基督教换成佛教，神父换成僧侣，可以更血腥些，结局全灭反转，会是很好看的一部片子，韩国人故事也没有讲清楚，恶魔到底和这家人什么关系，恩怨什么都没有交代。,,,0
7,7,30433391,变身,5be08c4a7f02df5db5ffa6fcdf59741c,5058f1af8388633f609cadb75a75dc9d,,2021-04-06 15:12:09,很好看的一部电影，抛开其他的问题不说，毕竟没有任何一部电影是完美的，这部电影颠覆了我对所有驱魔电影的看法，把以老美统治的驱魔文化系列电影注入了新鲜血液，注明了亚洲的标识，演员的演技也比较成功，电影层次感适中，剧情开始发生的时间恰到好处，引人深思，分镜，镜头摆布也相对不错，光影安排也很能烘托人物造型感，很喜欢的一部电影。,,,0
8,8,30433391,变身,66adfe4ab3eefbe5d4c08561471e5400,1e7bb84c55f7caa5248403faf6973086,4.0,2020-11-29 17:32:32,起初是没什么期待的，尤其是刚开始那个熟悉的场景熟悉的配方，就觉得只是一个韩国翻拍版的驱魔而已。看完后觉得是打脸了，真的惊艳到我！6.0的评分太不公平！保守评价也是7.5以上的水准！真没想到一部恐怖片是让我哭着看完的。。。 1、最后的结局是叔叔钟洙用自己献祭捆住恶魔来了个玉石俱焚，这真的是个不落窠穴浪漫感人的设计，至少在以往的驱魔类型片中是没有出现过的。我可以把它理解为：这也许就是神职人员在神秘诡异的驱魔学术士体系中最具牺牲精神、也是最强大的一张底牌，以往的驱魔故事中似乎从来没有被运用过，好比绝世高手最厉害的一招不到最后关头从不轻易亮相，一出手即非同小可，不仅鬼哭神嚎杀伤巨大更意味着要启动自毁程序！我上一次看到类似的剧情设计，还是在2017年的美剧《血族》finale，男主好天气带着他那个毁天灭地、人人喊打的死儿子合力把血祖封印在自己体内了，用一枚核弹保送全人类的幸福安康（写到这里还是有点激动，我可怜伟大的好天气！）感觉以往看过的驱魔故事都是西方文化视角，神父们像外科医生一样给患者动手术，干的过就干，干不过要么跑要么被撒旦干死，总感觉少了点神性启示和人性关怀。这个变身就不大一样，一方面是亲人的关系设定，另一方面是演员演技表达和东方文化视角的关系，钟洙带着赎罪的心情和捍卫光明的职业底线，祭出了最终大招       ”充满恩宠的天主，我的父啊，请将毁灭灵魂的撒旦，以您赋予的力量，囚禁于这副身躯之下，让我，成为这一切的起点与终点，拽住古老的禽兽，拖入深眠，让它无法再诱惑世人，请止住我扩张的贪念，惩罚撒旦的灵魂！阿门！“—————品品这翻译的水平，高！尤其是那句”拽住古老的禽兽，拖入深眠“，啧啧，言简意赅德把最后钟洙的大招都交代清楚了，残忍又浪漫！ 最后的10分钟，我几乎是大哭着看完的，哭到怀疑自己在看韩剧！一边哭一边吃垃圾食品，对冲不断飙升的肾上腺素！也许是演员的演技发挥的作用吧，深情含蓄的表达，最后兄弟间的诀别也是利落一剑绝不拖沓，关键是撒旦进入体内后，钟洙控制、试图降服它最终被占领、绝望前够到十字架喊醒大哥杀了自己的一个连贯，各种层次变化都表演出来了，这个一气呵成的场面不知道当时拍了多久，感觉演员表演非常醇熟，陌陌情深默默挥剑诀别以命殉道的勇士！感动！其实这里还有个细节，我在回看的时候才注意到，钟洙在讲这段话发大招前，先是取下了挂在身上的十字架，放在手心里最后滑落地面，这个动作我仔细看了两遍，放在手心的动作有停顿，展现了男主作为神父对一生神职工作的不舍和对天父的敬爱，想用最后的体温温暖十字架却已没有时间。所以总体而言，这场戏是在东方文化情怀下，一曲对神明敬爱、光明捍卫、泰然赴死的悲歌，没有那么多的慷慨激昂嗝屁前的大篇宣言，细节慢慢，即便赴死，也充满了东方文化的温柔与灵性。 2、这部电影的特效和服化道简直太棒了我的娘亲诶！又得拿钟洙举一个苹果！也是在大结局那里，被撒旦附体的神态和面容，一半靠男主演技，一半靠化妆啊！耳朵流血、脑门血管发黑、脸颊瘦削起皱、下巴拉长变形、简直1秒钟一个变化飞快！都不知道这段特写拍了多少个分镜！太瘆人了！这种细腻的表现功力才是本片最大的加分点所在！至于其他场景的精致道具表现，就不一一赘述了，反正你们都能在别的热门影评里看到。 3、这部电影给我最大的触动！也就是我开头说它值得7.5以上的高分的原因，是钟洙在神学院上课时给学生们解释的一句话。当时有学生问他，为什么恶魔喜欢附身到愤怒的人身上？他回答道:        ”愤怒，是最容易麻痹理性，令人怨恨神灵，最终让人失去自我的情绪。如此一来，就有很大几率成为适合恶魔潜入的身体“。 这句话犹如点睛笔，点亮了全片深藏的奥义，如黑夜里的长明灯，给予你我所有凡夫俗子以醍醐灌顶！愤怒是人类最愚蠢的情绪，尽管我们多数人终我一生都无法很好地控制它，管理好自己的情绪，但是它依然犹如幽冥之光，警醒了我！我们不就是在愤怒暴戾的情绪下，不断地被恶鬼入侵，做下许多悔之莫及的错事憾事吗？难道没有神官神职人员的启示，我们就真的发现不了隐藏在真实生活里的撒旦吗？？这句从神父钟洙口中向神学院学生传达的六界真理，又能被多少人珍藏起来引为处世箴言呢？所以，在我看来，这片子起码给它8分！ 好了，所谓“飞行”感想，飞到哪写到哪，片子先留着，慢慢回味，也许后续还能有新体会加入，给这部东方亲情驱魔悲剧大片点赞！,5.0,1.0,1
9,9,30433391,变身,71fec807a0dfaa87c15f766e9e861f23,ad2739dde5f1db1a8a8f3ad83cc3fd52,,2020-03-02 01:59:22,看完以后深思熟虑了一下，终于想通为什么明明是一部很恐怖的鬼片，剧情也算精彩，但是评分却很低。 第一：虽然剧情紧凑，故事精彩，但是有些地方过得有些勉强，比如二女儿的死太过莫名其妙，很勉强。 第二：邻居家的情况没有写得很清楚，为什么男主一家刚好就搬到这一家人对面，与驱魔大师第一次驱魔失败的女鬼有没有关联不清楚。反正就只知道邻居一家就是死了仅此而已。对推动剧情没有太大帮助。 第三：这一家人都经历了分身，知道家里有诡，还让二女儿单独去仓库，最终导致死亡。二女儿的死也毫无意义。为什么偏偏死的是她？她也没有干什么作死的事情啊。 驱魔弟弟明明说了叫爸爸看好大姐，结果大家还是在各自的房间。难道就不能一家人整整齐齐的坐在一起嗑瓜子吗？知道家里有鬼了，还能各回各家，各找各妈，各待各房间。逻辑上说不通。 但是不追究细节只看剧情，精彩程度还是很值得一看。顺带一提小儿子太可爱了，演技在线。粉他！,,,1
