,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30439557,再见 南屏晚钟,09916ff7d36b5bed9ad8bd9890157ef1,94b2602c3f8ba77964843eac200a4ae3,5.0,2019-03-05 23:20:11,"原创： 再见面条（首发于“不散”） 在刚过去不久的柏林电影节上，华语片可谓是大放异彩。王全安的《恐龙蛋》和王小帅的《地久天长》入围了主竞赛单元（不过值得注意的是，《恐龙蛋》是蒙古电影）。 其中《地久天长》还包揽了影帝、影后两项大奖。这是柏林电影节历史上第四次同...

                         ( 展开 )",184.0,5.0,22
1,1,30439557,再见 南屏晚钟,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,4.0,2019-07-16 12:45:10,"看死君：“花园”第18期，我们要推荐的这部电影，是今年注定绕不开的一部国产LGBT电影《再见 南屏晚钟》。但基于各种“技术原因”，这部关注“同妻”的电影也终究无法像去年台湾那部《谁先爱上他的》一样引发社会性热潮。 栏目| 花园 作者|晚不安 最早关注到《再见 南屏晚钟》...

                         ( 展开 )",49.0,2.0,1
2,2,30439557,再见 南屏晚钟,f0a1fa7abc0f191b7538a4f9df8ded9b,37fffbf58927b52717e697f340e620e9,5.0,2019-05-12 20:43:14,"这篇影评可能有剧透 

                        写在前面 下面的文字皆为我的过度解读，看看就好，当然也欢迎讨论。 母亲节的前一天我看了相梓导演的《再见 南屏晚钟》，这一个关于母亲与妻子的故事，着实应景，但它更吸引我的原因是出现很多人口中的「同妻」题材。同妻这个角色在去年大热的台湾电影《谁先爱上他的》中就已出...

                         ( 展开 )",132.0,2.0,24
3,3,30439557,再见 南屏晚钟,ec80fd9ccdff3367dc7a460e46a18231,c600f6f9d30383a81ee4a12781821097,5.0,2019-12-28 16:50:16,"太喜欢了，太喜欢太喜欢这部，可能会是今年我的国语最佳。瑕不掩瑜，不应该这点分的！！好像是我国内地第一部说同妻的片子吧，是我们自己的同妻电影，又不止于同妻。《谁先爱上他的》的气息很台湾，《再见，南屏晚钟》才是大陆的味道。 以下为我的碎碎念，不是影评~ 全篇穿插着...

                         ( 展开 )",9.0,4.0,0
4,4,30439557,再见 南屏晚钟,813819dd974690d4a0e30d1adb561a9f,4f7ab81bc8d5143f4b917e475518c016,4.0,2020-02-05 22:22:05,"首先，原来妈妈是深柜，这也让我明白为什么总是妈妈在作妖，她放弃了自己的爱人，走上了她认为对的路，而你为什么就不能放弃。中国千千万万人儿的想法，这算是一种报复吧。但最痛苦的不还是孩子么，孩子有什么错，全片最通透的人，最隐忍的都是女儿，不要为别人活，既然俩个人...

                         ( 展开 )",6.0,,1
5,5,30439557,再见 南屏晚钟,6c327acbadec130d534c76e42cdb2dab,1245eb208efdeeff8f6929994617156d,3.0,2020-02-02 17:45:08,"这篇影评可能有剧透 

                        中文和英文片名都不太友好。中文太指代不明，南屏晚钟只在开头闪现过一次，对人物互动的象征意义不高；英文太露骨，久梅对“正常”婚姻的苦求确实如犬吠月，但她的苦是被“正常”逼出来的，这个象征意义难免太极端。 最大的极端是引出了邪教话题。久梅信邪教早有铺垫，贯穿下半...

                         ( 展开 )",9.0,1.0,3
6,6,30439557,再见 南屏晚钟,eaa67f2153f3368937da59dcaeca79f0,a013c12276351c24e731a5d3f49425a6,3.0,2019-06-08 14:00:34,"这篇影评可能有剧透 

                        故事的时间线有点乱，我觉得这就是一个自己从开始做了错误选择，然后为了证明自己是对的，放弃了自己的爱情，不仅仅对于家人是一种折磨，对于自己更是，把自己的一辈子都毁了，然后各种责怪别人，认为自己已经为了世俗改变了，为什么还有别人没有改变，各种自怨自哀，到最后甘...

                         ( 展开 )",9.0,,9
7,7,30439557,再见 南屏晚钟,30075398b0cd110bfad402a331a005a7,d5534a365157925896067238f601510e,4.0,2019-03-31 00:45:34,"这篇影评可能有剧透 

                        跑错了影院，错过了前20min的戏。映后谈本片摄影也是导演的丈夫来了现场。他强调这个片子内核是关于自由而非lgbt。 我问他结局不觉得太狗血了么？一切鸡飞狗跳一辈子不得平静竟然是因为妻子多年的秘密?既然意不在讲同性题材，为什么又用这么大的篇幅围绕这个部分，不怕观众跑偏...

                         ( 展开 )",5.0,,7
8,8,30439557,再见 南屏晚钟,9512d0657ff4bd171af555ff1e96f3c4,126f96187a2b99bf26368a41afb3d9fa,4.0,2019-02-12 17:46:13,"热烈庆祝该片喜提69届柏林电影节--泰迪熊奖之评审团奖 （意思是全部同性影片第二名）具体解释请看大家的回复。 作为导演处女作，我觉得这是很大的肯定了。因为柏林电影节一向有关怀弱势群体偏好，所以同性题材的佳作不少。导演能把特中国的一个故事和文化内涵，表达的老外都能...

                         ( 展开 )",50.0,2.0,8
9,9,30439557,再见 南屏晚钟,c8b395bb6f42e4b165f4c84e509d6d7f,04e1e7dc212509e175202ecef6ac338b,4.0,2019-02-27 18:33:13,"本届柏林电影节话题性十足，先是易烊千玺、周冬雨主演的《少年的你》由于技术原因退出电影节，后又有张艺谋《一秒钟》因同样的原因也退出了柏林展映。 而由王小帅执导，王景春、咏梅、王源等出演的《地久天长》则备受瞩目，王景春和咏梅两位主演斩获柏林影帝影后。 还有一部影...

                         ( 展开 )",11.0,,0
10,10,30439557,再见 南屏晚钟,891cae65b2ebd041dbf50f255fdb3763,ad6363e5e75616ccf061ff1df08f47dd,5.0,2020-03-02 23:46:10,"这篇影评可能有剧透 

                        你以为是同妻，其实是形婚。从第一代形婚到第二代形婚，从真结婚到假假结婚。但是，都为了完成那些任务，为了过一道道的关，为了给孩子一个名分，为了看上去没有问题，为了不被唾沫星子淹死。什么时候，我们不在需要形婚。 “他本想要躲在婚姻里安安稳稳的过一生，可终究还是抵...

                         ( 展开 )",20.0,,3
11,11,30439557,再见 南屏晚钟,372c0bc1e906560b03b164889a951388,dbf6f944278dc5dca9a75d931ef70268,3.0,2019-12-21 19:05:56,"这篇影评可能有剧透 

                        第一次写长评，水平不高，希望大家看看就好 当导演相梓拿着象征着表彰柏林电影节中最好LGBT电影之一的泰迪熊奖的奖杯并说出“如果他们喊我回去审查重剪，我就拒绝。我知道国内年轻人有办法把资源免费发布到到网上，我很OK，不会介意！”，《再见，南屏晚钟》自然受到了人们的关...

                         ( 展开 )",6.0,2.0,0
12,12,30439557,再见 南屏晚钟,014e51d202d2fb9e31cb38d7aac63df0,ba38cdf2888bffa1dd58284e5beb0896,5.0,2020-05-28 11:29:02,"这篇影评可能有剧透 

                        属于我们自己的LGBT电影，整体可以给到八分，为社会意义再加一星，希望这部电影被更多的人看到。 先简单说一下技术层面，虽然不是很懂，但是电影的构图、布景和拍摄都算是完整，尤其是母亲出现的压抑不安的镜头，黑色的房间配母亲独自一人和父亲的话外音，简直恰到好处。中间两...

                         ( 展开 )",2.0,,0
13,13,30439557,再见 南屏晚钟,dc90701c8a6ab2add0c86ce022935ecc,d1771d4ec28388f9f9f6c69353b36112,5.0,2020-04-04 21:59:23,"这篇影评可能有剧透 

                        全片百分之七十的时间我都在憎恨李久梅，那个母亲。 她不是坏，她是真实。 她坚持相信丈夫的同性恋是病，她看不起晚结婚的女性，她把婚姻失败归咎于女儿，她晚年精神无所寄托靠邪教打发时间。 太令人窒息了，在很长一段时间里我觉得她是万恶之源，她丝毫不能引起我的同情，同妻...

                         ( 展开 )",6.0,,0
14,14,30439557,再见 南屏晚钟,1470e64364571439fbb2f5f1c1e43f76,e990a7f3c5e80076d122aff2c54b2ccf,4.0,2020-03-09 06:31:13,"这篇影评可能有剧透 

                        作为导演处女座还是挺好的电影，只是觉得在讲故事上有点着急了，虽然导演后来也说这就是真实的生活，真实的生活就是杂糅了很多东西在里面的，我们生活在里面很久也接受了；但是电影毕竟不是完整的生活的横断面，要表达明确的观点，还是不要面面俱到地叙事吧。我的想法： 1。虽...

                         ( 展开 )",,1.0,0
15,15,30439557,再见 南屏晚钟,b77156371dec7a36e16bd80a6e437277,74050f1dc13b71db62352a1f4c7a8fe7,3.0,2019-12-29 16:56:31,"这篇影评可能有剧透 

                        第一次知道这部电影的时候，我就有这么一个疑问，电影和“南屏晚钟”有什么关系。 没有记错的话，只有电影一开始，刘媛打开收音机的时候，传出来的音乐是“南屏晚钟”，其余时间应该没有出现。 我去百度了一下，这首歌讲的是什么，来自百度知道：《南屏晚钟》写的是一位年轻少...

                         ( 展开 )",12.0,,3
16,16,30439557,再见 南屏晚钟,0bced5734e7c15bc67246dd0760df467,0954809ab0f33afb1a8436b3f45397eb,,2020-01-16 16:22:49,"不管形婚还是痴迷于宗教，都是对对现实生活的逃避或者是不满，形婚可以逃避亲朋好友的口舌，不敢正视自己，也是对未来的恐惧，总之是自己精神不够强大，没勇气去寻找自己的路随大流也许是认知里轻松的路。这是自己以前的想法，现在自己住后，感觉有掌控感，也不会听到所谓父母...

                         ( 展开 )",1.0,,0
