,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30466833,独家记忆番外之勇敢爱,633431212a2d9d90dfa5903de7e91a1a,d5a30eac28ad1b371e6985131b46eaf0,1,2019-03-03 02:30:19,"热搜又把我恶心了一遍，心疼个jb，加戏都加成这样了，男女主极度精分前后人设不符，男二渣男逆转痴情人，60分钟刘启挽爱放手花式涂鸦丰满人设完美结局退场记；30分钟（可能还不到）男女主突然和好，杯酒解心结，5分钟光速求婚过后怀孕记。 尼玛，老慕的求婚还没男二的画画退场...

                         ( 展开 )",34.0,,12
1,1,30466833,独家记忆番外之勇敢爱,16fedd43ec4f33f4175641ccd961ede5,f48759cac38a67efa57402cdcf4989b6,3,2019-03-02 22:15:19,"这篇影评可能有剧透 

                        等待一个多月，之前有多期待现在就有多… 尤记得剧版给自己带来的沉痛打击，前18集要多甜就有多甜，而且是这种甜充满着层次感。青涩少女与成熟理科男，有初遇的火花，相处的暧昧，交心后的甜蜜，自然而然水到渠成。尤其是对暧昧的描摹，隔着朦胧的窗户纸气氛却浓烈的恰到好处。...

                         ( 展开 )",30.0,,11
2,2,30466833,独家记忆番外之勇敢爱,df63116d6d695e5122d34e85e15f6937,559a7f208866f0063b1ea8d5ca2ee816,3,2019-03-03 22:36:18,"这篇影评可能有剧透 

                        番外感受： 番外阿童木的情节出现在，晓棠慕海婚礼上一瞥、慕承和疯狂种植玫瑰并追车塞给薛桐一盆发芽的玫瑰、慕承和表白薛桐并相邀去俄罗斯、慕承和在俄罗斯找寻父亲遗愿后顿悟并求婚薛桐、在家里的怀孕梗。（当你读完以上概要，这个小电影也就差不多看完了，因为男女主一起的...

                         ( 展开 )",12.0,,3
3,3,30466833,独家记忆番外之勇敢爱,ab9923722bad3f51da8e3acfcc841561,3d34ae0c1f69492c29638ef7e5430bc4,4,2020-07-12 10:39:00,"之前电视剧看到了24集，结尾虽说是我们最愿意看到的却是那么的突兀。在稍许遗憾中打开了豆瓣，看看别人的观后感，结果看到了三篇番外，其他两篇直接略过。因为当时已经过了半夜十二点，没太多看这部电影，就看了看电影影评。在一片吐槽谩骂中，当晚放弃了熬夜看电影的想法。现...

                         ( 展开 )",,,0
4,4,30466833,独家记忆番外之勇敢爱,93bd951f87a6c469675d2e88f74e6d82,569a69f9220c28d6d8e56eb42684e649,4,2020-03-17 16:50:38,"虽然觉得刘启挺可怜的，但还是希望薛桐跟慕承和在一起。慕承和只是有个关于父亲的心结，对于薛桐才会有那种想在一起但却怕伤害她的心理，在他们分开的那段时间看的也是很心疼了，尤其是慕承和去薛桐旅游的地方找她那一段，看的眼泪都流下来了。慕承和去俄罗斯解开了心结后，人...

                         ( 展开 )",,,0
5,5,30466833,独家记忆番外之勇敢爱,efc4a0682724ce941d0a1144d5364c72,347e3a903eb60436ff404b4cf0ea930d,3,2020-03-10 09:37:28,"怎么说呢，其实一直磕的就是阿桐慕。刘启他不也是明白薛桐其实喜欢的一直是慕承和，她对刘启可能也只是一时好感而已，那既然不喜欢，那他就放她走，毕竟他也希望薛桐能开心。整体来说，感觉还是有些仓促，一个半小时不够，剧不能多拍几集，为啥电影不能延长一些?（就是觉得慕承...

                         ( 展开 )",,,0
6,6,30466833,独家记忆番外之勇敢爱,cc2d610dda432954a61eb54c56319e70,71d1875277c7d46e32ddf37e2c4e4c28,1,2019-03-29 17:35:21,"真的失望！看了这个番外，人设好崩，不懂，所有的人设都不对，故事是可以这样发展的吗？ 编剧给我的感觉像是不知道怎么写男女主的内容，加了一堆男二的深情之后将男女主硬凑在一起，看得时候不由自主的心疼男二，一直告诉自己那是慕老师和薛桐，那才是男女主，弄得自己好精分，...

                         ( 展开 )",,,1
7,7,30466833,独家记忆番外之勇敢爱,6b6abcc7a719998dd0f4a4e98d036fda,c510248f7a3c852bda5d6468e47fa48e,5,2019-03-24 12:09:47,"这篇影评可能有剧透 

                        完美的结局，给很多的不完美圆了梦。没有甜腻的剧情，只是按照现实的人性给了一种理想的结局而已。有故事的人深有感触。我有着类似的经历，但是在与我的“慕承和”分手以后，为了断绝后路，当我的“慕承和”回来的时候，我选择嫁给“刘启”，为了可笑的自尊……只怪那时太年轻...

                         ( 展开 )",1.0,,0
8,8,30466833,独家记忆番外之勇敢爱,933fd1205b66ebb88c352bdff2d0b48c,3ddc48d8d1e1c535ede3da703f3eeef5,3,2019-03-14 00:17:33,"这篇影评可能有剧透 

                        怎么说，电视剧骂了多久的67，最后的时候就有多心疼67 嗯……cp党不要来撕 我就是心疼不服来打一架啊 最开始会员还不够，还要努力让三个人还是几个人帮忙解锁才能看到多少集的时候，我真的是两天之内看完的 当时就是“慕承和是神仙老师啊”“薛桐你快嫁给他吧！”“67你干嘛捣...

                         ( 展开 )",3.0,,0
9,9,30466833,独家记忆番外之勇敢爱,02590d0d2789caa171d460a7afd0e55f,6982ba4d4f253357c04c3e71d80bb603,2,2019-03-06 11:57:26,"这篇影评可能有剧透 

                        看完了，或许长大了吧。 如果是小时候我一定会因为男女主角在一起了而欢欣鼓舞， 可是现在我真的好心疼67。 拜托给67一个好一点的结局。 接下来我要开始吐槽了。 No.1恕我直言，那颗花芽真的好像假的哦，看的我直出戏。 No.2 鲜肉张超与褶子张超只差一部正剧到番外一这段距离？...

                         ( 展开 )",2.0,,4
10,10,30466833,独家记忆番外之勇敢爱,71f73769a95c4dc7d1e04a0ddebd9807,4644e620a0f240ef4646e219c3aba20a,2,2019-03-04 15:53:45,"上次派爷推《独家记忆》，晚了一步。 不少宝宝表示，已经在苦等番外了。 而番外所以勾人，都怪那个结局太仓促。 薛桐在刘启和慕承和中间，为何就选择了后者？ 其余人物的感情归宿，又落在了何处？ 昨天番外上线，派爷追完，真想……失忆。 《独家记忆 番外》（2019） 同一宿舍...

                         ( 展开 )",26.0,,0
