,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30481809,高个儿,16aa9d971ce4ae2c3f3b88478ed1c515,fb7489de5b5c717caa451830f3102cc5,5.0,2019-06-22 02:26:05,"这篇影评可能有剧透 

                        【后遗症】 战争结束后第一个秋天的列宁格勒。 集体公寓的厨房里，爱慕伊娅的男邻居对她说，伊娅这个名字在希腊语中是紫罗兰的意思。“紫罗兰，多美的花啊！” 他一边殷勤地重复着，一边伸手去揽她的腰。她立即躲开了，高瘦的身子抱紧了裹着大毛巾的帕什卡。 谁都看得出她很爱...

                         ( 展开 )",148.0,,42
1,1,30481809,高个儿,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,4.0,2019-11-07 17:49:21,"看死君：有影迷曾说，每年最值得收藏的一份电影清单，便是各国申报奥斯卡最佳外语片的片单；虽然只能部分同意这个观点，但绝大多数申奥片，确实是非常值得一看的年度佳作。 继“奥斯卡最佳外语片”改名为“奥斯卡最佳国际电影”后，各国的申报也已于10月初宣告收尾，当时我们还...

                         ( 展开 )",24.0,1.0,2
2,2,30481809,高个儿,97b864b59c19bd602be413140d43400a,a457a9a4655871337ab47ecf0b3abec8,4.0,2019-11-05 17:56:45,"这篇影评可能有剧透 

                        首发在公众号：看电影看到死 在寂静中消亡，还是在黑暗中挣扎？ 俄罗斯电影《高个儿》向观众抛出一个莎士比亚式的命题：To be, or not to be。 电影聚焦的是二战之后苏联士兵们的生活，其中两位参加过二战的女性成为了故事中的焦点。毫无疑问的是，导演巴拉戈夫对战后重建的美...

                         ( 展开 )",10.0,,0
3,3,30481809,高个儿,f6ed7113b0820942c7953bbf4d1907b8,3110692cf36f2ea282e0b7968f9808c2,5.0,2019-08-13 20:25:44,"这篇影评可能有剧透 

                        Beanpole (Dylda): Disturbing scenes of postwar Soviet life 《瘦人》：战后苏维埃满目疮痍的日子 By Clara Weiss 17 July 2019 The second film by 27-year-old Russian dirtor Kantemir Balagov, Beanpole (Dylda), gained praise at the recent Cannes Film Festival wher...

                         ( 展开 )",6.0,3.0,1
4,4,30481809,高个儿,1c7ddd9f4545e83906155d719f239d85,71a230428c662980aa6a9e159e08afcd,5.0,2020-02-02 16:39:24,"这篇影评可能有剧透 

                        今年，由康捷米尔·巴拉戈夫执导的影片《高个儿》代表俄罗斯参加了奥斯卡最佳国际影片奖（前身是最佳外语片）的角逐。尽管今年强手如林，但于笔者而言，《高个儿》仍有很大希望凭借其高超的导演水平和强烈的视觉呈现进入最终的短名单，最终结果如何，还需拭目以待。 巴拉戈夫作...

                         ( 展开 )",12.0,,1
5,5,30481809,高个儿,1d3dba39fbf159873688fbfee0c6aca0,7e4f4bb82f0f807256f398c9c01279a5,3.0,2019-06-21 10:01:36,"这篇影评可能有剧透 

                        在阿芙乐尔电影院的老影厅里赶上了临回国前的最后一场《дылда》的放映，真是极为幸福了。算不上座无虚席，影厅里凑齐了俄罗斯的老中青三代加上我一个“门外汉”；很是折磨感官且不老少皆宜的片子；两个半小时下来直到银幕再次跳出影片的标题，有种很彻底的如释重负。 “д...

                         ( 展开 )",8.0,,0
6,6,30481809,高个儿,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,3.0,2019-11-17 15:54:40,"这篇影评可能有剧透 

                        戛纳新宠儿康捷米尔·巴拉戈夫（Kantemir Balagov）的第二部作品，浓重艳丽的色彩依然是视觉风格的主导，再加上极其细致工整的美术布景，令人物角色犹如行走在一幅幅油画之中。这种美学取向相信是这位新导演最拿手的个人标签。然而，相比起惊艳的处女作《亲密》，这部在色彩上...

                         ( 展开 )",2.0,,0
7,7,30481809,高个儿,bfce71150621cb6bae1bc185dd252ff7,5fc1609ee1d4b9b7ef01749a7fc2d8f7,,2021-10-15 18:42:33,"这篇影评可能有剧透 

                        女主角美的就像油画走出来的。毛子好会构图啊！随手截图每一张都美轮美奂，带着浓郁的古典气息。 整个电影好致郁。战争结束了每个人都有或多或少无法被治愈的伤痛。 大个儿女主间歇耳鸣，还会卡顿癫痫。红发女主流产多次无法生育还容易流鼻血。她们被卷入战争，幸运的活下来。...

                         ( 展开 )",1.0,,0
8,8,30481809,高个儿,d38b39894bfb4eee5a93498911e5ec86,c810b2dbd6aab4806bb623e15f423a0a,4.0,2021-05-09 01:12:04,"7.3分吧。电影弥漫着工整学术气息的浓郁的战后创伤气氛，把文字一样的苦痛文学搬上了大荧幕，苏俄电影的情怀👍 但剧情有些过于散和慢，让我不禁疑惑，真实生活的节奏确实是如此之慢吗？And,看电影时就有这样一种感觉，和我们国家好像啊！ 在我看来，这部电影不是Lesbian类型...

                         ( 展开 )",,,0
9,9,30481809,高个儿,17d3bacdb841f6826e539d72e9252fc2,b69466b536f8ce43b6356ec1332e05a4,,2021-01-22 12:17:58,"这篇影评可能有剧透 

                        令我惊讶的是导演要在一部影片里同时处理众多在当代文化议程中主要且重要的主题：女性与身体，LGBT，安乐死，代孕。更令人惊讶的是，导演居然没有搞砸。各个议题都得到了充分细致的发展与呈现，并将故事带入合乎情理的结束。 导演很聪明的选择了二战后这个时代背景。只有战争这...

                         ( 展开 )",,,0
